IHDI Rank,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),IHDI Loss Percent,IHDI Rank Difference,Coefficient of Human Inequality,Inequality in Life Expectancy,Inequality-Adjusted Life Expectancy Index,Inequality in Education,Inequality-Adjusted Education Index,Inequality in Income,Inequality-Adjusted Income Index,Income Inequality (Quintile Ratio),Income Inequality (Palma Rati),Income Inequality (Gini Coefficient)
29.0,Greece,0.865,0.758,12.4,-5,12.1,4.0,0.899,11.6,0.735,20.6,0.660,6.4,1.4,34.7
30.0,Estonia,0.861,0.782,9.2,6,8.9,5.6,0.825,2.4,0.853,18.6,0.680,5.6,1.2,32.7
31.0,Brunei Darussalam,0.856,..,..,..,..,4.4,0.865,..,..,..,..,..,..,..
32.0,Cyprus,0.85,0.758,10.7,-2,10.6,3.7,0.892,13.1,0.673,15.0,0.727,..,..,..
32.0,Qatar,0.85,..,..,..,..,6.0,0.841,..,..,..,..,..,..,..
34.0,Andorra,0.845,..,..,..,..,..,..,..,..,..,..,..,..,..
35.0,Slovakia,0.844,0.791,6.2,9,6.2,5.6,0.818,1.5,0.813,11.3,0.744,4.1,0.9,26.6
36.0,Poland,0.843,0.760,9.8,2,9.6,5.7,0.833,5.6,0.778,17.5,0.678,5.2,1.3,32.8
37.0,Lithuania,0.839,0.754,10.1,-1,10.0,6.6,0.766,5.9,0.817,17.5,0.686,5.7,1.2,32.6
37.0,Malta,0.839,0.767,8.5,4,8.5,4.8,0.888,7.3,0.690,13.3,0.737,..,..,..
39.0,Saudi Arabia,0.837,..,..,..,..,8.7,0.762,..,..,..,..,..,..,..
40.0,Argentina,0.836,0.711,15.0,-8,14.5,9.3,0.786,8.1,0.759,26.3,0.601,10.6,2.3,43.6
41.0,United Arab Emirates,0.835,..,..,..,..,5.5,0.829,..,..,..,..,..,..,..
42.0,Chile,0.832,0.672,19.3,-13,18.2,5.9,0.893,12.6,0.655,36.0,0.519,12.6,3.3,50.8
43.0,Portugal,0.83,0.744,10.4,1,10.1,3.9,0.900,5.9,0.685,20.3,0.668,..,..,..
44.0,Hungary,0.828,0.769,7.2,10,7.1,5.4,0.803,3.2,0.789,12.6,0.717,4.5,1.0,28.9
45.0,Bahrain,0.824,..,..,..,..,6.3,0.816,..,..,..,..,..,..,..
46.0,Latvia,0.819,0.730,10.8,0,10.5,7.6,0.771,3.5,0.778,20.5,0.649,6.9,1.5,36.0
47.0,Croatia,0.818,0.743,9.1,3,8.9,5.2,0.836,4.3,0.745,17.2,0.659,5.3,1.4,33.6
48.0,Kuwait,0.816,..,..,..,..,7.2,0.776,..,..,..,..,..,..,..
49.0,Montenegro,0.802,0.728,9.2,1,9.2,7.6,0.799,7.4,0.735,12.6,0.658,4.7,1.1,30.6
50.0,Belarus,0.798,0.741,7.1,4,7.1,6.8,0.736,3.7,0.804,10.8,0.690,3.8,0.9,26.5
50.0,Russian Federation,0.798,0.714,10.5,1,10.3,9.8,0.695,2.3,0.788,18.7,0.664,7.3,1.8,39.7
52.0,Oman,0.793,..,..,..,..,7.0,0.813,..,..,..,..,..,..,..
52.0,Romania,0.793,0.711,10.3,2,10.2,8.8,0.768,4.7,0.719,17.1,0.651,4.1,0.9,27.3
52.0,Uruguay,0.793,0.678,14.5,-4,14.2,9.2,0.799,9.2,0.647,24.2,0.602,9.0,2.0,41.3
55.0,Bahamas,0.79,..,..,..,..,9.4,0.772,..,..,..,..,..,..,..
56.0,Kazakhstan,0.788,0.694,11.9,1,11.8,16.7,0.633,5.9,0.751,12.7,0.704,4.0,1.0,28.6
57.0,Barbados,0.785,..,..,..,..,8.1,0.786,5.5,0.734,..,..,..,..,..
58.0,Antigua and Barbuda,0.783,..,..,..,..,8.0,0.794,..,..,..,..,..,..,..
59.0,Bulgaria,0.782,0.699,10.5,3,10.4,7.9,0.768,5.5,0.710,17.8,0.627,6.4,1.4,34.3
60.0,Palau,0.78,..,..,..,..,..,..,12.0,0.696,23.0,0.570,..,..,..
60.0,Panama,0.78,0.604,22.5,-20,21.7,12.1,0.779,16.6,0.567,36.5,0.499,17.6,3.6,51.9
62.0,Malaysia,0.779,..,..,..,..,4.9,0.800,..,..,..,..,11.3,2.6,46.2
63.0,Mauritius,0.777,0.666,14.2,-2,14.1,9.2,0.760,13.2,0.623,19.8,0.625,5.9,1.5,35.9
64.0,Seychelles,0.772,..,..,..,..,7.9,0.752,..,..,..,..,18.8,6.4,65.8
64.0,Trinidad and Tobago,0.772,0.654,15.2,-3,15.0,16.4,0.648,6.6,0.659,21.9,0.656,..,..,..
66.0,Serbia,0.771,0.693,10.1,5,10.1,8.5,0.773,8.1,0.688,13.5,0.627,4.6,1.1,29.7
67.0,Cuba,0.769,..,..,..,..,5.1,0.867,11.3,0.681,..,..,..,..,..
67.0,Lebanon,0.769,0.609,20.8,-15,20.2,6.7,0.852,24.1,0.491,30.0,0.540,..,..,..
69.0,Costa Rica,0.766,0.613,19.9,-11,19.1,7.3,0.847,15.5,0.561,34.3,0.486,12.8,2.9,48.6
69.0,Iran (Islamic Republic of),0.766,0.509,33.6,-41,32.1,12.5,0.746,37.3,0.433,46.6,0.407,7.0,1.7,38.3
71.0,Venezuela (Bolivarian Republic of),0.762,0.612,19.7,-11,19.4,12.2,0.732,17.6,0.570,28.4,0.550,11.7,2.4,44.8
72.0,Turkey,0.761,0.641,15.8,0,15.7,11.0,0.757,14.2,0.563,21.8,0.618,8.0,1.9,40.0
73.0,Sri Lanka,0.757,0.669,11.6,7,11.6,8.3,0.774,12.8,0.646,13.7,0.597,5.8,1.6,36.4
74.0,Mexico,0.756,0.587,22.4,-12,21.8,10.9,0.778,19.7,0.518,34.6,0.501,11.1,2.8,48.1
75.0,Brazil,0.755,0.557,26.3,-20,25.6,14.5,0.717,23.6,0.518,38.7,0.465,16.9,3.8,52.7
76.0,Georgia,0.754,0.652,13.6,5,13.2,12.9,0.736,3.3,0.761,23.4,0.494,8.9,2.0,41.4
77.0,Saint Kitts and Nevis,0.752,..,..,..,..,..,..,..,..,..,..,..,..,..
78.0,Azerbaijan,0.751,0.652,13.2,7,12.9,21.7,0.612,8.3,0.645,8.9,0.702,5.1,1.3,33.0
79.0,Grenada,0.75,..,..,..,..,8.4,0.753,..,..,..,..,..,..,..
80.0,Jordan,0.748,0.625,16.5,2,16.4,11.9,0.732,16.9,0.586,20.5,0.568,5.1,1.4,33.7
81.0,The former Yugoslav Republic of Macedonia,0.747,0.622,16.7,2,16.1,7.6,0.788,10.6,0.608,30.1,0.504,9.3,2.3,44.2
81.0,Ukraine,0.747,0.689,7.8,16,7.7,10.4,0.703,3.6,0.770,9.2,0.604,3.4,0.9,24.8
83.0,Algeria,0.736,..,..,..,..,16.7,0.702,..,..,..,..,..,..,..
84.0,Peru,0.734,0.563,23.4,-10,23.0,13.9,0.723,23.3,0.509,31.9,0.484,11.9,2.5,45.3
85.0,Albania,0.733,0.634,13.5,8,13.4,9.9,0.801,11.9,0.561,18.3,0.567,4.3,1.0,29.0
85.0,Armenia,0.733,0.658,10.2,14,10.1,12.7,0.735,3.7,0.679,13.9,0.572,4.5,1.1,30.3
85.0,Bosnia and Herzegovina,0.733,0.635,13.3,9,13.1,6.7,0.811,12.5,0.573,20.2,0.551,5.4,1.3,33.0
88.0,Ecuador,0.732,0.570,22.1,-4,21.8,13.4,0.745,21.1,0.510,30.9,0.487,12.0,2.7,46.6
89.0,Saint Lucia,0.729,0.613,15.9,5,15.5,9.9,0.764,9.2,0.600,27.4,0.502,..,..,..
90.0,China,0.727,..,..,..,..,9.8,0.774,..,..,29.5,0.514,10.1,2.1,37.0
90.0,Fiji,0.727,0.616,15.3,8,15.1,12.3,0.675,10.5,0.686,22.6,0.505,8.0,2.2,42.8
90.0,Mongolia,0.727,0.633,12.9,12,12.8,16.6,0.634,9.4,0.647,12.3,0.619,6.2,1.6,36.5
93.0,Thailand,0.726,0.576,20.6,1,19.9,9.8,0.755,16.1,0.519,34.0,0.488,6.9,1.8,39.4
94.0,Dominica,0.724,..,..,..,..,..,..,..,..,..,..,..,..,..
94.0,Libya,0.724,..,..,..,..,10.1,0.714,..,..,..,..,..,..,..
96.0,Tunisia,0.721,0.562,22.0,-2,21.4,10.6,0.753,34.6,0.415,18.9,0.569,6.4,1.5,35.8
97.0,Colombia,0.72,0.542,24.7,-10,24.1,13.5,0.718,21.3,0.489,37.4,0.453,17.5,4.0,53.5
97.0,Saint Vincent and the Grenadines,0.72,..,..,..,..,13.0,0.708,..,..,..,..,..,..,..
99.0,Jamaica,0.719,0.593,17.5,7,16.9,15.0,0.729,5.6,0.628,30.1,0.454,9.6,2.5,45.5
100.0,Tonga,0.717,..,..,..,..,13.7,0.701,..,..,..,..,..,..,..
101.0,Belize,0.715,0.553,22.6,-3,21.7,11.4,0.682,15.9,0.611,37.9,0.406,..,..,..
101.0,Dominican Republic,0.715,0.546,23.6,-6,23.4,16.9,0.684,22.9,0.474,30.3,0.503,10.3,2.5,45.7
103.0,Suriname,0.714,0.543,24.0,-5,23.3,13.6,0.680,19.0,0.492,37.3,0.478,..,..,..
104.0,Maldives,0.706,0.531,24.9,-6,23.8,8.1,0.803,40.0,0.333,23.2,0.559,6.8,1.6,37.4
105.0,Samoa,0.702,..,..,..,..,13.3,0.713,..,..,..,..,..,..,..
106.0,Botswana,0.698,0.431,38.2,-23,36.5,21.9,0.535,32.1,0.437,55.5,0.344,22.9,5.8,60.5
107.0,Moldova (Republic of),0.693,0.618,10.8,20,10.8,11.0,0.707,7.3,0.651,14.0,0.514,4.6,1.1,30.6
108.0,Egypt,0.69,0.524,24.0,-5,22.8,13.4,0.681,40.9,0.351,14.2,0.604,4.4,1.2,30.8
109.0,Turkmenistan,0.688,..,..,..,..,26.0,0.519,..,..,..,..,..,..,..
110.0,Gabon,0.684,0.519,24.0,-6,24.0,28.0,0.492,23.5,0.465,20.4,0.613,8.3,2.1,42.2
110.0,Indonesia,0.684,0.559,18.2,6,18.2,16.4,0.629,20.8,0.486,17.3,0.573,5.7,1.5,38.1
112.0,Paraguay,0.679,0.529,22.1,-1,21.8,19.2,0.657,16.2,0.492,30.1,0.458,13.0,2.9,48.0
113.0,"Palestine, State of",0.677,0.577,14.9,16,14.8,13.1,0.707,16.5,0.549,15.0,0.494,5.5,1.4,34.5
114.0,Uzbekistan,0.675,0.569,15.8,14,15.3,24.3,0.563,1.4,0.672,20.1,0.485,5.8,1.5,35.2
115.0,Philippines,0.668,0.547,18.1,7,17.8,15.2,0.629,11.6,0.539,26.8,0.483,8.4,2.2,43.0
116.0,El Salvador,0.666,0.488,26.7,-6,26.2,14.5,0.697,30.2,0.389,34.0,0.428,8.4,2.0,41.8
116.0,South Africa,0.666,0.428,35.7,-15,33.0,25.7,0.427,16.1,0.594,57.3,0.310,28.5,8.0,65.0
116.0,Viet Nam,0.666,0.549,17.5,9,17.4,12.1,0.755,18.0,0.474,22.0,0.463,6.1,1.5,35.6
119.0,Bolivia (Plurinational State of),0.662,0.472,28.7,-5,28.4,24.5,0.561,24.7,0.480,36.1,0.391,15.2,2.7,46.6
120.0,Kyrgyzstan,0.655,0.560,14.5,17,14.2,20.0,0.623,5.0,0.665,17.7,0.424,5.4,1.3,33.4
121.0,Iraq,0.654,0.512,21.8,2,21.5,17.6,0.626,30.6,0.342,16.1,0.626,4.4,1.1,29.5
122.0,Cabo Verde,0.646,0.519,19.7,5,19.4,12.0,0.722,18.2,0.433,28.0,0.447,8.7,2.3,43.8
123.0,Micronesia (Federated States of),0.64,..,..,..,..,19.8,0.606,..,..,..,..,40.2,7.0,61.1
124.0,Guyana,0.636,0.520,18.3,8,18.1,19.2,0.577,10.5,0.511,24.4,0.477,..,..,..
125.0,Nicaragua,0.631,0.480,24.0,1,23.6,13.2,0.733,29.5,0.366,28.3,0.411,11.0,2.5,45.7
126.0,Morocco,0.628,0.441,29.7,-2,28.5,16.8,0.692,45.8,0.253,23.0,0.492,7.3,2.0,40.9
126.0,Namibia,0.628,0.354,43.6,-25,39.3,21.7,0.539,27.8,0.377,68.3,0.217,19.6,5.8,61.3
128.0,Guatemala,0.627,0.443,29.4,1,28.9,17.4,0.658,36.2,0.308,33.1,0.429,14.8,3.6,52.4
129.0,Tajikistan,0.624,0.515,17.5,10,17.0,29.3,0.537,6.5,0.615,15.0,0.414,4.7,1.1,30.8
130.0,India,0.609,0.435,28.6,1,27.7,25.0,0.554,42.1,0.292,16.1,0.508,5.0,1.4,33.6
131.0,Honduras,0.606,0.412,32.1,-7,30.7,17.0,0.678,26.4,0.361,48.6,0.285,23.5,5.0,57.4
132.0,Bhutan,0.605,0.425,29.8,-2,28.9,22.2,0.593,44.8,0.249,19.6,0.519,6.8,1.8,38.7
133.0,Timor-Leste,0.595,0.412,30.7,-4,29.4,22.8,0.572,47.6,0.247,17.8,0.494,4.4,1.2,30.4
134.0,Syrian Arab Republic,0.594,0.468,21.2,8,20.8,12.6,0.667,31.5,0.376,18.3,0.408,5.7,1.5,35.8
134.0,Vanuatu,0.594,0.492,17.2,12,17.2,15.4,0.675,17.5,0.430,18.5,0.410,..,..,..
136.0,Congo,0.591,0.434,26.6,6,26.2,36.0,0.417,21.5,0.402,21.2,0.488,8.2,1.9,40.2
137.0,Kiribati,0.59,0.405,31.5,-2,30.1,20.6,0.562,21.4,0.474,48.4,0.249,..,..,..
138.0,Equatorial Guinea,0.587,..,..,..,..,44.4,0.322,..,..,..,..,..,..,..
139.0,Zambia,0.586,0.384,34.4,-6,33.9,37.2,0.387,21.7,0.466,42.6,0.314,17.4,4.8,57.5
140.0,Ghana,0.579,0.387,33.1,-3,33.1,30.8,0.441,36.7,0.350,31.7,0.377,9.3,2.2,42.8
141.0,Lao People's Democratic Republic,0.575,0.428,25.6,7,25.3,21.5,0.558,34.1,0.304,20.3,0.463,5.8,1.6,36.2
142.0,Bangladesh,0.57,0.403,29.4,1,29.0,20.1,0.634,38.6,0.274,28.3,0.375,4.7,1.3,32.1
143.0,Cambodia,0.555,0.418,24.7,7,24.6,25.3,0.557,28.3,0.321,20.3,0.407,4.6,1.3,31.8
143.0,Sao Tome and Principe,0.555,0.418,24.7,6,24.7,26.9,0.523,21.4,0.368,25.8,0.378,5.6,1.3,33.9
145.0,Kenya,0.548,0.377,31.3,-3,31.1,31.5,0.439,26.0,0.380,36.0,0.321,11.0,2.8,47.7
145.0,Nepal,0.548,0.401,26.8,3,25.9,21.1,0.602,41.4,0.266,15.1,0.403,5.0,1.3,32.8
147.0,Pakistan,0.538,0.377,29.9,0,28.6,29.9,0.498,44.4,0.208,11.6,0.519,4.1,1.1,29.6
148.0,Myanmar,0.536,..,..,..,..,27.1,0.515,19.4,0.303,..,..,..,..,..
149.0,Angola,0.532,0.335,37.0,-8,36.6,46.2,0.267,34.6,0.310,28.9,0.453,9.0,2.2,42.7
150.0,Swaziland,0.531,0.354,33.3,-2,33.1,35.0,0.290,26.8,0.404,37.6,0.379,14.0,3.5,51.5
151.0,Tanzania (United Republic of),0.521,0.379,27.3,4,27.2,30.4,0.482,28.5,0.304,22.7,0.372,6.2,1.7,37.8
152.0,Nigeria,0.514,0.320,37.8,-9,37.5,40.8,0.299,43.3,0.254,28.4,0.430,9.1,2.2,43.0
153.0,Cameroon,0.512,0.344,32.8,-1,32.4,39.4,0.331,34.8,0.318,23.1,0.387,7.5,1.9,40.7
154.0,Madagascar,0.51,0.372,27.0,4,26.8,24.8,0.522,35.0,0.318,20.4,0.311,7.4,1.9,40.6
155.0,Zimbabwe,0.509,0.371,27.0,4,26.7,26.8,0.422,17.4,0.449,35.8,0.270,..,..,..
156.0,Mauritania,0.506,0.337,33.4,1,32.9,36.6,0.420,40.8,0.214,21.2,0.425,7.8,1.9,40.5
156.0,Solomon Islands,0.506,0.385,23.8,11,23.8,22.3,0.573,22.8,0.328,26.3,0.304,..,..,..
158.0,Papua New Guinea,0.505,..,..,..,..,26.5,0.481,11.5,0.360,..,..,..,..,..
159.0,Comoros,0.503,0.268,46.7,-18,46.0,34.2,0.438,47.6,0.248,56.0,0.178,26.7,7.0,64.3
160.0,Yemen,0.498,0.329,34.0,0,33.0,30.3,0.469,48.1,0.177,20.6,0.427,5.6,1.5,35.9
161.0,Lesotho,0.497,0.320,35.6,-2,34.9,33.5,0.305,24.3,0.383,47.0,0.280,20.4,4.3,54.2
162.0,Togo,0.484,0.322,33.4,1,33.1,36.8,0.386,38.9,0.299,23.5,0.290,10.7,2.6,46.0
163.0,Haiti,0.483,0.296,38.8,-7,38.2,27.9,0.475,38.3,0.249,48.4,0.219,26.6,5.5,59.2
163.0,Rwanda,0.483,0.330,31.6,4,31.6,30.2,0.475,29.4,0.289,35.2,0.262,11.0,3.2,50.8
163.0,Uganda,0.483,0.337,30.2,6,30.2,33.8,0.392,29.4,0.319,27.3,0.305,8.8,2.4,44.6
166.0,Benin,0.48,0.300,37.4,-2,37.1,37.0,0.384,44.8,0.230,29.4,0.306,8.2,2.2,43.5
167.0,Sudan,0.479,..,..,..,..,32.8,0.450,42.7,0.171,..,..,6.2,1.4,35.3
168.0,Djibouti,0.47,0.308,34.6,1,33.7,32.5,0.436,47.0,0.162,21.7,0.413,7.7,1.9,40.0
169.0,South Sudan,0.467,..,..,..,..,40.8,0.325,39.6,0.235,..,..,..,..,..
170.0,Senegal,0.466,0.305,34.4,1,34.0,29.5,0.504,44.7,0.168,27.7,0.337,7.8,1.9,40.3
171.0,Afghanistan,0.465,0.319,31.4,5,30.0,34.3,0.408,44.8,0.202,10.8,0.396,4.0,1.0,27.8
172.0,Côte d'Ivoire,0.462,0.287,38.0,-1,37.6,40.2,0.290,45.1,0.214,27.4,0.379,9.4,2.2,43.2
173.0,Malawi,0.445,0.299,32.9,2,32.6,40.0,0.395,30.2,0.308,27.7,0.220,9.7,2.6,46.2
174.0,Ethiopia,0.442,0.312,29.4,7,28.0,30.2,0.474,44.3,0.176,9.5,0.363,5.3,1.4,33.6
175.0,Gambia,0.441,..,..,..,..,34.8,0.403,..,..,26.9,0.299,11.0,2.8,47.3
176.0,Congo (Democratic Republic of the),0.433,0.276,36.2,0,35.3,49.9,0.298,27.7,0.341,28.2,0.208,9.3,2.4,44.4
177.0,Liberia,0.43,0.280,34.8,2,34.1,33.1,0.421,46.4,0.215,22.7,0.243,7.0,1.7,38.2
178.0,Guinea-Bissau,0.42,0.254,39.6,-5,39.4,45.3,0.296,40.3,0.206,32.5,0.267,5.9,1.5,35.5
179.0,Mali,0.419,0.270,35.7,1,34.5,45.6,0.318,41.6,0.176,16.1,0.350,5.2,1.3,33.0
180.0,Mozambique,0.416,0.273,34.3,3,34.1,40.2,0.323,33.8,0.242,28.4,0.262,9.8,2.5,45.7
181.0,Sierra Leone,0.413,0.241,41.7,-4,40.0,51.2,0.232,49.6,0.171,19.2,0.351,5.6,1.5,35.4
182.0,Guinea,0.411,0.261,36.5,0,35.2,40.3,0.356,48.3,0.167,17.1,0.300,5.5,1.3,33.7
183.0,Burkina Faso,0.402,0.261,35.0,2,34.6,41.1,0.351,38.6,0.161,24.2,0.317,7.0,1.9,39.8
184.0,Burundi,0.4,0.269,32.6,5,31.5,43.6,0.318,36.9,0.234,14.1,0.263,4.8,1.3,33.3
185.0,Chad,0.392,0.236,39.9,-1,39.6,46.1,0.262,41.9,0.157,30.7,0.318,10.0,2.2,43.3
186.0,Eritrea,0.391,..,..,..,..,24.7,0.506,..,..,..,..,..,..,..
187.0,Central African Republic,0.35,0.198,43.5,-1,43.1,45.7,0.256,34.5,0.224,49.2,0.135,18.0,4.5,56.3
188.0,Niger,0.348,0.246,29.2,3,28.4,37.9,0.396,35.0,0.129,12.3,0.292,4.5,1.2,31.2
,Arab States,0.686,0.512,25.4,,24.7,17.4,0.643,38.9,0.334,17.7,0.626,,,
,East Asia and the Pacific,0.71,0.572,19.4,,19.2,11.7,0.734,18.4,0.491,27.4,0.520,,,
,Europe and Central Asia,0.748,0.651,13.0,,12.9,14.3,0.690,7.9,0.655,16.6,0.611,,,
,Latin America and the Caribbean,0.748,0.570,23.7,,23.2,13.3,0.734,21.0,0.522,35.2,0.485,,,
,South Asia,0.607,0.433,28.7,,27.9,24.4,0.563,41.5,0.288,17.9,0.499,,,
,Sub-Saharan Africa,0.518,0.345,33.3,,33.1,36.6,0.375,35.3,0.285,27.5,0.385,,,
,World,0.711,0.548,22.8,,22.7,17.4,0.654,26.8,0.442,24.0,0.570,,,
