location,date,vaccine,total_vaccinations
Austria,2021-06-25,Oxford/AstraZeneca,1277760.0
Austria,2021-06-25,Pfizer/BioNTech,5368762.0
Austria,2021-07-02,Johnson&Johnson,128390.0
Austria,2021-07-02,Moderna,802659.0
Austria,2021-07-02,Oxford/AstraZeneca,1385542.0
Austria,2021-07-02,Pfizer/BioNTech,5758972.0
Austria,2021-07-09,Johnson&Johnson,152330.0
Austria,2021-07-09,Moderna,852881.0
Austria,2021-07-09,Oxford/AstraZeneca,1453311.0
Austria,2021-07-09,Pfizer/BioNTech,6085121.0
Austria,2021-07-16,Johnson&Johnson,171477.0
Austria,2021-07-16,Moderna,897225.0
Austria,2021-07-16,Oxford/AstraZeneca,1504941.0
Austria,2021-07-16,Pfizer/BioNTech,6356094.0
Austria,2021-07-23,Johnson&Johnson,187813.0
Austria,2021-07-23,Moderna,943561.0
Austria,2021-07-23,Oxford/AstraZeneca,1534686.0
Austria,2021-07-23,Pfizer/BioNTech,6602908.0
Austria,2021-07-30,Johnson&Johnson,199733.0
Austria,2021-07-30,Moderna,962286.0
Austria,2021-07-30,Oxford/AstraZeneca,1561183.0
Austria,2021-07-30,Pfizer/BioNTech,6811347.0
Austria,2021-08-06,Johnson&Johnson,214679.0
Austria,2021-08-06,Moderna,979928.0
Austria,2021-08-06,Oxford/AstraZeneca,1576637.0
Austria,2021-08-06,Pfizer/BioNTech,6986473.0
Austria,2021-08-13,Johnson&Johnson,224751.0
Austria,2021-08-13,Moderna,989235.0
Austria,2021-08-13,Oxford/AstraZeneca,1582511.0
Austria,2021-08-13,Pfizer/BioNTech,7109305.0
Austria,2021-08-20,Johnson&Johnson,237909.0
Austria,2021-08-20,Moderna,1002984.0
Austria,2021-08-20,Oxford/AstraZeneca,1585730.0
Austria,2021-08-20,Pfizer/BioNTech,7200410.0
Austria,2021-08-27,Johnson&Johnson,251033.0
Austria,2021-08-27,Moderna,1006516.0
Austria,2021-08-27,Oxford/AstraZeneca,1587875.0
Austria,2021-08-27,Pfizer/BioNTech,7255948.0
Belgium,2021-01-08,Johnson&Johnson,0.0
Belgium,2021-01-08,Moderna,0.0
Belgium,2021-01-08,Oxford/AstraZeneca,0.0
Belgium,2021-01-08,Pfizer/BioNTech,27956.0
Belgium,2021-01-15,Johnson&Johnson,0.0
Belgium,2021-01-15,Moderna,32.0
Belgium,2021-01-15,Oxford/AstraZeneca,0.0
Belgium,2021-01-15,Pfizer/BioNTech,126691.0
Belgium,2021-01-22,Johnson&Johnson,0.0
Belgium,2021-01-22,Moderna,4489.0
Belgium,2021-01-22,Oxford/AstraZeneca,0.0
Belgium,2021-01-22,Pfizer/BioNTech,244321.0
Belgium,2021-01-29,Johnson&Johnson,0.0
Belgium,2021-01-29,Moderna,6176.0
Belgium,2021-01-29,Oxford/AstraZeneca,0.0
Belgium,2021-01-29,Pfizer/BioNTech,333852.0
Belgium,2021-02-05,Johnson&Johnson,0.0
Belgium,2021-02-05,Moderna,15896.0
Belgium,2021-02-05,Oxford/AstraZeneca,0.0
Belgium,2021-02-05,Pfizer/BioNTech,462693.0
Belgium,2021-02-12,Johnson&Johnson,0.0
Belgium,2021-02-12,Moderna,25451.0
Belgium,2021-02-12,Oxford/AstraZeneca,344.0
Belgium,2021-02-12,Pfizer/BioNTech,598021.0
Belgium,2021-02-19,Johnson&Johnson,0.0
Belgium,2021-02-19,Moderna,30235.0
Belgium,2021-02-19,Oxford/AstraZeneca,10692.0
Belgium,2021-02-19,Pfizer/BioNTech,698503.0
Belgium,2021-02-26,Johnson&Johnson,0.0
Belgium,2021-02-26,Moderna,32688.0
Belgium,2021-02-26,Oxford/AstraZeneca,45168.0
Belgium,2021-02-26,Pfizer/BioNTech,786939.0
Belgium,2021-03-05,Johnson&Johnson,0.0
Belgium,2021-03-05,Moderna,51465.0
Belgium,2021-03-05,Oxford/AstraZeneca,109818.0
Belgium,2021-03-05,Pfizer/BioNTech,875720.0
Belgium,2021-03-12,Johnson&Johnson,0.0
Belgium,2021-03-12,Moderna,67334.0
Belgium,2021-03-12,Oxford/AstraZeneca,190812.0
Belgium,2021-03-12,Pfizer/BioNTech,971940.0
Belgium,2021-03-19,Johnson&Johnson,0.0
Belgium,2021-03-19,Moderna,89759.0
Belgium,2021-03-19,Oxford/AstraZeneca,350451.0
Belgium,2021-03-19,Pfizer/BioNTech,1082146.0
Belgium,2021-03-26,Johnson&Johnson,0.0
Belgium,2021-03-26,Moderna,100048.0
Belgium,2021-03-26,Oxford/AstraZeneca,460992.0
Belgium,2021-03-26,Pfizer/BioNTech,1278456.0
Belgium,2021-04-02,Johnson&Johnson,0.0
Belgium,2021-04-02,Moderna,127793.0
Belgium,2021-04-02,Oxford/AstraZeneca,520884.0
Belgium,2021-04-02,Pfizer/BioNTech,1536836.0
Belgium,2021-04-09,Johnson&Johnson,0.0
Belgium,2021-04-09,Moderna,174932.0
Belgium,2021-04-09,Oxford/AstraZeneca,600505.0
Belgium,2021-04-09,Pfizer/BioNTech,1854675.0
Belgium,2021-04-16,Johnson&Johnson,0.0
Belgium,2021-04-16,Moderna,209440.0
Belgium,2021-04-16,Oxford/AstraZeneca,781309.0
Belgium,2021-04-16,Pfizer/BioNTech,2131802.0
Belgium,2021-04-23,Johnson&Johnson,0.0
Belgium,2021-04-23,Moderna,260716.0
Belgium,2021-04-23,Oxford/AstraZeneca,838141.0
Belgium,2021-04-23,Pfizer/BioNTech,2448610.0
Belgium,2021-04-30,Johnson&Johnson,2973.0
Belgium,2021-04-30,Moderna,287702.0
Belgium,2021-04-30,Oxford/AstraZeneca,903540.0
Belgium,2021-04-30,Pfizer/BioNTech,2804183.0
Belgium,2021-05-07,Johnson&Johnson,23806.0
Belgium,2021-05-07,Moderna,345449.0
Belgium,2021-05-07,Oxford/AstraZeneca,1006158.0
Belgium,2021-05-07,Pfizer/BioNTech,3355953.0
Belgium,2021-05-14,Johnson&Johnson,29483.0
Belgium,2021-05-14,Moderna,399878.0
Belgium,2021-05-14,Oxford/AstraZeneca,1099066.0
Belgium,2021-05-14,Pfizer/BioNTech,3807215.0
Belgium,2021-05-21,Johnson&Johnson,49852.0
Belgium,2021-05-21,Moderna,501601.0
Belgium,2021-05-21,Oxford/AstraZeneca,1365809.0
Belgium,2021-05-21,Pfizer/BioNTech,4175941.0
Belgium,2021-05-28,Johnson&Johnson,73539.0
Belgium,2021-05-28,Moderna,575895.0
Belgium,2021-05-28,Oxford/AstraZeneca,1465576.0
Belgium,2021-05-28,Pfizer/BioNTech,4617550.0
Belgium,2021-06-04,Johnson&Johnson,97286.0
Belgium,2021-06-04,Moderna,652088.0
Belgium,2021-06-04,Oxford/AstraZeneca,1568817.0
Belgium,2021-06-04,Pfizer/BioNTech,5315890.0
Belgium,2021-06-11,Johnson&Johnson,143374.0
Belgium,2021-06-11,Moderna,738346.0
Belgium,2021-06-11,Oxford/AstraZeneca,1755687.0
Belgium,2021-06-11,Pfizer/BioNTech,6069000.0
Belgium,2021-06-18,Johnson&Johnson,212699.0
Belgium,2021-06-18,Moderna,844588.0
Belgium,2021-06-18,Oxford/AstraZeneca,1890473.0
Belgium,2021-06-18,Pfizer/BioNTech,6781529.0
Belgium,2021-06-25,Johnson&Johnson,243584.0
Belgium,2021-06-25,Moderna,957112.0
Belgium,2021-06-25,Oxford/AstraZeneca,1959521.0
Belgium,2021-06-25,Pfizer/BioNTech,7440920.0
Belgium,2021-07-02,Johnson&Johnson,266972.0
Belgium,2021-07-02,Moderna,1040592.0
Belgium,2021-07-02,Oxford/AstraZeneca,2059272.0
Belgium,2021-07-02,Pfizer/BioNTech,7909277.0
Belgium,2021-07-09,Johnson&Johnson,281962.0
Belgium,2021-07-09,Moderna,1102080.0
Belgium,2021-07-09,Oxford/AstraZeneca,2286250.0
Belgium,2021-07-09,Pfizer/BioNTech,8442582.0
Belgium,2021-07-16,Johnson&Johnson,299889.0
Belgium,2021-07-16,Moderna,1156706.0
Belgium,2021-07-16,Oxford/AstraZeneca,2440549.0
Belgium,2021-07-16,Pfizer/BioNTech,8949650.0
Belgium,2021-07-23,Johnson&Johnson,310380.0
Belgium,2021-07-23,Moderna,1210155.0
Belgium,2021-07-23,Oxford/AstraZeneca,2546707.0
Belgium,2021-07-23,Pfizer/BioNTech,9500996.0
Belgium,2021-07-30,Johnson&Johnson,319462.0
Belgium,2021-07-30,Moderna,1240993.0
Belgium,2021-07-30,Oxford/AstraZeneca,2637997.0
Belgium,2021-07-30,Pfizer/BioNTech,1.0009092E7
Belgium,2021-08-06,Johnson&Johnson,328381.0
Belgium,2021-08-06,Moderna,1264362.0
Belgium,2021-08-06,Oxford/AstraZeneca,2698509.0
Belgium,2021-08-06,Pfizer/BioNTech,1.0366657E7
Belgium,2021-08-13,Johnson&Johnson,335492.0
Belgium,2021-08-13,Moderna,1281583.0
Belgium,2021-08-13,Oxford/AstraZeneca,2811494.0
Belgium,2021-08-13,Pfizer/BioNTech,1.0516993E7
Belgium,2021-08-20,Johnson&Johnson,340579.0
Belgium,2021-08-20,Moderna,1292943.0
Belgium,2021-08-20,Oxford/AstraZeneca,2820982.0
Belgium,2021-08-20,Pfizer/BioNTech,1.0615367E7
Belgium,2021-08-27,Johnson&Johnson,343067.0
Belgium,2021-08-27,Moderna,1297527.0
Belgium,2021-08-27,Oxford/AstraZeneca,2822648.0
Belgium,2021-08-27,Pfizer/BioNTech,1.0646169E7
Bulgaria,2021-01-01,Pfizer/BioNTech,0.0
Bulgaria,2021-01-08,Moderna,0.0
Bulgaria,2021-01-08,Pfizer/BioNTech,13473.0
Bulgaria,2021-01-15,Moderna,491.0
Bulgaria,2021-01-15,Pfizer/BioNTech,17962.0
Bulgaria,2021-01-22,Moderna,843.0
Bulgaria,2021-01-22,Pfizer/BioNTech,25300.0
Bulgaria,2021-01-29,Moderna,1053.0
Bulgaria,2021-01-29,Pfizer/BioNTech,40072.0
Bulgaria,2021-02-05,Moderna,2207.0
Bulgaria,2021-02-05,Oxford/AstraZeneca,10.0
Bulgaria,2021-02-05,Pfizer/BioNTech,54821.0
Bulgaria,2021-02-12,Moderna,3333.0
Bulgaria,2021-02-12,Oxford/AstraZeneca,2035.0
Bulgaria,2021-02-12,Pfizer/BioNTech,70020.0
Bulgaria,2021-02-19,Moderna,6446.0
Bulgaria,2021-02-19,Oxford/AstraZeneca,28947.0
Bulgaria,2021-02-19,Pfizer/BioNTech,83960.0
Bulgaria,2021-02-26,Moderna,10475.0
Bulgaria,2021-02-26,Oxford/AstraZeneca,97630.0
Bulgaria,2021-02-26,Pfizer/BioNTech,104340.0
Bulgaria,2021-03-05,Moderna,14820.0
Bulgaria,2021-03-05,Oxford/AstraZeneca,143932.0
Bulgaria,2021-03-05,Pfizer/BioNTech,129880.0
Bulgaria,2021-03-12,Moderna,16988.0
Bulgaria,2021-03-12,Oxford/AstraZeneca,174209.0
Bulgaria,2021-03-12,Pfizer/BioNTech,147683.0
Bulgaria,2021-03-19,Moderna,20921.0
Bulgaria,2021-03-19,Oxford/AstraZeneca,179029.0
Bulgaria,2021-03-19,Pfizer/BioNTech,168956.0
Bulgaria,2021-03-26,Moderna,34004.0
Bulgaria,2021-03-26,Oxford/AstraZeneca,206835.0
Bulgaria,2021-03-26,Pfizer/BioNTech,195704.0
Bulgaria,2021-04-02,Moderna,44809.0
Bulgaria,2021-04-02,Oxford/AstraZeneca,230180.0
Bulgaria,2021-04-02,Pfizer/BioNTech,228583.0
Bulgaria,2021-04-09,Moderna,59160.0
Bulgaria,2021-04-09,Oxford/AstraZeneca,238387.0
Bulgaria,2021-04-09,Pfizer/BioNTech,275118.0
Bulgaria,2021-04-16,Johnson&Johnson,0.0
Bulgaria,2021-04-16,Moderna,74318.0
Bulgaria,2021-04-16,Oxford/AstraZeneca,241707.0
Bulgaria,2021-04-16,Pfizer/BioNTech,322422.0
Bulgaria,2021-04-23,Johnson&Johnson,0.0
Bulgaria,2021-04-23,Moderna,93241.0
Bulgaria,2021-04-23,Oxford/AstraZeneca,247383.0
Bulgaria,2021-04-23,Pfizer/BioNTech,382650.0
Bulgaria,2021-04-30,Johnson&Johnson,0.0
Bulgaria,2021-04-30,Moderna,108865.0
Bulgaria,2021-04-30,Oxford/AstraZeneca,263756.0
Bulgaria,2021-04-30,Pfizer/BioNTech,452036.0
Bulgaria,2021-05-07,Johnson&Johnson,0.0
Bulgaria,2021-05-07,Moderna,122688.0
Bulgaria,2021-05-07,Oxford/AstraZeneca,300451.0
Bulgaria,2021-05-07,Pfizer/BioNTech,514960.0
Bulgaria,2021-05-14,Johnson&Johnson,398.0
Bulgaria,2021-05-14,Moderna,145571.0
Bulgaria,2021-05-14,Oxford/AstraZeneca,364379.0
Bulgaria,2021-05-14,Pfizer/BioNTech,606439.0
Bulgaria,2021-05-21,Johnson&Johnson,2629.0
Bulgaria,2021-05-21,Moderna,165767.0
Bulgaria,2021-05-21,Oxford/AstraZeneca,401422.0
Bulgaria,2021-05-21,Pfizer/BioNTech,690983.0
Bulgaria,2021-05-28,Johnson&Johnson,6276.0
Bulgaria,2021-05-28,Moderna,181502.0
Bulgaria,2021-05-28,Oxford/AstraZeneca,411232.0
Bulgaria,2021-05-28,Pfizer/BioNTech,754371.0
Bulgaria,2021-06-04,Johnson&Johnson,11142.0
Bulgaria,2021-06-04,Moderna,190457.0
Bulgaria,2021-06-04,Oxford/AstraZeneca,435357.0
Bulgaria,2021-06-04,Pfizer/BioNTech,827459.0
Bulgaria,2021-06-11,Johnson&Johnson,17987.0
Bulgaria,2021-06-11,Moderna,202784.0
Bulgaria,2021-06-11,Oxford/AstraZeneca,457900.0
Bulgaria,2021-06-11,Pfizer/BioNTech,898271.0
Bulgaria,2021-06-18,Johnson&Johnson,25928.0
Bulgaria,2021-06-18,Moderna,216421.0
Bulgaria,2021-06-18,Oxford/AstraZeneca,467870.0
Bulgaria,2021-06-18,Pfizer/BioNTech,949706.0
Bulgaria,2021-06-25,Johnson&Johnson,33099.0
Bulgaria,2021-06-25,Moderna,225728.0
Bulgaria,2021-06-25,Oxford/AstraZeneca,470990.0
Bulgaria,2021-06-25,Pfizer/BioNTech,997114.0
Bulgaria,2021-07-02,Johnson&Johnson,39994.0
Bulgaria,2021-07-02,Moderna,234047.0
Bulgaria,2021-07-02,Oxford/AstraZeneca,472860.0
Bulgaria,2021-07-02,Pfizer/BioNTech,1042927.0
Bulgaria,2021-07-09,Johnson&Johnson,48424.0
Bulgaria,2021-07-09,Moderna,241862.0
Bulgaria,2021-07-09,Oxford/AstraZeneca,474021.0
Bulgaria,2021-07-09,Pfizer/BioNTech,1086383.0
Bulgaria,2021-07-16,Johnson&Johnson,58430.0
Bulgaria,2021-07-16,Moderna,247955.0
Bulgaria,2021-07-16,Oxford/AstraZeneca,474812.0
Bulgaria,2021-07-16,Pfizer/BioNTech,1127926.0
Bulgaria,2021-07-23,Johnson&Johnson,68108.0
Bulgaria,2021-07-23,Moderna,252761.0
Bulgaria,2021-07-23,Oxford/AstraZeneca,475720.0
Bulgaria,2021-07-23,Pfizer/BioNTech,1167720.0
Bulgaria,2021-07-30,Johnson&Johnson,78440.0
Bulgaria,2021-07-30,Moderna,258066.0
Bulgaria,2021-07-30,Oxford/AstraZeneca,476371.0
Bulgaria,2021-07-30,Pfizer/BioNTech,1212406.0
Bulgaria,2021-08-06,Johnson&Johnson,89960.0
Bulgaria,2021-08-06,Moderna,263844.0
Bulgaria,2021-08-06,Oxford/AstraZeneca,476700.0
Bulgaria,2021-08-06,Pfizer/BioNTech,1256750.0
Bulgaria,2021-08-13,Johnson&Johnson,102550.0
Bulgaria,2021-08-13,Moderna,269269.0
Bulgaria,2021-08-13,Oxford/AstraZeneca,477025.0
Bulgaria,2021-08-13,Pfizer/BioNTech,1298259.0
Bulgaria,2021-08-20,Johnson&Johnson,116845.0
Bulgaria,2021-08-20,Moderna,274596.0
Bulgaria,2021-08-20,Oxford/AstraZeneca,477363.0
Bulgaria,2021-08-20,Pfizer/BioNTech,1341032.0
Bulgaria,2021-08-27,Johnson&Johnson,133004.0
Bulgaria,2021-08-27,Moderna,280188.0
Bulgaria,2021-08-27,Oxford/AstraZeneca,477659.0
Bulgaria,2021-08-27,Pfizer/BioNTech,1387124.0
Chile,2020-12-24,Pfizer/BioNTech,420.0
Chile,2020-12-25,Pfizer/BioNTech,5201.0
Chile,2020-12-26,Pfizer/BioNTech,8344.0
Chile,2020-12-27,Pfizer/BioNTech,8655.0
Chile,2020-12-28,Pfizer/BioNTech,8655.0
Chile,2020-12-29,Pfizer/BioNTech,8655.0
Chile,2020-12-30,Pfizer/BioNTech,8655.0
Chile,2020-12-31,Pfizer/BioNTech,8655.0
Chile,2021-01-01,Pfizer/BioNTech,8655.0
Chile,2021-01-02,Pfizer/BioNTech,8655.0
Chile,2021-01-03,Pfizer/BioNTech,8655.0
Chile,2021-01-04,Pfizer/BioNTech,9060.0
Chile,2021-01-05,Pfizer/BioNTech,10503.0
Chile,2021-01-06,Pfizer/BioNTech,10708.0
Chile,2021-01-07,Pfizer/BioNTech,10708.0
Chile,2021-01-08,Pfizer/BioNTech,10708.0
Chile,2021-01-09,Pfizer/BioNTech,10708.0
Chile,2021-01-10,Pfizer/BioNTech,10708.0
Chile,2021-01-11,Pfizer/BioNTech,10708.0
Chile,2021-01-12,Pfizer/BioNTech,10708.0
Chile,2021-01-13,Pfizer/BioNTech,11741.0
Chile,2021-01-14,Pfizer/BioNTech,18657.0
Chile,2021-01-15,Pfizer/BioNTech,22088.0
Chile,2021-01-16,Pfizer/BioNTech,22178.0
Chile,2021-01-17,Pfizer/BioNTech,22178.0
Chile,2021-01-18,Pfizer/BioNTech,33229.0
Chile,2021-01-19,Pfizer/BioNTech,52591.0
Chile,2021-01-20,Pfizer/BioNTech,61900.0
Chile,2021-01-21,Pfizer/BioNTech,64957.0
Chile,2021-01-22,Pfizer/BioNTech,65373.0
Chile,2021-01-23,Pfizer/BioNTech,65373.0
Chile,2021-01-24,Pfizer/BioNTech,65373.0
Chile,2021-01-25,Pfizer/BioNTech,66793.0
Chile,2021-01-26,Pfizer/BioNTech,67409.0
Chile,2021-01-27,Pfizer/BioNTech,67444.0
Chile,2021-01-28,Pfizer/BioNTech,67444.0
Chile,2021-01-29,Pfizer/BioNTech,67449.0
Chile,2021-01-30,Pfizer/BioNTech,67450.0
Chile,2021-01-31,Pfizer/BioNTech,67450.0
Chile,2021-02-01,Pfizer/BioNTech,67450.0
Chile,2021-02-02,Pfizer/BioNTech,67456.0
Chile,2021-02-02,Sinovac,13183.0
Chile,2021-02-03,Pfizer/BioNTech,67456.0
Chile,2021-02-03,Sinovac,183555.0
Chile,2021-02-04,Pfizer/BioNTech,69584.0
Chile,2021-02-04,Sinovac,357566.0
Chile,2021-02-05,Pfizer/BioNTech,70272.0
Chile,2021-02-05,Sinovac,526319.0
Chile,2021-02-06,Pfizer/BioNTech,70277.0
Chile,2021-02-06,Sinovac,554170.0
Chile,2021-02-07,Pfizer/BioNTech,70279.0
Chile,2021-02-07,Sinovac,562806.0
Chile,2021-02-08,Pfizer/BioNTech,82079.0
Chile,2021-02-08,Sinovac,784293.0
Chile,2021-02-09,Pfizer/BioNTech,101558.0
Chile,2021-02-09,Sinovac,1026689.0
Chile,2021-02-10,Pfizer/BioNTech,110003.0
Chile,2021-02-10,Sinovac,1299026.0
Chile,2021-02-11,Pfizer/BioNTech,113076.0
Chile,2021-02-11,Sinovac,1550230.0
Chile,2021-02-12,Pfizer/BioNTech,113436.0
Chile,2021-02-12,Sinovac,1779345.0
Chile,2021-02-13,Pfizer/BioNTech,113469.0
Chile,2021-02-13,Sinovac,1808867.0
Chile,2021-02-14,Pfizer/BioNTech,113469.0
Chile,2021-02-14,Sinovac,1813335.0
Chile,2021-02-15,Pfizer/BioNTech,113470.0
Chile,2021-02-15,Sinovac,2079192.0
Chile,2021-02-16,Pfizer/BioNTech,113482.0
Chile,2021-02-16,Sinovac,2299253.0
Chile,2021-02-17,Pfizer/BioNTech,113482.0
Chile,2021-02-17,Sinovac,2487297.0
Chile,2021-02-18,Pfizer/BioNTech,113485.0
Chile,2021-02-18,Sinovac,2642561.0
Chile,2021-02-19,Pfizer/BioNTech,113485.0
Chile,2021-02-19,Sinovac,2784690.0
Chile,2021-02-20,Pfizer/BioNTech,113487.0
Chile,2021-02-20,Sinovac,2794330.0
Chile,2021-02-21,Pfizer/BioNTech,113487.0
Chile,2021-02-21,Sinovac,2795492.0
Chile,2021-02-22,Pfizer/BioNTech,125577.0
Chile,2021-02-22,Sinovac,2891528.0
Chile,2021-02-23,Pfizer/BioNTech,150421.0
Chile,2021-02-23,Sinovac,2960925.0
Chile,2021-02-24,Pfizer/BioNTech,178941.0
Chile,2021-02-24,Sinovac,3018680.0
Chile,2021-02-25,Pfizer/BioNTech,212659.0
Chile,2021-02-25,Sinovac,3071044.0
Chile,2021-02-26,Pfizer/BioNTech,242390.0
Chile,2021-02-26,Sinovac,3119710.0
Chile,2021-02-27,Pfizer/BioNTech,248715.0
Chile,2021-02-27,Sinovac,3123432.0
Chile,2021-02-28,Pfizer/BioNTech,248717.0
Chile,2021-02-28,Sinovac,3123785.0
Chile,2021-03-01,Pfizer/BioNTech,263621.0
Chile,2021-03-01,Sinovac,3246441.0
Chile,2021-03-02,Pfizer/BioNTech,294544.0
Chile,2021-03-02,Sinovac,3386896.0
Chile,2021-03-03,Pfizer/BioNTech,313112.0
Chile,2021-03-03,Sinovac,3680267.0
Chile,2021-03-04,Pfizer/BioNTech,322222.0
Chile,2021-03-04,Sinovac,3981755.0
Chile,2021-03-05,Pfizer/BioNTech,327978.0
Chile,2021-03-05,Sinovac,4273901.0
Chile,2021-03-06,Pfizer/BioNTech,328322.0
Chile,2021-03-06,Sinovac,4307340.0
Chile,2021-03-07,Pfizer/BioNTech,328428.0
Chile,2021-03-07,Sinovac,4315198.0
Chile,2021-03-08,Pfizer/BioNTech,341027.0
Chile,2021-03-08,Sinovac,4653289.0
Chile,2021-03-09,Pfizer/BioNTech,378609.0
Chile,2021-03-09,Sinovac,4992312.0
Chile,2021-03-10,Pfizer/BioNTech,420221.0
Chile,2021-03-10,Sinovac,5352108.0
Chile,2021-03-11,Pfizer/BioNTech,465964.0
Chile,2021-03-11,Sinovac,5723488.0
Chile,2021-03-12,Pfizer/BioNTech,483378.0
Chile,2021-03-12,Sinovac,6080509.0
Chile,2021-03-13,Pfizer/BioNTech,483931.0
Chile,2021-03-13,Sinovac,6130412.0
Chile,2021-03-14,Pfizer/BioNTech,483931.0
Chile,2021-03-14,Sinovac,6136999.0
Chile,2021-03-15,Pfizer/BioNTech,507852.0
Chile,2021-03-15,Sinovac,6543410.0
