Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Orders,Unit Cost,Total Cost (Current),Average Age
Air Astana,Air Astana,Airbus A320,9.0,,6.0,15.0,2.0,$98,$882,3.6
Air Astana,Air Astana,Airbus A321,4.0,,,4.0,8.0,$115,$460,10.6
Air Astana,Air Astana,Boeing 737,,,4.0,4.0,,$74,$0,
Air Astana,Air Astana,Boeing 757,5.0,,,5.0,,$73,$363,19.5
Air Astana,Air Astana,Boeing 767,3.0,,2.0,5.0,,$187,$561,3.0
Air Astana,Air Astana,Boeing 787,,,,,3.0,$265,$0,
Air Astana,Air Astana,Embraer ERJ-190,9.0,,,9.0,,$46,$416,4.5
Air Astana,Air Astana,Fokker F50 / F60,,,6.0,6.0,,$18,$0,
Air Berlin,Air Berlin,Airbus A319,6.0,,15.0,21.0,,$90,$538,8.5
Air Berlin,Air Berlin,Airbus A320,54.0,7.0,50.0,111.0,,$98,"$5,292",7.6
Air Berlin,Air Berlin,Airbus A321,21.0,,2.0,23.0,2.0,$115,"$2,413",6.0
Air Berlin,Air Berlin,Airbus A330,15.0,2.0,3.0,20.0,2.0,$240,"$3,600",13.1
Air Berlin,Air Berlin,ATR 42/72,,,1.0,1.0,,$22,$0,
Air Berlin,Air Berlin,Boeing 737,14.0,,141.0,155.0,,$74,"$1,036",9.5
Air Berlin,Air Berlin,Boeing 757,,,4.0,4.0,,$73,$0,
Air Berlin,Air Berlin,British Aerospace BAe 146/Avro RJ,,,4.0,4.0,,$14,$0,
Air Berlin,Air Berlin,De Havilland Canada DHC-8 Dash 8,20.0,,,20.0,1.0,$31,$626,7.4
Air Berlin,Air Berlin,Embraer ERJ-190,,,3.0,3.0,,$46,$0,
Air Berlin,Air Berlin,Fokker F70 / F100,,,18.0,18.0,,$20,$0,
Air Berlin,Air Berlin,McDonnell Douglas MD-80,,,1.0,1.0,,$45,$0,
Air Canada,Air Canada,Airbus A319,15.0,,33.0,48.0,,$90,"$1,344",18.9
Air Canada,Air Canada Jetz,Airbus A319,3.0,,2.0,5.0,,$90,$269,18.7
Air Canada,Air Canada Rouge,Airbus A319,20.0,,,20.0,,$90,"$1,792",18.6
Air Canada,Air Canada,Airbus A320,42.0,,13.0,55.0,,$98,"$4,116",23.3
Air Canada,Air Canada Jetz,Airbus A320,,,5.0,5.0,,,$0,
Air Canada,Air Canada,Airbus A321,15.0,,3.0,18.0,,$115,"$1,724",13.7
Air Canada,Air Canada Rouge,Airbus A321,5.0,,,5.0,,$115,$575,1.0
Air Canada,Air Canada,Airbus A330,8.0,,,8.0,,$240,"$1,920",16.3
Air Canada,Air Canada,Airbus A340,,,15.0,15.0,,$216,$0,
Air Canada,Air Canada,Boeing 727,,,28.0,28.0,,$4,$0,
Air Canada,Air Canada,Boeing 737,,,44.0,44.0,61.0,$74,$0,
Air Canada,Air Canada Jetz,Boeing 737,,,2.0,2.0,,$74,$0,
Air Canada,Air Canada,Boeing 747,,,15.0,15.0,,$316,$0,
Air Canada,Air Canada,Boeing 767,15.0,,48.0,63.0,,$187,"$2,804",25.8
Air Canada,Air Canada Rouge,Boeing 767,19.0,,,19.0,6.0,$187,"$3,551",18.6
Air Canada,Air Canada,Boeing 777,25.0,,,25.0,,$295,"$7,364",7.1
Air Canada,Air Canada,Boeing 787 Dreamliner,21.0,3.0,,24.0,16.0,$265,"$5,567",1.4
Air Canada,Air Canada,Bombardier CS300,,,,,45.0,$72,$0,
Air Canada,Air Canada,Canadair CRJ-100 Series,,,26.0,26.0,,$32,$0,
Air Canada,Air Canada Regional,Canadair CRJ-100 Series,1.0,,,1.0,,$32,$32,18.2
Air Canada,Air Canada,Embraer ERJ-170,,,15.0,15.0,,$39,$0,
Air Canada,Air Canada,Embraer ERJ-190,25.0,,20.0,45.0,,$46,"$1,155",9.5
Air Canada,Air Canada,McDonnell Douglas DC-8,,,43.0,43.0,,$6,$0,
Air Canada,Air Canada,McDonnell Douglas DC-9,,,64.0,64.0,,$45,$0,
Air China,Air Macau (66.9%),Airbus A300,,,8.0,8.0,,$75,$0,
Air China,Air China,Airbus A319,33.0,,3.0,36.0,,$90,"$2,957",10.5
Air China,Shenzhen Airlines,Airbus A319,5.0,,,5.0,,$90,$448,10.5
Air China,Air Macau (66.9%),Airbus A319,4.0,,1.0,5.0,,$90,$358,14.1
Air China,Air China,Airbus A320,43.0,2.0,5.0,50.0,49.0,$98,"$4,214",4.6
Air China,Shenzhen Airlines,Airbus A320,79.0,1.0,1.0,81.0,,$98,"$7,742",5.3
Air China,Air Macau (66.9%),Airbus A320,3.0,,4.0,7.0,,$98,$294,3.9
Air China,Air China,Airbus A321,55.0,3.0,,58.0,,$115,"$6,320",5.3
Air China,Air Macau (66.9%),Airbus A321,10.0,,5.0,15.0,,$115,"$1,149",6.1
Air China,Air China,Airbus A330,54.0,1.0,,55.0,12.0,$240,"$12,960",5.8
Air China,Shenzhen Airlines,Airbus A330,,,,,6.0,$240,$0,
Air China,Air China,Airbus A340,,,6.0,6.0,,$216,$0,
Air China,Air China,Airbus A350 XWB,,1.0,,1.0,10.0,$312,$0,
Air China,Air China,Boeing 737,144.0,1.0,75.0,220.0,70.0,$74,"$10,653",6.6
Air China,Shenzhen Airlines,Boeing 737,87.0,,22.0,109.0,,$74,"$6,436",6.5
Air China,Shandong Airlines (51%),Boeing 737,98.0,1.0,16.0,115.0,36.0,$74,"$7,250",4.7
Air China,Air China Inner Mongolia,Boeing 737,3.0,,,3.0,,$74,$222,9.1
Air China,Kunming Airlines (80%),Boeing 737,18.0,,2.0,20.0,10.0,$74,"$1,332",4.7
Air China,Dalian Airlines (80%),Boeing 737,9.0,,,9.0,,$74,$666,4.5
Air China,Air China,Boeing 747,10.0,,18.0,28.0,,$316,"$3,158",7.5
Air China,Air China Cargo,Boeing 747,3.0,,12.0,15.0,,$316,$947,14.5
Air China,Air China,Boeing 757,,,13.0,13.0,,$73,$0,
Air China,Air Macau (66.9%),Boeing 757,,,1.0,1.0,,$73,$0,
Air China,Air China Cargo,Boeing 757,4.0,,,4.0,,$73,$290,20.4
Air China,Air China,Boeing 767,,,15.0,15.0,,$187,$0,
Air China,Air China,Boeing 777,29.0,,4.0,33.0,5.0,$295,"$8,542",6.2
Air China,Air China Cargo,Boeing 777,8.0,,,8.0,,$295,"$2,356",2.3
Air China,Air China,Boeing 787 Dreamliner,7.0,1.0,,8.0,9.0,$265,"$1,856",0.4
Air China,Air China,British Aerospace BAe 146/Avro RJ,,,4.0,4.0,,$14,$0,
Air China,Shandong Airlines (51%),Canadair CRJ-100 Series,,,12.0,12.0,,$32,$0,
Air China,Shandong Airlines (51%),Canadair CRJ-700,2.0,,,2.0,,$41,$82,13.3
Air China,Shandong Airlines (51%),Comac ARJ21,,,,,10.0,$30,$0,
Air China,Air China,COMAC C919,,,,,20.0,$68,$0,
Air China,Shandong Airlines (51%),Saab 340,,,1.0,1.0,,$8,$0,
Air China,Air China Cargo,Tupolev Tu-204,,,1.0,1.0,4.0,$16,$0,
Air Europa,Air Europa,Airbus A330,15.0,,2.0,17.0,,$240,"$3,600",10.4
Air Europa,Air Europa,Airbus A340,,,1.0,1.0,,$216,$0,
Air Europa,Air Europa,ATR 42/72,4.0,,6.0,10.0,,$22,$88,21.9
Air Europa,Air Europa,Boeing 737,21.0,,67.0,88.0,25.0,$74,"$1,554",8.0
Air Europa,Air Europa,Boeing 757,,,16.0,16.0,,$73,$0,
Air Europa,Air Europa,Boeing 767,,,7.0,7.0,,$187,$0,
Air Europa,Air Europa,Boeing 787 Dreamliner,3.0,4.0,1.0,8.0,21.0,$265,$795,0.5
Air Europa,Air Europa,Embraer ERJ-145,1.0,,,1.0,,$20,$20,16.9
Air Europa,Air Europa,Embraer ERJ-190,7.0,,4.0,11.0,,$46,$323,6.2
Air Europa,Air Europa,McDonnell Douglas MD-80,,,1.0,1.0,,$45,$0,
Air France/KLM,Air France,Aérospatiale/BAC Concorde,,,7.0,7.0,,$29,$0,
Air France/KLM,Air France,Airbus A300,,,25.0,25.0,,$75,$0,
Air France/KLM,Transavia,Airbus A300,,,1.0,1.0,,$75,$0,
Air France/KLM,Air France,Airbus A310,,,11.0,11.0,,$75,$0,
Air France/KLM,KLM,Airbus A310,,,11.0,11.0,,$75,$0,
Air France/KLM,Transavia,Airbus A310,,,1.0,1.0,,$75,$0,
Air France/KLM,Martinair,Airbus A310,,,2.0,2.0,,$75,$0,
Air France/KLM,Air France,Airbus A318,18.0,,,18.0,,$66,"$1,193",11.6
Air France/KLM,Air France,Airbus A319,38.0,,11.0,49.0,,$90,"$3,405",16.2
Air France/KLM,Air France,Airbus A320,43.0,,63.0,106.0,2.0,$98,"$4,214",9.2
Air France/KLM,Transavia France,Airbus A320,,,4.0,4.0,,$98,$0,
Air France/KLM,Martinair,Airbus A320,,,7.0,7.0,,$98,$0,
Air France/KLM,Air France,Airbus A321,20.0,,10.0,30.0,,$115,"$2,298",14.1
Air France/KLM,Air France,Airbus A330,15.0,,1.0,16.0,,$240,"$3,600",14.1
Air France/KLM,KLM,Airbus A330,13.0,,4.0,17.0,,$240,"$3,120",7.7
Air France/KLM,Air France,Airbus A340,11.0,,19.0,30.0,,$216,"$2,371",18.3
Air France/KLM,KLM,Airbus A350,,,,,7.0,$312,$0,
Air France/KLM,Air France,Airbus A350-900,,,,,28.0,$308,$0,
Air France/KLM,Air France,Airbus A380,10.0,,,10.0,,$433,"$4,326",5.9
Air France/KLM,HOP!,ATR 42/72,21.0,,8.0,29.0,,$22,$464,14.9
Air France/KLM,Air France,Boeing 727,,,5.0,5.0,,$4,$0,
Air France/KLM,Air France,Boeing 737,,,63.0,63.0,,$74,$0,
Air France/KLM,KLM,Boeing 737,48.0,,44.0,92.0,,$74,"$3,551",10.3
Air France/KLM,Transavia France,Boeing 737,26.0,,,26.0,,$74,"$1,923",5.5
Air France/KLM,Transavia,Boeing 737,37.0,2.0,74.0,113.0,,$74,"$2,737",9.0
Air France/KLM,Martinair,Boeing 737,,,3.0,3.0,,$74,$0,
Air France/KLM,Air France,Boeing 747,,,73.0,73.0,,$316,$0,
Air France/KLM,KLM,Boeing 747,20.0,,26.0,46.0,,$316,"$6,316",21.7
Air France/KLM,Martinair,Boeing 747,1.0,,8.0,9.0,,$316,$316,26.6
Air France/KLM,Transavia,Boeing 757,,,10.0,10.0,,$73,$0,
Air France/KLM,Martinair,Boeing 757,,,2.0,2.0,,$73,$0,
Air France/KLM,Air France,Boeing 767,,,9.0,9.0,,$187,$0,
Air France/KLM,KLM,Boeing 767,,,12.0,12.0,,$187,$0,
Air France/KLM,Martinair,Boeing 767,,,8.0,8.0,,$187,$0,
Air France/KLM,Air France,Boeing 777,70.0,,1.0,71.0,,$295,"$20,619",11.2
Air France/KLM,KLM,Boeing 777,27.0,2.0,,29.0,,$295,"$7,953",8.7
Air France/KLM,Air France,Boeing 787 Dreamliner,1.0,,,1.0,13.0,$265,$265,0.1
Air France/KLM,KLM,Boeing 787 Dreamliner,8.0,3.0,,11.0,13.0,$265,"$2,121",0.7
Air France/KLM,Air France,British Aerospace BAe 146/Avro RJ,,,3.0,3.0,,$14,$0,
Air France/KLM,Transavia,British Aerospace BAe 146/Avro RJ,,,1.0,1.0,,$14,$0,
Air France/KLM,HOP!,Canadair CRJ-100 Series,,,8.0,8.0,,$32,$0,
Air France/KLM,HOP!,Canadair CRJ-1000,14.0,,,14.0,,$49,$686,5.4
Air France/KLM,HOP!,Canadair CRJ-700,12.0,,3.0,15.0,,$41,$492,12.8
Air France/KLM,HOP!,Embraer ERJ-145,16.0,,6.0,22.0,,$20,$314,16.6
Air France/KLM,HOP!,Embraer ERJ-170,15.0,,1.0,16.0,,$39,$581,9.4
Air France/KLM,KLM Cityhopper,Embraer ERJ-170,4.0,,,4.0,13.0,$39,$155,0.5
Air France/KLM,HOP!,Embraer ERJ-190,10.0,,,10.0,,$46,$462,8.8
Air France/KLM,KLM Cityhopper,Embraer ERJ-190,30.0,,,30.0,,$46,"$1,386",5.5
Air France/KLM,KLM Cityhopper,Fokker F50 / F60,,,23.0,23.0,,$18,$0,
Air France/KLM,Air France,Fokker F70 / F100,,,5.0,5.0,,$20,$0,
Air France/KLM,KLM,Fokker F70 / F100,,,6.0,6.0,,$20,$0,
Air France/KLM,KLM Cityhopper,Fokker F70 / F100,13.0,,35.0,48.0,,$20,$260,20.8
Air France/KLM,Air France,McDonnell Douglas DC-10,,,5.0,5.0,,$145,$0,
Air France/KLM,KLM,McDonnell Douglas DC-10,,,12.0,12.0,,$145,$0,
Air France/KLM,Martinair,McDonnell Douglas DC-10,,,5.0,5.0,,$145,$0,
Air France/KLM,Air France,McDonnell Douglas DC-8,,,1.0,1.0,,$6,$0,
Air France/KLM,KLM,McDonnell Douglas DC-8,,,37.0,37.0,,$6,$0,
Air France/KLM,Martinair,McDonnell Douglas DC-8,,,6.0,6.0,,$6,$0,
Air France/KLM,KLM,McDonnell Douglas DC-9,,,25.0,25.0,,$45,$0,
Air France/KLM,Martinair,McDonnell Douglas DC-9,,,4.0,4.0,,$45,$0,
Air France/KLM,KLM,McDonnell Douglas MD-11,,,10.0,10.0,,$175,$0,
Air France/KLM,Martinair,McDonnell Douglas MD-11,,,7.0,7.0,,$175,$0,
Air France/KLM,Martinair,McDonnell Douglas MD-80,,,3.0,3.0,,$45,$0,
Air France/KLM,KLM Cityhopper,Saab 340,,,1.0,1.0,,$8,$0,
Air India,Air India,Airbus A300,,,5.0,5.0,,$75,$0,
Air India,Air India,Airbus A310,,,28.0,28.0,,$75,$0,
Air India,Air India,Airbus A319,22.0,,2.0,24.0,,$90,"$1,971",8.5
Air India,Air India,Airbus A320,26.0,4.0,12.0,42.0,14.0,$98,"$2,548",17.7
Air India,Air India,Airbus A321,20.0,,,20.0,,$115,"$2,298",8.1
Air India,Air India,Airbus A330,,,2.0,2.0,,$240,$0,
Air India,Air India Regional,ATR 42/72,12.0,,3.0,15.0,18.0,$22,$265,8.4
Air India,Air India Express,Boeing 737,23.0,,8.0,31.0,,$74,"$1,702",6.7
Air India,Air India,Boeing 737,,,5.0,5.0,,$74,$0,
Air India,Air India Regional,Boeing 737,,,1.0,1.0,,$74,$0,
Air India,Air India,Boeing 747,3.0,,28.0,31.0,,$316,$947,21.0
Air India,Air India,Boeing 757,,,1.0,1.0,,$73,$0,
Air India,Air India,Boeing 767,,,3.0,3.0,,$187,$0,
Air India,Air India,Boeing 777,15.0,3.0,9.0,27.0,3.0,$295,"$4,418",7.7
Air India,Air India,Boeing 787 Dreamliner,22.0,5.0,,27.0,5.0,$265,"$5,832",3.1
Air India,Air India Regional,Canadair CRJ-700,3.0,,1.0,4.0,,$41,$123,13.7
Air India,Air India,Lockheed L-1011 TriStar,,,1.0,1.0,,$190,$0,
Air India,Air India,McDonnell Douglas DC-8,,,15.0,15.0,,$6,$0,
Air Malta,Air Malta,Airbus A319,3.0,,,3.0,,,,
Air Malta,Air Malta,Airbus A320,6.0,,,6.0,,,,
Air Mauritius,Air Mauritius,ATR 42/72,3.0,,6.0,9.0,,,,9.1
Air Mauritius,Air Mauritius,Airbus A319,2.0,,,2.0,,,,14.6
Air Mauritius,Air Mauritius,Airbus A330,2.0,,,2.0,,,,8.3
Air Mauritius,Air Mauritius,Airbus A340,6.0,,3.0,9.0,,,,16.7
Air Mauritius,Air Mauritius,Airbus A350 XWB,,1.0,,1.0,,,,
Air Mauritius,Air Mauritius,Boeing 747,,,5.0,5.0,,,,
Air Mauritius,Air Mauritius,Boeing 767,,,3.0,3.0,,,,
Air Namibia,Air Namibia,Airbus A319,4.0,,1.0,5.0,,,,6.5
Air Namibia,Air Namibia,Airbus A330,2.0,,,2.0,,,,3.4
Air Namibia,Air Namibia,Airbus A340,,,2.0,2.0,,,,
Air Namibia,Air Namibia,Boeing 737,,,12.0,12.0,,,,
Air Namibia,Air Namibia,Boeing 747,,,6.0,6.0,,,,
Air Namibia,Air Namibia,Boeing 767,,,1.0,1.0,,,,
Air Namibia,Air Namibia,De Havilland Canada DHC-8 Dash 8,,,1.0,1.0,,,,
Air Namibia,Air Namibia,Embraer ERJ-145,4.0,,,4.0,,,,16.6
Air Namibia,Air Namibia,McDonnell Douglas MD-11,,,2.0,2.0,,,,
Air New Zealand,Air New Zealand,Airbus A320,30.0,,,30.0,,$98,"$2,940",7.0
Air New Zealand,Air New Zealand,Airbus A321,,,,,17.0,$115,$0,
Air New Zealand,Air New Zealand Link,ATR 42/72,26.0,,8.0,34.0,,$22,$575,7.8
Air New Zealand,Air New Zealand,Boeing 737,,,51.0,51.0,,$74,$0,
Air New Zealand,Air New Zealand,Boeing 747,,,15.0,15.0,,$316,$0,
Air New Zealand,Air New Zealand,Boeing 767,2.0,,21.0,23.0,,$187,$374,22.8
Air New Zealand,Air New Zealand,Boeing 777,15.0,,,15.0,,$295,"$4,418",7.9
Air New Zealand,Air New Zealand,Boeing 787 Dreamliner,9.0,1.0,,10.0,3.0,$265,"$2,386",1.7
Air New Zealand,Air New Zealand Link,Bombardier Q300,23.0,,,23.0,,$31,$720,10.2
Air New Zealand,Air New Zealand Link,British Aerospace BAe 146/Avro RJ,,,8.0,8.0,,$14,$0,
Air New Zealand,Air New Zealand,McDonnell Douglas DC-10,,,8.0,8.0,,$145,$0,
Air New Zealand,Air New Zealand,McDonnell Douglas DC-8,,,8.0,8.0,,$6,$0,
Air Transat,Air Transat,Airbus A310,9.0,,5.0,14.0,,$75,$675,26.4
Air Transat,Air Transat,Airbus A320,,,2.0,2.0,,$98,$0,
Air Transat,Air Transat,Airbus A330,14.0,,,14.0,,$240,"$3,360",15.8
Air Transat,Air Transat,Boeing 727,,,1.0,1.0,,$4,$0,
Air Transat,Air Transat,Boeing 737,18.0,,7.0,25.0,,$74,"$1,332",10.9
Air Transat,Air Transat,Boeing 757,,,9.0,9.0,,$73,$0,
Air Transport International,Air Transport International,Boeing 757,8.0,,,8.0,,$73,$580,27.2
Air Transport International,Air Transport International,Boeing 767,9.0,,5.0,14.0,,$187,"$1,682",30.4
Air Transport International,Air Transport International,McDonnell Douglas DC-8,,,42.0,42.0,,$6,$0,
Air Transport Services,ABX Air,Boeing 767,28.0,,27.0,55.0,,$187,"$5,233",30.5
Air Transport Services,ABX Air,McDonnell Douglas DC-8,,,16.0,16.0,,$6,$0,
Air Transport Services,ABX Air,McDonnell Douglas DC-9,,,74.0,74.0,,$45,$0,
Air Wisconsin,Air Wisconsin,British Aerospace BAe 146/Avro RJ,,,26.0,26.0,,$14,$0,
Air Wisconsin,Air Wisconsin,British Aerospace BAe ATP,,,10.0,10.0,,$14,$0,
Air Wisconsin,Air Wisconsin,Canadair CRJ-100 Series,66.0,,5.0,71.0,,$32,"$2,102",14.4
Air Wisconsin,Air Wisconsin,De Havilland Canada DHC-8 Dash 8,,,12.0,12.0,,$7,$0,
Air Wisconsin,Air Wisconsin,Dornier Do-328,,,23.0,23.0,,$8,$0,
AirAsia,AirAsia,Airbus A320,77.0,,30.0,107.0,301.0,$98,"$7,546",6.2
AirAsia,AirAsia India,Airbus A320,8.0,,,8.0,12.0,$98,$784,6.6
AirAsia,AirAsia Japan,Airbus A320,2.0,,5.0,7.0,,$98,$196,1.1
AirAsia,Thai AirAsia,Airbus A320,50.0,2.0,,52.0,,$98,"$4,900",5.0
AirAsia,Indonesia AirAsia,Airbus A320,17.0,,17.0,34.0,,$98,"$1,666",6.0
AirAsia,Indonesia AirAsia X,Airbus A320,5.0,,,5.0,30.0,$98,$490,7.6
AirAsia,Philippines AirAsia,Airbus A320,15.0,,,,20.0,$98,"$1,470",
AirAsia,AirAsia,Airbus A321,,,,,100.0,$115,$0,
AirAsia,AirAsia X,Airbus A330,22.0,,8.0,30.0,66.0,$240,"$5,280",4.0
AirAsia,Thai AirAsia X,Airbus A330,6.0,,,6.0,,$240,"$1,440",7.8
AirAsia,Indonesia AirAsia X,Airbus A330,2.0,,,2.0,,$240,$480,11.4
AirAsia,AirAsia X,Airbus A340,,,2.0,2.0,,$216,$0,
AirAsia,AirAsia X,Airbus A350,,,,,10.0,$312,$0,
AirAsia,AirAsia,Boeing 737,,,32.0,32.0,,$74,$0,
AirAsia,Thai AirAsia,Boeing 737,,,14.0,14.0,,$74,$0,
AirAsia,Indonesia AirAsia,Boeing 737,,,12.0,12.0,,$74,$0,
AirAsia,AirAsia,Boeing 747,,,3.0,3.0,,$316,$0,
