indicator_name,indicator_code,country_name,country_code,value,year
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Egypt, Arab Rep., Lower",EGY_Lower_AGG088,11.8,2000-01-01
Poverty headcount ratio at rural poverty line (% of population),SI.POV.RUHC,"Egypt, Arab Rep., Upper",EGY_Upper_AGG088,34.2,2000-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Egypt, Arab Rep., Lower",EGY_Lower_AGG088,6.2,2000-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Egypt, Arab Rep., Metropolitan",EGY_Metropolitan_AGG094,5.1,2000-01-01
Poverty headcount ratio at urban poverty line (% of population),SI.POV.URHC,"Egypt, Arab Rep., Upper",EGY_Upper_AGG088,19.3,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Cameroon,CMR,40.2,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Cameroon, Adamaoua",CMR_Adamaoua_CM.AD_815_CMR001,48.4,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Cameroon, Centre",CMR_Centre_CM.CE_816_CMR002,48.2,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Cameroon, Est",CMR_Est_CM.ES_817_CMR003,44.0,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Cameroon, Extreme-Nord",CMR_Extreme-Nord_CM.EN_818_CMR004,56.3,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Cameroon, Littoral (Coastal)",CMR_Littoral_CM.LI_819_CMR008,35.5,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Cameroon, Nord",CMR_Nord_CM.NO_820_CMR006,50.1,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Cameroon, Nord-Ouest",CMR_Nord-Ouest_CM.NW_821_CMR007,52.5,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Cameroon, Ouest",CMR_Ouest_CM.OU_822_CMR005,40.3,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Cameroon, Sud",CMR_Sud_CM.SU_823_CMR009,31.5,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Cameroon, Sud-Ouest",CMR_Sud-Ouest_CM.SW_824_CMR010,33.8,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Dominican Republic,DOM,32.8,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Nordeste",DOM_Cibao_Nordeste_AGG029,37.0,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Noroeste",DOM_Cibao_Noroeste_AGG230.1,43.3,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Norte",DOM_Cibao_Norte_AGG030,25.4,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Sur",DOM_Cibao_Sur_AGG031,38.0,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, El Valle",DOM_El_Valle_AGG032,62.6,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Enriquillo",DOM_Enriquillo_AGG033,56.7,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Higuamo",DOM_Higuamo_AGG034,45.2,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Ozama",DOM_Ozama_AGG035,17.4,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Valdesia",DOM_Valdesia_AGG036,43.8,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Yuma",DOM_Yuma_AGG037,39.8,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Morocco,MAR,15.3,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Chaouia-Ouardigha",MAR_Chaouia-Ouardigha_MA.CO_2105_MAR001,14.8,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Doukkala-Abda",MAR_Doukkala-Abda_MA.DA_2106_MAR002,16.8,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Fès-Boulemane",MAR_Fes-Boulemane_MA.FB_2107_MAR003,15.0,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Gharb-Chrarda-Béni Hssen",MAR_Gharb-Chrarda-Beni_Hssen_MA.GB_2108_MAR004,24.8,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Greater Casablanca",MAR_Greater_Casablanca_MA.GC_2109_MAR005,2.2,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Marrakech-Tensift-El Haouz",MAR_Marrakech-Tensift_MA.MK_2112_MAR008,20.1,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Meknès-Tafilalet",MAR_Meknes-Tafilalet_MA.MT_2113_MAR009,25.7,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Oriental",MAR_Oriental_MA.OR_2114_MAR010,18.2,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Rabat-Sale-Zemmour-Zaer",MAR_Rabat-Sale-Zemmour-Zaer_MA.RS_2115_MAR011,8.1,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Souss-Massa-Drâa",MAR_Souss-Massa-Draa_MA.SM_2116_MAR012,20.6,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Tadla-Azilal",MAR_Tadla-Azilal_MA.TD_2117_MAR013,11.4,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Tangier-Tétouan",MAR_Tangier-Tetouan_MA.TO_2118_MAR014,12.8,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Taza-Al Hoceima-Taounate",MAR_Taza-Al_Hoceima-Taounate_MA.TH_2119_MAR015,14.6,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Morocco, Western Sahara",MAR_Western_Sahara_AGG048.5,9.0,2001-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Colombia,COL,49.7,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Antioquia",COL_Antioquia_CO.AN_936_COL002,47.9,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Atlantico",COL_Atlantico_CO.AT_938_COL004,50.1,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Bogota",COL_Bogota_CO.BG_13922.1_COL034,31.8,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Bolivar",COL_Bolivar_CO.BO_939_COL005,64.9,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Boyaca",COL_Boyaca_CO.BY_940_COL006,67.1,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Caldas",COL_Caldas_CO.CL_942_COL008,46.1,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Caqueta",COL_Caqueta_CO.CQ_943_COL009,53.0,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Cauca",COL_Cauca_CO.CA_945_COL011,57.8,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Cesar",COL_Cesar_CO.CE_946_COL012,61.9,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Choco",COL_Choco_CO.CH_947_COL013,67.6,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Cordoba",COL_Cordoba_CO.CR_948_COL014,65.6,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Cundinamarca",COL_Cundinamarca_CO.CU_949_COL015,51.4,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Guajira",COL_Guajira_CO.GU_951_COL017,67.2,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Huila",COL_Huila_CO.HU_953_COL019,69.6,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Magdalena",COL_Magdalena_CO.MA_954_COL020,65.5,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Meta",COL_Meta_CO.ME_955_COL021,39.8,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, NariNo",COL_Narino_CO.NA_956_COL022,65.7,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Norte De Santander",COL_Norte_De_Santander_CO.NS_957_COL023,56.6,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Quindio",COL_Quindio_CO.QU_959_COL025,47.1,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Risaralda",COL_Risaralda_CO.RI_960_COL026,37.6,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Sucre",COL_Sucre_CO.SU_963_COL029,69.2,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Tolima",COL_Tolima_CO.TO_964_COL030,54.3,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Colombia, Valle del Cauca",COL_Valle_Del_Cauca_CO.VC_965_COL031,38.9,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Dominican Republic,DOM,32.7,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Nordeste",DOM_Cibao_Nordeste_AGG029,38.2,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Noroeste",DOM_Cibao_Noroeste_AGG230.1,37.7,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Norte",DOM_Cibao_Norte_AGG030,25.2,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Sur",DOM_Cibao_Sur_AGG031,36.1,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, El Valle",DOM_El_Valle_AGG032,72.6,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Enriquillo",DOM_Enriquillo_AGG033,55.4,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Higuamo",DOM_Higuamo_AGG034,42.9,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Ozama",DOM_Ozama_AGG035,17.8,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Valdesia",DOM_Valdesia_AGG036,44.6,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Yuma",DOM_Yuma_AGG037,38.6,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Bali, Prop.",IDN_Bali_ID.BA_1513_IDN002,6.89,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Banten, Prop.",IDN_Banten_ID.BT_73610_IDN031,9.22,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Bengkulu, Prop.",IDN_Bengkulu_ID.BE_1514_IDN003,22.7,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, DI Yogyakarta, Prop.",IDN_D_I_Yogyakarta_ID.DY_1515_IDN005,20.14,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, DKI Jakarta, Prop.",IDN_Dki_Jakarta_ID.DJ_1516_IDN007,3.42,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Gorontalo, Prop.",IDN_Gorontalo_ID.GO_73611_IDN034,32.12,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Jambi, Prop.",IDN_Jambi_ID.JA_1518_IDN006,13.18,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Jawa Barat, Prop.",IDN_Jawa_Barat_ID.JB_73613_IDN035,13.38,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Jawa Tengah, Prop.",IDN_Jawa_Tengah_ID.JT_1520_IDN008,23.06,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Jawa Timur, Prop.",IDN_Jawa_Timur_ID.TI_1521_IDN009,21.91,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Kalimantan Barat, Prop.",IDN_Kalimantan_Barat_ID.KB_1522_IDN010,15.46,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Kalimantan selatan, Prop.",IDN_Kalimantan_Selatan_ID.KS_1523_IDN011,8.51,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Kalimantan Tengah, Prop.",IDN_Kalimantan_Tengah_ID.KT_1524_IDN012,11.88,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Kalimantan Timur, Prop.",IDN_Kalimantan_Timur_ID.KA_1525_IDN013,12.2,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Kepulauan Bangka-Belitung, Prop.",IDN_Bangka_Belitung_ID.BB_73609_IDN004,11.62,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Lampung, Prop.",IDN_Lampung_ID.LA_1526_IDN014,24.05,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Maluku Utara, Prop.",IDN_Maluku_Utara_ID.MU_73616_IDN016,14.03,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Maluku, Prop.",IDN_Maluku_ID.MA_73615_IDN015,34.78,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Nanggroe Aceh Darussalam, Prop.",IDN_Nangroe_Aceh_Darussalam_ID.AD_1512_IDN020,29.83,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Nusa Tenggara Barat, Prop.",IDN_Nusa_Tenggara_Barat_ID.NB_1528_IDN022,27.76,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Nusa Tenggara Timur, Prop.",IDN_Nusa_Tenggara_Timur_ID.NT_1529_IDN025,30.74,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Papua, Prop.",IDN_Papua_ID.PA_73617_IDN030,41.8,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Riau, Prop.",IDN_Riau_ID.RI_73618_IDN037,13.61,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Selatan, Prop.",IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,15.88,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Tengah, Prop.",IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,24.89,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Tenggara, Prop.",IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,24.22,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sulawesi Utara, Prop.",IDN_Sulawesi_Utara_ID.SU_73621_IDN024,11.22,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sumatera Barat, Prop.",IDN_Sumatera_Barat_ID.BR_1535_IDN026,11.57,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sumatera Selatan, Prop.",IDN_Sumatera_Selatan_ID.SM_73622_IDN027,22.32,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Indonesia, Sumatera Utara, Prop.",IDN_Sumatera_Utara_ID.SA_1537_IDN028,15.84,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Lao PDR,LAO,33.5,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Attapeu",LAO_Attapu_LA.AT_1753_LAO001,44.0,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Bokeo",LAO_Bokeo_LA.BK_1754_LAO002,21.1,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Bolikhamsai",LAO_Bolikhamsai_LA.BL_1755_LAO003,28.7,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Champasak",LAO_Champasak_LA.CH_1756_LAO004,18.4,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Hou Phan",LAO_Hou_Phan_LA.HO_1757_LAO005,51.5,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Khammouane",LAO_Khammouane_LA.KH_1758_LAO006,33.7,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Luang Namtha",LAO_Luang_Namtha_LA.LN_1760_LAO007,22.8,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Luang Prabang",LAO_Luang_Prabang_LA.LO_1759_LAO008,39.5,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Oudomxay",LAO_Oudomxay_LA.OU_1761_LAO009,45.1,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Phongsaly",LAO_Phongsaly_18700,50.8,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Saravane",LAO_Saravane_18707,54.3,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Savannakhet",LAO_Savannakhet_LA.SV_1764_LAO012,43.1,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Sekong",LAO_Sekong_LA.SE_1764.5_LAO15,41.8,2002-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Lao PDR, Vientiane",LAO_Vientiane_LA.VI_74346_LAO021,19.0,2002-01-01
