Rank,Restaurant,Sales,Average Check,City,State,Meals Served
34.0,Bottega Louie,1.8521E7,36.0,Los Angeles,Calif.,322562.0
35.0,Le Diplomate,1.8490719E7,38.0,Washington,D.C.,363609.0
36.0,Gibsons Bar & Steakhouse,1.8483056E7,79.0,Rosemont,Ill.,252419.0
37.0,Lavo Italian Restaurant & Lounge,1.8386262E7,97.0,Las Vegas,Nev.,115500.0
38.0,Prime Steakhouse,1.824803E7,173.0,Las Vegas,Nev.,113600.0
39.0,Makoto,1.8216906E7,54.0,Bal Harbour,Fla.,256830.0
40.0,Original Joe s Westlake,1.8159612E7,35.0,Daly City,Calif.,473492.0
41.0,Shaw s Crab House,1.79655E7,72.0,Chicago,Ill.,270000.0
42.0,Founding Farmers (Washington, D.C.),1.7910045E7,33.0,Washington,D.C.,648096.0
43.0,Junior s (49th Street),1.783439E7,22.0,New York,N.Y.,798000.0
44.0,Chops Lobster Bar,1.781645E7,106.0,Atlanta,Ga.,168000.0
45.0,Chicago Cut Steakhouse,1.774372E7,95.0,Chicago,Ill.,211000.0
46.0,Swift & Sons,1.76374E7,119.0,Chicago,Ill.,195343.0
47.0,Harris Ranch Inn & Restaurant,1.7599468E7,29.0,Coalinga,Calif.,611928.0
48.0,Sparks Steak House,1.751903E7,100.0,New York,N.Y.,198200.0
49.0,Quality Italian,1.7519E7,95.0,New York,N.Y.,177337.0
50.0,Frankenmuth Bavarian Inn,1.7388751E7,19.0,Frankenmuth,Mich.,899284.0
51.0,Tavern on the Green,1.72128E7,76.0,New York,N.Y.,250000.0
52.0,Abe & Louie s,1.7063477E7,106.0,Boston,Mass.,160762.0
53.0,Rusty Pelican,1.6981741E7,98.0,Miami,Fla.,182000.0
54.0,Beauty & Essex (New York City),1.636405E7,90.0,New York,N.Y.,187970.0
55.0,Grand Central Oyster Bar,1.6304883E7,62.0,New York,N.Y.,296000.0
56.0,Delmonico Steakhouse,1.6154E7,103.0,Las Vegas,Nev.,133000.0
57.0,Portland City Grill,1.611151E7,83.0,Portland,Ore.,268062.0
58.0,Zehnder s of Frankenmuth,1.6063684E7,17.0,Frankenmuth,Mich.,959026.0
59.0,The Rustic Inn,1.57E7,43.0,Ft. Lauderdale,Fla.,371000.0
60.0,Harry Caray s Italian Steakhouse,1.568E7,59.0,Chicago,Ill.,287900.0
61.0,Keens Steakhouse,1.56297E7,97.0,New York,N.Y.,168301.0
62.0,The Lobster House,1.545E7,43.0,Cape May,N.J.,320000.0
63.0,China Live,1.510628E7,54.0,San Francisco,Calif.,300000.0
64.0,Prime & Provisions,1.51E7,130.0,Chicago,Ill.,116154.0
65.0,Carmine s (Las Vegas),1.5067804E7,45.0,Las Vegas,Nev.,176221.0
66.0,Swan,1.5E7,78.0,Miami,Fla.,225000.0
67.0,15th Street Fisheries,1.4978103E7,69.0,Fort Lauderdale,Fla. ,356000.0
68.0,Atlanta Fish Market,1.49723E7,57.0,Atlanta,Ga.,274000.0
69.0,Acme Feed & Seed,1.4897125E7,22.0,Nashville,Tenn.,527130.0
70.0,Hugo s Frog Bar & Fish House,1.4790123E7,80.0,Chicago,Ill.,190616.0
71.0,Cliff House,1.4465847E7,40.0,San Francisco,Calif.,199901.0
72.0,Castaway Burbank,1.4407413E7,60.0,Burbank,Calif.,180320.0
73.0,Matt s El Rancho,1.4381904E7,29.0,Austin,Texas,495927.0
74.0,Timberline Steaks and Grille,1.4362103E7,37.0,Denver,Colo.,553378.0
75.0,Beauty & Essex (Las Vegas),1.41305E7,99.0,Las Vegas,Nev.,150000.0
76.0,Carmine s (Atlantic City),1.3987843E7,39.0,Atlantic City,N.J.,129630.0
77.0,Junior s (Brooklyn),1.3908292E7,23.0,New York,N.Y.,359000.0
78.0,Quartino Ristorante & Wine Bar,1.3854856E7,32.0,Chicago,Ill.,394582.0
79.0,Paradise Cove Beach Cafe,1.3654113E7,39.0,Malibu,Calif.,312050.0
80.0,BOA Steakhouse ,1.3552485E7,110.0,West Hollywood,Calif.,123204.0
81.0,Original Joe s,1.3177468E7,45.0,San Francisco,Calif.,267533.0
82.0,Founding Farmers (McLean, Va.),1.3102742E7,38.0,McLean,Va.,390104.0
83.0,Siena Tavern,1.31E7,55.0,Chicago,Ill.,238182.0
84.0,Girl & the Goat,1.28947E7,82.0,Chicago,Ill.,183000.0
85.0,Tavern on Rush,1.2884E7,72.0,Chicago,Ill.,178944.0
86.0,Harry & Izzy s Circle Centre,1.2809921E7,66.0,Indianapolis,Ind.,174166.0
87.0,Scoma s,1.2713394E7,65.0,San Francisco,Calif.,292000.0
88.0,Farmers Fishers Bakers,1.2572109E7,37.0,Washington,D.C.,371025.0
89.0,Southern Steak & Oyster,1.2566618E7,39.0,Nashville,Tenn.,337920.0
90.0,Big Texan Steak Ranch,1.25052E7,24.0,Amarillo,Texas,478000.0
91.0,Park Avenue Summer (Autumn, Winter, Spring),1.2498E7,84.0,New York,N.Y.,164531.0
92.0,Farmers & Distillers,1.2278839E7,36.0,Washington,D.C.,375309.0
93.0,Virgil s Real Barbecue,1.2245998E7,31.0,New York,N.Y.,251800.0
94.0,Carmine s (Washington, D.C.),1.2228168E7,39.0,Washington,D.C.,148135.0
95.0,Franciscan Crab Restaurant,1.2218147E7,59.0,San Francisco,Calif.,240000.0
96.0,George s at the Cove,1.2194E7,80.0,La Jolla,Calif.,250000.0
97.0,Le Coucou,1.2187523E7,95.0,New York,N.Y.,87070.0
98.0,Mi Vida,1.2032014E7,38.0,Washington,D.C.,226226.0
99.0,Upland,1.1965564E7,52.0,New York,N.Y.,171825.0
100.0,Virgil s Real Barbecue,1.1391678E7,27.0,Las Vegas,Nev.,208276.0
