id,composer,composition,movement,ensemble,source,transcriber,catalog_name,seconds
1819.0,Mozart,Serenade in E-flat major,4. Menuetto,Pairs Clarinet-Horn-Bassoon,Soni Ventorum Wind Quintet,Oliver Seely,K375,177.0
1822.0,Mozart,String Quartet No 15 in D minor,1. Allegro moderato,String Quartet,Museopen,Gunter R. Findenegg,K421,460.0
1824.0,Mozart,String Quartet No 15 in D minor,3. Menuetto and Trio. Allegretto,String Quartet,Museopen,Gunter R. Findenegg,K421,252.0
1828.0,Mozart,Piano Trio No 4 in E major,2. Andante grazioso,Piano Trio,European Archive,Michael Iscenko,K542,265.0
1829.0,Mozart,Piano Trio No 4 in E major,3. Allegro,Piano Trio,European Archive,Michael Iscenko,K542,421.0
1835.0,Mozart,String Quartet No 23 in F major,3. Menuetto. Allegretto,String Quartet,European Archive,Gunter R. Findenegg,K590,236.0
1859.0,Mozart,String Quartet No 18 in A major,2. Menuetto and Trio,String Quartet,European Archive,Gunter R. Findenegg,K464,392.0
1872.0,Mozart,Piano Trio No 3 in B-flat major,2. Larghetto,Piano Trio,European Archive,Michael Iscenko,K502,509.0
1873.0,Mozart,Piano Trio No 3 in B-flat major,3. Allegretto,Piano Trio,European Archive,Michael Iscenko,K502,366.0
1876.0,Mozart,Piano Trio No2 in G major,2. Andante,Piano Trio,European Archive,Michael Iscenko,K496,356.0
1893.0,Mozart,Piano Trio No 6 in G major,3. Allegretto,Piano Trio,European Archive,Michael Iscenko,K564,325.0
1916.0,Dvorak,String Quartet No 10 in E-flat major,1. Allegro ma non troppo,String Quartet,Museopen,Benjamin R. Tubb,OP51,675.0
1918.0,Dvorak,String Quartet No 10 in E-flat major,3. Romanza,String Quartet,Museopen,Benjamin R. Tubb,OP51,367.0
1919.0,Dvorak,String Quartet No 10 in E-flat major,4. Finale,String Quartet,Museopen,Benjamin R. Tubb,OP51,434.0
1922.0,Dvorak,String Quartet No 10 in E-flat major,3. Romanza,String Quartet,European Archive,Benjamin R. Tubb,OP51,402.0
1923.0,Dvorak,String Quartet No 10 in E-flat major,4. Finale,String Quartet,European Archive,Benjamin R. Tubb,OP51,393.0
1931.0,Dvorak,String Quartet No 12 in F major,2. Lento,String Quartet,Museopen,Masahiro Ishii,OP96,471.0
1932.0,Dvorak,String Quartet No 12 in F major,3. Molto vivace,String Quartet,Museopen,Masahiro Ishii,OP96,250.0
1933.0,Dvorak,String Quartet No 12 in F major,4. Finale: vivace ma non troppo,String Quartet,Museopen,Masahiro Ishii,OP96,351.0
2075.0,Cambini,Wind Quintet No 1 in B-flat Major,1. Allegro maestoso,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN1,329.0
2076.0,Cambini,Wind Quintet No 1 in B-flat Major,2. Larghetto cantabile,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN1,247.0
2077.0,Cambini,Wind Quintet No 1 in B-flat Major,3. Rondo Allegretto grazioso,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN1,250.0
2078.0,Cambini,Wind Quintet No 2 in D Minor,1. Allegro espressivo,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN2,355.0
2079.0,Cambini,Wind Quintet No 2 in D Minor,2. Larghetto sostenuto ma con moto,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN2,278.0
2080.0,Cambini,Wind Quintet No 2 in D Minor,3. Presto ma non tanto,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN2,233.0
2081.0,Cambini,Wind Quintet No 3 in F Major,1. Allegro maestoso,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN3,299.0
2082.0,Cambini,Wind Quintet No 3 in F Major,2. Larghetto sostenuto,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN3,341.0
2083.0,Cambini,Wind Quintet No 3 in F Major,3. Rondo Allegro con brio,Wind Quintet,Soni Ventorum Wind Quintet,Oliver Seely,JOHN3,245.0
2104.0,Haydn,Quartet No 53 in D major,1. Allegro moderato,String Quartet,Museopen,Andrew D. Lawson,OP64NO5,371.0
2105.0,Haydn,Quartet No 53 in D major,2. Adagio - Cantabile,String Quartet,Museopen,Andrew D. Lawson,OP64NO5,291.0
2106.0,Haydn,Quartet No 53 in D major,3. Menuetto: Allegretto,String Quartet,Museopen,Andrew D. Lawson,OP64NO5,226.0
2112.0,Brahms,Cello Sonata No 1 in E minor,1. Allegro non troppo,Accompanied Cello,Stefano Ligoratti,Eric L. Schissel,OP38,897.0
2113.0,Brahms,Cello Sonata No 1 in E minor,2. Allegretto quasi Menuetto,Accompanied Cello,Stefano Ligoratti,Eric L. Schissel,OP38,352.0
2114.0,Brahms,Cello Sonata No 1 in E minor,3. Allegro,Accompanied Cello,Stefano Ligoratti,Eric L. Schissel,OP38,403.0
2116.0,Brahms,Clarinet Sonata No 1 in F minor,1. Allegro appassionato,Accompanied Clarinet,Ben Redwine,clarinetinstitute,OP120NO1,410.0
2117.0,Brahms,Clarinet Sonata No 1 in F minor,2. Andante un poco Adagio,Accompanied Clarinet,Ben Redwine,clarinetinstitute,OP120NO1,266.0
2118.0,Brahms,Clarinet Sonata No 1 in F minor,3. Allegretto grazioso,Accompanied Clarinet,Ben Redwine,clarinetinstitute,OP120NO1,232.0
2119.0,Brahms,Clarinet Sonata No 1 in F minor,4. Vivace,Accompanied Clarinet,Ben Redwine,clarinetinstitute,OP120NO1,294.0
2127.0,Brahms,Serenade No 1 in D Major,2. Scherzo. Allegro non troppo,Wind and Strings Octet,European Archive,Oliver Seely,OP11,518.0
2131.0,Brahms,Serenade No 1 in D Major,6. Rondo. Allegro,Wind and Strings Octet,European Archive,Oliver Seely,OP11,274.0
2138.0,Brahms,String Quartet in C minor,2. Romanze: Poco adagio,String Quartet,European Archive,harfesoft.de,OP51NO1,429.0
2140.0,Brahms,String Quartet in C minor,4. Allegro,String Quartet,European Archive,harfesoft.de,OP51NO1,381.0
2147.0,Brahms,String Sextet No 2 in G major,4. Poco allegro,String Sextet,European Archive,harfesoft.de,OP36,501.0
2148.0,Brahms,Piano Quartet No 1 in G minor,1. Allegro,Piano Quartet,Roxana Pavel Goldstein,harfesoft.de,OP25,822.0
2149.0,Brahms,Piano Quartet No 1 in G minor,2. Intermezzo: Allegro ma non troppo,Piano Quartet,Roxana Pavel Goldstein,harfesoft.de,OP25,476.0
2150.0,Brahms,Piano Quartet No 1 in G minor,3. Andante con moto,Piano Quartet,Roxana Pavel Goldstein,harfesoft.de,OP25,599.0
2151.0,Brahms,Piano Quartet No 1 in G minor,4. Rondo alla Zingarese: Presto,Piano Quartet,Roxana Pavel Goldstein,harfesoft.de,OP25,533.0
2154.0,Brahms,String Sextet No 1 in B-flat major,1. Allegro ma non troppo,String Sextet,Carl Banner,harfesoft.de,OP18,894.0
2155.0,Brahms,String Sextet No 1 in B-flat major,2. Andante, ma moderato,String Sextet,Carl Banner,harfesoft.de,OP18,606.0
2156.0,Brahms,String Sextet No 1 in B-flat major,3. Scherzo. Allegro molto,String Sextet,Carl Banner,harfesoft.de,OP18,192.0
2157.0,Brahms,String Sextet No 1 in B-flat major,4. Rondo: Poco Allegretto e grazioso,String Sextet,Carl Banner,harfesoft.de,OP18,661.0
2158.0,Brahms,Horn Trio in E-flat major,1. Andante,Horn Piano Trio,European Archive,David Rothschild,OP40,482.0
2159.0,Brahms,Horn Trio in E-flat major,2. Scherzo (Allegro),Horn Piano Trio,European Archive,David Rothschild,OP40,466.0
2160.0,Brahms,Horn Trio in E-flat major,3. Adagio mesto,Horn Piano Trio,European Archive,David Rothschild,OP40,446.0
2161.0,Brahms,Horn Trio in E-flat major,4. Allegro con brio,Horn Piano Trio,European Archive,David Rothschild,OP40,397.0
2166.0,Faure,Piano Quartet No 2 in G minor,1. Allegro molto moderato,Piano Quartet,European Archive,Gregory Richardson,OP45,639.0
2167.0,Faure,Piano Quartet No 2 in G minor,2. Allegro molto,Piano Quartet,European Archive,Gregory Richardson,OP45,193.0
2168.0,Faure,Piano Quartet No 2 in G minor,3. Adagio non troppo,Piano Quartet,European Archive,Gregory Richardson,OP45,612.0
2169.0,Faure,Piano Quartet No 2 in G minor,4. Allegro molto,Piano Quartet,European Archive,Gregory Richardson,OP45,519.0
2177.0,Ravel,String Quartet in F,1. Allegro moderato - tres doux,String Quartet,Musicians from Marlboro,Gregory Richardson,35,490.0
2178.0,Ravel,String Quartet in F,2. Assez vif - tres rythme,String Quartet,Musicians from Marlboro,Gregory Richardson,35,355.0
2179.0,Ravel,String Quartet in F,3. Tres lent,String Quartet,Musicians from Marlboro,Gregory Richardson,35,505.0
2180.0,Ravel,String Quartet in F,4. Vif et agite,String Quartet,Musicians from Marlboro,Gregory Richardson,35,293.0
2186.0,Bach,Violin Partita No 3 in E major,1. Preludio,Solo Violin,Oliver Colbentston,suzumidi,BWV1006,214.0
2191.0,Bach,Violin Partita No 3 in E major,6. Bourree,Solo Violin,Oliver Colbentston,suzumidi,BWV1006,102.0
2194.0,Bach,WTK I, No. 13: Prelude and Fugue in F-sharp major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV858,100.0
2195.0,Bach,WTK I, No. 3: Prelude and Fugue in C-sharp major,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV848,155.0
2196.0,Bach,WTK I, No. 3: Prelude and Fugue in C-sharp major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV848,75.0
2198.0,Bach,WTK I, No. 22: Prelude and Fugue in B-flat minor,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV867,197.0
2200.0,Bach,WTK I, No. 16: Prelude and Fugue in G minor,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV861,113.0
2201.0,Bach,WTK I, No. 16: Prelude and Fugue in G minor,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV861,134.0
2202.0,Bach,Partita in A minor,1. Allemande,Solo Flute,Scott Goff,David J. Grossman,BWV1013,181.0
2203.0,Bach,Partita in A minor,2. Corrente,Solo Flute,Scott Goff,David J. Grossman,BWV1013,156.0
2204.0,Bach,Partita in A minor,3. Sarabande,Solo Flute,Scott Goff,David J. Grossman,BWV1013,132.0
2207.0,Bach,WTK I, No. 10: Prelude and Fugue in E minor,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV855,89.0
2208.0,Bach,WTK I, No. 10: Prelude and Fugue in E minor,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV855,120.0
2209.0,Bach,WTK I, No. 4: Prelude and Fugue in C-sharp minor,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV849,160.0
2210.0,Bach,WTK I, No. 4: Prelude and Fugue in C-sharp minor,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV849,178.0
2211.0,Bach,WTK I, No. 12: Prelude and Fugue in F minor,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV857,237.0
2212.0,Bach,WTK I, No. 12: Prelude and Fugue in F minor,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV857,173.0
2213.0,Bach,WTK I, No. 2: Prelude and Fugue in C minor,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV847,115.0
2214.0,Bach,WTK I, No. 2: Prelude and Fugue in C minor,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV847,107.0
2215.0,Bach,WTK I, No. 1: Prelude and Fugue in C major,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV846,116.0
2217.0,Bach,Cello Suite 3,1. Prelude,Solo Cello,European Archive,David J. Grossman,BWV1009,186.0
2218.0,Bach,Cello Suite 3,2. Allemande,Solo Cello,European Archive,David J. Grossman,BWV1009,199.0
2219.0,Bach,Cello Suite 3,3. Courante,Solo Cello,European Archive,David J. Grossman,BWV1009,260.0
2220.0,Bach,Cello Suite 3,4. Sarabande,Solo Cello,European Archive,David J. Grossman,BWV1009,302.0
2221.0,Bach,Cello Suite 3,5. Bouree,Solo Cello,European Archive,David J. Grossman,BWV1009,241.0
2222.0,Bach,Cello Suite 3,6. Gigue,Solo Cello,European Archive,David J. Grossman,BWV1009,202.0
2224.0,Bach,WTK I, No. 7: Prelude and Fugue in E-flat major,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV852,108.0
2225.0,Bach,WTK I, No. 7: Prelude and Fugue in E-flat major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV852,213.0
2227.0,Bach,WTK I, No. 6: Prelude and Fugue in D minor,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV851,129.0
2228.0,Bach,WTK I, No. 6: Prelude and Fugue in D minor,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV851,98.0
2229.0,Bach,WTK I, No. 20: Prelude and Fugue in A minor,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV865,244.0
2230.0,Bach,WTK I, No. 20: Prelude and Fugue in A minor,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV865,84.0
2231.0,Bach,WTK I, No. 21: Prelude and Fugue in B-flat major,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV866,115.0
2232.0,Bach,WTK I, No. 21: Prelude and Fugue in B-flat major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV866,78.0
2234.0,Bach,WTK I, No. 11: Prelude and Fugue in F major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV856,64.0
2237.0,Bach,WTK I, No. 23: Prelude and Fugue in B major,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV868,109.0
2238.0,Bach,WTK I, No. 23: Prelude and Fugue in B major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV868,60.0
2239.0,Bach,WTK I, No. 17: Prelude and Fugue in A-flat major,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV862,120.0
2240.0,Bach,WTK I, No. 17: Prelude and Fugue in A-flat major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV862,92.0
2241.0,Bach,Violin Sonata No 1 in G minor,1. Adagio,Solo Violin,European Archive,suzumidi,BWV1001,242.0
2242.0,Bach,Violin Sonata No 1 in G minor,2. Fuga,Solo Violin,European Archive,suzumidi,BWV1001,312.0
2243.0,Bach,Violin Sonata No 1 in G minor,3. Siciliana,Solo Violin,European Archive,suzumidi,BWV1001,193.0
2244.0,Bach,Violin Sonata No 1 in G minor,4. Presto,Solo Violin,European Archive,suzumidi,BWV1001,214.0
2247.0,Bach,WTK I, No. 9: Prelude and Fugue in E major,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV854,81.0
2248.0,Bach,WTK I, No. 9: Prelude and Fugue in E major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV854,104.0
2282.0,Bach,Violin Sonata in B minor,1. Adagio,Violin and Harpsichord,Paul Pitman,suzumidi,BWV1014,313.0
2283.0,Bach,Violin Sonata in B minor,2. Allegro,Violin and Harpsichord,Paul Pitman,suzumidi,BWV1014,192.0
2284.0,Bach,Violin Sonata in B minor,3. Andante,Violin and Harpsichord,Paul Pitman,suzumidi,BWV1014,227.0
2285.0,Bach,Violin Sonata in B minor,4. Allegro,Violin and Harpsichord,Paul Pitman,suzumidi,BWV1014,225.0
2288.0,Bach,Violin Partita No 1 in B minor,2. Corrente,Solo Violin,John Garner,suzumidi,BWV1002,191.0
2289.0,Bach,Violin Partita No 1 in B minor,3. Sarabande,Solo Violin,John Garner,suzumidi,BWV1002,203.0
2292.0,Bach,WTK I, No. 19: Prelude and Fugue in A major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV864,91.0
2293.0,Bach,Cello Suite 4,1. Prelude,Solo Cello,European Archive,David J. Grossman,BWV1010,310.0
2294.0,Bach,Cello Suite 4,2. Allemande,Solo Cello,European Archive,David J. Grossman,BWV1010,228.0
2295.0,Bach,Cello Suite 4,3. Courante,Solo Cello,European Archive,David J. Grossman,BWV1010,259.0
2296.0,Bach,Cello Suite 4,4. Sarabande,Solo Cello,European Archive,David J. Grossman,BWV1010,291.0
2297.0,Bach,Cello Suite 4,5. Bouree,Solo Cello,European Archive,David J. Grossman,BWV1010,334.0
2298.0,Bach,Cello Suite 4,6. Gigue,Solo Cello,European Archive,David J. Grossman,BWV1010,153.0
2300.0,Bach,WTK I, No. 8: Prelude and Fugue in E-flat minor,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV853,238.0
2302.0,Bach,WTK I, No. 5: Prelude and Fugue in D major,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV850,108.0
2303.0,Bach,WTK I, No. 5: Prelude and Fugue in D major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV850,92.0
2304.0,Bach,WTK I, No. 14: Prelude and Fugue in F-sharp minor,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV859,196.0
2305.0,Bach,WTK I, No. 14: Prelude and Fugue in F-sharp minor,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV859,65.0
2307.0,Bach,WTK I, No. 18: Prelude and Fugue in G-sharp minor,2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV863,137.0
2308.0,Bach,WTK I, No. 18: Prelude and Fugue in G-sharp minor,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV863,121.0
2310.0,Bach,WTK I, No. 15: Prelude and Fugue in G major,1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV860,55.0
2313.0,Beethoven,String Quartet No 15 in A minor,1. Allegro,String Quartet,European Archive,suzumedia,OP132,593.0
2314.0,Beethoven,String Quartet No 15 in A minor,2. Allegro ma non tanto,String Quartet,European Archive,suzumedia,OP132,568.0
2315.0,Beethoven,String Quartet No 15 in A minor,3. Molto Adagio; Andante,String Quartet,European Archive,suzumedia,OP132,1069.0
2318.0,Beethoven,Trio in E-flat major,1. Allegro moderato,Clarinet-Cello-Piano Trio,Paul Pitman,harfesoft.de,OP38,641.0
2319.0,Beethoven,Trio in E-flat major,2. Scherzo: Allegro ma non troppo,Clarinet-Cello-Piano Trio,Paul Pitman,harfesoft.de,OP38,620.0
2320.0,Beethoven,Trio in E-flat major,3. Rondo: Allegro,Clarinet-Cello-Piano Trio,Paul Pitman,harfesoft.de,OP38,222.0
2322.0,Beethoven,Piano Sonata No 23 in F minor,1. Allegro assai,Solo Piano,Paul Pitman,piano-midi.de,OP57,645.0
2325.0,Beethoven,Piano Sonata No 23 in F minor,1. Allegro assai,Solo Piano,European Archive,piano-midi.de,OP57,551.0
2330.0,Beethoven,Violin Sonata No 1 in D major,1. Allegro con brio,Accompanied Violin,Timothy Jones,Darren L. Slider,OP12NO1,532.0
2334.0,Beethoven,Violin Sonata No 8 in G major,1. Allegro assai,Accompanied Violin,Edward Auer,suzumedia,OP30NO3,409.0
2335.0,Beethoven,Violin Sonata No 8 in G major,2. Tempo di minuetto, ma molto moderato e grazioso,Accompanied Violin,Edward Auer,suzumedia,OP30NO3,422.0
2336.0,Beethoven,Violin Sonata No 8 in G major,3. Allegro vivace,Accompanied Violin,Edward Auer,suzumedia,OP30NO3,197.0
2341.0,Beethoven,Violin Sonata No 8 in G major,2. Tempo di minuetto, ma molto moderato e grazioso,Accompanied Violin,European Archive,suzumedia,OP30NO3,460.0
2342.0,Beethoven,Violin Sonata No 8 in G major,3. Allegro vivace,Accompanied Violin,European Archive,suzumedia,OP30NO3,192.0
2343.0,Beethoven,Piano Sonata No 14 in C-sharp minor,1. Adagio sostenuto,Solo Piano,Stefano Ligoratti,piano-midi.de,OP27NO2,332.0
2345.0,Beethoven,Piano Sonata No 14 in C-sharp minor,3. Presto agitato,Solo Piano,Stefano Ligoratti,piano-midi.de,OP27NO2,443.0
2346.0,Beethoven,Piano Sonata No 14 in C-sharp minor,1. Adagio sostenuto,Solo Piano,Paul Pitman,piano-midi.de,OP27NO2,335.0
2348.0,Beethoven,Piano Sonata No 14 in C-sharp minor,3. Presto agitato,Solo Piano,Paul Pitman,piano-midi.de,OP27NO2,493.0
2350.0,Beethoven,Piano Sonata No 14 in C-sharp minor,1. Adagio sostenuto,Solo Piano,Glen W. Prillaman,piano-midi.de,OP27NO2,276.0
2357.0,Beethoven,Piano Sonata No 15 in D major,2. Andante,Solo Piano,Paul Pitman,piano-midi.de,OP28,357.0
2358.0,Beethoven,Piano Sonata No 15 in D major,3. Scherzo: Allegro vivace,Solo Piano,Paul Pitman,piano-midi.de,OP28,137.0
2359.0,Beethoven,Piano Sonata No 15 in D major,4. Rondo: Allegro ma non troppo,Solo Piano,Paul Pitman,piano-midi.de,OP28,304.0
2364.0,Beethoven,Piano Sonata No 15 in D major,4. Rondo: Allegro ma non troppo,Solo Piano,Karine Gilanyan,piano-midi.de,OP28,296.0
2365.0,Beethoven,String Quartet No 12 in E-flat major,1. Maestoso - Allegro,String Quartet,Pascal String Quartet,suzumedia,OP127,402.0
2366.0,Beethoven,String Quartet No 12 in E-flat major,2. Adagio, ma non troppo e molto cantabile,String Quartet,Pascal String Quartet,suzumedia,OP127,941.0
2368.0,Beethoven,String Quartet No 12 in E-flat major,4. Allegro,String Quartet,Pascal String Quartet,suzumedia,OP127,434.0
2371.0,Beethoven,Piano Sonata No 9 in E major,2. Allegretto,Solo Piano,Paul Pitman,piano-midi.de,OP14NO1,205.0
2372.0,Beethoven,Piano Sonata No 9 in E major,3. Rondo - Allegro comodo,Solo Piano,Paul Pitman,piano-midi.de,OP14NO1,228.0
2373.0,Beethoven,Piano Sonata No 19 in G minor,1. Andante,Solo Piano,Paul Pitman,piano-midi.de,OP49NO1,318.0
