Unnamed: 0,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,sepal_width_length_ratio,petal_width_length_ratio,Species
106,107,4.9,2.5,4.5,1.7,1.96,2.647058823529412,Iris-virginica
107,108,7.3,2.9,6.3,1.8,2.5172413793103448,3.5,Iris-virginica
108,109,6.7,2.5,5.8,1.8,2.68,3.222222222222222,Iris-virginica
109,110,7.2,3.6,6.1,2.5,2.0,2.44,Iris-virginica
110,111,6.5,3.2,5.1,2.0,2.03125,2.55,Iris-virginica
111,112,6.4,2.7,5.3,1.9,2.3703703703703702,2.7894736842105265,Iris-virginica
112,113,6.8,3.0,5.5,2.1,2.2666666666666666,2.619047619047619,Iris-virginica
113,114,5.7,2.5,5.0,2.0,2.28,2.5,Iris-virginica
114,115,5.8,2.8,5.1,2.4,2.071428571428572,2.125,Iris-virginica
115,116,6.4,3.2,5.3,2.3,2.0,2.3043478260869565,Iris-virginica
116,117,6.5,3.0,5.5,1.8,2.1666666666666665,3.055555555555556,Iris-virginica
117,118,7.7,3.8,6.7,2.2,2.0263157894736845,3.0454545454545454,Iris-virginica
118,119,7.7,2.6,6.9,2.3,2.9615384615384617,3.0000000000000004,Iris-virginica
119,120,6.0,2.2,5.0,1.5,2.727272727272727,3.333333333333333,Iris-virginica
120,121,6.9,3.2,5.7,2.3,2.15625,2.4782608695652177,Iris-virginica
121,122,5.6,2.8,4.9,2.0,2.0,2.45,Iris-virginica
122,123,7.7,2.8,6.7,2.0,2.7500000000000004,3.35,Iris-virginica
123,124,6.3,2.7,4.9,1.8,2.333333333333333,2.7222222222222223,Iris-virginica
124,125,6.7,3.3,5.7,2.1,2.0303030303030303,2.7142857142857144,Iris-virginica
125,126,7.2,3.2,6.0,1.8,2.25,3.333333333333333,Iris-virginica
126,127,6.2,2.8,4.8,1.8,2.2142857142857144,2.6666666666666665,Iris-virginica
127,128,6.1,3.0,4.9,1.8,2.033333333333333,2.7222222222222223,Iris-virginica
128,129,6.4,2.8,5.6,2.1,2.285714285714286,2.6666666666666665,Iris-virginica
129,130,7.2,3.0,5.8,1.6,2.4,3.625,Iris-virginica
130,131,7.4,2.8,6.1,1.9,2.6428571428571432,3.210526315789473,Iris-virginica
131,132,7.9,3.8,6.4,2.0,2.0789473684210527,3.2,Iris-virginica
132,133,6.4,2.8,5.6,2.2,2.285714285714286,2.545454545454545,Iris-virginica
133,134,6.3,2.8,5.1,1.5,2.25,3.4,Iris-virginica
134,135,6.1,2.6,5.6,1.4,2.346153846153846,4.0,Iris-virginica
135,136,7.7,3.0,6.1,2.3,2.566666666666667,2.6521739130434785,Iris-virginica
136,137,6.3,3.4,5.6,2.4,1.8529411764705883,2.333333333333333,Iris-virginica
137,138,6.4,3.1,5.5,1.8,2.064516129032258,3.055555555555556,Iris-virginica
138,139,6.0,3.0,4.8,1.8,2.0,2.6666666666666665,Iris-virginica
139,140,6.9,3.1,5.4,2.1,2.2258064516129035,2.571428571428572,Iris-virginica
140,141,6.7,3.1,5.6,2.4,2.161290322580645,2.333333333333333,Iris-virginica
141,142,6.9,3.1,5.1,2.3,2.2258064516129035,2.217391304347826,Iris-virginica
142,143,5.8,2.7,5.1,1.9,2.148148148148148,2.6842105263157894,Iris-virginica
143,144,6.8,3.2,5.9,2.3,2.125,2.565217391304348,Iris-virginica
144,145,6.7,3.3,5.7,2.5,2.0303030303030303,2.28,Iris-virginica
145,146,6.7,3.0,5.2,2.3,2.2333333333333334,2.260869565217392,Iris-virginica
146,147,6.3,2.5,5.0,1.9,2.52,2.631578947368421,Iris-virginica
147,148,6.5,3.0,5.2,2.0,2.1666666666666665,2.6,Iris-virginica
148,149,6.2,3.4,5.4,2.3,1.823529411764706,2.347826086956522,Iris-virginica
149,150,5.9,3.0,5.1,1.8,1.9666666666666668,2.833333333333333,Iris-virginica
