Unnamed: 0,name,city,state
86.0,Grey Sail Brewing Company,Westerly, RI
87.0,Kirkwood Station Brewing Company,Kirkwood, MO
88.0,Goose Island Brewing Company,Chicago, IL
89.0,Broad Brook Brewing LLC,East Windsor, CT
90.0,The Lion Brewery,Wilkes-Barre, PA
91.0,Madtree Brewing Company,Cincinnati, OH
92.0,Jackie O s Pub & Brewery,Athens, OH
93.0,Rhinegeist Brewery,Cincinnati, OH
94.0,Warped Wing Brewing Company,Dayton, OH
95.0,Blackrocks Brewery,Marquette, MA
96.0,Catawba Valley Brewing Company,Morganton, NC
97.0,Tröegs Brewing Company,Hershey, PA
98.0,Mission Brewery,San Diego, CA
99.0,Christian Moerlein Brewing Company,Cincinnati, OH
100.0,West Sixth Brewing,Lexington, KY
101.0,Coastal Extreme Brewing Company,Newport, RI
102.0,King Street Brewing Company,Anchorage, AK
103.0,Beer Works Brewery,Lowell, MA
104.0,Lone Tree Brewing Company,Lone Tree, CO
105.0,Four String Brewing Company,Columbus, OH
106.0,Glabrous Brewing Company,Pineland, ME
107.0,Bonfire Brewing Company,Eagle, CO
108.0,Thomas Hooker Brewing Company,Bloomfield, CT
109.0,Woodstock Inn, Station & Brewery,North Woodstock, NH
110.0,Renegade Brewing Company,Denver, CO
111.0,Mother Earth Brew Company,Vista, CA
112.0,Black Market Brewing Company,Temecula, CA
113.0,Vault Brewing Company,Yardley, PA
114.0,Jailbreak Brewing Company,Laurel, MD
115.0,Smartmouth Brewing Company,Norfolk, VA
116.0,Base Camp Brewing Co.,Portland, OR
117.0,Alameda Brewing,Portland, OR
118.0,Southern Star Brewing Company,Conroe, TX
119.0,Steamworks Brewing Company,Durango, CO
120.0,Horny Goat Brew Pub,Milwaukee, WI
121.0,Cheboygan Brewing Company,Cheboygan, MI
122.0,Center of the Universe Brewing C...,Ashland, VA
123.0,Ipswich Ale Brewery,Ipswich, MA
124.0,Griffin Claw Brewing Company,Birmingham, MI
125.0,Karbach Brewing Company,Houston, TX
126.0,Uncle Billy s Brewery and Smokeh...,Austin, TX
127.0,Deep Ellum Brewing Company,Dallas, TX
128.0,Real Ale Brewing Company,Blanco, TX
129.0,Straub Brewery,St Mary s, PA
130.0,Shebeen Brewing Company,Wolcott, CT
131.0,Stevens Point Brewery,Stevens Point, WI
132.0,Weston Brewing Company,Weston, MO
133.0,Southern Prohibition Brewing Com...,Hattiesburg, MS
134.0,Minhas Craft Brewery,Monroe, WI
135.0,Pug Ryan s Brewery,Dillon, CO
136.0,Hops & Grains Brewing Company,Austin, TX
137.0,Sietsema Orchards and Cider Mill,Ada, MI
138.0,Summit Brewing Company,St Paul, MN
139.0,Core Brewing & Distilling Company,Springdale, AR
140.0,Independence Brewing Company,Austin, TX
141.0,Cigar City Brewing Company,Tampa, FL
142.0,Third Street Brewhouse,Cold Spring, MN
143.0,Narragansett Brewing Company,Providence, RI
144.0,Grimm Brothers Brewhouse,Loveland, CO
145.0,Cisco Brewers,Nantucket, MA
146.0,Angry Minnow,Hayward, WI
147.0,Platform Beer Company,Cleveland, OH
148.0,Odyssey Beerwerks,Arvada, CO
149.0,Lonerider Brewing Company,Raleigh, NC
150.0,Oakshire Brewing,Eugene, OR
151.0,Fort Pitt Brewing Company,Latrobe, PA
152.0,Tin Roof Brewing Company,Baton Rouge, LA
153.0,Three Creeks Brewing,Sisters, OR
154.0,2 Towns Ciderhouse,Corvallis, OR
155.0,Caldera Brewing Company,Ashland, OR
156.0,Greenbrier Valley Brewing Company,Lewisburg, WV
157.0,Phoenix Ale Brewery,Phoenix, AZ
158.0,Lumberyard Brewing Company,Flagstaff, AZ
159.0,Uinta Brewing Company,Salt Lake City, UT
160.0,Four Peaks Brewing Company,Tempe, AZ
161.0,Martin House Brewing Company,Fort Worth, TX
162.0,Right Brain Brewery,Traverse City, MI
163.0,Sly Fox Brewing Company,Phoenixville, PA
164.0,Round Guys Brewing,Lansdale, PA
165.0,Great Crescent Brewery,Aurora, IN
166.0,Oskar Blues Brewery,Longmont, CO
167.0,Boxcar Brewing Company,West Chester, PA
168.0,High Hops Brewery,Windsor, CO
169.0,Crooked Fence Brewing Company,Garden City, ID
170.0,Everybody s Brewing,White Salmon, WA
171.0,Anderson Valley Brewing Company,Boonville, CA
172.0,Fiddlehead Brewing Company,Shelburne, VT
173.0,Evil Twin Brewing,Brooklyn, NY
174.0,New Orleans Lager & Ale Brewing ...,New Orleans, LA
175.0,Spiteful Brewing Company,Chicago, IL
176.0,Rahr & Sons Brewing Company,Fort Worth, TX
177.0,18th Street Brewery,Gary, IN
178.0,Cambridge Brewing Company,Cambridge, MA
179.0,Carolina Brewery,Pittsboro, NC
180.0,Frog Level Brewing Company,Waynesville, NC
181.0,Wild Wolf Brewing Company,Nellysford, VA
182.0,COOP Ale Works,Oklahoma City, OK
183.0,Seventh Son Brewing Company,Columbus, OH
184.0,Oasis Texas Brewing Company,Austin, TX
185.0,Vander Mill Ciders,Spring Lake, MI
186.0,St. Julian Winery,Paw Paw, MI
187.0,Pedernales Brewing Company,Fredericksburg, TX
188.0,Mother s Brewing,Springfield, MO
189.0,Modern Monks Brewery,Lincoln, NE
190.0,Two Beers Brewing Company,Seattle, WA
191.0,Snake River Brewing Company,Jackson, WY
192.0,Capital Brewery,Middleton, WI
193.0,Anthem Brewing Company,Oklahoma City, OK
194.0,Goodlife Brewing Co.,Bend, OR
195.0,Breakside Brewery,Portland, OR
196.0,Goose Island Brewery Company,Chicago, IL
197.0,Burnside Brewing Co.,Portland, OR
198.0,Hop Valley Brewing Company,Springfield, OR
199.0,Worthy Brewing Company,Bend, OR
200.0,Occidental Brewing Company,Portland, OR
201.0,Fearless Brewing Company,Estacada, OR
202.0,Upland Brewing Company,Bloomington, IN
203.0,Mehana Brewing Co.,Hilo, HI
204.0,Hawai i Nui Brewing Co.,Hilo, HI
205.0,People s Brewing Company,Lafayette, IN
206.0,Fort George Brewery,Astoria, OR
207.0,Branchline Brewing Company,San Antonio, TX
208.0,Kalona Brewing Company,Kalona, IA
209.0,Modern Times Beer,San Diego, CA
210.0,Temperance Beer Company,Evanston, IL
211.0,Wisconsin Brewing Company,Verona, WI
212.0,Crow Peak Brewing Company,Spearfish, SD
213.0,Grapevine Craft Brewery,Farmers Branch, TX
214.0,Buffalo Bayou Brewing Company,Houston, TX
215.0,Texian Brewing Co.,Richmond, TX
216.0,Orpheus Brewing,Atlanta, GA
217.0,Forgotten Boardwalk,Cherry Hill, NJ
218.0,Laughing Dog Brewing Company,Ponderay, ID
219.0,Bozeman Brewing Company,Bozeman, MT
220.0,Big Choice Brewing,Broomfield, CO
221.0,Big Storm Brewing Company,Odessa, FL
222.0,Carton Brewing Company,Atlantic Highlands, NJ
223.0,Midnight Sun Brewing Company,Anchorage, AK
224.0,Fat Head s Brewery,Middleburg Heights, OH
225.0,Refuge Brewery,Temecula, CA
226.0,Chatham Brewing,Chatham, NY
227.0,DC Brau Brewing Company,Washington, DC
228.0,Geneva Lake Brewing Company,Lake Geneva, WI
229.0,Rochester Mills Brewing Company,Rochester, MI
230.0,Cape Ann Brewing Company,Gloucester, MA
231.0,Borderlands Brewing Company,Tucson, AZ
232.0,College Street Brewhouse and Pub,Lake Havasu City, AZ
233.0,Joseph James Brewing Company,Henderson, NV
234.0,Harpoon Brewery,Boston, MA
235.0,Back East Brewing Company,Bloomfield, CT
236.0,Champion Brewing Company,Charlottesville, VA
237.0,Devil s Backbone Brewing Company,Lexington, VA
238.0,Newburgh Brewing Company,Newburgh, NY
239.0,Wiseacre Brewing Company,Memphis, TN
240.0,Golden Road Brewing,Los Angeles, CA
241.0,New Republic Brewing Company,College Station, TX
242.0,Infamous Brewing Company,Austin, TX
243.0,Two Henrys Brewing Company,Plant City, FL
244.0,Lift Bridge Brewing Company,Stillwater, MN
245.0,Lucky Town Brewing Company,Jackson, MS
246.0,Quest Brewing Company,Greenville, SC
247.0,Creature Comforts,Athens, GA
248.0,Half Full Brewery,Stamford, CT
249.0,Southampton Publick House,Southampton, NY
250.0,Chapman s Brewing,Angola, IN
251.0,Barrio Brewing Company,Tucson, AZ
252.0,Santa Cruz Mountain Brewing,Santa Cruz, CA
253.0,Frankenmuth Brewery,Frankenmuth, MI
254.0,Meckley s Cidery,Somerset Center, MI
255.0,Stillwater Artisanal Ales,Baltimore, MD
256.0,Finch s Beer Company,Chicago, IL
257.0,South Austin Brewery,South Austin, TX
258.0,Bauhaus Brew Labs,Minneapolis, MN
259.0,Ozark Beer Company,Rogers, AR
260.0,Mountain Town Brewing Company ,Mount Pleasant, MI
261.0,Otter Creek Brewing,Waterbury, VT
262.0,The Brewer s Art,Baltimore, MD
263.0,Denver Beer Company,Denver, CO
264.0,Ska Brewing Company,Durango, CO
265.0,Tractor Brewing Company,Albuquerque, NM
266.0,Peak Organic Brewing Company,Portland, ME
267.0,Cape Cod Beer,Hyannis, MA
268.0,Long Trail Brewing Company,Bridgewater Corners, VT
269.0,Great Raft Brewing Company,Shreveport, LA
270.0,Alaskan Brewing Company,Juneau, AK
271.0,Notch Brewing Company,Ipswich, MA
272.0,The Alchemist,Waterbury, VT
273.0,Three Notch d Brewing Company,Charlottesville, VA
274.0,Portside Brewery,Cleveland, OH
275.0,Otter Creek Brewing,Middlebury, VT
276.0,Montauk Brewing Company,Montauk, NY
277.0,Indeed Brewing Company,Minneapolis, MN
278.0,Berkshire Brewing Company,South Deerfield, MA
279.0,Foolproof Brewing Company,Pawtucket, RI
280.0,Headlands Brewing Company,Mill Valley, CA
281.0,Bolero Snort Brewery,Ridgefield Park, NJ
282.0,Thunderhead Brewing Company,Kearney, NE
283.0,Defiance Brewing Company,Hays, KS
284.0,Milwaukee Brewing Company,Milwaukee, WI
285.0,Catawba Island Brewing,Port Clinton, OH
286.0,Back Forty Beer Company,Gadsden, AL
287.0,Four Corners Brewing Company,Dallas, TX
288.0,Saint Archer Brewery,San Diego, CA
289.0,Rogue Ales,Newport, OR
290.0,Hale s Ales,Seattle, WA
291.0,Tommyknocker Brewery,Idaho Springs, CO
292.0,Baxter Brewing Company,Lewiston, ME
293.0,Northampton Brewery,Northamtpon, MA
294.0,Black Shirt Brewing Company,Denver, CO
295.0,Wachusett Brewing Company,Westminster, MA
296.0,Widmer Brothers Brewing Company,Portland, OR
297.0,Hop Farm Brewing Company,Pittsburgh, PA
298.0,Liquid Hero Brewery,York, PA
299.0,Matt Brewing Company,Utica, NY
300.0,Boston Beer Company,Boston, MA
301.0,Old Forge Brewing Company,Danville, PA
302.0,Utah Brewers Cooperative,Salt Lake City, UT
303.0,Magic Hat Brewing Company,South Burlington, VT
304.0,Blue Hills Brewery,Canton, MA
305.0,Night Shift Brewing,Everett, MA
306.0,Beach Brewing Company,Virginia Beach, VA
307.0,Payette Brewing Company,Garden City, ID
308.0,Brew Bus Brewing,Tampa, FL
309.0,Sockeye Brewing Company,Boise, ID
310.0,Pine Street Brewery,San Francisco, CA
311.0,Dirty Bucket Brewing Company,Woodinville, WA
312.0,Jackalope Brewing Company,Nashville, TN
313.0,Slanted Rock Brewing Company,Meridian, ID
314.0,Piney River Brewing Company,Bucryus, MO
315.0,Cutters Brewing Company,Avon, IN
316.0,Iron Hill Brewery & Restaurant,Wilmington, DE
317.0,Marshall Wharf Brewing Company,Belfast, ME
318.0,Banner Beer Company,Williamsburg, MA
319.0,Dick s Brewing Company,Centralia, WA
320.0,Claremont Craft Ales,Claremont, CA
321.0,Rivertown Brewing Company,Lockland, OH
322.0,Voodoo Brewery,Meadville, PA
323.0,D.L. Geary Brewing Company,Portland, ME
324.0,Pisgah Brewing Company,Black Mountain, NC
325.0,Neshaminy Creek Brewing Company,Croydon, PA
326.0,Morgan Street Brewery,Saint Louis, MO
327.0,Half Acre Beer Company,Chicago, IL
328.0,The Just Beer Project,Burlington, VT
329.0,The Bronx Brewery,Bronx, NY
330.0,Dead Armadillo Craft Brewing,Tulsa, OK
331.0,Catawba Brewing Company,Morganton, NC
332.0,La Cumbre Brewing Company,Albuquerque, NM
333.0,David s Ale Works,Diamond Springs, CA
334.0,The Traveler Beer Company,Burlington, VT
335.0,Fargo Brewing Company,Fargo, ND
336.0,Big Sky Brewing Company,Missoula, MT
337.0,Nebraska Brewing Company,Papillion, NE
338.0,Uncle John s Fruit House Winery,St. John s, MI
339.0,Wormtown Brewery,Worcester, MA
340.0,Due South Brewing Company,Boynton Beach, FL
341.0,Palisade Brewing Company,Palisade, CO
342.0,KelSo Beer Company,Brooklyn, NY
343.0,Hardywood Park Craft Brewery,Richmond, VA
344.0,Wolf Hills Brewing Company,Abingdon, VA
345.0,Lavery Brewing Company,Erie, PA
346.0,Manzanita Brewing Company,Santee, CA
347.0,Fullsteam Brewery,Durham, NC
348.0,Four Horsemen Brewing Company,South Bend, IN
349.0,Hinterland Brewery,Green Bay, WI
350.0,Central Coast Brewing Company,San Luis Obispo, CA
351.0,Westfield River Brewing Company,Westfield, MA
352.0,Elevator Brewing Company,Columbus, OH
353.0,Aslan Brewing Company,Bellingham, WA
354.0,Kulshan Brewery,Bellingham, WA
355.0,Pikes Peak Brewing Company,Monument, CO
356.0,Manayunk Brewing Company,Philadelphia, PA
357.0,Buckeye Brewing,Cleveland, OH
358.0,Daredevil Brewing Company,Shelbyville, IN
359.0,NoDa Brewing Company,Charlotte, NC
360.0,Aviator Brewing Company,Fuquay-Varina, NC
361.0,Wild Onion Brewing Company,Lake Barrington, IL
362.0,Hilliard s Beer,Seattle, WA
363.0,Mikkeller,Pottstown, PA
364.0,Bohemian Brewery,Midvale, UT
365.0,Great River Brewery,Davenport, IA
366.0,Mustang Brewing Company,Mustang, OK
367.0,Airways Brewing Company,Kent, WA
368.0,21st Amendment Brewery,San Francisco, CA
369.0,Eddyline Brewery & Restaurant,Buena Vista, CO
370.0,Pizza Port Brewing Company,Carlsbad, CA
371.0,Sly Fox Brewing Company,Pottstown, PA
372.0,Spring House Brewing Company,Conestoga, PA
373.0,7venth Sun,Dunedin, FL
374.0,Astoria Brewing Company,Astoria, OR
375.0,Maui Brewing Company,Lahaina, HI
376.0,RoughTail Brewing Company,Midwest City, OK
377.0,Lucette Brewing Company,Menominee, WI
378.0,Bold City Brewery,Jacksonville, FL
379.0,Grey Sail Brewing of Rhode Island,Westerly, RI
380.0,Blue Blood Brewing Company,Lincoln, NE
381.0,Swashbuckler Brewing Company,Manheim, PA
382.0,Blue Mountain Brewery,Afton, VA
383.0,Starr Hill Brewery,Crozet, VA
384.0,Westbrook Brewing Company,Mt. Pleasant, SC
385.0,Shipyard Brewing Company,Portland, ME
386.0,Revolution Brewing,Paonia, CO
387.0,Natian Brewery,Portland, OR
388.0,Alltech s Lexington Brewing Company,Lexington, KY
389.0,Oskar Blues Brewery (North Carol...,Brevard, NC
390.0,Orlison Brewing Company,Airway Heights, WA
391.0,Breckenridge Brewery,Denver, CO
392.0,Santa Fe Brewing Company,Santa Fe, NM
393.0,Miami Brewing Company,Miami, FL
394.0,Schilling & Company,Seattle, WA
395.0,Hops & Grain Brewery,Austin, TX
396.0,White Flame Brewing Company,Hudsonville, MI
397.0,Ruhstaller Beer Company,Sacramento, CA
398.0,Saugatuck Brewing Company,Douglas, MI
399.0,Moab Brewery,Moab, UT
400.0,Macon Beer Company,Macon, GA
401.0,Amnesia Brewing Company,Washougal, WA
402.0,Wolverine State Brewing Company,Ann Arbor, MI
403.0,Red Tank Cider Company,Bend, OR
404.0,Cascadia Ciderworks United,Portland, OR
405.0,Fate Brewing Company,Boulder, CO
406.0,Lazy Monk Brewing,Eau Claire, WI
407.0,Bitter Root Brewing,Hamilton, MT
408.0,10 Barrel Brewing Company,Bend, OR
409.0,Tamarack Brewing Company,Lakeside, MT
410.0,New England Brewing Company,Woodbridge, CT
411.0,Seattle Cider Company,Seattle, WA
412.0,Straight to Ale,Huntsville, AL
413.0,Austin Beerworks,Austin, TX
414.0,Blue Mountain Brewery,Arrington, VA
415.0,Coastal Empire Beer Company,Savannah, GA
416.0,Jack s Hard Cider (Hauser Estate...,Biglerville, PA
417.0,Boulder Beer Company,Boulder, CO
418.0,Coalition Brewing Company,Portland, OR
419.0,Sanitas Brewing Company,Boulder, CO
420.0,Gore Range Brewery,Edwards, CO
421.0,Redstone Meadery,Boulder, CO
422.0,Blue Dog Mead,Eugene, OR
423.0,Hess Brewing Company,San Diego, CA
424.0,Wynkoop Brewing Company,Denver, CO
425.0,Ciderboys,Stevens Point, WI
426.0,Armadillo Ale Works,Denton, TX
427.0,Roanoke Railhouse Brewery,Roanoke, VA
428.0,Schlafly Brewing Company,Saint Louis, MO
429.0,Asher Brewing Company,Boulder, CO
430.0,Lost Rhino Brewing Company,Ashburn, VA
431.0,North Country Brewing Company,Slippery Rock, PA
432.0,Seabright Brewery,Santa Cruz, CA
433.0,French Broad Brewery,Asheville, NC
434.0,Angry Orchard Cider Company,Cincinnati, OH
435.0,Two Roads Brewing Company,Stratford, CT
436.0,Southern Oregon Brewing Company,Medford, OR
437.0,Brooklyn Brewery,Brooklyn, NY
438.0,The Right Brain Brewery,Traverse City, MI
439.0,Kona Brewing Company,Kona, HI
440.0,MillKing It Productions,Royal Oak, MI
441.0,Pateros Creek Brewing Company,Fort Collins, CO
442.0,O Fallon Brewery,O Fallon, MO
443.0,Marble Brewery,Albuquerque, NM
444.0,Big Wood Brewery,Vadnais Heights, MN
445.0,Howard Brewing Company,Lenoir, NC
446.0,Downeast Cider House,Leominster, MA
447.0,Swamp Head Brewery,Gainesville, FL
448.0,Mavericks Beer Company,Half Moon Bay, CA
449.0,TailGate Beer,San Diego, CA
450.0,Northwest Brewing Company,Pacific, WA
451.0,Dad & Dude s Breweria,Aurora, CO
452.0,Centennial Beer Company,Edwards, CO
453.0,Denali Brewing Company,Talkeetna, AK
454.0,Deschutes Brewery,Bend, OR
455.0,Sunken City Brewing Company,Hardy, VA
456.0,Lucette Brewing Company,Menominie, WI
457.0,The Black Tooth Brewing Company,Sheridan, WY
458.0,Kenai River Brewing Company,Soldotna, AK
459.0,River North Brewery,Denver, CO
460.0,Fremont Brewing Company,Seattle, WA
461.0,Armstrong Brewing Company,South San Francisco, CA
462.0,AC Golden Brewing Company,Golden, CO
463.0,Big Bend Brewing Company,Alpine, TX
464.0,Good Life Brewing Company,Bend, OR
465.0,Engine 15 Brewing,Jacksonville Beach, FL
466.0,Green Room Brewing,Jacksonville, FL
467.0,Brindle Dog Brewing Company,Tampa Bay, FL
468.0,Peace Tree Brewing Company,Knoxville, IA
469.0,Terrapin Brewing Company,Athens, GA
470.0,Pete s Brewing Company,San Antonio, TX
471.0,Okoboji Brewing Company,Spirit Lake, IA
472.0,Crystal Springs Brewing Company,Boulder, CO
473.0,Engine House 9,Tacoma, WA
474.0,Tonka Beer Company,Minnetonka, MN
475.0,Red Hare Brewing Company,Marietta, GA
476.0,Hangar 24 Craft Brewery,Redlands, CA
477.0,Big Elm Brewing,Sheffield, MA
478.0,Good People Brewing Company,Birmingham, AL
479.0,Heavy Seas Beer,Halethorpe, MD
480.0,Telluride Brewing Company,Telluride, CO
481.0,7 Seas Brewing Company,Gig Harbor, WA
482.0,Confluence Brewing Company,Des Moines, IA
483.0,Bale Breaker Brewing Company,Yakima, WA
484.0,The Manhattan Brewing Company,New York, NY
485.0,MacTarnahans Brewing Company,Portland, OR
486.0,Stillmank Beer Company,Green Bay, WI
487.0,Redhook Brewery,Woodinville, WA
488.0,Dock Street Brewery,Philadelphia, PA
489.0,Blue Point Brewing Company,Patchogue, NY
490.0,Tampa Bay Brewing Company,Tampa, FL
491.0,Devil s Canyon Brewery,Belmont, CA
492.0,Stone Coast Brewing Company,Portland, ME
493.0,Broken Tooth Brewing Company,Anchorage, AK
494.0,Seven Brides Brewery,Silverton, OR
495.0,Newburyport Brewing Company,Newburyport, MA
496.0,Dry Dock Brewing Company,Aurora, CO
497.0,Cans Bar and Canteen,Charlotte, NC
498.0,Sprecher Brewing Company,Glendale, WI
499.0,Wildwood Brewing Company,Stevensville, MT
500.0,High Noon Saloon And Brewery,Leavenworth, KS
501.0,Woodchuck Hard Cider,Middlebury, VT
502.0,Sea Dog Brewing Company,Portland, ME
503.0,Oskar Blues Brewery,Lyons, CO
504.0,Carolina Beer & Beverage,Mooresville, NC
505.0,Krebs Brewing Company (Pete s Pl...,Krebs, OK
506.0,Warbird Brewing Company,Fort Wayne, IN
507.0,Mudshark Brewing Company,Lake Havasu City, AZ
508.0,Spilker Ales,Cortland, NE
509.0,Wingman Brewers,Tacoma, WA
510.0,Kettle House Brewing Company,Missoula, MT
511.0,Sherwood Forest Brewers,Marlborough, MA
512.0,Cottrell Brewing,Pawcatuck, CT
513.0,Arctic Craft Brewery,Colorado Springs, CO
514.0,Monkey Paw Pub & Brewery,San Diego, CA
515.0,Crabtree Brewing Company,Greeley, CO
516.0,Emerald City Beer Company,Seattle, WA
517.0,Butcher s Brewing,Carlsbad, CA
518.0,New South Brewing Company,Myrtle Beach, SC
519.0,Big River Brewing Company,Chattanooga, TN
520.0,Twisted Pine Brewing Company,Boulder, CO
521.0,Flying Dog Brewery,Frederick, MD
522.0,Uncommon Brewers,Santa Cruz, CA
523.0,Aspen Brewing Company,Aspen, CO
524.0,Triangle Brewing Company,Durham, NC
525.0,Bomb Beer Company,New York, NY
526.0,Churchkey Can Company,Seattle, WA
527.0,Intuition Ale Works,Jacksonville, FL
528.0,Asheville Brewing Company,Asheville, NC
529.0,Northwoods Brewpub,Eau Claire, WI
530.0,Buckbean Brewing Company,Reno, NV
531.0,Dolores River Brewery,Dolores, CO
532.0,Flat Rock Brewing Company,Smithton, PA
533.0,Abita Brewing Company,Abita Springs, LA
534.0,Mammoth Brewing Company,Mammoth Lakes, CA
535.0,Harvest Moon Brewing Company,Belt, MT
536.0,Grand Canyon Brewing Company,Williams, AZ
537.0,Lewis and Clark Brewing Company,Helena, MT
538.0,Dundee Brewing Company,Rochester, NY
539.0,Twin Lakes Brewing Company,Greenville, DE
540.0,Mother Earth Brewing Company,Kinston, NC
541.0,Arcadia Brewing Company,Battle Creek, MI
542.0,Angry Minnow Brewing Company,Hayward, WI
543.0,Great Northern Brewing Company,Whitefish, MT
544.0,Pyramid Breweries,Seattle, WA
545.0,Lancaster Brewing Company,Lancaster, PA
546.0,Upstate Brewing Company,Elmira, NY
547.0,Moat Mountain Smoke House & Brew...,North Conway, NH
548.0,Prescott Brewing Company,Prescott, AZ
549.0,Mogollon Brewing Company,Flagstaff, AZ
550.0,Wind River Brewing Company,Pinedale, WY
551.0,Silverton Brewery,Silverton, CO
552.0,Mickey Finn s Brewery,Libertyville, IL
553.0,Covington Brewhouse,Covington, LA
554.0,Dave s Brewfarm,Wilson, WI
555.0,Ukiah Brewing Company,Ukiah, CA
556.0,Butternuts Beer and Ale,Garrattsville, NY
557.0,Sleeping Lady Brewing Company,Anchorage, AK
