name,country,subcountry,geonameid
Villa Ocampo,Argentina,Santa Fe,3427388.0
Villa Lugano,Argentina,Buenos Aires F.D.,3427408.0
Villaguay,Argentina,Entre Rios,3427428.0
Villa Gesell,Argentina,Buenos Aires,3427431.0
Tigre,Argentina,Buenos Aires,3427761.0
Tandil,Argentina,Buenos Aires,3427833.0
San Vicente,Argentina,Misiones,3428068.0
Santo Tomé,Argentina,Corrientes,3428071.0
Santa Elena,Argentina,Entre Rios,3428359.0
San Pedro,Argentina,Misiones,3428577.0
San Luis del Palmar,Argentina,Corrientes,3428708.0
San Lorenzo,Argentina,Corrientes,3428759.0
San Javier,Argentina,Santa Fe,3428975.0
San Isidro,Argentina,Buenos Aires,3428992.0
Saladas,Argentina,Corrientes,3429403.0
Retiro,Argentina,Buenos Aires F.D.,3429576.0
Resistencia,Argentina,Chaco,3429577.0
Reconquista,Argentina,Santa Fe,3429594.0
Quilmes,Argentina,Buenos Aires,3429652.0
Puerto Rico,Argentina,Misiones,3429732.0
Puerto Iguazú,Argentina,Misiones,3429777.0
Puerto Esperanza,Argentina,Misiones,3429786.0
Puerto Eldorado,Argentina,Misiones,3429790.0
Posadas,Argentina,Misiones,3429886.0
Pontevedra,Argentina,Buenos Aires,3429902.0
Pirané,Argentina,Formosa,3429949.0
Paso de los Libres,Argentina,Corrientes,3430104.0
Oberá,Argentina,Misiones,3430340.0
Necochea,Argentina,Buenos Aires,3430443.0
Morón,Argentina,Buenos Aires,3430545.0
Monte Caseros,Argentina,Corrientes,3430598.0
Montecarlo,Argentina,Misiones,3430601.0
Mercedes,Argentina,Buenos Aires,3430708.0
Mercedes,Argentina,Corrientes,3430709.0
Mar del Plata,Argentina,Buenos Aires,3430863.0
Luján,Argentina,Buenos Aires,3430988.0
La Plata,Argentina,Buenos Aires,3432043.0
La Paz,Argentina,Entre Rios,3432079.0
Jardín América,Argentina,Misiones,3433349.0
Gualeguaychú,Argentina,Entre Rios,3433658.0
Gualeguay,Argentina,Entre Rios,3433663.0
Goya,Argentina,Corrientes,3433715.0
Gobernador Ingeniero Valentín Virasoro,Argentina,Corrientes,3433753.0
General José de San Martín,Argentina,Chaco,3433803.0
Garupá,Argentina,Misiones,3433836.0
Formosa,Argentina,Formosa,3433899.0
Fontana,Argentina,Chaco,3433901.0
Federal,Argentina,Entre Rios,3433956.0
Esquina,Argentina,Corrientes,3434095.0
El Soberbio,Argentina,Misiones,3434291.0
Dolores,Argentina,Buenos Aires,3435038.0
Curuzú Cuatiá,Argentina,Corrientes,3435103.0
Corrientes,Argentina,Corrientes,3435217.0
Concordia,Argentina,Entre Rios,3435261.0
Concepción del Uruguay,Argentina,Entre Rios,3435264.0
Colegiales,Argentina,Buenos Aires F.D.,3435356.0
Chajarí,Argentina,Entre Rios,3435486.0
Campana,Argentina,Buenos Aires,3435810.0
Buenos Aires,Argentina,Buenos Aires F.D.,3435910.0
Barranqueras,Argentina,Chaco,3436124.0
Azul,Argentina,Buenos Aires,3436199.0
Avellaneda,Argentina,Santa Fe,3436230.0
Aristóbulo del Valle,Argentina,Misiones,3436287.0
Zapala,Argentina,Neuquen,3832132.0
Yerba Buena,Argentina,Tucumán,3832260.0
Villa Regina,Argentina,Rio Negro,3832647.0
Villa Paula de Sarmiento,Argentina,San Juan,3832653.0
Villa Nueva,Argentina,Cordoba,3832662.0
Villa María,Argentina,Cordoba,3832694.0
Villa Dolores,Argentina,Cordoba,3832756.0
Villa Constitución,Argentina,Santa Fe,3832778.0
Villa Carlos Paz,Argentina,Cordoba,3832791.0
Villa Ángela,Argentina,Chaco,3832811.0
Villa Allende,Argentina,Cordoba,3832815.0
Viedma,Argentina,Rio Negro,3832899.0
Victoria,Argentina,Entre Rios,3832934.0
Vera,Argentina,Santa Fe,3833027.0
Venado Tuerto,Argentina,Santa Fe,3833062.0
Veinticinco de Mayo,Argentina,Buenos Aires,3833112.0
Ushuaia,Argentina,Tierra del Fuego,3833367.0
Unquillo,Argentina,Cordoba,3833412.0
Tres Isletas,Argentina,Chaco,3833794.0
Tres Arroyos,Argentina,Buenos Aires,3833859.0
Trelew,Argentina,Chubut,3833883.0
Termas de Río Hondo,Argentina,Santiago del Estero,3834502.0
Tartagal,Argentina,Salta,3834601.0
Tafí Viejo,Argentina,Tucumán,3834813.0
Sunchales,Argentina,Santa Fe,3834971.0
Santo Tomé,Argentina,Santa Fe,3835793.0
Santiago del Estero,Argentina,Santiago del Estero,3835869.0
Santa Rosa,Argentina,La Pampa,3835994.0
Santa Lucía,Argentina,San Juan,3836194.0
Santa Fe de la Vera Cruz,Argentina,Santa Fe,3836277.0
San Salvador de Jujuy,Argentina,Jujuy,3836564.0
San Ramón de la Nueva Orán,Argentina,Salta,3836620.0
San Rafael,Argentina,Mendoza,3836669.0
San Pedro,Argentina,Jujuy,3836772.0
San Nicolás de los Arroyos,Argentina,Buenos Aires,3836846.0
San Miguel de Tucumán,Argentina,Tucumán,3836873.0
San Martín de los Andes,Argentina,Neuquen,3836951.0
San Martín,Argentina,Mendoza,3836992.0
San Luis,Argentina,San Luis,3837056.0
San Justo,Argentina,Santa Fe,3837124.0
San Juan,Argentina,San Juan,3837213.0
San José de Jáchal,Argentina,San Juan,3837240.0
San Jorge,Argentina,Santa Fe,3837441.0
San Francisco,Argentina,Cordoba,3837675.0
San Fernando del Valle de Catamarca,Argentina,Catamarca,3837702.0
San Antonio Oeste,Argentina,Rio Negro,3837980.0
Salta,Argentina,Salta,3838233.0
Rufino,Argentina,Santa Fe,3838506.0
Rosario,Argentina,Santa Fe,3838583.0
Río Tercero,Argentina,Cordoba,3838793.0
Río Segundo,Argentina,Cordoba,3838797.0
Río Gallegos,Argentina,Santa Cruz,3838859.0
Río Cuarto,Argentina,Cordoba,3838874.0
Río Ceballos,Argentina,Cordoba,3838902.0
Rawson,Argentina,Chubut,3839307.0
Rafaela,Argentina,Santa Fe,3839479.0
Quitilipi,Argentina,Chaco,3839490.0
Punta Alta,Argentina,Buenos Aires,3839982.0
Puerto Madryn,Argentina,Chubut,3840092.0
Presidencia Roque Sáenz Peña,Argentina,Chaco,3840300.0
Pocito,Argentina,San Juan,3840860.0
Plottier,Argentina,Neuquen,3840885.0
Pergamino,Argentina,Buenos Aires,3841490.0
Pérez,Argentina,Santa Fe,3841500.0
Paraná,Argentina,Entre Rios,3841956.0
Palpalá,Argentina,Jujuy,3842190.0
Olavarría,Argentina,Buenos Aires,3842670.0
Nueve de Julio,Argentina,Buenos Aires,3842881.0
Neuquén,Argentina,Neuquen,3843123.0
Morteros,Argentina,Cordoba,3843619.0
Monteros,Argentina,Tucumán,3843803.0
Mendoza,Argentina,Mendoza,3844421.0
Marcos Juárez,Argentina,Cordoba,3844899.0
Machagai,Argentina,Chaco,3845330.0
Lincoln,Argentina,Buenos Aires,3846864.0
Libertador General San Martín,Argentina,Jujuy,3846915.0
Las Breñas,Argentina,Chaco,3848687.0
La Rioja,Argentina,La Rioja,3848950.0
La Falda,Argentina,Cordoba,3851331.0
La Calera,Argentina,Cordoba,3852374.0
Laboulaye,Argentina,Cordoba,3852468.0
Junín,Argentina,Buenos Aires,3853354.0
Joaquín V. González,Argentina,Salta,3853491.0
Jesús María,Argentina,Cordoba,3853510.0
Granadero Baigorria,Argentina,Santa Fe,3854895.0
Gobernador Gálvez,Argentina,Santa Fe,3854985.0
General Roca,Argentina,Rio Negro,3855065.0
General Pinedo,Argentina,Chaco,3855074.0
General Pico,Argentina,La Pampa,3855075.0
General Enrique Mosconi,Argentina,Salta,3855116.0
Gálvez,Argentina,Santa Fe,3855244.0
Firmat,Argentina,Santa Fe,3855554.0
Famaillá,Argentina,Tucumán,3855666.0
Esquel,Argentina,Chubut,3855974.0
Esperanza,Argentina,Santa Fe,3856022.0
Embarcación,Argentina,Salta,3856231.0
Embalse,Argentina,Cordoba,3856235.0
El Bolsón,Argentina,Rio Negro,3858765.0
Diamante,Argentina,Entre Rios,3859384.0
Deán Funes,Argentina,Cordoba,3859512.0
Cutral-Có,Argentina,Neuquen,3859552.0
Cruz del Eje,Argentina,Cordoba,3859828.0
Crespo,Argentina,Entre Rios,3859904.0
Cosquín,Argentina,Cordoba,3859965.0
Coronel Suárez,Argentina,Buenos Aires,3860164.0
Coronda,Argentina,Santa Fe,3860217.0
Córdoba,Argentina,Cordoba,3860259.0
Comodoro Rivadavia,Argentina,Chubut,3860443.0
Cipolletti,Argentina,Rio Negro,3861056.0
Cinco Saltos,Argentina,Rio Negro,3861061.0
Chivilcoy,Argentina,Buenos Aires,3861344.0
Chimbas,Argentina,San Juan,3861416.0
Chilecito,Argentina,La Rioja,3861445.0
Charata,Argentina,Chaco,3861678.0
Chacabuco,Argentina,Buenos Aires,3861953.0
Centenario,Argentina,Neuquen,3862144.0
Caucete,Argentina,San Juan,3862240.0
Catriel,Argentina,Rio Negro,3862254.0
Castelli,Argentina,Chaco,3862320.0
Casilda,Argentina,Santa Fe,3862351.0
Carcarañá,Argentina,Santa Fe,3862655.0
Capitán Bermúdez,Argentina,Santa Fe,3862738.0
Cañada de Gómez,Argentina,Santa Fe,3862981.0
Caleta Olivia,Argentina,Santa Cruz,3863379.0
Bell Ville,Argentina,Cordoba,3864331.0
Bella Vista,Argentina,Tucumán,3864375.0
Bahía Blanca,Argentina,Buenos Aires,3865086.0
Arroyo Seco,Argentina,Santa Fe,3865385.0
Arroyito,Argentina,Cordoba,3865424.0
Añatuya,Argentina,Santiago del Estero,3865840.0
Alta Gracia,Argentina,Cordoba,3866163.0
Allen,Argentina,Rio Negro,3866242.0
Alderetes,Argentina,Tucumán,3866367.0
Albardón,Argentina,San Juan,3866425.0
Aguilares,Argentina,Tucumán,3866496.0
Villa Santa Rita,Argentina,Buenos Aires F.D.,6693230.0
Villa Mercedes,Argentina,San Luis,7116866.0
San Carlos de Bariloche,Argentina,Rio Negro,7647007.0
Adrogué,Argentina,Buenos Aires,1.0172104E7
Pago Pago,American Samoa,Eastern District,5881576.0
Wolfsberg,Austria,Carinthia,2760910.0
Wiener Neustadt,Austria,Lower Austria,2761353.0
Vienna,Austria,Vienna,2761369.0
Wels,Austria,Upper Austria,2761524.0
Weinzierl bei Krems,Austria,Lower Austria,2761669.0
Villach,Austria,Carinthia,2762372.0
Traun,Austria,Upper Austria,2763423.0
Traiskirchen,Austria,Lower Austria,2763460.0
Ternitz,Austria,Lower Austria,2763795.0
Steyr,Austria,Upper Austria,2764359.0
Spittal an der Drau,Austria,Carinthia,2764786.0
Schwechat,Austria,Lower Austria,2765388.0
Sankt Pölten,Austria,Lower Austria,2766429.0
Salzburg,Austria,Salzburg,2766824.0
Saalfelden am Steinernen Meer,Austria,Salzburg,2766922.0
Mödling,Austria,Lower Austria,2771335.0
Lustenau,Austria,Vorarlberg,2772173.0
Linz,Austria,Upper Austria,2772400.0
Leonding,Austria,Upper Austria,2772635.0
Leoben,Austria,Styria,2772649.0
Kufstein,Austria,Tyrol,2773300.0
Krems an der Donau,Austria,Lower Austria,2773549.0
Klosterneuburg,Austria,Lower Austria,2773913.0
Klagenfurt am Wörthersee,Austria,Carinthia,2774326.0
Kapfenberg,Austria,Styria,2774773.0
Innsbruck,Austria,Tyrol,2775220.0
Hallein,Austria,Salzburg,2776951.0
Graz,Austria,Styria,2778067.0
Feldkirch,Austria,Vorarlberg,2779674.0
Dornbirn,Austria,Vorarlberg,2780741.0
Bregenz,Austria,Vorarlberg,2781503.0
Braunau am Inn,Austria,Upper Austria,2781520.0
Baden,Austria,Lower Austria,2782067.0
Amstetten,Austria,Lower Austria,2782555.0
Ansfelden,Austria,Salzburg,3323063.0
Whyalla,Australia,South Australia,2058430.0
Rockingham,Australia,Western Australia,2062338.0
Prospect,Australia,South Australia,2062944.0
Port Hedland,Australia,Western Australia,2063042.0
Perth,Australia,Western Australia,2063523.0
Murray Bridge,Australia,South Australia,2065176.0
Mount Isa,Australia,Queensland,2065594.0
Morphett Vale,Australia,South Australia,2065740.0
Mandurah,Australia,Western Australia,2067119.0
Kwinana,Australia,Western Australia,2068079.0
Kalgoorlie,Australia,Western Australia,2068823.0
Gosnells,Australia,Western Australia,2070571.0
Geraldton,Australia,Western Australia,2070998.0
Gawler,Australia,South Australia,2071059.0
Fremantle,Australia,Western Australia,2071223.0
Darwin,Australia,Northern Territory,2073124.0
Busselton,Australia,Western Australia,2075265.0
Bunbury,Australia,Western Australia,2075432.0
Armadale,Australia,Western Australia,2077579.0
Alice Springs,Australia,Northern Territory,2077895.0
Albany,Australia,Western Australia,2077963.0
Adelaide,Australia,South Australia,2078025.0
Woodridge,Australia,Queensland,2143069.0
Wodonga,Australia,Victoria,2143285.0
Werribee,Australia,Victoria,2144095.0
Warrnambool,Australia,Victoria,2144528.0
Wantirna South,Australia,Victoria,2144728.0
Wangaratta,Australia,Victoria,2144764.0
Wagga Wagga,Australia,New South Wales,2145110.0
Traralgon,Australia,Victoria,2146108.0
Townsville,Australia,Queensland,2146142.0
Toowoomba,Australia,Queensland,2146268.0
Thornbury,Australia,Victoria,2146793.0
Thomastown,Australia,Victoria,2146827.0
Tarneit,Australia,Victoria,2147357.0
Taree,Australia,New South Wales,2147381.0
Tamworth,Australia,New South Wales,2147497.0
Sydney,Australia,New South Wales,2147714.0
Surfers Paradise,Australia,Queensland,2147849.0
Sunnybank,Australia,Queensland,2147892.0
Sunbury,Australia,Victoria,2147914.0
Port Stephens,Australia,New South Wales,2148398.0
Springvale,Australia,Victoria,2148591.0
Southport,Australia,Queensland,2148928.0
South Grafton,Australia,New South Wales,2148997.0
Shepparton,Australia,Victoria,2149645.0
Seaford,Australia,Victoria,2149975.0
Saint Kilda,Australia,Victoria,2150660.0
Saint Albans,Australia,Victoria,2150717.0
Rowville,Australia,Victoria,2150894.0
Rockhampton,Australia,Queensland,2151437.0
Richmond,Australia,Victoria,2151649.0
Reservoir,Australia,Victoria,2151716.0
Queanbeyan,Australia,New South Wales,2152286.0
Quakers Hill,Australia,New South Wales,2152329.0
Preston,Australia,Victoria,2152558.0
Port Macquarie,Australia,New South Wales,2152659.0
Point Cook,Australia,Victoria,2152819.0
Pakenham South,Australia,Victoria,2153951.0
Orange,Australia,New South Wales,2154219.0
Nowra,Australia,New South Wales,2154787.0
Northcote,Australia,Victoria,2155001.0
Noble Park,Australia,Victoria,2155204.0
Newcastle,Australia,New South Wales,2155472.0
Nerang,Australia,Queensland,2155542.0
Narre Warren,Australia,Victoria,2155718.0
Narangba,Australia,Queensland,2155787.0
Mulgrave,Australia,Victoria,2156340.0
Mount Martha,Australia,Victoria,2156578.0
Mount Gambier,Australia,South Australia,2156643.0
Mount Eliza,Australia,Victoria,2156663.0
Mosman,Australia,New South Wales,2156813.0
Mornington,Australia,Victoria,2156878.0
Morayfield,Australia,Queensland,2156934.0
Moe,Australia,Victoria,2157343.0
Mill Park,Australia,Victoria,2157635.0
Mildura,Australia,Victoria,2157698.0
Melton,Australia,Victoria,2158151.0
Melbourne,Australia,Victoria,2158177.0
Maryborough,Australia,Queensland,2158562.0
Marrickville,Australia,New South Wales,2158626.0
Maroubra,Australia,New South Wales,2158651.0
Maitland,Australia,New South Wales,2159045.0
Mackay,Australia,Queensland,2159220.0
Liverpool,Australia,New South Wales,2159851.0
Lismore,Australia,New South Wales,2160063.0
Lilydale,Australia,Victoria,2160188.0
Launceston,Australia,Tasmania,2160517.0
Lara,Australia,Victoria,2160560.0
Langwarrin,Australia,Victoria,2160582.0
Lalor,Australia,Victoria,2160706.0
Keysborough,Australia,Victoria,2161532.0
Kew,Australia,Victoria,2161540.0
Katoomba,Australia,New South Wales,2161776.0
Hornsby,Australia,New South Wales,2163137.0
Hobart,Australia,Tasmania,2163355.0
Hawthorn South,Australia,Victoria,2163776.0
Hampton Park,Australia,Victoria,2163990.0
Griffith,Australia,New South Wales,2164422.0
Greensborough,Australia,Victoria,2164515.0
Granville,Australia,New South Wales,2164691.0
Goulburn,Australia,New South Wales,2164837.0
Gold Coast,Australia,Queensland,2165087.0
Glenroy,Australia,Victoria,2165200.0
Glenferrie,Australia,Victoria,2165329.0
Gladstone,Australia,Queensland,2165478.0
Geelong,Australia,Victoria,2165798.0
Frankston East,Australia,Victoria,2166143.0
Frankston,Australia,Victoria,2166144.0
Forster,Australia,New South Wales,2166309.0
Essendon,Australia,Victoria,2167208.0
Epping,Australia,Victoria,2167279.0
Epping,Australia,New South Wales,2167280.0
Engadine,Australia,New South Wales,2167312.0
Eltham,Australia,Victoria,2167445.0
Echuca,Australia,Victoria,2167817.0
Earlwood,Australia,New South Wales,2167949.0
Dubbo,Australia,New South Wales,2168305.0
Doncaster East,Australia,Victoria,2168605.0
Doncaster,Australia,Victoria,2168607.0
Devonport,Australia,Tasmania,2168943.0
Deer Park,Australia,Victoria,2169145.0
Deception Bay,Australia,Queensland,2169220.0
Dandenong,Australia,Victoria,2169460.0
Cronulla,Australia,New South Wales,2169956.0
Cranbourne,Australia,Victoria,2170078.0
Cranbourne,Australia,Victoria,2170079.0
Craigieburn,Australia,Victoria,2170089.0
Coffs Harbour,Australia,New South Wales,2171085.0
Coburg,Australia,Victoria,2171168.0
Clayton,Australia,Victoria,2171400.0
Wollongong,Australia,New South Wales,2171507.0
Cessnock,Australia,New South Wales,2171845.0
Castle Hill,Australia,New South Wales,2172111.0
Carrum Downs,Australia,Victoria,2172191.0
Carnegie,Australia,Victoria,2172264.0
Carlingford,Australia,New South Wales,2172303.0
Caringbah,Australia,New South Wales,2172311.0
Canberra,Australia,Australian Capital Territory,2172517.0
Camberwell,Australia,Victoria,2172686.0
Caloundra,Australia,Queensland,2172710.0
Cairns,Australia,Queensland,2172797.0
Caboolture,Australia,Queensland,2172832.0
Burnie,Australia,Tasmania,2173125.0
Bundaberg,Australia,Queensland,2173323.0
Buderim,Australia,Queensland,2173605.0
Brunswick,Australia,Victoria,2173741.0
Broken Hill,Australia,New South Wales,2173911.0
Brisbane,Australia,Queensland,2174003.0
Boronia,Australia,Victoria,2174580.0
Blacktown,Australia,New South Wales,2175411.0
Berwick,Australia,Victoria,2176031.0
Bendigo,Australia,Victoria,2176187.0
Baulkham Hills,Australia,New South Wales,2176592.0
Bathurst,Australia,New South Wales,2176632.0
Banora Point,Australia,New South Wales,2176934.0
Bankstown,Australia,New South Wales,2176947.0
Ballarat,Australia,Victoria,2177091.0
Auburn,Australia,New South Wales,2177513.0
Ashfield,Australia,New South Wales,2177565.0
Armidale,Australia,New South Wales,2177671.0
Albury,Australia,New South Wales,2178174.0
South Brisbane,Australia,Queensland,2207259.0
Cheltenham,Australia,Victoria,2207618.0
Randwick,Australia,New South Wales,2208285.0
Dee Why,Australia,New South Wales,2208305.0
Umina,Australia,New South Wales,2208313.0
Palmerston,Australia,Northern Territory,6301965.0
Bracken Ridge,Australia,Queensland,6943558.0
North Ryde,Australia,New South Wales,7281782.0
Hoppers Crossing,Australia,Victoria,7281807.0
Logan City,Australia,Queensland,7281838.0
Carindale,Australia,Queensland,7281839.0
Paramatta,Australia,New South Wales,7281840.0
Ferntree Gully,Australia,Victoria,7281850.0
City of Parramatta,Australia,New South Wales,7302259.0
Adelaide Hills,Australia,South Australia,7302628.0
Canning Vale,Australia,Western Australia,7302631.0
Glenmore Park,Australia,New South Wales,7302642.0
Glen Iris,Australia,Victoria,7932612.0
Balwyn North,Australia,Victoria,7932629.0
Carnegie,Australia,Victoria,7932636.0
Malvern East,Australia,Victoria,7932638.0
Brighton East,Australia,Victoria,7932646.0
Booval,Australia,Queensland,7932654.0
St Albans,Australia,Victoria,8015209.0
Endeavour Hills,Australia,Victoria,8347325.0
Clayton,Australia,Victoria,8347717.0
Taylors Lakes,Australia,Victoria,8347847.0
Roxburgh Park,Australia,Victoria,8347896.0
Wyndham Vale,Australia,Victoria,8348078.0
Willetton,Australia,Western Australia,8348101.0
Thornbury,Australia,Victoria,8348734.0
Thornlie,Australia,Western Australia,8349108.0
Hillside,Australia,Victoria,8349243.0
Bundoora,Australia,Victoria,8349381.0
Forest Lake,Australia,Queensland,9957340.0
Sunnybank Hills,Australia,Queensland,9957350.0
Narre Warren South,Australia,Victoria,9972518.0
Dandenong North,Australia,Victoria,9972522.0
Frankston South,Australia,Victoria,9972527.0
Sunshine West,Australia,Victoria,9972578.0
Altona Meadows,Australia,Victoria,9972579.0
West Pennant,Australia,New South Wales,9972964.0
Oranjestad,Aruba,?,3577154.0
Babijn,Aruba,?,3577277.0
Angochi,Aruba,?,3577284.0
Mariehamn,Aland Islands,Mariehamns stad,3041732.0
Xankandi,Azerbaijan,Xankǝndi,146970.0
Əhmədbəyli,Azerbaijan,Saatlı,147059.0
Shushi,Azerbaijan,Şuşa,147105.0
Salyan,Azerbaijan,Salyan,147271.0
Saatlı,Azerbaijan,Saatlı,147288.0
Neftçala,Azerbaijan,Neftçala,147425.0
Nakhchivan,Azerbaijan,Nakhichevan,147429.0
Lankaran,Azerbaijan,Lənkəran,147622.0
Imishli,Azerbaijan,İmişli,147982.0
Fizuli,Azerbaijan,Füzuli,148106.0
Dzhalilabad,Azerbaijan,Jalilabad,148290.0
Pushkino,Azerbaijan,Bilǝsuvar,148340.0
Beylagan,Azerbaijan,Beyləqan,148354.0
Astara,Azerbaijan,Astara,148445.0
Şirvan,Azerbaijan,Shirvan,148565.0
Ağdam,Azerbaijan,Ağdam,148619.0
Zaqatala,Azerbaijan,Zaqatala,584596.0
Zabrat,Azerbaijan,Baki,584614.0
