Unnamed: 0,abv,ibu,id,name,style,brewery_id,ounces
87.0,0.0819999999999999,103.0,2401.0,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117.0,12.0
88.0,0.053,40.0,1921.0,Freeride APA,American Pale Ale (APA),270.0,12.0
89.0,0.053,18.0,1920.0,Alaskan Amber,Altbier,270.0,12.0
90.0,0.057,NaN,2501.0,Hopalicious,American Pale Ale (APA),73.0,12.0
91.0,0.043,NaN,1535.0,Kentucky Kölsch,Kölsch,388.0,16.0
92.0,0.065,NaN,1149.0,Kentucky IPA,American IPA,388.0,16.0
93.0,0.054,NaN,1474.0,Dusty Trail Pale Ale,American Pale Ale (APA),401.0,16.0
94.0,0.062,NaN,1473.0,Damnesia,American IPA,401.0,16.0
95.0,0.062,43.0,837.0,Desolation IPA,American IPA,401.0,16.0
96.0,0.059,NaN,2592.0,Liberty Ale,American IPA,35.0,12.0
97.0,0.065,NaN,2578.0,IPA,American IPA,35.0,12.0
98.0,0.045,NaN,2577.0,Summer Wheat,American Pale Wheat Ale,35.0,12.0
99.0,0.049,NaN,2103.0,California Lager,American Amber / Red Lager,35.0,12.0
100.0,0.0559999999999999,NaN,2102.0,Brotherhood Steam,California Common / Steam Beer,35.0,12.0
101.0,0.042,NaN,2291.0,Blood Orange Gose,Gose,171.0,12.0
102.0,0.042,NaN,1818.0,Keebarlin  Pale Ale,American Pale Ale (APA),171.0,12.0
103.0,0.048,NaN,1738.0,the Kimmie, the Yink and the Holy Gose,Gose,171.0,12.0
104.0,0.06,NaN,1563.0,Fall Hornin ,Pumpkin Ale,171.0,12.0
105.0,0.057,13.0,1520.0,Barney Flats Oatmeal Stout,Oatmeal Stout,171.0,12.0
106.0,0.0559999999999999,4.0,1350.0,Summer Solstice,Cream Ale,171.0,12.0
107.0,0.07,80.0,1327.0,Hop Ottin  IPA,American IPA,171.0,12.0
108.0,0.0579999999999999,15.0,1326.0,Boont Amber Ale,American Amber / Red Ale,171.0,12.0
109.0,0.057,13.0,1221.0,Barney Flats Oatmeal Stout,Oatmeal Stout,171.0,12.0
110.0,0.055,25.0,1217.0,El Steinber Dark Lager,Vienna Lager,171.0,16.0
111.0,0.0579999999999999,15.0,811.0,Boont Amber Ale (2010),American Amber / Red Ale,171.0,12.0
112.0,0.0559999999999999,4.0,753.0,Summer Solstice Cerveza Crema (2009),Cream Ale,171.0,12.0
113.0,0.057,13.0,572.0,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171.0,12.0
114.0,0.069,6.0,523.0,Winter Solstice,Winter Warmer,171.0,12.0
115.0,0.07,80.0,367.0,Hop Ottin  IPA (2011),American IPA,171.0,12.0
116.0,0.0579999999999999,15.0,78.0,Boont Amber Ale (2011),American Amber / Red Ale,171.0,12.0
117.0,0.0559999999999999,4.0,77.0,Summer Solstice (2011),Cream Ale,171.0,12.0
118.0,0.055,28.0,76.0,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171.0,12.0
119.0,0.06,NaN,2337.0,Charlie s Rye IPA,American IPA,146.0,16.0
120.0,0.054,NaN,410.0,River Pig Pale Ale,American Pale Ale (APA),542.0,16.0
121.0,0.047,NaN,409.0,Oaky s Oatmeal Stout,Oatmeal Stout,542.0,16.0
122.0,0.05,NaN,1294.0,Angry Orchard Apple Ginger,Cider,434.0,16.0
123.0,0.05,NaN,1293.0,Angry Orchard Crisp Apple,Cider,434.0,16.0
124.0,0.05,NaN,1292.0,Angry Orchard Crisp Apple,Cider,434.0,12.0
125.0,0.068,NaN,2207.0,Golden One,Belgian Pale Ale,193.0,12.0
126.0,0.06,NaN,2040.0,Arjuna,Witbier,193.0,12.0
127.0,0.085,NaN,2039.0,Uroboros,American Stout,193.0,12.0
128.0,0.071,75.0,2511.0,Long Leaf,American IPA,69.0,16.0
129.0,0.047,19.0,2510.0,Honey Badger Blonde,American Blonde Ale,69.0,16.0
130.0,0.06,23.0,2509.0,Porter (a/k/a Black Gold Porter),American Porter,69.0,16.0
131.0,0.06,55.0,413.0,Sky High Rye,American Pale Ale (APA),541.0,12.0
132.0,0.062,17.0,390.0,Whitsun,American Pale Wheat Ale,541.0,12.0
133.0,0.052,NaN,735.0,On-On Ale (2008),American Pale Ale (APA),513.0,12.0
134.0,0.092,50.0,1333.0,Quakertown Stout,American Double / Imperial Stout,426.0,12.0
135.0,0.051,20.0,1332.0,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426.0,12.0
136.0,0.052,10.0,1172.0,Mo s Gose,Gose,461.0,16.0
137.0,0.07,45.0,1322.0,Green Bullet Organic India Pale Ale,American IPA,429.0,16.0
138.0,0.032,27.0,550.0,Rocket Girl,Kölsch,528.0,12.0
139.0,0.053,26.0,429.0,Ninja Porter,American Porter,528.0,12.0
140.0,0.06,69.0,428.0,Shiva IPA,American IPA,528.0,12.0
141.0,0.048,NaN,1640.0,Aslan Kölsch,Kölsch,353.0,16.0
142.0,0.077,NaN,1639.0,Aslan IPA,American IPA,353.0,16.0
143.0,0.077,NaN,1638.0,Aslan Amber,American Amber / Red Ale,353.0,16.0
144.0,0.0559999999999999,27.0,597.0,This Season s Blonde,American Blonde Ale,523.0,12.0
145.0,0.07,67.0,596.0,Independence Pass Ale,American IPA,523.0,12.0
146.0,0.057,40.0,1580.0,Trolley Stop Stout,American Stout,374.0,12.0
147.0,0.0819999999999999,138.0,980.0,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374.0,12.0
148.0,0.062,35.0,979.0,Poop Deck Porter,American Porter,374.0,12.0
149.0,0.06,35.0,978.0,Old Red Beard Amber Ale,American Amber / Red Ale,374.0,12.0
150.0,0.075,115.0,2503.0,Hop A-Peel,American Double / Imperial IPA,72.0,16.0
151.0,0.055,12.0,2502.0,Vanilla Java Porter,American Porter,72.0,16.0
152.0,0.052,NaN,2495.0,Michelada,Fruit / Vegetable Beer,72.0,16.0
153.0,0.045,8.0,534.0,Dirty Blonde Ale,American Blonde Ale,72.0,12.0
154.0,0.05,62.0,528.0,Grand Circus IPA,American IPA,72.0,12.0
155.0,0.05,12.0,527.0,Atwater s Lager,Munich Helles Lager,72.0,12.0
156.0,0.07,NaN,1409.0,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,413.0,16.0
157.0,0.062,NaN,343.0,Fire Eagle IPA,American IPA,413.0,12.0
158.0,0.051,NaN,342.0,Peacemaker,American Pale Ale (APA),413.0,12.0
159.0,0.053,NaN,341.0,Pearl-Snap,German Pilsener,413.0,12.0
160.0,0.052,NaN,340.0,Black Thunder,Schwarzbier,413.0,12.0
161.0,0.08,NaN,2589.0,Raja,American Double / Imperial IPA,37.0,12.0
162.0,0.064,NaN,2546.0,Perzik Saison,Saison / Farmhouse Ale,37.0,12.0
163.0,0.047,42.0,146.0,Avery Joe’s Premium American Pilsner,German Pilsener,37.0,12.0
164.0,0.0559999999999999,10.0,108.0,White Rascal,Witbier,37.0,12.0
165.0,0.063,69.0,107.0,Avery India Pale Ale,American IPA,37.0,12.0
166.0,0.055,17.0,106.0,Ellie’s Brown Ale,American Brown Ale,37.0,12.0
167.0,0.062,17.0,1620.0,Pumpkin Beast,Pumpkin Ale,360.0,12.0
168.0,0.072,22.0,1579.0,OktoberBeast,Märzen / Oktoberfest,360.0,12.0
169.0,0.048,23.0,1228.0,Mad Beach,American Pale Wheat Ale,360.0,12.0
170.0,0.067,NaN,705.0,Hog Wild India Pale Ale,American IPA,360.0,12.0
171.0,0.092,5.0,704.0,Devils Tramping Ground Tripel,Tripel,360.0,12.0
172.0,0.061,41.0,702.0,Hot Rod Red,American Amber / Red Ale,360.0,12.0
173.0,0.086,NaN,2058.0,Palate Mallet,American Double / Imperial IPA,235.0,12.0
174.0,0.06,NaN,1483.0,Back East Porter,American Porter,235.0,12.0
175.0,0.049,NaN,1426.0,Back East Golden Ale,American Blonde Ale,235.0,12.0
176.0,0.07,NaN,1132.0,Misty Mountain IPA,American IPA,235.0,12.0
177.0,0.05,NaN,1131.0,Back East Ale,American Amber / Red Ale,235.0,12.0
178.0,0.06,NaN,1876.0,Truck Stop Honey Brown Ale,English Brown Ale,286.0,12.0
179.0,0.06,43.0,1875.0,Naked Pig Pale Ale,American Pale Ale (APA),286.0,12.0
180.0,0.068,70.0,966.0,Topcutter India Pale Ale,American IPA,483.0,12.0
181.0,0.044,38.0,965.0,Field 41 Pale Ale,American Pale Ale (APA),483.0,12.0
182.0,0.07,NaN,2593.0,Grapefruit Sculpin,American IPA,34.0,12.0
183.0,0.038,40.0,2105.0,Even Keel,American IPA,34.0,12.0
184.0,0.052,23.0,1401.0,Ballast Point Pale Ale,Kölsch,34.0,12.0
185.0,0.07,75.0,1400.0,Big Eye India Pale Ale,American IPA,34.0,12.0
186.0,0.046,NaN,1019.0,Longfin Lager,Munich Helles Lager,34.0,12.0
187.0,0.07,70.0,1018.0,Sculpin IPA,American IPA,34.0,12.0
188.0,0.045,NaN,1776.0,All Nighter Ale,Extra Special / Strong Bitter (ESB),318.0,12.0
189.0,0.045,20.0,1644.0,Banner American Rye,Rye Beer,318.0,12.0
190.0,0.035,45.0,1643.0,Banner American Ale,American Amber / Red Ale,318.0,12.0
191.0,0.07,46.0,2618.0,Thai.p.a,American IPA,20.0,16.0
192.0,0.06,60.0,2005.0,Barrio Blanco,American IPA,251.0,12.0
193.0,0.045,NaN,1343.0,Barrio Tucson Blonde,American Blonde Ale,251.0,12.0
194.0,0.049,22.0,2404.0,Hop in the ‘Pool Helles,American Pilsner,116.0,12.0
195.0,0.067,60.0,2323.0,Ultra Gnar Gnar IPA,American IPA,116.0,12.0
196.0,0.068,62.0,2189.0,In-Tents India Pale Lager,American Pale Lager,116.0,12.0
197.0,0.05,20.0,2188.0,Lost Meridian Wit,Witbier,116.0,12.0
198.0,0.051,45.0,2187.0,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116.0,12.0
199.0,0.054,55.0,1966.0,Wagon Party,California Common / Steam Beer,258.0,12.0
200.0,0.067,70.0,1965.0,Sky-Five,American IPA,258.0,12.0
201.0,0.05,28.0,1964.0,Stargrazer,Schwarzbier,258.0,12.0
202.0,0.054,48.0,1963.0,Wonderstuff,German Pilsener,258.0,12.0
203.0,0.053,NaN,1855.0,Tarnation California-Style Lager,California Common / Steam Beer,292.0,12.0
204.0,0.07,42.0,1778.0,On the Count of 3 (2015),Hefeweizen,292.0,16.0
205.0,0.047,NaN,1209.0,Summer Swelter,American Pale Wheat Ale,292.0,12.0
206.0,0.068,NaN,954.0,Phantom Punch Winter Stout,Foreign / Export Stout,292.0,12.0
207.0,0.066,NaN,910.0,Hayride Autumn Ale,Rye Beer,292.0,12.0
208.0,0.047,NaN,707.0,Celsius Summer Ale (2012),American Pale Wheat Ale,292.0,12.0
209.0,0.055,35.0,533.0,Amber Road,American Amber / Red Ale,292.0,12.0
210.0,0.049,28.0,183.0,Pamola Xtra Pale Ale,American Pale Ale (APA),292.0,12.0
211.0,0.069,69.0,182.0,Stowaway IPA,American IPA,292.0,12.0
212.0,0.088,108.0,1806.0,Hoptopus Double IPA,American Double / Imperial IPA,306.0,16.0
213.0,0.05,10.0,2435.0,Watermelon Ale,Fruit / Vegetable Beer,103.0,12.0
214.0,0.0579999999999999,45.0,2423.0,Fenway American Pale Ale,American Pale Ale (APA),103.0,12.0
215.0,0.068,85.0,2420.0,Back Bay IPA,American IPA,103.0,12.0
216.0,0.048,16.0,2419.0,Bunker Hill Blueberry Ale ,Other,103.0,12.0
217.0,0.0579999999999999,NaN,2494.0,Oberon,American Pale Wheat Ale,76.0,12.0
218.0,0.06,NaN,2325.0,Smitten,Rye Beer,76.0,16.0
219.0,0.05,NaN,2022.0,Winter White,Witbier,76.0,16.0
220.0,0.0579999999999999,NaN,1989.0,Oberon,American Pale Wheat Ale,76.0,16.0
221.0,0.07,NaN,1988.0,Two Hearted,American IPA,76.0,16.0
222.0,0.0579999999999999,NaN,1955.0,Best Brown,American Brown Ale,76.0,16.0
223.0,0.044,44.0,2558.0,Moar,English India Pale Ale (IPA),53.0,12.0
224.0,0.083,NaN,2557.0,Uber Lupin Schwarz IPA,American Double / Imperial IPA,53.0,16.0
225.0,0.057,27.0,2556.0,Nordic Blonde,American Blonde Ale,53.0,12.0
226.0,0.06,NaN,2496.0,Cold Press,American Black Ale,75.0,12.0
227.0,0.072,87.0,2410.0,Harness the Winter,American IPA,75.0,12.0
228.0,0.0559999999999999,32.0,1902.0,14° ESB ,Extra Special / Strong Bitter (ESB),75.0,12.0
229.0,0.062,68.0,1901.0,Bent Hop Golden IPA,American IPA,75.0,12.0
230.0,0.06,34.0,1261.0,Bent Paddle Black Ale,American Black Ale,75.0,12.0
231.0,0.05,38.0,1253.0,Venture Pils,German Pilsener,75.0,12.0
232.0,0.055,40.0,1900.0,Lost Sailor IPA,English India Pale Ale (IPA),278.0,12.0
233.0,0.053,20.0,1317.0,Steel Rail Extra Pale Ale,American Pale Ale (APA),278.0,12.0
234.0,0.078,NaN,1158.0,La Frontera Premium IPA,American IPA,463.0,12.0
235.0,0.047,NaN,1157.0,Tejas Lager,Czech Pilsener,463.0,12.0
236.0,0.064,NaN,1156.0,Number 22 Porter,American Porter,463.0,12.0
237.0,0.0559999999999999,NaN,1155.0,Big Bend Hefeweizen,Hefeweizen,463.0,12.0
238.0,0.06,NaN,1154.0,Terlingua Gold,American Blonde Ale,463.0,12.0
239.0,0.081,17.0,2104.0,Aprè Shred,American Strong Ale,220.0,16.0
240.0,0.095,104.0,1762.0,Hemlock Double IPA,American Double / Imperial IPA,220.0,12.0
241.0,0.0409999999999999,NaN,1422.0,West Portal Colorado Common Summer Ale,California Common / Steam Beer,220.0,16.0
242.0,0.067,85.0,1067.0,Disconnected Red,American Amber / Red Ale,220.0,16.0
243.0,0.07,NaN,1003.0,Big Elm IPA,American IPA,477.0,12.0
244.0,0.065,NaN,1002.0,Gerry Dog Stout,American Stout,477.0,12.0
245.0,0.06,NaN,1001.0,413 Farmhouse Ale,Saison / Farmhouse Ale,477.0,12.0
246.0,0.08,54.0,2639.0,Dark Star,American Stout,8.0,16.0
247.0,0.062,NaN,2469.0,Ryecoe,American IPA,8.0,16.0
248.0,0.06,NaN,2586.0,Blueberry Blonde,Fruit / Vegetable Beer,40.0,12.0
249.0,0.075,60.0,2585.0,Galaxy IPA,American IPA,40.0,16.0
250.0,0.05,32.0,643.0,Big River Pilsner,Czech Pilsener,519.0,12.0
251.0,0.06,55.0,632.0,House Brand IPA,American IPA,519.0,12.0
252.0,0.062,65.0,1714.0,Big Sky IPA,American IPA,336.0,12.0
253.0,0.05,40.0,1713.0,Scape Goat Pale Ale,English Pale Ale,336.0,12.0
254.0,0.05,35.0,1712.0,Montana Trout Slayer Ale,American Pale Wheat Ale,336.0,12.0
255.0,0.051,26.0,1711.0,Moose Drool Brown Ale,American Brown Ale,336.0,12.0
256.0,0.072,60.0,1456.0,Powder Hound Winter Ale,English Strong Ale,336.0,12.0
257.0,0.051,26.0,767.0,Moose Drool Brown Ale (2011),American Brown Ale,336.0,12.0
258.0,0.05,35.0,766.0,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336.0,12.0
259.0,0.062,65.0,579.0,Big Sky IPA (2012),American IPA,336.0,12.0
260.0,0.047,NaN,168.0,Summer Honey,American Blonde Ale,336.0,12.0
261.0,0.05,40.0,159.0,Scape Goat Pale Ale (2010),English Pale Ale,336.0,12.0
262.0,0.05,35.0,35.0,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336.0,12.0
263.0,0.051,26.0,34.0,Moose Drool Brown Ale (2009),American Brown Ale,336.0,12.0
264.0,0.069,81.0,2096.0,Arcus IPA,American IPA,221.0,12.0
265.0,0.0579999999999999,38.0,2095.0,Wavemaker,American Amber / Red Ale,221.0,12.0
266.0,0.053,43.0,1257.0,Jack Pine Savage,American Pale Ale (APA),444.0,16.0
267.0,0.099,85.0,1256.0,Forest Fire Imperial Smoked Rye,Rye Beer,444.0,16.0
268.0,0.098,76.0,1255.0,Bad Axe Imperial IPA,American Double / Imperial IPA,444.0,16.0
269.0,0.055,35.0,986.0,Morning Wood,Oatmeal Stout,444.0,16.0
270.0,0.066,50.0,985.0,Bark Bite IPA,American IPA,444.0,16.0
271.0,0.055,45.0,2508.0,Jalapeno Pale Ale,American Pale Ale (APA),70.0,16.0
272.0,0.052,NaN,1441.0,Blown Out Brown,American Brown Ale,407.0,12.0
273.0,0.063,NaN,1413.0,Single Hop Ale,American Pale Ale (APA),407.0,12.0
274.0,0.054,NaN,1411.0,Sawtooth Ale,American Blonde Ale,407.0,12.0
275.0,0.072,75.0,2620.0,Saucy Intruder,Rye Beer,18.0,16.0
276.0,0.045,16.0,2412.0,Deception,American Blonde Ale,112.0,12.0
277.0,0.075,35.0,1898.0,Blackmarket Rye IPA,American IPA,112.0,12.0
278.0,0.05,8.0,1897.0,Black Market Hefeweizen,Hefeweizen,112.0,12.0
279.0,0.0579999999999999,44.0,1896.0,Aftermath Pale Ale,American Pale Ale (APA),112.0,12.0
280.0,0.071,83.0,1850.0,American India Red Ale,American Strong Ale,294.0,12.0
281.0,0.071,45.0,1849.0,American Red Porter,American Porter,294.0,12.0
282.0,0.078,34.0,1848.0,American Red Saison,Saison / Farmhouse Ale,294.0,12.0
283.0,0.066,44.0,1847.0,Colorado Red Ale,American Amber / Red Ale,294.0,12.0
284.0,0.048,16.0,2485.0,Saddle Bronc Brown Ale,American Brown Ale,79.0,12.0
285.0,0.046,20.0,2484.0,Bomber Mountain Amber Ale,American Amber / Red Ale,79.0,12.0
286.0,0.073,NaN,2449.0,Flying Sailor,Rye Beer,95.0,12.0
287.0,0.048,47.0,2634.0,Nordskye ,American IPA,12.0,12.0
288.0,0.06,30.0,2153.0,North Third Stout,Foreign / Export Stout,12.0,12.0
289.0,0.052,NaN,1953.0,Honey Lav,American Pale Wheat Ale,12.0,12.0
290.0,0.068,NaN,1496.0,Coconut Brown Ale,American Brown Ale,12.0,12.0
291.0,0.07,51.0,1481.0,51K IPA,American IPA,12.0,12.0
292.0,0.055,NaN,1480.0,Grand Rabbits,Cream Ale,12.0,12.0
293.0,0.05,NaN,1564.0,1800 Big Log Wheat (2012),American Pale Wheat Ale,380.0,12.0
294.0,NaN,NaN,1541.0,Double Play Pilsner,American Pilsner,380.0,12.0
295.0,0.055,NaN,1321.0,Brewerhood Brown Ale,American Brown Ale,380.0,12.0
296.0,0.08,NaN,1320.0,Last Call Imperial Amber Ale,American Amber / Red Ale,380.0,12.0
297.0,0.096,NaN,1319.0,Pernicious Double IPA,American Double / Imperial IPA,380.0,12.0
298.0,0.052,NaN,1303.0,6-4-3 Double Play Pilsner,German Pilsener,380.0,12.0
299.0,NaN,NaN,1025.0,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,380.0,12.0
300.0,0.05,NaN,1012.0,467 Ethan s Stout,American Stout,380.0,12.0
301.0,0.064,NaN,942.0,1335 Wicked Snout,Saison / Farmhouse Ale,380.0,12.0
302.0,0.045,NaN,937.0,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),380.0,12.0
303.0,0.0559999999999999,37.0,888.0,1327 Pod s ESB,Extra Special / Strong Bitter (ESB),380.0,12.0
304.0,0.0559999999999999,37.0,886.0,1327 Pod s ESB,Extra Special / Strong Bitter (ESB),380.0,12.0
305.0,0.0559999999999999,37.0,612.0,1327 Pod s ESB,Extra Special / Strong Bitter (ESB),380.0,12.0
306.0,0.046,35.0,611.0,834 Happy As Ale,American Pale Ale (APA),380.0,12.0
307.0,0.059,NaN,1372.0,Yellow Collar,Mead,422.0,12.0
308.0,0.059,NaN,1371.0,Green Collar,Mead,422.0,12.0
309.0,0.08,80.0,1812.0,Quarter Mile Double IPA,American Double / Imperial IPA,304.0,12.0
310.0,0.059,60.0,1547.0,Full Nelson Pale Ale,American Pale Ale (APA),382.0,12.0
311.0,0.065,30.0,1546.0,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382.0,12.0
312.0,0.053,22.0,1545.0,Blue Mountain Classic Lager,Euro Pale Lager,382.0,12.0
313.0,0.059,60.0,119.0,Full Nelson Pale Ale (2010),American Pale Ale (APA),382.0,12.0
314.0,0.049,16.0,1408.0,Kölsch 151,Kölsch,414.0,12.0
