REG_ADM,ANNEE,MOIS,TYPE,NOMBRE
17-CENTRE-DU-QUEBEC,2021.0,2.0,08 - Nombre d'échantillons prélevés,53
17-CENTRE-DU-QUEBEC,2021.0,2.0,09 - Nombre d'analyses,93
17-CENTRE-DU-QUEBEC,2021.0,2.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),28
17-CENTRE-DU-QUEBEC,2021.0,3.0,01 - Nombre d'inspections,94
17-CENTRE-DU-QUEBEC,2021.0,3.0,02 - Nombre d'avis de non-conformité,6
17-CENTRE-DU-QUEBEC,2021.0,3.0,03 - Nombre d'infractions constatées,10
17-CENTRE-DU-QUEBEC,2021.0,3.0,08 - Nombre d'échantillons prélevés,6
17-CENTRE-DU-QUEBEC,2021.0,3.0,09 - Nombre d'analyses,14
17-CENTRE-DU-QUEBEC,2021.0,3.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),45
17-CENTRE-DU-QUEBEC,2021.0,4.0,01 - Nombre d'inspections,70
17-CENTRE-DU-QUEBEC,2021.0,4.0,02 - Nombre d'avis de non-conformité,13
17-CENTRE-DU-QUEBEC,2021.0,4.0,03 - Nombre d'infractions constatées,15
17-CENTRE-DU-QUEBEC,2021.0,4.0,07 - Montant des amendes imposées,250
17-CENTRE-DU-QUEBEC,2021.0,4.0,08 - Nombre d'échantillons prélevés,13
17-CENTRE-DU-QUEBEC,2021.0,4.0,09 - Nombre d'analyses,26
17-CENTRE-DU-QUEBEC,2021.0,5.0,01 - Nombre d'inspections,60
17-CENTRE-DU-QUEBEC,2021.0,5.0,02 - Nombre d'avis de non-conformité,17
17-CENTRE-DU-QUEBEC,2021.0,5.0,03 - Nombre d'infractions constatées,32
17-CENTRE-DU-QUEBEC,2021.0,5.0,07 - Montant des amendes imposées,1500
17-CENTRE-DU-QUEBEC,2021.0,5.0,08 - Nombre d'échantillons prélevés,12
17-CENTRE-DU-QUEBEC,2021.0,5.0,09 - Nombre d'analyses,27
17-CENTRE-DU-QUEBEC,2021.0,5.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),17
17-CENTRE-DU-QUEBEC,2021.0,5.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),30
17-CENTRE-DU-QUEBEC,2021.0,6.0,01 - Nombre d'inspections,78
17-CENTRE-DU-QUEBEC,2021.0,6.0,02 - Nombre d'avis de non-conformité,14
17-CENTRE-DU-QUEBEC,2021.0,6.0,03 - Nombre d'infractions constatées,16
17-CENTRE-DU-QUEBEC,2021.0,6.0,07 - Montant des amendes imposées,2000
17-CENTRE-DU-QUEBEC,2021.0,6.0,08 - Nombre d'échantillons prélevés,4
17-CENTRE-DU-QUEBEC,2021.0,6.0,09 - Nombre d'analyses,6
17-CENTRE-DU-QUEBEC,2021.0,7.0,01 - Nombre d'inspections,92
17-CENTRE-DU-QUEBEC,2021.0,7.0,02 - Nombre d'avis de non-conformité,20
17-CENTRE-DU-QUEBEC,2021.0,7.0,03 - Nombre d'infractions constatées,25
17-CENTRE-DU-QUEBEC,2021.0,7.0,07 - Montant des amendes imposées,1000
17-CENTRE-DU-QUEBEC,2021.0,7.0,08 - Nombre d'échantillons prélevés,4
17-CENTRE-DU-QUEBEC,2021.0,7.0,09 - Nombre d'analyses,14
17-CENTRE-DU-QUEBEC,2021.0,8.0,01 - Nombre d'inspections,100
17-CENTRE-DU-QUEBEC,2021.0,8.0,02 - Nombre d'avis de non-conformité,18
17-CENTRE-DU-QUEBEC,2021.0,8.0,03 - Nombre d'infractions constatées,22
17-CENTRE-DU-QUEBEC,2021.0,8.0,07 - Montant des amendes imposées,500
17-CENTRE-DU-QUEBEC,2021.0,8.0,08 - Nombre d'échantillons prélevés,7
17-CENTRE-DU-QUEBEC,2021.0,8.0,09 - Nombre d'analyses,19
17-CENTRE-DU-QUEBEC,2021.0,2.0,12 - Nombre de plaintes enregistrées,12
17-CENTRE-DU-QUEBEC,2021.0,3.0,12 - Nombre de plaintes enregistrées,6
17-CENTRE-DU-QUEBEC,2021.0,4.0,12 - Nombre de plaintes enregistrées,14
17-CENTRE-DU-QUEBEC,2021.0,5.0,12 - Nombre de plaintes enregistrées,7
17-CENTRE-DU-QUEBEC,2021.0,6.0,12 - Nombre de plaintes enregistrées,8
17-CENTRE-DU-QUEBEC,2021.0,7.0,12 - Nombre de plaintes enregistrées,13
17-CENTRE-DU-QUEBEC,2021.0,8.0,12 - Nombre de plaintes enregistrées,20
17-CENTRE-DU-QUEBEC,2021.0,9.0,12 - Nombre de plaintes enregistrées,11
17-CENTRE-DU-QUEBEC,2021.0,10.0,12 - Nombre de plaintes enregistrées,1
16-MONTEREGIE,2021.0,3.0,01 - Nombre d'inspections,375
16-MONTEREGIE,2021.0,3.0,02 - Nombre d'avis de non-conformité,69
16-MONTEREGIE,2021.0,3.0,03 - Nombre d'infractions constatées,99
16-MONTEREGIE,2021.0,3.0,07 - Montant des amendes imposées,4750
16-MONTEREGIE,2021.0,3.0,08 - Nombre d'échantillons prélevés,87
16-MONTEREGIE,2021.0,3.0,09 - Nombre d'analyses,208
16-MONTEREGIE,2021.0,3.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),22
16-MONTEREGIE,2021.0,3.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),173
16-MONTEREGIE,2021.0,3.0,16 - Nombre d'ordonnances de cesser les opérations,2
16-MONTEREGIE,2021.0,4.0,01 - Nombre d'inspections,346
16-MONTEREGIE,2021.0,4.0,02 - Nombre d'avis de non-conformité,72
16-MONTEREGIE,2021.0,4.0,03 - Nombre d'infractions constatées,92
16-MONTEREGIE,2021.0,4.0,07 - Montant des amendes imposées,8500
16-MONTEREGIE,2021.0,4.0,08 - Nombre d'échantillons prélevés,52
16-MONTEREGIE,2021.0,4.0,09 - Nombre d'analyses,164
16-MONTEREGIE,2021.0,4.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),52
16-MONTEREGIE,2021.0,4.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),5
16-MONTEREGIE,2021.0,4.0,15 - Nombre d'ordonnances de restreindre les opérations,1
16-MONTEREGIE,2021.0,4.0,16 - Nombre d'ordonnances de cesser les opérations,2
16-MONTEREGIE,2021.0,4.0,23 - Nombre d'avis administratifs émis par la direction,1
16-MONTEREGIE,2021.0,5.0,01 - Nombre d'inspections,368
16-MONTEREGIE,2021.0,5.0,02 - Nombre d'avis de non-conformité,64
16-MONTEREGIE,2021.0,5.0,03 - Nombre d'infractions constatées,73
16-MONTEREGIE,2021.0,5.0,07 - Montant des amendes imposées,2500
16-MONTEREGIE,2021.0,5.0,08 - Nombre d'échantillons prélevés,35
16-MONTEREGIE,2021.0,5.0,09 - Nombre d'analyses,140
16-MONTEREGIE,2021.0,5.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),63
16-MONTEREGIE,2021.0,6.0,01 - Nombre d'inspections,403
16-MONTEREGIE,2021.0,6.0,02 - Nombre d'avis de non-conformité,81
16-MONTEREGIE,2021.0,6.0,03 - Nombre d'infractions constatées,104
16-MONTEREGIE,2021.0,6.0,07 - Montant des amendes imposées,11000
16-MONTEREGIE,2021.0,6.0,08 - Nombre d'échantillons prélevés,47
16-MONTEREGIE,2021.0,6.0,09 - Nombre d'analyses,120
16-MONTEREGIE,2021.0,6.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),8
16-MONTEREGIE,2021.0,6.0,15 - Nombre d'ordonnances de restreindre les opérations,1
16-MONTEREGIE,2021.0,6.0,23 - Nombre d'avis administratifs émis par la direction,1
16-MONTEREGIE,2021.0,7.0,01 - Nombre d'inspections,455
16-MONTEREGIE,2021.0,7.0,02 - Nombre d'avis de non-conformité,88
16-MONTEREGIE,2021.0,7.0,03 - Nombre d'infractions constatées,117
16-MONTEREGIE,2021.0,7.0,07 - Montant des amendes imposées,4250
16-MONTEREGIE,2021.0,7.0,08 - Nombre d'échantillons prélevés,92
16-MONTEREGIE,2021.0,7.0,09 - Nombre d'analyses,262
16-MONTEREGIE,2021.0,7.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),217
16-MONTEREGIE,2021.0,7.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),105
16-MONTEREGIE,2021.0,8.0,01 - Nombre d'inspections,380
17-CENTRE-DU-QUEBEC,2021.0,9.0,01 - Nombre d'inspections,100
17-CENTRE-DU-QUEBEC,2021.0,9.0,02 - Nombre d'avis de non-conformité,15
17-CENTRE-DU-QUEBEC,2021.0,9.0,03 - Nombre d'infractions constatées,19
17-CENTRE-DU-QUEBEC,2021.0,9.0,07 - Montant des amendes imposées,750
17-CENTRE-DU-QUEBEC,2021.0,9.0,08 - Nombre d'échantillons prélevés,22
17-CENTRE-DU-QUEBEC,2021.0,9.0,09 - Nombre d'analyses,36
17-CENTRE-DU-QUEBEC,2021.0,1.0,01 - Nombre d'inspections,45
17-CENTRE-DU-QUEBEC,2021.0,1.0,02 - Nombre d'avis de non-conformité,8
17-CENTRE-DU-QUEBEC,2021.0,1.0,03 - Nombre d'infractions constatées,9
17-CENTRE-DU-QUEBEC,2021.0,1.0,07 - Montant des amendes imposées,4500
16-MONTEREGIE,2021.0,8.0,12 - Nombre de plaintes enregistrées,51
16-MONTEREGIE,2021.0,9.0,12 - Nombre de plaintes enregistrées,61
16-MONTEREGIE,2021.0,10.0,12 - Nombre de plaintes enregistrées,2
15-LAURENTIDES,2021.0,1.0,01 - Nombre d'inspections,116
15-LAURENTIDES,2021.0,1.0,02 - Nombre d'avis de non-conformité,14
15-LAURENTIDES,2021.0,1.0,03 - Nombre d'infractions constatées,16
15-LAURENTIDES,2021.0,1.0,07 - Montant des amendes imposées,2000
15-LAURENTIDES,2021.0,1.0,08 - Nombre d'échantillons prélevés,13
15-LAURENTIDES,2021.0,1.0,09 - Nombre d'analyses,60
15-LAURENTIDES,2021.0,1.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),5
15-LAURENTIDES,2021.0,1.0,16 - Nombre d'ordonnances de cesser les opérations,1
15-LAURENTIDES,2021.0,2.0,01 - Nombre d'inspections,125
15-LAURENTIDES,2021.0,2.0,02 - Nombre d'avis de non-conformité,21
15-LAURENTIDES,2021.0,2.0,03 - Nombre d'infractions constatées,28
15-LAURENTIDES,2021.0,2.0,07 - Montant des amendes imposées,37750
15-LAURENTIDES,2021.0,2.0,08 - Nombre d'échantillons prélevés,26
15-LAURENTIDES,2021.0,2.0,09 - Nombre d'analyses,67
15-LAURENTIDES,2021.0,2.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),32
15-LAURENTIDES,2021.0,2.0,16 - Nombre d'ordonnances de cesser les opérations,2
15-LAURENTIDES,2021.0,3.0,01 - Nombre d'inspections,94
15-LAURENTIDES,2021.0,3.0,02 - Nombre d'avis de non-conformité,23
15-LAURENTIDES,2021.0,3.0,03 - Nombre d'infractions constatées,31
15-LAURENTIDES,2021.0,3.0,07 - Montant des amendes imposées,500
15-LAURENTIDES,2021.0,3.0,08 - Nombre d'échantillons prélevés,7
15-LAURENTIDES,2021.0,3.0,09 - Nombre d'analyses,34
15-LAURENTIDES,2021.0,3.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),19
15-LAURENTIDES,2021.0,3.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),46
15-LAURENTIDES,2021.0,4.0,01 - Nombre d'inspections,117
15-LAURENTIDES,2021.0,4.0,02 - Nombre d'avis de non-conformité,20
16-MONTEREGIE,2021.0,1.0,01 - Nombre d'inspections,213
16-MONTEREGIE,2021.0,1.0,02 - Nombre d'avis de non-conformité,38
16-MONTEREGIE,2021.0,1.0,03 - Nombre d'infractions constatées,57
16-MONTEREGIE,2021.0,1.0,07 - Montant des amendes imposées,3500
16-MONTEREGIE,2021.0,1.0,08 - Nombre d'échantillons prélevés,41
16-MONTEREGIE,2021.0,1.0,09 - Nombre d'analyses,159
16-MONTEREGIE,2021.0,1.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),24
16-MONTEREGIE,2021.0,1.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),4
16-MONTEREGIE,2021.0,2.0,01 - Nombre d'inspections,314
16-MONTEREGIE,2021.0,2.0,02 - Nombre d'avis de non-conformité,68
16-MONTEREGIE,2021.0,2.0,03 - Nombre d'infractions constatées,94
16-MONTEREGIE,2021.0,2.0,07 - Montant des amendes imposées,3500
16-MONTEREGIE,2021.0,2.0,08 - Nombre d'échantillons prélevés,31
16-MONTEREGIE,2021.0,2.0,09 - Nombre d'analyses,89
16-MONTEREGIE,2021.0,2.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),29
16-MONTEREGIE,2021.0,2.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),20
15-LAURENTIDES,2021.0,8.0,08 - Nombre d'échantillons prélevés,25
16-MONTEREGIE,2021.0,8.0,02 - Nombre d'avis de non-conformité,49
16-MONTEREGIE,2021.0,8.0,03 - Nombre d'infractions constatées,63
16-MONTEREGIE,2021.0,8.0,07 - Montant des amendes imposées,4500
16-MONTEREGIE,2021.0,8.0,08 - Nombre d'échantillons prélevés,71
16-MONTEREGIE,2021.0,8.0,09 - Nombre d'analyses,178
16-MONTEREGIE,2021.0,8.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),64
16-MONTEREGIE,2021.0,8.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),64
16-MONTEREGIE,2021.0,8.0,16 - Nombre d'ordonnances de cesser les opérations,1
16-MONTEREGIE,2021.0,9.0,01 - Nombre d'inspections,486
16-MONTEREGIE,2021.0,9.0,02 - Nombre d'avis de non-conformité,65
16-MONTEREGIE,2021.0,9.0,03 - Nombre d'infractions constatées,79
16-MONTEREGIE,2021.0,9.0,07 - Montant des amendes imposées,1250
16-MONTEREGIE,2021.0,9.0,08 - Nombre d'échantillons prélevés,74
16-MONTEREGIE,2021.0,9.0,09 - Nombre d'analyses,177
16-MONTEREGIE,2021.0,9.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),45
16-MONTEREGIE,2021.0,9.0,15 - Nombre d'ordonnances de restreindre les opérations,1
16-MONTEREGIE,2021.0,9.0,23 - Nombre d'avis administratifs émis par la direction,1
17-CENTRE-DU-QUEBEC,2021.0,1.0,12 - Nombre de plaintes enregistrées,4
14-LANAUDIERE,2021.0,7.0,03 - Nombre d'infractions constatées,30
14-LANAUDIERE,2021.0,7.0,07 - Montant des amendes imposées,1000
14-LANAUDIERE,2021.0,7.0,08 - Nombre d'échantillons prélevés,23
14-LANAUDIERE,2021.0,7.0,09 - Nombre d'analyses,71
14-LANAUDIERE,2021.0,7.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),3
14-LANAUDIERE,2021.0,7.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),25
14-LANAUDIERE,2021.0,8.0,01 - Nombre d'inspections,69
14-LANAUDIERE,2021.0,8.0,02 - Nombre d'avis de non-conformité,15
14-LANAUDIERE,2021.0,8.0,03 - Nombre d'infractions constatées,24
14-LANAUDIERE,2021.0,8.0,07 - Montant des amendes imposées,1000
14-LANAUDIERE,2021.0,8.0,08 - Nombre d'échantillons prélevés,29
14-LANAUDIERE,2021.0,8.0,09 - Nombre d'analyses,127
14-LANAUDIERE,2021.0,9.0,01 - Nombre d'inspections,108
14-LANAUDIERE,2021.0,9.0,02 - Nombre d'avis de non-conformité,20
14-LANAUDIERE,2021.0,9.0,03 - Nombre d'infractions constatées,24
14-LANAUDIERE,2021.0,9.0,07 - Montant des amendes imposées,5000
14-LANAUDIERE,2021.0,9.0,08 - Nombre d'échantillons prélevés,22
15-LAURENTIDES,2021.0,4.0,03 - Nombre d'infractions constatées,27
15-LAURENTIDES,2021.0,4.0,07 - Montant des amendes imposées,2250
15-LAURENTIDES,2021.0,4.0,08 - Nombre d'échantillons prélevés,23
15-LAURENTIDES,2021.0,4.0,09 - Nombre d'analyses,50
15-LAURENTIDES,2021.0,4.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),14
15-LAURENTIDES,2021.0,4.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),198
15-LAURENTIDES,2021.0,5.0,01 - Nombre d'inspections,124
15-LAURENTIDES,2021.0,5.0,02 - Nombre d'avis de non-conformité,19
15-LAURENTIDES,2021.0,5.0,03 - Nombre d'infractions constatées,20
15-LAURENTIDES,2021.0,5.0,07 - Montant des amendes imposées,1000
15-LAURENTIDES,2021.0,5.0,08 - Nombre d'échantillons prélevés,33
15-LAURENTIDES,2021.0,5.0,09 - Nombre d'analyses,102
15-LAURENTIDES,2021.0,6.0,01 - Nombre d'inspections,195
15-LAURENTIDES,2021.0,6.0,02 - Nombre d'avis de non-conformité,33
15-LAURENTIDES,2021.0,6.0,03 - Nombre d'infractions constatées,43
15-LAURENTIDES,2021.0,6.0,07 - Montant des amendes imposées,250
15-LAURENTIDES,2021.0,6.0,08 - Nombre d'échantillons prélevés,29
15-LAURENTIDES,2021.0,6.0,09 - Nombre d'analyses,52
15-LAURENTIDES,2021.0,6.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),25
15-LAURENTIDES,2021.0,6.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),42
15-LAURENTIDES,2021.0,7.0,01 - Nombre d'inspections,202
15-LAURENTIDES,2021.0,7.0,02 - Nombre d'avis de non-conformité,28
15-LAURENTIDES,2021.0,7.0,03 - Nombre d'infractions constatées,40
15-LAURENTIDES,2021.0,7.0,07 - Montant des amendes imposées,250
15-LAURENTIDES,2021.0,7.0,08 - Nombre d'échantillons prélevés,19
15-LAURENTIDES,2021.0,7.0,09 - Nombre d'analyses,61
15-LAURENTIDES,2021.0,7.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),19
15-LAURENTIDES,2021.0,8.0,01 - Nombre d'inspections,157
15-LAURENTIDES,2021.0,8.0,02 - Nombre d'avis de non-conformité,35
15-LAURENTIDES,2021.0,8.0,03 - Nombre d'infractions constatées,44
15-LAURENTIDES,2021.0,8.0,07 - Montant des amendes imposées,500
15-LAURENTIDES,2021.0,8.0,09 - Nombre d'analyses,95
15-LAURENTIDES,2021.0,9.0,01 - Nombre d'inspections,239
15-LAURENTIDES,2021.0,9.0,02 - Nombre d'avis de non-conformité,46
15-LAURENTIDES,2021.0,9.0,03 - Nombre d'infractions constatées,63
15-LAURENTIDES,2021.0,9.0,07 - Montant des amendes imposées,1500
15-LAURENTIDES,2021.0,9.0,08 - Nombre d'échantillons prélevés,20
15-LAURENTIDES,2021.0,9.0,09 - Nombre d'analyses,67
15-LAURENTIDES,2021.0,9.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),39
15-LAURENTIDES,2021.0,9.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),3
16-MONTEREGIE,2021.0,1.0,12 - Nombre de plaintes enregistrées,46
16-MONTEREGIE,2021.0,2.0,12 - Nombre de plaintes enregistrées,49
16-MONTEREGIE,2021.0,3.0,12 - Nombre de plaintes enregistrées,59
16-MONTEREGIE,2021.0,4.0,12 - Nombre de plaintes enregistrées,67
16-MONTEREGIE,2021.0,5.0,12 - Nombre de plaintes enregistrées,57
16-MONTEREGIE,2021.0,6.0,12 - Nombre de plaintes enregistrées,76
16-MONTEREGIE,2021.0,7.0,12 - Nombre de plaintes enregistrées,66
14-LANAUDIERE,2021.0,8.0,12 - Nombre de plaintes enregistrées,26
14-LANAUDIERE,2021.0,9.0,12 - Nombre de plaintes enregistrées,17
14-LANAUDIERE,2021.0,10.0,12 - Nombre de plaintes enregistrées,1
13-LAVAL,2021.0,4.0,02 - Nombre d'avis de non-conformité,18
13-LAVAL,2021.0,4.0,03 - Nombre d'infractions constatées,23
13-LAVAL,2021.0,4.0,07 - Montant des amendes imposées,11000
13-LAVAL,2021.0,4.0,08 - Nombre d'échantillons prélevés,8
14-LANAUDIERE,2021.0,9.0,09 - Nombre d'analyses,57
14-LANAUDIERE,2021.0,9.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),2
14-LANAUDIERE,2021.0,9.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),40
14-LANAUDIERE,2021.0,1.0,01 - Nombre d'inspections,80
14-LANAUDIERE,2021.0,1.0,02 - Nombre d'avis de non-conformité,14
14-LANAUDIERE,2021.0,1.0,03 - Nombre d'infractions constatées,23
14-LANAUDIERE,2021.0,1.0,07 - Montant des amendes imposées,4250
14-LANAUDIERE,2021.0,1.0,08 - Nombre d'échantillons prélevés,8
14-LANAUDIERE,2021.0,1.0,09 - Nombre d'analyses,33
14-LANAUDIERE,2021.0,1.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),2
14-LANAUDIERE,2021.0,1.0,15 - Nombre d'ordonnances de restreindre les opérations,1
14-LANAUDIERE,2021.0,1.0,16 - Nombre d'ordonnances de cesser les opérations,2
14-LANAUDIERE,2021.0,2.0,01 - Nombre d'inspections,125
14-LANAUDIERE,2021.0,2.0,02 - Nombre d'avis de non-conformité,21
14-LANAUDIERE,2021.0,2.0,03 - Nombre d'infractions constatées,30
14-LANAUDIERE,2021.0,2.0,07 - Montant des amendes imposées,13250
15-LAURENTIDES,2021.0,1.0,12 - Nombre de plaintes enregistrées,34
15-LAURENTIDES,2021.0,2.0,12 - Nombre de plaintes enregistrées,20
15-LAURENTIDES,2021.0,3.0,12 - Nombre de plaintes enregistrées,28
15-LAURENTIDES,2021.0,4.0,12 - Nombre de plaintes enregistrées,25
15-LAURENTIDES,2021.0,5.0,12 - Nombre de plaintes enregistrées,30
15-LAURENTIDES,2021.0,6.0,12 - Nombre de plaintes enregistrées,29
15-LAURENTIDES,2021.0,7.0,12 - Nombre de plaintes enregistrées,38
15-LAURENTIDES,2021.0,8.0,12 - Nombre de plaintes enregistrées,20
15-LAURENTIDES,2021.0,9.0,12 - Nombre de plaintes enregistrées,24
15-LAURENTIDES,2021.0,10.0,12 - Nombre de plaintes enregistrées,3
14-LANAUDIERE,2021.0,2.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),10
14-LANAUDIERE,2021.0,2.0,15 - Nombre d'ordonnances de restreindre les opérations,1
14-LANAUDIERE,2021.0,2.0,16 - Nombre d'ordonnances de cesser les opérations,1
14-LANAUDIERE,2021.0,3.0,01 - Nombre d'inspections,159
14-LANAUDIERE,2021.0,3.0,02 - Nombre d'avis de non-conformité,22
14-LANAUDIERE,2021.0,3.0,03 - Nombre d'infractions constatées,29
14-LANAUDIERE,2021.0,3.0,07 - Montant des amendes imposées,11750
14-LANAUDIERE,2021.0,3.0,08 - Nombre d'échantillons prélevés,10
14-LANAUDIERE,2021.0,3.0,09 - Nombre d'analyses,33
14-LANAUDIERE,2021.0,4.0,01 - Nombre d'inspections,116
14-LANAUDIERE,2021.0,4.0,02 - Nombre d'avis de non-conformité,18
14-LANAUDIERE,2021.0,4.0,03 - Nombre d'infractions constatées,24
14-LANAUDIERE,2021.0,4.0,07 - Montant des amendes imposées,1250
14-LANAUDIERE,2021.0,4.0,08 - Nombre d'échantillons prélevés,12
14-LANAUDIERE,2021.0,4.0,09 - Nombre d'analyses,34
14-LANAUDIERE,2021.0,4.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),2
14-LANAUDIERE,2021.0,5.0,01 - Nombre d'inspections,92
14-LANAUDIERE,2021.0,5.0,02 - Nombre d'avis de non-conformité,14
14-LANAUDIERE,2021.0,5.0,03 - Nombre d'infractions constatées,19
14-LANAUDIERE,2021.0,5.0,07 - Montant des amendes imposées,750
14-LANAUDIERE,2021.0,5.0,08 - Nombre d'échantillons prélevés,6
14-LANAUDIERE,2021.0,5.0,09 - Nombre d'analyses,18
14-LANAUDIERE,2021.0,5.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),22
14-LANAUDIERE,2021.0,6.0,01 - Nombre d'inspections,78
14-LANAUDIERE,2021.0,6.0,02 - Nombre d'avis de non-conformité,15
14-LANAUDIERE,2021.0,6.0,03 - Nombre d'infractions constatées,20
14-LANAUDIERE,2021.0,6.0,07 - Montant des amendes imposées,2750
14-LANAUDIERE,2021.0,6.0,08 - Nombre d'échantillons prélevés,19
14-LANAUDIERE,2021.0,6.0,09 - Nombre d'analyses,31
14-LANAUDIERE,2021.0,7.0,01 - Nombre d'inspections,116
14-LANAUDIERE,2021.0,7.0,02 - Nombre d'avis de non-conformité,18
13-LAVAL,2021.0,2.0,09 - Nombre d'analyses,80
13-LAVAL,2021.0,2.0,10 - Quantité d'aliments éliminés ou confisqués (en kg),66
13-LAVAL,2021.0,2.0,11 - Quantité d'aliments éliminés ou confisqués (en litres),83
13-LAVAL,2021.0,3.0,01 - Nombre d'inspections,114
13-LAVAL,2021.0,3.0,02 - Nombre d'avis de non-conformité,25
13-LAVAL,2021.0,3.0,03 - Nombre d'infractions constatées,28
13-LAVAL,2021.0,3.0,07 - Montant des amendes imposées,2000
13-LAVAL,2021.0,3.0,08 - Nombre d'échantillons prélevés,25
13-LAVAL,2021.0,3.0,09 - Nombre d'analyses,77
13-LAVAL,2021.0,3.0,15 - Nombre d'ordonnances de restreindre les opérations,1
13-LAVAL,2021.0,3.0,16 - Nombre d'ordonnances de cesser les opérations,1
13-LAVAL,2021.0,4.0,01 - Nombre d'inspections,100
13-LAVAL,2021.0,4.0,09 - Nombre d'analyses,23
13-LAVAL,2021.0,4.0,16 - Nombre d'ordonnances de cesser les opérations,1
13-LAVAL,2021.0,4.0,18 - Nombre de suspensions de permis,2
13-LAVAL,2021.0,5.0,01 - Nombre d'inspections,95
13-LAVAL,2021.0,5.0,02 - Nombre d'avis de non-conformité,21
