CARUID,CROP,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,LATITUDE,LONGITUDE
1102,barley,59.1,55.7,68.7,50.6,54.3,75.0,52.0,53.2,53.8,60.0,62.0,65.0,51.0,65.0,47.0,66.0,52.0,58.0,62.0,47.0,53.0,49.0,51.0,56.0,58.0,62.0,63.5,58.1,63.3,66.1,66.7,65.5,46.2154007,-63.1211014
1102,canola,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2154007,-63.1211014
1102,corn,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2154007,-63.1211014
1102,durum_wheat,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2154007,-63.1211014
1102,flaxseed,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2154007,-63.1211014
1102,lentils,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2154007,-63.1211014
1102,oats,62.1,58.8,73.9,62.0,56.7,82.5,60.0,61.5,57.4,75.0,72.0,61.0,73.0,75.0,46.0,88.0,70.0,70.0,70.0,64.0,68.0,70.0,58.0,69.0,68.0,71.0,71.4,64.9,70.4,74.7,65.5,64.0,46.2154007,-63.1211014
1102,peas,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2154007,-63.1211014
1102,soybeans,-999.0,-999.0,-999.0,-999.0,36.6,34.6,32.0,34.7,25.9,28.9,30.0,32.0,40.0,32.0,23.0,33.0,34.0,30.0,34.0,36.0,37.0,35.0,38.0,34.0,33.0,37.0,37.7,34.5,32.4,34.0,36.0,41.0,46.2154007,-63.1211014
1102,spring_wheat,52.2,46.1,53.7,46.4,49.3,67.7,42.8,49.6,47.3,50.0,46.0,49.0,36.0,55.0,41.0,56.0,43.0,41.0,46.0,41.0,46.0,38.0,48.0,39.0,49.0,51.0,48.8,48.5,53.7,51.0,55.4,51.2,46.2154007,-63.1211014
1102,winter_wheat,52.5,57.1,48.0,48.4,52.6,47.4,38.7,50.8,48.4,48.9,49.0,49.0,40.0,45.0,43.0,50.0,48.0,32.0,44.0,43.1,48.0,49.0,35.1,45.0,53.0,55.0,48.3,48.0,46.7,58.3,59.4,66.7,46.2154007,-63.1211014
1103,barley,59.1,55.7,68.7,50.6,54.3,75.0,52.0,53.2,53.8,60.0,62.0,65.0,51.0,65.0,47.0,66.0,52.0,58.0,62.0,47.0,53.0,49.0,51.0,56.0,58.0,62.0,63.5,58.1,63.3,66.1,66.7,65.5,46.5620995,-63.9449997
1103,canola,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.5620995,-63.9449997
1103,corn,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.5620995,-63.9449997
1103,durum_wheat,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.5620995,-63.9449997
1103,flaxseed,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.5620995,-63.9449997
1103,lentils,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.5620995,-63.9449997
1103,oats,62.1,58.8,73.9,62.0,56.7,82.5,60.0,61.5,57.4,75.0,72.0,61.0,73.0,75.0,46.0,88.0,70.0,70.0,70.0,64.0,68.0,70.0,58.0,69.0,68.0,71.0,71.4,64.9,70.4,74.7,65.5,64.0,46.5620995,-63.9449997
1103,peas,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.5620995,-63.9449997
1103,soybeans,-999.0,-999.0,-999.0,-999.0,36.6,34.6,32.0,34.7,25.9,28.9,30.0,32.0,40.0,32.0,23.0,33.0,34.0,30.0,34.0,36.0,37.0,35.0,38.0,34.0,33.0,37.0,37.7,34.5,32.4,34.0,36.0,41.0,46.5620995,-63.9449997
1103,spring_wheat,52.2,46.1,53.7,46.4,49.3,67.7,42.8,49.6,47.3,50.0,46.0,49.0,36.0,55.0,41.0,56.0,43.0,41.0,46.0,41.0,46.0,38.0,48.0,39.0,49.0,51.0,48.8,48.5,53.7,51.0,55.4,51.2,46.5620995,-63.9449997
1103,winter_wheat,52.5,57.1,48.0,48.4,52.6,47.4,38.7,50.8,48.4,48.9,49.0,49.0,40.0,45.0,43.0,50.0,48.0,32.0,44.0,43.1,48.0,49.0,35.1,45.0,53.0,55.0,48.3,48.0,46.7,58.3,59.4,66.7,46.5620995,-63.9449997
1201,barley,57.6,55.8,59.3,47.2,46.2,73.0,56.5,55.5,58.5,63.7,51.7,54.8,48.3,55.8,49.0,71.0,53.0,52.0,48.0,41.0,49.0,55.0,56.0,59.0,55.0,63.0,48.5,59.7,62.7,65.2,68.6,55.3,44.1106987,-65.3077011
1201,canola,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.1106987,-65.3077011
1201,corn,84.0,92.0,94.3,71.4,80.1,90.0,78.1,80.2,94.4,79.4,79.7,103.6,79.7,100.4,99.0,105.0,113.0,110.0,105.0,107.0,115.0,129.0,126.0,126.0,121.0,115.0,127.3,126.0,125.7,122.4,134.4,127.2,44.1106987,-65.3077011
1201,durum_wheat,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.1106987,-65.3077011
1201,flaxseed,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.1106987,-65.3077011
1201,lentils,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.1106987,-65.3077011
1201,oats,51.9,60.6,58.8,55.0,41.7,90.0,60.9,54.2,66.1,66.7,52.0,56.2,57.7,65.6,58.0,74.0,63.0,66.0,74.0,54.0,58.0,60.0,66.0,60.0,67.0,62.0,57.3,63.7,66.5,73.8,60.0,72.6,44.1106987,-65.3077011
1201,peas,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.1106987,-65.3077011
1201,soybeans,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.0,40.0,41.1,44.0,45.4,42.7,42.7,45.6,50.8,44.1106987,-65.3077011
1201,spring_wheat,53.3,48.6,56.7,40.0,29.8,60.0,45.5,47.7,44.0,45.3,36.0,41.3,34.8,52.9,35.0,55.0,45.0,51.0,50.0,50.0,32.0,35.0,46.0,47.0,59.0,42.0,45.0,-999.0,-999.0,-999.0,-999.0,56.5,44.1106987,-65.3077011
1201,winter_wheat,65.0,62.3,66.7,51.2,33.3,75.0,65.2,51.6,55.0,59.5,51.4,47.9,49.1,55.9,54.0,68.0,50.0,61.0,57.0,51.1,62.0,68.0,56.0,48.0,70.0,65.1,61.8,61.5,74.7,73.1,74.6,72.9,44.1106987,-65.3077011
1202,barley,57.6,55.8,59.3,47.2,46.2,73.0,56.5,55.5,58.5,63.7,51.7,54.8,48.3,55.8,49.0,71.0,53.0,52.0,48.0,41.0,49.0,55.0,56.0,59.0,55.0,63.0,48.5,59.7,62.7,65.2,68.6,55.3,44.9313011,-64.5805969
1202,canola,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.9313011,-64.5805969
1202,corn,84.0,92.0,94.3,71.4,80.1,90.0,78.1,80.2,94.4,79.4,79.7,103.6,79.7,100.4,99.0,105.0,113.0,110.0,105.0,107.0,115.0,129.0,126.0,126.0,121.0,115.0,127.3,126.0,125.7,122.4,134.4,127.2,44.9313011,-64.5805969
1202,durum_wheat,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.9313011,-64.5805969
1202,flaxseed,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.9313011,-64.5805969
1202,lentils,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.9313011,-64.5805969
1202,oats,51.9,60.6,58.8,55.0,41.7,90.0,60.9,54.2,66.1,66.7,52.0,56.2,57.7,65.6,58.0,74.0,63.0,66.0,74.0,54.0,58.0,60.0,66.0,60.0,67.0,62.0,57.3,63.7,66.5,73.8,60.0,72.6,44.9313011,-64.5805969
1202,peas,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.9313011,-64.5805969
1202,soybeans,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.0,40.0,41.1,44.0,45.4,42.7,42.7,45.6,50.8,44.9313011,-64.5805969
1202,spring_wheat,53.3,48.6,56.7,40.0,29.8,60.0,45.5,47.7,44.0,45.3,36.0,41.3,34.8,52.9,35.0,55.0,45.0,51.0,50.0,50.0,32.0,35.0,46.0,47.0,59.0,42.0,45.0,-999.0,-999.0,-999.0,-999.0,56.5,44.9313011,-64.5805969
1202,winter_wheat,65.0,62.3,66.7,51.2,33.3,75.0,65.2,51.6,55.0,59.5,51.4,47.9,49.1,55.9,54.0,68.0,50.0,61.0,57.0,51.1,62.0,68.0,56.0,48.0,70.0,65.1,61.8,61.5,74.7,73.1,74.6,72.9,44.9313011,-64.5805969
1203,barley,57.6,55.8,59.3,47.2,46.2,73.0,56.5,55.5,58.5,63.7,51.7,54.8,48.3,55.8,49.0,71.0,53.0,52.0,48.0,41.0,49.0,55.0,56.0,59.0,55.0,63.0,48.5,59.7,62.7,65.2,68.6,55.3,45.2543983,-63.4814987
1203,canola,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.2543983,-63.4814987
1203,corn,84.0,92.0,94.3,71.4,80.1,90.0,78.1,80.2,94.4,79.4,79.7,103.6,79.7,100.4,99.0,105.0,113.0,110.0,105.0,107.0,115.0,129.0,126.0,126.0,121.0,115.0,127.3,126.0,125.7,122.4,134.4,127.2,45.2543983,-63.4814987
1203,durum_wheat,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.2543983,-63.4814987
1203,flaxseed,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.2543983,-63.4814987
1203,lentils,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.2543983,-63.4814987
1203,oats,51.9,60.6,58.8,55.0,41.7,90.0,60.9,54.2,66.1,66.7,52.0,56.2,57.7,65.6,58.0,74.0,63.0,66.0,74.0,54.0,58.0,60.0,66.0,60.0,67.0,62.0,57.3,63.7,66.5,73.8,60.0,72.6,45.2543983,-63.4814987
1203,peas,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.2543983,-63.4814987
1203,soybeans,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.0,40.0,41.1,44.0,45.4,42.7,42.7,45.6,50.8,45.2543983,-63.4814987
1203,spring_wheat,53.3,48.6,56.7,40.0,29.8,60.0,45.5,47.7,44.0,45.3,36.0,41.3,34.8,52.9,35.0,55.0,45.0,51.0,50.0,50.0,32.0,35.0,46.0,47.0,59.0,42.0,45.0,-999.0,-999.0,-999.0,-999.0,56.5,45.2543983,-63.4814987
1203,winter_wheat,65.0,62.3,66.7,51.2,33.3,75.0,65.2,51.6,55.0,59.5,51.4,47.9,49.1,55.9,54.0,68.0,50.0,61.0,57.0,51.1,62.0,68.0,56.0,48.0,70.0,65.1,61.8,61.5,74.7,73.1,74.6,72.9,45.2543983,-63.4814987
1204,barley,57.6,55.8,59.3,47.2,46.2,73.0,56.5,55.5,58.5,63.7,51.7,54.8,48.3,55.8,49.0,71.0,53.0,52.0,48.0,41.0,49.0,55.0,56.0,59.0,55.0,63.0,48.5,59.7,62.7,65.2,68.6,55.3,45.4757996,-62.0810013
1204,canola,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.4757996,-62.0810013
1204,corn,84.0,92.0,94.3,71.4,80.1,90.0,78.1,80.2,94.4,79.4,79.7,103.6,79.7,100.4,99.0,105.0,113.0,110.0,105.0,107.0,115.0,129.0,126.0,126.0,121.0,115.0,127.3,126.0,125.7,122.4,134.4,127.2,45.4757996,-62.0810013
1204,durum_wheat,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.4757996,-62.0810013
1204,flaxseed,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.4757996,-62.0810013
1204,lentils,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.4757996,-62.0810013
1204,oats,51.9,60.6,58.8,55.0,41.7,90.0,60.9,54.2,66.1,66.7,52.0,56.2,57.7,65.6,58.0,74.0,63.0,66.0,74.0,54.0,58.0,60.0,66.0,60.0,67.0,62.0,57.3,63.7,66.5,73.8,60.0,72.6,45.4757996,-62.0810013
1204,peas,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.4757996,-62.0810013
1204,soybeans,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,44.0,40.0,41.1,44.0,45.4,42.7,42.7,45.6,50.8,45.4757996,-62.0810013
1204,spring_wheat,53.3,48.6,56.7,40.0,29.8,60.0,45.5,47.7,44.0,45.3,36.0,41.3,34.8,52.9,35.0,55.0,45.0,51.0,50.0,50.0,32.0,35.0,46.0,47.0,59.0,42.0,45.0,-999.0,-999.0,-999.0,-999.0,56.5,45.4757996,-62.0810013
1204,winter_wheat,65.0,62.3,66.7,51.2,33.3,75.0,65.2,51.6,55.0,59.5,51.4,47.9,49.1,55.9,54.0,68.0,50.0,61.0,57.0,51.1,62.0,68.0,56.0,48.0,70.0,65.1,61.8,61.5,74.7,73.1,74.6,72.9,45.4757996,-62.0810013
1205,barley,57.6,55.8,59.3,47.2,46.2,73.0,56.5,55.5,58.5,63.7,51.7,54.8,48.3,55.8,49.0,71.0,53.0,52.0,48.0,41.0,49.0,55.0,56.0,59.0,55.0,63.0,48.5,59.7,62.7,65.2,68.6,55.3,46.1509018,-60.6903
1205,canola,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.1509018,-60.6903
1205,corn,84.0,92.0,94.3,71.4,80.1,90.0,78.1,80.2,94.4,79.4,79.7,103.6,79.7,100.4,99.0,105.0,113.0,110.0,105.0,107.0,115.0,129.0,126.0,126.0,121.0,115.0,127.3,126.0,125.7,122.4,134.4,127.2,46.1509018,-60.6903
1205,durum_wheat,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.1509018,-60.6903
1205,flaxseed,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.1509018,-60.6903
