reporting_period,line_number,member_name,province,role,meeting_hours,other_hours,remuneration,travel_expenses,notes_en,notes_fr,owner_org,owner_org_title
2019-2020-Q2,1,Moyez Somani,AB,M-M,0.0,0.0,$0.00,$0.00,NIL for Q2,NIL pour le 2e trimestre,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q2,2,Alan Pelman,BC,M-M,0.0,0.0,$0.00,$0.00,NIL for Q2,NIL pour le 2e trimestre,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q2,3,Deborah Stark,ON,C-P,0.0,0.0,$0.00,$0.00,NIL for Q2,NIL pour le 2e trimestre,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q3,1,Moyez Somani,AB,M-M,25.0,56.5,"$13,040.00","$4,313.61",Total remuneration includes 41 hours of travel time ,La rémunération totale comprends 41 heures de voyagement ,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q3,2,Alan Pelman,BC,M-M,17.5,51.5,"$11,040.00","$3,432.53",Total remuneration includes 34 hours of travel time.,La rémunération totale comprends 34 heures de voyagement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q3,3,Deborah Stark,ON,C-P,16.5,52.75,"$13,850.00","$4,180.26",Total remuneration includes 29.5 hours of travel time.,La rémunération totale comprends 29.5 heures de voyagement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q4,1,Moyez Somani,AB,M-M,7.5,20.0,"$4,400.00","$1,132.86",Total remuneration includes 15 hours of travel time ,La rémunération totale comprends 15 heures de voyagement ,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q4,2,Alan Pelman,BC,M-M,7.5,23.5,"$4,960.00","$1,571.42","Total remuneration includes 15 hours of travel time. Total remuneration also includes 1.5 hours of meeting time that occurred in Q3, but was billed in Q4.","La rémunération totale comprends 15 heures de voyagement. La rémunération totale comprend également 1.5 heures de temps de réunion qui est survenu au 3e trimestre, mais facturé au 4e trimestre.",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q4,3,Deborah Stark,ON,C-P,7.0,16.25,"$4,650.00","$1,193.17","Total remuneration includes 9 hours of travel time. Total remuneration also includes 1.5 hours of meeting time that occurred in Q3, but was billed in Q4.","La rémunération totale comprends 9 heures de voyagement. La rémunération totale comprend également 1.5 heures de temps de réunion qui est survenu au 3e trimestre, mais facturé au 4e trimestre.",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q1,1,Moyez Somani,AB,M-M,2.0,2.0,$640.00,$0.00,No travel time,Aucun temps de voyage,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q1,2,Cybele Negris,BC,M-M,2.0,26.5,"$4,560.00",$0.00,Includes 24.5hours of orientation/training for new member. No travel time,Inclus 24.5 heures d'orientation/formation pour nouveau membre.  Aucun temps de voyage,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q1,3,Deborah Stark,ON,C-P,2.5,3.75,"$1,250.00",$0.00,No travel time,Aucun temps de voyage,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q2,1,Moyez Somani,AB,M-M,4.5,3.0,"$1,200.00",$0.00,No travel expenses due to the meetings being held virtually.,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q2,2,Cybele Negris,BC,M-M,4.75,5.05,"$1,568.00",$0.00,No travel expenses due to the meetings being held virtually.,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q2,3,Deborah Stark,ON,C-P,4.0,7.55,"$2,310.00",$0.00,No travel expenses due to the meetings being held virtually.,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q3,1,Moyez Somani,AB,M-M,9.0,20.0,"$4,640.00",$0.00,No travel expenses due to the meetings being held virtually.,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q3,2,Cybele Negris,BC,M-M,8.5,18.25,"$4,280.00",$0.00,No travel expenses due to the meetings being held virtually.,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q3,3,Deborah Stark,ON,C-P,8.5,14.0,"$4,500.00",$0.00,No travel expenses due to the meetings being held virtually.,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q4,1,Moyez Somani,AB,M-M,6.0,3.5,"$1,520.00",$0.00,No travel expenses due to the meetings being held virtually,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q4,2,Cybele Negris,BC,M-M,6.0,16.0,"$3,520.00",$0.00,No travel expenses due to the meetings being held virtually,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2020-2021-Q4,3,Deborah Stark,ON,C-P,6.0,11.0,"$3,400.00",$0.00,No travel expenses due to the meetings being held virtually,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2021-2022-Q1,1,Deb Stark,ON,C-P,6.0,5.5,"$2,300.00",$0.00,No travel expenses due to the meetings being held virtually,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2021-2022-Q1,2,Cybele Negris,BC,M-M,6.0,6.5,"$2,000.00",$0.00,No travel expenses due to the meetings being held virtually,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2021-2022-Q1,3,Moyez Somani,AB,M-M,6.0,8.5,"$2,320.00",$0.00,No travel expenses due to the meetings being held virtually,Aucun frais de déplacement dû au fait que les réunions ont été faites virtuellement,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q2,3,Laura Talbot-Allan,ON,C-P,2.0,17.5,"$3,900.00",$0.00,"The total remuneration includes time spent at meetings, preparation time and travel time. However since it was a teleconference there was no travel expense.","La rémunération totale comprend le temps passé en réunions, le temps de préparation et le temps de déplacement. Cependant, comme il s'agissait d'une téléconférence, aucun frais de déplacement n'a été engagé.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q2,4,Louis O'Brien,ON,M-M,2.0,14.25,"$2,600.00",$0.00,"The total remuneration includes time spent at meetings, preparation time and travel time. However since it was a teleconference there was no travel expense.","La rémunération totale comprend le temps passé en réunions, le temps de préparation et le temps de déplacement. Cependant, comme il s'agissait d'une téléconférence, aucun frais de déplacement n'a été engagé.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q2,5,Pierre-Yves Bourduas,ON,M-M,2.0,8.0,"$1,600.00",$0.00,"The total remuneration includes time spent at meetings, preparation time and travel time. However since it was a teleconference there was no travel expense.","La rémunération totale comprend le temps passé en réunions, le temps de préparation et le temps de déplacement. Cependant, comme il s'agissait d'une téléconférence, aucun frais de déplacement n'a été engagé.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q2,6,Satyamoorthy Kabilan,ON,M-M,0.0,3.5,$560.00,$0.00,"The Member did not attend the teleconference. However he provided comments and advice secretarially, which is why the total remuneration includes preparation time only.","Le membre n'a pas assisté à la téléconférence. Cependant, il a fourni des commentaires et des conseils par correspondance, ce qui explique pourquoi la rémunération totale ne comprend que le temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q3,3,Laura Talbot-Allan,ON,C-P,34.0,53.5,"$17,500.00","$2,758.04","The total remuneration includes time spent at the October meeting, DAC Symposium, visit at the marine ports, December meeting, preparation time and travel time. ","La rémunération totale comprend le temps passé à la réunion d'octobre, au Colloque des CMA, la visite des ports maritimes, la réunion de décembre, le temps de préparation et le temps de déplacement. ",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q3,4,Louis O'Brien,ON,M-M,27.75,58.75,"$13,840.00","$3,390.16","The total remuneration includes time spent at the October meeting, visit at the marine ports, December meeting, preparation time and travel time. ","La rémunération totale comprend le temps passé à la réunion d'octobre, la visite des ports maritime, la réunion de décembre, le temps de préparation et le temps de déplacement. ",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q3,5,Pierre-Yves Bourduas,ON,M-M,39.25,44.75,"$13,440.00",$524.68,"The total remuneration includes time spent at the October meeting, DAC Symposium, visit at the marine ports, December meeting, preparation time and travel time. ","La rémunération totale comprend le temps passé à la réunion d'octobre, au Colloque des CMA, la visite des ports maritime, la réunion de décembre, le temps de préparation et le temps de déplacement. ",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q3,6,Satyamoorthy Kabilan,ON,M-M,39.25,17.25,"$9,040.00",$86.12,"The total remuneration includes time spent at the October meeting, DAC Symposium, December meeting, Orientation session, preparation time and travel time. ","La rémunération totale comprend le temps passé à la réunion d'octobre, au Colloque des CMA, la réunion de décembre, la séance d'orientation, le temps de préparation et le temps de déplacement. ",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q3,7,Albert Sweetnam,BC,M-M,15.0,23.0,"$6,080.00","$1,662.09","The total remuneration includes time spent at the Orientation session, visit at the marine ports, preparation time and travel time. ","La rémunération totale comprend le temps passé à la réunion d'octobre, la visite des ports maritime, la réunion de décembre, le temps de préparation et le temps de déplacement. ",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q4,3,Laura Talbot-Allan,ON,C-P,18.5,34.0,"$10,500.00","$1,208.49","The total remuneration includes time spent at the January Teleconference, March meetings, visit at the CBSA Laboratory, preparation time and travel time. ","La rémunération totale comprend le temps passé à la téléconférence de janvier, les réunions de mars, la visite au laboratoire de l'ASFC, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q4,2,Pierre-Yves Bourduas,ON,M-M,1.25,12.5,"$2,200.00",$0.00,The total remuneration includes time spent at the January Teleconference meeting and preparation time. ,La rémunération totale comprend le temps passé à la téléconférence de janvier et au temps de préparation.,cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q4,3,Albert Sweetnam,BC,M-M,0.0,0.0,$0.00,$0.00,Did not participate in the January Teleconference.,N'a pas participé à la téléconférence de janvier.,cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2021-2022-Q1,1,Laura Talbot-Allan,ON,C-P,18.0,21.5,"$7,900.00",$0.00,"The total remuneration includes time spent at the  internal review meetings, OCG Session, Chain of Trust Session, June teleconferences and preparation time.

Note: The DAC Chair was involved in several meetings in which other AC members were not present, which is why there is a discrepancy in the meeting time hours compared to the other AC members.","La rémunération totale comprend le temps passé aux réunions d'examen interne, à la réunion du BCG, à la session de la chaîne de confiance, les téléconférences de juin et le temps de préparation.

Remarque: La présidente du CV a participé à plusieurs réunions auxquelles les autres membres du CV n'étaient pas présents, ce qui explique pourquoi il y a un écart dans les heures de réunion par rapport aux autres membres du CV.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q4,4,Pierre-Yves Bourduas,ON,M-M,18.5,27.0,"$7,280.00",$143.79,"The total remuneration includes time spent at the January Teleconference, March meetings, visit at the CBSA Laboratory, preparation time and travel time. ","La rémunération totale comprend le temps passé à la téléconférence de janvier, les réunions de mars, la visite au laboratoire de l'ASFC, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q4,5,Satyamoorthy Kabilan,ON,M-M,23.25,11.25,"$5,520.00",$62.93,"The total remuneration includes time spent at the Second orientation session, March Meetings, preparation time and travel time. ","La rémunération totale comprend le temps passé à la deuxième session d'orientation, les réunions de mars, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2018-2019-Q4,6,Albert Sweetnam,BC,M-M,26.25,36.75,"$10,080.00","$3,369.21","The total remuneration includes time spent at the Second orientation session, January Teleconference, March Meetings, visit at the CBSA Laboratory, preparation time and travel time. ","La rémunération totale comprend le temps passé à la deuxième session d'orientation, la téléconférence de janvier, les réunions de mars, la visite au laboratoire de l'ASFC, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q1,3,Laura Talbot-Allan,ON,C-P,15.5,47.5,"$12,600.00","$1,879.81","The total remuneration includes time spent at the June meetings, site visit in Windsor , preparation time and travel time. ","La rémunération totale comprend le temps passé aux réunions de juin, la visite à Windsor, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q1,4,Pierre-Yves Bourduas,ON,M-M,15.5,41.0,"$9,040.00","$1,100.09","The total remuneration includes time spent at the June meetings, site visit in Windsor , preparation time and travel time. ","La rémunération totale comprend le temps passé aux réunions de juin, la visite à Windsor, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q1,5,Satyamoorthy Kabilan,ON,M-M,1.5,10.75,"$1,960.00",$0.00,"The total remuneration includes time spent at the teleconference for the June meetings, review of materials prior to the meetings, preparation time and travel time. ","La rémunération totale comprend le temps passé à la téléconférence pour les réunions de juin, l'examen des documents avant les réunions, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q1,6,Albert Sweetnam,BC,M-M,15.5,48.5,"$10,240.00","$3,507.94","The total remuneration includes time spent at the June meetings, site visit in Windsor , preparation time and travel time. ","La rémunération totale comprend le temps passé aux réunions de juin, la visite à Windsor, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q2,3,Laura Talbot-Allan,ON,C-P,33.0,28.5,"$12,300.00","$1,542.66","The total remuneration includes time spent at the August Teleconference, internal review meetings, September meetings, site visit in Montreal, preparation time and travel time. ","La rémunération totale comprend le temps passé à la téléconférence d’août, les réunions de révisions interne, les réunions de septembre, la visite à Montréal, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q2,4,Pierre-Yves Bourduas,ON,M-M,18.0,36.0,"$8,640.00",$668.66,"The total remuneration includes time spent at the August Teleconference, September meetings, site visit in Montreal, preparation time and travel time. ","La rémunération totale comprend le temps passé à la téléconférence d’août, les réunions de septembre, la visite à Montréal, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q2,6,Albert Sweetnam,BC,M-M,18.0,27.5,"$7,280.00","$2,552.04","The total remuneration includes time spent at the August Teleconference, September meetings, site visit in Montreal, preparation time and travel time. ","La rémunération totale comprend le temps passé à la téléconférence d’août, les réunions de septembre, la visite à Montréal, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q3,1,Laura Talbot-Allan,ON,C-P,27.0,36.0,"$12,600.00","$1,518.61","The total remuneration includes time spent at the DAC Symposium, internal review meetings, December meetings, preparation time and travel time. ","La rémunération totale comprend le temps passé au Symposium du CMA, les réunions de révisions interne, les réunions de décembre, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q3,2,Pierre-Yves Bourduas,ON,M-M,23.5,22.5,"$7,360.00",$143.79,"The total remuneration includes time spent at the DAC Symposium, internal review meetings, December meetings, preparation time and travel time. ","La rémunération totale comprend le temps passé au Symposium du CMA, les réunions de révisions interne, les réunions de décembre, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q3,3,Albert Sweetnam,BC,M-M,22.5,39.0,"$9,840.00","$3,148.87","The total remuneration includes time spent at the DAC Symposium, internal review meetings, December meetings, preparation time and travel time. ","La rémunération totale comprend le temps passé au Symposium du CMA, les réunions de révisions interne, les réunions de décembre, le temps de préparation et le temps de déplacement.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2019-2020-Q4,1,Laura Talbot-Allan,ON,C-P,1.25,16.75,"$3,600.00",$0.00,"The total remuneration includes time spent at the internal review meetings, January Teleconference meeting and preparation time.","La rémunération totale comprend le temps passé aux réunions d'examen interne, à la téléconférence de janvier et au temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q1,1,Laura Talbot-Allan,ON,C-P,22.5,14.5,"$7,400.00",$0.00,"The total remuneration includes time spent at the internal review meetings, May and June Teleconference meetings and preparation time.

Note: The DAC Chair was involved in several meetings that other AC members were not, which is why there is a large discrepancy in the meeting time hours compared to the AC members.","La rémunération totale comprend le temps passé aux réunions d'examen interne, des téléconférences de mai et juin et au temps de préparation.

Remarque: La présidenet du CMA a participé à plusieurs réunions que d'autres membres du CMA n'étaient pas, ce qui explique pourquoi il y a un écart important dans les heures de réunion par rapport aux membres du CMA.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q1,2,Pierre-Yves Bourduas,ON,M-M,2.5,12.0,"$2,320.00",$11.20,"The total remuneration includes time spent at the internal review meetings, May and June Teleconference meetings and preparation time.","La rémunération totale comprend le temps passé aux réunions d'examen interne, des téléconférences de mai et juin et au temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q1,3,Albert Sweetnam,BC,M-M,7.0,7.0,"$2,240.00",$0.00,"The total remuneration includes time spent at the internal review meetings, May and June Teleconference meetings and preparation time.","La rémunération totale comprend le temps passé aux réunions d'examen interne, des téléconférences de mai et juin et au temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q1,4,Raymond Leduc,QC,M-M,7.0,5.0,"$1,920.00",$0.00,"The total remuneration includes time spent at the internal review meetings, May and June Teleconference meetings and preparation time.","La rémunération totale comprend le temps passé aux réunions d'examen interne, des téléconférences de mai et juin et au temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q2,1,Laura Talbot-Allan,ON,C-P,21.5,22.5,"$8,800.00",$0.00,"The total remuneration includes time spent at the internal review meetings, orientation sessions (attended 3), August and September Teleconference meetings and preparation time.

Note: The DAC Chair was involved in several meetings that other AC members were not, which is why there is a discrepancy in the meeting time hours compared to the AC members.","La rémunération totale comprend le temps passé aux séances d'orientation (assisté à 3), réunions d'examen interne, des téléconférences de mai et juin et au temps de préparation.

Remarque: La présidente du CV a participé à plusieurs réunions que d'autres membres du CV n'étaient pas, ce qui explique pourquoi il y a un écart dans les heures de réunion par rapport aux membres du CV.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q2,3,Albert Sweetnam,BC,M-M,13.5,19.0,"$5,200.00",$0.00,"The total remuneration includes time spent at the orientation sessions (attended 4), August and September Teleconference meetings and preparation time.","La rémunération totale comprend le temps passé aux séances d'orientation (assisté à 4), des téléconférences d'août et septembre et au temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q2,4,Raymond Leduc,QC,M-M,15.5,17.5,"$5,280.00",$0.00,"The total remuneration includes time spent at the orientation sessions (attended all 5), August and September Teleconference meetings and preparation time.","La rémunération totale comprend le temps passé aux séances d'orientation (à tous les 5), des téléconférences d'août et septembre et au temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q3,1,Laura Talbot-Allan,ON,C-P,18.5,30.5,"$9,800.00",$0.00,"The total remuneration includes time spent at the internal review meetings, CARM meeting, DAC Symposium, 3 December Teleconference meetings and preparation time.

Note: The DAC Chair was involved in several meetings that other AC members were not, which is why there is a discrepancy in the meeting time hours compared to the AC members.","La rémunération totale comprend le temps passé aux réunions d'examen interne, à la réunion de révision de la GCRA, les 3 réunions via téléconférence de décembre et le temps de préparation.

Remarque: La présidente du CV a participé à plusieurs réunions que d'autres membres du CV n'étaient pas, ce qui explique pourquoi il y a un écart dans les heures de réunion par rapport aux membres du CV.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q3,3,Albert Sweetnam,BC,M-M,10.5,15.0,"$4,080.00",$0.00,"The total remuneration includes time spent at the CARM review meetins,  3 December Teleconference meetings and preparation time.","La rémunération totale comprend le temps passé à la réunion de révision de la GCRA, les 3 réunions via téléconférence de décembre et le temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q3,4,Raymond Leduc,QC,M-M,10.5,9.5,"$3,200.00",$0.00,"The total remuneration includes time spent at the CARM review meetins,  3 December Teleconference meetings and preparation time.","La rémunération totale comprend le temps passé à la réunion de révision de la GCRA, les 3 réunions via téléconférence de décembre et le temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q4,1,Laura Talbot-Allan,ON,C-P,20.5,29.0,"$9,900.00",$0.00,"The total remuneration includes time spent at the  internal review meetings, ISTB overview meeting, February and March teleconferences and preparation time.

Note: The DAC Chair was involved in several meetings in which other AC members were not present, which is why there is a discrepancy in the meeting time hours compared to the other AC members.","La rémunération totale comprend le temps passé aux réunions d'examen interne, à la séance d'information de la DGIST, les téléconférences de février et mars et le temps de préparation.

Remarque: La présidente du CV a participé à plusieurs réunions auxquelles les autres membres du CV n'étaient pas présents, ce qui explique pourquoi il y a un écart dans les heures de réunion par rapport aux autres membres du CV.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q4,2,Albert Sweetnam,BC,M-M,11.5,13.0,"$3,920.00",$0.00,"The total remuneration includes time spent at the ISTB overview meeting, February and March teleconferences and preparation time","La rémunération totale comprend le temps passé à la séance d'information de la DGIST, les téléconférences de février et mars et le temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2020-2021-Q4,3,Raymond Leduc,QC,M-M,11.5,28.5,"$6,400.00",$0.00,"The total remuneration includes time spent at the ISTB overview meeting, 2 days Orientation session for DAC member, February and March teleconferences and preparation time.","La rémunération totale comprend le temps passé à la séance d'information de la DGIST, 2 jours de séance d'orientation pour les membres du CMV, les téléconférences de février et mars et le temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
2021-2022-Q1,2,Albert Sweetnam,BC,M-M,9.0,14.25,"$3,720.00",$0.00,"The total remuneration includes time spent at the  internal review meetings, Chain of Trust Session, June teleconferences and preparation time.","La rémunération totale comprend le temps passé aux réunions d'examen interne, à la session de la chaîne de confiance, les téléconférences de juin et le temps de préparation.",cbsa-asfc,Canada Border Services Agency | Agence des services frontaliers du Canada
