Date de vérification,Numéro de référence de l’installation,Titulaire de permis ,Nom commun du site,Latitude,Longitude,Zone visée sur l'aquaculture des poissons,Espèces,Nombre de carcasses évaluées,Nombre de résultats de RCP positifs concernant le VNHI,Nombre de résultats positifs concernant le VNPI,Nombre de résultats positifs concernant le VAIS,Nombre de résultats positifs concernant le VSHV ,Nombre de résultats positifs concernant le VAS ,Nombre de résultats positifs concernant le PRSal ,Nombre de résultats positifs concernant le VMCP,Agents pathogènes bactériens isolés par culture (nombre de poissons),Confirmation histopathologique de la maladie ou de l’agent pathogène (nombre de poissons),Diagnostic vétérinaire à l’échelle de l’exploitation,Affections à considérer (nombre de poissons)
26 juil. 2011,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Passage Discovery,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Non,s/o,,Encéphalite causée par un micro-organisme s’apparentant à Sphaerothecum destruens (1),Aucune maladie importante présente à l’échelle de la population,
28 juil. 2011,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Passage Discovery,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
4 août 2011,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Côte centrale,Saumon Atlantique (Salmo salar),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
11 août 2011,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Archipel Broughton,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
11 août 2011,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Archipel Broughton,Saumon Atlantique (Salmo salar),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
16 août 2011,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,Baie Quatsino,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie causant une importante mortalité,
17 août 2011,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (3),Aucune maladie importante présente à l’échelle de la population,
17 août 2011,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
23 août 2011,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Passage Discovery,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
25 août 2011,572,Grieg Seafood BC,Newcomb,49.64006,-123.65836,Sunshine Coast,Saumon Quinnat (Oncorhynchus tshawytcha); Saumon Coho (Oncorhynchus kisutch),6,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1),Maladie bactérienne du rein,
25 août 2011,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
8 sept. 2011,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,Archipel Broughton,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
8 sept. 2011,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,Archipel Broughton,Saumon Atlantique (Salmo salar),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
21 sept. 2011,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Passage Discovery,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune mortalité significative au niveau de la population,Cardiomyopathie (3)
5 oct. 2011,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Archipel Broughton,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Oui,s/o,Non,s/o,,SHV (2),Aucune maladie importante présente à l’échelle de la population,
5 oct. 2011,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,Archipel Broughton,Saumon Atlantique (Salmo salar),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
6 oct. 2011,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Archipel Broughton,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (3),Aucune maladie importante présente à l’échelle de la population,
6 oct. 2011,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Archipel Broughton,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
12 oct. 2011,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Non,s/o,,Stomatite ulcéro-membraneuse (3),Pourriture de la bouche,
12 oct. 2011,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
13 oct. 2011,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,Baie Quatsino,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie causant une importante mortalité,
13 oct. 2011,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Non,s/o,,Stomatite ulcéro-membraneuse (4),Aucune maladie importante présente à l’échelle de la population,
13 oct. 2011,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Baie Quatsino,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
14 oct. 2011,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Passage Discovery,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
18 oct. 2011,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Passage Discovery,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
19 oct. 2011,388,Marine Harvest Canada,Brougham Point,50.37192,-125.3799,Passage Discovery,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
19 oct. 2011,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Passage Discovery,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
26 oct. 2011,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
27 oct. 2011,1899,Creative Salmon Company,Warne Island,49.12815,-125.74923,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),8,Non,Non,Non,Non,s/o,Oui,s/o,,SRS avec la bactérie Piscirickettsia (2); MBR avec bactérie semblable au Renibacterium (1); Branchite avec Loma (Microsporidia) (3),Maladie bactérienne du rein; Septicémie rickettsienne des salmonidés; Microsporidie des ouïes,
2 nov. 2011,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Côte centrale,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Non,s/o,,Encéphalite microsporidie (1),Aucune maladie importante présente à l’échelle de la population,
7 nov. 2011,1472,Mainstream Canada,West Side,49.27928,-125.83065,Baie Clayoquot,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
8 nov. 2011,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Baie Clayoquot,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Oui,s/o,,,Aucune mortalité significative au niveau de la population,Netpen liver disease (4) 
8 nov. 2011,227,Mainstream Canada,Bawden,49.30798,-126.00721,Baie Clayoquot,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1),Aucune maladie importante présente à l’échelle de la population,
9 nov. 2011,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Baie Clayoquot,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Oui,s/o,,Encéphalite microsporidie (1); Infection micro-organisme Myxozoa non identifié (1),Aucune maladie importante présente à l’échelle de la population,
9 nov. 2011,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Oui,s/o,,SRS avec la bactérie Piscirickettsia (3),Aucune maladie importante présente à l’échelle de la population,
17 nov. 2011,572,Grieg Seafood BC,Newcomb,49.64006,-123.65836,Sunshine Coast,Saumon Quinnat (Oncorhynchus tshawytcha); Saumon Coho (Oncorhynchus kisutch),6,Non,Non,Non,Non,s/o,Non,s/o,,Infection micro-organisme Myxozoa non identifié (1),Aucune maladie importante présente à l’échelle de la population,
17 nov. 2011,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
18 nov. 2011,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Oui,s/o,,,Aucune maladie importante présente à l’échelle de la population,
21 nov. 2011,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Passage Discovery,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
23 nov. 2011,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Passage Discovery,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,,,Ouvert: cause de mortalité de bas niveau inconnue,
25 nov. 2011,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Passage Discovery,Saumon Quinnat (Oncorhynchus tshawytcha),8,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (4); Dactylogyroses (1),Maladie bactérienne du rein,
29 nov. 2011,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Archipel Broughton,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,s/o,Non,s/o,,Stomatite ulcéro-membraneuse (1),Pourriture de la bouche,
29 nov. 2011,1238,Marine Harvest Canada,Mahatta West,50.83427,-127.47113,Baie Quatsino,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,s/o,Non,s/o,,Stomatite ulcéro-membraneuse (4),Pourriture de la bouche,
29 nov. 2011,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Baie Nootka,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
11 janv. 2012,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Passage Discovery,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1),Aucune maladie importante présente à l’échelle de la population,
11 janv. 2012,1770,Agrimarine Industries,Middle Bay,50.09242,-125.313,Passage Discovery,Saumon Quinnat (Oncorhynchus tshawytcha),7,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (5),Aucune maladie importante présente à l’échelle de la population,
11 janv. 2012,388,Marine Harvest Canada,Brougham Point,50.37192,-125.3799,Passage Discovery,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
13 janv. 2012,306,Mainstream Canada,Venture Point,50.30241,-125.33778,Passage Discovery,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune mortalité significative au niveau de la population,Cardiomyopathie (6)
13 janv. 2012,304,Mainstream Canada,Raza Island,50.32159,-125.00882,Passage Discovery,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
17 janv. 2012,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Passage Discovery,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
25 janv. 2012,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Baie Clayoquot,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
25 janv. 2012,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Baie Clayoquot,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,Moritella viscosa (1),Maladie des ulcères hivernaux (présuméé) (2),Ouvert: mortalité de très bas niveau coïncidant avec des prédateurs et des lésions de cause inconnue,
26 janv. 2012,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,s/o,Non,s/o,Moritella viscosa (1),Stomatite ulcéro-membraneuse (2),Aucune maladie importante présente à l’échelle de la population,Maladie des ulcères hivernaux coïncidant avec la prédation
26 janv. 2012,227,Mainstream Canada,Bawden,49.30798,-126.00721,Baie Clayoquot,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
27 janv. 2012,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Non,s/o,Moritella viscosa (1)   ,Encéphalite causée par un micro-organisme s’apparentant à Sphaerothecum destruens (1); Encéphalite microsporidie (1),Aucune mortalité significative au niveau de la population,Netpen liver disease (1) 
31 janv. 2012,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Passage Discovery,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
7 févr. 2012,1237,Marine Harvest Canada,Monday Rocks,50.48568,-127.87265,Baie Quatsino,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2),Aucune maladie importante présente à l’échelle de la population,
7 févr. 2012,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Baie Quatsino,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
9 févr. 2012,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
14 févr. 2012,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Baie Nootka,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
14 févr. 2012,1700,Grieg Seafood BC,Muchalat South,49.64012,-126.32735,Baie Nootka,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
16 févr. 2012,572,Grieg Seafood BC,Newcomb,49.64006,-123.65836,Sunshine Coast,Saumon Quinnat (Oncorhynchus tshawytcha); Saumon Coho (Oncorhynchus kisutch),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
16 févr. 2012,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast,Saumon Atlantique (Salmo salar),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
21 févr. 2012,1144,Mainstream Canada,Burdwood,50.7969,-126.49581,Archipel Broughton,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1),Aucune mortalité significative au niveau de la population,Cardiomyopathie (3)
21 févr. 2012,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Archipel Broughton,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Non,s/o,Moritella viscosa (2),Dermatite ulcéreuse (2); Stomatite ulcéro-membraneuse (1),Maladie des ulcères hivernaux; Pourriture de la bouche,
23 févr. 2012,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Archipel Broughton,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,Aeromonas salmonicida (1),Furonculose (1),Aucune maladie importante présente à l’échelle de la population,
23 févr. 2012,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Archipel Broughton,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
23 févr. 2012,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.5681,Archipel Broughton,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
7 mars 2012,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,Saumon Atlantique (Salmo salar),12,Non,Non,Non,Non,s/o,Non,s/o,,Stomatite ulcéro-membraneuse (4),Pourriture de la bouche,
9 mars 2012,1896,Marine Harvest Canada,Lime Point,52.78538,-128.33133,Côte centrale,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (5),Maladie bactérienne du rein,
9 mars 2012,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.4199,Côte centrale,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
13 mars 2012,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2),Aucune maladie importante présente à l’échelle de la population,
16 mars 2012,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Passage Discovery,Saumon Quinnat (Oncorhynchus tshawytcha),3,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2),Maladie bactérienne du rein,
3 avr. 2012,211,Marine Harvest Canada,Okisollo,50.30946,-125.31618,Passage Discovery,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
5 avr. 2012,733,Marine Harvest Canada,Cyrus Rock,50.25682,-125.2103,Passage Discovery,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Oui,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2); SHV (1),Aucune maladie importante présente à l’échelle de la population,
11 avr. 2012,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,Passage Discovery,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
11 avr. 2012,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Passage Discovery,Saumon Atlantique (Salmo salar),2,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
13 avr. 2012,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Passage Discovery,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
16 avr. 2012,527,Mainstream Canada,Saranac Island,49.24803,-125.90671,Baie Clayoquot,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,Xénome lamellaire s’apparentant au Kudoa (1)
16 avr. 2012,540,Mainstream Canada,Fortune Channel,49.23503,-125.75174,Baie Clayoquot,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,s/o,Non,s/o,,Maladie des ulcères hivernaux (présuméé) (1),Maladie des ulcères hivernaux,
17 avr. 2012,1507,Mainstream Canada,Millar Channel,49.37622,-126.09003,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,s/o,Non,s/o,Moritella viscosa (1)       Aeromonas salmonicida (2),Furonculose (1),Maladie des ulcères hivernaux,
18 avr. 2012,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Baie Clayoquot,Saumon Atlantique (Salmo salar),5,Non,Non,Non,Non,s/o,Non,s/o,,Dermatite ulcéreuse (1); Encéphalite microsporidie (1) ,Aucune maladie importante présente à l’échelle de la population,
18 avr. 2012,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Baie Clayoquot,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,s/o,Non,s/o,,Encéphalite causée par un micro-organisme s’apparentant à Sphaerothecum destruens (1); Encéphalite microsporidie (1); Dermatite ulcéreuse (4),Maladie des ulcères hivernaux,
