CODE_REGION,REGION_ADMIN,VILLE,INTERVENANT_NOM,INTERVENANT_NUMERO,SITE_NOM,SITE_NUMERO,SITE_ADRESSE_COMPLETE,PERMIS_DATE_EMISSION,PERMIS_DATE_EXPIRATION,NO_PERMIS,CAPACITE_AUTORISE,NOMBRE_RESERVOIR_AUTORISE,DATE_PROCHAINE_VERIFICATION
8.0,Abitibi-Témiscamingue,Malartic,Les Pétroles Alcasyna (1993) inc.,5666-9484,RELAIS MALARTIC,1-49676-46987,831 RUE ROYALE MALARTIC QC CANADA J0Y 1Z0,2020-10-18,2022-10-17,1017272,49356,1,2024-10-17
17.0,Centre-du-Québec,Parisville,Covris Coopérative,5665-9410,Sonichoix Parisville,1-49676-37,1238 ROUTE 265 PARISVILLE QC CANADA G0S 1X0,2019-11-05,2021-11-04,1014592,68920,2,2023-11-04
17.0,Centre-du-Québec,Parisville,Covris Coopérative,5665-9410,Sonichoix Parisville,1-49676-37,1238 ROUTE 265 PARISVILLE QC CANADA G0S 1X0,2021-11-05,2023-11-04,1014592,68920,2,2023-11-04
9.0,Côte-Nord,Sept-Îles,9120-1780 Québec inc.,5666-9500,DÉPANNEUR 7 JOURS(station propane),1-49676-47952,11 CHEMIN FERCO SEPT-ÎLES QC CANADA G4R 0C5,2021-10-30,2023-10-29,1010721,45992,1,2023-10-29
9.0,Côte-Nord,Sept-Îles,9120-1780 Québec inc.,5666-9500,DÉPANNEUR 7 JOURS(station propane),1-49676-47952,11 CHEMIN FERCO SEPT-ÎLES QC CANADA G4R 0C5,2019-10-30,2021-10-29,1010721,45992,1,2021-10-29
15.0,Laurentides,Lac-Saint-Paul,Magasin Général M.G. inc.,5666-9567,Magasin Général M.G. inc.,1-49676-47956,382 RUE PRINCIPALE LAC-SAINT-PAUL QC CANADA J0W 1K0,2021-01-14,2023-01-13,1014673,27276,2,2023-01-13
2.0,Saguenay--Lac-Saint-Jean,Alma,9092-4390 Québec inc.,5666-9609,Super Sagamie aux Écluses,1-49676-47959,6095 RUE MELANÇON OUEST ALMA QC CANADA G8B 5V3,2020-05-22,2022-05-21,1016810,65000,1,2024-05-21
16.0,Montérégie,Saint-Jean-sur-Richelieu,9380-0720 Québec Inc.,5764-4080,DÉPANNEUR LA ROSERAIE,1-49676-47990,144 RUE SAINT-GÉRARD SAINT-JEAN-SUR-RICHELIEU QC CANADA J2W 2M2,2021-06-11,2023-06-10,1011040,100000,2,2023-06-10
11.0,Gaspésie--Îles-de-la-Madeleine,Percé,9169-7086 Québec inc.,5666-9690,Marché Nicolas,1-49676-47991,1359 ROUTE 132 OUEST PERCÉ QC CANADA G0C 1G0,2020-06-24,2022-06-23,1015030,65000,1,2022-06-23
15.0,Laurentides,Labelle,2968-5229 Québec inc.,5666-9815,Dépanneur de Labelle,1-49676-48027,8029 BOULEVARD DU CURÉ-LABELLE LABELLE QC CANADA J0T 1H0,2020-10-01,2022-09-30,1017249,99900,3,2022-09-30
8.0,Abitibi-Témiscamingue,Saint-Édouard-de-Fabre,2741-5272 QUÉBEC INC.,5666-9864,STATION SERVICE LAROCHELLE(station propane),1-49676-48060,1506 ROUTE 101 SAINT-ÉDOUARD-DE-FABRE QC CANADA J0Z 1Z0,2020-06-24,2022-06-23,1016640,49100,1,2024-06-23
16.0,Montérégie,Chambly,Couche-Tard inc.,5615-0667,Couche-Tard #1189,1-49676-48061,875 BOULEVARD DE PÉRIGNY CHAMBLY QC CANADA J3L 1W5,2020-07-18,2022-07-17,1009023,136200,3,2022-07-17
14.0,Lanaudière,Repentigny,Couche-Tard inc.,5615-0667,Couche-Tard #1280,1-49676-48096,291 BOULEVARD DE LA ROCHELLE REPENTIGNY QC CANADA J6A 1L4,2020-07-01,2022-06-30,1009397,135916,4,2022-06-30
3.0,Capitale-Nationale,Québec,Corporation Parkland,5781-7900,Dépanneur du Coin #41469,1-49676-48097,425 RUE DU MARAIS QUÉBEC QC CANADA G1M 3A2,2021-06-01,2023-05-31,1010896,171380,4,2023-05-31
4.0,Mauricie,Trois-Rivières,Couche-Tard inc.,5615-0667,Couche-Tard #1314,1-49676-48098,3150 BOULEVARD SAINT-JEAN TROIS-RIVIÈRES QC CANADA G9B 2M1,2021-06-01,2023-05-31,1010773,175000,2,2023-05-31
14.0,Lanaudière,Mascouche,Couche-Tard inc.,5615-0667,Couche-Tard #1242,1-49676-48099,275 MONTÉE MASSON MASCOUCHE QC CANADA J7K 3B4,2019-12-09,2021-12-08,1015006,120000,4,2021-12-08
16.0,Montérégie,Vaudreuil-Dorion,Corporation Parkland,5781-7900,Dépanneur du coin # 679,1-49676-48100,2461 RUE HENRY-FORD VAUDREUIL-DORION QC CANADA J7V 0R9,2020-12-11,2022-12-10,1015178,290000,6,2022-12-10
15.0,Laurentides,Saint-Jérôme,Couche-Tard inc.,5615-0667,Couche-Tard #1289,1-49676-48102,2 RUE JOHN-F.-KENNEDY SAINT-JÉRÔME QC CANADA J7Y 4B6,2020-05-15,2022-05-14,1015031,160000,4,2022-05-14
16.0,Montérégie,Brossard,Corporation Parkland,5781-7900,Dépanneur du coin #620,1-49676-48103,3375 RUE BERGERAC BROSSARD QC CANADA J4Z 2L5,2020-12-17,2022-12-16,1009414,120000,4,2022-12-16
6.0,Montréal,Montréal,Couche-Tard inc.,5615-0667,Couche-Tard #1246,1-49676-48104,11950 RUE LACHAPELLE MONTRÉAL QC CANADA H4J 2M3,2021-02-01,2023-01-31,1010251,118200,4,2023-01-31
3.0,Capitale-Nationale,Québec,Corporation Parkland,5781-7900,Dépanneur du Coin  #41538,1-49676-48105,9335 BOULEVARD DE L'ORMIÈRE QUÉBEC QC CANADA G2B 3K7,2021-04-01,2023-03-31,1010436,110100,3,2023-03-31
13.0,Laval,Laval,Couche-Tard inc.,5615-0667,Couche-Tard #1234,1-49676-48132,5220 BOULEVARD NOTRE-DAME LAVAL QC CANADA H7W 5A7,2020-08-25,2022-08-24,1011447,120000,4,2022-08-24
7.0,Outaouais,Gatineau,Couche-Tard inc.,5615-0667,Couche-Tard #1224,1-49676-48133,209 CHEMIN D'AYLMER GATINEAU QC CANADA J9H 1A3,2021-07-01,2023-06-30,1019793,115000,3,2025-06-30
16.0,Montérégie,McMasterville,Couche-Tard inc.,5615-0667,Couche-Tard #1243,1-49676-48134,970 RUE BERNARD-PILON MCMASTERVILLE QC CANADA J3G 1L6,2021-04-10,2023-04-09,1010054,115000,2,2023-04-09
3.0,Capitale-Nationale,Québec,Couche-Tard inc.,5615-0667,Couche-Tard # 1306,1-49676-48135,576EST RUE HAMEL QUÉBEC QC CANADA G1M 2T3,2020-06-01,2022-05-31,1016469,120000,4,2022-05-31
16.0,Montérégie,Longueuil,Couche-Tard inc.,5615-0667,Couche-Tard #1241,1-49676-48136,2995 BOULEVARD GAÉTAN-BOUCHER LONGUEUIL QC CANADA J3Y 8C4,2021-06-01,2023-05-31,1010895,109110,4,2023-05-31
14.0,Lanaudière,Charlemagne,Couche-Tard inc.,5615-0667,Couche-Tard #1219,1-49676-48137,125 BOUL CELINE-DION CHARLEMAGNE QC CANADA J5Z 4R6,2019-12-01,2021-11-30,1011461,112161,4,2021-11-30
13.0,Laval,Laval,Couche-Tard inc.,5615-0667,Couche-Tard #1237,1-49676-48138,305 BOULEVARD DE LA CONCORDE OUEST LAVAL QC CANADA H7N 1J4,2020-12-01,2022-11-30,1009958,127904,4,2022-11-30
13.0,Laval,Laval,Couche-Tard inc.,5615-0667,Couche-Tard #1233,1-49676-48139,4575  NORD LAVAL (A-440) O LAVAL QC CANADA H7P 4W6,2019-12-03,2021-12-02,1014596,120000,4,2021-12-02
16.0,Montérégie,Vaudreuil-Dorion,Couche-Tard inc.,5615-0667,Couche-Tard #1297,1-49676-48140,504 AVENUE SAINT-CHARLES VAUDREUIL-DORION QC CANADA J7V 2N7,2021-07-21,2023-07-20,1019801,120000,4,2025-07-20
3.0,Capitale-Nationale,Donnacona,Couche-Tard inc.,5615-0667,Couche-Tard #1301,1-49676-48141,205 ROUTE 138 DONNACONA QC CANADA G3M 1B9,2019-10-14,2021-10-13,1015121,160000,4,2021-10-13
3.0,Capitale-Nationale,Donnacona,Couche-Tard inc.,5615-0667,Couche-Tard #1301,1-49676-48141,205 ROUTE 138 DONNACONA QC CANADA G3M 1B9,2021-10-14,2023-10-13,1015121,160000,4,2025-10-13
3.0,Capitale-Nationale,Québec,Corporation Parkland,5781-7900,DÉPANNEUR DU COIN  #41408,1-49676-48169,1080 BOULEVARD WILFRID-HAMEL QUÉBEC QC CANADA G1M 2S3,2021-07-17,2023-07-16,1009676,100000,3,2025-07-16
17.0,Centre-du-Québec,St-Germain de Grantham,Corporation Parkland,5781-7900,Ultramar Dépanneur du coin #41423,1-49676-48170,351 CHEMIN YAMASKA RR2 ST-GERMAIN DE GRANTHAM QC CANADA J0C 1K0,2021-10-01,2023-09-30,1010096,320000,6,2025-09-30
15.0,Laurentides,Piedmont,Couche-Tard inc.,5615-0667,Couche-Tard #1278,1-49676-48171,720  CHEMIN JEAN-ADAM PIEDMONT QC CANADA J0R 1K0,2021-07-22,2023-07-21,1019800,160000,4,2025-07-21
6.0,Montréal,Montréal,Couche-Tard inc.,5615-0667,Couche-Tard #1253,1-49676-48173,5620 CHEMIN DE LA CÔTE-SAINT-LUC MONTRÉAL QC CANADA H3X 2E3,2021-02-01,2023-01-31,1010288,90920,4,2023-01-31
15.0,Laurentides,Boisbriand,Corporation Parkland,5781-7900,Dépanneur du Coin  #41522,1-49676-48174,855 BOULEVARD DE LA GRANDE-ALLÉE BOISBRIAND QC CANADA J7G 1W6,2021-08-27,2023-08-26,1011085,120000,4,2025-08-26
3.0,Capitale-Nationale,Québec,Couche-Tard inc.,5615-0667,Couche-Tard #1309,1-49676-48175,1240 RUE CHARLES-ALBANEL QUÉBEC QC CANADA G1X 4V1,2021-06-01,2023-05-31,1010902,123650,6,2023-05-31
16.0,Montérégie,Brossard,Couche-Tard inc.,5615-0667,Couche-Tard #1216,1-49676-48176,7825 BOULEVARD MARIE-VICTORIN BROSSARD QC CANADA J4X 1X2,2020-08-11,2022-08-10,1016841,120000,4,2022-08-10
16.0,Montérégie,Sainte-Julie,Corporation Parkland,5781-7900,Dépanneur du Coin  #41524,1-49676-48177,1910 CHEMIN DU FER-À-CHEVAL SAINTE-JULIE QC CANADA J3E 2T5,2021-10-01,2023-09-30,1011162,160000,4,2025-09-30
16.0,Montérégie,Saint-Lazare,Couche-Tard inc.,5615-0667,Couche-Tard #1293,1-49676-48205,2662 CÔTE SAINT-CHARLES SAINT-LAZARE QC CANADA J7T 2H9,2020-10-01,2022-09-30,1009573,145480,4,2022-09-30
6.0,Montréal,Montréal,Couche-Tard inc.,5615-0667,Couche-Tard #1256,1-49676-48206,5110 RUE SAINT-DENIS MONTRÉAL QC CANADA H2J 2M2,2020-06-01,2022-05-31,1009219,120000,4,2022-05-31
15.0,Laurentides,Blainville,Corporation Parkland,5781-7900,Dépanneur du Coin  #768,1-49676-48207,400 BOULEVARD DE LA SEIGNEURIE OUEST BLAINVILLE QC CANADA J7C 5A1,2020-06-01,2022-05-31,1011348,145480,4,2022-05-31
6.0,Montréal,Kirkland,Couche-Tard inc.,5615-0667,Couche-Tard #1230,1-49676-48208,3671 BOULEVARD SAINT-CHARLES KIRKLAND QC CANADA H9H 3C3,2020-06-23,2022-06-22,1010887,150000,2,2024-06-22
6.0,Montréal,Montréal,Couche-Tard inc.,5615-0667,Couche-Tard #1266,1-49676-48209,1810 RUE SAINT-ZOTIQUE EST MONTRÉAL QC CANADA H2G 1H6,2020-07-01,2022-06-30,1009259,118130,4,2022-06-30
6.0,Montréal,Dollard-Des Ormeaux,Couche-Tard inc.,5615-0667,Couche-Tard #1223,1-49676-48211,4032 BOULEVARD SAINT-JEAN DOLLARD-DES ORMEAUX QC CANADA H9G 1X5,2021-04-01,2023-03-31,1010336,132646,5,2023-03-31
6.0,Montréal,Montréal,Couche-Tard inc.,5615-0667,Couche-Tard #1271,1-49676-48213,15200 BOULEVARD DE PIERREFONDS MONTRÉAL QC CANADA H9H 4K3,2021-10-01,2023-09-30,1010994,122750,4,2023-09-30
7.0,Outaouais,Gatineau,Corporation Parkland,5781-7900,Marché Express #623,1-49676-48240,253 BOULEVARD SAINT-RENÉ OUEST GATINEAU QC CANADA J8P 2V7,2020-07-01,2022-06-30,1009265,86399,3,2022-06-30
16.0,Montérégie,Châteauguay,Couche-Tard inc.,5615-0667,Couche-Tard #1220,1-49676-48241,28 BOULEVARD SAINT-JEAN-BAPTISTE CHÂTEAUGUAY QC CANADA J6K 3A3,2021-02-01,2023-01-31,1010303,120000,4,2023-01-31
3.0,Capitale-Nationale,L'Ancienne-Lorette,Couche-Tard inc.,5615-0667,Couche-Tard #1221,1-49676-48242,6550 BOULEVARD WILFRID-HAMEL L'ANCIENNE-LORETTE QC CANADA G2E 2J1,2020-09-27,2022-09-26,1014922,150000,4,2022-09-26
6.0,Montréal,Montréal,Couche-Tard inc.,5615-0667,Couche-Tard #1274,1-49676-48243,301 RUE SAINT-JACQUES (LACHINE) MONTRÉAL QC CANADA H8R 1E5,2020-11-22,2022-11-21,1010023,120000,4,2022-11-21
16.0,Montérégie,Saint-Constant,Corporation Parkland,5781-7900,Dépanneur du Coin #41523,1-49676-48244,46 RUE SAINT-PIERRE SAINT-CONSTANT QC CANADA J5A 1B9,2021-07-01,2023-06-30,1011036,120000,4,2025-06-30
15.0,Laurentides,Sainte-Anne-des-Plaines,Corporation Parkland,5781-7900,Dépanneur du Coin #41528,1-49676-48245,218 BOULEVARD SAINTE-ANNE SAINTE-ANNE-DES-PLAINES QC CANADA J5N 3P3,2021-09-08,2023-09-07,1011174,100000,4,2025-09-07
17.0,Centre-du-Québec,Victoriaville,Corporation Parkland,5781-7900,Dépanneur du Coin #41546,1-49676-48246,198 BOULEVARD DES BOIS-FRANCS SUD VICTORIAVILLE QC CANADA G6P 4S7,2021-10-01,2023-09-30,1009312,120000,4,2023-09-30
5.0,Estrie,Sherbrooke,Couche-Tard inc.,5615-0667,Couche-Tard # 1281,1-49676-48247,5960 CHEMIN DE SAINT-ÉLIE SHERBROOKE QC CANADA J1R 0L1,2021-06-06,2023-03-05,1011365,115000,2,2025-03-05
3.0,Capitale-Nationale,Québec,Corporation Parkland,5781-7900,Dépanneur du Coin #41463,1-49676-48248,1031 BOULEVARD PIE-XI SUD QUÉBEC QC CANADA G3K 1L2,2021-06-01,2023-05-31,1010743,90920,4,2023-05-31
6.0,Montréal,Montréal,Corporation Parkland,5781-7900,Marché Express # 663,1-49676-48249,6690 CHEMIN DE LA CÔTE-SAINT-LUC MONTRÉAL QC CANADA H4V 1H1,2020-07-01,2022-06-30,1009378,100000,2,2022-06-30
5.0,Estrie,Scotstown,Dépanneur Victoria (2018) inc.,5779-4091,DÉPANNEUR VICTORIA,1-49676-48276,30 CHEMIN VICTORIA OUEST SCOTSTOWN QC CANADA J0B 3B0,2020-10-18,2022-10-17,1013837,65000,1,2022-10-17
12.0,Chaudière-Appalaches,Sainte-Marie,La Société Canadian Tire Limitée,8237-7342,Dépanneur Canadian Tire,1-49676-49249,940 BOULEVARD VACHON NORD SAINTE-MARIE QC CANADA G6E 1M2,2020-06-30,2022-06-29,1014912,150000,2,2024-06-29
6.0,Montréal,Montréal,Couche-Tard inc.,5615-0667,Couche-Tard #1152,1-49676-49253,5800 AVENUE CHRISTOPHE-COLOMB MONTRÉAL QC CANADA H2S 2G2,2020-07-18,2022-07-17,1010322,150000,3,2024-07-17
16.0,Montérégie,Saint-Lambert,Couche-Tard inc.,5615-0667,Couche-Tard #1198,1-49676-49254,390 BOULEVARD SIR-WILFRID-LAURIER SAINT-LAMBERT QC CANADA J4R 2M2,2020-12-21,2022-12-20,1009361,156407,4,2022-12-20
16.0,Montérégie,Sainte-Julie,Couche-Tard inc.,5615-0667,Couche-Tard #1183,1-49676-49255,1911 CHEMIN DU FER-À-CHEVAL SAINTE-JULIE QC CANADA J3E 2T4,2019-11-28,2021-11-27,1011143,159142,4,2023-11-27
8.0,Abitibi-Témiscamingue,Laniel,9419-6086 Québec inc.,5790-6471,O Persay,1-49676-49256,1991 ROUTE 101 LANIEL QC CANADA J0Z 2K0,2021-06-01,2023-05-31,1010612,15000,1,2025-05-31
8.0,Abitibi-Témiscamingue,Launay,"BOUTIN, RÉMI",5667-0409,ÉPICERIE DÉPANNEUR RÉMI,1-49676-49289,815 RUE DES PIONNIERS LAUNAY QC CANADA J0Y 1W0,2019-12-01,2021-11-30,1011333,49900,3,2021-11-30
8.0,Abitibi-Témiscamingue,Launay,"BOUTIN, RÉMI",5667-0409,ÉPICERIE DÉPANNEUR RÉMI,1-49676-49289,815 RUE DES PIONNIERS LAUNAY QC CANADA J0Y 1W0,2021-12-01,2023-11-30,1011333,49900,3,2023-11-30
5.0,Estrie,Sherbrooke,9352-9188 Québec inc.,5738-4430,ACCOMMODATION DOMON (2017) INC.,1-49676-49292,7235 CH DE SAINT-ELIE SHERBROOKE QC CANADA J1R 0K5,2020-06-05,2022-06-04,1010000,70000,2,2024-06-04
5.0,Estrie,Bromont,9116-9474 Québec inc.,5667-0441,Dépanneur Carrefour 74 - Esso,1-49676-49293,2000 ROUTE PIERRE-LAPORTE BROMONT QC CANADA J2L 2W8,2021-06-14,2023-06-13,1014520,130000,2,2023-06-13
3.0,Capitale-Nationale,Québec,Les Entreprises Yvrero inc.,5739-6293,Eko Clairbourg,1-49676-49322,1275 RUE JACQUES-BÉDARD QUÉBEC QC CANADA G3G 1P5,2020-06-25,2022-06-24,1011407,65183,1,2024-06-24
4.0,Mauricie,Trois-Rivières,La Société Canadian Tire Limitée,8237-7342,Essence Canadian Tire,1-49676-49329,30 RUE FUSEY TROIS-RIVIÈRES QC CANADA G8T 2T5,2019-12-16,2021-12-15,1009498,110000,1,2021-12-15
16.0,Montérégie,Longueuil,Couche-Tard inc.,5615-0667,Couche-Tard #1191,1-49676-49357,310 BOULEVARD ROLAND-THERRIEN LONGUEUIL QC CANADA J4H 3V9,2021-07-01,2023-06-30,1011128,163852,5,2025-06-30
7.0,Outaouais,Notre-Dame-de-la-Paix,Pétroles Crevier inc.,5780-6663,Crevier 9055,1-49676-49358,270 RUE NOTRE-DAME NOTRE-DAME-DE-LA-PAIX QC CANADA J0V 1P0,2020-12-03,2022-12-02,1017774,75000,1,2024-12-02
5.0,Estrie,Magog,La Société Canadian Tire Limitée,8237-7342,Dépanneur Canadian Tire,1-49676-49362,2101 RUE SHERBROOKE MAGOG QC CANADA J1X 2T5,2019-11-22,2021-11-21,1014881,150000,2,2023-11-21
16.0,Montérégie,Saint-Jean-sur-Richelieu,2950-6680 QUÉBEC INC.,5667-0771,DÉPANNEUR BEAU-SOIR,1-49676-49365,230 BOULEVARD SAINT-LUC SAINT-JEAN-SUR-RICHELIEU QC CANADA J2W 1C2,2020-04-01,2022-03-31,1013855,125000,3,2022-03-31
