Identification de l'installation/ Facility Identification,Nom du propriétaire/ Owner Name,Nom du système / System Name,Ville/ City,Province (Anglais)/ Province (English),Province (Français) / Province (French),Code postal/ Postal Code,Type de propriétaire (Anglais) / Owner Type (English),Type de propriétaire (Français)/ Owner Type (French),Type d'exploitant (Anglais)/ Operator Type (English),Type d'exploitant  (Français) / Operator Type (French),Volume journalier moyen de l'effluent (m3) / Average Daily Effluent Volume (m3),Méthode de calcul (Anglais) / Method of Calculation (English),Méthode de calcul  (Français)/ Method of Calculation (French),Description de la méthode de calcul/ Description of Calculation Method ,Indicateur - Utilisation de chlore (Anglais)/ Chlorine Use Indicator (English),Indicateur - Utilisation de chlore (Français) / Chlorine Use Indicator (French),Type du système (Anglais)/ System Type (English),Type du système (Français)/ System Type (French),Types de traitement (Anglais)/ Treatment Types (English),Types de traitement (Français)/ Treatment Types (French),Description des autres traitements / Other Treatment Description,Description du lieu de rejet (Anglais) / Discharge Place Description (English),Description du lieu de rejet (Français) / Discharge Place Description (French),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Anglais)/ Is the hydraulic retention time 5 days or more? (English),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Français) / Is the hydraulic retention time 5 days or more? (French),Fréquence de reportage (Anglais)/ Reporting Frequency (English),Fréquence de reportage (Français) / Reporting Frequency (French),Périodes decalcul (Anglais)/ Averaging Period (English),Périodes de calcul (Français) / Averaging Period (French),Latitude/ Latitude,Longitude/ Longitude,Statut de Vérification du point (Anglais)/ Verification status of the point (English),Statut de Vérification du point (Français)/ Verification status of the point (French),Type de point (Anglais)/ Type of Point (English),Type de point (Français) / Type of Point (French),Nom de la masse d'eau fréquentée par les poissons/ Name of body of water frequented by fish,Nom de la masse d'eau au point d'entrée/ Name of the water at point of entry, Description de l'utilisation de l'eau (Anglais)/ Description of use of water (English),Description de l'utilisation de l'eau (Français)/ Description of use of water (French),Description des eaux fréquentées par les poisons (Anglais) / Description of water frequented by fish (English),Description des eaux fréquentées par les poisons (Français)/ Description of water frequented by fish (French),État du système (Anglais)/ System status (English),État du système (Français)/ System status (French)
23700.0,Aquatera Utilities INC,Aquatera Clairmont WasteWater Lagoon,Hamlet of Clairmont,Alberta,Alberta,T0H0W0,Other,Autre,Other,Autre,1289.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoons - Aerated, Lagoon - Anaerobic, Lagoon - Facultative","Étangs aérés, Étang anaérobique, Étang facultatif",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,55.2667,-118.8429,Verified,Vérifié,Final Discharge Point,Point de rejet final,Bear Creek (downstream of the Bear Creek Reservoir) and then ultimately the Wapiti River,Ferguson Creek,Other,Autre,Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
23690.0,Aquatera Utilities INC,Aquatera Grande Prairie Wastewater Facility,Grande Prairie,Alberta,Alberta,T8W 2R6,Other,Autre,Other,Autre,21056.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Rotating Biological Contactor, Biological Nutrient Removal (Nitrogen and Phosphorus), Polishing Ponds","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Boues activées, Contacteur biologique rotatif, Élimination biologique des nutriments (azote et phosphore), Étangs de polissage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,55.1279,-118.7967,Verified,Vérifié,Final Discharge Point,Point de rejet final,Wapiti River,Wapiti River,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23701.0,Aquatera Utilities INC,Aquatera Sexsmith WasteWater Lagoon,Town of Sexsmith,Alberta,Alberta,T0H3C0,Other,Autre,Other,Autre,400.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated","Étang anaérobique, Étang facultatif, Étang non aéré",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,55.3254,-118.7493,Verified,Vérifié,Final Discharge Point,Point de rejet final,Smoky River,Drainage ditch then travels to unnamed creek,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23435.0,Big Lakes County,Enilda Waste Water Lagoon,High Prairie,Alberta,Alberta,T0G 1E0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,74.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon - Facultative, Storage Ponds","Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Non-applicable,Non applicable,Non-applicable,Non applicable,55.393,-116.305,Verified,Vérifié,Final Discharge Point,Point de rejet final,mud creek,unnamed creek,Agriculture (e.g irrigation),Agriculture (irrigation),Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
23440.0,Big Lakes County,Faust Waste Water Lagoon,High Prairie,Alberta,Alberta,T0G1E0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2500.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Étang aérobique, Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,55.319,-115.617,Verified,Vérifié,Final Discharge Point,Point de rejet final,lesser slave lake,lesser slave lake,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
23439.0,Big Lakes County,Grouard Waste Water Lagoon,High Prairie,Alberta,Alberta,T0G1E0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2790.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Oxidation Ditch, Storage Ponds","Étang aérobique, Étang anaérobique, Étang facultatif, Étang non aéré, Chenal d'oxydation, Bassin de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,55.517,-116.153,Verified,Vérifié,Final Discharge Point,Point de rejet final,lesser slave lake,lesser slave lake,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
23441.0,Big Lakes County,Joussard Waste Water Lagoon,joussard,Alberta,Alberta,T0G1J0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,190.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds","Étang aérobique, Étang anaérobique, Étang facultatif, Étang non aéré, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Annually,Annuel,Annually,Annuel,55.385,-116.0,Estimated,Estimé,Final Discharge Point,Point de rejet final,Lesser Slave Lake,discharge ditch,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
23442.0,Big Lakes County,Joussard Waste Water Lagoon (old),Hig Prairie,Alberta,Alberta,T0G1E0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2252.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Étang aérobique, Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,55.397,-115.976,Verified,Vérifié,Final Discharge Point,Point de rejet final,Mission Creek,Mission Creek,Other,Autre,Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
29464.0,BIRCH Mountain Enterprises Ltd.,BIRCH MOUNTAIN WASTEWATER TREATMENT PLANT,FORT MCMURRAY,Alberta,Alberta,T9H 3G4,,,,,1500.0,Estimate based on the measured rate of effluent flow,Estimations fondée sur la mesure du débit de l'effluent,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Other Treatment, Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Autre, Désinfection",Membrane Bioreactor,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,56.742,-111.4127,Estimated,Estimé,Final Discharge Point,Point de rejet final,MUSKEG RIVER,MUSKEG RIVER,Other recreational (e.g. boating),Autre contact récréatif (bateau),Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
26971.0,Blood Tribe Public Works,Standoff Lagoon,Standoff,Alberta,Alberta,T0L1Y0,,,,,4664.0,Estimate based on the measured rate of effluent flow,Estimations fondée sur la mesure du débit de l'effluent,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds","Étang aérobique, Étang anaérobique, Étang facultatif, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,49.4655,-113.2877,Verified,Vérifié,Final Discharge Point,Point de rejet final,Belly River,Belly River,Other,Autre,Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
25140.0,Brazeau County,Rocky Rapids Lagoon,Rocky Rapids,Alberta,Alberta,T7A 1G8,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,91.0,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,Lagoon - Facultative,Étang facultatif,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,53.2739,-114.9357,Verified,Vérifié,Final Discharge Point,Point de rejet final,,un named drainage course,Other,Autre,Other,Autre,operational,opérationnel
25143.0,Camrose County,Ferintosh Wastewater System Using a Wastewater Lagoon,Ferintosh,Alberta,Alberta,T0B 1M0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,0.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Intermittent,Intermittent,"Primary Sedimentation/Clarification, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds","Sédimentation/clarification primaire, Étang anaérobique, Étang facultatif, Étang non aéré, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,,,Annually,Annuel,Annually,Annuel,52.7525,-112.9707,Verified,Vérifié,Final Discharge Point,Point de rejet final,meeting creek swamp,meeting creek swamp,Agriculture (e.g irrigation),Agriculture (irrigation),Watercourse with bulk flow ratio < 10,Cours d'eau avec un coefficient de débit brut < 10,operational,opérationnel
23523.0,CH2M Hill Canada Limited,Borealis Polishing Wastewater Treatment Plant,Fort McMurray,Alberta,Alberta,T9K 0T4,Other,Autre,Other,Autre,560.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Extended Aeration Activated Sludge, Sequencing Batch Reactor, Biological Ammonia Removal – Nitrification Only , Biological Phosphorus Removal, Chemical Precipitation (Phosphorus), Filtration, Disinfection","Dégrillage, Boues activées par aération prolongée, Réacteur séquentiel discontinu, Élimination biologique de l'ammoniac - Nitrification seulement, Élimination biologique du phosphore, Précipitation chimique (phosphore), Filtration, Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,56.7647,-111.4146,Estimated,Estimé,Final Discharge Point,Point de rejet final,Athabasca River,Athabasca River,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23894.0,CH2M Hill Canada Limited,Steepbank Wastewater Treatment Plant,Fort McMurray,Alberta,Alberta,T9K 0T4,Other,Autre,Other,Autre,30.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Primary Sedimentation/Clarification, Other Treatment","Dessablage, Sédimentation/clarification primaire, Autre",System does not discharge into a fish bearing waterbody,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Non-applicable,Non applicable,Non-applicable,Non applicable,56.9731,-111.4328,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
24039.0,City of Brooks,City of Brooks,Brooks,Alberta,Alberta,T1R0Z6,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2648.8,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Intermittent,Intermittent,"Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds","Étang aérobique, Étang anaérobique, Étang facultatif, Étang non aéré, Bassin de stockage",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,50.5537,-111.8043,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,Agriculture (e.g irrigation),Agriculture (irrigation),Other,Autre,operational,opérationnel
14276.0,City of Calgary,Bonnybrook Wastewater Treatment Plant,Calgary,Alberta,Alberta,T2G 3M8,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,364250.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Activated Sludge, Biological Nitrogen Removal - Nitrification and Denitrification, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Boues activées, Élimination biologique de l'azote - Nitrification et dénitrification, Élimination biologique des nutriments (azote et phosphore), Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,51.0097,-114.0205,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
