Year,Activity,Source,Destination,Energy (MW.h),Total Value (CAN$),Price (CAN$/MW.h)
1991.0,Imports,New York,Total,201721.0,2.639139389E7,99.78
1991.0,Imports,North Dakota,Manitoba,44707.0,585596.84,13.10
1991.0,Imports,North Dakota,Saskatchewan,45750.0,2610160.83,50.41
1991.0,Imports,North Dakota,Total,90457.0,3195757.67,31.97
1991.0,Imports,Total,Alberta,2653.0,110618.91,41.70
1991.0,Imports,Total,British Columbia,498.0,18046.39,36.24
1991.0,Imports,Total,Manitoba,262021.0,3396452.27,12.96
1991.0,Imports,Total,New Brunswick,55633.0,1304068.27,23.30
1991.0,Imports,Total,Ontario,714574.3,3.295246394E7,46.11
1991.0,Imports,Total,Québec,606821.0,3.475442827E7,46.71
1991.0,Imports,Total,Saskatchewan,45750.0,2610160.83,50.41
1991.0,Imports,Total,Total,1687950.3,7.514623888E7,40.54
1991.0,Imports,Vermont,Québec,141045.0,5996102.78,41.49
1991.0,Imports,Vermont,Total,141045.0,5996102.78,41.49
1991.0,Imports,Washington,Alberta,2653.0,110618.91,41.70
1991.0,Imports,Washington,British Columbia,302.0,7688.0,25.46
1991.0,Imports,Washington,Total,2955.0,118306.91,40.04
1992.0,Exports,British Columbia,Alaska,529.92,57369.0,108.26
1992.0,Exports,British Columbia,California,1009856.0,2.355108237E7,23.32
1992.0,Exports,British Columbia,Idaho,263031.0,6838679.28,26.00
1992.0,Exports,British Columbia,Montana,17091.0,341054.9,19.96
1992.0,Exports,British Columbia,Nevada,20448.0,659067.79,32.23
1992.0,Exports,British Columbia,Oregon,890254.0,2.24024878E7,25.16
1992.0,Exports,British Columbia,Total,7474482.214,1.9396333582E8,25.95
1992.0,Exports,British Columbia,Washington,5273272.294,1.4011359468E8,26.57
1992.0,Exports,Manitoba,Minnesota,5455075.625,8.608362288E7,14.65
1992.0,Exports,Manitoba,North Dakota,602677.0,9615541.91,15.40
1992.0,Exports,Manitoba,Total,6057752.625,9.569916479E7,14.72
1992.0,Exports,New Brunswick,Maine,972636.464,4.18798616E7,42.01
1992.0,Exports,New Brunswick,Massachusetts,757210.0,4.6565831E7,61.50
1992.0,Exports,New Brunswick,Total,1729846.464,8.84456926E7,50.54
1992.0,Exports,Ontario,Michigan,83495.276,1696872.61,20.32
1992.0,Exports,Ontario,Minnesota,15400.0,745128.91,26.97
1992.0,Exports,Ontario,New York,1903425.667,5.138878232E7,26.18
1992.0,Exports,Ontario,Total,2055962.943,5.923005497E7,25.96
1992.0,Exports,Ontario,Vermont,53642.0,5399271.13,26.51
1992.0,Exports,Québec,Maine,917.465,65538.92,71.43
1992.0,Exports,Québec,New England-ISO,5413912.0,1.1940658656E8,22.06
1992.0,Exports,Québec,New York,1626684.0,6.233978656E7,30.37
1992.0,Exports,Québec,Total,8826668.465,2.5887315568E8,23.99
1992.0,Exports,Québec,Vermont,1785155.0,7.706124364E7,24.02
1992.0,Exports,Saskatchewan,North Dakota,79485.0,1697228.77,21.35
1992.0,Exports,Saskatchewan,Total,79485.0,1697228.77,21.35
1992.0,Exports,Total,Alaska,529.92,57369.0,108.26
1992.0,Exports,Total,California,1009856.0,2.355108237E7,23.32
1992.0,Exports,Total,Idaho,263031.0,6838679.28,26.00
1992.0,Exports,Total,Maine,973553.929,4.194540052E7,42.04
1992.0,Exports,Total,Massachusetts,757210.0,4.6565831E7,61.50
1992.0,Exports,Total,Michigan,83495.276,1696872.61,20.32
1992.0,Exports,Total,Minnesota,5470475.625,8.682875179E7,14.68
1992.0,Exports,Total,Montana,17091.0,341054.9,19.96
1992.0,Exports,Total,Nevada,20448.0,659067.79,32.23
1992.0,Exports,Total,New England-ISO,5413912.0,1.1940658656E8,22.06
1992.0,Exports,Total,New York,3530109.667,1.1372856888E8,28.11
1992.0,Exports,Total,North Dakota,682162.0,1.131277068E7,16.09
1992.0,Exports,Total,Oregon,890254.0,2.24024878E7,25.16
1992.0,Exports,Total,Total,2.6224197711E7,6.9790863263E8,24.31
1992.0,Exports,Total,Vermont,1838797.0,8.246051477E7,24.09
1992.0,Exports,Total,Washington,5273272.294,1.4011359468E8,26.57
1992.0,Imports,Maine,New Brunswick,56377.8,992032.37,17.50
1992.0,Imports,Maine,Total,56377.8,992032.37,17.50
1992.0,Imports,Michigan,Ontario,314833.2,9357423.5,29.72
1992.0,Imports,Michigan,Total,314833.2,9357423.5,29.72
1992.0,Imports,Minnesota,Ontario,45502.0,775600.44,17.05
1992.0,Imports,Minnesota,Total,45502.0,775600.44,17.05
1992.0,Imports,Montana,British Columbia,229.3,13403.61,58.45
1992.0,Imports,Montana,Total,229.3,13403.61,58.45
1992.0,Imports,New England-ISO,Québec,524181.0,1.478293556E7,28.08
1992.0,Imports,New England-ISO,Total,524181.0,1.478293556E7,28.08
1992.0,Imports,New York,Ontario,37142.0,3654415.79,97.39
1992.0,Imports,New York,Québec,439931.0,2.429208045E7,28.00
1992.0,Imports,New York,Total,477073.0,2.794649624E7,33.41
1992.0,Imports,North Dakota,Saskatchewan,7275.0,1668783.96,18.05
1992.0,Imports,North Dakota,Total,7275.0,1668783.96,18.05
1992.0,Imports,Total,Alberta,2332.0,90299.08,38.72
1992.0,Imports,Total,British Columbia,520.3,20799.61,39.98
1992.0,Imports,Total,New Brunswick,56377.8,992032.37,17.50
1992.0,Imports,Total,Ontario,397477.2,1.378743973E7,34.59
1992.0,Imports,Total,Québec,1371710.0,6.064147187E7,28.73
1992.0,Imports,Total,Saskatchewan,7275.0,1668783.96,18.05
1992.0,Imports,Total,Total,1835692.3,7.720082662E7,29.63
1992.0,Imports,Vermont,Québec,407598.0,2.156645586E7,30.35
1992.0,Imports,Vermont,Total,407598.0,2.156645586E7,30.35
1992.0,Imports,Washington,Alberta,2332.0,90299.08,38.72
1992.0,Imports,Washington,British Columbia,291.0,7396.0,25.42
1992.0,Imports,Washington,Total,2623.0,97695.08,37.25
1993.0,Exports,British Columbia,Alaska,1321.62,79307.48,60.01
1993.0,Exports,British Columbia,California,19239.0,761283.99,39.57
1993.0,Exports,British Columbia,Montana,3040.0,120129.91,39.52
1993.0,Exports,British Columbia,Nevada,1049.0,34813.0,33.19
1993.0,Exports,British Columbia,Oregon,1081483.0,4.075661401E7,37.69
1993.0,Exports,British Columbia,Total,2907334.65,1.0645834482E8,36.62
1993.0,Exports,British Columbia,Washington,1801202.03,6.470619643E7,35.92
1993.0,Exports,Manitoba,Minnesota,6707833.041,1.8569408775E8,18.25
1993.0,Exports,Manitoba,North Dakota,1116260.0,1.864890172E7,15.94
1993.0,Exports,Manitoba,Total,7824093.041,2.0434298947E8,17.92
1993.0,Exports,New Brunswick,Maine,1014586.277,4.243619494E7,40.80
1993.0,Exports,New Brunswick,Massachusetts,763896.0,3.8002319E7,49.75
1993.0,Exports,New Brunswick,Total,1778482.277,8.043851394E7,44.64
1993.0,Exports,Ontario,Michigan,2419889.246,6.389626268E7,24.78
1993.0,Exports,Ontario,Minnesota,3040.0,77042.07,3.98
1993.0,Exports,Ontario,New York,2427506.708,6.004667749E7,24.53
1993.0,Exports,Ontario,Total,4964086.954,1.3160752148E8,24.63
1993.0,Exports,Ontario,Vermont,113651.0,7587539.24,24.14
1993.0,Exports,Québec,Maine,1227.91,89546.2,72.93
1993.0,Exports,Québec,New England-ISO,6454550.0,1.4182338755E8,21.97
1993.0,Exports,Québec,New York,3340709.0,9.524462072E7,24.74
1993.0,Exports,Québec,Total,1.170669491E7,3.3142667024E8,23.49
1993.0,Exports,Québec,Vermont,1910208.0,9.426911577E7,26.40
1993.0,Exports,Saskatchewan,North Dakota,183528.0,3452731.61,18.81
1993.0,Exports,Saskatchewan,Total,183528.0,3452731.61,18.81
1993.0,Exports,Total,Alaska,1321.62,79307.48,60.01
1993.0,Exports,Total,California,19239.0,761283.99,39.57
1993.0,Exports,Total,Maine,1015814.187,4.252574114E7,40.84
1993.0,Exports,Total,Massachusetts,763896.0,3.8002319E7,49.75
1993.0,Exports,Total,Michigan,2419889.246,6.389626268E7,24.78
1993.0,Exports,Total,Minnesota,6710873.041,1.8577112982E8,18.25
1993.0,Exports,Total,Montana,3040.0,120129.91,39.52
1993.0,Exports,Total,Nevada,1049.0,34813.0,33.19
1993.0,Exports,Total,New England-ISO,6454550.0,1.4182338755E8,21.97
1993.0,Exports,Total,New York,5768215.708,1.5529129821E8,24.65
1993.0,Exports,Total,North Dakota,1299788.0,2.210163333E7,16.35
1993.0,Exports,Total,Oregon,1081483.0,4.075661401E7,37.69
1993.0,Exports,Total,Total,2.9364219832E7,8.5772677156E8,24.75
1993.0,Exports,Total,Vermont,2023859.0,1.0185665501E8,26.28
1993.0,Exports,Total,Washington,1801202.03,6.470619643E7,35.92
1993.0,Imports,Maine,New Brunswick,73227.0,1860008.29,25.40
1993.0,Imports,Maine,Total,73227.0,1860008.29,25.40
1993.0,Imports,Michigan,Ontario,28735.9,646402.21,22.49
1993.0,Imports,Michigan,Total,28735.9,646402.21,22.49
1993.0,Imports,Minnesota,Manitoba,479604.0,7390219.38,15.41
1993.0,Imports,Minnesota,Ontario,42.0,1507.8,35.90
1993.0,Imports,Minnesota,Total,479646.0,7391727.18,15.41
1993.0,Imports,Montana,British Columbia,329.0,18899.62,57.45
1993.0,Imports,Montana,Total,329.0,18899.62,57.45
1993.0,Imports,New England-ISO,Québec,144027.0,3341151.11,23.20
1993.0,Imports,New England-ISO,Total,144027.0,3341151.11,23.20
1993.0,Imports,New York,Ontario,166069.0,7956228.46,47.91
1993.0,Imports,New York,Québec,55780.0,1.36615365E7,22.85
1993.0,Imports,New York,Total,221849.0,2.161776496E7,41.61
1993.0,Imports,North Dakota,Manitoba,130747.0,2078306.52,15.90
1993.0,Imports,North Dakota,Saskatchewan,101653.0,1901044.34,18.50
1993.0,Imports,North Dakota,Total,232400.0,3979350.86,17.04
1993.0,Imports,Total,Alberta,2468.52,116351.4,47.13
1993.0,Imports,Total,British Columbia,1081548.0,1.910961168E7,17.67
1993.0,Imports,Total,Manitoba,610351.0,9468525.9,15.51
1993.0,Imports,Total,New Brunswick,73227.0,1860008.29,25.40
1993.0,Imports,Total,Ontario,194846.9,8604138.47,44.16
1993.0,Imports,Total,Québec,627628.0,4.37187973E7,29.14
1993.0,Imports,Total,Saskatchewan,101653.0,1901044.34,18.50
1993.0,Imports,Total,Total,2691722.42,8.477847738E7,22.04
1993.0,Imports,Vermont,Québec,427821.0,2.671610969E7,31.96
1993.0,Imports,Vermont,Total,427821.0,2.671610969E7,31.96
1993.0,Imports,Washington,Alberta,2468.52,116351.4,47.13
1993.0,Imports,Washington,British Columbia,1081219.0,1.909071206E7,17.66
1993.0,Imports,Washington,Total,1083687.52,1.920706346E7,17.72
1994.0,Exports,British Columbia,Alaska,1308.72,89872.44,68.67
1994.0,Exports,British Columbia,Arizona,21.0,865.0,41.19
1994.0,Exports,British Columbia,California,145895.0,4129949.18,28.31
1994.0,Exports,British Columbia,Idaho,67315.0,2284975.27,33.94
1994.0,Exports,British Columbia,Nevada,6850.0,233123.0,34.03
1994.0,Exports,British Columbia,Oregon,1066362.0,4.309883564E7,40.42
1994.0,Exports,British Columbia,Total,4110642.747,1.4495255535E8,35.26
1994.0,Exports,British Columbia,Washington,2822891.027,9.511493482E7,33.69
1994.0,Exports,Manitoba,Minnesota,7779971.932,2.5928530108E8,20.89
1994.0,Exports,Manitoba,North Dakota,1074042.0,2.136640133E7,18.56
1994.0,Exports,Manitoba,Total,8854013.932,2.8065170241E8,20.61
1994.0,Exports,New Brunswick,Maine,1998603.518,7.016294013E7,34.60
1994.0,Exports,New Brunswick,Massachusetts,339354.0,1.7342112E7,51.10
1994.0,Exports,New Brunswick,Total,2337957.518,8.750505213E7,36.99
1994.0,Exports,Ontario,Massachusetts,14685.0,349798.43,23.82
1994.0,Exports,Ontario,Michigan,6910249.852,1.8906991252E8,23.89
1994.0,Exports,Ontario,Minnesota,75565.0,1906087.7,23.87
1994.0,Exports,Ontario,New England-ISO,103667.0,2481265.86,6.31
1994.0,Exports,Ontario,New York,5221132.791,1.4917832854E8,26.23
1994.0,Exports,Ontario,Pennsylvania,141341.0,4261167.3,30.15
1994.0,Exports,Ontario,Total,1.2663470643E7,3.5137216183E8,24.74
1994.0,Exports,Ontario,Vermont,196830.0,4125601.48,20.96
1994.0,Exports,Québec,Maine,1449.95,105186.09,72.54
1994.0,Exports,Québec,New England-ISO,6972110.0,1.6632096192E8,23.86
1994.0,Exports,Québec,New York,7750299.0,1.9314607482E8,23.36
1994.0,Exports,Québec,Total,1.683438995E7,4.6371061377E8,24.05
1994.0,Exports,Québec,Vermont,2110531.0,1.0413839094E8,27.15
1994.0,Exports,Saskatchewan,North Dakota,21406.0,430992.18,20.13
1994.0,Exports,Saskatchewan,Total,21406.0,430992.18,20.13
1994.0,Exports,Total,Alaska,1308.72,89872.44,68.67
1994.0,Exports,Total,Arizona,21.0,865.0,41.19
1994.0,Exports,Total,California,145895.0,4129949.18,28.31
1994.0,Exports,Total,Idaho,67315.0,2284975.27,33.94
1994.0,Exports,Total,Maine,2000053.468,7.026812622E7,34.62
1994.0,Exports,Total,Massachusetts,354039.0,1.769191043E7,49.97
1994.0,Exports,Total,Michigan,6910249.852,1.8906991252E8,23.89
1994.0,Exports,Total,Minnesota,7855536.932,2.6119138878E8,20.92
1994.0,Exports,Total,Nevada,6850.0,233123.0,34.03
1994.0,Exports,Total,New England-ISO,7075777.0,1.6880222778E8,23.60
1994.0,Exports,Total,New York,1.2971431791E7,3.4232440336E8,24.52
1994.0,Exports,Total,North Dakota,1095448.0,2.179739351E7,18.59
1994.0,Exports,Total,Oregon,1066362.0,4.309883564E7,40.42
1994.0,Exports,Total,Pennsylvania,141341.0,4261167.3,30.15
1994.0,Exports,Total,Total,4.482188079E7,1.32862307767E9,25.27
1994.0,Exports,Total,Vermont,2307361.0,1.0826399242E8,26.62
1994.0,Exports,Total,Washington,2822891.027,9.511493482E7,33.69
1994.0,Imports,Maine,New Brunswick,40429.0,1324664.19,32.77
1994.0,Imports,Maine,Total,40429.0,1324664.19,32.77
1994.0,Imports,Michigan,Ontario,1172.2,9897.85,8.44
1994.0,Imports,Michigan,Total,1172.2,9897.85,8.44
1994.0,Imports,Minnesota,Manitoba,112872.0,1809928.42,16.04
1994.0,Imports,Minnesota,Total,112872.0,1809928.42,16.04
1994.0,Imports,Montana,British Columbia,180.7,13116.17,72.59
1994.0,Imports,Montana,Total,180.7,13116.17,72.59
1994.0,Imports,New England-ISO,Québec,8174.0,162891.66,19.93
1994.0,Imports,New England-ISO,Total,8174.0,162891.66,19.93
1994.0,Imports,New York,Ontario,183619.0,8207644.49,44.70
1994.0,Imports,New York,Québec,6032.0,166603.84,27.62
1994.0,Imports,New York,Total,189651.0,8374248.33,44.16
1994.0,Imports,North Dakota,Manitoba,45225.0,665411.86,14.71
1994.0,Imports,North Dakota,Saskatchewan,78723.0,1385954.58,11.87
1994.0,Imports,North Dakota,Total,123948.0,2051366.44,12.91
1994.0,Imports,Total,Alberta,2768.08,142815.7,51.59
1994.0,Imports,Total,British Columbia,22950.7,604371.42,26.33
1994.0,Imports,Total,Manitoba,158097.0,2475340.28,15.66
1994.0,Imports,Total,New Brunswick,40429.0,1324664.19,32.77
1994.0,Imports,Total,Ontario,184791.2,8217542.34,44.47
1994.0,Imports,Total,Québec,453455.0,2.971293127E7,34.39
1994.0,Imports,Total,Saskatchewan,78723.0,1385954.58,11.87
1994.0,Imports,Total,Total,941213.98,4.386361978E7,31.12
1994.0,Imports,Vermont,Québec,439249.0,2.938343577E7,34.75
1994.0,Imports,Vermont,Total,439249.0,2.938343577E7,34.75
1994.0,Imports,Washington,Alberta,2768.08,142815.7,51.59
1994.0,Imports,Washington,British Columbia,22770.0,591255.25,25.97
1994.0,Imports,Washington,Total,25538.08,734070.95,28.74
1995.0,Exports,British Columbia,Alaska,1101.82,58314.42,52.93
1995.0,Exports,British Columbia,California,46268.0,1220634.24,26.38
1995.0,Exports,British Columbia,Idaho,2798.0,52631.13,18.81
1995.0,Exports,British Columbia,Missouri,450.0,6075.0,13.50
1995.0,Exports,British Columbia,Oregon,827764.0,3.430920289E7,41.45
1995.0,Exports,British Columbia,Total,1761849.561,6.257543969E7,35.50
1995.0,Exports,British Columbia,Washington,883467.741,2.692858201E7,30.45
1995.0,Exports,Manitoba,Minnesota,8460212.223,2.6532540061E8,19.59
1995.0,Exports,Manitoba,North Dakota,678897.0,1.453908668E7,18.78
1995.0,Exports,Manitoba,Total,9139109.223,2.7986448729E8,19.53
1995.0,Exports,New Brunswick,Maine,3344934.051,1.1579377135E8,34.31
1995.0,Exports,New Brunswick,Total,3344934.051,1.1579377135E8,34.31
1995.0,Exports,Ontario,Massachusetts,293522.0,6110745.06,20.82
1995.0,Exports,Ontario,Michigan,5800610.852,1.5359173061E8,21.94
1995.0,Exports,Ontario,Minnesota,128721.0,4037729.94,27.49
1995.0,Exports,Ontario,New England-ISO,559285.0,1.300423367E7,2.25
1995.0,Exports,Ontario,New York,2326380.854,5.749872319E7,22.97
1995.0,Exports,Ontario,Pennsylvania,11867.0,427200.81,36.00
1995.0,Exports,Ontario,Total,9195141.706,2.3659619777E8,21.09
1995.0,Exports,Ontario,Vermont,74755.0,1925834.49,25.47
1995.0,Exports,Québec,Maine,1013.755,74815.33,73.80
1995.0,Exports,Québec,Massachusetts,220684.0,5256196.07,23.53
1995.0,Exports,Québec,New England-ISO,7097666.0,1.6612487703E8,21.35
1995.0,Exports,Québec,New York,6675568.0,1.7325834666E8,24.21
1995.0,Exports,Québec,Pennsylvania,10758.0,291180.9,27.07
1995.0,Exports,Québec,Total,1.7048612755E7,4.8815916668E8,22.82
1995.0,Exports,Québec,Vermont,3042923.0,1.4315375069E8,23.10
1995.0,Exports,Saskatchewan,North Dakota,106494.0,1759317.63,16.52
1995.0,Exports,Saskatchewan,Total,106494.0,1759317.63,16.52
1995.0,Exports,Total,Alaska,1101.82,58314.42,52.93
1995.0,Exports,Total,California,46268.0,1220634.24,26.38
1995.0,Exports,Total,Idaho,2798.0,52631.13,18.81
1995.0,Exports,Total,Maine,3345947.806,1.1586858668E8,34.32
1995.0,Exports,Total,Massachusetts,514206.0,1.136694113E7,21.98
1995.0,Exports,Total,Michigan,5800610.852,1.5359173061E8,21.94
1995.0,Exports,Total,Minnesota,8588933.223,2.6936313055E8,19.71
1995.0,Exports,Total,Missouri,450.0,6075.0,13.50
1995.0,Exports,Total,New England-ISO,7656951.0,1.791291107E8,19.96
1995.0,Exports,Total,New York,9001948.854,2.3075706985E8,23.89
1995.0,Exports,Total,North Dakota,785391.0,1.629840431E7,18.47
1995.0,Exports,Total,Oregon,827764.0,3.430920289E7,41.45
1995.0,Exports,Total,Pennsylvania,22625.0,718381.71,31.75
