Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2010,1018,Canadian Gypsum Canada INC.,Hagersvile Plant (066),Hagersville,327420,51259.0,0.0,21.0,279.0,0.0,0.0,0.0,,51560,51560.0,,
2010,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,562025.0,0.0,3011.0,4445.0,0.0,0.0,0.0,,569481,569481.0,,
2010,1020,Carmeuse Lime (Canada) Limited,Beachville Operation,Ingersoll,327410,469891.0,0.0,285.0,419.0,0.0,0.0,0.0,,470596,470596.0,,
2010,1021,Carmeuse Lime (Canada) Limited,Dundas Facility,Dundas,327410,405609.0,0.0,77.0,762.0,0.0,0.0,0.0,,406449,406449.0,,
2010,1022,Carmeuse Lime (Canada) Limited,Northern,Blind River,327410,90743.0,0.0,63.0,703.0,0.0,0.0,0.0,,91510,91510.0,,
2010,1023,Cascades Canada Inc.,Norampac Trenton a Division of Cascades Canada Inc.,Trenton,322121,55354.0,12486.0,37.0,383.0,0.0,0.0,0.0,,68260,55774.0,,
2010,1024,Certainteed Gypsum Canada,Mississauga Wallboard Plant,Mississauga,327420,25028.0,0.0,10.0,136.0,0.0,0.0,0.0,,25175,25175.0,,
2010,1025,Chrysler Canada,Brampton Assembly Plant,Brampton,336110,71177.0,0.0,29.0,388.0,0.0,0.0,0.0,,71594,71594.0,,
2010,1026,Chrysler Canada Inc.,Windsor Assembly Plant,Windsor,336110,37256.0,0.0,15.0,203.0,0.0,0.0,0.0,,37475,37475.0,,
2010,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,0.0,45396.0,191.0,282.0,0.0,0.0,0.0,,45871,475.0,,
2010,1028,City of Sault Ste. Marie,East Wastewater Treatment Plant,Sault Ste. Marie,221320,878.0,0.0,0.0,1050.0,0.0,0.0,0.0,,1928,1928.0,,
2010,1029,"Clean Harbors Canada, Inc.","Clean Harbors Canada, Inc",Corunna,562210,55524.0,0.0,1306.0,2571.0,0.0,0.0,0.0,,59402,59402.0,,
2010,1030,Columbian Chemicals Canada LLC,Hamilton,Hamilton,325189,198280.0,0.0,0.0,0.0,0.0,0.0,0.0,,198280,198280.0,,
2010,1032,Domtar Inc.,Dryden Operations,Dryden,322112,47985.0,798638.0,600.0,6299.0,0.0,342.0,0.0,,853865,55227.0,,
2010,1033,Domtar Inc.,Espanola Mill,Espanola,322121,85007.0,1118721.0,1748.0,15080.0,0.0,17396.0,0.0,,1237952,119231.0,,
2010,1034,Dyno Nobel Nitrogen Inc.,Maitland,Maitland,325313,12080.0,0.0,2854.0,4819.0,0.0,0.0,0.0,,19752,19752.0,,
2010,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,124285.0,0.0,681.0,1005.0,0.0,0.0,0.0,,125971,125971.0,,
2010,1036,Eastern Power Ltd.,Brock West Landfill Gas Power Plant,Pickering,221119,13413.0,7714.0,107.0,171.0,0.0,0.0,0.0,,21405,13691.0,,
2010,1037,Eastern Power Ltd.,Keele Valley Landfill Gas Power Plant,Vaughan,221119,7361.0,144128.0,647.0,961.0,0.0,0.0,0.0,,153097,8969.0,,
2010,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,19413.0,0.0,413.0,161.0,0.0,0.0,0.0,,19988,19988.0,,
2010,1039,Enwave District Energy,Pearl Street Steam Plant,Toronto,221330,46827.0,0.0,256.0,378.0,0.0,0.0,0.0,,47463,47463.0,,
2010,1040,Enwave District Energy,Walton Street Steam Plant,Toronto,221330,138680.0,0.0,759.0,1123.0,0.0,0.0,0.0,,140562,140562.0,,
2010,1041,Essar Power Canada Ltd,Essar Power Canada Ltd,Sault Ste. Marie,221119,1505330.0,0.0,12684.0,4030.0,0.0,0.0,0.0,,1522044,1522044.0,,
2010,1042,Essar Steel Algoma Inc,Essar Steel Algoma Inc,Sault Ste. Marie,331110,2651023.0,0.0,3235.0,1883.0,0.0,0.0,0.0,,2656141,2656141.0,,
2010,1043,Essroc Canada Inc,Picton Plant,Picton,327310,603273.0,0.0,0.0,0.0,0.0,0.0,0.0,,603273,603273.0,,
2010,1044,Fanshawe College of Applied Arts and Technology,Fanshawe College of Applied Arts and Technology,London,611210,3123.0,0.0,1.0,19.0,0.0,0.0,0.0,,3143,3143.0,,
2010,1045,Federal White Cement Ltd.,Federal White Plant,Woodstock,327310,314616.0,0.0,3.0,36.0,0.0,0.0,0.0,,314655,314655.0,,
2010,1047,Ford Motor of Canada,Oakville Assembly Plant,Oakville,336110,75837.0,0.0,32.0,424.0,0.0,0.0,0.0,,76294,76294.0,,
2010,1048,Ford Motor of Canada,St. Thomas Assembly Plant,ST. Thomas,336110,48429.0,0.0,20.0,264.0,0.0,0.0,0.0,,48713,48713.0,,
2010,1049,Fort Chicago District Energy Ltd.,London District Energy,London,221330,39310.0,0.0,215.0,318.0,0.0,0.0,0.0,,39844,39844.0,,
2010,1050,Galvcast Manufacturing Inc.,Galvcast Plants,Acton,332810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,
2010,1051,Tractebel Canada Inc.,West Windsor Power,Windsor,221112,368214.0,0.0,2017.0,2978.0,0.0,0.0,0.0,,373210,373210.0,,
2010,1052,General Motors of Canada Limited,CAMI AUTOMOTIVE INC,Ingersoll,336110,37114.0,0.0,15.0,202.0,0.0,0.0,0.0,,37332,37332.0,,
2010,1053,General Motors of Canada Limited,Oshawa Car Assembly Plant,Oshawa,336110,130016.0,0.0,385.0,522.0,0.0,0.0,0.0,,130924,130924.0,,
2010,1054,Gerdau Ameristeel,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,31623.0,5212.0,31.0,128.0,0.0,0.0,0.0,,36996,31784.0,,
2010,1055,Gerdau AmeriSteel Whitby,Gerdau AmeriSteel Whitby,Whitby,331110,83331.0,0.0,4.0,693.0,0.0,0.0,0.0,,84028,84028.0,,
2010,1056,Goldcorp Canada Ltd.,Musselwhite Mine,Thunder Bay,212220,16892.0,0.0,0.0,0.0,0.0,0.0,0.0,,16892,16892.0,,
2010,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,1209758.0,0.0,6625.0,9781.0,0.0,0.0,0.0,,1226165,1226165.0,,
2010,1059,"Greenfield Energy Centre, LP",Greenfield Energy Centre,Courtright,221112,980547.0,0.0,5370.0,7927.0,0.0,0.0,0.0,,993844,993844.0,,
2010,1060,Greenfield Ethanol Inc.,Chatham Facility,Chatham,325190,143647.0,0.0,176.0,601.0,0.0,0.0,0.0,,144424,144424.0,,
2010,1061,Greenfield Ethanol Inc.,Greenfield Johnstown Limited Partnership,Prescott,325190,88144.0,0.0,35.0,146.0,0.0,0.0,0.0,,88326,88326.0,,
2010,1062,H. J. Heinz of Canada,Heinz Leamington Facility,Leamington,311420,63329.0,0.0,26.0,344.0,0.0,0.0,0.0,,63699,63699.0,,
2010,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamilton,622112,35611.0,0.0,15.0,205.0,0.0,0.0,0.0,,35831,35831.0,,
2010,1064,Hamilton Specialty Bar (2007) Inc.,Hamilton Specialty Bar,Hamilton,331110,9468.0,0.0,0.0,0.0,0.0,0.0,0.0,,9468,9468.0,,
2010,1066,Hanson Brick,Hanson Brick - Burlington,Burlington,327990,44731.0,0.0,13.0,166.0,0.0,0.0,0.0,,44910,44910.0,,
2010,1067,Hiram Walker & Sons,Pike Creek,Maidstone Township,493190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,
2010,1068,Hiram Walker & Sons,Walkerville,Windsor,312140,53853.0,0.0,22.0,295.0,0.0,0.0,0.0,,54170,54170.0,,
2010,1069,Holcim (Canada) inc.,Mississauga Plant,Mississauga,327310,1084571.0,0.0,0.0,0.0,0.0,0.0,0.0,,1084571,1084571.0,,
2010,1070,Honda of Canada,Alliston Plant 1,Alliston,336110,43879.0,0.0,18.0,239.0,0.0,0.0,0.0,,44137,44137.0,,
2010,1071,"Howmet Georgetown Casting, a div. of Alcoa Inc.",Howmet Georgetown Casting,Georgetown,331529,760.0,0.0,0.0,0.0,0.0,0.0,0.0,,760,0.0,,
2010,1072,Imperial Oil,Nanticoke Refinery,Nanticoke,324110,1058076.0,0.0,4867.0,4387.0,0.0,1.0,0.0,,1067330,1067330.0,,
2010,1073,Imperial Oil,Sarnia Chemical Plant,Sarnia,325110,253500.0,0.0,1077.0,1398.0,0.0,0.0,0.0,,255975,255975.0,,
2010,1074,Imperial Oil,Sarnia Refinery Plant,Sarnia,324110,1270430.0,0.0,12042.0,5321.0,0.0,0.0,0.0,,1287792,1287792.0,,
2010,1075,Canada Starch Operating Company Inc.,Casco Inc. - Cardinal Plant,Cardinal,311221,26253.0,2742.0,11.0,143.0,0.0,0.0,0.0,,29149,26407.0,,
2010,1076,Canada Starch Operating Company Inc.,London Plant,London,311221,121132.0,2414.0,72.0,702.0,0.0,0.0,0.0,,124320,121906.0,,
2010,1077,Canada Starch Operating Company Inc.,Port Colborne,Port Colborne,311221,76449.0,0.0,32.0,416.0,0.0,0.0,0.0,,76897,76897.0,,
2010,1078,Innophos Canada Inc.,Port Maitland Plant,Lowbanks,325189,32760.0,0.0,8.0,102.0,0.0,0.0,0.0,,32870,32870.0,,
2010,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol,Aylmer,325190,62210.0,104.0,26.0,339.0,0.0,0.0,0.0,,62679,62575.0,,
2010,1080,Interlake Paper,Interlake Paper,St. Catharines,322121,29137.0,0.0,12.054,158.72,0.0,0.0,0.0,,29308,29308.0,,
2010,1081,INVISTA (Canada) Company,Kingston Site,Kingston,325220,85494.0,0.0,35.0,465.0,0.0,0.0,0.0,,85995,85995.0,,
2010,1082,INVISTA (Canada) Company,INVISTA (Canada) Company - Maitland Site,Maitland,325190,222576.0,0.0,75.0,989.0,0.0,0.0,0.0,,223640,223640.0,,
2010,1083,Irving Tissue,Weston Plant,Toronto,322121,51057.0,0.0,21.0,278.0,0.0,0.0,0.0,,51357,51357.0,,
2010,1084,Ivaco Rolling Mills 2004 Limited Partnership,Ivaco Rolling Mills,L'Orignal,331110,72580.0,0.0,22.0,289.0,0.0,0.0,0.0,,72891,72891.0,,
2010,1085,Jungbunzlauer Canada Inc.,Jungbunzlauer Canada Inc.,Port Colborne,325190,63134.0,0.0,26.0,344.0,0.0,0.0,0.0,,63504,63504.0,,
2010,1086,Labatt Breweries of Canada,London Brewery,London,312120,26439.0,0.0,11.0,144.0,0.0,0.0,0.0,,26594,26594.0,,
2010,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,731013.0,0.0,0.0,0.0,0.0,0.0,0.0,,731013,731013.0,,
2010,1088,Liberty Mines Inc.,McWatters,South Porcupine,212232,0.0,0.0,0.0,11826.0,0.0,0.0,0.0,,11827,11827.0,,
2010,1089,Liberty Mines,Redstone Mines,South Porcupine,212232,0.0,0.0,0.0,11826.0,0.0,0.0,0.0,,11827,11827.0,,
2010,1090,London Health Science Centre,London Health Science Centre,London,622111,36876.0,0.0,15.0,216.0,0.0,0.0,0.0,,37108,37108.0,,
2010,1091,Rothsay,Moorefield Site,Moorefield,311614,26262.0,0.0,11.0,143.0,0.0,0.0,0.0,,26416,26416.0,,
2010,1094,New Forest Paper Mills LP,New Forest Paper Mills LP,Scarborough,322130,52533.0,0.0,22.0,286.0,0.0,0.0,0.0,,52842,52842.0,,
2010,1095,Northland Power Inc.,Cochrane Generating Station,Cochrane,221112,112948.0,161123.0,659.0,1147.0,0.0,0.0,0.0,,275878,114755.0,,
2010,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,321048.0,0.0,1788.0,2640.0,0.0,0.0,0.0,,325477,325477.0,,
2010,1097,Kingston Cogen Limited Partnership,NPIF Kingston CoGen Corp (formerly AES Kingston ULC),Bath,221112,331997.0,0.0,1820.0,2688.0,0.0,0.0,0.0,,336505,336505.0,,
2010,1098,Northland Power Inc.,Kirkland Lake Generating Station,Kirkland Lake,221112,321527.0,151200.0,1798.0,2819.0,0.0,0.0,0.0,,477345,326145.0,,
2010,1099,Northland Power Inc.,Thorold Cogen Generating Station,Thorold,221112,305456.0,259601.0,1783.0,2632.0,0.0,0.0,0.0,,569472,309871.0,,
2010,1100,NOVA Chemicals (Canada) Ltd.,NOVA Chemicals - Corunna Site,Corunna,325110,1451871.0,0.0,919.0,6984.0,0.0,0.0,0.0,,1459775,1459775.0,,
2010,1101,NOVA Chemicals (Canada),Moore Site,Mooretown,325210,56229.0,0.0,39.0,269.0,0.0,0.0,0.0,,56538,56538.0,,
2010,1102,NOVA Chemicals  (Canada) Ltd.,St. Clair River Site,Corunna,325210,72421.0,0.0,88.0,372.0,0.0,0.0,0.0,,72881,72881.0,,
2010,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,60389.0,0.0,208.0,10540.0,0.0,0.0,0.0,,71137,71137.0,,
2010,1104,Ontario Power Generation,Atikokan Generating Station,Atikokan,221112,497708.0,0.0,377.0,3097.0,0.0,0.0,0.0,,501183,501183.0,,
2010,1105,Ontario Power Generation,Lambton Generating Station,Courtright,221112,3288363.0,0.0,28426.0,12090.0,0.0,4.0,0.0,,3328883,3328883.0,,
2010,1106,Ontario Power Generation,Lennox Generating Station,Greater Napanee,221112,120058.0,0.0,470.0,884.0,0.0,0.0,0.0,,121412,121412.0,,
2010,1107,Ontario Power Generation,Nanticoke Generating Station,Nanticoke,221112,8538600.0,0.0,11461.0,43594.0,0.0,0.0,0.0,,8593656,8593656.0,,
2010,1108,Ontario Power Generation,Thunder Bay Generating Station,Thunder Bay,221112,264779.0,0.0,81.0,1469.0,0.0,0.0,0.0,,266330,266330.0,,
2010,1109,Oxy Vinyls Canada Co.,Niagara PVC Plant,Thorold,325210,28240.0,0.0,24.0,2413.0,0.0,0.0,0.0,,30678,30678.0,,
2010,1111,Petro-Canada,Mississauga Lubricant Center,Mississauga,324190,364917.0,0.0,623.0,2039.0,0.0,0.0,0.0,,367579,343915.0,,
2010,1113,BP Canada Energy Company,Sarnia Fractionation Plant,Sarnia,211113,138808.0,0.0,57.0,753.0,0.0,0.0,0.0,,139619,139619.0,,
2010,1114,Plasco Trail Road,Plasco Trail Road,Ottawa,221119,3108.0,3920.0,21.0,95.0,0.0,0.0,0.0,,7145,3225.0,,
2010,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,457270.0,0.0,2496.0,3701.0,0.0,0.0,0.0,,463467,463467.0,,
2010,1117,Queen's University,Queen's University,Kingston,611310,41580.0,0.0,17.0,245.0,0.0,0.0,0.0,,41842,41842.0,,
2010,1118,Redpath Sugar Ltd (former Tate & Lyle Canada),Toronto Refinery,Toronto,311310,69861.0,0.0,29.0,418.0,0.0,0.0,0.0,,70310,66110.0,,
2010,1119,AbiBow Canada Inc.,Fort Frances Division,Fort Frances,322121,145622.0,944852.0,6405.0,15190.0,0.0,0.0,0.0,,1112069,167217.0,,
2010,1120,AbiBow Canada Inc.,Thunder Bay,Thunder Bay,322112,42360.0,956559.0,6468.0,14880.0,0.0,0.0,0.0,,1020267,63708.0,,
2010,1121,Roxul Inc.,Roxul Inc.,Milton,327990,38336.0,0.0,8.0,84.0,0.0,0.0,0.0,,38429,38429.0,,
2010,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,31843.0,0.0,4.0,125.0,0.0,0.0,0.0,,31973,31973.0,,
2010,1123,Sanofi Pasteur Limited,Connaught Campus,Toronto,325410,49.0,0.0,269.0,397.0,0.0,0.0,0.0,,716,716.0,,
2010,1124,Sault Ste. Marie Waste Water Treatment Plant,West End Water Pollution Control Plant,Sault Ste. Marie,221320,293.0,0.0,0.0,532.0,0.0,0.0,0.0,,826,826.0,,
2010,1125,Shell Canada Products,Sarnia Manufacturing Centre,Corunna,324110,759474.0,0.0,312.0,7381.0,0.0,0.0,0.0,,767168,767168.0,,
2010,1126,Sonoco Flexible Packaging Canada Corp,Brantford,Brantford,322130,27109.0,0.0,11.0,148.0,0.0,0.0,0.0,,27268,27268.0,,
2010,1127,Sonoco Flexible Packaging Canada Corp,Trent Valley Mill,Trenton,322130,40522.0,0.0,17.0,221.0,0.0,0.0,0.0,,40759,40759.0,,
2010,1128,"St. Clair Power, LP",St. Clair Energy Center,Corunna,221112,357609.0,0.0,1959.0,2894.0,0.0,0.0,0.0,,362462,362462.0,,
2010,1129,St. Marys Cement Inc.,Bowmanville Plant,Bowmanville,327310,1104370.0,0.0,335.0,996.0,0.0,0.0,0.0,,1105702,1105702.0,,
2010,1130,St. Marys Cement Inc.,St. Marys Plant,St. Marys,327310,542380.0,0.0,156.0,456.0,0.0,0.0,0.0,,542993,542993.0,,
2010,1131,"Strathcona Paper GP INC,",Strathcona Paper LP,Napanee,322130,30592.0,0.0,14.0,166.0,0.0,0.0,0.0,,30772,30772.0,,
2010,1132,INEOS NOVA Ltd.,INEOS NOVA Ltd. - Sarnia Site,Sarnia,325110,142383.0,0.0,317.0,549.0,0.0,0.0,0.0,,143249,143249.0,,
2010,1133,Suncor Energy Products Inc.,Sarnia Refinery,Sarnia,324110,627996.0,0.0,8920.0,3938.0,0.0,0.0,0.0,,640854,640854.0,,
2010,1134,Suncor Energy Products,St. Clair Ethanol Plant,Mooretown,325190,81756.0,0.0,44.0,443.0,0.0,0.0,0.0,,82245,82245.0,,
2010,1136,Tenaris Algoma Tubes,Sault Ste. Marie,Sault Ste. Marie,331210,87612.0,0.0,35.0,495.0,0.0,0.0,0.0,,88142,88142.0,,
2010,1137,Terra International (Canada) Inc.,Terra Nitrogen,Courtright,325313,715026.0,0.0,75.0,76328.0,0.0,0.0,0.0,,791430,715737.0,,
2010,1138,Terrace Bay Pulp Inc.,Terrace Bay Pulp,Terrace Bay,322112,22035.0,209500.0,1290.0,3413.0,0.0,0.0,0.0,,236238,26738.0,,
2010,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,32781.0,0.0,14.0,188.0,0.0,0.0,0.0,,32983,32983.0,,
2010,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Cambridge),Cambridge,336110,57223.0,0.0,24.0,313.0,0.0,0.0,0.0,,57561,57561.0,,
2010,1141,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada (Woodstock),Woodstock,336110,35915.0,0.0,15.0,196.0,0.0,0.0,0.0,,36126,36126.0,,
2010,1142,TransAlta Cogeneration LP,Mississauga Cogeneration Plant,Mississauga,221112,371977.0,0.0,502.0,2863.0,0.0,0.0,0.0,,375342,375342.0,,
2010,1143,TransAlta Cogeneration LP,Ottawa Health Sciences Center Cogeneration Plant,Ottawa,221112,225978.0,0.0,323.0,1774.0,0.0,0.0,0.0,,228076,228076.0,,
2010,1144,TransAlta Energy Corporation,Sarnia Regional Cogeneration Plant,Sarnia,221112,1225333.0,0.0,1750.0,9615.0,0.0,0.0,0.0,,1236698,1236698.0,,
2010,1145,TransAlta Cogeneration LP,Windsor Essex Cogeneration Plant,Windsor,221112,207058.0,0.0,287.0,1608.0,0.0,0.0,0.0,,208953,208953.0,,
2010,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,397033.0,0.0,2175.0,3211.0,0.0,0.0,0.0,,402419,402419.0,,
2010,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline System, Ontario",Kenora,486210,525343.0,0.0,11156.0,4335.0,0.0,0.0,0.0,,540834,540834.0,,
2010,1148,U.S. Steel Canada Inc.,Hamilton Steel (formerly Stelco Hamilton),Hamilton,331110,2592777.36,0.0,18243.0234,816.602,0.0,0.0,0.0,,2611837,2611837.0,,
2010,1149,U.S. Steel Canada Inc.,Lake Erie Steel (formerly Stelco Lake Erie),Haldimand County,331110,1714842.0,0.0,25998.504,1062.68,0.0,0.0,0.0,,1741904,1741904.0,,
2010,1150,Union Gas Limited,Natural Gas Distribution System - Union Gas - Union Gas,Chatham,221210,308346.0,0.0,6552.0,2480.0,0.0,0.0,0.0,,317378,317378.0,,
2010,1151,University of Guelph,Guelph Campus,Guelph,611310,43630.0,0.0,18.0,251.0,0.0,0.0,0.0,,43900,43900.0,,
2010,1152,University of Toronto,St. George Campus,Toronto,611310,84988.0,0.0,466.0,687.0,0.0,0.0,0.0,,86141,86141.0,,
2010,1153,University of Western Ontario,University of Western Ontario,London,611310,51016.0,32.0,21.0,295.0,0.0,0.0,0.0,,51364,51332.0,,
2010,1154,Vale Inco Ltd.,Copper Cliff Nickel Refinery,Copper Cliff,331410,50966.0,0.0,19.0,240.0,0.0,0.0,0.0,,51225,51225.0,,
2010,1155,Vale Inco Ltd.,Copper Cliff Smelter,Copper Cliff,331410,196772.0,0.0,82.0,1081.0,0.0,0.0,0.0,,197936,197936.0,,
2010,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,189252.0,0.0,294.0,1516.0,0.0,0.0,0.0,,191063,191063.0,,
2010,1157,Xstrata Canada,Kidd Metallurgical Site,Timmins,212233,75323.0,0.0,30.0,406.0,0.0,0.0,0.0,,75759,75759.0,,
2010,1158,Xstrata Canada Corporation,Xstrata Nickel Sudbury Smelter,Falconbridge,212232,113786.0,0.0,12.0,163.0,0.0,0.0,0.0,,113962,113962.0,,
2010,1159,York University,Keele Campus,Toronto,611310,50514.0,0.0,206.0,369.0,0.0,650.0,0.0,,51739,51739.0,,
2010,1161,Imperial Oil,Sarnia Cogen Plant,Sarnia,221112,362443.0,0.0,622.0,2806.0,0.0,0.0,0.0,,365871,365871.0,,
2010,1165,University of Windsor,University of Windsor,Windsor,611310,27038.3,0.0,11.13,155.0,0.0,0.0,0.0,,27205,27205.0,,
2011,1001,ADM Agri-Industries,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,311224,68646.396,0.0,28.3926,373.5934,0.0,0.0,0.0,,69049,69049.0,69049.0,SGS- United Kingdom Ltd
2011,1002,Air Products Canada Ltd.,Corunna Hydrogen Facility,Corunna,325120,433587.51,0.0,0.1302,0.186,0.0,0.0,0.0,,433588,433588.0,433588.0,Conestoga-Rovers & Associates Limited (CRA)
2011,1003,Algonquin Power Energy From Waste Inc.,Algonquin Power  Energy from Waste Inc.,Brampton,562210,73423.55,79943.44,1041.81,1212.1,0.0,0.0,0.0,,155621,75677.0,75677.0,Conestoga-Rovers & Associates Limited (CRA)
2011,1004,Collingwood Ethanol LP,Collingwood Ethanol,Collingwood,325190,26963.0,0.0,0.0,0.0,0.0,0.0,0.0,,26963,26963.0,26963.0,Conestoga-Rovers & Associates Limited (CRA)
2011,1005,ArcelorMittal Dofasco Inc.,Dofasco Hamilton,Hamilton,331110,5212989.417,0.0,22209.1086,8620.666,0.0,0.0,0.0,,5243820,5243820.0,5243820.0,Ernst & Young LLP
2011,1006,Atlantic Packaging Products Ltd.,111 Progress,Scarborough,322130,52033.0,14012.0,21.525,283.34,0.0,0.0,0.0,,66350,52338.0,52338.0,Ernst & Young LLP
2011,1007,Atlantic Power LP,Kapuskasing Power Plant,Kapuskasing,221112,128327.3749,0.0,702.987,1046.6676,0.0,0.0,0.0,,130078,130078.0,130078.0,Stantec Consulting Ltd.
2011,1008,Atlantic Power LP,Nipigon Power Plant,Nipigon,221112,99908.0,0.0,547.3045,814.8741,0.0,0.0,0.0,,101271,101271.0,101271.0,Stantec Consulting Ltd.
2011,1009,Atlantic Power LP,North Bay,North Bay,221112,126571.01,0.0,693.3654,1032.3425,0.0,0.0,0.0,,128297,128297.0,128297.0,Stantec Consulting Ltd.
2011,1010,Atlantic Power LP,Tunis Power Plant,Tunis,221112,97309.84,0.0,533.0705,793.6815,0.0,0.0,0.0,,98637,98637.0,98637.0,Stantec Consulting Ltd.
2011,1011,Brampton Brick Limited,Brampton Brick,Brampton,327120,52759.0,0.0,11.55,151.9,0.0,0.0,0.0,,52923,52923.0,52923.0,Stantec Consulting Ltd.
2011,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,153117.1863,0.0,838.7883,1238.202,0.0,0.0,0.0,,155195,155195.0,155195.0,Conestoga-Rovers & Associates Limited (CRA)
2011,1013,Brock University,University/Power Generation Facility,St. Catharines,221112,26703.0,0.0,128.1,341.0,0.0,0.0,0.0,,27173,27173.0,27173.0,Conestoga-Rovers & Associates Limited (CRA)
