Authority Name,Fiscal Year End Date,Loans,Loan Fund Sources,Recipient Name,Recipient City,Recipient State,Recipient Postal Code,Date Loan Awarded,Original Loan Amount,Interest Rate,Loan Length,Amount Repaid,Loan Purpose,New Jobs,Jobs Planned,Jobs Created,Loan Terms Completed
Hudson Yards Infrastructure Corporation,06/30/2011,No,,,,,,,,,,,,,,,
Potsdam Community Development Corporation,05/31/2011,,Municipal,St. Lawrnce Chocolates,POTSDAM,NY,13676,11/10/2010,35000.0,5.0,7.0,3918.4,Business Expansion/Startup,Yes,1.0,1.0,Yes
Potsdam Community Development Corporation,05/31/2011,,Municipal,"The Farago, Inc.",POTSDAM,NY,13676,03/01/2011,35500.0,5.0,5.0,3164.89,Business Expansion/Startup,Yes,1.0,1.0,No
New York City Capital Resource Corporation,06/30/2011,No,,,,,,,,,,,,,,,
Community Fund for Manhattan,06/30/2011,No,,,,,,,,,,,,,,,
New York City Economic Development Corporation,06/30/2011,,Federal,Atlantic Center Fort Greene Assoc.,BROOKLYN,NY,11201,04/26/1996,8000000.0,2.5,23.0,3613415.39,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
New York City Economic Development Corporation,06/30/2011,,Federal,FC Hanson Associates LLC,BROOKLYN,NY,11201,01/31/2003,4000000.0,4.0,25.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
New York City Economic Development Corporation,06/30/2011,,Federal,Fair Fish Company,NEW YORK,NY,10038,05/17/2005,117850.0,3.0,20.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
New York City Economic Development Corporation,06/30/2011,,Federal,"M. Slavin & Sons, Ltd.",NEW YORK,NY,10038,05/17/2005,221850.0,3.0,20.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,Yes
New York City Economic Development Corporation,06/30/2011,,Federal,"Monte's Seafood Emporium, Inc.",NEW YORK,NY,10038,05/17/2005,61200.0,3.0,20.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
New York City Economic Development Corporation,06/30/2011,,Federal,"Related Retail Hub, LLC",NEW YORK,NY,10023,10/03/2006,4000000.0,0.0,30.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
New York City Economic Development Corporation,06/30/2011,,Federal,South Street Seafood Corp.,NEW YORK,NY,10038,05/17/2005,101400.0,3.0,20.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
New York City Economic Development Corporation,06/30/2011,,Federal,Sunrise Seafood Inc.,NEW YORK,NY,10038,05/17/2005,83000.0,3.0,20.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,Yes
New York City Economic Development Corporation,06/30/2011,,Federal,Tiago Holdings LLC,BROOKLYN,NY,11201,01/31/2007,5000000.0,4.0,15.0,214834.8,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
New York City Economic Development Corporation,06/30/2011,,Municipal,Brook Plaza LLC,BRONX,NY,10457,04/17/1997,360000.0,1.0,20.0,108834.67,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,No
New York City Economic Development Corporation,06/30/2011,,Municipal,East Harlem Abyssinian Triangle Limited Partn.,NEW YORK,NY,10027,08/21/1997,1412000.0,1.0,25.0,375253.41,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,No
New York City Economic Development Corporation,06/30/2011,,Municipal,"Mermaid Plaza Associates, Inc.",NEW YORK,NY,10001,06/06/1995,577596.0,1.0,22.0,0.0,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,No
New York City Economic Development Corporation,06/30/2011,,Municipal,Museum of Arts and Design,NEW YORK,NY,10019,10/19/2005,13050000.0,6.0,15.0,3605784.3,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,No
New York City Economic Development Corporation,06/30/2011,,Municipal,Plaza Del Castillo Development Corp.,NEW YORK,NY,10016,07/02/1996,515746.0,1.0,14.0,0.0,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,No
New York City Economic Development Corporation,06/30/2011,,Municipal,Poly Seal Packaging Corp.,BRONX,NY,10460,10/29/1990,175000.0,7.0,20.0,128122.17,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
New York City Economic Development Corporation,06/30/2011,,Other,Brooklyn Economic Development Corporation (BEDC),BROOKLYN,NY,11235,06/06/2011,50000.0,6.0,3.0,0.0,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,No
Apple Industrial Development Corporation,06/30/2011,No,,,,,,,,,,,,,,,
Binghamton Local Development Corporation,08/31/2011,,Federal,"142 Court Street, LLC",BINGHAMTON,NY,13901,06/02/2009,30000.0,3.0,15.0,3546.11,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"142 Court Street, LLC",BINGHAMTON,NY,13901,06/15/2010,70000.0,3.0,7.0,4646.9,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"295 Court Street Associates, LLC",BINGHAMTON,NY,13901,07/20/1998,200000.0,4.0,20.0,98409.92,Business Expansion/Startup,Yes,19.0,19.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Bearcats Development Group, LLC",BINGHAMTON,NY,13901,10/27/2009,213314.0,3.0,15.0,58581.16,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,7.0,6.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Bearcats Development Group, LLC",BINGHAMTON,NY,13905,10/27/2006,100000.0,0.0,7.0,61904.96,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Books On The River, LLC",BINGHAMTON,NY,13901,11/07/2008,20000.0,3.75,3.0,10872.05,Business Expansion/Startup,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Bubbles Professional Automobile Care, LLC",BINGHAMTON,NY,13904,10/01/2007,100282.82,4.25,20.0,10319.96,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,3.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,Burger Monday,BINGHAMTON,NY,13901,03/23/2011,20000.0,3.0,5.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Geneva Local Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Binghamton Local Development Corporation,08/31/2011,,Federal,"DDBing Properties, LLC",BINGHAMTON,NY,13901,10/15/2010,150000.0,3.0,10.0,4620.75,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,Floyd Lindsey,BINGHAMTON,NY,13905,01/13/2009,15000.0,3.75,3.0,8155.62,Business Expansion/Startup,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Innovation in Imaging, Inc.",BINGHAMTON,NY,13901,08/01/2011,210000.0,3.0,5.0,1502.78,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,6.0,1.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Kanenas, LLC",BINGHAMTON,NY,13903,05/26/2005,84000.0,4.0,15.0,28517.24,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,5.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Kilmer Brasserie, Inc.",BINGHAMTON,NY,13901,04/30/2008,80000.0,4.25,10.0,11667.36,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,3.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Loftiness, LLC",BINGHAMTON,NY,13901,11/01/2006,17324.25,0.0,7.0,17324.25,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,Yes
Binghamton Local Development Corporation,08/31/2011,,Federal,"Mack, Robert & Celeste",BINGHAMTON,NY,13903,02/14/1984,70000.0,6.0,20.0,56061.23,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,5.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"NET2000 Computers, LLC",BINGHAMTON,NY,13905,07/25/2001,24100.0,6.0,15.0,13963.71,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,2.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"On The Rocks, Inc.",BINGHAMTON,NY,13903,02/18/2000,35000.0,6.0,20.0,15003.08,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,5.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"On The Roxx Bar & Grill, LLC",BINGHAMTON,NY,13901,02/06/2009,15300.0,3.0,7.0,5105.92,Business Expansion/Startup,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Osburn, Judith dba Osburn Law Office",BINGHAMTON,NY,13905,08/11/2006,20000.0,3.0,5.0,20000.0,Equipment and Fixed Asset Acquisition,Yes,1.0,1.0,Yes
Binghamton Local Development Corporation,08/31/2011,,Federal,"PS&V Realty Co., Inc.",BINGHAMTON,NY,13901,06/08/1998,49999.0,6.0,15.0,41229.79,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,6.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Penrose Properties, LLC",BINGHAMTON,NY,13901,01/07/2000,75000.0,4.0,15.0,75000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,5.0,Yes
Binghamton Local Development Corporation,08/31/2011,,Federal,"RCT Development, Inc.",BINGHAMTON,NY,13905,07/30/2001,30000.0,5.0,15.0,16905.31,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,2.0,2.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"REAJ Realty, LLC",BINGHAMTON,NY,13904,05/26/1998,180000.0,6.0,20.0,93425.24,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,12.0,12.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Renkan Holdings, LLC",BINGHAMTON,NY,13901,06/19/2000,57000.0,4.0,15.0,38686.23,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,6.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Rogers JFT, LLC",BINGHAMTON,NY,13903,09/09/2009,48750.0,3.0,7.0,12348.48,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Sall-Stearns, Inc",BINGHAMTON,NY,13901,11/08/1996,45000.0,4.0,15.0,44337.59,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,2.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Sedona Enterprises, LLC",BINGHAMTON,NY,13905,06/14/2004,100000.0,4.0,15.0,40393.11,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,7.0,7.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Smith, William R",BINGHAMTON,NY,13905,07/28/1999,45000.0,4.0,15.0,33725.79,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,T. Mitchell Holdings,BINGHAMTON,NY,13904,03/17/2000,45000.0,4.0,15.0,30859.2,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,3.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Tartu Properties, LLC",BINGHAMTON,NY,13901,03/03/2010,200000.0,1.25,3.0,19429.84,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,Thomas Haines,BINGHAMTON,NY,13901,01/08/2007,75000.0,0.0,7.0,19642.86,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,Thomas R & Antionette W. Dunn,BINGHAMTON,NY,13904,10/22/2008,24366.0,0.0,7.0,9862.43,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,Tylenda K. & Smith L.,BINGHAMTON,NY,13901,04/07/2008,10000.0,2.5,3.0,10000.0,Business Expansion/Startup,Yes,1.0,1.0,Yes
Binghamton Local Development Corporation,08/31/2011,,Federal,"VMR Electronics, LLC",BINGHAMTON,NY,13901,05/04/2009,108000.0,4.0,7.0,31498.12,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,60.0,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"VMR Realty Management, LLC",BINGHAMTON,NY,13901,05/04/2009,292000.0,4.0,20.0,22513.16,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,9.0,9.0,No
Tompkins Tobacco Asset Securitization Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Binghamton Local Development Corporation,08/31/2011,,Federal,Wisteria House,BINGHAMTON,NY,13905,07/13/2007,100000.0,0.0,7.0,18894.21,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Binghamton Local Development Corporation,08/31/2011,,Federal,"Wisteria House, LLC",BINGHAMTON,NY,13905,03/09/2009,37000.0,4.0,15.0,4574.04,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Hudson Yards Development Corporation,06/30/2011,No,,,,,,,,,,,,,,,
Jefferson County Job Development Corporation,09/30/2011,No,,,,,,,,,,,,,,,
Ontario County Four Seasons Development Corporation,09/30/2011,No,,,,,,,,,,,,,,,
Hudson Development Corporation,09/30/2011,,Federal,Crawford & Associates,HUDSON,NY,12534,01/14/1995,50000.0,8.5,19.0,13725.77,Business Expansion/Startup,No,,,Yes
Hudson Development Corporation,09/30/2011,,Federal,Hudson Restoration Group III,HUDSON,NY,12534,01/03/2002,45295.04,6.0,12.0,13582.23,Business Expansion/Startup,No,,,Yes
Jefferson County Local Development Corporation,09/30/2011,,Private,Current Applications Inc.,WATERTOWN,NY,13601,12/16/2010,75000.0,5.0,1.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Jefferson County Local Development Corporation,09/30/2011,,Private,Watertown Industrial Center Local Development Corporation,WATERTOWN,NY,13601,02/04/2010,200000.0,3.0,20.0,4917.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Town of Moreau Local Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Niagara County Brownfields Development Corporation,09/30/2011,,Federal,"International Waste Removal, Inc.",NIAGARA FALLS,NY,14304,06/04/2009,250000.0,3.0,5.0,38259.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,,No
Niagara County Brownfields Development Corporation,09/30/2011,,Federal,Santarosa Holdings Inc.,NIAGARA FALLS,NY,14304,04/13/2011,384900.0,3.0,5.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,15.0,0.0,No
Dobbs Ferry Local Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Victor Local Development Corporation,12/31/2011,,State,Taste of Italy,VICTOR,NY,14564,03/01/2010,25000.0,2.75,4.0,11942.0,Business Expansion/Startup,Yes,3.0,0.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,A Unique Boutique for Creatures Great and Small,BRASHER FALLS,NY,13613,07/13/2011,8000.0,4.0,5.0,0.0,Business Expansion/Startup,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,AKJ Marine,OGDENSBURG,NY,13669,08/22/2007,20000.0,4.0,5.0,7945.29,Equipment and Fixed Asset Acquisition,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Adirondack Battery,POTSDAM,NY,13676,10/12/2011,20000.0,4.0,5.0,0.0,Business Expansion/Startup,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Bedrock Cafe,OGDENSBURG,NY,13669,01/24/2007,20000.0,4.0,5.0,20000.0,Business Expansion/Startup,Yes,2.0,2.0,Yes
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Chip's Place,HANNAWA FALLS,NY,13647,03/29/2007,20000.0,4.0,7.0,12695.73,Equipment and Fixed Asset Acquisition,Yes,2.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Chuck's Pet Center,MASSENA,NY,13662,02/01/2008,20000.0,4.0,5.0,7191.65,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,0.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Custom Rustix,OGDENSBURG,NY,13669,11/09/2006,13425.0,4.0,5.0,11774.16,Equipment and Fixed Asset Acquisition,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Felician House Bed & Breakfast,CANTON,NY,13617,02/01/2008,11200.0,4.0,10.0,3212.27,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Hair Studio,POTSDAM,NY,13676,02/01/2008,20000.0,4.0,5.0,14968.31,Equipment and Fixed Asset Acquisition,Yes,2.0,5.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Hallelujah House,MASSENA,NY,13662,11/30/2009,10000.0,4.0,5.0,5376.33,Equipment and Fixed Asset Acquisition,Yes,2.0,2.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Hebel Welding & Machine,CANTON,NY,13617,10/28/2005,20425.0,4.0,10.0,11100.94,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,3.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Honey Dew Acres,CANTON,NY,13617,11/17/2010,20000.0,4.0,10.0,1290.64,Business Expansion/Startup,Yes,2.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,J&J Lawn Services,POTSDAM,NY,13676,02/17/2009,20000.0,4.0,5.0,20000.0,Equipment and Fixed Asset Acquisition,Yes,1.0,1.0,Yes
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Lucas Motorsports & Twin Pines Quikstop,NICHOLVILLE,NY,12965,02/01/2008,8000.0,4.0,5.0,6419.27,Equipment and Fixed Asset Acquisition,Yes,1.0,2.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Lucas Motorsports and Twin Pines Quikstop,NICHOLVILLE,NY,12965,05/25/2009,5000.0,4.0,5.0,2372.01,Equipment and Fixed Asset Acquisition,No,,,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Main Grind Coffeehouse,MASSENA,NY,13662,02/09/2011,9900.0,4.0,5.0,647.6,Equipment and Fixed Asset Acquisition,Yes,1.0,4.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Maple Run Emporiums,POTSDAM,NY,13676,03/09/2011,20000.0,4.0,5.0,1645.92,Business Expansion/Startup,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,New Horizons Wireless,LISBON,NY,13658,01/12/2011,20000.0,4.0,5.0,968.2,Business Expansion/Startup,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Potsdam Taxi,POTSDAM,NY,13676,06/03/2009,15000.0,4.0,5.0,7547.06,Equipment and Fixed Asset Acquisition,Yes,1.0,0.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,River Lane Campground,HEUVELTON,NY,13654,06/08/2010,19750.0,4.0,5.0,3586.38,Business Expansion/Startup,Yes,3.0,2.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,River Run Fitness,WADDINGTON,NY,13694,01/12/2011,8000.0,4.0,3.0,1198.91,Business Expansion/Startup,Yes,2.0,2.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Sharrow's Home Repair,STAR LAKE,NY,13690,10/22/2010,8000.0,4.0,3.0,2778.43,Business Expansion/Startup,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Splendid Space,STAR LAKE,NY,13690,11/02/2005,14900.0,4.0,10.0,7954.25,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,St. Lawrence Valley Roasters,LISBON,NY,13658,10/21/2008,20000.0,4.0,5.0,20000.0,Equipment and Fixed Asset Acquisition,Yes,1.0,1.0,Yes
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,St. Lawrence Valley Roasters,LISBON,NY,13658,12/07/2011,18654.0,4.0,3.0,308.86,Equipment and Fixed Asset Acquisition,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Sugar Shack Bakery and Cafe,POTSDAM,NY,13676,07/13/2011,15000.0,4.0,5.0,0.0,Business Expansion/Startup,Yes,4.0,4.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Tony's Canvas and Leather,MASSENA,NY,13662,03/09/2011,5000.0,4.0,5.0,458.73,Equipment and Fixed Asset Acquisition,Yes,1.0,1.0,No
St. Lawrence County Local Development Corporation,12/31/2011,,Municipal,Valley Greenery,COLTON,NY,13625,06/30/2009,20000.0,4.0,7.0,5943.21,Business Expansion/Startup,Yes,2.0,1.0,No
Syracuse Local Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
New Main Street Development Corporation,12/31/2011,No,,,,,,,,,,,,,,,
Oswego Tobacco Asset Securitization Corporation,12/31/2011,No,,,,,,,,,,,,,,,
"MUNIPRO, Inc.",12/31/2011,,Other,"GEDPRO, Inc.",ROCHESTER,NY,14612,03/15/2011,50000.0,3.25,1.0,0.0,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,Yes
"MUNIPRO, Inc.",12/31/2011,,Other,"GEDPRO, Inc.",ROCHESTER,NY,14612,08/30/2011,75000.0,3.25,1.0,0.0,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,Yes
"MUNIPRO, Inc.",12/31/2011,,Other,"GEDPRO, Inc.",ROCHESTER,NY,14617,06/24/2011,50000.0,3.25,1.0,0.0,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,Yes
"MUNIPRO, Inc.",12/31/2011,,Other,"Gedpro, Inc.",ROCHESTER,NY,14612,02/04/2011,50000.0,3.25,1.0,0.0,"Land Acquisition/Development /Infrastructure Costs (i.e., Water/Sewer)",No,,,Yes
"Greece Economic Development Projects, Inc.",12/31/2011,No,,,,,,,,,,,,,,,
Rochester Economic Development Corporation,09/30/2011,,Federal,"Mill Street Realty II, LLC",ROCHESTER,NY,14614,04/21/2005,213000.0,3.0,10.0,95871.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,3.0,0.0,No
Rochester Economic Development Corporation,09/30/2011,,Federal,"TC-Brooks Landing QEI, LLC",ROCHESTER,NY,14611,12/27/2006,1500000.0,1.0,7.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,25.0,22.0,No
Rochester Economic Development Corporation,09/30/2011,,Federal,"Tops Markets, Inc",ROCHESTER,NY,14621,07/01/1995,2000000.0,1.0,15.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,10.0,51.0,No
Rochester Economic Development Corporation,09/30/2011,,Federal,"XPEDX, Inc",ROCHESTER,NY,14615,10/01/1994,4468000.0,8.57,20.0,3467168.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,20.0,0.0,No
Rochester Economic Development Corporation,09/30/2011,,Municipal,"Mamasan's Monroe, LLC",ROCHESTER,NY,14620,03/03/2011,200000.0,1.0,10.0,4760.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,40.0,20.0,No
Rochester Economic Development Corporation,09/30/2011,,Other,"61 Commercial Realty, LLC",ROCHESTER,NY,14618,02/25/2010,1000000.0,3.0,10.0,109240.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,12.0,6.0,No
Rochester Economic Development Corporation,09/30/2011,,Other,"Acro Industries, Inc",ROCHESTER,NY,14606,12/04/2009,255000.0,1.0,5.0,83745.0,Equipment and Fixed Asset Acquisition,Yes,20.0,0.0,No
Rochester Economic Development Corporation,09/30/2011,,Other,Adflex Corporation,ROCHESTER,NY,14605,10/23/1995,140000.0,3.0,20.0,100689.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,14.0,10.0,No
Rochester Economic Development Corporation,09/30/2011,,Other,"Mercury Print Productions, Inc.",ROCHESTER,NY,14615,04/01/2008,250000.0,1.0,5.0,165505.0,Equipment and Fixed Asset Acquisition,Yes,10.0,38.0,No
Rochester Economic Development Corporation,09/30/2011,,Other,"S. Lentine/V. Fassetto (Flower City Produce, Inc)",ROCHESTER,NY,14609,05/23/1993,134000.0,5.0,20.0,108442.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,5.0,12.0,No
Rochester Economic Development Corporation,09/30/2011,,Other,"Wilton Enterprises, Inc.",ROCHESTER,NY,14611,02/01/2008,150000.0,3.0,10.0,150000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,1.0,4.0,Yes
Rochester Economic Development Corporation,09/30/2011,,Private,"McAlpin Industries, Inc.",ROCHESTER,NY,14621,06/24/2009,100000.0,1.0,5.0,47709.0,Equipment and Fixed Asset Acquisition,Yes,25.0,0.0,No
