Authority Name,Fiscal Year End Date,Has Outstanding Debt,Type Of Debt,Debt Program,Begin Amount Total,New Debt Issuance,Amount Retired,End Amount Total
Yonkers Community Development Agency,06/30/2012,,Authority Debt - Other,Other Non-State Funded,0.0,341770.0,0.0,341770.0
Yonkers Community Development Agency,06/30/2012,,Authority Debt - Revenue,,2500000.0,2500000.0,2500000.0,2500000.0
City of Hudson Community Development and Planning Agency,09/30/2012,N,,,,,,
Village of Fairport Urban Renewal Agency,09/30/2012,N,,,,,,
Saratoga Springs City Center Authority,12/31/2014,N,,,,,,
New York City Housing Development Corporation,10/31/2012,,Authority Debt - Revenue,,3975820000.0,1110710000.0,716365000.0,4370165000.0
New York City Housing Development Corporation,10/31/2012,,Conduit Debt,Conduit Debt,4508490146.82,117800000.0,199825896.31,4426464250.51
Albany Water Board,12/31/2012,N,,,,,,
Binghamton Urban Renewal Agency,12/31/2012,N,,,,,,
"Chautauqua, Cattaraugus, Allegany and Steuben Southern Tier Extension Railroad Authority",12/31/2012,N,,,,,,
City of Fulton Community Development Agency,12/31/2012,N,,,,,,
Eastern Rensselaer County Solid Waste Management Authority,12/31/2012,N,,,,,,
Glen Cove Community Development Agency,12/31/2012,N,,,,,,
Glens Falls Urban Renewal Agency,12/31/2012,N,,,,,,
Gloversville Community Development Agency,12/31/2012,N,,,,,,
Greater Rochester Sports Authority,12/31/2012,N,,,,,,
Harrison Parking Authority,12/31/2012,N,,,,,,
Huntington Community Development Agency,12/31/2012,N,,,,,,
Jamestown Urban Renewal Agency,12/31/2012,N,,,,,,
Little Falls Urban Renewal Agency,12/31/2012,N,,,,,,
"Montgomery, Otsego, Schoharie Solid Waste Management Authority",12/31/2012,N,,,,,,
Niagara Falls Public Water Authority,12/31/2012,N,,,,,,
Niagara Falls Urban Renewal Agency,12/31/2012,N,,,,,,
Oneida County Sports Facility Authority,12/31/2012,N,,,,,,
Orange County Water Authority,12/31/2012,N,,,,,,
Port Jervis Community Development Agency,12/31/2012,N,,,,,,
Poughkeepsie Urban Renewal Agency,12/31/2012,N,,,,,,
Saratoga Springs City Center Authority,12/31/2012,N,,,,,,
Schenectady Urban Renewal Agency,12/31/2012,N,,,,,,
Suffolk County Judicial Facilities Agency,12/31/2012,N,,,,,,
Tonawanda (City) Community Development Agency,12/31/2012,N,,,,,,
Town of Erwin Urban Renewal Agency,12/31/2012,N,,,,,,
Town of North Hempstead Community Development Agency,12/31/2012,N,,,,,,
Town of Riverhead Community Development Agency,12/31/2012,N,,,,,,
Albany Community Development Agency,12/31/2012,,Authority Debt - General Obligation,General Obligation,88199.0,0.0,29375.0,58824.0
Albany Community Development Agency,12/31/2012,,Authority Debt - Other,Other Non-State Funded,895323.0,0.0,63083.0,832240.0
Albany County Airport Authority,12/31/2012,,Authority Debt - General Obligation,General Obligation,1510678.0,0.0,926422.0,584256.0
Albany County Airport Authority,12/31/2012,,Authority Debt - Revenue,,128975000.0,0.0,7810000.0,121165000.0
Albany Municipal Water Finance Authority,12/31/2012,,Authority Debt - General Obligation,General Obligation,60026193.0,0.0,4203544.0,55822649.0
Albany Parking Authority,12/31/2012,,Authority Debt - Revenue,,20428061.0,0.0,2060000.0,18368061.0
Albany Port District Commission,12/31/2012,,Authority Debt - General Obligation,General Obligation,1052078.0,0.0,63068.0,989010.0
Albany Port District Commission,12/31/2012,,Conduit Debt,Conduit Debt,13738.0,0.0,13738.0,0.0
Albany Port District Commission,12/31/2012,,State Guaranteed,NEW YORK JOB DEVELOPMENT AUTHORITY,237709.0,0.0,80000.0,157709.0
Cayuga County Water and Sewer Authority,12/31/2012,,Authority Debt - General Obligation,General Obligation,1215491.0,987000.0,12680.0,2189811.0
Cayuga County Water and Sewer Authority,12/31/2012,,Authority Debt - Other,Other Non-State Funded,0.0,0.0,0.0,0.0
Cayuga County Water and Sewer Authority,12/31/2012,,Authority Debt - Revenue,,8263751.0,0.0,1899762.0,6363989.0
Clifton Park Water Authority,12/31/2012,,Authority Debt - Revenue,,24690000.0,0.0,1115000.0,23575000.0
Dutchess County Resource Recovery Agency,12/31/2012,,Authority Debt - General Obligation,General Obligation,26380000.0,0.0,3235000.0,23145000.0
Dutchess County Water and Wastewater Authority,12/31/2012,,Authority Debt - Revenue,,37376854.0,0.0,1365047.0,36011807.0
Elmira Urban Renewal Agency,12/31/2012,,Authority Debt - General Obligation,General Obligation,500000.0,0.0,90000.0,410000.0
Elmira Urban Renewal Agency,12/31/2012,,Conduit Debt,Conduit Debt,0.0,0.0,0.0,0.0
Erie County Water Authority,12/31/2012,,Authority Debt - Revenue,,85685000.0,12500000.0,6485000.0,91700000.0
Haverstraw Urban Renewal Agency,12/31/2012,,Authority Debt - General Obligation,General Obligation,3095000.0,0.0,120000.0,2975000.0
Islip Resource Recovery Authority,12/31/2012,,Authority Debt - Revenue,,21400000.0,0.0,4815000.0,16585000.0
Ithaca Urban Renewal Agency,12/31/2012,,Authority Debt - General Obligation,General Obligation,840000.0,0.0,30000.0,810000.0
Livingston County Water and Sewer Authority,12/31/2012,,Authority Debt - Revenue,,4625935.0,406782.0,116725.0,4915992.0
Monroe County Airport Authority,12/31/2012,,Authority Debt - Revenue,,53386000.0,0.0,3872000.0,49514000.0
Monroe County Water Authority,12/31/2012,,Authority Debt - Revenue,,128645000.0,6290000.0,2105000.0,132830000.0
Nassau County Bridge Authority,12/31/2012,,Authority Debt - General Obligation,General Obligation,10510000.0,0.0,200000.0,10310000.0
Nassau County Sewer and Storm Water Finance Authority,12/31/2012,,Authority Debt - Revenue,,154595000.0,0.0,7800000.0,146795000.0
Niagara Falls Water Board,12/31/2012,,Authority Debt - Revenue,,101015000.0,6607122.0,2930000.0,104692122.0
North Hempstead Solid Waste Management Authority,12/31/2012,,Authority Debt - Revenue,,8880000.0,5048791.17,8880000.0,5048791.17
Oneida-Herkimer Solid Waste Management Authority,12/31/2012,,Authority Debt - Revenue,,53170000.0,0.0,5260000.0,47910000.0
Onondaga County Resource Recovery Agency,12/31/2012,,Authority Debt - Revenue,,63832566.0,0.0,5692120.0,58140446.0
Onondaga County Water Authority,12/31/2012,,Authority Debt - Revenue,,78395000.0,0.0,10997165.0,67397835.0
Rensselaer County Water and Sewer Authority,12/31/2012,,Authority Debt - Revenue,,14270000.0,0.0,155000.0,14115000.0
Rockland County Solid Waste Management Authority,12/31/2012,,Authority Debt - General Obligation,General Obligation,63165000.0,0.0,3310000.0,59855000.0
Saratoga County Water Authority,12/31/2012,,Authority Debt - Revenue,,44100000.0,0.0,470000.0,43630000.0
Schenectady Metroplex Development Authority,12/31/2012,,Authority Debt - General Obligation,General Obligation,44815000.0,13240000.0,15960000.0,42095000.0
Schenectady Metroplex Development Authority,12/31/2012,,Authority Debt - Other,Other Non-State Funded,999699.0,0.0,44038.0,955661.0
Schenectady Metroplex Development Authority,12/31/2012,,Authority Debt - Revenue,,0.0,0.0,0.0,0.0
Trust for Cultural Resources of the City of New York,12/31/2012,,Conduit Debt,Conduit Debt,1683345000.0,52545000.0,107380000.0,1628510000.0
Trust for Cultural Resources of the City of New York,12/31/2012,,Conduit Debt - Pilot Increment Financing,,46820000.0,38360000.0,46820000.0,38360000.0
Trust for Cultural Resources of the County of Onondaga,12/31/2012,,Conduit Debt,Conduit Debt,154760000.0,0.0,1215000.0,153545000.0
Ulster County Resource Recovery Agency,12/31/2012,,Authority Debt - Revenue,,21103745.0,6410000.0,8455000.0,19058745.0
Water Authority of Great Neck North,12/31/2012,,Authority Debt - Revenue,,35290000.0,0.0,1360000.0,33930000.0
Wayne County Water and Sewer Authority,12/31/2012,,Authority Debt - General Obligation,General Obligation,920000.0,0.0,85000.0,835000.0
Wayne County Water and Sewer Authority,12/31/2012,,Authority Debt - Revenue,,280000.0,0.0,20000.0,260000.0
Wilton Water and Sewer Authority,12/31/2012,,Authority Debt - Revenue,,1360000.0,0.0,255000.0,1105000.0
Yonkers Parking Authority,12/31/2012,,Authority Debt - Revenue,,2180000.0,0.0,115000.0,2065000.0
Freeport Community Development Agency,02/28/2013,,Authority Debt - Other,Other Non-State Funded,0.0,100000.0,0.0,100000.0
Genesee Valley Regional Market Authority,03/31/2013,N,,,,,,
Utica Urban Renewal Agency,03/31/2013,N,,,,,,
Central New York Regional Market Authority,03/31/2013,,Authority Debt - Other,Other Non-State Funded,551557.78,0.0,31256.0,520301.78
Upper Mohawk Valley Regional Water Board,03/31/2013,,Authority Debt - Revenue,,58748720.0,0.0,58748720.0,0.0
Upper Mohawk Valley Regional Water Finance Authority,03/31/2013,,Authority Debt - Revenue,,58748720.0,15635000.0,9280000.0,65103720.0
Suffern Parking Authority,05/31/2013,N,,,,,,
Syracuse Parking Authority,05/31/2013,N,,,,,,
Victor Urban Renewal Agency,05/31/2013,N,,,,,,
Village of Patchogue Community Development Agency,05/31/2013,N,,,,,,
Village of Rockville Centre Community Development Agency,05/31/2013,N,,,,,,
Green Island Power Authority,05/31/2013,,Authority Debt - Revenue,,16970000.0,0.0,605000.0,16365000.0
Nyack Parking Authority,05/31/2013,,Authority Debt - General Obligation,General Obligation,261772.0,0.0,44724.0,217048.0
Suffolk County Water Authority,05/31/2013,,Authority Debt - Other,Other Non-State Funded,170000000.0,100000000.0,120000000.0,150000000.0
Suffolk County Water Authority,05/31/2013,,Authority Debt - Revenue,,572973126.0,146903189.0,69588092.0,650288223.0
Water Authority of Western Nassau County,05/31/2013,,Authority Debt - Revenue,,67660000.0,0.0,1550000.0,66110000.0
Amsterdam Urban Renewal Agency,06/30/2013,N,,,,,,
Buffalo Water Board,06/30/2013,N,,,,,,
New York City School Construction Authority,06/30/2013,N,,,,,,
New York City Water Board,06/30/2013,N,,,,,,
Olean Urban Renewal Agency,06/30/2013,N,,,,,,
Rochester Urban Renewal Agency,06/30/2013,N,,,,,,
Syracuse Regional Airport Authority,06/30/2013,N,,,,,,
Syracuse Urban Renewal Agency,06/30/2013,N,,,,,,
Village of Elmira Heights Urban Renewal Agency,06/30/2013,N,,,,,,
White Plains Urban Renewal Agency,06/30/2013,N,,,,,,
American Museum of Natural History Planetarium Authority,06/30/2013,,Authority Debt - Other,Other Non-State Funded,570000.0,0.0,0.0,570000.0
Buffalo Municipal Water Finance Authority,06/30/2013,,Authority Debt - Revenue,,162217943.0,0.0,2061017.0,160156926.0
Schenectady Urban Renewal Agency,12/31/2014,N,,,,,,
Buffalo Sewer Authority,06/30/2013,,Authority Debt - Revenue,,42120000.0,21671564.0,25160000.0,38631564.0
Buffalo Urban Renewal Agency,06/30/2013,,Authority Debt - Revenue,,8555000.0,0.0,1265000.0,7290000.0
Franklin County Solid Waste Management Authority,06/30/2013,,Authority Debt - General Obligation,General Obligation,0.0,0.0,0.0,0.0
Franklin County Solid Waste Management Authority,06/30/2013,,Authority Debt - Revenue,,12375000.0,0.0,2715000.0,9660000.0
New York City Health and Hospitals Corporation,06/30/2013,,Authority Debt - Revenue,,1002035000.0,112045000.0,196670000.0,917410000.0
New York City Municipal Water Finance Authority,06/30/2013,,Authority Debt - Other,Other Non-State Funded,452409769.66,316790000.0,634232896.0,134966873.66
New York City Municipal Water Finance Authority,06/30/2013,,Authority Debt - Revenue,,27925870287.45,1984100000.0,966369204.0,28943601083.45
New York City Transitional Finance Authority,06/30/2013,,Authority Debt - Revenue,,20958690000.0,4681830000.0,2592185000.0,23048335000.0
New York City Transitional Finance Authority,06/30/2013,,Other State-Funded,MBBA SPECIAL PURPOSE SCHOOL AID BONDS,5308660000.0,850000000.0,4545000.0,6154115000.0
Town of Islip Community Development Agency,06/30/2013,,Authority Debt - General Obligation,General Obligation,930000.0,0.0,130000.0,800000.0
Yonkers Community Development Agency,06/30/2013,,Authority Debt - Other,Other Non-State Funded,341770.0,0.0,0.0,341770.0
Yonkers Community Development Agency,06/30/2013,,Authority Debt - Revenue,,2500000.0,0.0,2500000.0,0.0
City of Hudson Community Development and Planning Agency,09/30/2013,N,,,,,,
Village of Fairport Urban Renewal Agency,09/30/2013,N,,,,,,
New York City Housing Development Corporation,10/31/2013,,Authority Debt - Revenue,,4370165000.0,878385000.0,716335000.0,4532215000.0
