X,Y,OBJECTID,FacilityID,Name,Address,City,Zip,Type,Phone,Website,Organics,CSA,Dairy,FarmersMarket,Honey,Meat,OrchardCiderMill,Retail,UPick,ChristmasTree,NativePlants,Alpaca,BreweryWinery,Other,Comment,RevisionDate,NurseryGreenhouse
-9279751.43614377,5240972.53491646,28,269,Whole Foods Market,7350 Orchard Lake Rd,West Bloomfield,48322,Retail,248-538-4600,http://www.wholefoodsmarket.com,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Full service grocery with emphasis on organic and natural foods,2013/10/25 00:00:00+00,No
-9279426.82245486,5291772.56099057,29,270,Middleton Berry Farm,4790 Oakwood Rd,Ortonville,48462,U-Pick,248-831-1004,http://www.middletonberryfarm.com,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"U-pick pumpkins, raspberries, strawberries, sweet corn, tomatoes, etc.",2015/09/04 00:00:00+00,No
-9255079.00883924,5286522.10510912,30,271,Beckwith's Berries and Blooms,2230 Rochester Rd,Leonard,48367,U-Pick,248-628-7123,http://www.facebook.com/pages/Beckwith-Berries-Blooms/933360030087281,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"U-pick raspberries, produce, eggs, blueberry and raspberry freezer jam, 300 varieties of Day Lilies",2013/10/25 00:00:00+00,No
-9294873.97088008,5251024.78429735,31,272,"Long Family Orchard, Farm and Cider Mill",1540 E Commerce Rd,Commerce,48382,Orchard/Cider Mill,248-360-3774,http://www.longsorchard.com,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Orchard, u-pick apples, cider, asparagus, pumpkins, strawberries, sweet corn",2018/09/19 00:00:00+00,No
-9310423.75202263,5243822.87548687,32,273,Kensington Metropark Farm Center,2240 W Buno Rd,Milford,48380,U-Pick,248-684-8632,http://www.metroparks.com/facilities-education/kensington-farm-center/,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"U-pick pumpkins and gourds.  Also have eggs, maple syrup, petting zoo",2013/10/25 00:00:00+00,No
-9255472.35295369,5233025.2515807,33,274,Holiday Market,1203 S Main St,Royal Oak,48067,Retail,248-541-1414,http://www.holiday-market.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotes local products,2013/10/25 00:00:00+00,No
-9254164.96032653,5254410.47587209,34,275,Nino Salvaggio Marketplace,6835 Rochester Rd,Troy,48085,Retail,248-879-9222,http://www.ninosalvaggio.com,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotes local products,2013/10/25 00:00:00+00,No
-9287306.64257374,5260593.18472949,35,276,VC Fresh Marketplace,7300 Highland Rd,Waterford,48327,Retail,248-886-0800,http://www.valuecentermarket.com/home,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotes local products,2015/09/04 00:00:00+00,No
-9253451.59969927,5241083.06593649,36,278,VC Fresh Marketplace,1485 W 14 Mile Rd,Madison Heights,48071,Retail,248-585-0005,http://www.valuecentermarket.com/home,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotes local products,2015/09/04 00:00:00+00,No
-9283753.99714921,5231780.1923415,37,279,Busch's,24445 Drake Rd,Farmington Hills,48335,Retail,248-427-7400,http://www.buschs.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotoes local products,2013/10/25 00:00:00+00,No
-9281693.37856585,5240471.71438233,38,280,Busch's,33300 W 14 Mile Rd,West Bloomfield,48322,Retail,248-539-4581,http://www.buschs.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotoes local products,2013/10/25 00:00:00+00,No
-9290450.83312568,5231283.05564878,39,281,Busch's,41840 W 10 Mile Rd,Novi,48375,Retail,248-348-0708,http://www.buschs.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotoes local products,2013/10/25 00:00:00+00,No
-9312029.69485758,5227935.1783023,40,282,Busch's,22385 Pontiac Trl,South Lyon,48178,Retail,248-446-8812,http://www.buschs.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotoes local products,2013/10/25 00:00:00+00,No
-9261397.23715213,5263553.40481192,41,283,Busch's,3188 Walton Blvd,Rochester Hills,48309,Retail,248-375-0900,http://www.buschs.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotoes local products,2013/10/25 00:00:00+00,No
-9306250.78061574,5249722.84827701,42,285,Milford Farmers Market,115 E Liberty St,Milford,48381,Farmers Market,248-863-6371,http://www.milfordfarmersmarket.org,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,<Null>,2019/07/10 00:00:00+00,No
-9284832.08772917,5242016.1325404,43,290,Henry Ford Hospital Farmers Market,6777 W Maple Rd,West Bloomfield,48322,Farmers Market,248-325-1000,http://www.henryford.com/locations/west-bloomfield/about/campus/main-street/henrys-market,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2019/07/11 00:00:00+00,No
-9268790.71270763,5242931.08133704,44,291,Plum Market,3675 W Maple Rd ,Bloomfield Hills,48301,Retail,248-594-2555,http://www.plummarket.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Full service grocery with emphasis on organic and natural foods,2013/10/25 00:00:00+00,No
-9277338.23238534,5240438.96514589,45,292,Johnny Pomodoro's,32906 Middlebelt Rd,Farmington Hills,48334,Retail,248-855-0007,http://www.johnnypomodoros.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotes local products,2013/10/25 00:00:00+00,No
-9255171.17646363,5230162.97440534,46,293,Western Market,447 W 9 Mile Rd,Ferndale,48220,Retail,248-546-7288,http://www.westernmkt.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotes local products,2013/10/25 00:00:00+00,No
-9257719.16084276,5235206.66305129,47,294,Westborn Market,27659 Woodward Ave,Berkley,48072,Retail,"248-547-1000
",http://www.westbornmarket.com,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Promotes local products,2013/10/25 00:00:00+00,No
-9285437.67213469,5271535.41266155,48,295,Clarkston Area Farmers Market,6558 Waldon Rd,Clarkston,48346,Farmers Market,248-505-6848,http://www.clarkstonareafarmersmarket.com/,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2018/08/01 00:00:00+00,No
-9312083.78055745,5230120.69775088,49,297,South Lyon Farmers Market,110 W Liberty St,South Lyon,48178,Farmers Market,734-707-1358,http://sites.google.com/southlyonfarmersmarket.org/website/home,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2017/06/27 00:00:00+00,No
-9256583.05603012,5242439.94319621,50,298,Clawson Farmers Market,1080 N Custer Ave,Clawson,48017,Farmers Market,248-435-6500,http://www.cityofclawson.com/your_community/community_events/your_community/clawson_farmer_s_market.php,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,No
-9264127.31692932,5234886.02582023,51,299,Lathrup Village Farmers Market,27400 Southfield Rd,Lathrup Village,48076,Farmers Market,248-557-2600,http://www.lathrupvillage.org/departments/farmers_market.php,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2019/07/10 00:00:00+00,No
-9310123.44847983,5289082.44646832,52,304,Mitchell Farm,3404 Mitchell Rd,Holly,48442,U-Pick,248-634-4753,http://www.mitchellfarm.biz,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"U-pick pumpkins.  Also have apples, corn, gourds, corn stalks, straw, mums",2013/10/25 00:00:00+00,No
-9313454.81158389,5262578.51945918,53,309,Broadview Christmas Tree Farm,4380 N Hickory Ridge Rd,Highland,48357,Christmas Tree,248-887-4865,http://www.broadviewtreefarm.com,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Holiday trees,2019/11/14 00:00:00+00,No
-9314889.48934302,5261058.58217141,54,310,Middle Road Christmas Tree Farm,4235 Middle Rd,Highland,48357,Christmas Tree,248-887-1494,http://www.middleroadtreefarm.com,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Holiday trees,2013/10/25 00:00:00+00,No
-9311363.52655429,5267349.4873863,55,311,Stanczyk Tree Farm,7355 Fish Lake Rd,Holly,48442,Christmas Tree,248-634-8102,http://www.facebook.com/pages/Stanczyk-Tree-Farm/453346558056700,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Holiday trees,2019/11/14 00:00:00+00,No
-9288783.03452659,5277936.5570406,56,312,Rattalee Lake Tree Farm,7650 Rattalee Lake Rd,Clarkston,48348,Christmas Tree,248-620-2973,http://www.rattaleelaketreefarm.com,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Holiday trees,2013/10/25 00:00:00+00,No
-9279220.35603034,5282730.42434822,57,313,Candy Cane Christmas Tree Farm,4780 Seymour Lake Rd,Oxford,48371,Christmas Tree,248-628-8899,http://www.candycanetreefarm.com/,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Holiday trees,2018/08/01 00:00:00+00,No
-9259467.1966136,5280668.19807837,58,314,Addison-Oaks Christmas Tree Farm,355 Lake George Rd,Oakland,48363,Christmas Tree,248-814-0583,http://www.addisonoakstrees.com,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Holiday trees,2013/10/25 00:00:00+00,No
-9254388.75336766,5230409.14575862,59,316,Valentine Distilling Co,161 Vester Ave,Ferndale,48220,Brewery/Winery/Distillery,248-629-9951,http://www.valentinedistilling.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Vodka, Gin, Bourbon Whiskey",2015/11/01 00:00:00+00,No
-9252174.2236867,5229681.94458443,60,317,B.Nektar Meadery,1511 Jarvis St,Ferndale,48220,Brewery/Winery/Distillery,313-744-6323,http://www.bnektar.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Mead (aka Honey Wine), Cider, Beer",2015/09/04 00:00:00+00,No
-9255364.58077795,5234280.75873754,61,318,Royal Oak Brewery,215 E 4th St,Royal Oak,48067,Brewery/Winery/Distillery,248-544-1141,http://www.royaloakbrewery.com/home,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Beer ,2017/06/27 00:00:00+00,No
-9255862.17658813,5234181.1557443,62,319,Lily's Seafood Grill & Brewery,410 S Washington Ave,Royal Oak,48067,Brewery/Winery/Distillery,248-591-5459,http://www.lilysseafood.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Beer as well as Root Beer,2013/10/25 00:00:00+00,No
-9254370.48489537,5230078.00409303,63,321,Woodward Avenue Brewers,22646 Woodward Ave,Ferndale,48220,Brewery/Winery/Distillery,248-546-3696,http://www.thewabferndale.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Beer,2015/09/04 00:00:00+00,No
-9288807.44260866,5247814.31815862,64,324,CJ's Brewing Company,8115 Richardson Rd,Commerce,48390,Brewery/Winery/Distillery,248-366-7979,http://www.cjsbrewery.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Beer,2013/10/25 00:00:00+00,No
-9254146.95331072,5263467.1821021,65,325,Rochester Mills Beer Company - The Pub,400 Water St,Rochester,48307,Brewery/Winery/Distillery,248-650-5080,http://www.beercos.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Beer,2015/09/04 00:00:00+00,No
-9261252.53940263,5242663.32082762,66,326,Griffin Claw Brewing Company,575 S Eton St,Birmingham,48009,Brewery/Winery/Distillery,248-712-4050,http://www.griffinclawbrewingcompany.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Beer,2013/10/25 00:00:00+00,No
-9257455.08986737,5245475.93610055,67,327,Granite City Food & Brewery,699 W Big Beaver Rd,Troy,48084,Brewery/Winery/Distillery,248-519-1040,http://www.gcfb.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Beer,2013/10/25 00:00:00+00,No
-9311943.22341511,5229322.47432885,68,328,Witch's Hat Brewing Company,601 S Lafayette St,South Lyon,48178,Brewery/Winery/Distillery,248-486-2595,http://www.witchshatbrewing.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Beer,2015/09/04 00:00:00+00,No
-9254445.96739137,5263223.36799526,69,329,Fieldstone Winery,223 S Main St,Rochester,48307,Brewery/Winery/Distillery,248-656-0618,http://www.fieldstonewine.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Wine and hard cider,2013/10/25 00:00:00+00,No
-9292407.80217693,5226761.04591973,70,330,Northville Winery,630 E Baseline Rd,Northville,48167,Brewery/Winery/Distillery,248-320-6507,http://www.thenorthvillewinery.com,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Wine and hard cider,2015/09/04 00:00:00+00,No
-9254179.91323845,5259471.33347561,71,631,Bordines,1835 S Rochester Rd,Rochester Hills,48307,Nursery/Greenhouse,248-651-9000,http://www.bordines.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9290575.19830552,5273028.2648523,72,632,Bordines,8600 Dixie Hwy,Clarkston,48348,Nursery/Greenhouse,248-625-9100,http://www.bordines.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9284332.11316093,5291618.67555359,73,633,Wojo's,2570 Oakwood Rd,Ortonville,48462,Nursery/Greenhouse,248-627-6498,http://www.wojos.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9274047.56901205,5255586.50715907,74,634,Goldner Walsh Garden & Home,559 Orchard Lake Rd,Pontiac,48341,Nursery/Greenhouse,248-332-6430,http://www.goldnerwalsh.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/06/27 00:00:00+00,Yes
-9297068.53059963,5255457.89510624,75,635,Bogie Lake Greenhouses,1525 Bogie Lake Rd,White Lake,48383,Nursery/Greenhouse,248-887-5101,http://www.bogielakegreenhouses.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9312866.98253215,5261942.32835626,76,637,Highland Tree Farm & Garden Center,3680 N Hickory Rdige Rd,Highland,48357,Nursery/Greenhouse,248-887-6977,http://www.highlandtreefarm.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9259957.10635698,5241472.63243329,77,638,English Gardens,4901 Coolidge Hwy,Royal Oak,48073,Nursery/Greenhouse,248-280-9500,http://www.englishgardens.com/locations/royal-oak-mi,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9279787.58876302,5242902.931501,78,639,English Gardens,6370 Orchard Lake Rd,West Bloomfield,48322,Nursery/Greenhouse,248-851-7506,http://www.englishgardens.com/locations/west-bloomfield-mi,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9262557.45173376,5256485.3135461,79,640,Auburn Oaks Nursery,3820 W Auburn Rd,Rochester Hills,48309,Nursery/Greenhouse,248-852-2310,http://www.auburnoaksnursery.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9261305.46479853,5270192.27940909,80,641,Sherwood Forest Garden Center,4981 N Adams Rd,Rochester,48306,Nursery/Greenhouse,248-652-4920,http://www.sherwoodforestgardencenter.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9288026.29612231,5234732.08148398,81,642,Farmer John's Greenhouse,26950 Haggerty Rd,Farmington Hills,48331,Nursery/Greenhouse,248-553-7141,http://www.farmerjohnsgreenhouse.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9251662.16522206,5246580.20682109,82,643,Telly's Greeenhouse,3301 John R Rd,Troy,48083,Nursery/Greenhouse,248-689-8735,http://www.tellys.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9289222.99103033,5257822.14293289,83,645,Mulligan's Landscape & Garden Center,8215 Elizabeth Lake Rd,White Lake,48386,Nursery/Greenhouse,248-698-4741,http://www.mulliganlandscaping.com/home.html,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9260834.48924538,5234428.16242959,84,646,Four Seasons Garden Center,14471 W 11 Mile Rd,Oak Park,48237,Nursery/Greenhouse,248-543-4400,http://fourseasonsgardencenter.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2019/07/12 00:00:00+00,Yes
-9289400.5515986,5232291.60757972,85,647,Glenda's Garden Center,40575 Grand River Ave,Novi,48375,Nursery/Greenhouse,248-471-4794,http://www.glendasgardencenter.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9260210.59417102,5236693.50560407,86,648,Garden Central,2682 12 Mile Rd,Berkley,48072,Nursery/Greenhouse,248-542-6640,http://www.gardencentralinc.com/home.html,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9281356.07685823,5227539.96167855,87,649,Steinkopf Nursery,20815 Farmington Rd,Farmington Hills,48336,Nursery/Greenhouse,248-474-2925,http://steinkopfnursery.com/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2017/06/27 00:00:00+00,Yes
-9254757.62900686,5278738.50489067,88,650,Piechnik's Garden Gate,1095 N Rochester Rd,Oakland ,48363,Nursery/Greenhouse,586-336-7200,http://www.piechniks.com/about-us/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9308339.94623745,5258032.23479049,89,651,Thornton Nursery,701 N Milford Rd,Highland,48357,Nursery/Greenhouse,248-887-2217,http://www.thorntonnursery.com/main.php,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9308083.74241795,5246450.77797151,90,652,Milford Gardens,1666 S Milford Rd,Milford,48381,Nursery/Greenhouse,248-685-0009,http://www.milfordgardens.net/home.aspx,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,2016/02/26 00:00:00+00,Yes
-9306708.33713755,5263851.25748651,91,654,Bonadeo Farms,1215 White Lake Rd,Highland,48356,Orchard/Cider Mill,248-787-4553,http://www.bonadeofarms.com/,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Orchard, cider, donuts, pies, pumpkins, corn maze",2016/02/26 00:00:00+00,No
-9308817.11257678,5280062.25865057,92,656,Holly Farmers Market,0 Martha Street,Holly,48442,Farmers Market,<Null>,http://www.facebook.com/HollyFarmers/,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,no phone listed,2019/07/10 00:00:00+00,No
-9273658.44052183,5239972.06542305,93,657,Market on the Green,32325 Franklin Rd,Franklin,48025,Farmers Market,248-672-4565,http://www.facebook.com/pg/MarketOnTheGreen.Franklin/about/,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,2020/08/20 00:00:00+00,No
-9252016.63501242,5231608.85153633,94,658,Hazel Park Growers and Makers Market,620 W Woodward Heights Blvd,Hazel Park,48030,Farmers Market,248-506-0949,http://www.facebook.com/hazelparkgrowersandmakersmarket/,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,<Null>,2020/08/20 00:00:00+00,No
