Authority Name,Fiscal Year End Date,Awarded Grants,Grant Fund Sources,Recipient Name,Recipient City,Recipient State,Recipient Postal Code,Grant Amount,Date Grant Awarded,Grant Purpose,New Jobs,Jobs Planned,Jobs Created
Binghamton Local Development Corporation,08/31/2011,,State,Rittenburg Enterprise,BINGHAMTON,NY,13905,12600.0,04/13/2011,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2011,,State,"Washington Street Square Ventures, LLC",BINGHAMTON,NY,13901,23550.0,05/09/2011,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2012,,State,Broome Community College,BINGHAMTON,NY,13905,36750.0,09/30/2011,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2012,,State,Broome Community College,BINGHAMTON,NY,13905,73500.0,03/07/2012,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2013,,Not for Profit,Cornell Cooperative Extension of Broome County,BINGHAMTON,NY,13905,10340.06,02/01/2013,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2013,,Private,Binghamton Local Development Corporation,BINGHAMTON,NY,13901,2500.0,03/14/2013,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2013,,State,Broome Community College,BINGHAMTON,NY,13901,36383.0,09/13/2012,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2013,,State,Broome Community College,BINGHAMTON,NY,13901,49299.0,03/13/2013,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2014,,Not for Profit,Cornell Cooperative Extension of Broome County,BINGHAMTON,NY,13905,35241.18,02/01/2013,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2014,,State,SUNY Broome,BINGHAMTON,NY,13901,85963.0,04/03/2014,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2014,,State,State Street Ventures,BINGHAMTON,NY,13901,67500.0,02/21/2013,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2015,,State,23 Henry,BINGHAMTON,NY,13901,6705.0,03/19/2015,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2015,,State,Charles Hunt,BINGHAMTON,NY,13903,35407.93,06/18/2015,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2015,,State,Margaret Johnson,BINGHAMTON,NY,13901,6234.82,11/18/2014,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2015,,State,SUNY Broome,BINGHAMTON,NY,13901,88000.0,01/15/2015,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2015,,State,"Sentry Alarms, LLC",BINGHAMTON,NY,13901,26845.25,02/19/2015,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2015,,State,State Street Ventures LLC,BINGHAMTON,NY,13901,22500.0,09/30/2014,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2015,,State,Stephen Wietschner,BINGHAMTON,NY,13901,36806.25,02/05/2015,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Binghamton Local Development Corporation,08/31/2015,,State,Streetscape,BINGHAMTON,NY,13901,15000.0,06/18/2015,Land Preservation/Resource Conservation/Recreation,No,,
Binghamton Local Development Corporation,08/31/2016,,State,SUNY Broome,BINGHAMTON,NY,13901,88000.0,01/01/2015,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2017,,State,SUNY Broome,BINGHAMTON,NY,13901,81465.0,06/15/2016,Education/Training (Business Development),No,,
Binghamton Local Development Corporation,08/31/2018,No,,,,,,,,,,,
Binghamton Local Development Corporation,08/31/2019,No,,,,,,,,,,,
Bolton Local Development Corporation,12/31/2013,No,,,,,,,,,,,
Bolton Local Development Corporation,12/31/2014,No,,,,,,,,,,,
Bolton Local Development Corporation,12/31/2015,No,,,,,,,,,,,
Bolton Local Development Corporation,12/31/2016,No,,,,,,,,,,,
Bolton Local Development Corporation,12/31/2017,No,,,,,,,,,,,
Bolton Local Development Corporation,12/31/2018,No,,,,,,,,,,,
Bolton Local Development Corporation,12/31/2019,No,,,,,,,,,,,
Bronx Overall Economic Development Corporation,06/30/2013,,Other,Hostos Community College,BRONX,NY,10451,100000.0,10/18/2012,Education/Training (Business Development),No,,
Bronx Overall Economic Development Corporation,06/30/2013,,Other,Sustainable South Bronx,BRONX,NY,10474,93750.0,01/01/2013,Land Preservation/Resource Conservation/Recreation,No,,
Bronx Overall Economic Development Corporation,06/30/2013,,Other,The Children's Museum,BRONX,NY,10451,200000.0,08/02/2012,Business Expansion/Startup,No,,
Bronx Overall Economic Development Corporation,06/30/2013,,Other,The Society for Equitable Excellence,NEW YORK,NY,10025,28000.0,12/20/2012,Education/Training (Business Development),No,,
Bronx Overall Economic Development Corporation,06/30/2013,,State,ABC Carpet Home,NEW YORK,NY,10003,28100.0,07/01/2012,Land Preservation/Resource Conservation/Recreation,No,,
Bronx Overall Economic Development Corporation,06/30/2014,,Other,New Fulton Fish Market,BRONX,NY,10458,7108.0,01/31/2014,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Bronx Overall Economic Development Corporation,06/30/2015,No,,,,,,,,,,,
Bronx Overall Economic Development Corporation,06/30/2016,No,,,,,,,,,,,
Bronx Overall Economic Development Corporation,06/30/2017,No,,,,,,,,,,,
Bronx Overall Economic Development Corporation,06/30/2018,No,,,,,,,,,,,
Bronx Overall Economic Development Corporation,06/30/2019,No,,,,,,,,,,,
Brooklyn Bridge Park Corporation,06/30/2012,No,,,,,,,,,,,
Brooklyn Bridge Park Corporation,06/30/2013,No,,,,,,,,,,,
Brooklyn Bridge Park Corporation,06/30/2014,No,,,,,,,,,,,
Brooklyn Bridge Park Corporation,06/30/2015,No,,,,,,,,,,,
Brooklyn Bridge Park Corporation,06/30/2016,No,,,,,,,,,,,
Brooklyn Bridge Park Corporation,06/30/2017,No,,,,,,,,,,,
Brooklyn Bridge Park Corporation,06/30/2018,No,,,,,,,,,,,
Brooklyn Bridge Park Corporation,06/30/2019,No,,,,,,,,,,,
Brooklyn Navy Yard Development Corporation,06/30/2014,No,,,,,,,,,,,
Brooklyn Navy Yard Development Corporation,06/30/2015,No,,,,,,,,,,,
Brooklyn Navy Yard Development Corporation,06/30/2016,No,,,,,,,,,,,
Brooklyn Navy Yard Development Corporation,06/30/2017,No,,,,,,,,,,,
Brooklyn Navy Yard Development Corporation,06/30/2018,No,,,,,,,,,,,
Brooklyn Navy Yard Development Corporation,06/30/2019,No,,,,,,,,,,,
Broome County Land Bank,12/31/2013,No,,,,,,,,,,,
Broome County Land Bank,12/31/2014,No,,,,,,,,,,,
Broome County Land Bank,12/31/2015,No,,,,,,,,,,,
Broome County Land Bank,12/31/2016,No,,,,,,,,,,,
Broome County Land Bank,12/31/2017,No,,,,,,,,,,,
Broome County Land Bank,12/31/2018,No,,,,,,,,,,,
Broome County Land Bank,12/31/2019,No,,,,,,,,,,,
Broome County Local Development Corporation,12/31/2012,No,,,,,,,,,,,
Broome County Local Development Corporation,12/31/2013,No,,,,,,,,,,,
Broome County Local Development Corporation,12/31/2014,No,,,,,,,,,,,
Broome County Local Development Corporation,12/31/2015,No,,,,,,,,,,,
Broome County Local Development Corporation,12/31/2016,No,,,,,,,,,,,
Broome County Local Development Corporation,12/31/2017,No,,,,,,,,,,,
Broome County Local Development Corporation,12/31/2018,No,,,,,,,,,,,
Broome County Local Development Corporation,12/31/2019,No,,,,,,,,,,,
Broome Tobacco Asset Securitization Corporation,12/31/2011,No,,,,,,,,,,,
Broome Tobacco Asset Securitization Corporation,12/31/2012,No,,,,,,,,,,,
Broome Tobacco Asset Securitization Corporation,12/31/2013,No,,,,,,,,,,,
Broome Tobacco Asset Securitization Corporation,12/31/2014,No,,,,,,,,,,,
Broome Tobacco Asset Securitization Corporation,12/31/2015,No,,,,,,,,,,,
Broome Tobacco Asset Securitization Corporation,12/31/2016,No,,,,,,,,,,,
Broome Tobacco Asset Securitization Corporation,12/31/2017,No,,,,,,,,,,,
Broome Tobacco Asset Securitization Corporation,12/31/2018,No,,,,,,,,,,,
Buffalo Erie Niagara Land Improvement Corporation,12/31/2013,No,,,,,,,,,,,
Buffalo Erie Niagara Land Improvement Corporation,12/31/2014,No,,,,,,,,,,,
Buffalo Erie Niagara Land Improvement Corporation,12/31/2015,No,,,,,,,,,,,
Buffalo Erie Niagara Land Improvement Corporation,12/31/2016,No,,,,,,,,,,,
Buffalo Erie Niagara Land Improvement Corporation,12/31/2017,No,,,,,,,,,,,
Buffalo Erie Niagara Land Improvement Corporation,12/31/2018,No,,,,,,,,,,,
Buffalo Erie Niagara Land Improvement Corporation,12/31/2019,No,,,,,,,,,,,
Buffalo Urban Development Corporation,12/31/2011,No,,,,,,,,,,,
Buffalo Urban Development Corporation,12/31/2012,,Other,Urban Land Institute,WASHINGTON,DC,20007,10000.0,12/18/2012,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Buffalo Urban Development Corporation,12/31/2013,No,,,,,,,,,,,
Buffalo Urban Development Corporation,12/31/2014,,Not for Profit,City of Buffalo,BUFFALO,NY,14202,500000.0,07/30/2014,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Buffalo Urban Development Corporation,12/31/2014,,Not for Profit,City of Buffalo,BUFFALO,NY,14202,800000.0,11/26/2014,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Buffalo Urban Development Corporation,12/31/2015,No,,,,,,,,,,,
Buffalo Urban Development Corporation,12/31/2016,No,,,,,,,,,,,
Buffalo Urban Development Corporation,12/31/2017,No,,,,,,,,,,,
Buffalo Urban Development Corporation,12/31/2018,No,,,,,,,,,,,
Buffalo Urban Development Corporation,12/31/2019,No,,,,,,,,,,,
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,No,,,,,,,,,,,
Buffalo and Erie County Industrial Land Development Corporation,12/31/2012,No,,,,,,,,,,,
Buffalo and Erie County Industrial Land Development Corporation,12/31/2013,No,,,,,,,,,,,
Buffalo and Erie County Industrial Land Development Corporation,12/31/2014,No,,,,,,,,,,,
Buffalo and Erie County Industrial Land Development Corporation,12/31/2015,No,,,,,,,,,,,
Buffalo and Erie County Industrial Land Development Corporation,12/31/2016,No,,,,,,,,,,,
Buffalo and Erie County Industrial Land Development Corporation,12/31/2017,No,,,,,,,,,,,
Buffalo and Erie County Industrial Land Development Corporation,12/31/2018,No,,,,,,,,,,,
Buffalo and Erie County Industrial Land Development Corporation,12/31/2019,No,,,,,,,,,,,
Buffalo and Erie County Regional Development Corporation,12/31/2011,No,,,,,,,,,,,
Buffalo and Erie County Regional Development Corporation,12/31/2012,No,,,,,,,,,,,
Buffalo and Erie County Regional Development Corporation,12/31/2013,No,,,,,,,,,,,
Buffalo and Erie County Regional Development Corporation,12/31/2014,No,,,,,,,,,,,
Buffalo and Erie County Regional Development Corporation,12/31/2015,No,,,,,,,,,,,
Buffalo and Erie County Regional Development Corporation,12/31/2016,No,,,,,,,,,,,
Buffalo and Erie County Regional Development Corporation,12/31/2017,No,,,,,,,,,,,
Buffalo and Erie County Regional Development Corporation,12/31/2018,No,,,,,,,,,,,
Buffalo and Erie County Regional Development Corporation,12/31/2019,No,,,,,,,,,,,
Build NYC Resource Corporation,06/30/2012,No,,,,,,,,,,,
Build NYC Resource Corporation,06/30/2013,No,,,,,,,,,,,
Build NYC Resource Corporation,06/30/2014,No,,,,,,,,,,,
Build NYC Resource Corporation,06/30/2015,,Not for Profit,NYC Neighborhood Capital Corporation,NEW YORK,NY,10038,125000.0,09/16/2014,Business Expansion/Startup,No,,
Build NYC Resource Corporation,06/30/2016,,Not for Profit,NYC Neighborhood Capital Corporation,NEW YORK,NY,10038,125000.0,09/16/2014,Business Expansion/Startup,No,,
Build NYC Resource Corporation,06/30/2017,No,,,,,,,,,,,
Build NYC Resource Corporation,06/30/2018,No,,,,,,,,,,,
Build NYC Resource Corporation,06/30/2019,No,,,,,,,,,,,
Business Development Corporation for a Greater Massena,12/31/2011,No,,,,,,,,,,,
Business Development Corporation for a Greater Massena,12/31/2012,No,,,,,,,,,,,
Business Development Corporation for a Greater Massena,12/31/2013,No,,,,,,,,,,,
Business Development Corporation for a Greater Massena,12/31/2014,No,,,,,,,,,,,
Business Development Corporation for a Greater Massena,12/31/2015,No,,,,,,,,,,,
Canton Capital Resource Corporation,12/31/2012,No,,,,,,,,,,,
Canton Capital Resource Corporation,12/31/2013,No,,,,,,,,,,,
Canton Capital Resource Corporation,12/31/2014,No,,,,,,,,,,,
Canton Capital Resource Corporation,12/31/2015,No,,,,,,,,,,,
Canton Capital Resource Corporation,12/31/2016,No,,,,,,,,,,,
Capitalize Albany Corporation,12/31/2011,,Private,City of Albany,ALBANY,NY,12207,10000.0,10/20/2011,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2012,,State,"39 Sheridan Realty, LLC",ALBANY,NY,12207,150000.0,12/17/2012,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,,
Capitalize Albany Corporation,12/31/2012,,State,"4-6 Sheridan Avenue, LLC",SLINGERLANDS,NY,12159,150000.0,03/28/2012,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,,
Capitalize Albany Corporation,12/31/2013,,State,Penta on Broadway LLC,ALBANY,NY,12205,87500.0,03/04/2013,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,,
Capitalize Albany Corporation,12/31/2013,,State,"RNG 111 Pine, LLC",LONG ISLAND CITY,NY,11101,75000.0,03/11/2013,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,,
Capitalize Albany Corporation,12/31/2014,,State,Kostandin Kacani,ALBANY,NY,12208,40083.6,08/14/2014,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,,
Capitalize Albany Corporation,12/31/2015,,State,Albany Housing Authority,ALBANY,NY,12202,72000.0,03/13/2015,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,,
Capitalize Albany Corporation,12/31/2015,,State,Habitat for Humanity,ALBANY,NY,12210,40000.0,03/12/2015,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,,
Capitalize Albany Corporation,12/31/2015,,State,Sierra Murray,ALBANY,NY,12210,30000.0,03/13/2015,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,,
Capitalize Albany Corporation,12/31/2016,,Not for Profit,All Nations Tabernacle,ALBANY,NY,12208,1581.84,12/13/2016,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2016,,Not for Profit,Dali Mamma,ALBANY,NY,12207,2250.0,09/06/2016,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2016,,Not for Profit,Downtown Albany BID,ALBANY,NY,12207,3259.52,10/27/2016,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2016,,Not for Profit,Lark Street BID,ALBANY,NY,12210,2500.0,10/07/2016,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2016,,Not for Profit,Stacks Espresso,ALBANY,NY,12210,19523.0,12/16/2016,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,"Albany Improv, LLC",ALBANY,NY,12210,2557.1,05/15/2017,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,Albany Jewish Community Center,ALBANY,NY,12208,5000.0,10/17/2017,Marketing and Business Recruitment,No,,
Cayuga County Development Corporation,12/31/2019,No,,,,,,,,,,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,"Albany Land & Water Tours, LLC",ALBANY,NY,12204,4908.89,12/28/2017,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,"Bull Markets Holding Company, LLC.",ALBANY,NY,12207,32000.0,08/15/2017,Business Expansion/Startup,Yes,3.0,4.0
Capitalize Albany Corporation,12/31/2017,,Not for Profit,Capital Region Nordic Alliance,ALBANY,NY,12203,3226.4,12/28/2017,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,Downtown Albany BID,ALBANY,NY,12207,2140.35,12/13/2017,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,Electronic Body Arts,ALBANY,NY,12210,3672.22,08/15/2017,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,Lark Street BID,ALBANY,NY,12210,540.0,10/03/2017,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,Lark Street BID,ALBANY,NY,12210,4000.0,12/11/2017,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,Pine Hills Neighborhood Association,ALBANY,NY,12208,2949.05,02/06/2017,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,The University at Albany Foundation,ALBANY,NY,12203,787.87,01/12/2017,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2017,,Not for Profit,The University at Albany Foundation,ALBANY,NY,12203,2180.0,12/28/2017,Marketing and Business Recruitment,No,,
Capitalize Albany Corporation,12/31/2018,,Municipal,"Don's Moving & Storage, Inc.",ALBANY,NY,12207,14200.0,08/07/2018,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
Capitalize Albany Corporation,12/31/2018,,Municipal,Fort Orange Brewing Corp,ALBANY,NY,12204,2928.5,04/24/2018,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,,
