PUBLICATION DATE,FISCAL YEAR,AGENCY CODE,AGENCY NAME,ALL FUNDS,CITY FUND,REMARK
2.017113E7,2002.0,906,Off. of Prosec. & Spec. Narc.,16012.0,13986.0,?
2.017113E7,2002.0,941,Public Administrator - N.Y.,915.0,915.0,?
2.017113E7,2002.0,942,Public Administrator - Bronx,329.0,329.0,?
2.017113E7,2002.0,943,Public Administrator- Brooklyn,439.0,439.0,?
2.017113E7,2002.0,944,Public Administrator - Queens,343.0,343.0,?
2.017113E7,2002.0,945,Public Administrator -Richmond,237.0,237.0,?
2.017113E7,2002.0,989,Prior Payable Adjustment,-557916.0,-413262.0,?
2.017113E7,2002.0,991,General Reserve,0.0,0.0,?
2.017113E7,2002.0,992,Citywide Savings Initiatives,0.0,0.0,?
2.017113E7,2002.0,995,Energy Adjustment,0.0,0.0,?
2.017113E7,2002.0,996,Lease Adjustment,0.0,0.0,?
2.017113E7,2002.0,998,OTPS Inflation Adjustment,0.0,0.0,?
2.017113E7,2002.0,ICA,Intra-City Adjustment,-1390354.0,0.0,?
2.017113E7,2002.0,PDA,Prepayment and Defeasance Adjustment,-2263063.0,-2263063.0,?
2.017113E7,2002.0,TCW,CITYWIDE TOTAL,4.1615432E7,2.6567991E7,?
2.017113E7,2003.0,100,M.A.C. Debt Service,225236.0,225236.0,?
2.017113E7,2003.0,101,Public Advocate,1854.0,1854.0,?
2.017113E7,2003.0,102,City Council,44921.0,43876.0,?
2.017113E7,2003.0,103,City Clerk,2586.0,2531.0,?
2.017113E7,2003.0,125,Department for the Aging,229491.0,116533.0,?
2.017113E7,2003.0,126,Department of Cultural Affairs,120425.0,119435.0,?
2.017113E7,2003.0,127,Financial Info. Serv. Agency,33047.0,26492.0,?
2.017113E7,2003.0,130,Department of Juvenile Justice,108402.0,76845.0,?
2.017113E7,2003.0,131,Office of Payroll Admin.,6733.0,5812.0,?
2.017113E7,2003.0,132,Independent Budget Office,2262.0,2262.0,?
2.017113E7,2003.0,133,Equal Employment Practices Com,475.0,475.0,?
2.017113E7,2003.0,134,Civil Service Commission,480.0,480.0,?
2.017113E7,2003.0,136,Landmarks Preservation Comm.,3046.0,2450.0,?
2.017113E7,2003.0,138,Districting Commission,1660.0,1660.0,?
2.017113E7,2003.0,156,Taxi & Limousine Commission,21534.0,21527.0,?
2.017113E7,2003.0,226,Commission on Human Rights,7756.0,3222.0,?
2.017113E7,2003.0,260,Youth & Community Development,157461.0,89980.0,?
2.017113E7,2003.0,312,Conflicts of Interest Board,1547.0,1547.0,?
2.017113E7,2003.0,313,Office of Collective Barg.,1545.0,1378.0,?
2.017113E7,2003.0,499,Community Boards (All),11536.0,11531.0,?
2.017113E7,2003.0,781,Department of Probation,83205.0,54502.0,?
2.017113E7,2003.0,801,Dept. Small Business Services,41954.0,18958.0,?
2.017113E7,2003.0,806,Housing Preservation & Dev.,389902.0,57098.0,?
2.017113E7,2003.0,810,Department of Buildings,57862.0,57445.0,?
2.017113E7,2003.0,816,Dept Health & Mental Hygiene,1428497.0,518987.0,?
2.017113E7,2003.0,817,Dept of Mental Health,0.0,0.0,?
2.017113E7,2003.0,819,Health + Hospitals,914973.0,826572.0,?
2.017113E7,2003.0,820,Office of Administrative Trials and Hearings,0.0,0.0,?
2.017113E7,2003.0,826,Dept of Environmental Prot.,701640.0,655668.0,?
2.017113E7,2003.0,827,Department of Sanitation,991439.0,956840.0,?
2.017113E7,2003.0,829,Business Integrity Commission,4685.0,4680.0,?
2.017113E7,2003.0,836,Department of Finance,181778.0,176556.0,?
2.017113E7,2003.0,841,Department of Transportation,501447.0,255506.0,?
2.017113E7,2003.0,846,Dept of Parks and Recreation,254169.0,159653.0,?
2.017113E7,2003.0,850,Dept. of Design & Construction,162386.0,6437.0,?
2.017113E7,2003.0,856,Dept of Citywide Admin Srvces,683421.0,143601.0,?
2.017113E7,2003.0,858,D.O.I.T.T.,190359.0,70636.0,?
2.017113E7,2003.0,860,Dept of Records & Info Serv.,4219.0,3386.0,?
2.017113E7,2003.0,866,Department of Consumer Affairs,13948.0,12153.0,?
2.017113E7,2003.0,901,District Attorney - N.Y.,78975.0,63777.0,?
2.017113E7,2003.0,902,District Attorney - Bronx,42730.0,35897.0,?
2.017113E7,2003.0,903,District Attorney - Kings,72604.0,61516.0,?
2.017113E7,2003.0,904,District Attorney - Queens,38756.0,32592.0,?
2.017113E7,2003.0,905,District Attorney - Richmond,6352.0,5430.0,?
2.017113E7,2003.0,906,Off. of Prosec. & Spec. Narc.,15110.0,12920.0,?
2.017113E7,2003.0,941,Public Administrator - N.Y.,992.0,992.0,?
2.017113E7,2003.0,942,Public Administrator - Bronx,331.0,331.0,?
2.017113E7,2003.0,943,Public Administrator- Brooklyn,419.0,419.0,?
2.017113E7,2003.0,944,Public Administrator - Queens,344.0,344.0,?
2.017113E7,2003.0,945,Public Administrator -Richmond,223.0,223.0,?
2.017113E7,2003.0,989,Prior Payable Adjustment,-372892.0,-177968.0,?
2.017113E7,2003.0,991,General Reserve,0.0,0.0,?
2.017113E7,2003.0,992,Citywide Savings Initiatives,0.0,0.0,?
2.017113E7,2003.0,995,Energy Adjustment,0.0,0.0,?
2.017113E7,2003.0,996,Lease Adjustment,0.0,0.0,?
2.017113E7,2003.0,998,OTPS Inflation Adjustment,0.0,0.0,?
2.017113E7,2003.0,ICA,Intra-City Adjustment,-1110255.0,0.0,?
2.017113E7,2003.0,PDA,Prepayment and Defeasance Adjustment,736774.0,736774.0,?
2.017113E7,2003.0,TCW,CITYWIDE TOTAL,4.5177308E7,2.9935781E7,?
2.017113E7,2004.0,100,M.A.C. Debt Service,501534.0,501534.0,?
2.017113E7,2004.0,101,Public Advocate,2069.0,2069.0,?
2.017113E7,2004.0,102,City Council,46465.0,45461.0,?
2.017113E7,2004.0,103,City Clerk,2998.0,2963.0,?
2.017113E7,2004.0,125,Department for the Aging,228593.0,88119.0,?
2.017113E7,2004.0,126,Department of Cultural Affairs,118141.0,117152.0,?
2.017113E7,2004.0,127,Financial Info. Serv. Agency,35386.0,29869.0,?
2.017113E7,2004.0,130,Department of Juvenile Justice,93009.0,62859.0,?
2.017113E7,2004.0,131,Office of Payroll Admin.,7200.0,6199.0,?
2.017113E7,2004.0,132,Independent Budget Office,2422.0,2422.0,?
2.017113E7,2004.0,133,Equal Employment Practices Com,478.0,474.0,?
2.017113E7,2004.0,134,Civil Service Commission,461.0,461.0,?
2.017113E7,2004.0,136,Landmarks Preservation Comm.,3127.0,2539.0,?
2.017113E7,2004.0,138,Districting Commission,4.0,4.0,?
2.017113E7,2004.0,156,Taxi & Limousine Commission,23170.0,23165.0,?
2.017113E7,2004.0,226,Commission on Human Rights,7243.0,2828.0,?
2.017113E7,2004.0,260,Youth & Community Development,244445.0,115124.0,?
2.017113E7,2004.0,312,Conflicts of Interest Board,1438.0,1438.0,?
2.017113E7,2004.0,313,Office of Collective Barg.,1552.0,1411.0,?
2.017113E7,2004.0,499,Community Boards (All),11964.0,11940.0,?
2.017113E7,2004.0,781,Department of Probation,79282.0,56678.0,?
2.017113E7,2004.0,801,Dept. Small Business Services,112277.0,36454.0,?
2.017113E7,2004.0,806,Housing Preservation & Dev.,418602.0,56286.0,?
2.017113E7,2004.0,810,Department of Buildings,57895.0,57770.0,?
2.017113E7,2004.0,816,Dept Health & Mental Hygiene,1470614.0,555913.0,?
2.017113E7,2004.0,817,Dept of Mental Health,0.0,0.0,?
2.017113E7,2004.0,819,Health + Hospitals,946842.0,818027.0,?
2.017113E7,2004.0,820,Office of Administrative Trials and Hearings,0.0,0.0,?
2.017113E7,2004.0,826,Dept of Environmental Prot.,709230.0,661120.0,?
2.017113E7,2004.0,827,Department of Sanitation,998001.0,965605.0,?
2.017113E7,2004.0,829,Business Integrity Commission,4383.0,4378.0,?
2.017113E7,2004.0,836,Department of Finance,220635.0,201277.0,?
2.017113E7,2004.0,841,Department of Transportation,501650.0,280376.0,?
2.017113E7,2004.0,846,Dept of Parks and Recreation,261616.0,184255.0,?
2.017113E7,2004.0,850,Dept. of Design & Construction,82566.0,0.0,?
2.017113E7,2004.0,856,Dept of Citywide Admin Srvces,688750.0,136922.0,?
2.017113E7,2004.0,858,D.O.I.T.T.,201380.0,82439.0,?
2.017113E7,2004.0,860,Dept of Records & Info Serv.,4160.0,3698.0,?
2.017113E7,2004.0,866,Department of Consumer Affairs,14627.0,11799.0,?
2.017113E7,2004.0,901,District Attorney - N.Y.,78878.0,66875.0,?
2.017113E7,2004.0,902,District Attorney - Bronx,43410.0,36602.0,?
2.017113E7,2004.0,903,District Attorney - Kings,69994.0,61268.0,?
2.017113E7,2004.0,904,District Attorney - Queens,38350.0,34698.0,?
2.017113E7,2004.0,905,District Attorney - Richmond,6897.0,5765.0,?
2.017113E7,2004.0,906,Off. of Prosec. & Spec. Narc.,15510.0,13490.0,?
2.017113E7,2004.0,941,Public Administrator - N.Y.,964.0,964.0,?
2.017113E7,2004.0,942,Public Administrator - Bronx,320.0,320.0,?
2.017113E7,2004.0,943,Public Administrator- Brooklyn,403.0,403.0,?
2.017113E7,2004.0,944,Public Administrator - Queens,344.0,344.0,?
2.017113E7,2004.0,945,Public Administrator -Richmond,234.0,234.0,?
2.017113E7,2004.0,989,Prior Payable Adjustment,-311474.0,-329182.0,?
2.017113E7,2004.0,991,General Reserve,0.0,0.0,?
2.017113E7,2004.0,992,Citywide Savings Initiatives,0.0,0.0,?
2.017113E7,2004.0,995,Energy Adjustment,0.0,0.0,?
2.017113E7,2004.0,996,Lease Adjustment,0.0,0.0,?
2.017113E7,2004.0,998,OTPS Inflation Adjustment,0.0,0.0,?
2.017113E7,2004.0,ICA,Intra-City Adjustment,-1213036.0,0.0,?
2.017113E7,2004.0,PDA,Prepayment and Defeasance Adjustment,705916.0,705916.0,?
2.017113E7,2005.0,943,Public Administrator- Brooklyn,356.0,356.0,?
2.017113E7,2004.0,TCW,CITYWIDE TOTAL,4.7728791E7,3.2575676E7,?
2.017113E7,2005.0,100,M.A.C. Debt Service,110772.0,110772.0,?
2.017113E7,2005.0,101,Public Advocate,3110.0,3110.0,?
2.017113E7,2005.0,102,City Council,47428.0,46329.0,?
2.017113E7,2005.0,103,City Clerk,3020.0,3009.0,?
2.017113E7,2005.0,125,Department for the Aging,231264.0,99697.0,?
2.017113E7,2005.0,126,Department of Cultural Affairs,122237.0,120563.0,?
2.017113E7,2005.0,127,Financial Info. Serv. Agency,37278.0,31100.0,?
2.017113E7,2005.0,130,Department of Juvenile Justice,95827.0,68299.0,?
2.017113E7,2005.0,131,Office of Payroll Admin.,9715.0,8205.0,?
2.017113E7,2005.0,132,Independent Budget Office,2518.0,2518.0,?
2.017113E7,2005.0,133,Equal Employment Practices Com,538.0,538.0,?
2.017113E7,2005.0,134,Civil Service Commission,483.0,483.0,?
2.017113E7,2005.0,136,Landmarks Preservation Comm.,3329.0,2877.0,?
2.017113E7,2005.0,138,Districting Commission,0.0,0.0,?
2.017113E7,2005.0,156,Taxi & Limousine Commission,24847.0,24847.0,?
2.017113E7,2005.0,226,Commission on Human Rights,6680.0,2590.0,?
2.017113E7,2005.0,260,Youth & Community Development,246167.0,126952.0,?
2.017113E7,2005.0,312,Conflicts of Interest Board,1423.0,1423.0,?
2.017113E7,2005.0,313,Office of Collective Barg.,1611.0,1456.0,?
2.017113E7,2005.0,499,Community Boards (All),12312.0,12285.0,?
2.017113E7,2005.0,781,Department of Probation,78410.0,60587.0,?
2.017113E7,2005.0,801,Dept. Small Business Services,108277.0,31075.0,?
2.017113E7,2005.0,806,Housing Preservation & Dev.,473873.0,53362.0,?
2.017113E7,2005.0,810,Department of Buildings,64273.0,64240.0,?
2.017113E7,2005.0,816,Dept Health & Mental Hygiene,1443466.0,539751.0,?
2.017113E7,2005.0,817,Dept of Mental Health,0.0,0.0,?
2.017113E7,2005.0,819,Health + Hospitals,1125427.0,997358.0,?
2.017113E7,2005.0,820,Office of Administrative Trials and Hearings,0.0,0.0,?
2.017113E7,2005.0,826,Dept of Environmental Prot.,755584.0,704929.0,?
2.017113E7,2005.0,827,Department of Sanitation,1034946.0,1009084.0,?
2.017113E7,2005.0,829,Business Integrity Commission,4816.0,4816.0,?
2.017113E7,2005.0,836,Department of Finance,202146.0,197565.0,?
2.017113E7,2005.0,841,Department of Transportation,553590.0,300156.0,?
2.017113E7,2005.0,846,Dept of Parks and Recreation,287086.0,202613.0,?
2.017113E7,2005.0,850,Dept. of Design & Construction,85061.0,0.0,?
2.017113E7,2005.0,856,Dept of Citywide Admin Srvces,762188.0,150719.0,?
2.017113E7,2005.0,858,D.O.I.T.T.,223681.0,101330.0,?
2.017113E7,2005.0,860,Dept of Records & Info Serv.,4329.0,3678.0,?
2.017113E7,2005.0,866,Department of Consumer Affairs,15386.0,12934.0,?
2.017113E7,2005.0,901,District Attorney - N.Y.,79272.0,64975.0,?
2.017113E7,2005.0,902,District Attorney - Bronx,44219.0,37902.0,?
2.017113E7,2005.0,903,District Attorney - Kings,72683.0,66247.0,?
2.017113E7,2005.0,904,District Attorney - Queens,39299.0,34351.0,?
2.017113E7,2005.0,905,District Attorney - Richmond,6977.0,5902.0,?
2.017113E7,2005.0,906,Off. of Prosec. & Spec. Narc.,15433.0,13511.0,?
2.017113E7,2005.0,941,Public Administrator - N.Y.,1030.0,1030.0,?
2.017113E7,2005.0,942,Public Administrator - Bronx,308.0,308.0,?
2.017113E7,2005.0,944,Public Administrator - Queens,350.0,350.0,?
2.017113E7,2005.0,945,Public Administrator -Richmond,269.0,269.0,?
2.017113E7,2005.0,989,Prior Payable Adjustment,-338787.0,-225860.0,?
2.017113E7,2005.0,991,General Reserve,0.0,0.0,?
2.017113E7,2005.0,992,Citywide Savings Initiatives,0.0,0.0,?
2.017113E7,2005.0,995,Energy Adjustment,0.0,0.0,?
2.017113E7,2005.0,996,Lease Adjustment,0.0,0.0,?
2.017113E7,2005.0,998,OTPS Inflation Adjustment,0.0,0.0,?
2.017113E7,2005.0,ICA,Intra-City Adjustment,-1279242.0,0.0,?
2.017113E7,2005.0,PDA,Prepayment and Defeasance Adjustment,1805707.0,1805707.0,?
2.017113E7,2005.0,TCW,CITYWIDE TOTAL,5.3632988E7,3.69477E7,?
2.017113E7,2006.0,100,M.A.C. Debt Service,10000.0,10000.0,?
2.017113E7,2006.0,101,Public Advocate,2903.0,2903.0,?
2.017113E7,2006.0,102,City Council,49000.0,47886.0,?
2.017113E7,2006.0,103,City Clerk,3117.0,3117.0,?
2.017113E7,2006.0,125,Department for the Aging,268241.0,132764.0,?
2.017113E7,2006.0,126,Department of Cultural Affairs,136303.0,134266.0,?
2.017113E7,2006.0,127,Financial Info. Serv. Agency,44907.0,37132.0,?
2.017113E7,2006.0,130,Department of Juvenile Justice,104291.0,76493.0,?
2.017113E7,2006.0,131,Office of Payroll Admin.,9285.0,8188.0,?
2.017113E7,2006.0,132,Independent Budget Office,2658.0,2658.0,?
2.017113E7,2006.0,133,Equal Employment Practices Com,729.0,729.0,?
2.017113E7,2006.0,134,Civil Service Commission,465.0,465.0,?
2.017113E7,2006.0,136,Landmarks Preservation Comm.,3680.0,2945.0,?
2.017113E7,2006.0,138,Districting Commission,0.0,0.0,?
2.017113E7,2006.0,156,Taxi & Limousine Commission,25998.0,25554.0,?
2.017113E7,2006.0,226,Commission on Human Rights,6526.0,2457.0,?
2.017113E7,2006.0,260,Youth & Community Development,303039.0,180391.0,?
2.017113E7,2006.0,312,Conflicts of Interest Board,1435.0,1435.0,?
2.017113E7,2006.0,313,Office of Collective Barg.,1702.0,1534.0,?
2.017113E7,2006.0,499,Community Boards (All),13027.0,13007.0,?
2.017113E7,2006.0,781,Department of Probation,79771.0,60637.0,?
2.017113E7,2006.0,801,Dept. Small Business Services,125295.0,38369.0,?
2.017113E7,2006.0,806,Housing Preservation & Dev.,543240.0,68516.0,?
2.017113E7,2006.0,810,Department of Buildings,81526.0,81467.0,?
2.017113E7,2006.0,816,Dept Health & Mental Hygiene,1509524.0,587106.0,?
2.017113E7,2006.0,817,Dept of Mental Health,0.0,0.0,?
2.017113E7,2006.0,819,Health + Hospitals,1590636.0,1469669.0,?
2.017113E7,2006.0,820,Office of Administrative Trials and Hearings,0.0,0.0,?
2.017113E7,2006.0,826,Dept of Environmental Prot.,804393.0,757796.0,?
2.017113E7,2006.0,827,Department of Sanitation,1094894.0,1049104.0,?
2.017113E7,2006.0,829,Business Integrity Commission,4957.0,4957.0,?
2.017113E7,2006.0,836,Department of Finance,200527.0,196201.0,?
2.017113E7,2006.0,841,Department of Transportation,623223.0,337331.0,?
2.017113E7,2006.0,846,Dept of Parks and Recreation,308203.0,221867.0,?
2.017113E7,2006.0,850,Dept. of Design & Construction,87866.0,3235.0,?
2.017113E7,2006.0,856,Dept of Citywide Admin Srvces,855828.0,153615.0,?
2.017113E7,2006.0,858,D.O.I.T.T.,237224.0,107867.0,?
2.017113E7,2006.0,860,Dept of Records & Info Serv.,4592.0,3886.0,?
2.017113E7,2006.0,866,Department of Consumer Affairs,15561.0,12781.0,?
2.017113E7,2006.0,901,District Attorney - N.Y.,81147.0,68466.0,?
2.017113E7,2006.0,902,District Attorney - Bronx,45804.0,38857.0,?
2.017113E7,2006.0,903,District Attorney - Kings,76019.0,67447.0,?
2.017113E7,2006.0,904,District Attorney - Queens,41788.0,35567.0,?
2.017113E7,2006.0,905,District Attorney - Richmond,6964.0,5958.0,?
2.017113E7,2006.0,906,Off. of Prosec. & Spec. Narc.,16081.0,14141.0,?
2.017113E7,2006.0,941,Public Administrator - N.Y.,1086.0,1086.0,?
2.017113E7,2006.0,942,Public Administrator - Bronx,317.0,317.0,?
2.017113E7,2006.0,943,Public Administrator- Brooklyn,454.0,454.0,?
2.017113E7,2006.0,944,Public Administrator - Queens,414.0,414.0,?
2.017113E7,2006.0,945,Public Administrator -Richmond,339.0,339.0,?
2.017113E7,2006.0,989,Prior Payable Adjustment,-673255.0,-453519.0,?
2.017113E7,2006.0,991,General Reserve,0.0,0.0,?
2.017113E7,2006.0,992,Citywide Savings Initiatives,0.0,0.0,?
2.017113E7,2006.0,995,Energy Adjustment,0.0,0.0,?
2.017113E7,2006.0,996,Lease Adjustment,0.0,0.0,?
2.017113E7,2006.0,998,OTPS Inflation Adjustment,0.0,0.0,?
2.017113E7,2006.0,ICA,Intra-City Adjustment,-1396500.0,0.0,?
2.017113E7,2006.0,PDA,Prepayment and Defeasance Adjustment,372197.0,372197.0,?
2.017113E7,2006.0,TCW,CITYWIDE TOTAL,5.4713948E7,3.8370483E7,?
2.017113E7,2007.0,100,M.A.C. Debt Service,10000.0,10000.0,?
2.017113E7,2007.0,101,Public Advocate,3031.0,3031.0,?
2.017113E7,2007.0,102,City Council,50588.0,50588.0,?
2.017113E7,2007.0,103,City Clerk,3630.0,3630.0,?
2.017113E7,2007.0,125,Department for the Aging,271907.0,133165.0,?
2.017113E7,2007.0,126,Department of Cultural Affairs,149996.0,147812.0,?
2.017113E7,2007.0,127,Financial Info. Serv. Agency,51289.0,42585.0,?
2.017113E7,2007.0,130,Department of Juvenile Justice,127676.0,85206.0,?
2.017113E7,2007.0,131,Office of Payroll Admin.,11308.0,9426.0,?
2.017113E7,2007.0,132,Independent Budget Office,2845.0,2845.0,?
2.017113E7,2007.0,133,Equal Employment Practices Com,785.0,785.0,?
2.017113E7,2007.0,134,Civil Service Commission,530.0,530.0,?
2.017113E7,2007.0,136,Landmarks Preservation Comm.,4224.0,3550.0,?
2.017113E7,2007.0,138,Districting Commission,0.0,0.0,?
2.017113E7,2007.0,156,Taxi & Limousine Commission,25953.0,25953.0,?
2.017113E7,2007.0,226,Commission on Human Rights,6673.0,2683.0,?
2.017113E7,2007.0,260,Youth & Community Development,310561.0,210724.0,?
2.017113E7,2007.0,312,Conflicts of Interest Board,1741.0,1741.0,?
2.017113E7,2007.0,313,Office of Collective Barg.,1819.0,1634.0,?
2.017113E7,2007.0,499,Community Boards (All),13165.0,13131.0,?
2.017113E7,2007.0,781,Department of Probation,80679.0,62434.0,?
2.017113E7,2007.0,801,Dept. Small Business Services,122408.0,55308.0,?
2.017113E7,2007.0,806,Housing Preservation & Dev.,576104.0,74217.0,?
2.017113E7,2007.0,810,Department of Buildings,87195.0,87086.0,?
2.017113E7,2007.0,816,Dept Health & Mental Hygiene,1561741.0,589107.0,?
2.017113E7,2007.0,817,Dept of Mental Health,0.0,0.0,?
2.017113E7,2007.0,819,Health + Hospitals,810252.0,663259.0,?
2.017113E7,2007.0,820,Office of Administrative Trials and Hearings,0.0,0.0,?
2.017113E7,2007.0,826,Dept of Environmental Prot.,868771.0,808320.0,?
2.017113E7,2007.0,827,Department of Sanitation,1173420.0,1144784.0,?
2.017113E7,2007.0,829,Business Integrity Commission,5166.0,5135.0,?
2.017113E7,2007.0,836,Department of Finance,205866.0,200698.0,?
2.017113E7,2007.0,841,Department of Transportation,618376.0,358108.0,?
2.017113E7,2007.0,846,Dept of Parks and Recreation,332561.0,250150.0,?
2.017113E7,2007.0,850,Dept. of Design & Construction,96247.0,4671.0,?
2.017113E7,2007.0,856,Dept of Citywide Admin Srvces,934640.0,179008.0,?
2.017113E7,2007.0,858,D.O.I.T.T.,255567.0,132641.0,?
2.017113E7,2007.0,860,Dept of Records & Info Serv.,4729.0,4078.0,?
2.017113E7,2007.0,866,Department of Consumer Affairs,17113.0,15398.0,?
2.017113E7,2007.0,901,District Attorney - N.Y.,86427.0,71183.0,?
2.017113E7,2007.0,902,District Attorney - Bronx,47699.0,41163.0,?
2.017113E7,2007.0,903,District Attorney - Kings,79286.0,70429.0,?
2.017113E7,2007.0,904,District Attorney - Queens,44351.0,37909.0,?
2.017113E7,2007.0,905,District Attorney - Richmond,7595.0,6591.0,?
2.017113E7,2007.0,906,Off. of Prosec. & Spec. Narc.,16782.0,15066.0,?
2.017113E7,2007.0,941,Public Administrator - N.Y.,1104.0,1104.0,?
2.017113E7,2007.0,942,Public Administrator - Bronx,429.0,429.0,?
2.017113E7,2007.0,943,Public Administrator- Brooklyn,501.0,501.0,?
2.017113E7,2007.0,944,Public Administrator - Queens,408.0,408.0,?
2.017113E7,2007.0,945,Public Administrator -Richmond,348.0,348.0,?
2.017113E7,2007.0,989,Prior Payable Adjustment,-658175.0,-514796.0,?
2.017113E7,2007.0,991,General Reserve,0.0,0.0,?
2.017113E7,2007.0,992,Citywide Savings Initiatives,0.0,0.0,?
2.017113E7,2007.0,995,Energy Adjustment,0.0,0.0,?
2.017113E7,2007.0,996,Lease Adjustment,0.0,0.0,?
2.017113E7,2007.0,998,OTPS Inflation Adjustment,0.0,0.0,?
2.017113E7,2007.0,ICA,Intra-City Adjustment,-1387014.0,0.0,?
2.017113E7,2007.0,PDA,Prepayment and Defeasance Adjustment,1955309.0,1955309.0,?
2.017113E7,2007.0,TCW,CITYWIDE TOTAL,5.9811575E7,4.2697117E7,?
2.017113E7,2008.0,100,M.A.C. Debt Service,2750.0,2750.0,?
2.017113E7,2008.0,101,Public Advocate,3115.0,3115.0,?
2.017113E7,2008.0,102,City Council,51211.0,51211.0,?
2.017113E7,2008.0,103,City Clerk,3812.0,3812.0,?
2.017113E7,2008.0,125,Department for the Aging,290487.0,139140.0,?
2.017113E7,2008.0,126,Department of Cultural Affairs,161276.0,159002.0,?
2.017113E7,2008.0,127,Financial Info. Serv. Agency,56679.0,43965.0,?
2.017113E7,2008.0,130,Department of Juvenile Justice,130984.0,97632.0,?
2.017113E7,2008.0,131,Office of Payroll Admin.,12979.0,11195.0,?
2.017113E7,2008.0,132,Independent Budget Office,2925.0,2925.0,?
2.017113E7,2008.0,133,Equal Employment Practices Com,764.0,764.0,?
2.017113E7,2008.0,134,Civil Service Commission,583.0,583.0,?
2.017113E7,2008.0,136,Landmarks Preservation Comm.,4408.0,3727.0,?
2.017113E7,2008.0,138,Districting Commission,0.0,0.0,?
2.017113E7,2008.0,156,Taxi & Limousine Commission,27763.0,27763.0,?
2.017113E7,2008.0,226,Commission on Human Rights,6779.0,2506.0,?
2.017113E7,2008.0,260,Youth & Community Development,384061.0,259368.0,?
2.017113E7,2008.0,312,Conflicts of Interest Board,1882.0,1882.0,?
