Appeal Type,Appeal Subtype,Agency,Status,Date Filed,Date Closed,Exam No.,Title,Expiration,Extension,Acronym
Section 50,Character,Police Department - NYPD,Closed,12/13/2017,12/19/2017,6031.0,Stock Worker,11/02/2020,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/13/2017,,6508.0,Promotion to Child Protective Specialist Supervisor,07/26/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/13/2017,,6508.0,Promotion to Child Protective Specialist Supervisor,07/26/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/12/2017,,6508.0,Promotion to Child Protective Specialist Supervisor,07/26/2021,,DCAS
Section 50,Character,Police Department - NYPD,Open,12/12/2017,,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/11/2017,,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/11/2017,,7014.0,Emergency Medical Specialist Trainee,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/10/2017,,6508.0,Promotion to Child Protective Specialist Supervisor,07/26/2021,,DCAS
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Open,12/09/2017,,8207.0,Associate Transit Management Analyst (Operations),,,DCAS
Section 50,Character,Police Department - NYPD,Open,12/08/2017,,4324.0,Police Officer,09/14/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,12/07/2017,,4313.0,Police Officer,06/23/2020,,NYPD
Waiting for DQ,,Department of Sanitation - DSNY,Open,12/07/2017,,,,,,DSNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/07/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/06/2017,,6508.0,Promotion to Child Protective Specialist Supervisor,07/26/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Open,12/06/2017,,6307.0,Traffic Enforcement Agent,06/16/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/06/2017,,8003.0,Clerical Associate,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/06/2017,,8005.0,Secretary,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,12/06/2017,12/07/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/06/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,12/05/2017,,6508.0,Promotion to Child Protective Specialist Supervisor,07/26/2021,,DCAS
Section 50,Psych,Department of Social Services - DSS,Open,12/04/2017,,3328.0,Special Officer,10/14/2019,,DSS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/04/2017,,7014.0,Emergency Medical Specialist Trainee,,,DCAS
Section 50,Education and Experience,MTA New York City Transit - NYCT,Open,12/04/2017,,6613.0,Structure Maintainer Group E,,,NYCT
Section 50,Psych,Police Department - NYPD,Open,12/04/2017,,6329.0,Traffic Enforcement Agent,10/21/2020,,NYPD
Waiting for DQ,,Police Department - NYPD,Open,12/04/2017,,,,,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,12/03/2017,,7029.0,Statistician,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,12/01/2017,,6037.0,Senior Stationary Engineer,,,DCAS
Jurisdictional Issue,,Other - OTH,Open,12/01/2017,12/21/2017,,,,,OTH
Section 50,Medical,Department of Sanitation - DSNY,Open,11/30/2017,,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Character,Department of Correction - DOC,Open,11/30/2017,,7320.0,Correction Officer,01/11/2021,,DOC
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/30/2017,,6037.0,Senior Stationary Engineer,,,DCAS
Section 50,Character,Police Department - NYPD,Open,11/30/2017,,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,11/30/2017,,2324.0,Motor Vehicle Operator,12/02/2019,,NYPD
Section 50,Education and Experience,MTA New York City Transit - NYCT,Open,11/30/2017,,6613.0,Structure Maintainer Group E,,,NYCT
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/29/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Character,Police Department - NYPD,Closed,11/29/2017,12/20/2017,4313.0,Police Officer,06/23/2020,,NYPD
Section 50,Character,Police Department - NYPD,Open,11/29/2017,,4313.0,Police Officer,06/23/2020,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,11/29/2017,12/01/2017,7002.0,Computer Associate (Software),,,DCAS
Waiting for Appeal Request,,Department of Sanitation - DSNY,Open,11/29/2017,,,,,,DSNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/29/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Character,Police Department - NYPD,Open,11/28/2017,,4313.0,Police Officer,06/23/2020,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Open,11/28/2017,,6044.0,Fraud Investigator,,,DCAS
Section 50,Character,Police Department - NYPD,Open,11/28/2017,,6302.0,School Safety Agent,10/19/2020,,NYPD
Waiting for Appeal Request,,Police Department - NYPD,Open,11/28/2017,,,,,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/28/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Character,Police Department - NYPD,Open,11/28/2017,,4313.0,Police Officer,06/23/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Open,11/28/2017,,3317.0,Police Officer,12/16/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/27/2017,,7508.0,Computer Associate (Technical Support) (PROM),,,DCAS
Waiting for DQ,,Police Department - NYPD,Open,11/27/2017,,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Medical,Fire Department - FDNY,Open,11/27/2017,,7000.0,Emergency Medical Specialist - EMT,03/29/2021,,FDNY
Section 50,Character,Police Department - NYPD,Open,11/26/2017,,4323.0,Police Officer,08/26/2020,,NYPD
Section 50,Medical,Department of Sanitation - DSNY,Open,11/25/2017,,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Medical,Department of Sanitation - DSNY,Open,11/24/2017,,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Medical,Department of Sanitation - DSNY,Open,11/24/2017,,5001.0,Sanitation Worker,03/16/2020,,DSNY
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Open,11/24/2017,,,,,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,11/24/2017,,6508.0,Promotion to Child Protective Specialist Supervisor,07/26/2021,,DCAS
Section 50,Score,Department of Citywide Administrative Services - DCAS,Open,11/24/2017,,6042.0,Construction Project Manager,,,DCAS
Section 50,Character,Department of Correction - DOC,Open,11/22/2017,,7329.0,Correction Officer,02/15/2021,,DOC
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/22/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Character,Department of Citywide Administrative Services - DCAS,Open,11/21/2017,,1328.0,Eligibility Specialist,08/27/2018,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/21/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Psych,Police Department - NYPD,Open,11/21/2017,,7307.0,Traffic Enforcement Agent,04/05/2021,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/21/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/21/2017,,7029.0,Statistician,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/20/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/20/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/20/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Psych,Police Department - NYPD,Open,11/20/2017,,6307.0,Traffic Enforcement Agent,06/16/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/20/2017,,7029.0,Statistician,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/20/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Unauthorized Substance,Police Department - NYPD,Open,11/20/2017,,7307.0,Traffic Enforcement Agent,04/05/2021,,NYPD
Section 50,Medical,Fire Department - FDNY,Open,11/20/2017,,7000.0,Emergency Medical Specialist - EMT,03/29/2021,,FDNY
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/20/2017,,8003.0,Clerical Associate,,,DCAS
Section 50,Medical,Department of Sanitation - DSNY,Open,11/20/2017,,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/20/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/17/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/17/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/17/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/17/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,11/17/2017,12/19/2017,5319.0,Traffic Enforcement Agent,10/28/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/17/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/17/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/17/2017,,8003.0,Clerical Associate,,,DCAS
Waiting for Appeal Request,,Police Department - NYPD,Open,11/17/2017,,,,,,NYPD
Section 50,Character,Administration for Children's Services - ACS,Closed,11/17/2017,12/19/2017,6337.0,Child Protective Specialist,06/28/2021,,ACS
Section 50,Character,Police Department - NYPD,Open,11/16/2017,,3309.0,Police Officer,06/23/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/16/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/16/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/16/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/16/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/16/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/16/2017,,6508.0,Child Protective Specialist Supervisor (PROM),07/26/2021,,DCAS
Section 50,Character,Department of Correction - DOC,Open,11/15/2017,,7322.0,Correction Officer,05/17/2021,,DOC
Waiting for DQ,,Police Department - NYPD,Open,11/15/2017,,,,,,NYPD
Section 50,Psych,Police Department - NYPD,Open,11/15/2017,,4316.0,Police Officer,08/24/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/15/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/15/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/15/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Character,Police Department - NYPD,Open,11/15/2017,,4323.0,Police Officer,08/26/2020,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/15/2017,,7000.0,Emergency Medical Spcialist - EMT (FIRE),03/29/2021,,DCAS
Section 50,Medical,Department of Sanitation - DSNY,Open,11/15/2017,,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/14/2017,,7029.0,Statistician,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/14/2017,,7002.0,Computer Associate (Software),,,DCAS
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Open,11/14/2017,,8213.0,Administrative Graphic Artist,,,DCAS
Section 50,Medical,Department of Sanitation - DSNY,Closed,11/14/2017,12/12/2017,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Psych,Police Department - NYPD,Open,11/14/2017,,4307.0,School Safety Agent,01/07/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Open,11/14/2017,,6329.0,Traffic Enforcement Agent,10/21/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/14/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 76,Suspension,Housing Authority - NYCHA,Open,11/14/2017,,,,,,NYCHA
Section 76,Termination,Housing Authority - NYCHA,Open,11/14/2017,,,,,,NYCHA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/13/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/13/2017,,7002.0,Computer Associate,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/13/2017,,7029.0,Statistician,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/13/2017,,6037.0,Senior Stationary Engineer,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/13/2017,,6037.0,Senior Stationary Engineer,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/12/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Character,Police Department - NYPD,Open,11/11/2017,,4328.0,Police officer,11/23/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/11/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Medical,Department of Sanitation - DSNY,Open,11/11/2017,,5001.0,Sanitation Worker,03/16/2020,,DSNY
Waiting for DQ,,Police Department - NYPD,Open,11/10/2017,,,,,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Open,11/09/2017,,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/09/2017,,7011.0,Administrative Community Relations Specialist,09/20/2021,,DCAS
Section 50,Psych,Department of Finance - DOF,Closed,11/09/2017,11/09/2017,3021.0,Deputy City Sheriff,07/10/2017,,DOF
Section 50,Psych,Police Department - NYPD,Open,11/09/2017,,4320.0,Police Officer,08/25/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/09/2017,,6012.0,Auto Mechanic,09/06/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/09/2017,,7004.0,Computer Programmer Analyst,,,DCAS
Section 50,Psych,Police Department - NYPD,Open,11/09/2017,,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/08/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/08/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Medical,Police Department - NYPD,Open,11/08/2017,,5321.0,Police Officer,07/03/2021,,NYPD
Section 50,Unauthorized Substance,Police Department - NYPD,Open,11/08/2017,,7311.0,Traffic Enforcement Agent,08/02/2021,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,11/08/2017,12/08/2017,,,,,DCAS
Section 76,Demotion,Housing Authority - NYCHA,Open,11/06/2017,,,,,,NYCHA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/06/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Medical,Police Department - NYPD,Open,11/06/2017,,4310.0,Police Officer,12/28/2019,,NYPD
Section 50,Character,Police Department - NYPD,Open,11/06/2017,,4313.0,Police Officer,06/23/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Open,11/06/2017,,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Character,Department of Correction - DOC,Closed,11/06/2017,11/29/2017,7320.0,Correction Officer,01/11/2021,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/06/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Open,11/06/2017,,8003.0,Clerical Associate,,,DCAS
Section 50,Score,MTA New York City Transit - NYCT,Open,11/06/2017,,5716.0,Conductor,02/21/2021,,NYCT
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/06/2017,,8003.0,Clerical Associate,,,DCAS
Section 50,Character,Department of Correction - DOC,Open,11/06/2017,,7329.0,Correction Officer,02/15/2021,,DOC
Section 50,Psych,Police Department - NYPD,Open,11/06/2017,,4300.0,Police Officer,12/22/2019,,NYPD
Section 76,Suspension,Human Resources Administration - HRA,Open,11/06/2017,,,,,,HRA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/03/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Character,Department of Citywide Administrative Services - DCAS,Open,11/03/2017,,7322.0,Correction Officer,05/17/2021,,DCAS
Section 50,Character,Police Department - NYPD,Open,11/03/2017,,4310.0,Police Officer,12/28/2019,,NYPD
Other,,Police Department - NYPD,Closed,11/02/2017,11/03/2017,,,,,NYPD
Section 50,Psych,Police Department - NYPD,Open,11/02/2017,,3308.0,Police Officer,06/22/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,11/02/2017,,3313.0,Police Officer,09/24/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,11/02/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Psych,Police Department - NYPD,Open,11/01/2017,,3313.0,Police Officer,09/24/2019,,NYPD
Section 76,Termination,Department of Environmental Protection - DEP,Open,11/01/2017,,,,,,DEP
Section 50,Medical,Department of Sanitation - DSNY,Open,11/01/2017,,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Medical,Police Department - NYPD,Closed,11/01/2017,11/14/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,10/31/2017,,3315.0,Police Officer,12/10/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Open,10/31/2017,,3316.0,Police Officer,12/14/2019,,NYPD
Section 50,Character,Department of Correction - DOC,Open,10/31/2017,,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Medical,Police Department - NYPD,Open,10/30/2017,,4323.0,Police Officer,08/26/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/30/2017,,7002.0,Computer Associate (Software),,,DCAS
Section 50,Score,MTA New York City Transit - NYCT,Open,10/30/2017,,5716.0,Conductor,02/01/2021,,NYCT
Section 50,Psych,Police Department - NYPD,Open,10/30/2017,,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,10/30/2017,01/02/2018,6313.0,Traffic Enforcement Agent,09/21/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,10/27/2017,11/27/2017,8003.0,Clerical Associate,,,DCAS
Section 50,Character,Department of Correction - DOC,Open,10/27/2017,,7322.0,Correction Officer,05/17/2021,,DOC
Waiting for Appeal Request,,MTA New York City Transit - NYCT,Closed,10/27/2017,12/08/2017,,,,,NYCT
Section 50,Score,MTA New York City Transit - NYCT,Open,10/27/2017,,5716.0,Conductor,02/01/2021,,NYCT
Waiting for Appeal Request,,Police Department - NYPD,Closed,10/27/2017,12/08/2017,,,,,NYPD
Section 50,Medical,Department of Correction - DOC,Open,10/26/2017,,4318.0,Correction Officer,11/04/2019,,DOC
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,10/26/2017,10/27/2017,6042.0,Construction Project Manager,,,DCAS
Section 50,Psych,Police Department - NYPD,Open,10/25/2017,,6319.0,Traffic Enforcement Agent,10/19/2020,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,10/25/2017,,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,10/25/2017,11/29/2017,7003.0,Computer Associate (Technical Support),,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,10/25/2017,12/18/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Open,10/25/2017,,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Character,Department of Correction - DOC,Open,10/25/2017,,7320.0,Correction Officer,01/11/2021,,DOC
