State Fiscal Year End Date,Operator Name,Total Inspections,Failed Inspections,Operator ID,City,Region
03/31/2014,ACH TOV V'CHESSED,1,0,48138,BROOKLYN,11
03/31/2014,A-CLLASS LIMOUSINE INC.,7,0,44881,STATEN ISLAND,10
03/31/2014,ACME BUS CORP (BRIARCLIFF),11,0,23181,BRIARCLIFF,8
03/31/2014,ACME BUS CORP (COPIAGUE),336,15,23984,RONKONKOMA,10
03/31/2014,ACME BUS CORP.,123,3,46269,RONKONKOMA,8
03/31/2014,ACME BUS CORP.,291,10,1756,RONKONKOMA,10
03/31/2014,ACME BUS CORP.(WESTBURY),502,8,3051,RONKONKOMA,10
03/31/2014,ACME BUS CORP._(NORTHPORT),46,1,1768,RONKONKOMA,10
03/31/2014,ACME BUS CORP_(MEDFORD),561,14,27767,RONKONKOMA,10
03/31/2014,ACT AMBULETTE INC,72,11,3482,STATEN ISLAND,11
03/31/2014,ACTION AMBULETTE INC.,44,10,3121,YONKERS,8
03/31/2014,ACTION VENTURES INC,1,1,49653,STATEN ISLAND,11
03/31/2014,ADAMS APPLE SERVICES INC.,16,3,6315,SYRACUSE,3
03/31/2014,ADDISON CENTRAL SCHOOL DISTRIC,69,1,2692,ADDISON,4
03/31/2014,ADELWERTH BUS CORP.,124,6,1812,EASTPORT,10
03/31/2014,ADIRONDACK CENTRAL SCHOOL,70,2,2222,BOONVILLE,2
03/31/2014,ADIRONDACK COMMUNITY ACTION PROGRAM,15,3,1607,ELIZABETHTOWN,1
03/31/2014,ADIRONDACK MEDICAL TRANSPORT,11,3,49183,CROGHAN,3
03/31/2014,ADIRONDACK TRANSIT LINES,122,3,1626,ALBANY,1
03/31/2014,ADONNINO BROS INC,45,1,2525,MT. MORRIS,4
03/31/2014,ADRIANO LIMOUSINE & CAR SERVICE,4,0,48060,PORT EWEN,8
03/31/2014,ADRILLIZZ TRANSPORTATION,7,0,3284,CORONA,11
03/31/2014,ADS BUS SERVICE INC,8,0,28654,BRONX,11
03/31/2014,ADV0CACY AND RESOURCE CENTER,4,1,1601,PLATTSBURGH,1
03/31/2014,ADVANCE TRANSIT CO. INC,220,5,41400,BRONX,11
03/31/2014,ADVANCED TRANSPORTATION,2,1,4593,KENNEDY,5
03/31/2014,ADVANTAGE AMBULETTE SERVICE INC.,6,3,49047,VALLEY COTTAGE,8
03/31/2014,ADVANTAGE LIMOUSINE LTD,14,0,25225,EAST AMHERST,5
03/31/2014,ADVANTAGE TRANSIT GROUP INC.,16,0,50713,ALBANY,1
03/31/2014,ADVANTAGE TRANSPORTATION INC.,2,0,51084,BROOKLYN,11
03/31/2014,ADVENTURE EXPRESS,2,0,43579,ASTORIA,11
03/31/2014,AFFORDABLE LIMO SERVICE.COM,1,0,51952,WEST SENECA,5
03/31/2014,AFFORDABLE LIMOUSINE SERVICE LLC,14,0,40103,WEST SENECA,5
03/31/2014,AFFORDABLE WHEELCHAIR TRANSP.,5,1,4129,N SYRACUSE,3
03/31/2014,AFTON CENTRAL SCHOOL,43,0,2118,AFTON,2
03/31/2014,AGAPE TRANSPORTATION INC,1,0,49361,NEW YORK,11
03/31/2014,AGING AND HANDICAP TRANSPORTATION I,1,0,50918,PLATTSBURGH,1
03/31/2014,AGRI-BUS CHILD DEVELOPMENT PRO,2,0,2391,NEWFANE,3
03/31/2014,AGRIBUSINESS CHILD DEVELOPMENT,7,1,2290,FREDONIA,5
03/31/2014,AHAVA ACCESS INC,22,0,38115,BROOKLYN,11
03/31/2014,AIRPORT TRANSPORTATION,2,0,3241,VALLEY STREAM,10
03/31/2014,AJM SOPHISTICATED CHARTERS,2,1,50239,STATEN ISLAND,10
03/31/2014,AKRON CENTRAL SCHOOL,88,0,2072,AKRON,5
03/31/2014,AL KHOEL BENEVOLENT ASSOCIATIO,10,2,3277,JAMAICA,11
03/31/2014,"ALADDIN TRANSPORTATION, LLC.",3,1,48271,SYRACUSE,3
03/31/2014,ALBANIA LIMOSINE SERVICE INC.,4,4,47174,PUTNAM VALLEY,8
03/31/2014,ALBANY AQUA DUCKS INC.,7,2,42927,ALBANY,1
03/31/2014,ALBANY CAPITALAND ENT. INC.,7,2,4202,ALBANY,1
03/31/2014,ALBANY EXPRESS,2,2,46148,ALBANY,1
03/31/2014,ALBION CENTRAL SCHOOL DISTRICT,90,3,2996,ALBION,4
03/31/2014,ALDEN CENTRAL SCHOOL,108,0,2142,ALDEN,5
03/31/2014,ALERT AMBULETTE SERVICE CORP.,2,0,3632,BROOKLYN,11
03/31/2014,ALERT COACH LINES INC.,16,1,1757,RONKONKOMA,10
03/31/2014,ALEX TRANS INC.,4,0,40055,STATEN ISLAND,11
03/31/2014,ALEXANDER CENTRAL SCHOOL,40,0,2542,ALEXANDER,4
03/31/2014,ALEXANDRIA BUS & TRAVEL CORP.,3,3,5652,BROOKLYN,11
03/31/2014,ALEXANDRIA CENTRAL SCHOOL,41,1,2468,ALEXANDRIA BAY,3
03/31/2014,ALEXIS VAN LINES,67,6,27609,BROOKLYN,11
03/31/2014,ALFRED ALMOND CENTRAL SCHOOL,37,1,2693,ALMOND,4
03/31/2014,ALI COACH INC,2,1,48394,OZONE PARK,11
03/31/2014,ALINA SERVICE CORP,112,2,24907,DOUGLASTON,11
03/31/2014,ALL AMERICAN SCHOOL BUS CO.,38,5,3278,LONG ISLAND CITY,11
03/31/2014,ALL AROUND TRANSPORTATION INC,28,0,6702,BROOKLYN,11
03/31/2014,ALL CHILDRED'S CHILD CARE CENTER,3,0,40367,LONG ISLAND CITY,11
03/31/2014,ALL CITY JR TENNIS,2,0,4236,BRONX,8
03/31/2014,ALL CORPORATE TRANSPORT INC,2,0,30554,ISLANDIA,10
03/31/2014,ALL COUNTY BUS LLC,350,18,3126,YONKERS,8
03/31/2014,ALL COUNTY EXPRESS AIR SHUTTLE,17,1,28104,FREEPORT,11
03/31/2014,ALL COUNTY LIMOUSINE OF L I LTD,4,0,49380,BELLMORE,10
03/31/2014,ALL HALLOWS HIGH SCHOOL,6,0,27839,BRONX,8
03/31/2014,ALL ISLAND AIRPORT SERVICE,13,2,3536,WEST HEMPSTEAD,10
03/31/2014,ALL NATIONS COACH INC,5,1,48997,STATEN ISLAND,11
03/31/2014,"ALL OCCASIONS LIMO SERVICE, INC.",8,0,49923,TROY,1
03/31/2014,ALL POINTS AMBULETTE INC.,28,0,36939,HEWLETT,10
03/31/2014,"ALL TOUR OF AMERICA, INC.",1,0,51236,ORLANDO,11
03/31/2014,ALL TOWN CENTRAL TRANSPORTATION,31,2,37838,BROOKLYN,11
03/31/2014,ALL TRANSIT LLC,201,3,41393,ARVERNE,11
03/31/2014,ALLCARE AMBULETTE,6,0,48037,SPRING VALLEY,8
03/31/2014,ALLCARE TRANSPORTATION,2,1,1452,ALBANY,1
03/31/2014,ALLEGANY - LIMESTONE C.S.,66,0,6191,ALLEGANY,5
03/31/2014,ALLEGANY CHAPTER NYSARC,19,3,2694,WELLSVILLE,4
03/31/2014,"ALLEN CHASE ENTERPRISES, INC.",9,1,48479,MEXICO,3
03/31/2014,"ALLENCARE MEDICAL TRANSPORT, LLC",2,0,50325,"BRASHER FALLS,",1
03/31/2014,ALLENDALE COLUMBIA SCHOOL,4,0,50244,ROCHESTER,4
03/31/2014,"ALLIED CENTRAL AMBULETTE, INC",24,0,3335,BROOKLYN,11
03/31/2014,ALLIED TRANSIT CORP,171,1,33637,BROOKLYN,11
03/31/2014,ALLMEDICAL AMBULETTE INC.,7,0,33680,BROOKLYN,11
03/31/2014,"ALLSTATE COACH & LIMO, INC.",2,0,50323,"PLEASANTVILLE, NY 10",10
03/31/2014,ALLURE TRANSPORTATION INC.,11,0,3665,VALLEY STREAM .,11
03/31/2014,ALLWAYS EAST TRANS INC.,348,30,5655,YONKERS,8
03/31/2014,"ALLWAYS YOURS TRANSPORTATION, INC",12,2,41206,YONKERS,8
03/31/2014,AL-MAMOOR SCHOOL,2,0,49468,JAMAICA,11
03/31/2014,ALMAZ TRANSPORTATION INC,29,2,27527,BROOKLYN,11
03/31/2014,ALPHA VAN LINE,20,7,25276,JAMAICA,11
03/31/2014,ALPHABETLAND SCHOOL & DAY CAMP,5,1,3538,BELLMORE,10
03/31/2014,ALTA MEDICAL TRANSPORTING INC,17,0,43161,BROOKLYN,11
03/31/2014,ALTMAR PARISH WILLIAMSTOWN C.S,81,2,2504,PARISH,3
03/31/2014,ALVARO POVERDA DBA A.P. TOURS,3,0,49940,FRESH MEADOWS,11
03/31/2014,ALWAYS IN STYLE LIMOS INC,10,1,44517,LYNBROOK,10
03/31/2014,AM USA EXPRESS INC.,8,1,47241,NEW YORK,11
03/31/2014,AMAGANSETT U.F.S.D.,14,1,1813,AMAGANSETT,10
03/31/2014,AMAZING GRACE TRANSPORTATION LLC,11,7,48556,SCHENECTADY,1
03/31/2014,AMBULETTE STAR TRANS. INC.,33,0,3447,BROOKLYN,11
03/31/2014,AMERICAN AMBULETTE,13,0,6179,PLAINVIEW,10
03/31/2014,AMERICAN ASIA TRAVEL CENTER,4,1,48504,FLUSHING,11
03/31/2014,AMERICAN BIOMEDICAL AMBU SERVICE,6,2,3336,BROOKLYN,11
03/31/2014,B Z TRANSPORTATION INC,1,0,50597,W. HEMPSTEAD,10
03/31/2014,AMERICAN DREAM COACHES INC,4,0,40306,STATEN ISLAND,11
03/31/2014,AMERICAN GYMNASTICS,2,0,6183,BEDFORD HILLS,8
03/31/2014,AMERICAN LIMOUSINE SERVICE,14,3,28059,SYRACUSE,3
03/31/2014,AMERICAN LUXURY LIMOUSINE INC,2,1,33606,CENTEREACH,10
03/31/2014,AMERICAN MEDICAL RESPONSE,3,0,1752,HOLBROOK,10
03/31/2014,AMERICAN PARTY RIDE INC.,2,1,44998,HICKSVILLE,10
03/31/2014,AMERICAN TOURS & TRAVEL INC,10,3,49176,STATEN ISLAND,11
03/31/2014,AMERICAN TRANSIT OF ROCKLAND INC.,9,0,43948,NANUET,8
03/31/2014,AMERICA'S MEDICAL TRANSPORT,1,0,44267,SYRACUSE,3
03/31/2014,AMEX LIMOUSINE SERVICE CORP,3,3,42948,BROOKLYN,11
03/31/2014,AMG TRANSPORTATION INC,65,2,44376,FREEPORT,11
03/31/2014,AMITY SHUTTLE,30,1,24491,AMITYVILLE,10
03/31/2014,AMSTERDAM COMMUNITY TRANSIT,15,0,1582,AMSTERDAM,1
03/31/2014,ANABELLA TRANSPORTATION LLC,56,15,33888,MOUNT VERNON,8
03/31/2014,ANAILDA TROTMAN DBA TRANSPORTE NY,2,0,47974,ASTORIA,11
03/31/2014,ANCHOR BUS CO INC,36,0,3669,BROOKLYN,11
03/31/2014,ANDERSON CTR. FOR AUTISM,2,0,49378,STAATSBURG,8
03/31/2014,ANDES CENTRAL SCHOOL,17,0,2147,ANDES,2
03/31/2014,ANDOVER CENTRAL SCHOOL DISTRIC,26,3,2695,ANDOVER,4
03/31/2014,ANDRADE'S LIMO INC,3,0,49392,SOUTH OZONE PARK,11
03/31/2014,ANGEL RIDE LIMOUSINE,2,0,49804,COLD BROOK,2
03/31/2014,ANGEL'S TRANSPORTATION,2,0,37805,ELMHURST,11
03/31/2014,ANITA TRANSPORTATION,8,1,38338,CORONA,11
03/31/2014,ANN TRANSPORTATION CORP.,10,0,49898,LAGRANGEVILLE,8
03/31/2014,ANNA'S AIRPORT & LIMO SERVICE INC.,6,0,27532,BREWSTER,8
03/31/2014,ANNSUNCHO CONSULTANTS/SUNRISE AMB,4,0,50365,CORTLANDT MANNOR,8
03/31/2014,ANTNANNZ TRANSPORTATION SERVICES IN,2,0,50467,SPRINGFIELD GARDENS,11
03/31/2014,ANY TIME BUS CO. INC.,38,4,26720,HAUPPAUGE,10
03/31/2014,APEX COACH LLC,15,1,44707,BROOKLYN,11
03/31/2014,APEX INTERNATIONAL LIMOUSINE INC.,4,0,49363,BROOKLYN,11
03/31/2014,APITIUDE ENTERPRISES,2,0,50960,BAYSIDE,11
03/31/2014,"APOLLO NY-CITY AMBULETTE, INC",15,2,44378,FLUSHING,11
03/31/2014,APPLE COMMUTER INC.,17,1,37707,NEW HIDE PARK,11
03/31/2014,APPLE TRANSPORTATION INC,71,4,26716,ROCHESTER,4
03/31/2014,"APPLE TRANSPORTATION OF N. Y., INC",8,0,3217,ASTORIA,11
03/31/2014,APPROVED TRANSPORTATION SERVICES,76,6,33660,BROOKLYN,11
03/31/2014,AQUINAS HIGH SCHOOL,2,0,26347,BRONX,11
03/31/2014,AQUINAS INSTITUTE,6,3,2997,ROCHESTER,4
03/31/2014,ARABIAN TRAVEL TRANS CORP,2,0,47977,LONG ISLAND CITY,11
03/31/2014,ARCADIA TRANSPORT COMPANY,18,2,2392,NEWARK,3
03/31/2014,ARCHBISHOP MOLLOY HIGH SCHOOL,14,1,25785,BRIERWOOD,11
03/31/2014,ARCHBISHOP STEPINAC H.S,14,5,25575,WHITE PLAINS,8
03/31/2014,ARDSLEY BUS LLC,213,14,48480,ARDSLEY,8
03/31/2014,ARDSLEY BUS LLC,33,2,51152,BRIARCLIFF MANOR,8
03/31/2014,ARDSLEY UNION FREE SCHOOL DIST,34,0,2839,ARDSLEY,8
03/31/2014,ARGYLE CENTRAL SCHOOL,32,0,1450,ARGYLE,1
03/31/2014,ARIES TRANSPORTATION SERVICE,151,4,2143,BUFFALO,5
03/31/2014,ARKPORT CENTRAL SCHOOL DISTRIC,31,2,2697,ARKPORT,4
03/31/2014,ARLINGTON CENTRAL SCHOOL,514,33,2809,POUGHKEEPSIE,8
03/31/2014,ARMONK LIMOUSINE CAR SERVICE INC.,8,0,49810,ARMONK,8
03/31/2014,"AROUND TOWN LIMOUSINE, INC",6,0,47447,ROCHESTER,4
03/31/2014,"ARTHUR F. MULLIGAN, INC.",401,24,2644,TILLSON,8
03/31/2014,ARTISTE LIMOUSINE SERVICE,6,3,47060,YORKTOWN HEIGHTS,8
03/31/2014,ASCONA  AMBULETTE  SERVICE  INC,52,2,24580,BROOKLYN,11
03/31/2014,ASIAN EXPRESS TRAVEL INC,19,2,49530,BELLPORT,11
03/31/2014,ASPIRE OF WESTERN NEW YORK INC.,2,2,2086,WEST SENECA,5
03/31/2014,ASSISTED TRANSP.OF LONG ISLAND INC.,1,0,51188,SCARSDALE,8
03/31/2014,ASSISTED TRANSPORTATION,4,1,51098,SCARSDALE,8
03/31/2014,ASSISTED TRANSPORTATION CORP.,6,0,50890,NEW WINDSOR,8
03/31/2014,ASSOCIATED BETHRIVKAH SCH HD START,8,0,29995,BROOKLYN,11
03/31/2014,ASTORIA EXPRESS TRANSIT,12,0,28296,ASTORIA,11
03/31/2014,ASTRA TRANSPORTATION CORP.,107,16,3949,YONKERS,8
03/31/2014,"AT YOUR SERVICE ENTERPRISES, LLC",1,0,51194,NEW MILFORD,11
03/31/2014,AT YOUR SERVICE TOURS & COACH CORP,2,1,47494,BRONX,11
03/31/2014,ATLANTIC AMBULETTE SERVICE INC.,2,0,49374,BALDWIN,10
03/31/2014,ATLANTIC PARATRANSIT,1,0,3068,MASPETH,11
03/31/2014,"ATLANTIC TRAVEL AND TOUR, INC",2,1,42740,BROOKLYN,11
03/31/2014,"ATLAS AMBULETTE,INC.",10,0,41197,FLORAL PARK,11
03/31/2014,"ATTICA BUS SERVICE, INC.",80,2,2144,ATTICA,4
03/31/2014,ATTICA CENTRAL SCHOOL DISTRICT,11,1,2543,ATTICA,4
03/31/2014,AU SABLE VALLEY CENTRAL SCHOOL,80,7,1590,CLINTONVILLE,1
03/31/2014,AUBURN ENL. CITY SCHOOL,10,0,2393,AUBURN,3
03/31/2014,"AUBURN LIMOUSINES, INC.",17,3,47392,AUBURN,3
03/31/2014,AUBURN MEDICAL TRANSPORT CO. INC.,10,1,44899,UNION SPRINGS,3
03/31/2014,AVA AMBULETTE CORP.,11,0,25176,BROOKLYN,11
03/31/2014,AVERILL PARK CENTRAL SCHOOL,159,5,4021,AVERILL PARK,1
03/31/2014,AVOCA CENTRAL SCHOOL DISTRICT,36,1,2898,AVOCA,4
03/31/2014,AVON CENTRAL SCHOOL DISTRICT,44,1,2526,AVON,4
03/31/2014,AVT TRANSPORTATION,2,0,45528,ASTORIA,11
03/31/2014,AYR COACH LINES  USA LTD.,10,0,24487,TONAWANDA,5
03/31/2014,B & F SKILLED INC,45,3,5911,BROOKLYN,11
03/31/2014,B AND K EXPRESS TRANSPORTATION,9,4,36992,OZONE PARK,11
03/31/2014,B.I.V. AMBULETTE,4,1,41419,SPRING VALLEY,8
03/31/2014,B.L.P. TRANSPORTATION OF NY CORP,2,1,3348,BROOKLYN,11
03/31/2014,BADEN ST SETTLEMNT INC.,4,1,4175,ROCHESTER,4
03/31/2014,BAINBRIDGE GUILFORD CS,39,3,2119,BAINBRIDGE,2
03/31/2014,BAIS CHAYA ESTHER INC,6,0,42437,BROOKLYN,11
03/31/2014,BAIS CHINUCH LBONOIS_INC.,10,2,48137,NEW CITY,8
03/31/2014,BAIS TZIPORAH,11,0,5283,BROOKLYN,11
03/31/2014,BAIS YAAKOV D'CHASSIDEI GUR,9,0,5728,BROOKLYN,11
03/31/2014,BAIS YAAKOV F.S. OF ADAS YEREIM,6,1,49994,BROOKLYN,11
03/31/2014,BAIS YAKOV YOSSEF LTD,11,1,4561,BROOKLYN,11
03/31/2014,BAKER TRANS,4,1,4398,BRONX,11
03/31/2014,BALDWINSVILLE CENTRAL SCHOOL,241,11,2330,BALDWINSVILLE,3
03/31/2014,BALLSTON SPA CSD,165,3,1652,BALLSTON SPA,1
03/31/2014,BAMBI TRANSPORTATION,7,0,3287,RONKONKOMA,11
03/31/2014,BANGS AMBULANCE SERVICE,4,0,4250,ITHACA,3
03/31/2014,BANNER INTERNATIONAL CORPORATION,16,1,32897,LAURELTON,11
03/31/2014,BARDONIA AMBULETTE,13,3,2718,BARDONIA,8
03/31/2014,BARKER CENTRAL SCHOOL,7,0,2073,BARKER,5
03/31/2014,BARRY & FLORENCE FRIEDBERG JJC,21,2,3580,OCEANSIDE,10
03/31/2014,"BARUKH MEDICAL TRANSPORTATION, INC",33,3,37791,REGO PARK,11
03/31/2014,BAS MIKROH GIRLS SCHOOL,2,0,49675,SPRING VALLEY,8
03/31/2014,"BASIS SURA TRANSPORTATION, INC",16,1,23343,BROOKLYN,11
03/31/2014,BASIT-N-TARIO AMB SER LTD,20,1,3344,L.I.C.,11
03/31/2014,BATES AMBULETTE,11,3,5484,PORT CHESTER,8
03/31/2014,BATIM INC,2,0,39534,BROOKLYN,11
03/31/2014,BAUMANN & SONS BUSES INC (COPIAGUE),199,9,20076,RONKONKOMA,10
03/31/2014,BAUMANN & SONS BUSES INC(BRIARCLIF),8,0,23180,RONKONKOMA,8
03/31/2014,BAUMANN & SONS BUSES INC.,202,11,1758,RONKONKOMA,10
03/31/2014,BAUMANN & SONS BUSES INC. (NPT),89,4,1769,RONKONKOMA,10
03/31/2014,BAUMANN AND SONS BUSES INC.(YORK),201,18,23037,YORKTOWN,8
03/31/2014,"BAUMANN BUS COMPANY, INC_ OCEANSIDE",60,2,51805,WESTBURY,10
03/31/2014,BAY RIDGE PREPATORY,2,0,25795,BROOKLYN,11
03/31/2014,BAY TERRACE TRANSIT CORP,14,0,3220,PORT WASHINGTON,10
03/31/2014,BAYIS ESTER,23,5,42619,BROOKLYN,11
03/31/2014,BAYPORT BLUEPOINT UFSD,12,1,1759,BAYPORT,10
03/31/2014,BAYVIEW AIRPORT SERVICES INC.,6,2,50874,LARCHMONT,8
03/31/2014,BB'S TRANSPORTATION,4,2,5618,ELMHURST,11
03/31/2014,BE SAFE BUS CORP,2,0,49316,MONSEY,11
03/31/2014,BEACON CITY SCHOOL DISTRICT,141,7,2811,BEACON,8
03/31/2014,BEAVER RIVER CENTRAL SCHOOL,51,3,2505,BEAVER FALLS,3
03/31/2014,BEDERECH TRANSPORTATION LLC,7,0,50873,BROOKLYN,11
03/31/2014,BEDFORD C.S.D.,3,0,2840,MT.KISCO,8
03/31/2014,"BEDORE TOURS, INC.",38,2,1911,N. TONAWANDA,5
03/31/2014,BEEKMANTOWN CENTRAL SCHOOL,99,3,1591,WEST CHAZY,1
03/31/2014,BEER HAGOLAH,2,0,3674,BROOKLYN,11
03/31/2014,BE'ER MIRIAM,4,0,49376,BROOKLYN,11
03/31/2014,BEISCHINUCH BEIKVEI HATZION INC.,5,0,6465,BROOKLYN,11
03/31/2014,BELFAST CENTRAL SCHOOL DISTRIC,30,1,2698,BELFAST,4
03/31/2014,BELL PARK CHILD CARE CENTER INC,4,0,49306,QUEENS VILLIAGE,11
03/31/2014,BELLA BUS CORP,110,17,49817,BROOKLYN,11
03/31/2014,BELLEVILLE HENDERSON CENTRAL S,31,4,2506,BELLEVILLE,3
03/31/2014,BELLINGER MEDICAL TRANSPORT,2,0,49821,LISBON,3
03/31/2014,BELLMORE MERRICK CENTRAL HIGH SCH.,14,1,3543,MERRICK,10
03/31/2014,BELLMORE UFSD,4,0,3544,BELLMORE,10
03/31/2014,BELMONT ARTHUR AVE LDC,3,0,32733,BRONX,11
03/31/2014,BEMUS POINT CENTRAL SCHOOL,35,0,2243,BEMUS POINT,5
03/31/2014,"BENI'S LIMOUSINE SERVICE,INC.",3,1,49936,ASTORIA,10
03/31/2014,BERHOLD LIMOUSINE,2,0,49907,BRONX,11
03/31/2014,BERLIN CENTRAL SCHOOL,66,5,1666,BERLIN,1
03/31/2014,BERMUDA LIMO SERVICE,11,1,3038,NEW YORK,11
03/31/2014,BERNE KNOX WESTERLO CSD,102,2,1542,BERNE,1
03/31/2014,BEST BUS CHARTER CORP.,11,1,47438,HOPEWELL JUNCTION,8
03/31/2014,BEST COMFORT CARE TRANSPORTATION,18,4,42738,SYRACUSE,3
03/31/2014,BEST TRAILS AND TRAVEL CORP,101,0,5853,BROOKLYN,11
03/31/2014,BEST WAY AMBULETTE,2,0,48276,MASSAPEQUA,10
03/31/2014,BETH CHANA SCHOOL,17,2,5298,BROOKLYN,11
03/31/2014,BETH JACOB DAY SCHOOL,5,0,3675,BROOKLYN,11
03/31/2014,BETH JACOB OF BORO PARK,9,0,3933,BROOKLYN,11
03/31/2014,BETHEL CHRISTIAN FELLOWSHIP,2,0,49166,ROCHESTER,4
03/31/2014,BETHLEHEM CENTRAL SCHOOL,260,3,1456,DELMAR,1
03/31/2014,BETHPAGE U.F.S.D.,2,2,1737,BETHPAGE,10
03/31/2014,BEULAH BAPTIST CHURCH,2,1,5302,POUGHKEEPSIE,8
03/31/2014,BEVERLY HILLS LIMO & CORP. COACH IN,122,7,43090,YONKERS`,8
03/31/2014,BEYOND LIMITS LIMOUSINE SERVICES,2,1,51043,BROOKLYN,11
03/31/2014,BIAS TRANY OF MONSEY (GIRLS SCHOOL),5,2,44006,MONSEY,8
03/31/2014,BIG CHIEF SCHOOL & CAMP,23,0,3545,EAST MEADOW,10
03/31/2014,BIG CITY TRAILS INCORPORTATED,1,0,51401,ALBANY,11
03/31/2014,BIG M TOURS DBA MCMILLIAN TOURS,4,3,47183,WEST BABYLON,10
