Project Number,Program Name,Project Type,Activity,Contract Amount,Organization,County,Municipality,Current Status,Residential Units - Existing,Residential Units – New,Civic Units - Existing,Civic Units – New,Commercial Units - Existing,Commercial Units – New
19900738,REST,LPA,CNSTR/RHAB,50000,"ASSOCIATION FOR IMPROVEMENT IN MOHEGAN LAKE, INC.",WESTCHESTER,MULTI-MUNI,CMPL,11,0,0,0,0,0
19900739,REST,LPA,CNSTR/RHAB,72500,VILLAGE OF SPRING VALLEY,ROCKLAND,MULTI-MUNI,CMPL,28,0,0,0,0,0
19900740,REST,LPA,CNSTR/RHAB,72500,CAPITOL HILL IMPROVEMENT CORP.,ALBANY,ALBANY,CMPL,44,0,0,0,0,0
19900741,REST,LPA,CNSTR/RHAB,50000,"LEWIS COUNTY OPPORTUNITIES, INC.",LEWIS,MULTI-MUNI,CMPL,16,0,0,0,0,0
19900742,REST,LPA,CNSTR/RHAB,72500,SARANAC SENIOR CITIZENS CLUB OF NY DBA RPC OF CLINTON COUNTY,CLINTON,MULTI-MUNI,CMPL,26,0,0,0,0,0
19900743,REST,LPA,CNSTR/RHAB,72500,"NORTHFIELD COMMUNITY LDC OF STATEN ISLAND, INC.",RICHMOND,NEW YORK CITY,CMPL,30,0,0,0,0,0
19900744,REST,LPA,CNSTR/RHAB,50000,"COMMUNITY DEVELOPMENT CORPORATION OF LONG ISLAND, INC.",SUFFOLK,MULTI-MUNI,CMPL,21,0,0,0,0,0
19900745,REST,LPA,CNSTR/RHAB,50000,"VANNGUARD URBAN IMPROVEMENT ASSOCIATION, INC.",KINGS,NEW YORK CITY,CMPL,10,0,0,0,0,0
19900746,REST,LPA,CNSTR/RHAB,75000,CITY OF BUFFALO,ERIE,BUFFALO,CMPL,32,0,0,0,0,0
19900747,REST,LPA,CNSTR/RHAB,72500,"OTSEGO RURAL HOUSING ASSISTANCE, INC.",OTSEGO,MULTI-MUNI,CMPL,72,0,0,0,0,0
19900748,REST,LPA,CNSTR/RHAB,50000,CITY OF LOCKPORT,NIAGARA,LOCKPORT,CMPL,15,0,0,0,0,0
19900749,REST,LPA,CNSTR/RHAB,75000,ONONDAGA COUNTY COMMUNITY DEVELOPMENT,ONONDAGA,MULTI-MUNI,CMPL,31,0,0,0,0,0
19900750,REST,LPA,CNSTR/RHAB,50000,VILLAGE OF MASSENA,ST LAWRENCE,MULTI-MUNI,CMPL,22,0,0,0,0,0
19901090,REST,LPA,CNSTR/RHAB,37500,LAKE COUNTRY HOUSING CORP.,HAMILTON,MULTI-MUNI,CMPL,14,0,0,0,0,0
19901091,REST,LPA,CNSTR/RHAB,37500,VILLAGE OF MALONE,FRANKLIN,MULTI-MUNI,CMPL,17,0,0,0,0,0
19901092,REST,LPA,CNSTR/RHAB,25000,"PRIDE OF TICONDEROGA, INC.",ESSEX,TICONDEROGA,CMPL,14,0,0,0,0,0
19901093,REST,LPA,CNSTR/RHAB,37500,CITY OF SCHENECTADY DEPARTMENT OF DEVELOPMENT,SCHENECTADY,SCHENECTADY,CMPL,26,0,0,0,0,0
19901094,REST,LPA,CNSTR/RHAB,37500,DELAWARE OPPORTUNITIES INC.,DELAWARE,MULTI-MUNI,CMPL,12,0,0,0,0,0
19901126,REST,LPA,CNSTR/RHAB,37500,CAYUGA COUNTY HOMSITE DEVELOPMENT CORP.,MULTI-COUNTY,,CMPL,27,0,0,0,0,0
19901127,REST,LPA,CNSTR/RHAB,37500,CUBA COMMUNITY DEVELOPMENT CORPORATION,ALLEGANY,MULTI-MUNI,CMPL,19,0,0,0,0,0
19901128,REST,LPA,CNSTR/RHAB,32250,"HOUSING DEVELOPMENT COUNCIL OF ORLEANS COUNTY, INC.",ORLEANS,MULTI-MUNI,CMPL,15,0,0,0,0,0
19901129,REST,LPA,CNSTR/RHAB,37500,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",MULTI-COUNTY,,CMPL,36,0,0,0,0,0
19901130,REST,LPA,CNSTR/RHAB,37500,COUNTY OF LIVINGSTON,LIVINGSTON,MULTI-MUNI,CMPL,22,0,0,0,0,0
19901158,REST,LPA,CNSTR/RHAB,37500,MARGERT COMMUNITY CORP.,QUEENS,NEW YORK CITY,CMPL,14,0,0,0,0,0
19901159,REST,LPA,CNSTR/RHAB,37500,"WILSON MAJOR MORRIS COMMUNITY CENTER, INC.",NEW YORK,NEW YORK CITY,CMPL,11,0,0,0,0,0
19901160,REST,LPA,CNSTR/RHAB,37500,CYPRESS HILLS LOCAL DEVELOPMENT CORPORATION,KINGS,NEW YORK CITY,CMPL,10,0,0,0,0,0
19901161,REST,LPA,CNSTR/RHAB,37500,"LA FUERZA UNIDA, INC",NASSAU,GLEN COVE,CMPL,11,0,0,0,0,0
19901162,REST,LPA,CNSTR/RHAB,37500,VILLAGE OF SPRING VALLEY,ROCKLAND,MULTI-MUNI,CMPL,18,0,0,0,0,0
19901163,REST,LPA,CNSTR/RHAB,37500,"NORTHFIELD COMMUNITY LDC OF STATEN ISLAND, INC.",RICHMOND,NEW YORK CITY,CMPL,12,0,0,0,0,0
19901164,REST,LPA,CNSTR/RHAB,37500,"COMMUNITY DEVELOPMENT CORPORATION OF LONG ISLAND, INC.",SUFFOLK,MULTI-MUNI,CMPL,12,0,0,0,0,0
19901170,REST,LPA,CNSTR/RHAB,37500,CITY OF WATERTOWN,JEFFERSON,MULTI-MUNI,CMPL,15,0,0,0,0,0
19911021,REST,LPA,CNSTR/RHAB,65000,MARGERT COMMUNITY CORP.,QUEENS,NEW YORK CITY,CMPL,21,0,0,0,0,0
19911022,REST,LPA,CNSTR/RHAB,50000,SUNNYSIDE FOUNDATION,QUEENS,NEW YORK CITY,CMPL,19,0,0,0,0,0
19911023,REST,LPA,CNSTR/RHAB,95000,"WILSON MAJOR MORRIS COMMUNITY CENTER, INC.",NEW YORK,NEW YORK CITY,CMPL,23,0,0,0,0,0
19911024,REST,LPA,CNSTR/RHAB,59200,ANDOVER HISTORIC PRESERVATION CORP.,ALLEGANY,MULTI-MUNI,CMPL,43,0,0,0,0,0
19911025,REST,LPA,CNSTR/RHAB,59200,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",MULTI-COUNTY,,CMPL,64,0,0,0,0,0
19911026,REST,LPA,CNSTR/RHAB,59200,CHAUTAUQUA HOME REHABILITATION AND IMPROVEMENT CORP.,CHAUTAUQUA,MULTI-MUNI,CMPL,38,0,0,0,0,0
19911027,REST,LPA,CNSTR/RHAB,59200,"CATTARAUGUS COMMUNITY ACTION, INC.",CATTARAUGUS,MULTI-MUNI,CMPL,28,0,0,0,0,0
19911028,REST,LPA,CNSTR/RHAB,50000,COMMUNITY PROGRESS INC.,MULTI-COUNTY,,CMPL,27,0,0,0,0,0
19911029,REST,LPA,CNSTR/RHAB,59200,SCAP D/B/A ARBOR HOUSING & DEVELOPMENT,STEUBEN,MULTI-MUNI,CMPL,52,0,0,0,0,0
19911030,REST,LPA,CNSTR/RHAB,44300,"KEUKA HOUSING COUNCIL, INC.",YATES,MULTI-MUNI,CMPL,18,0,0,0,0,0
19911031,REST,LPA,CNSTR/RHAB,59300,"ELLICOTT DISTRICT COMMUNITY DEVELOPMENT, INC.",ERIE,MULTI-MUNI,CMPL,22,0,0,0,0,0
19911034,REST,LPA,CNSTR/RHAB,31800,"PRIDE OF TICONDEROGA, INC.",MULTI-COUNTY,,CMPL,14,0,0,0,0,0
19911035,REST,LPA,CNSTR/RHAB,47466,RENSSELAER ORGANIZATION UNITED FOR SENIOR ENDEAVORS,RENSSELAER,MULTI-MUNI,CMPL,35,0,0,0,0,0
19911036,REST,LPA,CNSTR/RHAB,47466,CATSKILL MOUNTAIN HOUSING DEVELOPMENT CORP. INC.,GREENE,MULTI-MUNI,CMPL,21,0,0,0,0,0
19911037,REST,LPA,CNSTR/RHAB,47466,"WESTERN CATSKILLS COMMUNITY REVITALIZATION COUNCIL, INC.",MULTI-COUNTY,,CMPL,15,0,0,0,0,0
19911038,REST,LPA,CNSTR/RHAB,31800,"OTSEGO RURAL HOUSING ASSISTANCE, INC.",MULTI-COUNTY,,CMPL,18,0,0,0,0,0
19911039,REST,LPA,CNSTR/RHAB,47466,LAKE COUNTRY HOUSING CORP.,WARREN,MULTI-MUNI,CMPL,19,0,0,0,0,0
19911040,REST,LPA,CNSTR/RHAB,47466,FULTON COUNTY COMMUNITY HERITAGE CORP.,MULTI-COUNTY,,CMPL,23,0,0,0,0,0
19911041,REST,LPA,CNSTR/RHAB,47466,"RUPCO, INC.",ULSTER,MULTI-MUNI,CMPL,20,0,0,0,0,0
19911042,REST,LPA,CNSTR/RHAB,42000,"ST LAWRENCE COUNTY HOUSING COUNCIL, INC.",ST LAWRENCE,MULTI-MUNI,CMPL,21,0,0,0,0,0
19911043,REST,LPA,CNSTR/RHAB,42000,"SNOW BELT HOUSING COMPANY, INC.",LEWIS,MULTI-MUNI,CMPL,23,0,0,0,0,0
19911044,REST,LPA,CNSTR/RHAB,42000,CORTLAND HOUSING ASSISTANCE COUNCIL INC.,CORTLAND,MULTI-MUNI,CMPL,22,0,0,0,0,0
19911045,REST,LPA,CNSTR/RHAB,42000,CAYUGA COUNTY HOMSITE DEVELOPMENT CORP.,CAYUGA,MULTI-MUNI,CMPL,22,0,0,0,0,0
19911046,REST,LPA,CNSTR/RHAB,42000,ONONDAGA COUNTY COMMUNITY DEVELOPMENT,ONONDAGA,MULTI-MUNI,CMPL,17,0,0,0,0,0
19911047,REST,LPA,CNSTR/RHAB,42000,"STONELEIGH HOUSING, INC.",MADISON,MULTI-MUNI,CMPL,12,0,0,0,0,0
19911048,REST,LPA,CNSTR/RHAB,42127,"OPPORTUNITIES FOR CHENANGO, INC.",CHENANGO,MULTI-MUNI,CMPL,37,0,0,0,0,0
19911049,REST,LPA,CNSTR/RHAB,42127,"TIOGA OPPORTUNITIES, INC.",TIOGA,MULTI-MUNI,CMPL,15,0,0,0,0,0
19911050,REST,LPA,CNSTR/RHAB,31800,COUNTY OF ORANGE OFFICE OF COMMUNITY DEVELOPMENT,ORANGE,MULTI-MUNI,CMPL,14,0,0,0,0,0
19911051,REST,LPA,CNSTR/RHAB,65000,VILLAGE OF SPRING VALLEY,ROCKLAND,MULTI-MUNI,CMPL,36,0,0,0,0,0
19911052,REST,LPA,CNSTR/RHAB,80000,CITIZENS ADVICE BUREAU INC.,BRONX,NEW YORK CITY,CMPL,21,0,0,0,0,0
19911053,REST,LPA,CNSTR/RHAB,60000,LONG ISLAND WOMENS EQUAL OPPORTUNITY COUNCIL,NASSAU,MULTI-MUNI,CMPL,20,0,0,0,0,0
19911054,REST,LPA,CNSTR/RHAB,65000,"LA FUERZA UNIDA, INC",NASSAU,GLEN COVE,CMPL,20,0,0,0,0,0
19911055,REST,LPA,CNSTR/RHAB,88000,"NORTHFIELD COMMUNITY LDC OF STATEN ISLAND, INC.",RICHMOND,NEW YORK CITY,CMPL,24,0,0,0,0,0
19911056,REST,LPA,CNSTR/RHAB,70000,COUNTY OF WESTCHESTER DEPARTMENT OF PLANNING,WESTCHESTER,MULTI-MUNI,CMPL,18,0,0,0,0,0
19911057,REST,LPA,CNSTR/RHAB,35000,COMMUNITY AGENCY FOR SENIOR CITIZENS INC.,RICHMOND,NEW YORK CITY,CMPL,22,0,0,0,0,0
19911058,REST,LPA,CNSTR/RHAB,65000,"CROWN HEIGHTS JEWISH COMMUNITY COUNCIL, INC.",KINGS,NEW YORK CITY,CMPL,35,0,0,0,0,0
19911059,REST,LPA,CNSTR/RHAB,55000,CYPRESS HILLS LOCAL DEVELOPMENT CORPORATION,KINGS,NEW YORK CITY,CMPL,16,0,0,0,0,0
19911060,REST,LPA,CNSTR/RHAB,50000,"RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL, INC.",NYC,NEW YORK CITY,CMPL,29,0,0,0,0,0
19911061,REST,LPA,CNSTR/RHAB,77000,"COMMUNITY DEVELOPMENT CORPORATION OF LONG ISLAND, INC.",SUFFOLK,MULTI-MUNI,CMPL,19,0,0,0,0,0
19911062,REST,LPA,CNSTR/RHAB,65000,TOWN OF RIVERHEAD,SUFFOLK,RIVERHEAD,CMPL,30,0,0,0,0,0
19920042,REST,LPA,CNSTR/RHAB,31800,"RPC OF CLINTON COUNTY, INC",CLINTON,MULTI-MUNI,CMPL,14,0,0,0,0,0
19920431,REST,LPA,CNSTR/RHAB,75000,CITY OF PEEKSKILL,WESTCHESTER,PEEKSKILL,CMPL,20,0,0,0,0,0
19930015,HOME,LPA,CNSTR/RHAB,227450,TOWN OF ARIETTA,HAMILTON,ARIETTA,CMPL,14,0,0,0,0,0
19930062,HOME,LPA,CNSTR/RHAB,300000,COUNTY OF STEUBEN,STEUBEN,MULTI-MUNI,CMPL,25,0,0,0,0,0
19930068,HOME,LPA,CNSTR/RHAB,237720,TOWN OF INLET,HAMILTON,INLET,CMPL,15,0,0,0,0,0
19930072,HOME,LPA,CNSTR/RHAB,440000,TOWN OF WILMINGTON,ESSEX,WILMINGTON,CMPL,23,0,0,0,0,0
19930073,HOME,LPA,CNSTR/RHAB,250000,CITY OF JOHNSTOWN,FULTON,JOHNSTOWN,CMPL,20,0,0,0,0,0
19930077,HOME,LPA,CNSTR/RHAB,280000,VILLAGE OF WHITEHALL,WASHINGTON,WHITEHALL,CMPL,19,0,0,0,0,0
19930081,HOME,LPA,CNSTR/RHAB,250000,TOWN OF TICONDEROGA,ESSEX,TICONDEROGA,CMPL,20,0,0,0,0,0
19930087,HOME,LPA,CNSTR/RHAB,140000,FULTON COUNTY COMMUNITY HERITAGE CORP.,FULTON,JOHNSTOWN,CMPL,9,0,0,0,0,0
19930095,HOME,LPA,CNSTR/RHAB,351000,COUNTY OF ULSTER,ULSTER,MULTI-MUNI,CMPL,33,0,0,0,0,0
19930100,HOME,LPA,CNSTR/RHAB,200000,CITY OF GENEVA,ONTARIO,GENEVA,CMPL,11,0,0,0,0,0
19930103,HOME,LPA,CNSTR/RHAB,180000,CITY OF LOCKPORT,NIAGARA,LOCKPORT,CMPL,16,0,0,0,0,0
19930108,HOME,LPA,CNSTR/RHAB,270000,CITY OF POUGHKEEPSIE,DUTCHESS,POUGHKEEPSIE,CMPL,15,0,0,0,0,0
19930109,HOME,LPA,CNSTR/RHAB,189000,VILLAGE OF LAKE PLACID,ESSEX,LAKE PLACID,CMPL,12,0,0,0,0,0
19930124,HOME,LPA,ACQUIS,250000,AFFORDABLE HOUSING PARTNERSHIP OF THE CAPITAL REGION,MULTI-COUNTY,,CMPL,24,0,0,0,0,0
19930149,HOME,LPA,ACQUIS,125000,LT. COL. MATT URBAN HUMAN SERVICES CENTER OF WNY,ERIE,BUFFALO,CMPL,6,0,0,0,0,0
19930153,HOME,LPA,ACQUIS,175000,CITY OF DUNKIRK,CHAUTAUQUA,DUNKIRK,CMPL,38,0,0,0,0,0
19930155,HOME,LPA,CNSTR/RHAB,250000,"GENESEE VALLEY RURAL PRESERVATION COUNCIL, INC.",LIVINGSTON,MULTI-MUNI,CMPL,18,0,0,0,0,0
19930157,HOME,LPA,CNSTR/RHAB,150000,"UNIVERSITY DISTRICT COMMUNITY DEVELOPMENT ASSOCIATION, INC.",ERIE,BUFFALO,CMPL,10,0,0,0,0,0
19930158,HOME,LPA,CNSTR/RHAB,500000,CITY OF JAMESTOWN URBAN RENEWAL AGENCY,CHAUTAUQUA,JAMESTOWN,CMPL,48,0,0,0,0,0
19930159,HOME,LPA,CNSTR/RHAB,100000,"ORLEANS GENESEE RURAL PRESERVATION CORP., INC.",ORLEANS,MULTI-MUNI,CMPL,10,0,0,0,0,0
19930160,HOME,LPA,CNSTR/RHAB,200000,TOWN OF CHEEKTOWAGA OFFICE OF COMMUNITY DEVELOPMENT,ERIE,CHEEKTOWAGA,CMPL,15,0,0,0,0,0
19930167,HOME,LPA,CNSTR/RHAB,400000,"BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.",MULTI-COUNTY,,CMPL,22,0,0,0,0,0
19930179,HOME,LPA,ACQUIS,140000,COUNTY OF WAYNE,WAYNE,MULTI-MUNI,CMPL,8,0,0,0,0,0
19930181,HOME,LPA,CNSTR/RHAB,150000,"NEIGHBORHOOD HOUSING SERVICES OF SOUTH BUFFALO, INC.",ERIE,BUFFALO,CMPL,8,0,0,0,0,0
19930183,HOME,LPA,CNSTR/RHAB,200000,NHS OF ROCHESTER DBA NEIGHBORWORKS ROCHESTER,MONROE,ROCHESTER,CMPL,19,0,0,0,0,0
19930185,HOME,LPA,CNSTR/RHAB,200000,COUNTY OF ALLEGANY,ALLEGANY,MULTI-MUNI,CMPL,17,0,0,0,0,0
19930187,HOME,LPA,CNSTR/RHAB,355000,COUNTY OF YATES,YATES,MULTI-MUNI,CMPL,16,0,0,0,0,0
19930208,HOME,LPA,CNSTR/RHAB,200000,TOWN OF HAMBURG,ERIE,HAMBURG,CMPL,14,0,0,0,0,0
19930212,HOME,LPA,CNSTR/RHAB,300000,CITY OF GLENS FALLS,WARREN,GLENS FALLS,CMPL,20,0,0,0,0,0
19930213,HOME,LPA,CNSTR/RHAB,200000,CITY OF NORTH TONAWANDA,NIAGARA,NORTH TONAWANDA,CMPL,16,0,0,0,0,0
19930215,HOME,LPA,CNSTR/RHAB,150000,COUNTY OF WYOMING BOARD OF SUPERVISORS,WYOMING,MULTI-MUNI,CMPL,11,0,0,0,0,0
19930216,HOME,LPA,CNSTR/RHAB,200000,TOWN OF AMHERST,ERIE,AMHERST,CMPL,17,0,0,0,0,0
19930218,HOME,LPA,CNSTR/RHAB,200000,TOWN OF TONAWANDA,ERIE,MULTI-MUNI,CMPL,12,0,0,0,0,0
19930334,HOME,TBR,,149500,AMSTERDAM HOUSING AUTHORITY,MONTGOMERY,AMSTERDAM,CMPL,0,0,0,0,0,0
19930335,HOME,TBR,,324000,VILLAGE OF KIRYAS JOEL HOUSING AUTHORITY,ORANGE,MONROE,CMPL,0,0,0,0,0,0
19930336,HOME,TBR,,125000,TOWN OF UNION,BROOME,UNION,CMPL,0,0,0,0,0,0
19930339,HOME,LPA,CNSTR/RHAB,150000,BETTER HOUSING FOR TOMPKINS COUNTY INC.,TOMPKINS,NEWFIELD,CMPL,16,0,0,0,0,0
19930340,HOME,LPA,CNSTR/RHAB,200000,MARBLE CITY HOUSING CORP.,ST LAWRENCE,MULTI-MUNI,CMPL,19,0,0,0,0,0
19930342,HOME,LPA,CNSTR/RHAB,300000,CITY OF AUBURN,CAYUGA,AUBURN,CMPL,18,0,0,0,0,0
19930343,HOME,LPA,ACQUIS,416000,CITY OF CORTLAND,CORTLAND,CORTLAND,CMPL,20,0,0,0,0,0
19930346,HOME,LPA,CNSTR/RHAB,180000,VILLAGE OF SPENCER,TIOGA,SPENCER,CMPL,14,0,0,0,0,0
19930347,HOME,LPA,CNSTR/RHAB,200000,VILLAGE OF HARRISVILLE,LEWIS,HARRISVILLE,CMPL,12,0,0,0,0,0
19930348,HOME,LPA,CNSTR/RHAB,200000,"ST LAWRENCE COUNTY HOUSING COUNCIL, INC.",ST LAWRENCE,NORWOOD,CMPL,12,0,0,0,0,0
19930349,HOME,LPA,CNSTR/RHAB,300000,CITY OF NORWICH COMMUNITY DEVELOPMENT OFFICE,CHENANGO,NORWICH,CMPL,18,0,0,0,0,0
19930350,HOME,LPA,CNSTR/RHAB,107600,VILLAGE OF DERUYTER,MADISON,DE RUYTER,CMPL,9,0,0,0,0,0
19930351,HOME,LPA,CNSTR/RHAB,300000,TOWN OF CLAYTON,JEFFERSON,MULTI-MUNI,CMPL,24,0,0,0,0,0
19930354,HOME,LPA,CNSTR/RHAB,240000,CITY OF OGDENSBURG,ST LAWRENCE,OGDENSBURG,CMPL,38,0,0,0,0,0
19930356,HOME,LPA,CNSTR/RHAB,150000,ASSOCIATION FOR NEIGHBORHOOD REHABILITATION INC.,ST LAWRENCE,MULTI-MUNI,CMPL,11,0,0,0,0,0
19930357,HOME,LPA,CNSTR/RHAB,300000,CITY OF FULTON COMMUNITY DEVELOPMENT AGENCY,OSWEGO,FULTON,CMPL,30,0,0,0,0,0
19930358,HOME,LPA,CNSTR/RHAB,200000,CHAUTAUQUA HOME REHABILITATION AND IMPROVEMENT CORP.,CHAUTAUQUA,MULTI-MUNI,CMPL,19,0,0,0,0,0
19930359,HOME,LPA,CNSTR/RHAB,100000,COMMUNITY PROGRESS INC.,SCHUYLER,MULTI-MUNI,CMPL,11,0,0,0,0,0
19930364,HOME,LPA,CNSTR/RHAB,300000,CITY OF MECHANICVILLE,SARATOGA,MECHANICVILLE,CMPL,18,0,0,0,0,0
19930374,HOME,LPA,CNSTR/RHAB,150000,"NORTHFIELD COMMUNITY LDC OF STATEN ISLAND, INC.",RICHMOND,NEW YORK CITY,CMPL,8,0,0,0,0,0
19930668,HOME,LPA,CNSTR/RHAB,400000,CUBA COMMUNITY DEVELOPMENT CORPORATION,ALLEGANY,MULTI-MUNI,CMPL,39,0,0,0,0,0
19930670,HOME,LPA,ACQUIS,324000,"GENESEE VALLEY RURAL PRESERVATION COUNCIL, INC.",MULTI-COUNTY,,CMPL,22,0,0,0,0,0
19930674,HOME,LPA,ACQUIS,540000,"RUPCO, INC.",ULSTER,MULTI-MUNI,CMPL,69,0,0,0,0,0
19930675,HOME,LPA,CNSTR/RHAB,275000,SEVENTY-EIGHT RESTORATION CORP.,ERIE,BUFFALO,CMPL,21,0,0,0,0,0
19930676,HOME,LPA,PRE-DEV,200000,CHAUTAUQUA HOME REHABILITATION AND IMPROVEMENT CORP.,CHAUTAUQUA,MULTI-MUNI,CMPL,22,0,0,0,0,0
19930678,HOME,LPA,ACQUIS,450000,CITY OF NEWBURGH,ORANGE,MULTI-MUNI,CMPL,33,0,0,0,0,0
19930679,HOME,LPA,CNSTR/RHAB,400000,FULTON COUNTY COMMUNITY HERITAGE CORP.,MULTI-COUNTY,,CMPL,23,0,0,0,0,0
19930680,HOME,LPA,ACQUIS,261000,AMSTERDAM HOUSING AUTHORITY,MONTGOMERY,AMSTERDAM,CMPL,15,0,0,0,0,0
19930687,HOME,LPA,CNSTR/RHAB,354000,TOWN OF WILLSBORO,ESSEX,WILLSBORO,CMPL,21,0,0,0,0,0
19930689,HOME,LPA,CNSTR/RHAB,200000,VILLAGE OF ANDOVER,ALLEGANY,ANDOVER,CMPL,24,0,0,0,0,0
19930693,HOME,LPA,CNSTR/RHAB,394000,TOWN OF ST.ARMAND,ESSEX,ST ARMAND,CMPL,23,0,0,0,0,0
19930697,HOME,LPA,CNSTR/RHAB,363680,TOWN OF NEWCOMB,ESSEX,NEWCOMB,CMPL,18,0,0,0,0,0
19930698,HOME,LPA,CNSTR/RHAB,370000,COUNTY OF WARREN,WARREN,MULTI-MUNI,CMPL,35,0,0,0,0,0
