PRECINCT,NAME,VOTERS,BALLOTS,GEORGE MCKENNA,ALEX JOHNSON
9002342B,LOS ANGELES,1050.0,110.0,29.0,79.0
9002343A,LOS ANGELES,1280.0,81.0,27.0,51.0
9002345A,LOS ANGELES,1238.0,66.0,16.0,50.0
9002348A,LOS ANGELES,597.0,26.0,11.0,14.0
9002356A,LOS ANGELES,1007.0,220.0,130.0,87.0
9002357B,LOS ANGELES,1236.0,75.0,21.0,54.0
9002358A,LOS ANGELES,1461.0,208.0,145.0,63.0
9002362A,LOS ANGELES,1307.0,143.0,79.0,63.0
9002370A,LOS ANGELES,1083.0,61.0,25.0,35.0
9002373A,LOS ANGELES,1012.0,61.0,33.0,28.0
9002375A,LOS ANGELES,879.0,52.0,22.0,28.0
9002451A,LOS ANGELES,1279.0,72.0,16.0,52.0
9002454A,LOS ANGELES,1218.0,49.0,13.0,36.0
9002456A,LOS ANGELES,900.0,41.0,24.0,17.0
9002459A,LOS ANGELES,1176.0,80.0,29.0,50.0
9002461A,LOS ANGELES,938.0,64.0,28.0,36.0
9002465A,LOS ANGELES,1215.0,95.0,41.0,53.0
9002466A,LOS ANGELES,893.0,50.0,17.0,31.0
9002471A,LOS ANGELES,1107.0,56.0,25.0,31.0
9002472B,LOS ANGELES,1165.0,76.0,33.0,43.0
9002477A,LOS ANGELES,1025.0,98.0,46.0,51.0
9002481A,LOS ANGELES,924.0,36.0,16.0,19.0
9002482A,LOS ANGELES,894.0,75.0,33.0,41.0
9002484B,LOS ANGELES,886.0,71.0,38.0,33.0
9002485A,LOS ANGELES,1011.0,56.0,25.0,31.0
9002485C,LOS ANGELES,603.0,25.0,15.0,10.0
9002489A,LOS ANGELES,921.0,73.0,30.0,41.0
9002491A,LOS ANGELES,754.0,25.0,16.0,9.0
9002492A,LOS ANGELES,1122.0,147.0,69.0,77.0
9002494A,LOS ANGELES,1134.0,39.0,22.0,17.0
9002496A,LOS ANGELES,1079.0,109.0,42.0,66.0
9002496B,LOS ANGELES,793.0,52.0,25.0,27.0
9002497A,LOS ANGELES,711.0,108.0,55.0,51.0
9002499A,LOS ANGELES,1081.0,154.0,68.0,81.0
9002500A,LOS ANGELES,882.0,128.0,60.0,67.0
9002502A,LOS ANGELES,1132.0,121.0,53.0,68.0
9002503A,LOS ANGELES,1131.0,140.0,73.0,66.0
9002504A,LOS ANGELES,1170.0,127.0,64.0,60.0
9002507A,LOS ANGELES,895.0,121.0,71.0,49.0
9002510A,LOS ANGELES,1202.0,118.0,61.0,56.0
9002556A,LOS ANGELES,1231.0,237.0,119.0,117.0
9002572A,LOS ANGELES,1141.0,74.0,30.0,43.0
9002591A,LOS ANGELES,685.0,52.0,27.0,24.0
9002788A,LOS ANGELES,1104.0,53.0,24.0,28.0
9002889A,LOS ANGELES,838.0,62.0,39.0,23.0
9002890A,LOS ANGELES,1295.0,85.0,49.0,35.0
9002893A,LOS ANGELES,1357.0,85.0,54.0,30.0
9002900A,LOS ANGELES,1568.0,259.0,168.0,88.0
9002908A,LOS ANGELES,1245.0,124.0,48.0,73.0
9002927A,LOS ANGELES,995.0,79.0,37.0,42.0
9002954A,LOS ANGELES,1263.0,124.0,79.0,44.0
9003029C,LOS ANGELES,1123.0,60.0,28.0,32.0
9003036A,LOS ANGELES,658.0,85.0,59.0,24.0
9003050A,LOS ANGELES,801.0,152.0,99.0,53.0
9003210A,LOS ANGELES,674.0,12.0,6.0,5.0
9003229A,LOS ANGELES,1028.0,176.0,91.0,85.0
9003240A,LOS ANGELES,936.0,71.0,30.0,41.0
9003674E,LOS ANGELES,965.0,46.0,19.0,26.0
9003866A,LOS ANGELES,1082.0,73.0,35.0,38.0
9003958A,LOS ANGELES,1280.0,104.0,75.0,29.0
9003969C,LOS ANGELES,1038.0,60.0,27.0,33.0
9004218A,LOS ANGELES,624.0,63.0,51.0,12.0
9005204A,LOS ANGELES,927.0,89.0,43.0,45.0
9005205B,LOS ANGELES,730.0,61.0,27.0,32.0
9005299B,LOS ANGELES,1395.0,124.0,66.0,57.0
9005303A,LOS ANGELES,1113.0,104.0,57.0,45.0
9005305A,LOS ANGELES,1021.0,86.0,52.0,34.0
9005307A,LOS ANGELES,1248.0,110.0,67.0,43.0
9005310A,LOS ANGELES,1177.0,39.0,20.0,19.0
9005312C,LOS ANGELES,1029.0,45.0,23.0,22.0
9005313A,LOS ANGELES,1191.0,94.0,53.0,38.0
9005315A,LOS ANGELES,1113.0,158.0,95.0,62.0
9005316A,LOS ANGELES,945.0,65.0,30.0,35.0
9005317A,LOS ANGELES,1224.0,139.0,63.0,75.0
9005319A,LOS ANGELES,1101.0,168.0,88.0,80.0
9005321A,LOS ANGELES,1238.0,121.0,63.0,58.0
9005322A,LOS ANGELES,1091.0,80.0,47.0,30.0
9005405A,LOS ANGELES,557.0,61.0,26.0,35.0
9005414A,LOS ANGELES,945.0,105.0,59.0,45.0
9005424A,LOS ANGELES,1319.0,71.0,37.0,33.0
9005484A,LOS ANGELES,1068.0,39.0,13.0,26.0
9005494B,LOS ANGELES,1115.0,50.0,18.0,30.0
9005504C,LOS ANGELES,1338.0,145.0,85.0,59.0
9007166B,LOS ANGELES,1129.0,115.0,33.0,82.0
9007168B,LOS ANGELES,1248.0,115.0,53.0,61.0
9007211A,LOS ANGELES,656.0,54.0,37.0,17.0
9007221A,LOS ANGELES,1369.0,163.0,94.0,69.0
9007229B,LOS ANGELES,965.0,104.0,56.0,48.0
9007230A,LOS ANGELES,1121.0,48.0,29.0,19.0
9007349A,LOS ANGELES,938.0,118.0,48.0,70.0
0900014A,BEVERLY HILLS,2.0,0.0,0.0,0.0
0900033B,BEVERLY HILLS,10.0,5.0,2.0,3.0
1600001B,CULVER CITY,0.0,0.0,0.0,0.0
1600004D,CULVER CITY,0.0,0.0,0.0,0.0
1600014C,CULVER CITY,0.0,0.0,0.0,0.0
2950026B,INGLEWOOD,74.0,4.0,1.0,3.0
2950146G,INGLEWOOD,4.0,2.0,1.0,1.0
3430100C,LADERA HEIGHTS,52.0,6.0,2.0,4.0
9002557A,LOS ANGELES,10.0,1.0,1.0,0.0
9002647A,LOS ANGELES,13.0,1.0,1.0,0.0
9002702A,LOS ANGELES,14.0,1.0,1.0,0.0
