Year,Term,College or Institution Type,College or Institution Name,Undergraduate Full-Time,Undergraduate Part-Time,Graduate Full-Time,Graduate Part-Time
2013,Fall,Technology Colleges,Cobleskill,2267.0,186.0,,
2012,Fall,Technology Colleges,Cobleskill,2332.0,160.0,,
2011,Fall,Technology Colleges,Cobleskill,2364.0,152.0,,
2019,Fall,Community Colleges,Columbia-Greene,529.0,918.0,,
2018,Fall,Community Colleges,Columbia-Greene,623.0,955.0,,
2017,Fall,Community Colleges,Columbia-Greene,597.0,1026.0,,
2016,Fall,Community Colleges,Columbia-Greene,678.0,967.0,,
2015,Fall,Community Colleges,Columbia-Greene,711.0,1070.0,,
2014,Fall,Community Colleges,Columbia-Greene,852.0,1191.0,,
2013,Fall,Community Colleges,Columbia-Greene,964.0,1154.0,,
2012,Fall,Community Colleges,Columbia-Greene,1023.0,1103.0,,
2011,Fall,Community Colleges,Columbia-Greene,1041.0,1061.0,,
2019,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5877.0,1.0,2354.0,
2018,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5968.0,,2215.0,
2017,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5852.0,,2108.0,
2016,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5718.0,,1977.0,
2015,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5599.0,,1991.0,
2014,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5749.0,,1918.0,
2013,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5741.0,,2042.0,
2012,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5653.0,,1875.0,
2011,Fall,Doctoral Degree Granting Institutions,Cornell Stat,5608.0,,1840.0,
2019,Fall,Community Colleges,Corning,1601.0,2637.0,,
2018,Fall,Community Colleges,Corning,1663.0,1761.0,,
2017,Fall,Community Colleges,Corning,1837.0,1997.0,,
2016,Fall,Community Colleges,Corning,1775.0,2136.0,,
2015,Fall,Community Colleges,Corning,1929.0,2043.0,,
2014,Fall,Community Colleges,Corning,2114.0,2406.0,,
2013,Fall,Community Colleges,Corning,2375.0,2554.0,,
2012,Fall,Community Colleges,Corning,2294.0,2672.0,,
2011,Fall,Community Colleges,Corning,2468.0,2833.0,,
2019,Fall,Comprehensive Colleges,Cortland,6170.0,125.0,209.0,330.0
2018,Fall,Comprehensive Colleges,Cortland,6218.0,125.0,173.0,342.0
2017,Fall,Comprehensive Colleges,Cortland,6196.0,150.0,197.0,370.0
2016,Fall,Comprehensive Colleges,Cortland,6187.0,117.0,208.0,388.0
2015,Fall,Comprehensive Colleges,Cortland,6179.0,104.0,242.0,401.0
2014,Fall,Comprehensive Colleges,Cortland,6203.0,114.0,227.0,414.0
2013,Fall,Comprehensive Colleges,Cortland,6281.0,119.0,256.0,454.0
2012,Fall,Comprehensive Colleges,Cortland,6228.0,117.0,250.0,503.0
2011,Fall,Comprehensive Colleges,Cortland,6241.0,130.0,370.0,590.0
2019,Fall,Technology Colleges,Delhi,2346.0,529.0,10.0,70.0
2018,Fall,Technology Colleges,Delhi,2465.0,773.0,7.0,46.0
2017,Fall,Technology Colleges,Delhi,2634.0,833.0,6.0,36.0
2016,Fall,Technology Colleges,Delhi,2574.0,900.0,7.0,28.0
2015,Fall,Technology Colleges,Delhi,2460.0,971.0,1.0,20.0
2014,Fall,Technology Colleges,Delhi,2654.0,942.0,,0.0
2013,Fall,Technology Colleges,Delhi,2590.0,718.0,,
2012,Fall,Technology Colleges,Delhi,2605.0,546.0,,
2011,Fall,Technology Colleges,Delhi,2607.0,642.0,,
2019,Fall,Doctoral Degree Granting Institutions,Downstate Medical,178.0,4.0,1405.0,312.0
2018,Fall,Doctoral Degree Granting Institutions,Downstate Medical,193.0,18.0,1335.0,300.0
2017,Fall,Doctoral Degree Granting Institutions,Downstate Medical,213.0,14.0,1256.0,309.0
2016,Fall,Doctoral Degree Granting Institutions,Downstate Medical,246.0,92.0,1186.0,315.0
2015,Fall,Doctoral Degree Granting Institutions,Downstate Medical,160.0,188.0,1141.0,369.0
2014,Fall,Doctoral Degree Granting Institutions,Downstate Medical,216.0,128.0,1149.0,372.0
2013,Fall,Doctoral Degree Granting Institutions,Downstate Medical,235.0,123.0,1132.0,375.0
2012,Fall,Doctoral Degree Granting Institutions,Downstate Medical,213.0,139.0,1071.0,376.0
2011,Fall,Doctoral Degree Granting Institutions,Downstate Medical,184.0,165.0,1037.0,365.0
2019,Fall,Community Colleges,Dutchess,3514.0,5177.0,,
2018,Fall,Community Colleges,Dutchess,3666.0,4916.0,,
2017,Fall,Community Colleges,Dutchess,3839.0,5222.0,,
2016,Fall,Community Colleges,Dutchess,4071.0,5275.0,,
2015,Fall,Community Colleges,Dutchess,4284.0,5262.0,,
2014,Fall,Community Colleges,Dutchess,4666.0,5239.0,,
2013,Fall,Community Colleges,Dutchess,4893.0,5339.0,,
2012,Fall,Community Colleges,Dutchess,5052.0,5426.0,,
2011,Fall,Community Colleges,Dutchess,5095.0,5221.0,,
2019,Fall,Comprehensive Colleges,Empire State,3267.0,5828.0,120.0,1225.0
2018,Fall,Comprehensive Colleges,Empire State,3599.0,5728.0,89.0,1008.0
2017,Fall,Comprehensive Colleges,Empire State,3772.0,6038.0,89.0,1078.0
2016,Fall,Comprehensive Colleges,Empire State,3841.0,6348.0,80.0,1046.0
2015,Fall,Comprehensive Colleges,Empire State,4278.0,6529.0,81.0,990.0
2014,Fall,Comprehensive Colleges,Empire State,4249.0,6624.0,73.0,1006.0
2013,Fall,Comprehensive Colleges,Empire State,4218.0,6609.0,91.0,905.0
2012,Fall,Comprehensive Colleges,Empire State,4341.0,6777.0,87.0,823.0
2011,Fall,Comprehensive Colleges,Empire State,4346.0,6644.0,86.0,751.0
2019,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1747.0,65.0,221.0,176.0
2018,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1776.0,49.0,231.0,164.0
2017,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1737.0,54.0,248.0,174.0
2016,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1711.0,40.0,255.0,180.0
2015,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1726.0,29.0,281.0,186.0
2014,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1671.0,57.0,285.0,187.0
2013,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1647.0,55.0,319.0,208.0
2012,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1661.0,43.0,323.0,228.0
2011,Fall,Doctoral Degree Granting Institutions,Envir Sci & Forestry,1628.0,539.0,319.0,194.0
2019,Fall,Community Colleges,Erie,6252.0,3779.0,,
2018,Fall,Community Colleges,Erie,6706.0,3823.0,,
2017,Fall,Community Colleges,Erie,7269.0,3866.0,,
2016,Fall,Community Colleges,Erie,7490.0,3788.0,,
2015,Fall,Community Colleges,Erie,7931.0,4091.0,,
2014,Fall,Community Colleges,Erie,8424.0,4309.0,,
2013,Fall,Community Colleges,Erie,9039.0,4610.0,,
2012,Fall,Community Colleges,Erie,9193.0,4797.0,,
2011,Fall,Community Colleges,Erie,9356.0,4820.0,,
2019,Fall,Technology Colleges,Farmingdale,7785.0,2154.0,21.0,36.0
2018,Fall,Technology Colleges,Farmingdale,7689.0,2227.0,27.0,27.0
2017,Fall,Technology Colleges,Farmingdale,7407.0,2145.0,10.0,12.0
2016,Fall,Technology Colleges,Farmingdale,6942.0,2293.0,,
2015,Fall,Technology Colleges,Farmingdale,6388.0,2260.0,,
2014,Fall,Technology Colleges,Farmingdale,6287.0,2107.0,,
2013,Fall,Technology Colleges,Farmingdale,6074.0,2088.0,,
2012,Fall,Technology Colleges,Farmingdale,5787.0,2102.0,,
2011,Fall,Technology Colleges,Farmingdale,5377.0,2256.0,,
2019,Fall,Community Colleges,Fashion Institute,7340.0,1168.0,165.0,53.0
2018,Fall,Community Colleges,Fashion Institute,7246.0,1309.0,160.0,52.0
2017,Fall,Community Colleges,Fashion Institute,7210.0,1451.0,131.0,54.0
2016,Fall,Community Colleges,Fashion Institute,7395.0,1690.0,120.0,56.0
2015,Fall,Community Colleges,Fashion Institute,7409.0,1977.0,116.0,63.0
2014,Fall,Community Colleges,Fashion Institute,7454.0,2113.0,124.0,73.0
2013,Fall,Community Colleges,Fashion Institute,7257.0,2309.0,120.0,69.0
2012,Fall,Community Colleges,Fashion Institute,7154.0,2694.0,116.0,88.0
2011,Fall,Community Colleges,Fashion Institute,7141.0,2882.0,111.0,89.0
2019,Fall,Community Colleges,Finger Lakes,2243.0,3406.0,,
2018,Fall,Community Colleges,Finger Lakes,2377.0,3567.0,,
2017,Fall,Community Colleges,Finger Lakes,2554.0,3799.0,,
2016,Fall,Community Colleges,Finger Lakes,2587.0,3933.0,,
2015,Fall,Community Colleges,Finger Lakes,3003.0,3752.0,,
2014,Fall,Community Colleges,Finger Lakes,3318.0,3475.0,,
2013,Fall,Community Colleges,Finger Lakes,3404.0,2985.0,,
2012,Fall,Community Colleges,Finger Lakes,3610.0,2929.0,,
2011,Fall,Community Colleges,Finger Lakes,3819.0,2992.0,,
2019,Fall,Comprehensive Colleges,Fredonia,4132.0,89.0,141.0,84.0
2018,Fall,Comprehensive Colleges,Fredonia,4314.0,117.0,151.0,73.0
2017,Fall,Comprehensive Colleges,Fredonia,4281.0,112.0,153.0,84.0
2016,Fall,Comprehensive Colleges,Fredonia,4256.0,124.0,143.0,80.0
2015,Fall,Comprehensive Colleges,Fredonia,4458.0,124.0,153.0,107.0
2014,Fall,Comprehensive Colleges,Fredonia,4806.0,130.0,189.0,90.0
2013,Fall,Comprehensive Colleges,Fredonia,4945.0,147.0,204.0,95.0
2012,Fall,Comprehensive Colleges,Fredonia,5074.0,157.0,175.0,115.0
2011,Fall,Comprehensive Colleges,Fredonia,5237.0,150.0,182.0,151.0
2019,Fall,Community Colleges,Fulton-Montgomery,995.0,1291.0,,
2018,Fall,Community Colleges,Fulton-Montgomery,1139.0,1312.0,,
2017,Fall,Community Colleges,Fulton-Montgomery,1250.0,1153.0,,
2016,Fall,Community Colleges,Fulton-Montgomery,1349.0,1285.0,,
2015,Fall,Community Colleges,Fulton-Montgomery,1426.0,1125.0,,
2014,Fall,Community Colleges,Fulton-Montgomery,1523.0,1066.0,,
2013,Fall,Community Colleges,Fulton-Montgomery,1724.0,1057.0,,
2012,Fall,Community Colleges,Fulton-Montgomery,1719.0,964.0,,
2011,Fall,Community Colleges,Fulton-Montgomery,1827.0,1015.0,,
2019,Fall,Community Colleges,Genesee,1918.0,3367.0,,
2018,Fall,Community Colleges,Genesee,2047.0,3483.0,,
2017,Fall,Community Colleges,Genesee,2353.0,3553.0,,
2016,Fall,Community Colleges,Genesee,2515.0,3626.0,,
2015,Fall,Community Colleges,Genesee,2846.0,3675.0,,
2014,Fall,Community Colleges,Genesee,3178.0,3705.0,,
2013,Fall,Community Colleges,Genesee,3326.0,3761.0,,
2012,Fall,Community Colleges,Genesee,3469.0,3496.0,,
2011,Fall,Community Colleges,Genesee,3611.0,3589.0,,
2019,Fall,Comprehensive Colleges,Geneseo,5133.0,141.0,48.0,56.0
2018,Fall,Comprehensive Colleges,Geneseo,5351.0,143.0,48.0,46.0
2017,Fall,Comprehensive Colleges,Geneseo,5420.0,104.0,47.0,49.0
2016,Fall,Comprehensive Colleges,Geneseo,5369.0,115.0,33.0,57.0
2015,Fall,Comprehensive Colleges,Geneseo,5447.0,119.0,50.0,60.0
2014,Fall,Comprehensive Colleges,Geneseo,5422.0,98.0,46.0,59.0
2013,Fall,Comprehensive Colleges,Geneseo,5358.0,125.0,65.0,68.0
2012,Fall,Comprehensive Colleges,Geneseo,5260.0,116.0,70.0,93.0
2011,Fall,Comprehensive Colleges,Geneseo,5352.0,124.0,93.0,95.0
2019,Fall,Community Colleges,Herkimer County,1268.0,1128.0,,
2018,Fall,Community Colleges,Herkimer County,1396.0,1002.0,,
2017,Fall,Community Colleges,Herkimer County,1636.0,996.0,,
2016,Fall,Community Colleges,Herkimer County,1681.0,964.0,,
2015,Fall,Community Colleges,Herkimer County,1752.0,1268.0,,
2014,Fall,Community Colleges,Herkimer County,1842.0,1417.0,,
2013,Fall,Community Colleges,Herkimer County,2081.0,1134.0,,
2012,Fall,Community Colleges,Herkimer County,2242.0,1221.0,,
2011,Fall,Community Colleges,Herkimer County,2470.0,1209.0,,
2019,Fall,Community Colleges,Hudson Valley,5401.0,5015.0,,
2018,Fall,Community Colleges,Hudson Valley,5636.0,5260.0,,
2017,Fall,Community Colleges,Hudson Valley,5802.0,5218.0,,
2016,Fall,Community Colleges,Hudson Valley,5880.0,5707.0,,
2015,Fall,Community Colleges,Hudson Valley,6253.0,5543.0,,
2014,Fall,Community Colleges,Hudson Valley,6422.0,5755.0,,
2013,Fall,Community Colleges,Hudson Valley,6832.0,6009.0,,
2012,Fall,Community Colleges,Hudson Valley,7175.0,5939.0,,
2011,Fall,Community Colleges,Hudson Valley,7643.0,5951.0,,
2019,Fall,Community Colleges,Jamestown,1973.0,2477.0,,
2018,Fall,Community Colleges,Jamestown,1935.0,2541.0,,
2017,Fall,Community Colleges,Jamestown,2060.0,2403.0,,
2016,Fall,Community Colleges,Jamestown,2149.0,2468.0,,
2015,Fall,Community Colleges,Jamestown,2353.0,2473.0,,
2014,Fall,Community Colleges,Jamestown,2551.0,2514.0,,
2013,Fall,Community Colleges,Jamestown,2764.0,2414.0,,
2012,Fall,Community Colleges,Jamestown,2772.0,2285.0,,
2011,Fall,Community Colleges,Jamestown,2954.0,2503.0,,
2019,Fall,Community Colleges,Jefferson,1573.0,1411.0,,
2018,Fall,Community Colleges,Jefferson,1802.0,1475.0,,
2017,Fall,Community Colleges,Jefferson,1947.0,1513.0,,
2016,Fall,Community Colleges,Jefferson,2082.0,1550.0,,
2015,Fall,Community Colleges,Jefferson,2095.0,1653.0,,
2014,Fall,Community Colleges,Jefferson,2153.0,1727.0,,
2013,Fall,Community Colleges,Jefferson,2234.0,1697.0,,
2012,Fall,Community Colleges,Jefferson,2254.0,1587.0,,
2011,Fall,Community Colleges,Jefferson,2237.0,1578.0,,
2019,Fall,Technology Colleges,Maritime,1474.0,48.0,84.0,68.0
2018,Fall,Technology Colleges,Maritime,1542.0,44.0,77.0,71.0
2017,Fall,Technology Colleges,Maritime,1581.0,60.0,87.0,66.0
2016,Fall,Technology Colleges,Maritime,1590.0,45.0,111.0,86.0
2015,Fall,Technology Colleges,Maritime,1630.0,47.0,121.0,62.0
2014,Fall,Technology Colleges,Maritime,1591.0,50.0,97.0,61.0
2013,Fall,Technology Colleges,Maritime,1517.0,84.0,95.0,59.0
2012,Fall,Technology Colleges,Maritime,1519.0,95.0,88.0,59.0
2011,Fall,Technology Colleges,Maritime,1565.0,96.0,102.0,60.0
2019,Fall,Community Colleges,Mohawk Valley,2968.0,3039.0,,
2018,Fall,Community Colleges,Mohawk Valley,3161.0,3156.0,,
2017,Fall,Community Colleges,Mohawk Valley,3324.0,3182.0,,
2016,Fall,Community Colleges,Mohawk Valley,3412.0,3213.0,,
2015,Fall,Community Colleges,Mohawk Valley,3632.0,3043.0,,
2014,Fall,Community Colleges,Mohawk Valley,4024.0,3125.0,,
2013,Fall,Community Colleges,Mohawk Valley,4616.0,2817.0,,
2012,Fall,Community Colleges,Mohawk Valley,4601.0,2850.0,,
2011,Fall,Community Colleges,Mohawk Valley,4904.0,2739.0,,
2019,Fall,Community Colleges,Monroe,6927.0,4645.0,,
2018,Fall,Community Colleges,Monroe,7483.0,4790.0,,
2017,Fall,Community Colleges,Monroe,7866.0,5041.0,,
2016,Fall,Community Colleges,Monroe,8214.0,5373.0,,
2015,Fall,Community Colleges,Monroe,8856.0,5730.0,,
2014,Fall,Community Colleges,Monroe,9374.0,5961.0,,
2013,Fall,Community Colleges,Monroe,10260.0,6198.0,,
2012,Fall,Community Colleges,Monroe,10554.0,6742.0,,
2011,Fall,Community Colleges,Monroe,10992.0,6707.0,,
2019,Fall,Technology Colleges,Morrisville,2283.0,498.0,,
2018,Fall,Technology Colleges,Morrisville,2508.0,478.0,,
2017,Fall,Technology Colleges,Morrisville,2614.0,449.0,,
2016,Fall,Technology Colleges,Morrisville,2624.0,379.0,,
2015,Fall,Technology Colleges,Morrisville,2531.0,409.0,,
2014,Fall,Technology Colleges,Morrisville,2505.0,405.0,,
2013,Fall,Technology Colleges,Morrisville,2668.0,360.0,,
2012,Fall,Technology Colleges,Morrisville,2708.0,387.0,,
2011,Fall,Technology Colleges,Morrisville,2861.0,369.0,,
2019,Fall,Community Colleges,Nassau,9486.0,7164.0,,
2018,Fall,Community Colleges,Nassau,10100.0,7306.0,,
2017,Fall,Community Colleges,Nassau,11258.0,7801.0,,
2016,Fall,Community Colleges,Nassau,11832.0,8542.0,,
2015,Fall,Community Colleges,Nassau,12956.0,8602.0,,
2014,Fall,Community Colleges,Nassau,13541.0,8833.0,,
2013,Fall,Community Colleges,Nassau,14209.0,9109.0,,
2012,Fall,Community Colleges,Nassau,14560.0,8780.0,,
2011,Fall,Community Colleges,Nassau,14940.0,8610.0,,
2019,Fall,Comprehensive Colleges,New Paltz,6291.0,516.0,488.0,462.0
2018,Fall,Comprehensive Colleges,New Paltz,6190.0,502.0,449.0,467.0
2017,Fall,Comprehensive Colleges,New Paltz,6235.0,498.0,403.0,429.0
2016,Fall,Comprehensive Colleges,New Paltz,6198.0,519.0,434.0,477.0
2015,Fall,Comprehensive Colleges,New Paltz,6165.0,534.0,527.0,525.0
2014,Fall,Comprehensive Colleges,New Paltz,6097.0,545.0,484.0,566.0
2013,Fall,Comprehensive Colleges,New Paltz,6060.0,510.0,478.0,530.0
2012,Fall,Comprehensive Colleges,New Paltz,6091.0,482.0,498.0,584.0
2011,Fall,Comprehensive Colleges,New Paltz,6194.0,505.0,525.0,633.0
2019,Fall,Community Colleges,Niagara County,2704.0,2220.0,,
2018,Fall,Community Colleges,Niagara County,2962.0,2085.0,,
2017,Fall,Community Colleges,Niagara County,3229.0,2210.0,,
2016,Fall,Community Colleges,Niagara County,3418.0,2475.0,,
2015,Fall,Community Colleges,Niagara County,3610.0,2506.0,,
2014,Fall,Community Colleges,Niagara County,3994.0,2484.0,,
2013,Fall,Community Colleges,Niagara County,4178.0,2452.0,,
2012,Fall,Community Colleges,Niagara County,4207.0,2528.0,,
2011,Fall,Community Colleges,Niagara County,4387.0,2770.0,,
2019,Fall,Community Colleges,North Country,751.0,1142.0,,
2018,Fall,Community Colleges,North Country,790.0,1188.0,,
2017,Fall,Community Colleges,North Country,896.0,1110.0,,
2016,Fall,Community Colleges,North Country,806.0,1125.0,,
2015,Fall,Community Colleges,North Country,816.0,1067.0,,
2014,Fall,Community Colleges,North Country,957.0,1005.0,,
2013,Fall,Community Colleges,North Country,951.0,1137.0,,
2012,Fall,Community Colleges,North Country,1023.0,1304.0,,
