Authority Name,Fiscal Year End Date,Bonds,Recipient Name,Recipient City,Recipient State,Recipient Postal Code,Amount Issued,Date Issued,Interest Rate,Expected Year Retired,Principal Retired During Year,Principal Retired at Start of Fiscal Year,Amount Outstanding,Bond Purpose,New Jobs,Jobs Planned,Jobs Created,Fully Retired
Albany CSO Pool Communities Corporation,09/30/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany CSO Pool Communities Corporation,09/30/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Business Development Corporation,12/31/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Business Development Corporation,12/31/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Business Development Corporation,12/31/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Business Development Corporation,12/31/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Business Development Corporation,12/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Business Development Corporation,12/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Business Development Corporation,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Business Development Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Business Development Corporation,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Capital Resource Corporation,12/31/2014,?,Zen Project,ALBANY,NY,12203.0,8.8E7,12/19/2014,4.0,2034.0,46494.0,0.0,8.7953506E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,230.0,230.0,No
Albany County Capital Resource Corporation,12/31/2015,?,Zen Project,ALBANY,NY,12203.0,8.8E7,12/19/2014,4.0,2034.0,0.0,46494.0,8.7953506E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,230.0,300.0,No
Albany County Capital Resource Corporation,12/31/2016,?,Zen Project,ALBANY,NY,12203.0,8.8E7,12/19/2014,4.0,2034.0,0.0,46494.0,8.7953506E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,230.0,230.0,No
Albany County Capital Resource Corporation,12/31/2017,?,Zen Project,ALBANY,NY,12203.0,8.8E7,12/19/2014,4.0,2034.0,900786.0,46494.0,8.705272E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,230.0,230.0,No
Albany County Capital Resource Corporation,12/31/2018,?,Zen Project,ALBANY,NY,12203.0,8.8E7,12/19/2014,4.0,2034.0,1208750.0,947280.0,8.584397E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,230.0,230.0,No
Albany County Capital Resource Corporation,12/31/2019,?,Zen Project,ALBANY,NY,12203.0,8.8E7,12/19/2014,4.0,2034.0,2621243.0,2156030.0,8.3222727E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,230.0,200.0,No
Albany County Land Bank Corporation,06/30/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Land Bank Corporation,06/30/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Land Bank Corporation,06/30/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Land Bank Corporation,06/30/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Land Bank Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Albany County Land Bank Corporation,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Allegany County Capital Resource Corporation,12/31/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Allegany County Capital Resource Corporation,12/31/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Allegany County Capital Resource Corporation,12/31/2013,?,Cuba Memorial Hospital, Inc,CUBA,NY,14727.0,3000000.0,11/04/2004,8.0,2014.0,0.0,NaN,3000000.0,Land Preservation/Resource Conservation/Recreation,No,NaN,NaN,No
Allegany County Capital Resource Corporation,12/31/2013,?,Atlantic Richfileld / British Petroleum,TOWSON,MD,21204.0,7000000.0,02/01/2003,5.0,2037.0,975000.0,NaN,6025000.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Allegany County Capital Resource Corporation,12/31/2013,?,Alfred University,ALFRED,NY,14802.0,2.3035E7,02/01/1998,5.0,2028.0,455000.0,NaN,2.258E7,Education/Training(Business Development),No,NaN,NaN,No
Allegany County Capital Resource Corporation,12/31/2014,?,Atlantic Richfileld / British Petroleum,TOWSON,MD,21204.0,7000000.0,02/01/2003,5.0,2037.0,6025000.0,975000.0,0.0,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,Yes
Allegany County Capital Resource Corporation,12/31/2014,?,Alfred University,ALFRED,NY,14802.0,2.3035E7,02/01/1998,5.0,2028.0,2.258E7,455000.0,0.0,Education/Training(Business Development),No,NaN,NaN,Yes
Allegany County Capital Resource Corporation,12/31/2014,?,Cuba Memorial Hospital, Inc,CUBA,NY,14727.0,3000000.0,11/04/2004,8.0,2014.0,3000000.0,0.0,0.0,Land Preservation/Resource Conservation/Recreation,No,NaN,NaN,Yes
Allegany County Capital Resource Corporation,12/31/2015,?,Alfred University,ALFRED,NY,14802.0,8716483.0,07/29/2015,2.9,2028.0,624526.0,NaN,8091957.0,Education/Training(Business Development),No,NaN,NaN,No
Allegany County Capital Resource Corporation,12/31/2016,?,Alfred University,ALFRED,NY,14802.0,8716483.0,07/29/2015,2.9,2028.0,566709.0,624526.0,7525248.0,Education/Training(Business Development),No,NaN,NaN,No
Allegany County Capital Resource Corporation,12/31/2017,?,Alfred University,ALFRED,NY,14802.0,8716483.0,07/29/2015,2.9,2028.0,0.0,1191235.0,7525248.0,Education/Training(Business Development),No,NaN,NaN,No
Allegany County Capital Resource Corporation,12/31/2018,?,Alfred University,ALFRED,NY,14802.0,8716483.0,07/29/2015,2.9,2028.0,0.0,1191235.0,7525248.0,Education/Training(Business Development),No,NaN,NaN,No
Allegany County Capital Resource Corporation,12/31/2019,?,Alfred University,ALFRED,NY,14802.0,8716483.0,07/29/2015,2.9,2028.0,1794870.0,1191235.0,5730378.0,Education/Training(Business Development),No,NaN,NaN,No
Allegany County Land Bank Corporation,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Allegany County Land Bank Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Allegany County Land Bank Corporation,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Apple Industrial Development Corporation,06/30/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Apple Industrial Development Corporation,06/30/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Apple Industrial Development Corporation,06/30/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Apple Industrial Development Corporation,06/30/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Auburn Local Development Corporation,12/31/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Auburn Local Development Corporation,12/31/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Auburn Local Development Corporation,12/31/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Auburn Local Development Corporation,12/31/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Auburn Local Development Corporation,12/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Auburn Local Development Corporation,12/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Auburn Local Development Corporation,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Auburn Local Development Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
BURA INC,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
BURA INC,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Batavia Development Corporation,03/31/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Batavia Development Corporation,03/31/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Batavia Development Corporation,03/31/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Batavia Development Corporation,03/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Batavia Development Corporation,03/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Batavia Development Corporation,03/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Batavia Development Corporation,03/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Batavia Development Corporation,03/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Binghamton Local Development Corporation,08/31/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Binghamton Local Development Corporation,08/31/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Binghamton Local Development Corporation,08/31/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Binghamton Local Development Corporation,08/31/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Binghamton Local Development Corporation,08/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Binghamton Local Development Corporation,08/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Binghamton Local Development Corporation,08/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Binghamton Local Development Corporation,08/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Binghamton Local Development Corporation,08/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bolton Local Development Corporation,12/31/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bolton Local Development Corporation,12/31/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bolton Local Development Corporation,12/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bolton Local Development Corporation,12/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bolton Local Development Corporation,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bolton Local Development Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bolton Local Development Corporation,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bronx Overall Economic Development Corporation,06/30/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bronx Overall Economic Development Corporation,06/30/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bronx Overall Economic Development Corporation,06/30/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bronx Overall Economic Development Corporation,06/30/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bronx Overall Economic Development Corporation,06/30/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bronx Overall Economic Development Corporation,06/30/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Bronx Overall Economic Development Corporation,06/30/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Bridge Park Corporation,06/30/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Bridge Park Corporation,06/30/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Bridge Park Corporation,06/30/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Bridge Park Corporation,06/30/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Bridge Park Corporation,06/30/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Bridge Park Corporation,06/30/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Bridge Park Corporation,06/30/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Bridge Park Corporation,06/30/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Navy Yard Development Corporation,06/30/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Navy Yard Development Corporation,06/30/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Navy Yard Development Corporation,06/30/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Navy Yard Development Corporation,06/30/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Navy Yard Development Corporation,06/30/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Brooklyn Navy Yard Development Corporation,06/30/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome County Land Bank,12/31/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome County Land Bank,12/31/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome County Land Bank,12/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome County Land Bank,12/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome County Land Bank,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome County Land Bank,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome County Land Bank,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome County Local Development Corporation,12/31/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome County Local Development Corporation,12/31/2013,?,BCC Housing Development Corporation,BINGHAMTON,NY,13902.0,1.82E7,06/07/2013,3.27,2043.0,0.0,NaN,1.82E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,Yes,10.0,1.0,No
Broome County Local Development Corporation,12/31/2014,?,BCC Housing Development Corporation,BINGHAMTON,NY,13902.0,1.82E7,06/07/2013,3.27,2043.0,64646.0,0.0,1.8135354E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,Yes,10.0,10.0,No
Broome County Local Development Corporation,12/31/2015,?,BCC Housing Development Corporation,BINGHAMTON,NY,13902.0,1.82E7,06/07/2013,3.27,2043.0,390048.0,64646.0,1.7745306E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,Yes,10.0,10.0,No
Broome County Local Development Corporation,12/31/2015,?,Good Shepherd Village and Endwell,ENDWELL,NY,13760.0,4.735E7,05/13/2015,2.7,2040.0,670000.0,NaN,4.668E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,NaN,NaN,No
Broome County Local Development Corporation,12/31/2016,?,BCC Housing Development Corporation,BINGHAMTON,NY,13902.0,1.82E7,06/07/2013,3.27,2043.0,390048.0,454694.0,1.7355258E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,Yes,10.0,6.0,No
Broome County Local Development Corporation,12/31/2016,?,Good Shepherd Village and Endwell,ENDWELL,NY,13760.0,4.735E7,05/13/2015,2.7,2040.0,1315000.0,670000.0,4.5365E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,NaN,NaN,No
Broome County Local Development Corporation,12/31/2017,?,BCC Housing Development Corporation,BINGHAMTON,NY,13902.0,1.82E7,06/07/2013,3.27,2043.0,429691.0,844742.0,1.6925567E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,Yes,10.0,10.0,No
Broome County Local Development Corporation,12/31/2017,?,Good Shepherd Village and Endwell,ENDWELL,NY,13760.0,4.735E7,05/13/2015,2.7,2040.0,1360000.0,1985000.0,4.4005E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,NaN,NaN,No
Broome County Local Development Corporation,12/31/2018,?,BCC Housing Development Corporation,BINGHAMTON,NY,13902.0,1.82E7,06/07/2013,3.27,2043.0,430580.0,1274433.0,1.6494987E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,Yes,10.0,10.0,No
Broome County Local Development Corporation,12/31/2018,?,Good Shepherd Village and Endwell,ENDWELL,NY,13760.0,4.735E7,05/13/2015,2.7,2040.0,790000.0,3345000.0,4.3215E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,NaN,NaN,No
Broome County Local Development Corporation,12/31/2019,?,BCC Housing Development Corporation,BINGHAMTON,NY,13902.0,1.82E7,06/07/2013,3.27,2043.0,445006.0,1705013.0,1.6049981E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,Yes,10.0,10.0,No
Broome County Local Development Corporation,12/31/2019,?,Good Shepherd Village and Endwell,ENDWELL,NY,13760.0,4.735E7,05/13/2015,2.7,2040.0,1410000.0,4135000.0,4.1805E7,Residential Property Construction/Acquisition/Rehabilitation/Improvement,No,NaN,NaN,No
Broome County Local Development Corporation,12/31/2019,?,United Health Services Hospitals, Inc,BINGHAMTON,NY,13903.0,1.890521E7,02/28/2019,3.12,2029.0,0.0,NaN,1.890521E7,Equipment and Fixed Asset Acquisition,No,NaN,NaN,No
Broome Tobacco Asset Securitization Corporation,12/31/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome Tobacco Asset Securitization Corporation,12/31/2012,?,Audit adjustment principal interest reclassification,BINGHAMTON,NY,13902.0,1220000.0,12/31/2012,0.0,2013.0,0.0,NaN,1220000.0,Business Expansion/Startup,No,NaN,NaN,No
Broome Tobacco Asset Securitization Corporation,12/31/2013,?,Audit adjustment principal interest reclassification,BINGHAMTON,NY,13902.0,1220000.0,12/31/2012,0.0,2013.0,15.0,0.0,1219985.0,Business Expansion/Startup,No,NaN,NaN,No
Broome Tobacco Asset Securitization Corporation,12/31/2014,?,Audit adjustment principal interest reclassification,BINGHAMTON,NY,13902.0,1220000.0,12/31/2012,0.0,2013.0,1219985.0,15.0,0.0,Business Expansion/Startup,No,NaN,NaN,Yes
Broome Tobacco Asset Securitization Corporation,12/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome Tobacco Asset Securitization Corporation,12/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome Tobacco Asset Securitization Corporation,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Broome Tobacco Asset Securitization Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Erie Niagara Land Improvement Corporation,12/31/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Erie Niagara Land Improvement Corporation,12/31/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Erie Niagara Land Improvement Corporation,12/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Erie Niagara Land Improvement Corporation,12/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Erie Niagara Land Improvement Corporation,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Erie Niagara Land Improvement Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Erie Niagara Land Improvement Corporation,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Urban Development Corporation,12/31/2011,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Urban Development Corporation,12/31/2012,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Urban Development Corporation,12/31/2013,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Urban Development Corporation,12/31/2014,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Urban Development Corporation,12/31/2015,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Urban Development Corporation,12/31/2016,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Urban Development Corporation,12/31/2017,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Urban Development Corporation,12/31/2018,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo Urban Development Corporation,12/31/2019,No,?,?,?,NaN,NaN,?,NaN,NaN,NaN,NaN,NaN,?,?,NaN,NaN,?
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,?,Medaille College,BUFFALO,NY,14214.0,1.2E7,11/02/2010,4.5,2020.0,295599.0,0.0,1.1704401E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,No,NaN,NaN,No
Buffalo and Erie County Industrial Land Development Corporation,12/31/2011,?,134 High Street, LLC,BUFFALO,NY,14203.0,2.405E7,12/22/2010,4.0,2022.0,0.0,0.0,2.405E7,Commercial Property Construction/Acquisition/Revitalization/Improvement,Yes,4.0,0.0,No
