Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1
DAYTON FIRE DEPARTMENT,5004.0,12749 COTTAGE ROAD,SOUTH DAYTON,NY,14138,5.0,Cattaraugus,7.165322627E9,42.40311,-78.97281,(42.40311, -78.97281)
DELEVAN FIRE DEPARTMENT,5005.0,85 S MAIN ST PO BOX 218,DELEVAN,NY,14042,0.0,Cattaraugus,7.164920945E9,42.488256,-78.48041,(42.488256, -78.48041)
EAST OTTO FIRE DEPARTMENT,5006.0,7894 E FLATS RD PO BOX 171,EAST OTTO,NY,14729,5.0,Cattaraugus,NaN,42.3959,-78.73065,(42.3959, -78.73065)
EAST RANDOLPH FIRE DEPARTMENT,5007.0,147 MAIN STREET ER,EAST RANDOLPH,NY,14730,5.0,Cattaraugus,7.16358607E9,42.171685,-78.94941,(42.171685, -78.94941)
ELLICOTTVILLE FIRE DEPARTMENT,5008.0,PO BOX 397,ELLICOTTVILLE,NY,14731,5.0,Cattaraugus,7.166992717E9,42.2971,-78.64982,(42.2971, -78.64982)
FARMERSVILLE FIRE DEPARTMENT,5009.0,ELTON ROAD,FARMERSVILLE STATION,NY,14060,5.0,Cattaraugus,7.166765717E9,42.428311,-78.359776,(42.428311, -78.359776)
FRANKLINVILLE FIRE DEPARTMENT,5010.0,75 NORTH MAIN ST PO BOX 74,FRANKLINVILLE,NY,14737,5.0,Cattaraugus,7.166762539E9,42.342979,-78.455747,(42.342979, -78.455747)
GREAT VALLEY FIRE DEPARTMENT,5011.0,5099 RT 219,GREAT VALLEY,NY,14741,5.0,Cattaraugus,NaN,42.216861,-78.63805,(42.216861, -78.63805)
GOWANDA FIRE DEPARTMENT,5012.0,230 ALDRICH STREET,GOWANDA,NY,14070,5.0,Cattaraugus,7.165323434E9,42.468796,-78.941678,(42.468796, -78.941678)
HINSDALE FIRE DEPARTMENT,5013.0,MAIN STREET,HINSDALE,NY,14743,5.0,Cattaraugus,7.163734119E9,42.169456,-78.383949,(42.169456, -78.383949)
ISCHUA FIRE DEPARTMENT,5014.0,ROUTE 16,ISCHUA,NY,14746,5.0,Cattaraugus,7.163780177E9,42.169456,-78.383949,(42.169456, -78.383949)
KILL BUCK FIRE DEPARTMENT,5015.0,3790 KILL BUCK RD PO BX 252,KILL BUCK,NY,14748,5.0,Cattaraugus,NaN,42.15402,-78.72221,(42.15402, -78.72221)
KNAPP CREEK FIRE DEPARTMENT,5016.0,253 NYS ROUTE 16 SOUTH,KNAPP CREEK,NY,14760,5.0,Cattaraugus,7.163724523E9,42.077415,-78.43251,(42.077415, -78.43251)
MANSFIELD FIRE DEPARTMENT,5017.0,RFD 1 BOX 69 MAPLES,LITTLE VALLEY,NY,14755,5.0,Cattaraugus,7.166995401E9,42.333312,-78.735397,(42.333312, -78.735397)
LITTLE VALLEY FIRE DEPARTMENT,5018.0,101 3RD STREET,LITTLE VALLEY,NY,14755,5.0,Cattaraugus,7.169389151E9,42.248853,-78.797557,(42.248853, -78.797557)
LIMESTONE FIRE DEPARTMENT,5019.0,631 MAIN STREET,LIMESTONE,NY,14753,5.0,Cattaraugus,7.169258813E9,42.026175,-78.628962,(42.026175, -78.628962)
LEON FIRE DEPARTMENT,5020.0,PO BOX 34,LEON,NY,14751,5.0,Cattaraugus,NaN,42.292941,-79.054032,(42.292941, -79.054032)
MACHIAS FIRE DEPARTMENT,5021.0,9548 MAIN STREET,MACHIAS,NY,14101,5.0,Cattaraugus,7.163534611E9,42.414357,-78.492458,(42.414357, -78.492458)
OLEAN FIRE DEPARTMENT (CITY),5022.0,542 NORTH UNION STREET,OLEAN,NY,14760,5.0,Cattaraugus,7.163765609E9,42.08635,-78.429876,(42.08635, -78.429876)
OLEAN FIRE DEPARTMENT (TOWN),5023.0,1276 OLD ROCK CITY RD,OLEAN,NY,14760,5.0,Cattaraugus,NaN,42.05595,-78.43963,(42.05595, -78.43963)
OTTO FIRE DEPARTMENT,5024.0,8960 OTTO - EAST OTTO ROAD,CATTARAUGUS,NY,14719-9645,5.0,Cattaraugus,7.162579776E9,42.355976,-78.830843,(42.355976, -78.830843)
PERRYSBURG FIRE DEPARTMENT,5025.0,11949 MAIN STREET,PERRYSBURG,NY,14129,5.0,Cattaraugus,7.165324441E9,42.45649,-79.002499,(42.45649, -79.002499)
PORTVILLE FIRE DEPARTMENT,5026.0,58 BROOKLYN STREET,PORTVILLE,NY,14770,5.0,Cattaraugus,NaN,42.030034,-78.341948,(42.030034, -78.341948)
RANDOLPH FIRE DEPARTMENT,5027.0,70 MAIN STREET,RANDOLPH,NY,14772,5.0,Cattaraugus,7.1635893E9,42.172602,-78.947487,(42.172602, -78.947487)
SALAMANCA FIRE DEPARTMENT,5028.0,225 WILDWOOD AVENUE,SALAMANCA,NY,14779,5.0,Cattaraugus,7.169453311E9,42.156798,-78.7075,(42.156798, -78.7075)
SOUTH DAYTON FIRE DEPARTMENT,5029.0,34 MAPLE STREET  PO BOX 88,SOUTH DAYTON,NY,14138,5.0,Cattaraugus,7.169885153E9,42.361729,-79.04873,(42.361729, -79.04873)
COLDSPRING FIRE DEPARTMENT,5030.0,2603 RT 394,STEAMBURG,NY,14783,5.0,Cattaraugus,7.163545425E9,42.108803,-78.911384,(42.108803, -78.911384)
VERSAILLES FIRE DEPARTMENT,5031.0,BUFFALO ROAD,VERSAILLES,NY,14168,5.0,Cattaraugus,7.165324065E9,42.520164,-78.994416,(42.520164, -78.994416)
WESTONS MILLS FIRE DEPT,5032.0,PO BOX 601,WESTON MILLS,NY,14788,5.0,Cattaraugus,7.16372028E9,42.06206,-78.3782,(42.06206, -78.3782)
WEST VALLEY FIRE DEPARTMENT,5033.0,PO BOX 289,WEST VALLEY,NY,14171,5.0,Cattaraugus,7.169423768E9,42.41152,-78.65312,(42.41152, -78.65312)
YORKSHIRE FIRE DEPARTMENT,5034.0,12211 CHURCH STREET,YORKSHIRE,NY,14173,5.0,Cattaraugus,7.16492447E9,42.52949,-78.47812,(42.52949, -78.47812)
LYNDON FIRE DEPARTMENT,5035.0,6943 ABBOTT ROAD,FRANKLINVILLE,NY,14737,5.0,Cattaraugus,7.16676515E9,42.305095,-78.350587,(42.305095, -78.350587)
HUMPHREY FIRE DEPARTMENT,5036.0,4704 PUMPKIN HOLLOW ROAD,GREAT VALLEY,NY,14741,5.0,Cattaraugus,NaN,42.202143,-78.552614,(42.202143, -78.552614)
AUBURN CITY FIRE DEPARTMENT,6001.0,23 MARKET STREET,AUBURN,NY,13021,6.0,Cayuga,3.152534031E9,42.933196,-76.56558,(42.933196, -76.56558)
AURELIUS FIRE DEPARTMENT,6002.0,1241 W GENESEE STREET ROAD,AUBURN,NY,13021,6.0,Cayuga,3.152520039E9,42.923817,-76.624858,(42.923817, -76.624858)
AURORA FIRE DEPARTMENT,6003.0,456 MAIN STREET,AURORA,NY,13026,6.0,Cayuga,3.15364859E9,42.757976,-76.70362,(42.757976, -76.70362)
CATO FIRE DEPARTMENT,6004.0,2569 E MAIN STREET,CATO,NY,13033,6.0,Cayuga,3.156262393E9,43.175153,-76.553605,(43.175153, -76.553605)
CAYUGA FIRE DEPARTMENT,6005.0,6233 COURT STREET,CAYUGA,NY,13034,6.0,Cayuga,NaN,42.918625,-76.726189,(42.918625, -76.726189)
FAIR HAVEN FIRE DEPARTMENT,6006.0,14430 FAIR HAVEN RD POB 334,FAIR HAVEN,NY,13064,6.0,Cayuga,3.159475145E9,43.313855,-76.699919,(43.313855, -76.699919)
FLEMING #1 FIRE DEPARTMENT,6007.0,6063 WEST LAKE ROAD,AUBURN,NY,13021,6.0,Cayuga,3.152526902E9,42.895616,-76.551042,(42.895616, -76.551042)
FLEMING #2 FIRE DEPARTMENT,6008.0,5024 STATE RT 34,AUBURN,NY,13021,6.0,Cayuga,3.152527371E9,42.92239,-76.56369,(42.92239, -76.56369)
GENOA FIRE DEPARTMENT,6009.0,10015 RT 90,GENOA,NY,13071,6.0,Cayuga,3.154970009E9,42.66778,-76.538061,(42.66778, -76.538061)
