Year,Processing Snapshot Date,Scholarship Name,Metric Type,Metric Value,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,College Region Name,Headcount Type,Headcount
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,950.0,2851.0,SUC ENV SCI&FORESTRY,Central New York,Eligible Applicant(s),16
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,90.0,2681.0,CANISIUS COLLEGE,Western New York,Eligible Applicant(s),2
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,905.0,2842.0,SUC BUFFALO,Western New York,Eligible Applicant(s),8
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,900.0,2841.0,SUC BROCKPORT (UNDERGRAD),Finger Lakes,Eligible Applicant(s),10
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,405.0,2758.0,MANHATTAN COLLEGE,New York City,Eligible Applicant(s),6
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,1010.0,2837.0,SUNY BUFFALO,Western New York,Eligible Applicant(s),145
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,4-SUNY CC,2025.0,2862.0,BROOME COMMUNITY COLLEGE,Southern Tier,Eligible Applicant(s),3
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1411.0,2688.0,CUNY CITY COLLEGE,New York City,Eligible Applicant(s),28
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1410.0,2687.0,CUNY BROOKLYN COLLEGE,New York City,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,1-CUNY SR,1416.0,2690.0,CUNY QUEENS COLLEGE,New York City,Eligible Applicant(s),8
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,2235.0,2665.0,VAUGHN COLL AERONAUTICS TECH,New York City,Eligible Applicant(s),3
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,940.0,2849.0,SUNY PLATTSBURGH,North Country,Eligible Applicant(s),5
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,1030.0,2895.0,VASSAR COLLEGE,Hudson Valley,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,640.0,2805.0,ROBERTS WESLEYAN COLLEGE,Finger Lakes,Eligible Applicant(s),9
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,4-SUNY CC,2085.0,2869.0,JAMESTOWN COMMUNITY COLLEGE,Western New York,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,4-SUNY CC,2215.0,2874.0,NIAGARA COMMUNITY COLLEGE,Western New York,Eligible Applicant(s),3
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,900.0,2841.0,SUC BROCKPORT (UNDERGRAD),Finger Lakes,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,10.0,2666.0,ADELPHI UNIVERSITY,Long Island,Eligible Applicant(s),9
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,4-SUNY CC,2080.0,2868.0,HUDSON VALLEY COMMUNITY COLLEGE,Capital District,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,3030.0,2859.0,MORRISVILLE STATE COLLEGE,Central New York,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,755.0,2825.0,ST JOSEPHS COLLEGE,New York City,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,935.0,2848.0,SUC OSWEGO (UNDERGRAD),Central New York,Eligible Applicant(s),15
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1409.0,7273.0,CUNY BARUCH COLLEGE,New York City,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,500.0,2775.0,MOLLOY COLLEGE,Long Island,Eligible Applicant(s),5
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,525.0,2779.0,NAZARETH COLLEGE,Finger Lakes,Eligible Applicant(s),90
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,1010.0,2837.0,SUNY BUFFALO,Western New York,Eligible Applicant(s),51
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,920.0,2845.0,SUC GENESEO,Finger Lakes,Eligible Applicant(s),38
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,905.0,2842.0,SUC BUFFALO,Western New York,Eligible Applicant(s),3
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1416.0,2690.0,CUNY QUEENS COLLEGE,New York City,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,2110.0,2778.0,MOUNT SAINT MARY COLLEGE,Hudson Valley,Eligible Applicant(s),11
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,1-CUNY SR,1411.0,2688.0,CUNY CITY COLLEGE,New York City,Eligible Applicant(s),22
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,940.0,2849.0,SUNY PLATTSBURGH,North Country,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,2120.0,2782.0,NEW YORK INST TECH 4YR,Long Island,Eligible Applicant(s),16
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1405.0,2696.0,CUNY NYC COLLEGE OF TECHNOLOGY,New York City,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,635.0,2803.0,RENSSELAER POLYTECHNIC INST,Capital District,Eligible Applicant(s),12
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,174.0,2711.0,CORNELL UNIV STATUTORY COLLEGES,Southern Tier,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,990.0,2889.0,UNION COLLEGE,Capital District,Eligible Applicant(s),5
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,170.0,2710.0,COOPER UNION ADVNCMT SCI ART,New York City,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,875.0,2838.0,SUNY STONY BROOK,Long Island,Eligible Applicant(s),47
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,880.0,2836.0,SUNY BINGHAMTON,Southern Tier,Eligible Applicant(s),79
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,591.0,2791.0,PACE UNIVERSITY WESTCHESTER,Hudson Valley,Eligible Applicant(s),8
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,4975.0,11678.0,SUNY POLYTECHNIC INSTITUTE,Mohawk Valley,Eligible Applicant(s),12
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,865.0,10142.0,TOURO COLLEGE,New York City,Eligible Applicant(s),8
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,925.0,2846.0,SUC NEW PALTZ,Hudson Valley,Eligible Applicant(s),6
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,895.0,2835.0,SUNY ALBANY (UNDERGRAD),Capital District,Eligible Applicant(s),26
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,985.0,2882.0,SYRACUSE UNIVERSITY (UNDERGRAD),Central New York,Eligible Applicant(s),40
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,4-SUNY CC,2157.0,2878.0,SUFFOLK COMMUNITY COLLEGE,Long Island,Eligible Applicant(s),6
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,245.0,2722.0,FORDHAM UNIVERSITY,New York City,Eligible Applicant(s),45
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,590.0,2791.0,PACE UNIVERSITY,New York City,Eligible Applicant(s),36
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,695.0,2817.0,ST BONAVENTURE UNIVERSITY,Western New York,Eligible Applicant(s),8
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,895.0,2835.0,SUNY ALBANY (UNDERGRAD),Capital District,Eligible Applicant(s),19
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,4-SUNY CC,2000.0,2860.0,ADIRONDACK COMMUNITY COLLEGE,Capital District,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,1015.0,2894.0,UNIVERSITY OF ROCHESTER,Finger Lakes,Eligible Applicant(s),21
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,925.0,2846.0,SUC NEW PALTZ,Hudson Valley,Eligible Applicant(s),16
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,1-CUNY SR,1405.0,2696.0,CUNY NYC COLLEGE OF TECHNOLOGY,New York City,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,4-SUNY CC,2254.0,4788.0,HERKIMER COMMUNITY COLLEGE,Mohawk Valley,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,270.0,2728.0,HAMILTON COLLEGE,Mohawk Valley,Eligible Applicant(s),4
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1413.0,2689.0,CUNY HUNTER COLLEGE,New York City,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,4-SUNY CC,2256.0,7532.0,FINGER LAKES COMMUNITY COLLEGE,Finger Lakes,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,6015.0,2856.0,SUNY COBLESKILL,Mohawk Valley,Eligible Applicant(s),3
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,6005.0,2854.0,SUNY COLLEGE OF TECH AT ALFRED,Western New York,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,970.0,6791.0,SUC PURCHASE,Hudson Valley,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,330.0,2739.0,ITHACA COLLEGE,Southern Tier,Eligible Applicant(s),11
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,375.0,2748.0,LEMOYNE COLLEGE,Central New York,Eligible Applicant(s),22
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,910.0,2843.0,SUC CORTLAND (UNDERGRAD),Central New York,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,555.0,2785.0,NEW YORK UNIVERSITY,New York City,Eligible Applicant(s),27
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,120.0,2699.0,CLARKSON UNIVERSITY,North Country,Eligible Applicant(s),21
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,171.0,2707.0,COLUMBIA UNIV,New York City,Eligible Applicant(s),7
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,174.0,2711.0,CORNELL UNIV STATUTORY COLLEGES,Southern Tier,Eligible Applicant(s),18
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,295.0,2731.0,HOBART AND WILLIAM SMITH COLLEGES,Finger Lakes,Eligible Applicant(s),5
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,20.0,2668.0,ALFRED UNIVERSITY,Western New York,Eligible Applicant(s),8
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,920.0,2845.0,SUC GENESEO,Finger Lakes,Eligible Applicant(s),33
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,325.0,2737.0,IONA COLLEGE,Hudson Valley,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,560.0,2788.0,NIAGARA UNIVERSITY,Western New York,Eligible Applicant(s),12
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,195.0,2712.0,D'YOUVILLE COLLEGE,Western New York,Eligible Applicant(s),15
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,1-CUNY SR,1410.0,2687.0,CUNY BROOKLYN COLLEGE,New York City,Eligible Applicant(s),7
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,965.0,7109.0,SUNY COLLEGE AT OLD WESTBURY (UG),Long Island,Eligible Applicant(s),2
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,925.0,2846.0,SUC NEW PALTZ,Hudson Valley,Eligible Applicant(s),10
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,175.0,2711.0,CORNELL UNIVERSITY,Southern Tier,Eligible Applicant(s),28
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,305.0,2734.0,HOUGHTON COLLEGE,Western New York,Eligible Applicant(s),11
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,6025.0,2858.0,SUNY COLLEGE OF TECH FARMINGDALE,Long Island,Eligible Applicant(s),2
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,1-CUNY SR,1409.0,7273.0,CUNY BARUCH COLLEGE,New York City,Eligible Applicant(s),3
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,895.0,2835.0,SUNY ALBANY (UNDERGRAD),Capital District,Eligible Applicant(s),25
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,905.0,2842.0,SUC BUFFALO,Western New York,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,215.0,2718.0,ELMIRA COLLEGE,Southern Tier,Eligible Applicant(s),8
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,4-SUNY CC,2180.0,2872.0,MONROE COMMUNITY COLLEGE,Finger Lakes,Eligible Applicant(s),4
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,930.0,2847.0,SUC ONEONTA,Mohawk Valley,Eligible Applicant(s),10
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,875.0,2838.0,SUNY STONY BROOK,Long Island,Eligible Applicant(s),86
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,4975.0,11678.0,SUNY POLYTECHNIC INSTITUTE,Mohawk Valley,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,650.0,2806.0,ROCHESTER INSTITUTE OF TECHLGY,Finger Lakes,Eligible Applicant(s),63
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,935.0,2848.0,SUC OSWEGO (UNDERGRAD),Central New York,Eligible Applicant(s),13
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,6030.0,2859.0,MORRISVILLE STATE COLLEGE,Central New York,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,1-CUNY SR,1414.0,2693.0,CUNY JOHN JAY COLLEGE,New York City,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PRIVATE,5-INDEPENDENT,403.0,2751.0,LONG ISLAND UNIVERSITY,Long Island,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,Gender,Male,,,,,,,Eligible Applicant(s),571
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,6015.0,2856.0,SUNY COBLESKILL,Mohawk Valley,Eligible Applicant(s),2
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,,PUBLIC,3-SUNY SO,3005.0,2854.0,SUNY COLLEGE OF TECH AT ALFRED,Western New York,Eligible Applicant(s),5
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,,PUBLIC,3-SUNY SO,945.0,2850.0,SUC POTSDAM,North Country,Eligible Applicant(s),4
