Year,Region,NAICS Code,Industry,Jobs
2017.0,Western New York,99,Unclassified Industry,1754.0
2016.0,New York City,81,Other Services (except Public Administration),238033.0
2017.0,Western New York,62,Health Care and Social Assistance,91422.0
2016.0,Western New York,99,Unclassified Industry,572.0
2016.0,Southern Tier,21,Mining, Quarrying, and Oil and Gas Extraction,872.0
2017.0,Mohawk Valley,52,Finance and Insurance,7748.0
2017.0,Southern Tier,23,Construction,8255.0
2017.0,Central New York,31,Manufacturing,30265.0
2016.0,Western New York,55,Management of Companies and Enterprises,2627.0
2016.0,Mohawk Valley,31,Manufacturing,18106.0
2016.0,Western New York,31,Manufacturing,33779.0
2017.0,Long Island,21,Mining, Quarrying, and Oil and Gas Extraction,193.0
2017.0,Western New York,21,Mining, Quarrying, and Oil and Gas Extraction,410.0
2017.0,Long Island,71,Arts, Entertainment, and Recreation,23171.0
2017.0,Mohawk Valley,23,Construction,5119.0
2017.0,Capital Region,71,Arts, Entertainment, and Recreation,8154.0
2016.0,Finger Lakes,22,Utilities,1789.0
2016.0,Finger Lakes,31,Manufacturing,65869.0
2017.0,Finger Lakes,90,Government,91050.0
2016.0,Mohawk Valley,56,Administrative and Support and Waste Management and Remediation Services,5246.0
2016.0,Central New York,90,Government,66149.0
2017.0,Mohawk Valley,72,Accommodation and Food Services,15100.0
2017.0,Western New York,23,Construction,23565.0
2016.0,Mohawk Valley,54,Professional, Scientific, and Technical Services,5813.0
2016.0,New York City,21,Mining, Quarrying, and Oil and Gas Extraction,69.0
2017.0,North Country,48,Transportation and Warehousing,3371.0
2017.0,Mid-Hudson,54,Professional, Scientific, and Technical Services,44873.0
2016.0,New York City,72,Accommodation and Food Services,356058.0
2016.0,North Country,11,Agriculture, Forestry, Fishing and Hunting,4629.0
2016.0,Long Island,55,Management of Companies and Enterprises,15695.0
2016.0,Central New York,61,Educational Services,18766.0
2017.0,Mohawk Valley,53,Real Estate and Rental and Leasing,1165.0
2017.0,Long Island,23,Construction,79819.0
2017.0,Capital Region,61,Educational Services,22420.0
2017.0,North Country,72,Accommodation and Food Services,14514.0
2017.0,New York City,72,Accommodation and Food Services,358311.0
2013.0,Mid-Hudson,62,Health Care and Social Assistance,144038.0
2013.0,Capital Region,71,Arts, Entertainment, and Recreation,8017.0
2012.0,Mid-Hudson,23,Construction,39260.0
2014.0,Capital Region,51,Information,9231.0
2014.0,Finger Lakes,52,Finance and Insurance,15328.0
2014.0,Southern Tier ,55,Management of Companies and Enterprises,2283.0
2014.0,Southern Tier ,21,Mining, Quarrying, and Oil and Gas Extraction,955.0
2014.0,Central New York,54,Professional, Scientific, and Technical Services,17229.0
2013.0,Mid-Hudson,11,Agriculture, Forestry, Fishing and Hunting,3301.0
2013.0,Mid-Hudson,71,Arts, Entertainment, and Recreation,17055.0
2014.0,Long Island,72,Accommodation and Food Services,94333.0
2013.0,Western New York ,44-45,Retail Trade,73669.0
2013.0,Western New York ,52,Finance and Insurance,26325.0
2012.0,Mohawk Valley,31-33,Manufacturing,17352.0
2014.0,Long Island,90,Government,176167.0
2013.0,Mid-Hudson,54,Professional, Scientific, and Technical Services,42791.0
2013.0,Central New York,52,Finance and Insurance,12789.0
2014.0,New York City,52,Finance and Insurance,314513.0
2013.0,Southern Tier ,11,Agriculture, Forestry, Fishing and Hunting,1536.0
2012.0,Mid-Hudson,11,Agriculture, Forestry, Fishing and Hunting,3219.0
2013.0,Mid-Hudson,21,Mining, Quarrying, and Oil and Gas Extraction,587.0
2012.0,Long Island,56,Administrative and Support and Waste Management and Remediation Services,65882.0
2012.0,North Country,42,Wholesale Trade,2853.0
2014.0,Finger Lakes,42,Wholesale Trade,17257.0
2014.0,Finger Lakes,61,Educational Services (Private),26171.0
2014.0,Capital Region,31-33,Manufacturing,32430.0
2013.0,Finger Lakes,48-49,Transportation and Warehousing,9242.0
2014.0,Capital Region,11,Agriculture, Forestry, Fishing and Hunting,2323.0
2013.0,Southern Tier ,52,Finance and Insurance,7239.0
2014.0,Mohawk Valley,81,Other Services (except Public Administration),5642.0
2014.0,Mid-Hudson,62,Health Care and Social Assistance,146585.0
2012.0,Mohawk Valley,51,Information,2710.0
2013.0,New York City,31-33,Manufacturing,75787.0
2014.0,Southern Tier ,54,Professional, Scientific, and Technical Services,9998.0
2014.0,North Country,99,Unclassified Industry,157.0
2013.0,Mohawk Valley,99,Unclassified Industry,124.0
2012.0,Southern Tier ,23,Construction,8242.0
2012.0,Mid-Hudson,44-45,Retail Trade,115275.0
2013.0,Finger Lakes,71,Arts, Entertainment, and Recreation,8144.0
2014.0,North Country,42,Wholesale Trade,2916.0
2013.0,North Country,52,Finance and Insurance,2286.0
2014.0,Mohawk Valley,23,Construction,4997.0
2013.0,Capital Region,48-49,Transportation and Warehousing,11034.0
2012.0,Western New York ,61,Educational Services (Private),16391.0
2014.0,Mid-Hudson,21,Mining, Quarrying, and Oil and Gas Extraction,586.0
2013.0,Mohawk Valley,71,Arts, Entertainment, and Recreation,2820.0
2013.0,Long Island,11,Agriculture, Forestry, Fishing and Hunting,2548.0
2012.0,Capital Region,81,Other Services (except Public Administration),17887.0
2012.0,Finger Lakes,21,Mining, Quarrying, and Oil and Gas Extraction,545.0
2012.0,New York City,42,Wholesale Trade,131058.0
2013.0,New York City,23,Construction,117498.0
2012.0,Long Island,23,Construction,59837.0
2013.0,Southern Tier ,21,Mining, Quarrying, and Oil and Gas Extraction,949.0
2013.0,Capital Region,90,Government,111500.0
2014.0,Central New York,22,Utilities,3547.0
2015.0,Mid-Hudson,44,Retail Trade,121924.0
2015.0,Central New York,55,Management of Companies and Enterprises,3166.0
2015.0,Southern Tier,42,Wholesale Trade,7121.0
2015.0,Mohawk Valley,42,Wholesale Trade,4509.0
2015.0,Finger Lakes,22,Utilities,1864.0
2015.0,Central New York,11,Agriculture, Forestry, Fishing and Hunting,4079.0
2015.0,Capital Region,52,Finance and Insurance,22558.0
2015.0,North Country,31,Manufacturing,10845.0
2015.0,Western New York,11,Agriculture, Forestry, Fishing and Hunting,4244.0
2015.0,Capital Region,62,Health Care and Social Assistance,77699.0
2015.0,New York City,22,Utilities,15246.0
2015.0,Western New York,55,Management of Companies and Enterprises,14370.0
2014.0,Capital Region,21,Mining, Quarrying, and Oil and Gas Extraction,755.0
2012.0,North Country,54,Professional, Scientific, and Technical Services,2715.0
2013.0,Finger Lakes,99,Unclassified Industry,650.0
2013.0,Long Island,81,Other Services (except Public Administration),50885.0
2012.0,Mid-Hudson,71,Arts, Entertainment, and Recreation,16557.0
2012.0,Long Island,72,Accommodation and Food Services,87523.0
2012.0,Finger Lakes,61,Educational Services (Private),26601.0
2013.0,North Country,42,Wholesale Trade,2877.0
2014.0,Central New York,90,Government,61630.0
2013.0,New York City,72,Accommodation and Food Services,304373.0
2012.0,Western New York ,52,Finance and Insurance,26484.0
2014.0,Mohawk Valley,61,Educational Services (Private),3949.0
2013.0,Western New York ,61,Educational Services (Private),16104.0
2014.0,New York City,56,Administrative and Support and Waste Management and Remediation Services,209167.0
2012.0,Southern Tier ,71,Arts, Entertainment, and Recreation,2771.0
2013.0,Central New York,53,Real Estate and Rental and Leasing,3825.0
2013.0,Long Island,61,Educational Services (Private),29641.0
2012.0,Capital Region,99,Unclassified Industry,772.0
2014.0,Western New York ,11,Agriculture, Forestry, Fishing and Hunting,2352.0
2013.0,Western New York ,22,Utilities,1908.0
2012.0,Long Island,71,Arts, Entertainment, and Recreation,21329.0
2014.0,Capital Region,53,Real Estate and Rental and Leasing,5338.0
2013.0,Mid-Hudson,99,Unclassified Industry,2936.0
2014.0,Central New York,72,Accommodation and Food Services,29870.0
2014.0,Capital Region,55,Management of Companies and Enterprises,7359.0
2014.0,North Country,62,Health Care and Social Assistance,22321.0
2012.0,Finger Lakes,54,Professional, Scientific, and Technical Services,24919.0
2014.0,Finger Lakes,23,Construction,19786.0
2012.0,North Country,62,Health Care and Social Assistance,22445.0
2013.0,Mohawk Valley,55,Management of Companies and Enterprises,1258.0
2014.0,Western New York ,56,Administrative and Support and Waste Management and Remediation Services,35190.0
2014.0,Mid-Hudson,42,Wholesale Trade,29950.0
2012.0,Mid-Hudson,42,Wholesale Trade,30706.0
2013.0,Capital Region,44-45,Retail Trade,58244.0
2013.0,Long Island,51,Information,22834.0
2014.0,Mohawk Valley,48-49,Transportation and Warehousing,7184.0
2013.0,North Country,23,Construction,5357.0
2013.0,Mid-Hudson,22,Utilities,5309.0
2014.0,Capital Region,72,Accommodation and Food Services,41821.0
2012.0,Long Island,11,Agriculture, Forestry, Fishing and Hunting,2546.0
2013.0,Finger Lakes,42,Wholesale Trade,17207.0
2013.0,Southern Tier ,23,Construction,8013.0
2012.0,North Country,31-33,Manufacturing,10609.0
2012.0,North Country,21,Mining, Quarrying, and Oil and Gas Extraction,258.0
2012.0,Mid-Hudson,99,Unclassified Industry,3201.0
2013.0,Western New York ,48-49,Transportation and Warehousing,15140.0
2014.0,Mohawk Valley,62,Health Care and Social Assistance,36402.0
2012.0,Long Island,48-49,Transportation and Warehousing,31598.0
2014.0,Finger Lakes,81,Other Services (except Public Administration),19611.0
2012.0,Finger Lakes,72,Accommodation and Food Services,39364.0
2013.0,New York City,44-45,Retail Trade,336078.0
2012.0,Central New York,55,Management of Companies and Enterprises,2938.0
2012.0,Finger Lakes,62,Health Care and Social Assistance,78709.0
2013.0,New York City,11,Agriculture, Forestry, Fishing and Hunting,230.0
2012.0,Finger Lakes,44-45,Retail Trade,62033.0
2014.0,Mid-Hudson,90,Government,144809.0
2012.0,Southern Tier ,48-49,Transportation and Warehousing,4990.0
2014.0,Western New York ,61,Educational Services (Private),15732.0
2013.0,Mid-Hudson,61,Educational Services (Private),30893.0
2014.0,Capital Region,61,Educational Services (Private),17940.0
2012.0,Mohawk Valley,99,Unclassified Industry,188.0
2013.0,Long Island,54,Professional, Scientific, and Technical Services,78105.0
2013.0,Long Island,99,Unclassified Industry,4747.0
2012.0,Western New York ,21,Mining, Quarrying, and Oil and Gas Extraction,573.0
2012.0,Finger Lakes,48-49,Transportation and Warehousing,9143.0
2012.0,Finger Lakes,31-33,Manufacturing,67353.0
2013.0,Mohawk Valley,48-49,Transportation and Warehousing,7401.0
2013.0,Finger Lakes,51,Information,8680.0
2014.0,Mid-Hudson,22,Utilities,5137.0
2012.0,North Country,48-49,Transportation and Warehousing,3272.0
2013.0,Finger Lakes,62,Health Care and Social Assistance,79400.0
2014.0,New York City,53,Real Estate and Rental and Leasing,118776.0
2014.0,Central New York,61,Educational Services (Private),11093.0
2012.0,Long Island,52,Finance and Insurance,52531.0
2013.0,Capital Region,99,Unclassified Industry,656.0
2014.0,Long Island,56,Administrative and Support and Waste Management and Remediation Services,71265.0
2012.0,North Country,51,Information,1793.0
2013.0,North Country,48-49,Transportation and Warehousing,3243.0
2013.0,Mid-Hudson,72,Accommodation and Food Services,65050.0
2013.0,Mid-Hudson,23,Construction,40872.0
2012.0,New York City,81,Other Services (except Public Administration),152695.0
2014.0,North Country,54,Professional, Scientific, and Technical Services,2787.0
2014.0,Western New York ,21,Mining, Quarrying, and Oil and Gas Extraction,561.0
2013.0,Southern Tier ,22,Utilities,1324.0
2012.0,Capital Region,11,Agriculture, Forestry, Fishing and Hunting,2183.0
2013.0,North Country,21,Mining, Quarrying, and Oil and Gas Extraction,266.0
2014.0,Central New York,31-33,Manufacturing,29531.0
2014.0,Mohawk Valley,52,Finance and Insurance,8134.0
2012.0,Southern Tier ,61,Educational Services (Private),17409.0
2014.0,Southern Tier ,52,Finance and Insurance,7221.0
2013.0,Mohawk Valley,11,Agriculture, Forestry, Fishing and Hunting,798.0
2014.0,Western New York ,62,Health Care and Social Assistance,85283.0
2013.0,Central New York,31-33,Manufacturing,30150.0
2013.0,Southern Tier ,71,Arts, Entertainment, and Recreation,2697.0
2012.0,Mid-Hudson,52,Finance and Insurance,29408.0
2014.0,Southern Tier ,62,Health Care and Social Assistance,37130.0
2012.0,Finger Lakes,56,Administrative and Support and Waste Management and Remediation Services,28423.0
2012.0,North Country,81,Other Services (except Public Administration),4894.0
2013.0,North Country,61,Educational Services (Private),2918.0
2014.0,Capital Region,22,Utilities,1890.0
2012.0,Finger Lakes,42,Wholesale Trade,17926.0
2013.0,Mohawk Valley,22,Utilities,564.0
2013.0,Mohawk Valley,21,Mining, Quarrying, and Oil and Gas Extraction,259.0
2013.0,Mohawk Valley,61,Educational Services (Private),4103.0
2014.0,Mohawk Valley,90,Government,43082.0
2012.0,Western New York ,44-45,Retail Trade,74408.0
2013.0,Finger Lakes,54,Professional, Scientific, and Technical Services,25304.0
2012.0,Mohawk Valley,42,Wholesale Trade,4631.0
2013.0,Mohawk Valley,72,Accommodation and Food Services,14258.0
2013.0,Central New York,90,Government,61716.0
2013.0,Western New York ,11,Agriculture, Forestry, Fishing and Hunting,2313.0
2014.0,Western New York ,22,Utilities,1913.0
2014.0,Finger Lakes,51,Information,8511.0
2013.0,Southern Tier ,62,Health Care and Social Assistance,36997.0
2014.0,Long Island,48-49,Transportation and Warehousing,33381.0
2012.0,North Country,55,Management of Companies and Enterprises,1018.0
2013.0,Southern Tier ,53,Real Estate and Rental and Leasing,2501.0
2013.0,Western New York ,81,Other Services (except Public Administration),22445.0
2014.0,Mid-Hudson,23,Construction,42494.0
2013.0,North Country,55,Management of Companies and Enterprises,1022.0
2014.0,Mid-Hudson,99,Unclassified Industry,3436.0
2012.0,Southern Tier ,72,Accommodation and Food Services,20089.0
2014.0,Southern Tier ,44-45,Retail Trade,30685.0
2013.0,Central New York,62,Health Care and Social Assistance,47348.0
2014.0,Mohawk Valley,53,Real Estate and Rental and Leasing,1211.0
2013.0,New York City,56,Administrative and Support and Waste Management and Remediation Services,198642.0
2013.0,Central New York,42,Wholesale Trade,15168.0
2014.0,Southern Tier ,81,Other Services (except Public Administration),8532.0
2012.0,Long Island,44-45,Retail Trade,155043.0
2012.0,Southern Tier ,90,Government,52097.0
2014.0,Southern Tier ,23,Construction,8744.0
2013.0,Western New York ,42,Wholesale Trade,21837.0
2012.0,Finger Lakes,55,Management of Companies and Enterprises,12150.0
2013.0,Mohawk Valley,56,Administrative and Support and Waste Management and Remediation Services,4634.0
2012.0,Finger Lakes,23,Construction,19143.0
2014.0,North Country,22,Utilities,610.0
2013.0,Southern Tier ,56,Administrative and Support and Waste Management and Remediation Services,10438.0
2014.0,New York City,54,Professional, Scientific, and Technical Services,366504.0
2014.0,North Country,44-45,Retail Trade,21723.0
2014.0,Western New York ,90,Government,106666.0
2012.0,Mohawk Valley,21,Mining, Quarrying, and Oil and Gas Extraction,282.0
2014.0,Capital Region,54,Professional, Scientific, and Technical Services,31519.0
2013.0,Capital Region,62,Health Care and Social Assistance,73030.0
2013.0,Finger Lakes,56,Administrative and Support and Waste Management and Remediation Services,28641.0
2014.0,Southern Tier ,53,Real Estate and Rental and Leasing,2434.0
2013.0,North Country,22,Utilities,634.0
2014.0,Finger Lakes,72,Accommodation and Food Services,40632.0
2014.0,Western New York ,42,Wholesale Trade,21906.0
2014.0,New York City,81,Other Services (except Public Administration),161454.0
2012.0,North Country,99,Unclassified Industry,138.0
2014.0,Mid-Hudson,44-45,Retail Trade,118581.0
2013.0,Southern Tier ,81,Other Services (except Public Administration),8406.0
2014.0,New York City,31-33,Manufacturing,73942.0
2014.0,New York City,55,Management of Companies and Enterprises,68138.0
2013.0,Finger Lakes,53,Real Estate and Rental and Leasing,7091.0
2014.0,Finger Lakes,48-49,Transportation and Warehousing,9256.0
2012.0,Mohawk Valley,11,Agriculture, Forestry, Fishing and Hunting,789.0
2012.0,Central New York,51,Information,4858.0
2012.0,Mid-Hudson,81,Other Services (except Public Administration),38579.0
2014.0,Capital Region,56,Administrative and Support and Waste Management and Remediation Services,18833.0
2012.0,Long Island,42,Wholesale Trade,62491.0
2013.0,Long Island,42,Wholesale Trade,63295.0
2014.0,Mid-Hudson,61,Educational Services (Private),29656.0
2013.0,Mohawk Valley,81,Other Services (except Public Administration),5472.0
2014.0,Southern Tier ,72,Accommodation and Food Services,20937.0
2014.0,Long Island,23,Construction,68116.0
2012.0,Mid-Hudson,55,Management of Companies and Enterprises,12937.0
2014.0,Western New York ,53,Real Estate and Rental and Leasing,8378.0
2012.0,Western New York ,55,Management of Companies and Enterprises,13153.0
2013.0,Long Island,23,Construction,65096.0
2012.0,Western New York ,54,Professional, Scientific, and Technical Services,27140.0
2012.0,North Country,22,Utilities,591.0
2012.0,New York City,11,Agriculture, Forestry, Fishing and Hunting,241.0
2014.0,Western New York ,48-49,Transportation and Warehousing,15257.0
2012.0,Capital Region,55,Management of Companies and Enterprises,7435.0
2014.0,Central New York,48-49,Transportation and Warehousing,9840.0
2013.0,Mid-Hudson,55,Management of Companies and Enterprises,12962.0
2014.0,Central New York,11,Agriculture, Forestry, Fishing and Hunting,2234.0
2014.0,Mid-Hudson,53,Real Estate and Rental and Leasing,15516.0
2012.0,Finger Lakes,52,Finance and Insurance,15143.0
2013.0,Southern Tier ,61,Educational Services (Private),17445.0
2014.0,New York City,62,Health Care and Social Assistance,634044.0
2013.0,Western New York ,54,Professional, Scientific, and Technical Services,26632.0
2013.0,Central New York,81,Other Services (except Public Administration),11658.0
2012.0,Long Island,21,Mining, Quarrying, and Oil and Gas Extraction,183.0
2013.0,Southern Tier ,54,Professional, Scientific, and Technical Services,9801.0
2013.0,Mohawk Valley,44-45,Retail Trade,22684.0
2012.0,New York City,55,Management of Companies and Enterprises,62984.0
2012.0,Central New York,71,Arts, Entertainment, and Recreation,4836.0
2014.0,Capital Region,44-45,Retail Trade,58069.0
2014.0,New York City,61,Educational Services (Private),156794.0
2013.0,Long Island,55,Management of Companies and Enterprises,14701.0
2012.0,Capital Region,31-33,Manufacturing,30812.0
2012.0,Long Island,54,Professional, Scientific, and Technical Services,76314.0
2012.0,Capital Region,90,Government,111475.0
2012.0,Finger Lakes,51,Information,8774.0
2012.0,Mohawk Valley,52,Finance and Insurance,8036.0
2014.0,Mid-Hudson,52,Finance and Insurance,28842.0
2014.0,Long Island,55,Management of Companies and Enterprises,14641.0
2012.0,Central New York,61,Educational Services (Private),11307.0
