Region ,Office Location,Site,Facility,Street Address,City,State,Zip,Latitude,Longititude,Location 1
6,Utica,Utica Sub-Office,regional sub-office,State Office Building; 207 Genesse Street,Utica ,NY,13501,43.100569,-75.231798,"Utica, NY 13501
(43.100569, -75.231798)"
6,Cape Vincent,Cape Vincent State Fisheries Research Station,research center,541 Broadway Street,Cape Vincent,NY,13618,44.129252,-76.333116,"Cape Vincent, NY 13618
(44.129252, -76.333116)"
6,Rome,Rome Research Laboratory,research center,8314 Fish Hatchery Road,Rome,NY,13440,43.263985,-75.436473,"Rome, NY 13440
(43.263985, -75.436473)"
6,Cleveland,Godfrey Point Sign Shop,sign shop,124 Drive 8,Cleveland,NY,13042,43.227256,-75.850599,"Cleveland, NY 13042
(43.227256, -75.850599)"
7,Sherburne,Rogers Environmental Education Center,education center,2721 Route 80 West,Sherburne,NY,13460,42.682686,-75.513675,"Sherburne, NY 13460
(42.682686, -75.513675)"
7,Altmar,Happy Valley Field Headquarters,field office,Route 104; Churchill Road,Altmar,NY,13302,43.466531,-76.011949,"Altmar, NY 13302
(43.466531, -76.011949)"
7,Phoenix,Three Rivers Field Headquarters,field office,Potter Road,Phoenix,NY,13135,43.198066,-76.303171,"Phoenix, NY 13135
(43.198066, -76.303171)"
7,Oneida Lake,Oneida Fish Hatchery,fish hatchery,3 Hatchery Road,Constantia,NY,13044,43.248365,-75.998468,"Constantia, NY 13044
(43.248365, -75.998468)"
7,Salmon River,Salmon River Fish Hatchery,fish hatchery,2133 County Route 22,Altmar,NY,13302,43.509915,-75.992514,"Altmar, NY 13302
(43.509915, -75.992514)"
7,South Otselic,South Otselic Fish Hatchery,fish hatchery,1549 NYS Route 26,South Otselic,NY,13155,42.644182,-75.785101,"South Otselic, NY 13155
(42.644182, -75.785101)"
7,Ithaca,Reynolds Game Farm,game farm,81 Game Farm Road,Ithaca,NY,14850,42.445634,-76.448622,"Ithaca, NY 14850
(42.445634, -76.448622)"
7,Sherburne,Sherburne Maintenance Center,maintenance center,2721 State Highway 80,Sherburne,NY,13460,42.684717,-75.51648,"Sherburne, NY 13460
(42.684717, -75.51648)"
7,Syracuse,Syracuse Regional Headquarters,regional headquarters,615 Erie Boulevard West,Syracuse,NY,13204,43.048454,-76.164738,"Syracuse, NY 13204
(43.048454, -76.164738)"
7,Cortland,Cortland Sub-Office,regional sub-office,1285 Fisher Avenue,Cortland,NY,13045,42.616577,-76.189923,"Cortland, NY 13045
(42.616577, -76.189923)"
7,Kirkwood,Kirkwood Sub-Office,regional sub-office,1679 NY Route 11,Kirkwood,NY,13795,42.042564,-75.795883,"Kirkwood, NY 13795
(42.042564, -75.795883)"
7,Sherburne,Sherburne Sub-Office,regional sub-office,2721 State Highway 80,Sherburne,NY,13460,42.684158,-75.517713,"Sherburne, NY 13460
(42.684158, -75.517713)"
8,Savannah,Northern Montezuma Field Headquarters,field office,1385 Morgan Road,Savannah,NY,13146,43.067,-76.718821,"Savannah, NY 13146
(43.067, -76.718821)"
8,Bath,Bath Fish Hatchery,fish hatchery,7169 Hatchery Road,Bath,NY,14810,42.373511,-77.284488,"Bath, NY 14810
(42.373511, -77.284488)"
8,Caledonia,Caledonia Fish Hatchery,fish hatchery,16 North Street,Caledonia,NY,14423,42.98609,-77.859771,"Caledonia, NY 14423
(42.98609, -77.859771)"
8,Bath,Bath Operations Shop,maintenance center,311 West Morris Street,Bath,NY,14810,42.335628,-77.331195,"Bath, NY 14810
(42.335628, -77.331195)"
8,Elmira,Elmira Operations Shop,maintenance center,618 West Hudson Street,Elmira,NY,14904,42.080559,-76.817761,"Elmira, NY 14904
(42.080559, -76.817761)"
8,Naples,Naples Operations Center,maintenance center,8209 Route 245,Naples,NY,14512,42.625643,-77.389554,"Naples, NY 14512
(42.625643, -77.389554)"
8,Oakfield,Oak Orchard Operations Shop,maintenance center,12465 Podunk Road,Oakfield,NY,14125,43.132534,-78.315293,"Oakfield, NY 14125
(43.132534, -78.315293)"
8,Painted Post,Painted Post Operations Shop,maintenance center,55 Forest Drive,Painted Post,NY,14870,42.140891,-77.120021,"Painted Post, NY 14870
(42.140891, -77.120021)"
8,Savona,Sonora Maintenance Center,maintenance center,6894 Route 226,Savona,NY,14879,42.33301,-77.161597,"Savona, NY 14879
(42.33301, -77.161597)"
8,Avon,Avon Regional Headquarters,regional headquarters,6274 East Avon-Lima Road,Avon,NY,14414,42.902484,-77.670484,"Avon, NY 14414
(42.902484, -77.670484)"
8,Bath,Bath Sub-Office,regional sub-office,7291 Coon Road,Bath,NY,14810,42.316658,-77.279367,"Bath, NY 14810
(42.316658, -77.279367)"
8,Elmira,Elmira Sub-Office,regional sub-office,100 North Main Street,Elmira,NY,14901,42.087908,-76.806924,"Elmira, NY 14901
(42.087908, -76.806924)"
8,Alabama,Iroquois National Wildlife Refuge,regional sub-office,1101 Casey Road,Alabama,NY,14003,43.112567,-78.403927,"Alabama, NY 14003
(43.112567, -78.403927)"
9,Caneadea,Camp Rushford Environmental Education Center,education camp,"RD1, Box 166",Caneadea,NY,14717,42.343091,-78.229566,"Caneadea, NY 14717
(42.343091, -78.229566)"
9,Depew,Reinstein Woods Environmental Education Center,education center,93 Honorine Drive,Depew,NY,14043,42.890727,-78.71712,"Depew, NY 14043
(42.890727, -78.71712)"
9,Mayville,Chautauqua Fish Hatchery,fish hatchery,5875 Prendergast Boulevard,Mayville,NY,14757,42.189761,-79.44658,"Mayville, NY 14757
(42.189761, -79.44658)"
9,Randolph,Randolph Fish Hatchery,fish hatchery,10943 Hatchery Road,Randolph,NY,14772,42.15423,-78.940752,"Randolph, NY 14772
(42.15423, -78.940752)"
9,Little Valley,Little Valley Maintenance Center,maintenance center,5191 Route 353,Little Valley,NY,14755,42.236295,-78.770834,"Little Valley, NY 14755
(42.236295, -78.770834)"
9,Olean,Olean Flood Protection Project and Maintenance Center,maintenance center,150 Charles Street,Olean,NY,14760,42.074725,-78.405265,"Olean, NY 14760
(42.074725, -78.405265)"
9,Panama,Panama Maintenance Center,maintenance center,1228 Goshen Road,Panama,NY,14767,42.057138,-79.499186,"Panama, NY 14767
(42.057138, -79.499186)"
9,Almond,West Almond Maintenance Center,maintenance center,County Route 2A,Almond,NY,14804,42.322359,-77.838109,"Almond, NY 14804
(42.322359, -77.838109)"
9,Buffalo,Buffalo Regional Headquarters,regional headquarters,270 Michigan Avenue,Buffalo,NY,14203,42.879365,-78.869943,"Buffalo, NY 14203
(42.879365, -78.869943)"
9,Allegany,Allegany Sub-Office,regional sub-office,182 East Union Street,Allegany,NY,14706,42.083585,-78.489455,"Allegany, NY 14706
(42.083585, -78.489455)"
9,Dunkirk,Lake Erie Fisheries Research Station,research center,178 Point Drive North,Dunkirk,NY,14048,42.49257,-79.352978,"Dunkirk, NY 14048
(42.49257, -79.352978)"
CO,Albany,Central Administrative Office,central office/headquarters,625 Broadway,Albany,NY,12233,42.652457,-73.748876,"Albany, NY 12233
(42.652457, -73.748876)"
CO,Port of Albany,Central Office Operations Support Facility ,maintenance center,102-104 Smith Boulevard,Albany,NY,12202,42.627147,-73.758008,"Albany, NY 12202
(42.627147, -73.758008)"
5,Crown Point,Crown Point Maintenance Center,maintenance center,738 Bridge Road,Crown Point,NY,12928,44.025694,-73.421183,"Crown Point, NY 12928
(44.025694, -73.421183)"
