INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,Location
NY-2018-WS-094,5,Rescue,06/10/2018,6:58 AM,1,F,61.0,NJ,US,Hiking,Injured,44.15962,-73.97876,3200.0,True,Carry out by foot,4,True,Forest Preserve,High Peaks,ESSEX,NORTH ELBA,True,False,06/11/2018,1:30 AM,POINT (-73.97876 44.15962)
NY-2016-WS-215,5,Rescue,08/12/2016,6:55 AM,1,M,58.0,FL,US,Hiking,Illness,44.15832,-73.98215,3500.0,True,Assist/own power; Carry out by foot,6,False,Forest Preserve,Eastern High Peaks,ESSEX,NORTH ELBA,True,False,08/13/2016,2:30 AM,POINT (-73.98215 44.15832)
NY-2018-WS-051,5,Rescue,05/07/2018,1:00 AM,1,F,60.0,NY,US,Camping,Injured,43.85201,-73.59037,1455.0,True,Carry out by foot; Vehicle/boat evacuation,3,True,State Forests,Pharoah Lake Wilderness,ESSEX,TICONDEROGA,True,False,05/07/2018,7:00 AM,POINT (-73.59037 43.85201000000001)
NY-2017-WS-016,5,Search,02/02/2017,6:03 AM,1,M,16.0,NY,US,Hiking,Missing,43.41457,-73.62562,350.0,True,Assist/own power,4,True,Private Land,Nature Conservancy Trail,WASHINGTON,FORT ANN,True,False,02/02/2017,8:00 AM,POINT (-73.62562 43.41457)
NY-2018-WS-222,5,Search,08/22/2018,2:54 AM,1,F,23.0,QC,CA,Hiking,Overdue,44.35333,-73.86211,1262.0,True,Assist/own power,2,True,Forest Preserve,Wilmington Wild Forest,ESSEX,WILMINGTON,True,False,08/22/2018,5:30 AM,POINT (-73.86211000000002 44.35333)
NY-2016-WS-206,5,Rescue,08/06/2016,9:14 AM,2,F,27.0,NY,US,Hiking,Lost,44.16875,-73.84641,2189.0,True,Assist/own power,2,True,Forest Preserve,High Peaks,ESSEX,KEENE,True,False,08/07/2016,12:39 PM,POINT (-73.84641 44.16875)
NY-2017-WS-314,5,Search,10/30/2017,6:25 AM,1,M,31.0,NY,US,Hunting,Overdue,43.39402,-74.65221,1729.0,True,Assist/own power,12,True,Forest Preserve,West Canada Lake Wilderness,HAMILTON,MOREHOUSE,True,False,10/31/2017,12:00 PM,POINT (-74.65221 43.39402)
NY-2016-WS-246,5,Search,08/29/2016,8:40 AM,1,M,19.0,MA,US,Hiking,Lost,44.18319,-73.96262,2191.0,True,Assist/own power,4,True,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,True,False,08/30/2016,8:45 AM,POINT (-73.96262000000002 44.18319)
NY-2017-WS-272,5,Rescue,09/25/2017,7:58 AM,1,F,54.0,NY,US,Hiking,Injured,44.09642,-74.11448,3100.0,True,Aircraft evacuation,5,True,Forest Preserve,High Peaks Wilderness,ESSEX,NEWCOMB,True,False,09/26/2017,9:30 AM,POINT (-74.11448 44.09642)
NY-2017-WS-158,5,Rescue,07/10/2017,8:48 AM,1,M,56.0,NY,US,Hiking,Injured,44.18898,-73.81609,1527.0,False,Assist/own power,4,True,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,True,False,07/10/2017,9:30 AM,POINT (-73.81609 44.18898)
NY-2016-WS-360,5,Search,12/13/2016,5:42 AM,1,M,20.0,NY,US,Hiking,Lost,44.14234,-73.98579,4700.0,True,Aircraft evacuation,31,True,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,True,False,12/15/2016,5:00 AM,POINT (-73.98579 44.14234)
NY-2018-WS-263,5,Rescue,09/17/2018,7:54 AM,2,M,32.0,NY,US,Camping,Illness,43.57466,-73.62522,325.0,True,Vehicle/boat evacuation,2,True,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,True,False,09/17/2018,10:00 AM,POINT (-73.62522 43.57466)
NY-2017-WS-208,5,Rescue,08/11/2017,4:09 AM,1,F,31.0,TX,US,Hiking,Injured,44.21325,-73.86887,3467.0,True,Aircraft evacuation,3,True,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,True,False,08/11/2017,6:00 AM,POINT (-73.86887 44.21325)
NY-2017-WS-178,5,Rescue,07/23/2017,10:00 AM,2,F,44.0,NJ,US,Hiking,Overdue,43.60397,-73.51512,1700.0,True,Assist/own power,1,False,Forest Preserve,Lake George Wild Forest,WASHINGTON,DRESDEN,True,False,07/24/2017,7:50 AM,POINT (-73.51512 43.60397)
NY-2016-WS-149,5,Rescue,07/06/2016,10:36 AM,1,F,26.0,NY,US,Hiking,Injured,43.5529,-73.54747,2130.0,True,Carry out by foot; Vehicle/boat evacuation,6,True,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,True,False,07/07/2016,4:00 AM,POINT (-73.54747 43.55290000000001)
NY-2018-WS-190,5,Search,08/03/2018,8:46 AM,2,F,23.0,QC,CA,Hiking,Lost,44.15075,-73.9546,2493.0,True,Assist/own power,2,True,Federal Land,High Peaks Wilderness,ESSEX,KEENE,True,False,08/03/2018,10:57 AM,POINT (-73.9546 44.15075)
NY-2018-WS-159,9,Search,07/15/2018,10:45 AM,2,M,24.0,NY,US,Hiking,Lost,42.44223,-78.84177,920.0,True,Assist/own power,2,True,State Forests,Zoar Valley MUA,ERIE,COLLINS,False,False,07/16/2018,4:00 AM,POINT (-78.84177 42.44223)
NY-2016-WS-306,3,Recovery,10/18/2016,2:20 AM,1,M,56.0,NY,US,Hiking,Illness,42.0086,-74.42593,2436.0,False,Carry out by foot,3,True,Forest Preserve,Slide Mountain Wilderness,ULSTER,SHANDAKEN,False,True,10/18/2016,5:15 AM,POINT (-74.42593 42.0086)
NY-2016-WS-366,8,Search,01/01/2017,1:36 AM,1,M,21.0,NY,US,Despondent,Missing,42.61388,-77.39842,790.0,True,Assist/own power; Vehicle/boat evacuation,1,False,Wildlife Management Area,Hi Tor WMA,ONTARIO,NAPLES,False,False,01/01/2017,3:40 AM,POINT (-77.39842 42.61388)
NY-2018-WS-131,5,Rescue,07/01/2018,7:06 AM,1,M,21.0,NY,US,Hiking,Illness,44.27903,-73.93201,1650.0,True,Vehicle/boat evacuation,1,True,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,True,False,07/01/2018,11:45 AM,POINT (-73.93201 44.27903)
NY-2017-WS-168,4,Search,07/18/2017,5:49 AM,3,F,10.0,PA,US,Hiking,Lost,42.19858,-74.02985,2015.0,True,Assist/own power,1,False,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,False,True,07/18/2017,7:45 AM,POINT (-74.02985 42.19858)
NY-2016-WS-302,5,Search,10/14/2016,12:41 PM,1,F,66.0,PA,US,Hiking,Lost,43.80743,-74.31996,1920.0,True,Assist/own power,1,False,Forest Preserve,Blue Ridge Wilderness,HAMILTON,INDIAN LAKE,True,False,10/14/2016,1:05 AM,POINT (-74.31996 43.80743)
NY-2018-WS-350,5,Rescue,12/31/2018,1:30 AM,1,F,37.0,CT,US,Hiking,Stranded,43.41132,-73.72083,480.0,True,Assist/own power,2,False,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,True,False,12/31/2018,4:30 AM,POINT (-73.72083 43.41132)
NY-2017-WS-083,5,Search,04/25/2017,7:44 AM,2,M,17.0,NY,US,Hiking,Lost,43.56471,-73.55346,2100.0,True,Assist/own power,2,True,Forest Preserve,Lake George Wild Forest,WASHINGTON,DRESDEN,True,False,04/25/2017,11:44 AM,POINT (-73.55346 43.56471)
NY-2016-WS-211,5,Rescue,08/07/2016,5:56 AM,1,F,44.0,PA,US,Hiking,Illness,43.62311,-73.571,1300.0,False,Assist/own power,3,True,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,True,False,08/07/2016,10:30 AM,POINT (-73.571 43.62311)
NY-2018-WS-018,5,Rescue,02/20/2018,12:22 PM,1,F,48.0,CT,US,Snowmobile,Injured,43.56104,-74.35185,1927.0,True,Vehicle/boat evacuation,1,True,Conservation Easement,Speculator Tree Farm Conservation Easement,HAMILTON,LAKE PLEASANT,True,False,02/20/2018,2:00 AM,POINT (-74.35185 43.56104)
NY-2018-WS-260,5,Search,09/16/2018,12:11 PM,1,F,28.0,NY,US,Hiking,Lost,43.76865,-74.7648,1984.0,True,Assist/own power,2,True,Forest Preserve,Moose River Plains,HAMILTON,INLET,True,False,09/16/2018,2:30 AM,POINT (-74.7648 43.76865)
NY-2018-WS-173,6,Search,07/27/2018,5:38 AM,7,F,35.0,NY,US,Hiking,Lost,43.66974,-74.99782,1726.0,True,Assist/own power; Carry out by foot,8,True,Forest Preserve,Black River Wild Forest,HERKIMER,WEBB,True,False,07/27/2018,11:37 AM,POINT (-74.99782 43.66974)
NY-2016-WS-256,5,Rescue,09/05/2016,3:27 AM,1,M,31.0,PA,US,Climbing:Rock/Ice,Injured,44.40547,-73.50344,900.0,False,Carry out by foot,2,True,Forest Preserve,Taylor Pond Wild Forest,ESSEX,CHESTERFIELD,True,False,09/05/2016,4:30 AM,POINT (-73.50344 44.40547)
NY-2018-WS-074,4,Recovery,05/29/2018,6:46 AM,1,M,24.0,NJ,US,Hiking,Injured,41.87293,-75.16742,1184.0,False,High Angle,12,True,Private Land,,DELAWARE,HANCOCK,False,False,05/30/2018,8:00 AM,POINT (-75.16742 41.87293)
NY-2016-WS-168,5,Search,07/18/2016,8:16 AM,2,M,14.0,NJ,US,Hiking,Lost,44.30759,-73.93465,1662.0,True,Assist/own power,2,True,Forest Preserve,High Peaks,ESSEX,WILMINGTON,True,False,07/18/2016,11:38 AM,POINT (-73.93465 44.30759)
NY-2017-WS-081,9,Search,04/25/2017,3:30 AM,3,M,45.0,NY,US,Motor vehicle,Stranded,42.36955,-77.91198,1978.0,True,Vehicle/boat evacuation,1,True,Private Land,,ALLEGANY,BIRDSALL,False,False,04/25/2017,7:30 AM,POINT (-77.91198 42.36955)
NY-2018-WS-026,5,Search,03/13/2018,4:45 AM,1,M,23.0,VT,US,Skiing,Lost,44.15687,-73.96272,2806.0,True,Assist/own power,3,True,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,True,False,03/14/2018,6:00 AM,POINT (-73.96272 44.15687)
NY-2017-WS-226,9,Recovery,08/22/2017,1:01 AM,1,F,35.0,NY,US,Hiking,Injured,42.44165,-78.87583,970.0,True,Aircraft evacuation,5,True,Other DEC Land,Zoar Valley MUA,ERIE,COLLINS,False,False,08/22/2017,9:00 AM,POINT (-78.87583 42.44165)
NY-2017-WS-326,5,Search,11/13/2017,4:28 AM,1,M,17.0,NY,US,Runaway,Fugitive,44.27013,-73.93432,1700.0,True,Assist/own power,3,True,Forest Preserve,Setinnel Wilderness,ESSEX,NORTH ELBA,True,False,11/13/2017,6:30 AM,POINT (-73.93432 44.27013)
NY-2017-WS-249,5,Rescue,09/05/2017,2:00 AM,1,F,55.0,NY,US,Hiking,Injured,44.21366,-73.86016,3785.0,True,Carry out by foot,3,True,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,True,False,09/06/2017,9:00 AM,POINT (-73.86016 44.21366)
NY-2018-WS-165,5,Search,07/20/2018,7:02 AM,1,M,34.0,SC,US,Hiking,Overdue,44.49363,-73.82756,1404.0,True,Vehicle/boat evacuation,2,True,Forest Preserve,Taylor Pond Wild Forest,CLINTON,BLACK BROOK,True,False,07/20/2018,9:00 AM,POINT (-73.82756 44.49363)
NY-2017-WS-212,9,Search,08/13/2017,3:00 AM,1,M,15.0,NY,US,Runaway,Missing,42.90649,-78.82525,641.0,False,Vehicle/boat evacuation,1,True,Private Land,,CATTARAUGUS,LYNDON,False,False,08/13/2017,6:15 AM,POINT (-78.82525 42.90649)
NY-2016-WS-137,8,Search,06/29/2016,7:30 AM,1,M,69.0,NY,US,Runaway,Illness,43.23315,-76.71044,413.0,True,Carry out by foot,6,True,Private Land,,WAYNE,WOLCOTT,False,False,06/29/2016,6:30 AM,POINT (-76.71044 43.23315)
NY-2018-WS-199,5,Rescue,08/07/2018,2:39 AM,1,F,25.0,NY,US,Hiking,Injured,43.55118,-73.54606,1976.0,True,Carry out by foot,2,True,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,True,False,08/07/2018,6:54 AM,POINT (-73.54606 43.55118)
NY-2017-WS-260,5,Rescue,09/19/2017,11:56 AM,1,M,75.0,NY,US,Hiking,Injured,44.23397,-74.22048,1800.0,True,Assist/own power,2,True,Forest Preserve,High Peaks Wilderness,FRANKLIN,HARRIETSTOWN,True,False,09/19/2017,2:44 AM,POINT (-74.22048 44.23397)
NY-2016-WS-329,5,Search,11/04/2016,1:34 AM,2,M,53.0,NY,US,Hunting,Lost,44.74998,-73.74637,1820.0,True,Assist/own power,5,True,Other Municipal Land,Clinton Correctional Facility,CLINTON,DANNEMORA,True,False,11/04/2016,4:00 AM,POINT (-73.74637 44.74998)
NY-2017-WS-091,5,Rescue,05/12/2017,1:40 AM,3,M,18.0,ON,CA,Hiking,Injured,44.11437,-73.95609,3356.0,False,Aircraft evacuation; Assist/own power,4,True,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,True,False,05/23/2017,12:29 PM,POINT (-73.95609 44.11437)
