CSD,BORO,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
1.0,M,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,352.0,13.0,27.1
1.0,M,09-12,CTT,SOCIAL STUDIES,US History & Government,-,179.0,8.0,22.4
1.0,M,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,95.0,4.0,23.8
1.0,M,09-12,SPEC ED,ENGLISH,English 9,-,21.0,2.0,10.5
1.0,M,09-12,SPEC ED,ENGLISH,English 11,-,8.0,1.0,8.0
1.0,M,09-12,SPEC ED,ENGLISH,MS English Core,-,21.0,2.0,10.5
1.0,M,09-12,SPEC ED,ENGLISH,Other English,-,22.0,2.0,11.0
1.0,M,09-12,SPEC ED,MATH,Integrated Algebra,-,29.0,3.0,9.7
1.0,M,09-12,SPEC ED,MATH,Geometry,-,6.0,1.0,6.0
1.0,M,09-12,SPEC ED,SCIENCE,Earth Science,-,16.0,2.0,8.0
1.0,M,09-12,SPEC ED,SCIENCE,Living Environment,-,30.0,2.0,15.0
1.0,M,09-12,SPEC ED,SCIENCE,Other Science,-,8.0,1.0,8.0
1.0,M,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,22.0,2.0,11.0
1.0,M,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,6.0,1.0,6.0
2.0,M,0K,GEN ED,-,-,-,2126.0,94.0,22.6
2.0,M,0K,CTT,-,-,-,459.0,21.0,21.9
2.0,M,0K,G&T,-,-,-,223.0,11.0,20.3
2.0,M,01,GEN ED,-,-,-,2049.0,90.0,22.8
2.0,M,01,CTT,-,-,-,431.0,19.0,22.7
2.0,M,01,G&T,-,-,-,185.0,8.0,23.1
2.0,M,02,GEN ED,-,-,-,1834.0,79.0,23.2
2.0,M,02,CTT,-,-,-,525.0,23.0,22.8
2.0,M,02,G&T,-,-,-,151.0,6.0,25.2
2.0,M,03,GEN ED,-,-,-,1710.0,71.0,24.1
2.0,M,03,CTT,-,-,-,467.0,20.0,23.4
2.0,M,03,G&T,-,-,-,154.0,6.0,25.7
2.0,M,04,GEN ED,-,-,-,1690.0,67.0,25.2
2.0,M,04,CTT,-,-,-,444.0,17.0,26.1
2.0,M,04,G&T,-,-,-,136.0,5.0,27.2
2.0,M,05,GEN ED,-,-,-,1797.0,67.0,26.8
2.0,M,05,CTT,-,-,-,402.0,16.0,25.1
2.0,M,05,G&T,-,-,-,150.0,6.0,25.0
2.0,M,06,GEN ED,-,-,-,1726.0,69.0,25.0
2.0,M,06,CTT,-,-,-,496.0,20.0,24.8
2.0,M,07,GEN ED,-,-,-,1788.0,69.0,25.9
2.0,M,07,CTT,-,-,-,475.0,19.0,25.0
2.0,M,08,GEN ED,-,-,-,1815.0,66.0,27.5
2.0,M,08,CTT,-,-,-,418.0,16.0,26.1
2.0,M,09,GEN ED,-,-,-,419.0,20.0,21.0
2.0,M,0K-09,SPEC ED,-,-,12:1,184.0,21.0,8.8
2.0,M,0K-09,SPEC ED,-,-,12:1:1,286.0,31.0,9.2
2.0,M,MS Core,GEN ED,ENGLISH,MS English Core,-,3798.0,140.0,27.1
2.0,M,MS Core,GEN ED,MATH,MS Math Core,-,4019.0,152.0,26.4
2.0,M,MS Core,GEN ED,MATH,Integrated Algebra,-,288.0,10.0,28.8
2.0,M,MS Core,GEN ED,MATH,Trigonometry,-,34.0,1.0,34.0
2.0,M,MS Core,GEN ED,MATH,Math A,-,43.0,2.0,21.5
2.0,M,MS Core,GEN ED,SCIENCE,MS Science Core,-,4060.0,146.0,27.8
2.0,M,MS Core,GEN ED,SCIENCE,Earth Science,-,177.0,8.0,22.1
2.0,M,MS Core,GEN ED,SCIENCE,Living Environment,-,77.0,4.0,19.3
2.0,M,MS Core,GEN ED,SCIENCE,Other Science,-,90.0,5.0,18.0
2.0,M,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,3265.0,124.0,26.3
2.0,M,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,43.0,2.0,21.5
2.0,M,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,16.0,1.0,16.0
2.0,M,MS Core,GEN ED,SOCIAL STUDIES,Other Social Studies,-,75.0,4.0,18.8
2.0,M,MS Core,CTT,ENGLISH,MS English Core,-,1104.0,42.0,26.3
2.0,M,MS Core,CTT,MATH,MS Math Core,-,1117.0,42.0,26.6
2.0,M,MS Core,CTT,SCIENCE,MS Science Core,-,1136.0,42.0,27.0
2.0,M,MS Core,CTT,SCIENCE,Other Science,-,58.0,3.0,19.3
2.0,M,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,784.0,31.0,25.3
2.0,M,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,14.0,1.0,14.0
2.0,M,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,22.0,1.0,22.0
2.0,M,MS Core,SPEC ED,ENGLISH,MS English Core,-,99.0,9.0,11.0
2.0,M,MS Core,SPEC ED,MATH,MS Math Core,-,56.0,5.0,11.2
2.0,M,MS Core,SPEC ED,SCIENCE,MS Science Core,-,62.0,6.0,10.3
2.0,M,MS Core,SPEC ED,SCIENCE,Other Science,-,10.0,1.0,10.0
2.0,M,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,66.0,6.0,11.0
2.0,M,MS Core,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,10.0,1.0,10.0
2.0,M,09-12,GEN ED,ENGLISH,English 9,-,7813.0,308.0,25.4
2.0,M,09-12,GEN ED,ENGLISH,English 10,-,7022.0,265.0,26.5
2.0,M,09-12,GEN ED,ENGLISH,English 11,-,6921.0,271.0,25.5
2.0,M,09-12,GEN ED,ENGLISH,English 12,-,5808.0,230.0,25.3
2.0,M,09-12,GEN ED,ENGLISH,MS English Core,-,257.0,11.0,23.4
2.0,M,09-12,GEN ED,ENGLISH,Other English,-,5333.0,241.0,22.1
2.0,M,09-12,GEN ED,MATH,Integrated Algebra,-,10066.0,424.0,23.7
2.0,M,09-12,GEN ED,MATH,Geometry,-,7718.0,288.0,26.8
2.0,M,09-12,GEN ED,MATH,Trigonometry,-,5104.0,188.0,27.1
2.0,M,09-12,GEN ED,MATH,Math A,-,650.0,36.0,18.1
2.0,M,09-12,GEN ED,MATH,Math B,-,332.0,15.0,22.1
2.0,M,09-12,GEN ED,MATH,Other Math,-,3330.0,123.0,27.1
2.0,M,09-12,GEN ED,SCIENCE,Earth Science,-,7348.0,263.0,27.9
2.0,M,09-12,GEN ED,SCIENCE,Living Environment,-,14822.0,558.0,26.6
2.0,M,09-12,GEN ED,SCIENCE,Chemistry,-,8614.0,304.0,28.3
2.0,M,09-12,GEN ED,SCIENCE,Physics,-,4820.0,164.0,29.4
2.0,M,09-12,GEN ED,SCIENCE,Other Science,-,7821.0,306.0,25.6
2.0,M,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,15568.0,588.0,26.5
2.0,M,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,8735.0,342.0,25.5
2.0,M,09-12,GEN ED,SOCIAL STUDIES,Economics,-,1571.0,63.0,24.9
2.0,M,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,3612.0,132.0,27.4
2.0,M,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,1985.0,87.0,22.8
2.0,M,09-12,CTT,ENGLISH,English 9,-,1649.0,64.0,25.8
2.0,M,09-12,CTT,ENGLISH,English 10,-,1480.0,56.0,26.4
2.0,M,09-12,CTT,ENGLISH,English 11,-,862.0,35.0,24.6
2.0,M,09-12,CTT,ENGLISH,English 12,-,639.0,25.0,25.6
2.0,M,09-12,CTT,ENGLISH,MS English Core,-,92.0,4.0,23.0
2.0,M,09-12,CTT,ENGLISH,Other English,-,745.0,34.0,21.9
2.0,M,09-12,CTT,MATH,Integrated Algebra,-,2689.0,106.0,25.4
2.0,M,09-12,CTT,MATH,Geometry,-,1020.0,40.0,25.5
2.0,M,09-12,CTT,MATH,Trigonometry,-,294.0,12.0,24.5
2.0,M,09-12,CTT,MATH,Math A,-,133.0,5.0,26.6
2.0,M,09-12,CTT,MATH,Math B,-,78.0,3.0,26.0
2.0,M,09-12,CTT,MATH,Other Math,-,135.0,6.0,22.5
2.0,M,09-12,CTT,SCIENCE,Earth Science,-,1624.0,60.0,27.1
2.0,M,09-12,CTT,SCIENCE,Living Environment,-,2819.0,105.0,26.8
2.0,M,09-12,CTT,SCIENCE,Chemistry,-,553.0,22.0,25.1
2.0,M,09-12,CTT,SCIENCE,Physics,-,141.0,5.0,28.2
2.0,M,09-12,CTT,SCIENCE,Other Science,-,1420.0,53.0,26.8
2.0,M,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,3230.0,118.0,27.4
2.0,M,09-12,CTT,SOCIAL STUDIES,US History & Government,-,1367.0,54.0,25.3
2.0,M,09-12,CTT,SOCIAL STUDIES,Economics,-,282.0,9.0,31.3
2.0,M,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,440.0,18.0,24.4
2.0,M,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,174.0,9.0,19.3
2.0,M,09-12,SPEC ED,ENGLISH,English 9,-,162.0,14.0,11.6
2.0,M,09-12,SPEC ED,ENGLISH,English 10,-,109.0,10.0,10.9
2.0,M,09-12,SPEC ED,ENGLISH,English 11,-,63.0,7.0,9.0
2.0,M,09-12,SPEC ED,ENGLISH,English 12,-,49.0,4.0,12.3
2.0,M,09-12,SPEC ED,ENGLISH,Other English,-,38.0,4.0,9.5
2.0,M,09-12,SPEC ED,MATH,Integrated Algebra,-,254.0,23.0,11.0
2.0,M,09-12,SPEC ED,MATH,Geometry,-,59.0,5.0,11.8
2.0,M,09-12,SPEC ED,MATH,Math A,-,28.0,2.0,14.0
2.0,M,09-12,SPEC ED,SCIENCE,Earth Science,-,89.0,9.0,9.9
2.0,M,09-12,SPEC ED,SCIENCE,Living Environment,-,263.0,20.0,13.2
2.0,M,09-12,SPEC ED,SCIENCE,Chemistry,-,64.0,7.0,9.1
2.0,M,09-12,SPEC ED,SCIENCE,Other Science,-,79.0,6.0,13.2
2.0,M,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,273.0,22.0,12.4
2.0,M,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,89.0,9.0,9.9
2.0,M,09-12,SPEC ED,SOCIAL STUDIES,Economics,-,21.0,1.0,21.0
2.0,M,09-12,SPEC ED,SOCIAL STUDIES,Participation in Government,-,44.0,4.0,11.0
3.0,M,0K,GEN ED,-,-,-,1077.0,50.0,21.5
3.0,M,0K,CTT,-,-,-,239.0,12.0,19.9
3.0,M,0K,G&T,-,-,-,193.0,8.0,24.1
3.0,M,01,GEN ED,-,-,-,1090.0,49.0,22.2
3.0,M,01,CTT,-,-,-,245.0,11.0,22.3
3.0,M,01,G&T,-,-,-,224.0,9.0,24.9
3.0,M,02,GEN ED,-,-,-,970.0,45.0,21.6
3.0,M,02,CTT,-,-,-,234.0,11.0,21.3
3.0,M,02,G&T,-,-,-,174.0,7.0,24.9
3.0,M,03,GEN ED,-,-,-,843.0,39.0,21.6
3.0,M,03,CTT,-,-,-,332.0,13.0,25.5
3.0,M,03,G&T,-,-,-,198.0,8.0,24.8
3.0,M,04,GEN ED,-,-,-,934.0,42.0,22.2
3.0,M,04,CTT,-,-,-,201.0,9.0,22.3
3.0,M,04,G&T,-,-,-,184.0,7.0,26.3
3.0,M,05,GEN ED,-,-,-,887.0,37.0,24.0
3.0,M,05,CTT,-,-,-,233.0,10.0,23.3
3.0,M,05,G&T,-,-,-,191.0,8.0,23.9
3.0,M,06,GEN ED,-,-,-,728.0,27.0,27.0
3.0,M,06,CTT,-,-,-,244.0,9.0,27.1
3.0,M,06,G&T,-,-,-,278.0,9.0,30.9
3.0,M,07,GEN ED,-,-,-,665.0,26.0,25.6
3.0,M,07,CTT,-,-,-,221.0,8.0,27.6
3.0,M,07,G&T,-,-,-,280.0,9.0,31.1
3.0,M,08,GEN ED,-,-,-,657.0,24.0,27.4
3.0,M,08,CTT,-,-,-,288.0,11.0,26.2
3.0,M,08,G&T,-,-,-,254.0,8.0,31.8
3.0,M,09,GEN ED,-,-,-,100.0,4.0,25.0
3.0,M,0K-09,SPEC ED,-,-,12:1,42.0,4.0,10.5
3.0,M,0K-09,SPEC ED,-,-,12:1:1,416.0,44.0,9.5
3.0,M,MS Core,GEN ED,ENGLISH,MS English Core,-,2468.0,97.0,25.4
3.0,M,MS Core,GEN ED,MATH,MS Math Core,-,2193.0,88.0,24.9
3.0,M,MS Core,GEN ED,MATH,Integrated Algebra,-,498.0,17.0,29.3
3.0,M,MS Core,GEN ED,MATH,Math A,-,64.0,2.0,32.0
3.0,M,MS Core,GEN ED,SCIENCE,MS Science Core,-,1914.0,75.0,25.5
3.0,M,MS Core,GEN ED,SCIENCE,Earth Science,-,273.0,9.0,30.3
3.0,M,MS Core,GEN ED,SCIENCE,Living Environment,-,401.0,14.0,28.6
3.0,M,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,1917.0,72.0,26.6
3.0,M,MS Core,GEN ED,SOCIAL STUDIES,Global History & Geography,-,245.0,8.0,30.6
3.0,M,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,110.0,4.0,27.5
3.0,M,MS Core,CTT,ENGLISH,MS English Core,-,508.0,21.0,24.2
3.0,M,MS Core,CTT,MATH,MS Math Core,-,470.0,20.0,23.5
3.0,M,MS Core,CTT,MATH,Integrated Algebra,-,22.0,1.0,22.0
3.0,M,MS Core,CTT,SCIENCE,MS Science Core,-,559.0,21.0,26.6
3.0,M,MS Core,CTT,SCIENCE,Living Environment,-,22.0,1.0,22.0
3.0,M,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,490.0,18.0,27.2
3.0,M,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,22.0,1.0,22.0
3.0,M,MS Core,SPEC ED,ENGLISH,MS English Core,-,116.0,11.0,10.5
3.0,M,MS Core,SPEC ED,MATH,MS Math Core,-,89.0,9.0,9.9
3.0,M,MS Core,SPEC ED,SCIENCE,MS Science Core,-,94.0,10.0,9.4
3.0,M,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,88.0,9.0,9.8
3.0,M,09-12,GEN ED,ENGLISH,English 9,-,1895.0,75.0,25.3
3.0,M,09-12,GEN ED,ENGLISH,English 10,-,1894.0,70.0,27.1
3.0,M,09-12,GEN ED,ENGLISH,English 11,-,2190.0,88.0,24.9
3.0,M,09-12,GEN ED,ENGLISH,English 12,-,1807.0,67.0,27.0
3.0,M,09-12,GEN ED,ENGLISH,MS English Core,-,326.0,13.0,25.1
3.0,M,09-12,GEN ED,ENGLISH,Other English,-,866.0,43.0,20.1
3.0,M,09-12,GEN ED,MATH,Integrated Algebra,-,2440.0,104.0,23.5
3.0,M,09-12,GEN ED,MATH,Geometry,-,2144.0,81.0,26.5
3.0,M,09-12,GEN ED,MATH,Trigonometry,-,934.0,34.0,27.5
3.0,M,09-12,GEN ED,MATH,Math A,-,33.0,2.0,16.5
3.0,M,09-12,GEN ED,MATH,Math B,-,54.0,3.0,18.0
3.0,M,09-12,GEN ED,MATH,Other Math,-,1406.0,49.0,28.7
3.0,M,09-12,GEN ED,SCIENCE,Earth Science,-,2169.0,83.0,26.1
3.0,M,09-12,GEN ED,SCIENCE,Living Environment,-,2832.0,117.0,24.2
3.0,M,09-12,GEN ED,SCIENCE,Chemistry,-,1257.0,44.0,28.6
3.0,M,09-12,GEN ED,SCIENCE,Physics,-,637.0,27.0,23.6
3.0,M,09-12,GEN ED,SCIENCE,Other Science,-,1966.0,73.0,26.9
3.0,M,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,4199.0,153.0,27.4
3.0,M,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,3150.0,112.0,28.1
3.0,M,09-12,GEN ED,SOCIAL STUDIES,Economics,-,160.0,7.0,22.9
3.0,M,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,866.0,35.0,24.7
3.0,M,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,179.0,10.0,17.9
3.0,M,09-12,CTT,ENGLISH,English 9,-,193.0,8.0,24.1
3.0,M,09-12,CTT,ENGLISH,English 10,-,160.0,7.0,22.9
3.0,M,09-12,CTT,ENGLISH,English 11,-,160.0,7.0,22.9
3.0,M,09-12,CTT,ENGLISH,English 12,-,67.0,3.0,22.3
3.0,M,09-12,CTT,ENGLISH,MS English Core,-,185.0,7.0,26.4
3.0,M,09-12,CTT,ENGLISH,Other English,-,58.0,3.0,19.3
3.0,M,09-12,CTT,MATH,Integrated Algebra,-,436.0,20.0,21.8
3.0,M,09-12,CTT,MATH,Geometry,-,48.0,2.0,24.0
3.0,M,09-12,CTT,MATH,Other Math,-,75.0,3.0,25.0
3.0,M,09-12,CTT,SCIENCE,Earth Science,-,56.0,2.0,28.0
3.0,M,09-12,CTT,SCIENCE,Living Environment,-,277.0,12.0,23.1
3.0,M,09-12,CTT,SCIENCE,Physics,-,62.0,3.0,20.7
3.0,M,09-12,CTT,SCIENCE,Other Science,-,284.0,11.0,25.8
3.0,M,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,475.0,18.0,26.4
3.0,M,09-12,CTT,SOCIAL STUDIES,US History & Government,-,117.0,5.0,23.4
3.0,M,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,67.0,3.0,22.3
3.0,M,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,38.0,2.0,19.0
3.0,M,09-12,SPEC ED,ENGLISH,English 9,-,38.0,3.0,12.7
3.0,M,09-12,SPEC ED,ENGLISH,English 10,-,15.0,1.0,15.0
3.0,M,09-12,SPEC ED,ENGLISH,English 11,-,44.0,4.0,11.0
3.0,M,09-12,SPEC ED,ENGLISH,English 12,-,10.0,1.0,10.0
3.0,M,09-12,SPEC ED,ENGLISH,Other English,-,34.0,3.0,11.3
3.0,M,09-12,SPEC ED,MATH,Integrated Algebra,-,77.0,6.0,12.8
3.0,M,09-12,SPEC ED,MATH,Geometry,-,21.0,2.0,10.5
3.0,M,09-12,SPEC ED,SCIENCE,Earth Science,-,36.0,3.0,12.0
3.0,M,09-12,SPEC ED,SCIENCE,Living Environment,-,74.0,6.0,12.3
3.0,M,09-12,SPEC ED,SCIENCE,Other Science,-,10.0,1.0,10.0
3.0,M,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,62.0,5.0,12.4
3.0,M,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,54.0,4.0,13.5
3.0,M,09-12,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,13.0,1.0,13.0
4.0,M,0K,GEN ED,-,-,-,748.0,39.0,19.2
4.0,M,0K,CTT,-,-,-,178.0,11.0,16.2
4.0,M,0K,G&T,-,-,-,25.0,1.0,25.0
4.0,M,01,GEN ED,-,-,-,754.0,38.0,19.8
4.0,M,01,CTT,-,-,-,216.0,11.0,19.6
4.0,M,02,GEN ED,-,-,-,763.0,39.0,19.6
4.0,M,02,CTT,-,-,-,170.0,9.0,18.9
4.0,M,03,GEN ED,-,-,-,765.0,35.0,21.9
4.0,M,03,CTT,-,-,-,227.0,11.0,20.6
4.0,M,04,GEN ED,-,-,-,745.0,34.0,21.9
4.0,M,04,CTT,-,-,-,209.0,10.0,20.9
4.0,M,05,GEN ED,-,-,-,713.0,31.0,23.0
4.0,M,05,CTT,-,-,-,224.0,10.0,22.4
4.0,M,05,G&T,-,-,-,31.0,1.0,31.0
4.0,M,06,GEN ED,-,-,-,791.0,34.0,23.3
4.0,M,06,CTT,-,-,-,183.0,8.0,22.9
4.0,M,07,GEN ED,-,-,-,803.0,34.0,23.6
4.0,M,07,CTT,-,-,-,220.0,9.0,24.4
4.0,M,08,GEN ED,-,-,-,753.0,30.0,25.1
4.0,M,08,CTT,-,-,-,297.0,11.0,27.0
4.0,M,0K-09,SPEC ED,-,-,12:1,49.0,5.0,9.8
4.0,M,0K-09,SPEC ED,-,-,12:1:1,751.0,73.0,10.3
4.0,M,0K-09,SPEC ED,-,-,6:1:1,5.0,1.0,5.0
4.0,M,MS Core,GEN ED,ENGLISH,MS English Core,-,2051.0,88.0,23.3
4.0,M,MS Core,GEN ED,MATH,MS Math Core,-,1949.0,79.0,24.7
4.0,M,MS Core,GEN ED,MATH,Integrated Algebra,-,81.0,3.0,27.0
4.0,M,09-12,CTT,ENGLISH,English 9,-,130.0,5.0,26.0
4.0,M,MS Core,GEN ED,SCIENCE,MS Science Core,-,1789.0,73.0,24.5
4.0,M,MS Core,GEN ED,SCIENCE,Earth Science,-,68.0,2.0,34.0
4.0,M,MS Core,GEN ED,SCIENCE,Living Environment,-,239.0,11.0,21.7
4.0,M,MS Core,GEN ED,SCIENCE,Other Science,-,13.0,1.0,13.0
4.0,M,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,1802.0,76.0,23.7
4.0,M,MS Core,GEN ED,SOCIAL STUDIES,US History & Government,-,70.0,3.0,23.3
4.0,M,MS Core,CTT,ENGLISH,MS English Core,-,445.0,19.0,23.4
5.0,M,0K,G&T,-,-,-,21.0,1.0,21.0
