Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type
MMR,,States,Nebraska,2010-11,,,,,,
MMR,,States,Nevada,2010-11,,,,,,
MMR,,States,New Hampshire,2010-11,,,,,,
MMR,,States,New Jersey,2010-11,,,,,,
MMR,,States,New Mexico,2010-11,,,,,,
MMR,,States,New York,2010-11,,,,,,
MMR,,States,North Carolina,2010-11,,,,,,
MMR,,States,North Dakota,2010-11,,,,,,
MMR,,States,Ohio,2010-11,,,,,,
MMR,,States,Oklahoma,2010-11,,,,,,
MMR,,States,Oregon,2010-11,,,,,,
MMR,,States,Pennsylvania,2010-11,,,,,,
MMR,,National,United States,2010-11,,,,,,
MMR,,States,Rhode Island,2010-11,,,,,,
MMR,,States,South Carolina,2010-11,,,,,,
MMR,,States,South Dakota,2010-11,,,,,,
MMR,,States,Tennessee,2010-11,,,,,,
MMR,,States,Texas,2010-11,,,,,,
MMR,,National,U.S. Median,2010-11,,,,,,
MMR,,States,Utah,2010-11,,,,,,
MMR,,States,Vermont,2010-11,,,,,,
MMR,,States,Virginia,2010-11,,,,,,
MMR,,States,Washington,2010-11,,,,,,
MMR,,States,West Virginia,2010-11,,,,,,
MMR,,States,Wisconsin,2010-11,,,,,,
MMR,,States,Wyoming,2010-11,,,,,,
MMR,,States,Alabama,2011-12,93.6,73190.0,100.0,≥. * .**,,Census
MMR,,States,Alaska,2011-12,,10286.0,7.3,,,Non-random Cluster Sample
MMR,,States,Arizona,2011-12,94.7,88293.0,96.9,,,Census
MMR,,States,Arkansas,2011-12,94.9,38754.0,92.2,,,Census
MMR,,States,California,2011-12,93.2,542544.0,97.6,,,Census
MMR,,States,Colorado,2011-12,86.8,70142.0,0.5,,,Simple Random Sample
MMR,,States,Connecticut,2011-12,97.4,45695.0,100.0,*,,Census
MMR,,States,Delaware,2011-12,96.9,11327.0,7.4,≥,,2-stage Cluster Sample
MMR,,States,District of Columbia,2011-12,,6854.0,100.0,*,,Census
MMR,,States,Florida,2011-12,92.6,225532.0,100.0,≥. * .§ ,,Census
MMR,,States,Georgia,2011-12,96.6,143065.0,1.9,,,2-stage Cluster Sample
MMR,,States,Hawaii,2011-12,,19443.0,7.7,,,2-stage Cluster Sample
MMR,,States,Idaho,2011-12,89.2,22762.0,100.0,*,,Census
MMR,,States,Illinois,2011-12,97.3,163311.0,100.0,*,,Census
MMR,,States,Indiana,2011-12,93.3,83416.0,67.5,,,Voluntary Response
MMR,,States,Iowa,2011-12,91.1,40978.0,100.0,≥. *,,Census
MMR,,States,Kansas,2011-12,88.2,38402.0,52.7,†,,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kentucky,2011-12,92.0,58185.0,91.8,,,Census
MMR,,States,Louisiana,2011-12,98.1,69013.0,100.0,*,,Census
MMR,,States,Maine,2011-12,93.0,13829.0,97.0,,,Census
MMR,,States,Maryland,2011-12,98.7,72957.0,67.2,,,Voluntary Response
MMR,,States,Massachusetts,2011-12,94.2,79551.0,97.5,,,Census
MMR,,States,Michigan,2011-12,95.0,124962.0,100.0,*,,Census
MMR,,States,Minnesota,2011-12,95.7,71213.0,99.2,,,Census
MMR,,States,Mississippi,2011-12,99.2,44912.0,100.0,≥. *,,Census
MMR,,States,Missouri,2011-12,96.8,75240.0,4.7,,,2-stage Cluster Sample
MMR,,States,Montana,2011-12,95.0,12128.0,100.0,*,,Census
MMR,,States,Nebraska,2011-12,99.0,26715.0,96.6,,,Census
MMR,,States,Nevada,2011-12,95.3,36557.0,5.2,,,2-stage Cluster Sample
MMR,,States,New Hampshire,2011-12,,13022.0,100.0,*,,Census
MMR,,States,New Jersey,2011-12,,118669.0,96.6,,,Census
MMR,,States,New Mexico,2011-12,95.7,29159.0,2.0,,,2-stage Cluster Sample
MMR,,States,New York,2011-12,96.9,236016.0,100.0,*,,Census
MMR,,States,North Carolina,2011-12,,128854.0,95.4,,,Census
MMR,,States,North Dakota,2011-12,90.6,8412.0,5.8,¶,,Convenient 
MMR,,States,Ohio,2011-12,96.1,146144.0,94.5,,,Convenient 
MMR,,States,Oklahoma,2011-12,95.0,52987.0,90.9,¶,,Census
MMR,,States,Oregon,2011-12,94.0,45855.0,100.0,*,,Census
MMR,,States,Pennsylvania,2011-12,86.9,148042.0,99.0,,,Census
MMR,,National,United States,2011-12,94.7,,,,,
MMR,,States,Rhode Island,2011-12,91.7,12552.0,13.9,,,2-stage Cluster Sample
MMR,,States,South Carolina,2011-12,94.5,59307.0,10.7,,,1-stage Cluster Sample
MMR,,States,South Dakota,2011-12,97.4,12127.0,100.0,*,,Census
MMR,,States,Tennessee,2011-12,97.3,83950.0,99.9,≥,,Census
MMR,,States,Texas,2011-12,99.3,388178.0,100.0,*,,Census
MMR,,National,U.S. Median,2011-12,94.8,,,,,
MMR,,States,Utah,2011-12,98.0,53800.0,100.0,*,,Census
MMR,,States,Vermont,2011-12,92.9,6548.0,100.0,*,,Census
MMR,,States,Virginia,2011-12,93.0,101121.0,4.3,,,2-stage Cluster Sample
MMR,,States,Washington,2011-12,91.8,85134.0,89.1,,,Voluntary Response
MMR,,States,West Virginia,2011-12,92.0,22449.0,94.9,,,Convenient 
MMR,,States,Wisconsin,2011-12,93.1,70672.0,2.3,,,2-stage Cluster Sample
MMR,,States,Wyoming,2011-12,,,,,,Not conducted
MMR,,States,Alabama,2012-13,92.8,72929.0,100.0,≥. * . ‡. **,,Census
MMR,,States,Alaska,2012-13,,10319.0,97.8,,,Census
MMR,,States,Arizona,2012-13,94.5,90054.0,97.6,,,Census
MMR,,States,Arkansas,2012-13,85.9,43212.0,96.3,‡,,Census
MMR,,States,California,2012-13,92.7,535523.0,99.0,‡,,Census
MMR,,States,Colorado,2012-13,85.7,70657.0,0.5,,,Simple Random Sample
MMR,,States,Connecticut,2012-13,97.1,41604.0,100.0,*,,Census
MMR,,States,Delaware,2012-13,95.7,11997.0,7.8,≥,,2-stage Cluster Sample
MMR,,States,District of Columbia,2012-13,,7842.0,100.0,*,,Census
MMR,,States,Florida,2012-13,92.1,234628.0,100.0,≥. *. §,,Census
MMR,,States,Georgia,2012-13,95.1,142732.0,2.4,≥,,2-stage Cluster Sample
MMR,,States,Hawaii,2012-13,,20104.0,6.7,,,2-stage Cluster Sample
MMR,,States,Idaho,2012-13,88.4,23888.0,100.0,*,,Census
MMR,,States,Illinois,2012-13,95.5,166884.0,100.0,*,,Census
MMR,,States,Indiana,2012-13,95.4,86983.0,83.4,,,Voluntary Response
MMR,,States,Iowa,2012-13,90.5,41701.0,99.9,≥,,Census
MMR,,States,Kansas,2012-13,90.0,40738.0,31.8,†. ‡,,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kentucky,2012-13,92.4,58466.0,97.2,‡,,Census
MMR,,States,Louisiana,2012-13,96.6,68874.0,100.0,*,,Census
MMR,,States,Maine,2012-13,91.3,14313.0,94.6,‡,,Census
MMR,,States,Maryland,2012-13,98.2,75007.0,84.3,‡,,Voluntary Response
MMR,,States,Massachusetts,2012-13,94.8,79661.0,97.6,‡,,Census
MMR,,States,Michigan,2012-13,94.4,124662.0,100.0,*,,Census
MMR,,States,Minnesota,2012-13,96.3,73310.0,100.0,*. ‡ ,,Census
MMR,,States,Mississippi,2012-13,99.9,46595.0,100.0,≥. *,,Census
MMR,,States,Missouri,2012-13,96.7,78416.0,5.9,,,2-stage Cluster Sample
MMR,,States,Montana,2012-13,94.8,12516.0,95.8,,,Census
MMR,,States,Nebraska,2012-13,96.0,24999.0,96.6,‡,,Census
MMR,,States,Nevada,2012-13,93.6,36070.0,4.3,,,2-stage Cluster Sample
MMR,,States,New Hampshire,2012-13,,12943.0,99.2,,,Census
MMR,,States,New Jersey,2012-13,97.0,122516.0,96.7,≥. ‡,,Census
MMR,,States,New Mexico,2012-13,93.9,29279.0,3.3,‡ ,,2-stage Cluster Sample
MMR,,States,New York,2012-13,96.6,239484.0,100.0,*. ‡,,Census
MMR,,States,North Carolina,2012-13,,130612.0,97.3,,,Census
MMR,,States,North Dakota,2012-13,89.9,9503.0,4.9,,,2-stage Cluster Sample
MMR,,States,Ohio,2012-13,96.3,163687.0,86.9,,,Census
MMR,,States,Oklahoma,2012-13,90.5,56943.0,95.5,,,Census
MMR,,States,Oregon,2012-13,93.5,47102.0,100.0,*. ‡,,Census
MMR,,States,Pennsylvania,2012-13,87.0,151364.0,97.5,,,Census
MMR,,National,United States,2012-13,94.1,,,,,
MMR,,States,Rhode Island,2012-13,94.2,12552.0,75.2,‡,,Voluntary Response
MMR,,States,South Carolina,2012-13,90.9,61799.0,17.9,≥,,1-Stage Cluster Sample
MMR,,States,South Dakota,2012-13,97.9,12468.0,100.0,*,,Census
MMR,,States,Tennessee,2012-13,94.5,85801.0,97.0,≥,,Census
MMR,,States,Texas,2012-13,97.5,414688.0,96.6,‡,,Census
MMR,,National,U.S. Median,2012-13,94.5,,,,,
MMR,,States,Utah,2012-13,96.3,54605.0,100.0,*,,Census
MMR,,States,Vermont,2012-13,92.8,6792.0,100.0,*,,Census
MMR,,States,Virginia,2012-13,93.1,104826.0,4.2,,,2-stage Cluster Sample
MMR,,States,Washington,2012-13,91.7,87773.0,94.7,,,Census
MMR,,States,West Virginia,2012-13,96.3,22588.0,86.5,,,Voluntary Response
MMR,,States,Wisconsin,2012-13,92.8,72416.0,1.8,‡,,2-stage Cluster Sample
MMR,,States,Wyoming,2012-13,97.5,8133.0,100.0,* .¶,,Census
MMR,,States,Alabama,2013-14,92.0,76927.0,100.0,≥. *. **,,Census
MMR,,States,Alaska,2013-14,94.4,10222.0,9.3,†,,Stratified  2-stage cluster sample
MMR,,States,Arizona,2013-14,93.9,89606.0,95.8,,,Census
MMR,,States,Arkansas,2013-14,86.5,42649.0,96.3,,,Census
MMR,,States,California,2013-14,92.3,548606.0,97.3,‡,,Census
MMR,,States,Colorado,2013-14,81.7,69904.0,0.5,,,Random Sample
MMR,,States,Connecticut,2013-14,96.9,40978.0,100.0,*,,Census
MMR,,States,Delaware,2013-14,96.4,11997.0,12.2,≥,,Stratified  2-stage cluster sample
MMR,,States,District of Columbia,2013-14,,7856.0,100.0,*,,Census
MMR,,States,Florida,2013-14,93.2,233797.0,100.0,≥. *. §,,Census
MMR,,States,Georgia,2013-14,94.0,143988.0,100.0,≥. *,,Census
MMR,,States,Hawaii,2013-14,,20056.0,5.4,,,Stratified  2-stage cluster sample
MMR,,States,Idaho,2013-14,88.2,23934.0,100.0,*,,Census
MMR,,States,Illinois,2013-14,94.7,163316.0,100.0,*,,Census
MMR,,States,Indiana,2013-14,92.9,87193.0,70.3,,,Voluntary response
MMR,,States,Iowa,2013-14,91.0,43728.0,94.6,≥,,Census
MMR,,States,Kansas,2013-14,86.9,41107.0,29.0,†. ‡,,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kentucky,2013-14,92.6,57857.0,100.0,*,,Census
MMR,,States,Louisiana,2013-14,96.8,63976.0,100.0,*,,Census
MMR,,States,Maine,2013-14,89.9,15441.0,82.4,‡,,Voluntary response
MMR,,States,Maryland,2013-14,97.6,75659.0,96.9,‡,,Census
MMR,,States,Massachusetts,2013-14,95.1,79894.0,97.9,‡,,Census
MMR,,States,Michigan,2013-14,97.5,120297.0,100.0,*,,Census
MMR,,States,Minnesota,2013-14,93.4,72087.0,98.5,‡,,Census
MMR,,States,Mississippi,2013-14,99.7,45719.0,100.0,≥. *,,Census
MMR,,States,Missouri,2013-14,95.5,78140.0,100.0,*,,Census
MMR,,States,Montana,2013-14,93.7,12855.0,95.4,,,Census
MMR,,States,Nebraska,2013-14,96.6,27000.0,97.3,‡,,Census
MMR,,States,Nevada,2013-14,95.6,35782.0,3.1,,,Stratified  2-stage cluster sample
MMR,,States,New Hampshire,2013-14,94.7,13240.0,100.0,≥. *,,Census
MMR,,States,New Jersey,2013-14,96.8,123085.0,95.4,≥. ‡,,Census
MMR,,States,New Mexico,2013-14,95.9,30725.0,2.7,‡,,Stratified  2-stage cluster sample
MMR,,States,New York,2013-14,96.8,240318.0,100.0,*. ‡,,Census
MMR,,States,North Carolina,2013-14,,126084.0,97.7,,,Census
MMR,,States,North Dakota,2013-14,90.0,9780.0,96.1,,,Census (Public); Stratified  2-stage cluster sample(Private)
MMR,,States,Ohio,2013-14,96.2,150000.0,92.5,,,Census
MMR,,States,Oklahoma,2013-14,96.4,57377.0,71.3,,,Voluntary response
MMR,,States,Oregon,2013-14,93.2,47649.0,100.0,*. ‡,,Census
MMR,,States,Pennsylvania,2013-14,85.3,151253.0,100.0,*. ‡,,Census
MMR,,National,United States,2013-14,94.0,,,,,
MMR,,States,Rhode Island,2013-14,95.1,11521.0,99.1,‡,,Census
MMR,,States,South Carolina,2013-14,96.8,61661.0,11.0,,,1-stage stratified sample
MMR,,States,South Dakota,2013-14,96.6,12566.0,100.0,*,,Census
MMR,,States,Tennessee,2013-14,94.9,80212.0,99.8,≥,,Census
MMR,,States,Texas,2013-14,97.5,409255.0,97.1,‡,,Census
MMR,,National,U.S. Median,2013-14,94.7,,,,,
MMR,,States,Utah,2013-14,98.5,54779.0,100.0,*,,Census
MMR,,States,Vermont,2013-14,91.2,6771.0,100.0,*,,Census
MMR,,States,Virginia,2013-14,93.1,105692.0,4.1,,,2-stage cluster  sample
MMR,,States,Washington,2013-14,89.7,89165.0,88.5,,,Voluntary response
MMR,,States,West Virginia,2013-14,96.1,22814.0,84.7,,,Voluntary response
MMR,,States,Wisconsin,2013-14,92.6,71363.0,2.8,‡,,Stratified  2-stage cluster sample
MMR,,States,Wyoming,2013-14,,,,,,Not conducted
MMR,,States,Alabama,2014-15,93.5,59660.0,100.0,≥. *,,Census
MMR,,States,Alaska,2014-15,92.7,10129.0,7.8,†,,Stratified 2-stage cluster sample
MMR,,States,Arizona,2014-15,94.2,86153.0,98.3,,,Census
MMR,,States,Arkansas,2014-15,88.4,41252.0,95.9,‡,,Census (public); Voluntary response (private)
MMR,,States,California,2014-15,92.6,552583.0,96.9,‡,,Census
MMR,,States,Colorado,2014-15,86.9,70597.0,0.5,,,Simple random sample
MMR,,States,Connecticut,2014-15,97.0,39948.0,100.0,*,,Census
MMR,,States,Delaware,2014-15,97.8,11476.0,7.9,,,Stratified 2-stage cluster sample
MMR,,States,Florida,2014-15,93.3,228982.0,100.0,≥. *. §,,Census
MMR,,States,Georgia,2014-15,94.0,139471.0,100.0,≥. *,,Census
MMR,,States,Hawaii,2014-15,,20085.0,5.6,,,Stratified 2-stage cluster sample
MMR,,States,Idaho,2014-15,89.5,22968.0,100.0,*,,Census
MMR,,States,Illinois,2014-15,94.7,156942.0,100.0,*,,Census
MMR,,States,Indiana,2014-15,89.3,85477.0,70.1,,,Voluntary response
MMR,,States,Iowa,2014-15,91.9,43239.0,96.3,≥,,Census
MMR,,States,Kansas,2014-15,89.2,39685.0,24.5,†.‡,,Stratified 2-stage cluster sample
MMR,,States,Kentucky,2014-15,92.7,57884.0,97.2,‡,,Census
MMR,,States,Louisiana,2014-15,96.8,60377.0,100.0,*,,Census
MMR,,States,Maine,2014-15,92.1,13704.0,88.9,‡,,Voluntary response (public); Census (private)
MMR,,States,Maryland,2014-15,99.1,75391.0,90.2,‡,,Census (public); Voluntary response (private)
MMR,,States,Massachusetts,2014-15,94.7,74869.0,100.0,*. ‡,,Census
MMR,,States,Michigan,2014-15,94.3,117963.0,100.0,*,,Census
MMR,,States,Minnesota,2014-15,93.5,70896.0,97.8,,,Census
MMR,,States,Mississippi,2014-15,99.2,44129.0,100.0,≥. *,,Census
MMR,,States,Missouri,2014-15,95.8,75900.0,100.0,*,,Census
MMR,,States,Montana,2014-15,94.6,12501.0,95.7,,,Census (public); Voluntary response (private)
MMR,,States,Nebraska,2014-15,96.0,26665.0,100.0,*. ‡,,Census
MMR,,States,Nevada,2014-15,94.0,36755.0,2.8,,,Stratified 2-stage cluster sample
MMR,,States,New Hampshire,2014-15,91.4,12422.0,98.9,≥,,Census (public); Voluntary response (private)
MMR,,States,New Jersey,2014-15,92.3,120471.0,93.9,≥. ‡,,Census (public); Voluntary response (private)
MMR,,States,New Mexico,2014-15,97.7,29918.0,3.3,†,,Stratified 2-stage cluster sample
MMR,,States,New York,2014-15,98.2,237045.0,100.0,*.‡,,Census
MMR,,States,North Dakota,2014-15,89.8,10017.0,99.9,,,Census
MMR,,States,Ohio,2014-15,91.9,149080.0,91.0,,,Census (public); Voluntary response (private)
MMR,,States,Oklahoma,2014-15,90.3,56967.0,95.9,‡,,Census
MMR,,States,Oregon,2014-15,94.1,46229.0,100.0,*.‡,,Census
MMR,,States,Pennsylvania,2014-15,91.7,146378.0,98.3,‡,,Census
MMR,,National,United States,2014-15,94.0,,,,,
MMR,,States,Rhode Island,2014-15,95.7,11163.0,98.9,‡,,Census
MMR,,States,South Carolina,2014-15,96.5,62864.0,12.2,,,Stratified 1-stage cluster sample
MMR,,States,South Dakota,2014-15,97.1,12008.0,100.0,*,,Census
MMR,,States,Tennessee,2014-15,95.1,78276.0,100.0,≥. *,,Census
MMR,,States,Texas,2014-15,97.4,406099.0,98.3,‡,,Census (public); Voluntary response (private)
MMR,,National,U.S. Median,2014-15,94.0,,,,,
MMR,,States,Utah,2014-15,94.0,50916.0,100.0,*,,Census
MMR,,States,Vermont,2014-15,92.7,6277.0,100.0,*,,Census
MMR,,States,Virginia,2014-15,93.4,103821.0,4.1,,,Stratified 2-stage cluster sample
MMR,,States,Washington,2014-15,89.4,88809.0,96.7,,,Census (public); Voluntary response (private)
MMR,,States,West Virginia,2014-15,97.6,22016.0,81.3,,,Voluntary response
MMR,,States,Wisconsin,2014-15,91.6,69335.0,2.5,‡,,Stratified 2-stage cluster sample
MMR,,States,Wyoming,2014-15,96.8,7983.0,97.9,¶,,Census
MMR,,States,Alabama,2015-16,93.1,60392.0,100.0,≥.*,,Census
MMR,,States,Alaska,2015-16,93.5,9937.0,7.8,†.§,,Stratified 2-stage cluster sample
MMR,,States,Arizona,2015-16,94.2,83088.0,100.0,*,,Census
MMR,,States,Arkansas,2015-16,90.8,40258.0,95.6,‡,,Census (public); Voluntary response (private)
MMR,,States,California,2015-16,94.5,593788.0,92.8,‡,,Census
MMR,,States,Colorado,2015-16,87.1,69137.0,0.5,,,Simple random sample
MMR,,States,Connecticut,2015-16,97.0,39533.0,100.0,*,,Census
MMR,,States,Delaware,2015-16,97.6,11589.0,9.5,,,Stratified 2-stage cluster sample
MMR,,States,District of Columbia,2015-16,88.5,8080.0,100.0,*,,Census
MMR,,States,Florida,2015-16,93.7,224430.0,100.0,≥.*.§,,Census
MMR,,States,Georgia,2015-16,94.6,131403.0,100.0,≥.*,,Census
MMR,,States,Hawaii,2015-16,91.6,16325.0,6.7,,,Stratified 2-stage cluster sample
MMR,,States,Idaho,2015-16,90.2,22686.0,100.0,*,,Census
MMR,,States,Illinois,2015-16,94.9,151309.0,100.0,*,,Census
MMR,,States,Indiana,2015-16,89.2,83525.0,69.5,,,Voluntary response
MMR,,States,Iowa,2015-16,91.8,41215.0,100.0,≥.*,,Census
MMR,,States,Kansas,2015-16,89.4,39555.0,21.0,†.‡.§,,Stratified 2-stage cluster sample
MMR,,States,Kentucky,2015-16,92.2,54353.0,99.5,‡.§,,Census
MMR,,States,Louisiana,2015-16,96.8,59159.0,100.0,*,,Census
MMR,,States,Maine,2015-16,95.1,13526.0,90.5,,,Census
MMR,,States,Maryland,2015-16,99.4,72012.0,94.3,‡,,Census (public); Voluntary response (private)
MMR,,States,Massachusetts,2015-16,96.4,72897.0,100.0,*.‡,,Census
MMR,,States,Michigan,2015-16,95.7,116299.0,100.0,*,,Census
MMR,,States,Minnesota,2015-16,92.8,69710.0,97.8,§,,Census
MMR,,States,Mississippi,2015-16,99.4,41042.0,100.0,≥.*,,Census
MMR,,States,Missouri,2015-16,95.7,74413.0,100.0,*.§,,Census
MMR,,States,Montana,2015-16,94.9,11484.0,100.0,*,,Census
MMR,,States,Nebraska,2015-16,95.6,30409.0,100.0,*.‡,,Census
MMR,,States,Nevada,2015-16,94.7,37118.0,3.3,,,Stratified 2-stage cluster sample
MMR,,States,New Hampshire,2015-16,91.9,11852.0,99.8,≥,,Census
MMR,,States,New Jersey,2015-16,96.3,110116.0,100.0,≥.*,,Census
MMR,,States,New Mexico,2015-16,96.2,29049.0,2.7,†,,Stratified 2-stage cluster sample
MMR,,States,New York,2015-16,95.6,232521.0,100.0,*,,Census
MMR,,States,North Carolina,2015-16,97.3,128290.0,92.0,‡.§,,Census (public). Voluntary response (private)
MMR,,States,North Dakota,2015-16,90.7,9875.0,97.1,,,Census
MMR,,States,Ohio,2015-16,92.1,144604.0,93.7,,,Census (public); Voluntary response (private)
MMR,,States,Oklahoma,2015-16,94.4,54335.0,96.1,‡,,Census
MMR,,States,Oregon,2015-16,93.9,45531.0,100.0,*.‡,,Census
MMR,,States,Pennsylvania,2015-16,95.5,143298.0,93.2,,,Census (public); Voluntary response (private)
MMR,,National,United States,2015-16,94.7,,,,,
MMR,,States,Rhode Island,2015-16,96.4,11165.0,100.0,*.‡.§,,Census
MMR,,States,South Carolina,2015-16,96.5,59240.0,8.9,,,Stratified 1-stage cluster sample
MMR,,States,South Dakota,2015-16,96.5,12181.0,100.0,*,,Census
MMR,,States,Tennessee,2015-16,93.5,79233.0,100.0,*.§,,Census
MMR,,States,Texas,2015-16,97.6,394801.0,98.7,‡.§,,Census (public); Voluntary response (private)
MMR,,National,U.S. Median,2015-16,94.6,,,,,
MMR,,States,Utah,2015-16,94.2,50114.0,100.0,*,,Census
MMR,,States,Vermont,2015-16,93.6,6366.0,100.0,*,,Census
MMR,,States,Virginia,2015-16,95.7,100074.0,4.3,†.§,,Stratified 2-stage cluster sample
MMR,,States,Washington,2015-16,91.0,86492.0,97.3,§,,Census
MMR,,States,West Virginia,2015-16,95.2,21333.0,87.6,,,Voluntary response
MMR,,States,Wisconsin,2015-16,93.2,70220.0,2.0,‡.§,,Stratified 2-stage cluster sample
MMR,,States,Wyoming,2015-16,96.9,7825.0,74.0,§.¶,,Voluntary response
MMR,,States,Alabama,2016-17,93.8,58394.0,100.0,≥.*,,Census
MMR,,States,Alaska,2016-17,89.0,9815.0,7.6,†.§,,Stratified 2-stage cluster sample
MMR,,States,Arizona,2016-17,94.0,83627.0,100.0,*,,Census
MMR,,States,Arkansas,2016-17,91.9,39666.0,75.9,‡,,Voluntary response
MMR,,States,California,2016-17,97.3,575305.0,97.8,‡,,Census
MMR,,States,Colorado,2016-17,87.3,64440.0,100.0,*,,Census
