Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
TN,"Sep 8 - Sep 16, 2020",4,Statewide,Statewide,6651089,253,10.8,7.19,15.29,0.0,258,6.8,3.5,10.78,0.0,257,5.8,3.27,9.01,0.0,260,1.7,0.33,3.57,1.0,443,7.4,4.67,10.56,0.0,585,6.0,3.87,8.39,0.0,1028,6.7,4.96,8.57,0.0,445623.0,329894.0,569998.0,True,True
TX,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,27885195,229,12.7,8.35,17.62,0.0,252,8.5,4.72,12.6,0.0,253,5.3,2.68,8.6,0.0,254,1.8,0.31,3.75,1.0,448,7.1,4.15,10.37,0.0,540,9.4,6.27,12.66,0.0,988,8.2,6.16,10.47,0.0,2286586.0,1717728.0,2919580.0,True,True
UT,"Sep 9 - Sep 18, 2020",4,Statewide,Statewide,3045350,46,777.0,,,,348,7.3,4.48,10.48,0.0,344,6.2,3.79,8.68,0.0,284,1.2,0.0,2.94,1.0,423,4.8,1.74,10.17,0.0,597,5.4,3.64,7.46,0.0,1022,5.1,3.29,7.9,0.0,155313.0,100192.0,240583.0,True,True
VA,"Sep 10 - Sep 23, 2020",4,Statewide,Statewide,8413774,25,777.0,,,,390,4.9,2.67,7.62,0.0,364,1.6,0.27,3.19,0.0,332,1.1,0.2,2.26,0.0,422,1.4,0.29,3.11,0.0,689,5.0,2.46,8.53,0.0,1111,3.2,1.81,5.13,0.0,269241.0,152289.0,431627.0,True,False
VT,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,624977,14,777.0,,,,203,0.4,0.0,1.59,1.0,176,0.6,0.0,2.24,1.0,104,2.4,0.0,5.68,1.0,195,0.8,0.0,1.97,1.0,302,2.7,0.0,7.64,1.0,497,1.7,0.27,4.15,1.0,10625.0,1687.0,25937.0,True,True
WA,"Sep 9 - Sep 22, 2020",4,Statewide,Statewide,7294336,125,4.2,0.88,8.66,0.0,283,2.2,0.51,4.46,0.0,287,1.1,0.0,2.68,1.0,273,2.5,0.68,4.75,0.0,428,2.9,1.0,5.55,0.0,540,2.0,0.84,3.57,0.0,968,2.5,1.29,3.83,0.0,182358.0,94097.0,279373.0,True,True
WI,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,5778394,44,777.0,,,,351,3.9,1.85,6.26,0.0,255,2.4,0.65,4.44,0.0,326,3.3,1.37,5.73,0.0,422,5.4,2.2,9.21,0.0,554,2.2,1.02,3.61,0.0,976,3.8,2.2,5.73,0.0,219579.0,127125.0,331102.0,True,False
WV,"Sep 9 - Sep 22, 2020",4,Statewide,Statewide,1829054,31,777.0,,,,329,1.9,0.37,3.84,0.0,307,1.7,0.0,3.7,0.0,301,1.0,0.0,2.35,1.0,445,1.8,0.48,3.24,0.0,523,0.8,0.1,1.82,0.0,968,1.3,0.51,2.18,0.0,23778.0,9328.0,39873.0,False,True
WY,"Sep 9 - Sep 24, 2020",4,Statewide,Statewide,581836,6,777.0,,,,38,777.0,,,,47,777.0,,,,20,777.0,,,,55,777.0,,,,56,777.0,,,,111,1.5,0.0,3.97,1.0,8728.0,0.0,23099.0,False,True
US,"Sep 8 - Sep 24, 2020",4,"50 States, DC, & PR","50 States, DC, & PR",326289971,6612,9.7,8.8,10.61,0.0,15157,7.7,7.13,8.31,0.0,13207,5.5,4.91,6.09,0.0,12933,3.1,2.66,3.59,0.0,20343,7.3,6.78,7.81,0.0,27564,6.4,5.99,6.87,0.0,47909,6.8,6.49,7.18,0.0,22187718.0,21176219.0,23427620.0,True,False
AK,"Sep 22 -  Oct 7, 2020",5,Statewide,Statewide,738516,22,777.0,,,,447,1.1,0.18,2.24,1.0,321,1.7,0.22,3.55,0.0,204,1.1,0.0,3.17,1.0,410,1.0,0.22,1.95,0.0,584,0.9,0.24,1.82,0.0,994,0.9,0.4,1.54,0.0,6647.0,2954.0,11373.0,False,True
AL,"Sep 21 -  Oct 7, 2020",5,Statewide,Statewide,4864680,112,14.1,7.51,21.82,0.0,243,9.6,5.45,13.54,0.0,250,6.4,3.59,9.93,0.0,337,3.0,1.14,5.09,0.0,398,9.2,5.66,12.8,0.0,544,8.7,5.73,12.13,0.0,942,8.9,6.58,11.38,0.0,432957.0,320096.0,553601.0,True,False
AR,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,2990671,193,4.1,1.34,7.38,0.0,267,4.7,2.07,7.49,0.0,235,3.1,0.95,5.92,0.0,234,4.7,1.84,7.89,0.0,396,3.6,1.56,5.69,0.0,533,4.9,2.99,7.12,0.0,929,4.3,2.78,5.74,0.0,128599.0,83141.0,171665.0,True,False
AZ,"Sep 22 -  Oct 7, 2020",5,Statewide,Statewide,6946685,12,777.0,,,,539,6.5,3.49,11.42,0.0,156,3.9,0.13,12.01,1.0,57,777.0,,,,72,777.0,,,,692,11.7,3.51,24.44,0.0,764,7.9,2.96,14.43,0.0,548788.0,205622.0,1002407.0,True,True
CA,"Sep 25 - Sep 30, 2020",5,Statewide,Statewide,39148760,245,7.9,4.12,11.93,0.0,244,3.7,1.22,6.52,0.0,245,1.9,0.34,3.86,0.0,245,1.8,0.27,3.93,0.0,421,4.1,2.11,6.51,0.0,558,4.0,2.12,6.34,0.0,979,4.1,2.61,5.64,0.0,1605099.0,1021783.0,2207990.0,True,False
CO,"Sep 24 -  Oct 7, 2020",5,Statewide,Statewide,5531141,228,3.6,1.54,6.26,0.0,243,2.8,0.87,5.43,0.0,241,3.7,0.6,8.91,1.0,239,1.6,0.28,3.46,0.0,407,2.3,0.7,4.33,0.0,544,3.7,1.65,6.48,0.0,951,3.0,1.7,4.54,0.0,165934.0,94029.0,251114.0,True,True
CT,"Sep 24 - Sep 30, 2020",5,Statewide,Statewide,3581504,245,3.0,0.86,5.52,0.0,248,2.8,0.8,5.13,0.0,246,2.5,0.73,4.52,0.0,245,1.0,0.0,2.33,0.0,430,1.6,0.29,3.26,0.0,554,3.4,1.85,5.2,0.0,984,2.5,1.47,3.8,0.0,89538.0,52648.0,136097.0,True,False
DC,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,684498,79,7.1,2.0,13.49,0.0,238,4.0,1.73,6.97,0.0,173,4.7,1.7,8.12,0.0,186,6.9,3.23,11.28,0.0,290,4.4,1.8,7.49,0.0,386,5.5,3.17,8.36,0.0,676,5.0,3.26,7.15,0.0,34225.0,22315.0,48942.0,True,False
DE,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,949495,71,777.0,,,,316,6.8,4.0,10.05,0.0,269,2.3,0.66,4.61,0.0,320,3.3,1.2,5.68,0.0,420,4.3,1.78,7.21,0.0,556,7.7,4.48,11.28,0.0,976,6.0,4.07,8.12,0.0,56970.0,38644.0,77099.0,True,False
FL,"Sep 25 - Sep 25, 2020",5,Statewide,Statewide,20598139,244,9.9,5.72,14.65,0.0,246,9.1,5.24,13.63,0.0,246,8.0,4.2,12.52,0.0,245,3.3,1.16,6.01,0.0,418,9.7,6.62,13.43,0.0,563,6.1,3.98,8.88,0.0,981,7.9,6.09,9.91,0.0,1627253.0,1254427.0,2041276.0,True,False
GA,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,10297484,228,13.9,7.83,20.79,0.0,250,11.8,7.35,17.11,0.0,246,7.8,4.65,11.91,0.0,255,2.7,0.7,5.03,0.0,428,9.0,5.29,13.33,0.0,551,11.7,8.09,16.27,0.0,979,10.4,7.68,13.1,0.0,1070938.0,790847.0,1348970.0,True,False
HI,"Sep 22 -  Oct 8, 2020",5,Statewide,Statewide,1422029,28,777.0,,,,157,0.8,0.0,2.44,1.0,164,6.4,0.0,51.47,1.0,226,0.7,0.0,2.15,1.0,208,0.2,0.0,0.67,1.0,367,3.3,0.14,20.86,1.0,575,1.7,0.1,10.5,1.0,24174.0,1422.0,149313.0,False,True
IA,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,3132499,58,777.0,,,,369,10.9,7.85,14.09,0.0,303,9.8,6.46,13.36,0.0,211,4.5,1.68,7.76,0.0,445,6.8,4.06,9.66,0.0,496,9.8,6.76,13.31,0.0,941,8.3,6.33,10.36,0.0,259997.0,198287.0,324527.0,True,False
ID,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,1687809,36,777.0,,,,341,6.1,3.33,9.16,0.0,312,2.8,0.68,5.74,0.0,288,2.1,0.4,4.28,0.0,366,3.4,1.47,5.95,0.0,611,6.3,2.96,10.76,0.0,977,4.9,2.73,7.17,0.0,82703.0,46077.0,121016.0,True,False
IL,"Sep 23 -  Oct 1, 2020",5,Statewide,Statewide,12821497,232,9.3,5.4,13.01,0.0,203,4.3,1.66,7.43,0.0,244,5.3,2.6,8.53,0.0,244,2.5,0.76,4.94,0.0,450,6.2,3.81,8.98,0.0,473,4.7,2.84,6.62,0.0,923,5.4,3.81,7.18,0.0,692361.0,488499.0,920583.0,True,False
IN,"Sep 21 -  Oct 7, 2020",5,Statewide,Statewide,6637426,13,777.0,,,,564,5.9,2.72,10.53,0.0,219,1.5,0.28,3.53,0.0,215,1.8,0.35,3.97,0.0,245,2.8,0.35,6.58,1.0,766,9.1,2.55,19.8,0.0,1011,6.0,2.14,12.02,0.0,398246.0,142041.0,797819.0,True,True
KS,"Sep 22 -  Oct 8, 2020",5,Statewide,Statewide,2908776,214,6.5,3.24,10.04,0.0,242,6.6,3.18,10.0,0.0,243,2.1,0.31,4.81,0.0,237,2.2,0.43,4.37,0.0,407,4.2,2.01,6.49,0.0,529,5.9,3.57,8.57,0.0,936,5.0,3.53,6.72,0.0,145439.0,102680.0,195470.0,True,False
KY,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,4440204,166,2.4,0.46,4.8,0.0,311,2.3,0.39,4.41,0.0,249,2.6,0.78,4.77,0.0,252,1.9,0.35,3.88,0.0,431,2.0,0.77,3.35,0.0,547,2.6,1.13,4.42,0.0,978,2.3,1.29,3.46,0.0,102125.0,57279.0,153631.0,True,False
LA,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,4663616,243,21.1,14.88,27.04,0.0,249,11.0,6.92,15.17,0.0,244,8.5,4.4,13.35,0.0,241,4.6,1.87,8.15,0.0,362,11.8,8.35,15.93,0.0,615,12.1,8.9,15.35,0.0,977,12.0,9.63,14.45,0.0,559634.0,449106.0,673893.0,True,False
MA,"Sep 25 -  Oct 1, 2020",5,Statewide,Statewide,6830193,245,6.6,3.59,10.19,0.0,246,1.8,0.33,3.8,0.0,249,2.6,0.62,5.16,0.0,248,0.9,0.0,2.29,1.0,434,2.7,1.18,4.82,0.0,554,2.8,1.5,4.29,0.0,988,2.8,1.76,4.04,0.0,191245.0,120211.0,275940.0,True,True
MD,"Sep 21 -  Oct 5, 2020",5,Statewide,Statewide,6003435,61,777.0,,,,305,16.5,12.61,21.15,0.0,329,8.1,5.18,11.64,0.0,363,1.8,0.37,3.48,0.0,613,13.3,10.25,16.83,0.0,445,6.6,3.83,9.86,0.0,1058,9.9,7.8,12.2,0.0,594340.0,468268.0,732419.0,True,False
ME,"Sep 25 -  Oct 8, 2020",5,Statewide,Statewide,1332813,35,777.0,,,,364,0.7,0.0,1.58,0.0,251,1.1,0.0,3.48,1.0,261,0.1,0.0,0.57,1.0,361,0.6,0.0,1.78,1.0,550,0.5,0.08,1.13,0.0,911,0.5,0.08,1.16,0.0,6664.0,1066.0,15461.0,False,True
MI,"Sep 22 -  Oct 2, 2020",5,Statewide,Statewide,9957488,234,6.8,3.77,9.99,0.0,248,1.6,0.0,3.46,0.0,253,2.1,0.37,4.18,0.0,244,4.8,1.98,7.91,0.0,444,3.6,1.93,5.46,0.0,535,3.2,1.76,4.92,0.0,979,3.4,2.33,4.48,0.0,338555.0,232009.0,446095.0,True,False
MN,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,5527358,93,4.8,1.05,9.16,0.0,301,4.8,2.57,7.38,0.0,288,4.6,2.23,7.8,0.0,298,2.6,0.85,4.38,0.0,426,5.4,3.05,8.02,0.0,554,3.4,1.82,5.12,0.0,980,4.4,2.92,5.95,0.0,243204.0,161399.0,328878.0,True,False
MO,"Sep 21 -  Oct 2, 2020",5,Statewide,Statewide,6090062,237,6.9,3.99,10.56,0.0,242,7.2,3.67,11.32,0.0,246,5.7,2.66,9.22,0.0,240,1.8,0.0,3.86,0.0,398,6.1,3.68,8.91,0.0,567,5.8,3.36,8.41,0.0,965,5.9,4.19,8.12,0.0,359314.0,255174.0,494513.0,True,False
MS,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,2988762,40,777.0,,,,315,8.7,5.0,12.37,0.0,315,6.4,3.37,9.61,0.0,314,4.5,1.63,7.94,0.0,381,5.5,2.81,8.51,0.0,603,5.6,3.61,7.98,0.0,984,5.5,3.82,7.31,0.0,164382.0,114171.0,218479.0,False,False
MT,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,1041732,21,777.0,,,,253,2.0,0.0,4.19,0.0,220,1.3,0.0,2.94,1.0,212,0.8,0.0,2.61,1.0,294,4.0,0.0,11.16,1.0,412,1.4,0.39,2.79,0.0,706,2.7,0.6,6.52,1.0,28127.0,6250.0,67921.0,True,True
NC,"Sep 23 -  Oct 2, 2020",5,Statewide,Statewide,10155624,214,10.2,5.89,15.16,0.0,238,7.8,3.91,11.95,0.0,241,3.4,1.1,6.22,0.0,239,2.8,0.82,5.49,0.0,396,7.3,4.32,10.88,0.0,536,6.1,3.63,8.7,0.0,932,6.7,4.74,8.89,0.0,680427.0,481377.0,902835.0,True,False
ND,"Sep 23 -  Oct 5, 2020",5,Statewide,Statewide,752201,2,777.0,,,,30,777.0,,,,19,777.0,,,,10,777.0,,,,22,777.0,,,,39,777.0,,,,61,777.0,,,,,,,False,
NE,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,1904760,88,17.3,9.0,26.75,0.0,327,9.4,5.66,13.52,0.0,282,7.1,4.02,10.54,0.0,230,3.2,1.07,5.87,0.0,442,7.5,4.54,10.73,0.0,485,12.5,8.28,16.87,0.0,927,10.0,7.16,12.88,0.0,190476.0,136381.0,245333.0,True,False
NH,"Sep 25 -  Oct 1, 2020",5,Statewide,Statewide,1343622,45,777.0,,,,252,1.1,0.0,3.93,1.0,372,1.2,0.24,2.37,0.0,288,1.5,0.21,3.19,0.0,391,1.4,0.12,3.78,1.0,566,0.6,0.14,1.23,0.0,957,1.0,0.28,2.23,0.0,13436.0,3762.0,29963.0,False,True
NJ,"Sep 21 -  Oct 7, 2020",5,Statewide,Statewide,8881845,162,21.6,15.24,28.44,0.0,253,19.1,14.11,24.43,0.0,259,12.2,8.27,16.05,0.0,284,4.6,2.12,7.27,0.0,491,18.9,15.23,23.47,0.0,467,13.2,9.99,16.55,0.0,958,16.0,13.57,18.74,0.0,1421095.0,1205266.0,1664458.0,True,False
NM,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,2092434,157,5.4,1.65,10.24,0.0,274,3.8,1.67,6.58,0.0,275,2.2,0.61,4.23,0.0,273,1.7,0.0,3.75,1.0,404,3.3,1.22,5.74,0.0,575,3.8,1.99,5.88,0.0,979,3.6,2.29,5.07,0.0,75328.0,47917.0,106086.0,True,True
NV,"Sep 23 - Sep 26, 2020",5,Statewide,Statewide,2922849,245,10.0,5.28,14.9,0.0,245,8.1,4.73,12.2,0.0,245,7.7,4.4,11.64,0.0,245,3.8,1.29,6.45,0.0,392,7.2,4.23,9.84,0.0,588,8.5,5.71,11.78,0.0,980,7.8,5.85,9.94,0.0,227982.0,170987.0,290531.0,True,False
NY,"Sep 20 -  Oct 7, 2020",5,Statewide,Statewide,19618453,188,15.3,10.34,20.96,0.0,211,27.7,21.13,34.81,0.0,196,23.5,17.24,29.32,0.0,227,18.4,12.12,24.24,0.0,368,22.3,17.66,27.1,0.0,454,23.2,18.66,28.57,0.0,822,22.8,19.2,26.54,0.0,4473007.0,3766743.0,5206737.0,True,False
OH,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,11641879,144,2.5,0.0,5.51,1.0,270,3.5,1.26,5.98,0.0,274,1.6,0.31,3.26,0.0,288,0.5,0.0,1.45,1.0,412,2.3,0.68,4.12,0.0,564,2.5,0.97,4.12,0.0,976,2.4,1.26,3.64,0.0,279405.0,146688.0,423764.0,True,True
OK,"Sep 23 - Sep 29, 2020",5,Statewide,Statewide,3918137,235,7.9,4.35,12.49,0.0,248,5.6,2.64,9.65,0.0,244,2.6,0.7,4.95,0.0,252,5.3,2.4,9.15,0.0,366,5.7,2.91,8.72,0.0,613,5.5,3.51,7.79,0.0,979,5.6,3.78,7.36,0.0,219416.0,148106.0,288375.0,True,False
OR,"Sep 20 -  Oct 7, 2020",5,Statewide,Statewide,4081943,21,777.0,,,,369,1.2,0.29,2.7,0.0,249,2.1,0.55,4.52,0.0,333,0.9,0.0,2.03,1.0,421,4.5,0.74,10.99,1.0,551,0.5,0.11,1.02,0.0,972,2.5,0.57,5.68,1.0,102049.0,23267.0,231854.0,True,True
PA,"Sep 20 -  Oct 5, 2020",5,Statewide,Statewide,12791181,41,777.0,,,,736,13.4,10.84,15.82,0.0,291,7.5,4.55,10.92,0.0,187,2.2,0.0,4.95,1.0,866,15.8,12.27,19.85,0.0,389,5.8,2.16,11.1,0.0,1255,10.7,8.17,13.78,0.0,1368656.0,1045039.0,1762625.0,True,True
PR,"Sep 21 - Sep 28, 2020",5,Statewide,Statewide,3386941,245,1.3,0.0,3.17,1.0,245,3.9,1.26,7.1,0.0,245,3.8,1.34,7.56,0.0,245,3.1,1.03,6.17,0.0,386,4.3,2.01,7.06,0.0,594,2.2,0.96,3.64,0.0,980,3.2,1.88,4.71,0.0,108382.0,63674.0,159525.0,True,True
RI,"Sep 25 -  Oct 8, 2020",5,Statewide,Statewide,1056611,32,777.0,,,,317,3.9,1.78,6.34,0.0,263,4.7,2.24,7.71,0.0,252,2.9,0.82,5.37,0.0,350,2.5,0.96,4.39,0.0,514,5.8,3.09,9.31,0.0,864,4.2,2.57,6.27,0.0,44378.0,27155.0,66250.0,True,False
SC,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,4955925,80,11.9,4.94,19.89,0.0,211,10.7,6.3,15.82,0.0,261,7.2,3.75,11.18,0.0,264,3.4,1.17,6.3,0.0,369,7.0,4.11,10.93,0.0,447,11.0,7.08,15.6,0.0,816,9.1,6.39,11.78,0.0,450989.0,316684.0,583808.0,True,False
SD,"Sep 22 -  Oct 4, 2020",5,Statewide,Statewide,864289,6,777.0,,,,29,777.0,,,,18,777.0,,,,19,777.0,,,,42,777.0,,,,30,777.0,,,,72,777.0,,,,,,,False,
TN,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,6651089,240,13.3,8.87,18.78,0.0,245,11.1,6.49,16.05,0.0,241,4.0,1.56,7.35,0.0,250,3.9,1.48,6.59,0.0,433,9.2,6.16,12.92,0.0,543,9.0,5.72,12.15,0.0,976,9.1,6.83,11.4,0.0,605249.0,454269.0,758224.0,True,False
TX,"Sep 23 -  Oct 5, 2020",5,Statewide,Statewide,27885195,249,8.7,5.34,12.91,0.0,240,7.9,4.25,12.45,0.0,244,4.8,2.38,7.75,0.0,248,4.6,1.86,8.07,0.0,455,7.6,4.67,11.03,0.0,526,6.8,3.98,9.93,0.0,981,7.2,5.19,9.56,0.0,2007734.0,1447242.0,2665825.0,True,False
UT,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,3045350,66,777.0,,,,418,5.4,3.25,7.93,0.0,233,6.2,2.62,10.28,0.0,220,2.9,1.09,5.35,0.0,348,2.8,1.12,4.86,0.0,589,7.8,4.85,11.3,0.0,937,5.3,3.61,7.31,0.0,161404.0,109937.0,222615.0,True,False
VA,"Sep 21 -  Oct 5, 2020",5,Statewide,Statewide,8413774,13,777.0,,,,284,7.2,4.0,10.86,0.0,262,1.7,0.33,3.6,0.0,340,0.6,0.0,1.66,1.0,334,3.8,1.37,6.88,0.0,565,6.3,2.23,13.56,0.0,899,5.0,2.34,9.26,0.0,420689.0,196882.0,779115.0,True,True
VT,"Sep 25 -  Oct 8, 2020",5,Statewide,Statewide,624977,10,777.0,,,,222,0.6,0.0,1.98,1.0,140,0.0,0.0,2.6,2.0,142,1.3,0.0,4.4,1.0,159,0.4,0.0,1.47,1.0,355,0.6,0.0,1.7,1.0,514,0.5,0.0,1.19,1.0,3125.0,0.0,7437.0,False,True
WA,"Sep 22 -  Oct 8, 2020",5,Statewide,Statewide,7294336,140,2.7,0.0,6.08,1.0,307,2.4,0.82,4.42,0.0,241,2.9,0.92,5.7,0.0,336,0.7,0.0,1.82,1.0,433,2.2,0.71,4.06,0.0,591,2.4,1.01,4.07,0.0,1024,2.3,1.25,3.6,0.0,167770.0,91179.0,262596.0,True,True
WI,"Sep 23 -  Oct 6, 2020",5,Statewide,Statewide,5778394,82,1.4,0.0,4.91,1.0,305,3.7,1.66,6.45,0.0,333,5.1,2.64,8.08,0.0,258,1.4,0.0,3.1,0.0,445,3.5,1.53,6.18,0.0,533,2.8,1.55,4.29,0.0,978,3.1,1.96,4.62,0.0,179130.0,113257.0,266962.0,True,True
WV,"Sep 23 -  Oct 8, 2020",5,Statewide,Statewide,1829054,28,777.0,,,,321,1.5,0.25,3.0,0.0,326,1.1,0.0,2.52,0.0,284,3.2,0.94,6.26,0.0,438,2.7,0.44,6.43,1.0,521,3.7,0.9,8.7,0.0,959,3.2,1.11,6.18,0.0,58530.0,20302.0,113036.0,True,True
WY,"Sep 23 -  Oct 7, 2020",5,Statewide,Statewide,581836,3,777.0,,,,37,777.0,,,,62,777.0,,,,16,777.0,,,,65,777.0,,,,53,777.0,,,,118,4.2,0.68,9.25,0.0,24437.0,3956.0,53820.0,False,False
US,"Sep 20 -  Oct 8, 2020",5,"50 States, DC, & PR","50 States, DC, & PR",326289971,6371,8.8,7.82,9.63,0.0,14625,7.9,7.25,8.52,0.0,12573,5.7,5.07,6.36,0.0,12391,3.6,3.06,4.06,0.0,19583,7.2,6.63,7.7,0.0,26377,6.6,6.11,7.02,0.0,45960,6.8,6.49,7.2,0.0,22187718.0,21176219.0,23492878.0,True,False
AK,"Oct 6 - Oct 21, 2020",6,Statewide,Statewide,738516,13,777.0,,,,421,1.7,0.37,3.34,0.0,281,2.6,0.66,4.71,0.0,256,2.6,0.56,5.05,0.0,412,1.5,0.6,2.94,0.0,559,1.6,0.51,2.86,0.0,971,1.5,0.79,2.46,0.0,11078.0,5834.0,18167.0,False,False
AL,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,4864680,248,16.0,10.98,22.08,0.0,248,14.3,9.71,18.87,0.0,250,8.1,4.75,12.18,0.0,250,7.3,4.03,11.5,0.0,404,12.3,8.68,16.28,0.0,592,12.4,9.42,15.87,0.0,996,12.3,10.0,14.99,0.0,598356.0,486468.0,729216.0,True,False
AR,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,2990671,168,16.5,10.51,22.76,0.0,316,8.7,5.57,11.99,0.0,244,6.1,2.98,9.37,0.0,243,2.5,0.7,4.68,0.0,422,9.3,6.28,12.78,0.0,549,8.8,6.02,11.74,0.0,971,9.0,7.14,11.38,0.0,269160.0,213534.0,340338.0,True,False
AZ,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,6946685,23,777.0,,,,485,8.8,3.74,15.94,0.0,287,3.2,0.39,7.91,1.0,145,3.5,0.18,8.81,1.0,135,5.7,1.11,11.62,0.0,805,4.0,2.76,5.25,0.0,940,4.8,2.55,7.89,0.0,333441.0,177140.0,548093.0,False,True
CA,"Oct 8 - Oct 13, 2020",6,Statewide,Statewide,39148760,245,4.7,1.83,7.86,0.0,245,5.7,2.46,9.13,0.0,245,3.1,0.8,5.78,0.0,245,2.4,0.71,4.58,0.0,392,3.9,1.63,6.46,0.0,588,5.1,3.05,7.42,0.0,980,4.5,2.9,6.42,0.0,1761694.0,1135314.0,2513350.0,True,False
CO,"Oct 8 - Oct 19, 2020",6,Statewide,Statewide,5531141,242,8.4,3.72,14.65,0.0,246,3.9,1.52,6.83,0.0,245,3.1,1.05,5.53,0.0,245,1.4,0.28,3.06,1.0,437,5.1,2.38,8.37,0.0,541,3.8,1.96,5.94,0.0,978,4.4,2.82,6.51,0.0,243370.0,155978.0,360077.0,True,True
CT,"Oct 8 - Oct 13, 2020",6,Statewide,Statewide,3581504,246,2.8,0.86,5.17,0.0,245,2.3,0.47,4.62,0.0,248,1.5,0.0,3.39,0.0,249,2.6,0.76,4.8,0.0,427,2.7,1.11,4.57,0.0,561,1.9,0.76,3.35,0.0,988,2.3,1.32,3.52,0.0,82375.0,47276.0,126069.0,True,False
DC,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,684498,81,7.4,1.87,13.79,0.0,425,7.0,4.35,9.83,0.0,218,7.9,4.35,12.41,0.0,303,3.8,1.55,6.44,0.0,465,7.8,5.11,10.95,0.0,562,5.9,3.69,8.53,0.0,1027,6.8,4.99,8.89,0.0,46546.0,34156.0,60852.0,True,False
DE,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,949495,45,777.0,,,,292,9.8,6.17,14.71,0.0,293,3.3,1.25,5.77,0.0,350,2.4,0.77,4.78,0.0,400,4.1,1.98,6.88,0.0,580,10.4,6.42,15.05,0.0,980,7.4,4.95,9.88,0.0,70263.0,47000.0,93810.0,True,False
FL,"Oct 9 -  Oct 9, 2020",6,Statewide,Statewide,20598139,246,6.1,2.89,9.68,0.0,245,11.7,6.62,16.82,0.0,246,6.6,3.55,10.23,0.0,246,4.1,1.51,7.3,0.0,386,7.6,4.44,11.18,0.0,597,8.4,5.95,11.51,0.0,983,8.0,6.01,10.22,0.0,1647851.0,1237948.0,2105130.0,True,False
GA,"Oct 6 - Oct 13, 2020",6,Statewide,Statewide,10297484,249,6.6,3.6,10.13,0.0,250,11.1,6.61,16.3,0.0,259,6.5,3.34,10.43,0.0,250,6.2,3.01,10.01,0.0,442,8.2,5.19,11.67,0.0,566,8.8,5.47,12.72,0.0,1008,8.5,6.17,11.18,0.0,875286.0,635355.0,1151259.0,True,False
HI,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,1422029,16,777.0,,,,204,1.6,0.0,3.68,0.0,21,777.0,,,,198,3.0,0.69,6.23,0.0,137,1.2,0.0,2.93,0.0,302,2.8,0.32,6.82,1.0,439,2.0,0.55,4.19,0.0,28441.0,7821.0,59583.0,False,True
