Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2019,HHS3,HHS Region 3,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,4.1,4.1,,,2.8,5.8,73.0,62167.0,Disability Type,Self-care Disability,,,DISEST,RACEIND,82,RACE03,AGEADJPREV,DISTYPE,SELFDIS,,
2019,SD,South Dakota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,9.1,9.1,,,6.8,12.0,185.0,19164.0,Disability Type,Hearing Disability,,,DISEST,AGEIND,46,AGE02,PREV,DISTYPE,HEARDIS,,
2019,IN,Indiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,3.8,3.8,,,3.1,4.6,182.0,97646.0,Disability Type,Self-care Disability,,,DISEST,SEXIND,18,SEX01,AGEADJPREV,DISTYPE,SELFDIS,,
2019,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,16.5,16.5,,,12.7,21.2,88.0,2578.0,Disability Type,Mobility Disability,,,DISEST,VETIND,66,VET1,AGEADJPREV,DISTYPE,MOBDIS,,
2019,VT,Vermont,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,9.0,9.0,,,7.4,11.0,215.0,20808.0,Disability Type,Cognitive Disability,,,DISEST,SEXIND,50,SEX01,AGEADJPREV,DISTYPE,COGDIS,,
2019,WI,Wisconsin,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,RACEIND,55,RACE03,AGEADJPREV,DISTYPE,SELFDIS,,
2019,WY,Wyoming,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,66.4,66.4,,,57.8,74.0,134.0,25738.0,Disability Status,No Disability,,,DISEST,RACEIND,56,RACE03,AGEADJPREV,DISSTAT,NODIS,,
2019,NH,New Hampshire,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Hearing Disability,,,DISEST,RACEIND,33,RACE03,AGEADJPREV,DISTYPE,HEARDIS,,
2019,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,27.8,27.8,,,26.1,29.6,1702.0,558577.0,Disability Type,Mobility Disability,,,DISEST,AGEIND,39,AGE03,PREV,DISTYPE,MOBDIS,,
2019,CT,Connecticut,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,13.6,13.6,,,12.2,15.1,452.0,127818.0,Disability Type,Mobility Disability,,,DISEST,AGEIND,9,AGE02,PREV,DISTYPE,MOBDIS,,
2019,NY,New York,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,3.7,3.7,,,2.4,5.5,52.0,74473.0,Disability Type,Hearing Disability,,,DISEST,RACEIND,36,RACE02,AGEADJPREV,DISTYPE,HEARDIS,,
2019,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,7.9,7.9,,,6.5,9.6,151.0,134827.0,Disability Type,Vision Disability,,,DISEST,SEXIND,22,SEX01,AGEADJPREV,DISTYPE,VISDIS,,
2019,SC,South Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,55.1,55.1,,,52.7,57.6,1582.0,500063.0,Disability Status,No Disability,,,DISEST,AGEIND,45,AGE03,PREV,DISSTAT,NODIS,,
2019,MA,Massachusetts,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,3.3,3.3,,,2.8,3.9,274.0,175033.0,Disability Type,Self-care Disability,,,DISEST,VETIND,25,VET2,AGEADJPREV,DISTYPE,SELFDIS,,
2019,ME,Maine,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,12.7,12.7,,,6.9,22.1,24.0,2539.0,Disability Type,Vision Disability,,,DISEST,RACEIND,23,RACE04,AGEADJPREV,DISTYPE,VISDIS,,
2019,AR,Arkansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,5,RACE03,AGEADJPREV,DISTYPE,VISDIS,,
2019,HHS9,HHS Region 9,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,5.8,5.8,,,5.3,6.4,1552.0,1247047.0,Disability Type,Hearing Disability,,,DISEST,RACEIND,88,RACE01,AGEADJPREV,DISTYPE,HEARDIS,,
2019,CT,Connecticut,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,5.9,5.9,,,5.0,6.9,200.0,54903.0,Disability Type,Independent Living Disability,,,DISEST,AGEIND,9,AGE02,PREV,DISTYPE,INDDIS,,
2019,KS,Kansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Mobility Disability,,,DISEST,RACEIND,20,RACE05,AGEADJPREV,DISTYPE,MOBDIS,,
2019,IN,Indiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,9.2,9.2,,,8.0,10.4,300.0,96920.0,Disability Type,Cognitive Disability,,,DISEST,AGEIND,18,AGE03,PREV,DISTYPE,COGDIS,,
2019,IA,Iowa,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,4.0,4.0,,,3.3,4.9,139.0,21690.0,Disability Type,Self-care Disability,,,DISEST,AGEIND,19,AGE03,PREV,DISTYPE,SELFDIS,,
2019,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,78.6,78.6,,,75.5,81.5,834.0,204280.0,Disability Status,No Disability,,,DISEST,SEXIND,11,SEX01,AGEADJPREV,DISSTAT,NODIS,,
2019,CO,Colorado,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,8.9,8.9,,,7.0,11.2,183.0,55607.0,Disability Type,Hearing Disability,,,DISEST,VETIND,8,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2019,MN,Minnesota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,8.3,8.3,,,5.9,11.6,46.0,12102.0,Disability Type,Mobility Disability,,,DISEST,RACEIND,27,RACE03,AGEADJPREV,DISTYPE,MOBDIS,,
2019,HHS6,HHS Region 6,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,9.5,9.5,,,7.4,12.0,145.0,47161.0,Disability Type,Hearing Disability,,,DISEST,RACEIND,85,RACE04,AGEADJPREV,DISTYPE,HEARDIS,,
2019,SC,South Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,13.3,13.3,,,11.7,15.2,301.0,169574.0,Disability Type,Cognitive Disability,,,DISEST,AGEIND,45,AGE02,PREV,DISTYPE,COGDIS,,
2019,WI,Wisconsin,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,3.4,3.4,,,2.7,4.3,150.0,145155.0,Disability Type,Self-care Disability,,,DISEST,VETIND,55,VET2,AGEADJPREV,DISTYPE,SELFDIS,,
2019,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,15.4,15.4,,,9.4,24.2,16.0,1734.0,Disability Type,Mobility Disability,,,DISEST,RACEIND,11,RACE04,AGEADJPREV,DISTYPE,MOBDIS,,
2019,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Independent Living Disability,,,DISEST,RACEIND,32,RACE04,AGEADJPREV,DISTYPE,INDDIS,,
2019,FL,Florida,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,55.3,55.3,,,52.8,57.7,3509.0,2395623.0,Disability Status,No Disability,,,DISEST,AGEIND,12,AGE03,PREV,DISSTAT,NODIS,,
2019,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",%,Age-adjusted Prevalence,36.4,36.4,,,31.7,41.4,339.0,15746.0,Disability Status,Any Disability,,,DISEST,RACEIND,66,RACE06,AGEADJPREV,DISSTAT,DISABL,,
2019,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,23.3,23.3,,,18.4,29.0,86.0,50355.0,Disability Type,Cognitive Disability,,,DISEST,RACEIND,40,RACE07,AGEADJPREV,DISTYPE,COGDIS,,
2019,NY,New York,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,6.2,6.2,,,5.5,7.0,682.0,508236.0,Disability Type,Independent Living Disability,,,DISEST,RACEIND,36,RACE01,AGEADJPREV,DISTYPE,INDDIS,,
2019,OR,Oregon,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,19.4,19.4,,,14.1,26.2,44.0,16579.0,Disability Type,Mobility Disability,,,DISEST,RACEIND,41,RACE04,AGEADJPREV,DISTYPE,MOBDIS,,
2019,IL,Illinois,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,3.9,3.9,,,3.2,4.6,200.0,354581.0,Disability Type,Vision Disability,,,DISEST,VETIND,17,VET2,AGEADJPREV,DISTYPE,VISDIS,,
2019,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,13.8,13.8,,,12.2,15.5,340.0,193922.0,Disability Type,Cognitive Disability,,,DISEST,SEXIND,40,SEX01,AGEADJPREV,DISTYPE,COGDIS,,
2019,IA,Iowa,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Hearing Disability,,,DISEST,RACEIND,19,RACE07,AGEADJPREV,DISTYPE,HEARDIS,,
2019,HHS9,HHS Region 9,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,5.9,5.9,,,5.2,6.6,1108.0,990057.0,Disability Type,Independent Living Disability,,,DISEST,RACEIND,88,RACE01,AGEADJPREV,DISTYPE,INDDIS,,
2019,OR,Oregon,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,6.2,6.2,,,5.1,7.7,123.0,65120.0,Disability Type,Hearing Disability,,,DISEST,AGEIND,41,AGE02,PREV,DISTYPE,HEARDIS,,
2019,MS,Mississippi,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,RACEIND,28,RACE04,AGEADJPREV,DISTYPE,SELFDIS,,
2019,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,26.6,26.6,,,25.5,27.8,4145.0,627289.0,Disability Type,Mobility Disability,,,DISEST,AGEIND,86,AGE03,PREV,DISTYPE,MOBDIS,,
2019,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,16.1,16.1,,,12.8,20.0,401.0,182429.0,Disability Type,Mobility Disability,,,DISEST,VETIND,39,VET1,AGEADJPREV,DISTYPE,MOBDIS,,
2019,NY,New York,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Cognitive Disability,,,DISEST,RACEIND,36,RACE07,AGEADJPREV,DISTYPE,COGDIS,,
2019,RI,Rhode Island,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,11.3,11.3,,,9.8,13.0,395.0,47520.0,Disability Type,Mobility Disability,,,DISEST,SEXIND,44,SEX01,AGEADJPREV,DISTYPE,MOBDIS,,
2019,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,14.1,14.1,,,12.3,16.1,330.0,213329.0,Disability Type,Cognitive Disability,,,DISEST,AGEIND,29,AGE02,PREV,DISTYPE,COGDIS,,
2019,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Cognitive Disability,,,DISEST,RACEIND,86,RACE06,AGEADJPREV,DISTYPE,COGDIS,,
2019,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,34.7,34.7,,,32.8,36.7,1439.0,1056937.0,Disability Status,Any Disability,,,DISEST,VETIND,22,VET2,AGEADJPREV,DISSTAT,DISABL,,
2019,MN,Minnesota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,14.2,14.2,,,9.1,21.4,26.0,7248.0,Disability Type,Independent Living Disability,,,DISEST,RACEIND,27,RACE07,AGEADJPREV,DISTYPE,INDDIS,,
2019,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,6.0,6.0,,,4.9,7.2,215.0,46948.0,Disability Type,Self-care Disability,,,DISEST,SEXIND,54,SEX02,AGEADJPREV,DISTYPE,SELFDIS,,
2019,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,AGEIND,66,AGE03,PREV,DISTYPE,SELFDIS,,
2019,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,9.5,9.5,,,6.5,13.7,60.0,47472.0,Disability Type,Vision Disability,,,DISEST,AGEIND,32,AGE03,PREV,DISTYPE,VISDIS,,
2019,MA,Massachusetts,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,4.7,4.7,,,3.9,5.8,126.0,84689.0,Disability Type,Vision Disability,,,DISEST,AGEIND,25,AGE02,PREV,DISTYPE,VISDIS,,
2019,AZ,Arizona,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,5.0,5.0,,,4.1,6.2,395.0,160845.0,Disability Type,Hearing Disability,,,DISEST,SEXIND,4,SEX02,AGEADJPREV,DISTYPE,HEARDIS,,
