Disease,MMWR year,MMWR week,Current week,Current week_ flag,Cum 2017,Cum 2017_ flag,5-year weekly average§,5-year weekly average§_ flag,Total cases reported  2016,Total cases reported  2016_ flag,Total cases reported 2015,Total cases reported 2015_ flag,Total cases reported 2014,Total cases reported 2014_ flag,Total cases reported 2013,Total cases reported 2013_ flag,Total cases reported 2012,Total cases reported 2012_ flag,States reporting cases during current week (No.) 
"Viral hemorrhagic fever****, Lujo virus",2017.0,2.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Yellow fever,2017.0,2.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,2.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Q fever, chronic**",2017.0,2.0,1.0,,1.0,,1.0,,28.0,,34.0,,36.0,,33.0,,22.0,,PA (1 )
"Viral hemorrhagic fever****, Marburg fever",2017.0,2.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, foodborne",2017.0,2.0,,-,,-,0.0,,33.0,,37.0,,15.0,,4.0,,27.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,2.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,2.0,,-,,-,6.0,,175.0,,896.0,,,NN,,NN,,NN,
"Rabies, human",2017.0,2.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
Measles***,2017.0,2.0,2.0,,4.0,,7.0,,79.0,,188.0,,667.0,,187.0,,55.0,,CA (2 )
"Arboviral diseases¶,** Powassan virus disease",2017.0,2.0,,-,,-,,-,13.0,,7.0,,8.0,,12.0,,7.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,2.0,,-,,-,0.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,2.0,,-,,-,0.0,,6.0,,6.0,,8.0,,8.0,,15.0,,
Plague,2017.0,2.0,,-,,-,,-,,-,16.0,,10.0,,4.0,,4.0,,
"Botulism, infant",2017.0,2.0,,-,1.0,,3.0,,126.0,,138.0,,127.0,,136.0,,123.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,2.0,2.0,,2.0,,3.0,,97.0,,183.0,,212.0,,248.0,,134.0,,"ME (1 ), OH (1 )"
"Q fever, acute**",2017.0,2.0,,-,,-,2.0,,108.0,,122.0,,132.0,,137.0,,113.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,2.0,,-,,-,1.0,,38.0,,64.0,,59.0,,71.0,,65.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,2.0,,-,,-,0.0,,15.0,,21.0,,25.0,,17.0,,20.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,2.0,2.0,,2.0,,8.0,,318.0,,367.0,,349.0,,338.0,,354.0,,"NYC (1 ), MD (1 )"
"Viral hemorrhagic fever****, Lassa fever",2017.0,2.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,2.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,2.0,3.0,,5.0,,6.0,,167.0,,120.0,,196.0,,298.0,,260.0,,"VA (1 ), SC (1 ), FL (1 )"
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,2.0,,-,,-,,-,4.0,,11.0,,11.0,,22.0,,2.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,2.0,2.0,,5.0,,5.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"FL (1 ), NV (1 )"
"Botulism, total",2017.0,2.0,,-,1.0,,3.0,,183.0,,195.0,,161.0,,152.0,,168.0,,
Brucellosis,2017.0,2.0,1.0,,1.0,,2.0,,115.0,,126.0,,92.0,,99.0,,114.0,,NYC (1 )
SARS-CoV,2017.0,2.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,2.0,,-,1.0,,2.0,,126.0,,135.0,,266.0,,233.0,,263.0,,
"Syphilis, congenital¶¶¶",2017.0,2.0,,-,,-,8.0,,440.0,,493.0,,458.0,,348.0,,322.0,,
"Polio virus Infection, nonparalytic**",2017.0,2.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,2.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,2.0,5.0,,8.0,,5.0,,229.0,,167.0,,39.0,,34.0,,37.0,,"OH (2 ), GA (1 ), FL (1 ), AZ (1 )"
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,2.0,,-,,-,3.0,,263.0,,274.0,,250.0,,329.0,,274.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,2.0,,-,2.0,,5.0,,147.0,,175.0,,128.0,,141.0,,115.0,,
"Zika virus disease, non-congenital††††  ",2017.0,2.0,1.0,,2.0,,10.0,,4818.0,,,NN,,NN,,NN,,NN,PA (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,2.0,1.0,,1.0,,1.0,,22.0,,29.0,,40.0,,31.0,,30.0,,AZ (1 )
Smallpox,2017.0,2.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, total**",2017.0,2.0,1.0,,1.0,,3.0,,136.0,,156.0,,168.0,,170.0,,135.0,,
Streptococcal toxic-shock syndrome**,2017.0,2.0,,-,,-,6.0,,243.0,,335.0,,259.0,,224.0,,194.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,2.0,,-,,-,,-,9.0,,23.0,,10.0,,1.0,,3.0,,
Leptospirosis**,2017.0,2.0,,-,,-,0.0,,58.0,,40.0,,38.0,,,NN,,NN,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,2.0,,-,,-,,-,34.0,,55.0,,80.0,,85.0,,78.0,,
Tularemia,2017.0,2.0,,-,,-,1.0,,199.0,,314.0,,180.0,,203.0,,149.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,2.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,2.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
Psittacosis**,2017.0,2.0,,-,,-,0.0,,9.0,,4.0,,8.0,,6.0,,2.0,,
Hansen's disease**,2017.0,2.0,1.0,,1.0,,2.0,,43.0,,89.0,,88.0,,81.0,,82.0,,NYC (1 )
Cyclosporiasis**,2017.0,2.0,,-,,-,2.0,,499.0,,645.0,,388.0,,784.0,,123.0,,
"Botulism, other (wound and unspecified)",2017.0,2.0,,-,,-,0.0,,24.0,,20.0,,19.0,,12.0,,18.0,,
"Hepatitis B, perinatal virus infection§§",2017.0,2.0,,-,,-,1.0,,25.0,,37.0,,47.0,,48.0,,40.0,,
Listeriosis,2017.0,2.0,3.0,,9.0,,11.0,,692.0,,768.0,,769.0,,735.0,,727.0,,"NY (1 ), MD (1 ), FL (1 )"
Chancroid,2017.0,2.0,,-,,-,0.0,,11.0,,11.0,,,-,,-,15.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,2.0,,-,1.0,,4.0,,97.0,,120.0,,123.0,,142.0,,161.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,2.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,2.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,2.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,2.0,1.0,,1.0,,3.0,,73.0,,111.0,,89.0,,99.0,,110.0,,SC (1 )
Cyclosporiasis**,2017.0,3.0,,-,,-,1.0,,499.0,,645.0,,388.0,,784.0,,123.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,3.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Tularemia,2017.0,3.0,,-,,-,0.0,,201.0,,314.0,,180.0,,203.0,,149.0,,
"Botulism, total",2017.0,3.0,,-,1.0,,3.0,,183.0,,195.0,,161.0,,152.0,,168.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,3.0,,-,3.0,,3.0,,98.0,,120.0,,123.0,,142.0,,161.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,3.0,10.0,,17.0,,6.0,,167.0,,120.0,,196.0,,298.0,,260.0,,"PA (1 ), OH (3 ), FL (3 ), AZ (1 ), OR (1 ), CA (1 )"
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,3.0,,-,,-,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,3.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Viral hemorrhagic fever****, Lujo virus",2017.0,3.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,3.0,,-,,-,6.0,,181.0,,896.0,,,NN,,NN,,NN,
"Poliomyelitis, paralytic",2017.0,3.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Rabies, human",2017.0,3.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
Trichinellosis**,2017.0,3.0,,-,,-,0.0,,20.0,,14.0,,14.0,,22.0,,18.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,3.0,,-,,-,0.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,3.0,,-,,-,1.0,,22.0,,29.0,,40.0,,31.0,,30.0,,
Listeriosis,2017.0,3.0,3.0,,15.0,,8.0,,696.0,,768.0,,769.0,,735.0,,727.0,,"NY (2 ), TN (1 )"
"Arboviral diseases¶,** La Crosse virus disease",2017.0,3.0,,-,,-,,-,34.0,,55.0,,80.0,,85.0,,78.0,,
Plague,2017.0,3.0,,-,,-,,-,,-,16.0,,10.0,,4.0,,4.0,,
"Q fever, acute**",2017.0,3.0,,-,,-,2.0,,107.0,,122.0,,132.0,,137.0,,113.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,3.0,1.0,,3.0,,1.0,,126.0,,135.0,,266.0,,233.0,,263.0,,NY (1 )
"Influenza-associated pediatric mortality**,¶¶",2017.0,3.0,3.0,,8.0,,5.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"SC (1 ), FL (1 ), CA (1 )"
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,3.0,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2017.0,3.0,,-,,-,,-,,-,,-,,-,,-,,-,
Chancroid,2017.0,3.0,,-,,-,0.0,,11.0,,11.0,,,-,,-,15.0,,
Leptospirosis**,2017.0,3.0,,-,,-,0.0,,57.0,,40.0,,38.0,,,NN,,NN,
"Polio virus Infection, nonparalytic**",2017.0,3.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,3.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Streptococcal toxic-shock syndrome**,2017.0,3.0,,-,4.0,,6.0,,253.0,,335.0,,259.0,,224.0,,194.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,3.0,,-,,-,,-,4.0,,11.0,,11.0,,22.0,,2.0,,
Measles***,2017.0,3.0,2.0,,9.0,,7.0,,79.0,,188.0,,667.0,,187.0,,55.0,,CA (2 )
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,3.0,1.0,,2.0,,2.0,,271.0,,274.0,,250.0,,329.0,,274.0,,AZ (1 )
"Syphilis, congenital¶¶¶",2017.0,3.0,,-,3.0,,7.0,,447.0,,493.0,,458.0,,348.0,,322.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,3.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Marburg fever",2017.0,3.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, other (wound and unspecified)",2017.0,3.0,,-,,-,0.0,,24.0,,20.0,,19.0,,12.0,,18.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,3.0,,-,1.0,,2.0,,74.0,,111.0,,89.0,,99.0,,110.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,3.0,,-,,-,0.0,,16.0,,21.0,,25.0,,17.0,,20.0,,
SARS-CoV,2017.0,3.0,,-,,-,,-,,-,,-,,-,,-,,-,
Brucellosis,2017.0,3.0,,-,1.0,,1.0,,114.0,,126.0,,92.0,,99.0,,114.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,3.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
"Botulism, infant",2017.0,3.0,,-,1.0,,2.0,,126.0,,138.0,,127.0,,136.0,,123.0,,
Cholera,2017.0,3.0,,-,,-,0.0,,4.0,,5.0,,5.0,,14.0,,17.0,,
"Q fever, chronic**",2017.0,3.0,1.0,,2.0,,0.0,,29.0,,34.0,,36.0,,33.0,,22.0,,TN (1 )
"Botulism, foodborne",2017.0,3.0,,-,,-,0.0,,33.0,,37.0,,15.0,,4.0,,27.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,3.0,1.0,,8.0,,5.0,,231.0,,167.0,,39.0,,34.0,,37.0,,OH (1 )
Yellow fever,2017.0,3.0,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever (caused by Salmonella typhi),2017.0,3.0,7.0,,11.0,,7.0,,325.0,,367.0,,349.0,,338.0,,354.0,,"OH (2 ), FL (5 )"
Vancomycin-intermediate Staphylococcus aureus**,2017.0,3.0,1.0,,3.0,,2.0,,98.0,,183.0,,212.0,,248.0,,134.0,,FL (1 )
"Arboviral diseases¶,** Powassan virus disease",2017.0,3.0,,-,,-,,-,13.0,,7.0,,8.0,,12.0,,7.0,,
"Zika virus disease, non-congenital††††  ",2017.0,3.0,1.0,,8.0,,12.0,,4842.0,,,NN,,NN,,NN,,NN,TX (1 )
"Hepatitis B, perinatal virus infection§§",2017.0,3.0,1.0,,1.0,,1.0,,25.0,,37.0,,47.0,,48.0,,40.0,,CA (1 )
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,3.0,,-,,-,0.0,,6.0,,6.0,,8.0,,8.0,,15.0,,
Anthrax,2017.0,3.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Lassa fever",2017.0,3.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
Novel influenza A virus infections§§§,2017.0,3.0,,-,,-,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,3.0,,-,3.0,,5.0,,149.0,,175.0,,128.0,,141.0,,115.0,,
Hansen's disease**,2017.0,3.0,1.0,,3.0,,1.0,,43.0,,89.0,,88.0,,81.0,,82.0,,FL (1 )
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,3.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Psittacosis**,2017.0,3.0,,-,,-,0.0,,9.0,,4.0,,8.0,,6.0,,2.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,3.0,,-,,-,1.0,,46.0,,64.0,,59.0,,71.0,,65.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,3.0,,-,,-,0.0,,,-,3.0,,,-,,-,2.0,,
Diphtheria,2017.0,3.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,3.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, total**",2017.0,3.0,1.0,,2.0,,2.0,,136.0,,156.0,,168.0,,170.0,,135.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,4.0,,-,,-,1.0,,16.0,,21.0,,25.0,,17.0,,20.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,4.0,5.0,,15.0,,5.0,,238.0,,167.0,,39.0,,34.0,,37.0,,"NYC (1 ), NE (1 ), FL (2 ), AZ (1 )"
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,4.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
Cholera,2017.0,4.0,,-,,-,0.0,,4.0,,5.0,,5.0,,14.0,,17.0,,
"Hepatitis B, perinatal virus infection§§",2017.0,4.0,,-,2.0,,1.0,,25.0,,37.0,,47.0,,48.0,,40.0,,
Listeriosis,2017.0,4.0,7.0,,30.0,,8.0,,701.0,,768.0,,769.0,,735.0,,727.0,,"NY (2 ), OH (1 ), FL (3 ), TX (1 )"
"Zika virus disease, non-congenital††††  ",2017.0,4.0,2.0,,25.0,,14.0,,4866.0,,,NN,,NN,,NN,,NN,"FL (1 ), TX (1 )"
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,4.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,4.0,1.0,,4.0,,3.0,,98.0,,183.0,,212.0,,248.0,,134.0,,MD (1 )
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,4.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Streptococcal toxic-shock syndrome**,2017.0,4.0,1.0,,5.0,,6.0,,256.0,,335.0,,259.0,,224.0,,194.0,,CO (1 )
Vancomycin-resistant Staphylococcus aureus**,2017.0,4.0,,-,,-,0.0,,,-,3.0,,,-,,-,2.0,,
Brucellosis,2017.0,4.0,1.0,,2.0,,1.0,,114.0,,126.0,,92.0,,99.0,,114.0,,PA (1 )
Trichinellosis**,2017.0,4.0,,-,,-,0.0,,20.0,,14.0,,14.0,,22.0,,18.0,,
Yellow fever,2017.0,4.0,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2017.0,4.0,1.0,,1.0,,0.0,,202.0,,314.0,,180.0,,203.0,,149.0,,PA (1 )
