N° du contrat,Objet du contrat,Type d'acte,Projet associé,Nature du besoin,Lieu d'exécution/de livraison,Origine du financement,Date d'entrée en vigueur,Durée (en mois),Montant maximum (€HT),Attributaires
20-EI0238,Administrative and Financial Manager,Expert individuel (CPS),Appui à la protection sociale jordanienne,Prestations intellectuelles et expertise individuelle,Jordanie,Union Européenne,2020-02-02,24.0,79200.0,Hekmat Al Manaseer
20-EI0403,Expert international en services publics - Mission de démarrage RCA,Expert individuel (CPS),Fonds de Préparation de Projet Composante 2 : Préparation - Instruction,Prestations intellectuelles et expertise individuelle,France,Agence Française de Développement (AFD),2020-02-04,3.0,18700.0,WONE Mouhamed El Habib
20-EI0342,"CPS 1 TEAM Appuyer le CCM de la République du Congo à l’élaboration de la demande de financement TB/VIH pour la période 2021-2023
Poste 3 : Expert.e international.e en gestion des approvisionnements et des stocks (GAS)
Poste 4 : Expert.e international.e - PTME VIH",Expert individuel (CPS),"Appui à la rédaction des requêtes de financement au Fonds mondial  TB/VIH, paludisme et RSS",Prestations intellectuelles et expertise individuelle,"Congo, République du",MAE-Fr - Initiative 5%,2020-02-07,13.0,71520.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-MR0386,Publications évaluations Initiative 5%,Marché,Suivi évaluation 2019,Services,France,MAE-Fr - Initiative 5%,2020-02-10,12.0,18900.0,LUCIOLE STE
20-EI0379,CPS_TEAM_20SANIN803,Expert individuel (CPS),Appuyer le PNT aux différentes étapes du processus d’élaboration des requêtes de financement TB/VIH pour la période 2021-2023,Prestations intellectuelles et expertise individuelle,Burkina Faso,MAE-Fr - Initiative 5%,2020-02-11,12.0,177505.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-EI0499,Contrat Assistant CRJ,Expert individuel (CPS),Appui à la Direction Générale de la Comptabilité pour la préparation de la mise en œuvre d’un système comptable en droits constatés,Prestations intellectuelles et expertise individuelle,Algérie,Union Européenne,2020-02-12,23.0,36000.0,KACEM Anissa
20-EI0418,CPS_ICI SANTE_20SANIN806,Expert individuel (CPS),L’objectif général de la mission est d’apporter un appui au PNLP de Côte d’Ivoire pour l’élaboration et la budgétisation du PSN 2021-2025 et de la demande de financement (NFM3) 2021-2023.,Prestations intellectuelles et expertise individuelle,Côte d'Ivoire,MAE-Fr - Initiative 5%,2020-02-17,12.0,46059.0,I.C.I. SANTE
20-MR0450,"Achat de trois (3) Motos au profit d’Expertise France, dans le cadre du Projet Songo dans la région sanitaire 5 de la République centrafricaine",Marché,Projet Songo,Fournitures,Centrafrique (Republique de),MAE-Fr,2020-02-19,6.0,21175.17,ETS RAMCO (Youssouf Issa)
20-EI0350,"Appuyer l’ICN du Burundi dans l’élaboration des requêtes de financement TB/ VIH et Paludisme pour la période 2021-2023
LOT 2 : Expert.e budgétisation subvention TB/VIH
LOT 3 : Expert.e budgétisation subvention Paludisme",Expert individuel (CPS),Appuyer l’ICN du Burundi dans l’élaboration des requêtes de financement TB/ VIH et Paludisme pour la période 2021-2023,Prestations intellectuelles et expertise individuelle,Burundi,MAE-Fr - Initiative 5%,2020-02-20,12.0,50245.0,I.C.I. SANTE
20-AC0308,WAGE PORTAGE ANGOLA,Marché,Programa de Apoio ao Ensino Superior- Angola,Services,Angola,Union Européenne,2020-02-21,58.0,100000.0,NOX
20-EI1068,Local Project Coordinator,Expert individuel (CPS),Projet d’assistance technique pour la conception des réformes nécessaires à la mise en place d’une administration électronique au Vietnam  - phase 2,Prestations intellectuelles et expertise individuelle,Viêt Nam,Agence Française de Développement (AFD),2020-02-24,11.0,16800.0,LUU DANH Hieu
20-EI0522,"Renforcement des capacités des programmes nationaux - Appuyer l’élaboration d’un manuel de procédures harmonisé et former les équipes de programmes nationaux
Lot 1 et 2 Oasys SARL",Expert individuel (CPS),Appuyer l'élaboration d'un mannuel de procédures harmonisé plus conformes aux procédures des partenaires financiers,Prestations intellectuelles et expertise individuelle,Burundi,MAE-Fr - Initiative 5%,2020-02-27,12.0,66054.0,OASYS FINANCIAL MANAGT SERVICES
20-EI1792,Liaison Officer,Expert individuel (CPS),Disseminating entrepreneurship in libya through bootcamps,Prestations intellectuelles et expertise individuelle,Libye,Organisation des Nations Unies,2020-02-28,12.0,28600.0,EXPAT MANAGEMENT
19-SB0764,"Communication sociale, TIC et médias pour le renforcement du système de santé communautaire au Tchad_17SANIN211_RAES",Subvention,"Communication sociale, TIC et médias pour le renforcement du système de santé communautaire au Tchad",Subvention,Tchad,MAE-Fr - Initiative 5%,2020-03-01,24.0,733319.01,ONG RAES
19-MR0834,Achat de matériel informatique au profit de la direction générale des impôts,Marché,State Building Contract II,Fournitures,Haïti,Union Européenne,2020-03-06,1.0,57500.0,Thompson Electronics SA
21-EI1191,Avanant du contrat N°21-EI1186 sur ATLAS de Mohamed ARIBI,Expert individuel (CPS),PSDP1 Private Sector Development Phase 1,Prestations intellectuelles et expertise individuelle,Libye,Union Européenne,2020-03-09,13.0,21780.0,ARIBI MOHAMED GIUMA
20-EI0585,Lot 2 - Appui à l’élaboration de la requête de financement  paludisme du Sénégal 2021-2023,Expert individuel (CPS),Appui à l'élaboration de requête de financement paludisme 2021-2023,Prestations intellectuelles et expertise individuelle,Sénégal,MAE-Fr - Initiative 5%,2020-03-09,12.0,21960.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-AC0564,Suivi Evaluation,Marché,Appui àl'Ethiopie pour l'émergence des PPP,Prestations intellectuelles et expertise individuelle,Ethiopie,Agence Française de Développement (AFD),2020-03-09,35.0,50000.0,TECHNOPOLIS FRANCE
20-EI0629,19SANIN888 CPS ICI Santé Experts 1&2,Marché,"Appui au CCM Maroc pour la requête de financement TB/VIH, dans le cadre de la nouvelle allocation 2021-2023",Prestations intellectuelles et expertise individuelle,Maroc,MAE-Fr - Initiative 5%,2020-03-15,7.0,58720.0,I.C.I. SANTE
20-EI0747,Juna MILUKA - Local technical expert of the Technical Assistance Program in support to Gender Equality in Access to Economic Opportunities,Expert individuel (CPS),Preparatory Phase (Part 2) Gender equality in access to economic opportunities,Prestations intellectuelles et expertise individuelle,Albanie,Agence Française de Développement (AFD),2020-03-16,7.0,81750.0,Juna MILUKA
20-EI0744,Claire GUIRAUD - Team Leader of the Technical Assistance Program in support to Gender Equality in Access to Economic Opportunities in Albania,Expert individuel (CPS),Preparatory Phase (Part 2) Gender equality in access to economic opportunities,Prestations intellectuelles et expertise individuelle,Albanie,Agence Française de Développement (AFD),2020-03-16,7.0,145000.0,Claire GUIRAUD
20-EI0796,Assistance technique_PEFA Djibouti_Chef d'équipe / expert n°1,Expert individuel (CPS),"Projet d'appui à l'initiative ""Public expenditure and financial accountability""",Prestations intellectuelles et expertise individuelle,projets migrés - donnée non renseignée,Agence Française de Développement (AFD),2020-03-17,6.0,46392.0,PERREAULT JACQUES
20-EI0820,CPS_CREDES_Lot5_20SANIN804,Marché,Appuyer le CNLS aux différentes étapes du processus d’élaboration des requêtes de financement VIH/TB pour la période 2021-2023,Prestations intellectuelles et expertise individuelle,Burkina Faso,MAE-Fr - Initiative 5%,2020-03-20,6.0,16369.32,CREDES
20-EI1688,CPS 7 - Appuyer le CCM de la République Démocratique du Congo (RDC) à l’élaboration de la demande de financement Paludisme/RSS pour la période 2021-2023,Expert individuel (CPS),Appuyer l’écriture de la demande de financement au Fonds Mondial,Prestations intellectuelles et expertise individuelle,"Congo, République Démocratique du",MAE-Fr - Initiative 5%,2020-03-24,12.0,25700.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-EI0894,Appui à la gestion des ressources humaines des municipalités tunisiennes,Expert individuel (CPS),Projet d'appui à la mobilité et au redéploiement,Prestations intellectuelles et expertise individuelle,Tunisie,Banque Mondiale - BM,2020-03-27,12.0,20400.0,Partenaires Publics Action (PPA)
20-EI0916,"CPS 2 CREDES PROLONGEMENT 
Appuyer le CCM de la République du Congo à l’élaboration de la demande de financement TB/VIH pour la période 2021-2023",Expert individuel (CPS),"Appui à la rédaction des requêtes de financement au Fonds mondial  TB/VIH, paludisme et RSS",Prestations intellectuelles et expertise individuelle,"Congo, République du",MAE-Fr - Initiative 5%,2020-03-29,6.0,34400.0,CREDES
20-MR0957,Fourniture de matériels et équipements pour les services techniques des mairies de Jérémie et des Cayes,Marché,Urbayiti - Gouvernance urbaine et villes résilientes,Fournitures,Haïti,Union Européenne,2020-04-06,1.0,22705.0,GADGET
20-MR1016,PURCHASE OF VEHICULE,Marché,Programa de Apoio ao Ensino Superior- Angola,Fournitures,Angola,Union Européenne,2020-04-07,9.0,26500.0,IMPORAFRICA
20-AC0936,ReSEMBiD programme website development,Accord cadre,ReSEMBiD,Technologie de l'information et de la communication,"Pays-Bas, Royaume-Uni",Union Européenne,2020-04-20,43.0,44000.0,Mark Andrew Alli
20-SB1132,PRINCIPE (PRévention et INnovation Communautaire et Intégrée pour les Populations Exposées au VIH),Subvention,Prévention et Innovation Communautaire et Intégrée pour les Populations Exposées au VIH,Subvention,"Dominicaine, République, Haïti",MAE-Fr - Initiative 5%,2020-04-23,36.0,794588.0,AIDES
20-EI1197,Renforcement du dispositif organisationnel et de suivi de la mise en oeuvre des activités de mitigation  COVID 19,Expert individuel (CPS),Renforcement du dispositif de supervision intégré pour les maladies prioritaires au niveau des DRS et DPS,Prestations intellectuelles et expertise individuelle,Guinée,MAE-Fr - Initiative 5%,2020-05-01,6.0,23000.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-EI1643,CPSn°2 TeAM Lots1&8 extension 19SANIN871,Expert individuel (CPS),Appuyer le CCM-Mali aux différentes étapes du processus d’élaboration des demandes de financement TB/VIH et RSS pour la période 2021-2023,Prestations intellectuelles et expertise individuelle,Mali,MAE-Fr - Initiative 5%,2020-05-01,3.0,28080.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-EI1164,SUPPLY CHAIN EXPERTISE AS PART OF THE HIP FEWS PROJECT,Expert individuel (CPS),Early Warning System Palestine,Prestations intellectuelles et expertise individuelle,"Israël, Jordanie, Palestine",Union Européenne,2020-05-04,11.0,22000.0,"PETRYSZYN Sacha,PETRYSZYN Sacha auto-entreprise"
20-EI1274,"Eric SATTIN - Appui à la plateforme Covid-Santé Expertise France en particuliers dans les domaines de la prévention et du contrôle des infections, de la préparation des hôpitaux et du suivi épidémiologique.",Expert individuel (CPS),Plateforme d'appui technique COVID,Prestations intellectuelles et expertise individuelle,"Burkina Faso, Burundi, Centrafrique (Republique de), Congo, République Démocratique du, Côte d'Ivoire, France, Guinée, Guinée équatoriale, Madagascar, Mali, Niger, Tchad",Agence Française de Développement (AFD),2020-05-11,3.0,16500.0,Eric SATTIN
20-EI1307,Appui à l'élaboration de la demande de financement du dispositif de risposte à la Covid 19,Expert individuel (CPS),Appuyer la demande de financement pour le dispositif de riposte à la Covid 19,Prestations intellectuelles et expertise individuelle,Bénin,MAE-Fr - Initiative 5%,2020-05-15,2.0,23733.93,INFO GLOBAL TECHNOLOGIE PLUS
20-EI1570,"Marie VERNET - Appui à la plateforme Covid-Santé Expertise France en particuliers matière de connaissances, stratégies, partenariat et montage de projets COVID19 ayant trait aux capacités de test des pays partenaires.",Expert individuel (CPS),Plateforme d'appui technique COVID,Prestations intellectuelles et expertise individuelle,"Burkina Faso, Burundi, Centrafrique (Republique de), Congo, République Démocratique du, Côte d'Ivoire, France, Guinée, Guinée équatoriale, Madagascar, Mali, Niger, Tchad",Agence Française de Développement (AFD),2020-05-18,3.0,16500.0,Marie-Astrid VERNET
20-AC1273,External assessment of proposals received under the Grant scheme,Accord cadre,Appui à la protection sociale jordanienne,Prestations intellectuelles et expertise individuelle,Jordanie,Union Européenne,2020-05-18,11.0,25200.0,ITDEVSOLUTION
20-MR1308,Research project on the  factors limiting individual blood donations in Libya,Marché,Projet UE Libye,Prestations intellectuelles et expertise individuelle,Libye,Union Européenne,2020-05-18,6.0,49415.15,SREO Consulting LTD
20-EI1097,EXPERT M&A,Expert individuel (CPS),Programa de Apoio ao Ensino Superior- Angola,Prestations intellectuelles et expertise individuelle,Angola,Union Européenne,2020-05-18,55.0,75000.0,"Armando e Aragao, LDA,Armando e Aragao, LDA"
20-EI1668,CREDES-C19 extension_Appuyer l’écriture de la demande de financement au Fonds Mondial,Expert individuel (CPS),Appuyer l’écriture de la demande de financement au Fonds Mondial,Prestations intellectuelles et expertise individuelle,"Congo, République Démocratique du",MAE-Fr - Initiative 5%,2020-05-22,6.0,20250.0,CREDES
20-EI1371,National Expert Pharma Tanzanie C.M,Expert individuel (CPS),MEDISAFE,Prestations intellectuelles et expertise individuelle,"Burundi, Congo, République Démocratique du, Ethiopie, Ghana, Kenya, Malawi, Ouganda, Rwanda, Seychelles, Tanzanie, République-Unie De, Zambie",Union Européenne,2020-06-01,10.0,16000.0,Christopher MSEMO
20-EI1582,"Paolo BONONI
Prestations de portage salarial  d’un expert support, basé en Italie, pour l’appel à manifestation d’intérêt d’ONG pour le projet Yanhad en Iraq",Expert individuel (CPS),Yanhad,Prestations intellectuelles et expertise individuelle,Iraq,"MAE-Fr, Union Européenne",2020-06-01,7.0,30000.0,EASY EXPAT INTERNATIONAL - Euro
20-MR1231,C4-02-2020_Medirent,Marché,Appui au secteur de la Justice,Services,Ukraine,Union Européenne,2020-06-01,15.0,49900.0,Medirent
20-SB1393,Cartographie des diasporas et formation des fonctionnaires,Subvention,Cooperation Sud-Sud en matiere de migration,Subvention,"Côte d'Ivoire, Mali, Maroc, Sénégal",Bailleur Bilatéral (Autre que FR),2020-06-01,18.0,421200.0,OCDE
20-EI1693,"Short term expert (STE 1) to support the training to the strengthening of the user-producer dialogue in the ENP-East countries with a specific focus on the relation 
between the statisticians and the Medias",Expert individuel (CPS),Regional Programme for Statistics in the Eastern Partnership,Prestations intellectuelles et expertise individuelle,"Arménie, Azerbaïdjan, Biélorussie, Géorgie, Moldavie, Ukraine",Union Européenne,2020-06-04,17.0,20000.0,ARTEMIS INFORMATION MANAGEMENT
20-EI1685,"Short term expert (STE 1) to support the training to the strengthening of the user-producer dialogue in the ENP-East countries with a specific focus on the relation 
between the statisticians and the Medias 
Expert/trainer in communication for statistics in charge of the coordination and of the quality of the ToT process (based on the ToR)",Expert individuel (CPS),Regional Programme for Statistics in the Eastern Partnership,Prestations intellectuelles et expertise individuelle,"Arménie, Azerbaïdjan, Biélorussie, Géorgie, Moldavie, Ukraine",Union Européenne,2020-06-04,16.0,21000.0,PACCOUD THIERRY
20-EI1447,"Mission d’appui  à la mise en œuvre du projet Adapt’Action, Axe 1 « Renforcement des capacités et de la gouvernance climat » en Côte d’Ivoire, Guinée, Sénégal",Expert individuel (CPS),"Facilité Adapt'Action - Axe 1 - Appui au renforcement des capacités et à la gouvernance pour la consolidation, la mise en oeuvre  et le suivi des CDN",Prestations intellectuelles et expertise individuelle,"Côte d'Ivoire, Guinée, Sénégal",Agence Française de Développement (AFD),2020-06-05,10.0,40000.0,BAASTEL GROUPE CONSEIL
20-EI1531,"Etude pour le renforcement de l’autonomie financière des collectivités locales
en République de Guinée",Expert individuel (CPS),Projet d'accompagnement à la MAMRI,Prestations intellectuelles et expertise individuelle,Guinée,Agence Française de Développement (AFD),2020-06-08,8.0,20000.0,EXPAT MANAGEMENT
20-EI1520,Expertise court terme pour le lancement du projet,Expert individuel (CPS),Territorialisation de la formation professionnelle au Rwanda,Prestations intellectuelles et expertise individuelle,Rwanda,Agence Française de Développement (AFD),2020-06-17,3.0,19800.0,DAVID FARGE
20-EI1625,"CPS CRE20SANIN820 : Support the review of the National Action Plan 2017-2021 HIV component to maximise the impact of the last Global Fund Grant and support the planning and funding of the 2021-2023 NAP, MAURITIUSDES LOT 1 : DR YOURI",Expert individuel (CPS),Review of National Action Plan 2017 -2021,Prestations intellectuelles et expertise individuelle,Maurice (île),MAE-Fr - Initiative 5%,2020-06-26,12.0,16200.0,CREDES
20-EI1623,CPS SOLTHIS LOT 2 3 4 Appui à la phase d'établissement de la subvention (grant making) pour la demande d’examen complet de programme de lutte contre le VIH à Madagascar.,Expert individuel (CPS),"VIH de renforcer les PRs, le GTN-VIH et le CCM pour les réponses aux recommandations et demande de clarification du TRP et l’établissement des subventions « grant making » en vue de la disponibilité des documents de l’accord de subvention dans le cadre du",Prestations intellectuelles et expertise individuelle,Madagascar,MAE-Fr - Initiative 5%,2020-06-26,12.0,39900.0,SOLTHIS
20-EI2783,Assistance technique pour la mise en place d'un branding de l'écosystème d'innovation en Tunisie,Expert individuel (CPS),Programme d'apppui à l'écosystème de l'innovation et de l'entrepreneuriat en Tunisie,Prestations intellectuelles et expertise individuelle,Tunisie,Union Européenne,2020-07-01,6.0,29000.0,BUSINESS FRANCE
20-EI2569,CPS Marie d'ARIFAT,Expert individuel (CPS),"Prestation de service relative à la passation et au suivi de deux études de faisabilité de projets en PPP dans les secteurs prioritaires de compétence des municipalités brésiliennes, au Brésil",Prestations intellectuelles et expertise individuelle,Brésil,Agence Française de Développement (AFD),2020-07-01,25.0,73800.0,PHOENIX CONSULTING INTERNATIONAL
20-SB1489,19SANIN222-Projet Cascades C+-Cascades communautaires : Amélioration de l’impact de la contribution communautaire dans l’accès à la prise en charge et le maintien dans le soin des populations-clés.,Subvention,Projet Cascades communautaires Coalition Plus,Subvention,"Mali, Maroc, Roumanie",MAE-Fr - Initiative 5%,2020-07-01,36.0,481318.52,COALITION INTERNATIONALE SIDA
20-SB1542,Jeunes en vigie - De l’audit social aux droits à la santé pour tous et toutes : les adolescentes et jeunes femmes en action !,Subvention,Jeunes en vigie - De l’audit social aux droits à la santé pour tous et toutes : les adolescentes et jeunes femmes en action !,Subvention,"Burkina Faso, Sénégal",MAE-Fr - Initiative 5%,2020-07-01,36.0,1701000.0,EQUIPOP
20-EI1930,Expert principal remplacant - composante EIG,Expert individuel (CPS),Assistance technique pour la cooperation avec l’Agence Nationale pour la Société de l’Information au Niger,Prestations intellectuelles et expertise individuelle,Niger,Agence Française de Développement (AFD),2020-07-04,10.0,44000.0,Cédric Charles (Webcodeurs)
20-EI1908,Support to the development of Liberia next funding proposal and grant making on Malaria-RSSH to the Global Fund for the period 2021-2023 – 20SANIN832 CPS HSIL,Expert individuel (CPS),Dépenses transversales Initiative 5%,Prestations intellectuelles et expertise individuelle,France,MAE-Fr - Initiative 5%,2020-07-06,12.0,42600.0,Hill Strategic Ideas Limited (HSIL)
20-EI1709,EXPERT FINANCIER PRINCIPAL,Expert individuel (CPS),SUNREF Tunisie,Prestations intellectuelles et expertise individuelle,Tunisie,Agence Française de Développement (AFD),2020-07-10,36.0,37840.0,Bernard Jamet Consultant
20-EI1845,The Gambia’s Malaria National Strategic Plan (NSP) Elaboration (M&E Component),Expert individuel (CPS),AT demande financement paludisme Gambie,Prestations intellectuelles et expertise individuelle,Gambie,MAE-Fr - Initiative 5%,2020-07-20,8.0,51550.0,R F
20-EI1888,Lot 1 Felix Brou,Expert individuel (CPS),"Appuyer le CCM de Madagascar à analyser le contexte actuel du système de santé national et à élaborer la note conceptuelle RSSH en cohérence au financement pour les 3 maladies (VIH, TB et Paludisme).",Prestations intellectuelles et expertise individuelle,Madagascar,MAE-Fr - Initiative 5%,2020-07-24,12.0,35050.0,KOUAME FELIX BROU
20-EI1877,"CPS TEAM Benja&Angelo Appuyer le CCM de Madagascar à analyser le contexte actuel du système de santé national et à élaborer la note conceptuelle RSSH en cohérence au financement pour les 3 maladies (VIH, TB et Paludisme).",Expert individuel (CPS),"Appuyer le CCM de Madagascar à analyser le contexte actuel du système de santé national et à élaborer la note conceptuelle RSSH en cohérence au financement pour les 3 maladies (VIH, TB et Paludisme).",Prestations intellectuelles et expertise individuelle,Madagascar,MAE-Fr - Initiative 5%,2020-07-27,12.0,73700.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-EI1922,1.2.1_ REVIEW OF STRATEGY MSMES 2018-2022 AND ESTABLISHMENTS OF COUNCILS,Expert individuel (CPS),Enhancement of Business Environment and Competitiveness of the Private Sector of Montenegro,Prestations intellectuelles et expertise individuelle,Monténégro,Union Européenne,2020-08-01,3.0,30000.0,Igor Brkanovic
21-EI1999,"Mission d'examen et mise en oeuvre des recommandations de l'étude sur la fiscalisation du secteur agricole, visant à la rédaction des textes legislatifs et réglementaires, assistance à la DGI sur le projet PAAMEFIP. Cabinet Convergence, Sawadogo.",Expert individuel (CPS),PAAMEFIP,Prestations intellectuelles et expertise individuelle,Mali,Agence Française de Développement (AFD),2020-08-01,13.0,38500.0,Cabinet Convergence Audit et Conseil
20-EI2022,CPS GM ICI SANTE - Appuyer le CNLS et le PNLT du Cameroun à l’élaboration de la demande de financement et élaboration de la subvention VIH/TB auprès du Fonds mondial pour la période de mise en œuvre 2021-2023,Expert individuel (CPS),Appuyer le CNLS et le PNLT du Cameroun à l’élaboration de la demande de financement  et élaboration de la subvention VIH/TB pour la période de mise en œuvre 2021-2023,Prestations intellectuelles et expertise individuelle,Cameroun,MAE-Fr - Initiative 5%,2020-08-17,8.0,21000.0,I.C.I. SANTE
20-EI2116,TUNISIE_Expert CM_Réalisation d’une étude additionnelle de faisabilité pour la création du centre de formation professionnel pour les industries agroalimentaires de Bizerte – Tunisie,Expert individuel (CPS),CAP COMPETENCES,Prestations intellectuelles et expertise individuelle,"Afrique du Sud, Algérie, Angola, Bénin, Cameroun, Centrafrique (Republique de), Congo, République Démocratique du, Congo, République du, Côte d'Ivoire, Gabon",Agence Française de Développement (AFD),2020-08-23,11.0,18000.0,BEHR PATRICIA
20-MR1824,Achat de matériel de taille manuelle,Marché,"Programme d'appui au secteur de l'agriculture, y compris dans la gestion de l'eau, l'agro-industrie et la pollution agricole (PASA)",Fournitures,Algérie,Union Européenne,2020-08-26,5.0,16000.0,EURL INDUSTRY TECH
20-MR2102,GENERAL VOYAGES_Formation sur la publication et la communication des documents budgétaires et sensibilisation au civisme fiscal dans les communes à destination de l’administration/élus et des OSC_BF,Marché,Programme d’Appui au Gouvernements Ouverts Francophones - PAGOF,Services,"Burkina Faso, Côte d'Ivoire, Tunisie",Agence Française de Développement (AFD),2020-08-26,5.0,40134.99,GENERAL VOYAGES
20-MR2117,Evaluation finale projet MDM 17SANIN208 -L'Initiative,Marché,Audits/évals projets Canal 2 et 3,Prestations intellectuelles et expertise individuelle,France,MAE-Fr - Initiative 5%,2020-08-31,3.0,23415.0,OASYS FINANCIAL MANAGT SERVICES
20-EI2831,AVENANT CONSTANTIN ARMASU,Expert individuel (CPS),Support to the Ministry of Health in Romania in building capacity for the management of projects to build three regional hospitals – Phase II,Prestations intellectuelles et expertise individuelle,Roumanie,Union Européenne,2020-08-31,15.0,61338.0,IDELIS MANAGEMENT
20-EI3090,Contract Performence Based in PHC,Expert individuel (CPS),TA to Social Welfare system in Georgia,Prestations intellectuelles et expertise individuelle,Géorgie,Agence Française de Développement (AFD),2020-09-01,11.0,17500.0,LAI TAAVI
20-EI2546,"Elaboración del Plan de Recuperación, Reconstrucción Social y Resiliencia de los países de Centroamérica y República Dominicana (AE245)",Expert individuel (CPS),EUROsociAL+,Prestations intellectuelles et expertise individuelle,"Argentine, Bolivie, Brésil, Chili, Colombie, Costa Rica, El Salvador, Equateur, Guatemala, Honduras, Mexique, Nicaragua, Panama, Paraguay, Pérou, Uruguay",Union Européenne,2020-09-01,16.0,20650.0,FUNDACION GUATEMALA
21-EI0696,"Contrat Coordonnatrice du projet, COMJUS, Comores",Expert individuel (CPS),Soutien au secteur de la Justice aux Comores,Prestations intellectuelles et expertise individuelle,Comores,Autre Ministère Français,2020-09-01,12.0,30719.04,BERTHIER Béatrice
21-MR0181,"Convention EQ: définir les modalités et conditions de mise en oeuvre du partenariat les parties.
L'opérateur de communauté va utiliser la plateforme EUROQUITY pour animer une ou plusieur communauté compossés de contats.",Marché,Programme d'apppui à l'écosystème de l'innovation et de l'entrepreneuriat en Tunisie,Technologie de l'information et de la communication,Tunisie,Union Européenne,2020-09-01,36.0,60000.0,BPI FRANCE FINANCEMENT Nv Compte BQ
