Pays d'intervention,Secteur,2018,2019,2020
CUBA,Autre,-705105.32313,-6371829.74365,-14068294.0355
NIGER,Infrastructures et développement urbain,-16080450.0,-8143000.0,-8143000.0
MALI,Infrastructures et développement urbain,-14319070.0,-17363840.0,-18967610.0
SENEGAL,Santé et lutte contre le sida,-1706747.0,-1113095.0,
MALI,Agriculture et sécurité alimentaire,-9251050.0,-3825000.0,-3825000.0
INDE,Autre,-2350351.0771,-21239432.4788,-46894313.4517
MADAGASCAR,Autre,-1034154.47392,-9345350.29068,-20633497.9187
TURQUIE,Autre,-1880280.86168,-16991545.9831,-37515450.7614
LIBAN,Education,-5250000.0,-4900000.0,-1400000.0
BIRMANIE (MYANMAR),Infrastructures et développement urbain,-5950000.0,-8925000.0,-8925000.0
MAROC,Secteur productif,-20289230.0,,
BIRMANIE (MYANMAR),Eau et assainissement,-6219510.0,-6219510.0,-6219510.0
TUNISIE,Infrastructures et développement urbain,-30632347.0,-38080179.0,-32099807.0
INDE,Environnement et ressources naturelles,-13468520.0,-3591610.0,
