Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Crown Prosecution Service ,06/08/19,UK National rail travel,Departmental Security Unit: Admin,Clarity Travel Management,CPSHQ0174,£761.60,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Corporate Services Director Business Management Team,Clarity Travel Management,CPSHQ0174,£68.00,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,Departmental Security Unit: Admin,Clarity Travel Management,CPSHQ0174,£487.00,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,Solutions Development,Clarity Travel Management,CPSHQ0174,£64.00,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,Analysis and Delivery,Clarity Travel Management,CPSHQ0174,£303.01,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,Service Integration and Operations,Clarity Travel Management,CPSHQ0174,£656.01,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Financial Reporting,Clarity Travel Management,CPSHQ0174,£464.00,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,Leadership and Management Development,Clarity Travel Management,CPSHQ0174,£118.00,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Leadership and Management Development,Clarity Travel Management,CPSHQ0174,£117.00,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,Corporate HR,Clarity Travel Management,CPSHQ0174,£72.00,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Employee Relations,Clarity Travel Management,CPSHQ0174,£196.50,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Disability Staff Network,Clarity Travel Management,CPSHQ0174,£28.60,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Permanent Transfer Costs,Clarity Travel Management,CPSHQ0174,£161.50,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Private Office,Clarity Travel Management,CPSHQ0174,£147.70,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Press Office,Clarity Travel Management,CPSHQ0174,£68.50,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,HR Business Management,Clarity Travel Management,CPSHQ0174,£356.75,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,HR Business Management,Clarity Travel Management,CPSHQ0174,£168.00,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,Operations: Digital,Clarity Travel Management,CPSHQ0174,£372.00,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Operations: Digital,Clarity Travel Management,CPSHQ0174,"£1,739.10",Y,
Crown Prosecution Service ,06/08/19,IT services,Apps and Hosting Contract,CGI IT UK Ltd,GB014022664,"£424,069.73",Y,
Crown Prosecution Service ,07/08/19,Crown Court Graduated Fee Scheme,London North Complex Casework Unit,QEB Hollis Whiteman Chambers,105532/CA/1,"£30,469.76",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£13,300.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£4,900.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£10,750.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£34,575.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£7,025.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£11,025.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£9,000.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£23,000.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£8,825.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£10,275.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£9,525.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£5,500.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£11,000.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£10,650.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£6,325.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£4,900.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£4,925.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£10,750.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£17,825.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£11,500.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£8,500.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£7,325.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£5,500.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£7,025.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£11,025.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,"£7,650.00",Y,
Crown Prosecution Service ,07/08/19,FCO platform charges excluding leases,International External Funding,Foreign And Commonwealth Office,1113425,£134.25,Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£12,275.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£6,450.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£17,400.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£9,450.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International Liaison Magistrates,Foreign And Commonwealth Office,1113425,"£12,425.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£5,450.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£7,825.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£3,250.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£5,225.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£6,450.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£6,450.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£8,850.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£4,350.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£5,050.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£5,550.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£14,125.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£4,525.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£11,800.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£8,275.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£6,275.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£9,450.00",Y,
Crown Prosecution Service ,07/08/19,Overseas Residential accommodation,International External Funding,Foreign And Commonwealth Office,1113425,"£4,225.00",Y,
Crown Prosecution Service ,07/08/19,Salaries Overseas locally employed Admin,International External Funding,Foreign And Commonwealth Office,1113459,"£2,515.57",Y,
Crown Prosecution Service ,07/08/19,Conference Organisation,International External Funding,Foreign And Commonwealth Office,1113459,£410.23,Y,
Crown Prosecution Service ,07/08/19,Telephony mobile phones and dongles,International External Funding,Foreign And Commonwealth Office,1113459,£6.52,Y,
Crown Prosecution Service ,07/08/19,Salaries Overseas locally employed Admin,International External Funding,Foreign And Commonwealth Office,1113459,"£1,989.70",Y,
Crown Prosecution Service ,07/08/19,Non casework interpreter and translation costs,International Internal Funding,Foreign And Commonwealth Office,1113459,"£11,378.55",Y,
Crown Prosecution Service ,07/08/19,Salaries Overseas locally employed Admin,International External Funding,Foreign And Commonwealth Office,1113459,"£4,794.08",Y,
Crown Prosecution Service ,07/08/19,Telephony mobile phones and dongles,International External Funding,Foreign And Commonwealth Office,1113459,£360.01,Y,
Crown Prosecution Service ,07/08/19,Salaries Overseas locally employed Admin,International External Funding,Foreign And Commonwealth Office,1113459,"£2,041.07",Y,
Crown Prosecution Service ,07/08/19,Telephony mobile phones and dongles,International External Funding,Foreign And Commonwealth Office,1113459,£48.10,Y,
Crown Prosecution Service ,07/08/19,Salaries Overseas locally employed Admin,International External Funding,Foreign And Commonwealth Office,1113459,"£1,406.51",Y,
Crown Prosecution Service ,07/08/19,Salaries Overseas locally employed Admin,International Liaison Magistrates,Foreign And Commonwealth Office,1113459,"£2,836.86",Y,
Crown Prosecution Service ,07/08/19,Salaries Overseas locally employed Admin,International External Funding,Foreign And Commonwealth Office,1113459,£918.30,Y,
Crown Prosecution Service ,07/08/19,Telephony mobile phones and dongles,International External Funding,Foreign And Commonwealth Office,1113459,£99.10,Y,
Crown Prosecution Service ,07/08/19,Overseas Medical Other health care costs,International External Funding,Foreign And Commonwealth Office,1113459,£69.14,Y,
Crown Prosecution Service ,07/08/19,Crown Court Graduated Fee Scheme,London North Complex Casework Unit,2 Hare Court Chambers -Chambers of Orlando Pownall,112664 - OG,"£73,228.42",Y,
Crown Prosecution Service ,07/08/19,Crown Court Graduated Fee Scheme,London North Complex Casework Unit,5 King's Bench Walk,165860 CP1,"£36,606.79",Y,
Crown Prosecution Service ,07/08/19,Crown Court Graduated Fee Scheme,London South Crown Court Unit,36 Bedford Row,190873-CD,"£76,269.90",Y,
Crown Prosecution Service ,07/08/19,Crown Court Graduated Fee Scheme,East Midlands Crown Court Section,1 High Pavement Chambers,267104MAQC,"£30,624.04",Y,
Crown Prosecution Service ,07/08/19,UK Other travel,Solutions Development,Clarity Travel Management,CPSHQ0170,£3.00,Y,
Crown Prosecution Service ,07/08/19,UK Other travel,Permanent Transfer Costs,Clarity Travel Management,CPSHQ0170,£79.00,Y,
Crown Prosecution Service ,07/08/19,Overseas Other travel,Solutions Development,Clarity Travel Management,CPSHQ0170,£254.10,Y,
Crown Prosecution Service ,07/08/19,UK Night Subsistence,Operations: Digital,Clarity Travel Management,CPSHQ0170,£34.20,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,ERP Project: Admin,Clarity Travel Management,CPSHQ0170,£886.20,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,HR Strategy and Inclusion,Clarity Travel Management,CPSHQ0170,"£2,334.05",Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Service Transition,Clarity Travel Management,CPSHQ0170,"£1,370.04",Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Legal Trainee Salaries,Clarity Travel Management,CPSHQ0170,£471.01,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Solutions Development,Clarity Travel Management,CPSHQ0170,"£1,408.90",Y,
Crown Prosecution Service ,07/08/19,UK Hotels,Operations: Delivery,Clarity Travel Management,CPSHQ0170,"£1,429.20",Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Operations: Delivery,Clarity Travel Management,CPSHQ0170,"£13,855.81",Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Resourcing,Clarity Travel Management,CPSHQ0170,£910.00,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Operations: Digital,Clarity Travel Management,CPSHQ0170,"£1,794.71",Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Corporate HR,Clarity Travel Management,CPSHQ0170,"£1,367.70",Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Operations: Business Support,Clarity Travel Management,CPSHQ0170,"£1,811.28",Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,HR Operations,Clarity Travel Management,CPSHQ0170,£885.17,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Estates and Commercial,Clarity Travel Management,CPSHQ0170,£387.20,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Strategic Financial Planning,Clarity Travel Management,CPSHQ0170,£326.30,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,IT Stewardship,Clarity Travel Management,CPSHQ0170,"£1,289.05",Y,
Crown Prosecution Service ,07/08/19,UK Hotels,HR Strategy and Inclusion,Clarity Travel Management,CPSHQ0170,£100.50,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Learning and Development General,Clarity Travel Management,CPSHQ0170,"£1,223.80",Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Analysis and Delivery,Clarity Travel Management,CPSHQ0170,"£2,579.70",Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Corporate Communication,Clarity Travel Management,CPSHQ0170,£764.00,Y,
Crown Prosecution Service ,07/08/19,UK Hotels,Learning and Development General,Clarity Travel Management,CPSHQ0170,£161.50,Y,
Crown Prosecution Service ,07/08/19,UK Hotels,Operations: Business Support,Clarity Travel Management,CPSHQ0170,£178.00,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Information Management Unit,Clarity Travel Management,CPSHQ0170,£122.80,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,DTUS,Clarity Travel Management,CPSHQ0170,£564.80,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Service Integration and Operations,Clarity Travel Management,CPSHQ0170,£271.00,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Departmental Security Unit: Admin,Clarity Travel Management,CPSHQ0170,"£3,034.94",Y,
Crown Prosecution Service ,07/08/19,UK Hotels,Departmental Security Unit: Admin,Clarity Travel Management,CPSHQ0170,£367.74,Y,
Crown Prosecution Service ,07/08/19,UK Hotels,Analysis and Delivery,Clarity Travel Management,CPSHQ0170,£307.40,Y,
Crown Prosecution Service ,07/08/19,UK Hotels,Service Transition,Clarity Travel Management,CPSHQ0170,£12.10,Y,
Crown Prosecution Service ,07/08/19,UK Hotels,Service Integration and Operations,Clarity Travel Management,CPSHQ0170,£2.50,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Financial Reporting,Clarity Travel Management,CPSHQ0170,£18.00,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Leadership and Management Development,Clarity Travel Management,CPSHQ0170,"£1,694.19",Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Employee Relations,Clarity Travel Management,CPSHQ0170,£196.75,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Disability Staff Network,Clarity Travel Management,CPSHQ0170,£91.25,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Permanent Transfer Costs,Clarity Travel Management,CPSHQ0170,"£1,805.70",Y,
Crown Prosecution Service ,07/08/19,UK Hotels,Operations: Digital,Clarity Travel Management,CPSHQ0170,£360.00,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Private Office,Clarity Travel Management,CPSHQ0170,£92.30,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,HR Business Management,Clarity Travel Management,CPSHQ0170,£360.70,Y,
Crown Prosecution Service ,07/08/19,UK Hotels,HR Business Management,Clarity Travel Management,CPSHQ0170,£456.80,Y,
Crown Prosecution Service ,07/08/19,Overseas Air travel,Departmental Security Unit: Admin,Clarity Travel Management,CPSHQ0170,£1.00,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Data Protection Compliance Unit,Clarity Travel Management,CPSHQ0170,£382.00,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,DTS Directorate,Clarity Travel Management,CPSHQ0170,£187.20,Y,
Crown Prosecution Service ,07/08/19,UK National rail travel,Legal Training,Clarity Travel Management,CPSHQ0170,£222.25,Y,
Crown Prosecution Service ,07/08/19,UK Hotels,Permanent Transfer Costs,Clarity Travel Management,CPSHQ0170,£151.50,Y,
Crown Prosecution Service ,07/08/19,Overseas Air travel,Operations: Delivery,Clarity Travel Management,CPSHQ0170,£183.50,Y,
Crown Prosecution Service ,07/08/19,Overseas Hotels,Operations: Delivery,Clarity Travel Management,CPSHQ0170,£87.90,Y,
Crown Prosecution Service ,08/08/19,Crown Court Graduated Fee Scheme,East Midlands Crown Court Section,36 Bedford Row,191927-LJ,"£32,632.21",Y,
Crown Prosecution Service ,08/08/19,IT services,Print Contract,Xerox (UK) Ltd,900189424.,"£195,081.68",Y,
Crown Prosecution Service ,08/08/19,UK Night Subsistence,ERP Project: Admin,Clarity Travel Management,CPSHQ0167,£9.00,Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,ERP Project: Admin,Clarity Travel Management,CPSHQ0167,"£1,058.15",Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,HR Strategy and Inclusion,Clarity Travel Management,CPSHQ0167,"£2,798.40",Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,Service Transition,Clarity Travel Management,CPSHQ0167,£383.65,Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,Solutions Development,Clarity Travel Management,CPSHQ0167,£663.50,Y,
Crown Prosecution Service ,08/08/19,UK Hotels,Operations: Delivery,Clarity Travel Management,CPSHQ0167,"£3,428.08",Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,Operations: Delivery,Clarity Travel Management,CPSHQ0167,"£12,095.70",Y,
Crown Prosecution Service ,08/08/19,UK Hotels,Estates and Commercial,Clarity Travel Management,CPSHQ0167,"£1,694.55",Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,Resourcing,Clarity Travel Management,CPSHQ0167,£501.15,Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,Operations: Digital,Clarity Travel Management,CPSHQ0167,£513.55,Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,Corporate HR,Clarity Travel Management,CPSHQ0167,£909.80,Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,Operations: Business Support,Clarity Travel Management,CPSHQ0167,"£1,978.50",Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,HR Operations,Clarity Travel Management,CPSHQ0167,"£1,261.50",Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,Estates and Commercial,Clarity Travel Management,CPSHQ0167,"£1,479.85",Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,Strategic Financial Planning,Clarity Travel Management,CPSHQ0167,£574.20,Y,
Crown Prosecution Service ,08/08/19,UK National rail travel,IT Stewardship,Clarity Travel Management,CPSHQ0167,"£1,572.45",Y,
Crown Prosecution Service ,08/08/19,UK Hotels,HR Strategy and Inclusion,Clarity Travel Management,CPSHQ0167,"£1,038.74",Y,
