DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-12-05,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Ghana,Snails other than sea snails,30760.0,Gasteropoda,Ambient,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Not satisfactory,51.0,Not Satisfactory,No,-,-,-,-,2. Destruction,7. Physical Hygiene Failure,2020-12-21,2020.0,4,12.0,21.0,50.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,France,France,Peru,Fishery products,3079200.0,Argopecten Purpuratus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-30,2020.0,4,12.0,30.0,Satisfactory,Satisfactory,13660.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-30,2020.0,4,12.0,30.0,12000.0
2020-12-04,London Gateway,United Kingdom,United Kingdom,United Kingdom,Brazil,Pharmaceutical products,3.00219E7,Bovidae,Frozen,-,/,-,-,/,No,Technical Use,2020-12-16,2020.0,4,12.0,16.0,Satisfactory,Satisfactory,2807.0,Not Done,No,-,-,-,-,-,-,2020-12-16,2020.0,4,12.0,16.0,2448.0
2020-12-05,Heathrow,United Kingdom,United Kingdom,United Kingdom,Brazil,Pharmaceutical products,3.00212E7,Bovidae,Frozen,-,/,-,-,/,No,Technical Use,2020-12-04,2020.0,4,12.0,4.0,-,-,21.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,4.0,0.0
2020-12-06,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Brazil,Pharmaceutical products,3.00212E7,Bovidae,Frozen,-,/,-,-,/,No,Technical Use,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,21.0,Not Done,No,-,-,-,-,-,-,2020-12-21,2020.0,4,12.0,21.0,0.0
2020-12-15,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300.0,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-23,2020.0,4,12.0,23.0,Satisfactory,Satisfactory,7000.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,6454.0
2020-12-15,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230.0,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-23,2020.0,4,12.0,23.0,Satisfactory,Satisfactory,0.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-23,2020.0,4,12.0,23.0,0.0
2020-12-06,Belfast,United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2044250.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-04,2020.0,4,12.0,4.0,Satisfactory,Satisfactory,24428.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-08,2020.0,4,12.0,8.0,23593.0
2020-12-06,Belfast,United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2044250.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-04,2020.0,4,12.0,4.0,Satisfactory,Satisfactory,23145.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-08,2020.0,4,12.0,8.0,22279.0
2020-12-10,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2044310.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-16,2020.0,4,12.0,16.0,Satisfactory,Satisfactory,17764.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-16,2020.0,4,12.0,16.0,17354.0
2020-12-10,Felixstowe, P,United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2044310.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-16,2020.0,4,12.0,16.0,Satisfactory,Satisfactory,15401.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-16,2020.0,4,12.0,16.0,14935.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250.0,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,Satisfactory,Satisfactory,13541.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-15,2020.0,4,12.0,15.0,12842.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250.0,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,12941.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,12181.0
2020-12-06,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250.0,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-21,2020.0,4,12.0,21.0,Satisfactory,Satisfactory,12135.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-21,2020.0,4,12.0,21.0,11402.0
2020-12-17,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2044310.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,0.0
2020-12-17,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep or goats meat and sheep or goats meat products,2069099.0,Capra Hircus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-24,2020.0,4,12.0,24.0,Satisfactory,Satisfactory,15938.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-24,2020.0,4,12.0,24.0,15434.0
2020-12-09,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2044310.0,Ovis Aries,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-15,2020.0,4,12.0,15.0,Satisfactory,Satisfactory,17754.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,17292.0
2020-12-06,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300.0,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-06,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230.0,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,11078.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,10288.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990.0,Mugil Cephalus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,25500.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,23085.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3061490.0,Portunus Pelagicus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3061490.0,Portunus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3061490.0,Scylla Serrata,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910.0,Wallago Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3061799.0,Parapenaeopsis Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990.0,Chanos Chanos,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990.0,Harpadon Nehereus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990.0,Liza Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990.0,Mugil Cephalus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990.0,Nemipterus Japonicus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990.0,Parastromateus Niger,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990.0,Trichiurus Lepturus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3061490.0,Portunus Pelagicus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3061490.0,Scylla Serrata,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,25000.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,21744.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910.0,Glossogobius Giuris,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910.0,Macrognathus Aculeatus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910.0,Mastacembelus Armatus,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910.0,Notopterus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910.0,Ompok Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910.0,Sciaenidae,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910.0,Wallago Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3032900.0,Channa Striata,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3032500.0,Labeo Calbasu,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3035990.0,Caranx Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3035990.0,Scomberomorus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3035929.0,Euthynnus Affinis,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-18,2020.0,4,12.0,18.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-18,2020.0,4,12.0,18.0,0.0
2020-12-15,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Chile,Bovine meat and bovine meat products,20130.0,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-17,2020.0,4,12.0,17.0,Satisfactory,Satisfactory,2640.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-17,2020.0,4,12.0,17.0,2458.0
2020-12-15,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,Chile,Bovine meat and bovine meat products,20120.0,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-12-17,2020.0,4,12.0,17.0,Satisfactory,Satisfactory,0.0,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-17,2020.0,4,12.0,17.0,0.0
2020-12-14,Southampton, P,United Kingdom,United Kingdom,United Kingdom,India,Animal feed,230910.0,/,Ambient,-,/,-,-,/,No,Animal Feedingstuff,2020-12-04,2020.0,4,12.0,4.0,-,-,5628.0,-,-,-,-,-,-,-,-,?,2020.0,4,12.0,4.0,4528.0
2020-12-14,Department of Environment, Food and Rural Affairs (DEFRA),United Kingdom,United Kingdom,United Kingdom,India,Animal feed,230910.0,Ungulates,Ambient,-,/,-,-,/,No,Animal Feedingstuff,2020-12-29,2020.0,4,12.0,29.0,Satisfactory,Satisfactory,5628.0,Not Done,No,-,-,-,Animal Feedingstuff,-,-,2020-12-29,2020.0,4,12.0,29.0,4528.0
2020-12-04,London Gateway,United Kingdom,United Kingdom,United Kingdom,Brazil,Poultry meat and poultry meat products,2109939.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,26289.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-15,2020.0,4,12.0,15.0,25005.0
2020-12-04,London Gateway,United Kingdom,United Kingdom,United Kingdom,Brazil,Poultry meat and poultry meat products,2109939.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-02,2020.0,4,12.0,2.0,Satisfactory,Satisfactory,26289.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-14,2020.0,4,12.0,14.0,25005.0
2020-12-04,London Gateway,United Kingdom,United Kingdom,United Kingdom,Brazil,Poultry meat and poultry meat products,2109939.0,Aves,Frozen,-,/,-,-,/,No,Human Consumption,2020-12-01,2020.0,4,12.0,1.0,Satisfactory,Satisfactory,26289.0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-08,2020.0,4,12.0,8.0,25005.0
