TradingName,Date
T & S Farms,2019-01-09
D MEDWYN LLOYD & CO,2019-01-09
J H & M E WATKIN,2019-01-09
ROBERT JONES & SONS,2019-01-09
G BACON & SONS,2019-01-09
D Woosnam,2019-01-09
Richards & Co.,2019-01-09
Brodyr Williams,2019-01-09
M R & W D HUGHES,2019-01-09
MESSRS C R & M R GREENWOOD,2019-01-09
Walford & North Shropshire College,2019-01-09
Mrs E M Corfield & Son,2019-01-09
N L & F M CLEAVE,2019-01-09
R & C Ward,2019-01-09
T/A: D & S A BODEN,2019-01-09
M/S S R GILBERT & SON,2019-01-09
R D & S A PATCH,2019-01-10
M E & I E VANSTONE & SONS,2019-01-10
"R J, B C & N W J Monies",2019-01-10
M & M TATTERSALL,2019-01-10
J & S Y KENYON & SONS,2019-01-10
T/A:  J A Haigh & Sons,2019-01-10
S & A and Daughters Ltd,2019-01-10
Wayne T Jeffery,2019-01-10
T/A: R J & D J Clement,2019-01-10
T/A: J and L Burdge,2019-01-10
T/A: D R & S M Reed & Son,2019-01-10
T/A: Deans Farms Ltd,2019-01-11
Davies Penlan,2019-01-11
W & K BOSTOCK,2019-01-11
M & R KIRKHAM & SONS LTD,2019-01-11
G A QUICK & SONS,2019-01-11
ME & AW WRIGHT,2019-01-11
MESSRS STODDART,2019-01-11
V WILLIAMSON & SONS,2019-01-11
DAVID REES FARMS,2019-01-11
Highleadon Court Farms Ltd,2019-01-11
B M Stephens & Son,2019-01-11
S J Chandler,2019-01-11
T/A: Park Hall Farm,2019-01-11
G & J FOSTER,2019-01-14
M & K CHIPPENDALE,2019-01-14
MESSRS HAYTON,2019-01-14
R C & M I DAVIES,2019-01-14
A R Edwards & Son,2019-01-14
T D PHILLIPS,2019-01-14
J Hopkins & Partners,2019-01-14
M Morgan & Partners,2019-01-14
LOVETTSWOOD FARM LIMITED,2019-01-15
M G & J PARKER,2019-01-15
PEMBERTON'S DAIRIES,2019-01-15
M/S D F PLAISTER & SON,2019-01-16
Highleadon Court Farms Ltd,2019-01-16
T M Garry,2019-01-16
M W BROWN,2019-01-16
Cleave Farm Partnership,2019-01-16
M Morgan & Partners,2019-01-16
D P WILLIAMS,2019-01-16
Joseph D Evans,2019-01-16
A & P M SPENCER,2019-01-16
T/A: Lordsland Partnership,2019-01-17
Raffe Dairy Ltd,2019-01-17
B A C & H M TRIM,2019-01-17
C J A & L M CRIMP,2019-01-17
M/S P J & E E WHITE & SON,2019-01-17
R D & S A PATCH,2019-01-17
M/S F TUCKER & SONS,2019-01-17
J T Forster & Sons,2019-01-17
"C, N, & P PENK",2019-01-17
HENDEN MANOR ESTATE,2019-01-17
F A PEARCE,2019-01-17
M/S W F & R H PETHICK,2019-01-17
"W R, C M & SR DAVEY",2019-01-17
"M/S R W, R & R W RISDON",2019-01-17
T/A  D A AND J L BENNION,2019-01-17
R & J TOWNSON,2019-01-17
FURNIVAL FARMS LTD,2019-01-18
K & M E HALL & SON,2019-01-18
E R DUROSE,2019-01-18
P C MALTBY,2019-01-18
Fen Farm Dairy Limited,2019-01-18
J CRANFIELD & SONS,2019-01-18
R G FARRAR & SON,2019-01-18
D & J ARMSTRONG,2019-01-18
MESSRS STODDART,2019-01-18
MESSRS HETHERINGTON,2019-01-18
W C & M E GEORGE & SON,2019-01-18
T S MATTHEWS & SON,2019-01-18
J J & M H MATTINSON & SON,2019-01-18
F HARRISON & SONS,2019-01-20
S J WALKER,2019-01-21
H M & R A IVINSON & SONS,2019-01-21
K H RILEY & SONS,2019-01-21
T I WELLINGTON,2019-01-21
N WARREN,2019-01-21
H M V Weekes,2019-01-21
A J & J A LOCK,2019-01-21
MR F H TRERISE,2019-01-21
D K & M J & N PARRIS,2019-01-21
G D & M RODGERS & SONS,2019-01-21
SJ & LH Brown,2019-01-21
M/S A S & J K LEGGOTT,2019-01-21
R J George & B J George,2019-01-21
D & R Howell,2019-01-21
Mr Richard Loud,2019-01-21
K & P A & W G I Graham,2019-01-22
J E & A C Hughes CYF,2019-01-22
T/A: R M Gillbard,2019-01-22
T/A: S P & H M Warden,2019-01-22
T/A: E E & R A Huddleston,2019-01-22
Mr T H L & Mrs S C Wilson,2019-01-22
M/s E W Hartt & Sons,2019-01-22
G V & C A GAMAGE,2019-01-22
G V & C A GAMAGE,2019-01-22
O PILKINGTON & SONS,2019-01-22
M P MASON,2019-01-22
T/A: Hardwick Farms,2019-01-22
P J & F P Bridge,2019-01-22
Mrs M K Manford & Partners,2019-01-22
J W & J Holland,2019-01-22
MRS M SELLORS & SON,2019-01-22
R L & M J Allin & Son,2019-01-22
Ruddle Court Farm,2019-01-22
A P & D J HOUSE,2019-01-22
M T BRAUNTON,2019-01-22
MR R C HOLLINSHEAD,2019-01-22
J RAVENSCROFT & PARTNERS,2019-01-23
T R & M J MILLER & SONS,2019-01-23
G J CARTER,2019-01-23
A & B PASCOE,2019-01-23
MESSRS T H HOLME,2019-01-23
M/S F TUCKER & SONS,2019-01-23
MR P J & MRS J WALTER,2019-01-23
G E Bebb & Sons,2019-01-23
Mrs E M Corfield & Son,2019-01-23
J Duerdin & Co.,2019-01-23
R E Fewings & Son,2019-01-23
D R CLAPP,2019-01-23
D P MORLEY,2019-01-23
Hefin Davies Ltd,2019-01-23
T/A: New Forest Raw Milk - Sarah's Dairy,2019-01-23
"T/A: JK, CM Davies & Sons",2019-01-23
T/A: Ross & Elaine Pattinson,2019-01-23
K & P A & W G I Graham,2019-01-23
T/A: P J & T FLETCHER,2019-01-23
Velcourt Limited,2019-01-23
P A & S Wynn & Partners,2019-01-23
HG Witt and Son,2019-01-23
"T/A: Michael, Carol, Dorothy & George Cope",2019-01-23
T/A:WJ & KL Dart,2019-01-23
T/A: DJ & GR Westaway,2019-01-24
L D Heywood Ltd,2019-01-24
P G & S G A & S G T Williams,2019-01-24
T/A: WGK & CA Luke,2019-01-24
T/A: Croenllwm Cyf,2019-01-24
Mr T H L & Mrs S C Wilson,2019-01-24
J  & J SWAINSON,2019-01-24
LE MARCHANT FARMS LTD,2019-01-24
"Michael J King, Gemma M King, Richard J King and Kathleen A King",2019-01-24
R & J COTTEY,2019-01-24
D G BARTLETT,2019-01-24
L P & M P Coles,2019-01-24
K P SILVERTHORNE & PARTNERS,2019-01-24
GROVEWOOD FARMS,2019-01-24
C WHEELER & SON,2019-01-25
MRS M J & MR I A GODWIN,2019-01-25
M G & J Heal,2019-01-25
M/S HEWITSON,2019-01-25
MR & MRS S.J DUSTOW & SON,2019-01-25
HINTON FARM LTD,2019-01-25
D GOODWIN & SONS,2019-01-25
T/A: DJ & GR Westaway,2019-01-25
T/A: P T Hillard,2019-01-25
T/A: P T Hillard,2019-01-26
T/A: Mudds Bank Stud Farm,2019-01-28
SEYMOUR SMITH & SONS LTD,2019-01-28
E R DUROSE,2019-01-28
MR & MRS W WALES,2019-01-28
M/S J A BURNARD,2019-01-28
M/S R BOWDEN & SON,2019-01-28
C J A & L M CRIMP,2019-01-28
T/A: J H & J L Gibson,2019-01-28
JOHN WEAVER (DAIRY FARMS) LTD,2019-01-28
T/A: Pulford Farm Dairies,2019-01-28
E W GILL AND SONS LIMITED,2019-01-28
S J Chandler,2019-01-29
M S ASHTON & SONS,2019-01-29
M G & J Heal,2019-01-29
M/S P F E & M W & C FISHLEIGH,2019-01-29
A J BYRON,2019-01-29
Mrs K Reeves,2019-01-29
J G Waterhouse,2019-01-29
T/A: Nanny More,2019-01-29
T/A: Heath Farm Partnership,2019-01-29
LANGUNNETT FARM,2019-01-29
J M & L J R Reynolds,2019-01-29
G M M & D W Morgan,2019-01-29
P G & S G A & S G T Williams,2019-01-30
P G & S G A & S G T Williams,2019-01-30
T/A: Old Hall Farm,2019-01-30
T/A: New Forest Raw Milk - Sarah's Dairy,2019-01-30
K R & J E Lorenz & Sons,2019-01-30
PEMBERTON'S DAIRIES,2019-01-30
MR F H TRERISE,2019-01-30
Hedden & Sons,2019-01-30
W G LARKWORTHY & SON,2019-01-30
MESSRS T H HOLME,2019-01-30
M & J Dent,2019-01-30
MESSRS STAMPER,2019-01-30
T/A: Billockby Farms,2019-01-31
J  & J SWAINSON,2019-01-31
T/A: J H Wynn and Partners,2019-01-31
S R Lewis & Son,2019-01-31
B A & O M Parry,2019-01-31
C Long & Son,2019-01-31
W E FOREMAN & SON,2019-02-01
T M WATSON & SON,2019-02-01
J K & D SHIPLEY,2019-02-01
F J BAILEY,2019-02-01
W FAIR & SON,2019-02-01
M/S B A & A M CHARLESWORTH,2019-02-01
G S & S J FOLLAND,2019-02-04
K & M E HALL & SON,2019-02-04
Mr G V Wellings,2019-02-04
T D PHILLIPS,2019-02-04
D & R Howell,2019-02-04
J Duerdin & Co.,2019-02-05
T/A: M & B Humphry,2019-02-05
T/A: M & B Humphry,2019-02-05
Glyn Breeze & Partners,2019-02-05
E P Roberts & Sons,2019-02-05
A & R Giles Farming Ltd,2019-02-05
MR G W LEGGOTT,2019-02-05
D K & M J & N PARRIS,2019-02-05
R J & D E POMEROY,2019-02-05
M J & MRS P J HUGO & SON,2019-02-05
D W & L M UPINGTON,2019-02-05
T/A: G P & R Heal,2019-02-05
J W & T E SHARP,2019-02-05
I & P CLARKE,2019-02-06
MESSRS DENT,2019-02-06
MR Mark Stevens,2019-02-06
T/A: JR & SE Cook,2019-02-06
E P Roberts & Sons,2019-02-06
J D & Y M PINEO,2019-02-06
O G NEAGLE,2019-02-06
R D ROBERTS & SON,2019-02-06
EDE & SON,2019-02-06
"I, M & G INGMAN",2019-02-06
H W OULTRAM & CO,2019-02-06
T/A: Brynkinalt Farming Limited,2019-02-06
T/A: J and L Burdge,2019-02-07
MR G J TIDESWELL,2019-02-07
R L HARES & SONS,2019-02-07
M/S F E NORMAN & SONS,2019-02-07
R A SMITH & SON,2019-02-07
K P SILVERTHORNE & PARTNERS,2019-02-07
M A & G V MATKIN,2019-02-07
B A C & H M TRIM,2019-02-07
M/S J IRVING & SONS,2019-02-07
MESSRS MALLINSON,2019-02-07
MR R C HOLLINSHEAD,2019-02-07
T/A: T M Woodcock and Partners,2019-02-08
EVENING HILL FARM LTD,2019-02-08
EVENING HILL FARM LTD,2019-02-08
T S MATTHEWS & SON,2019-02-08
R J & R J CLAY & CO,2019-02-08
H HURST & SON,2019-02-08
D W JONES,2019-02-08
M/S M & M MAXWELL,2019-02-08
K R BRITTON & SON,2019-02-08
J E RUTTER AND SON,2019-02-08
T/A: B & H GRIFFIN,2019-02-08
FURNIVAL FARMS LTD,2019-02-08
G S & S J FOLLAND,2019-02-10
BARTON & HARRISON,2019-02-11
"B, RH & C HUGHES",2019-02-11
T/A: J & B RICHARDS,2019-02-11
T H MACE & SONS,2019-02-12
T/A: Lordsland Partnership,2019-02-12
D GOODWIN & SONS,2019-02-12
R SUMMERSON & SONS,2019-02-12
D R CLAPP,2019-02-12
PLOT FARM PARTNERS,2019-02-12
MESSRS A CARLYLE,2019-02-12
S D JAMES & CO,2019-02-12
T M MIDDLETON,2019-02-12
AE & E Garnett Ltd,2019-02-12
S & A MAY,2019-02-12
V & C SMITH,2019-02-13
PHR FARMS,2019-02-13
LITTLE ACRES GOAT PRODUCTS,2019-02-13
SLIMBRIDGE HOLSTEINS,2019-02-13
MR Mark Stevens,2019-02-13
T/A: S C & K L Durling & Son,2019-02-13
S J HOCKRIDGE & SON,2019-02-13
N L & F M CLEAVE,2019-02-13
T/A: RJB Farming Limited,2019-02-13
S J WALKER,2019-02-13
J R Hockenhull & Sons,2019-02-13
R D & A ROE,2019-02-13
G J WELLS & SON,2019-02-13
J F GREAVES & SON FARMS LTD,2019-02-13
F W READ & SONS LTD,2019-02-13
CHAPMANS DAIRY FARM,2019-02-13
R W & G E ROPER,2019-02-13
MR & MRS T LETTS & SON,2019-02-13
M/S G & N MARSHALL & SONS,2019-02-13
JOHN E WHITE,2019-02-13
F H EVERETT AND SON,2019-02-13
T/A: Richard Stubbs & Wendy Stubbs,2019-02-13
T/A: E E & R A Huddleston,2019-02-13
D & P THOMPSON,2019-02-13
T/A: H K & S B Bennett,2019-02-13
M R TUCKER,2019-02-13
D S & E J LE MAY,2019-02-13
DG CM WA Horton,2019-02-13
Cloverlait Limited,2019-02-13
T/A: Croenllwm Cyf,2019-02-13
G O & G WILLIAMS,2019-02-13
I O ROBERTS,2019-02-13
MR J G BELLIS,2019-02-13
"I, M & G INGMAN",2019-02-13
R D & K J HARRIS,2019-02-13
T/A: ME & ME Davenport,2019-02-13
T/A:Ellie?s Dairy,2019-02-13
T/A: Emma Aldous,2019-02-14
H J SMITH & SON,2019-02-14
S R Pottow & Son,2019-02-14
JOHN E WHITE,2019-02-14
E W & J A ROBERTS & SONS,2019-02-14
MR A & MRS E E SAUNDERS,2019-02-14
Park Farm Limited,2019-02-14
BRUNT PARTNERS,2019-02-14
LEWIS PARTNERS,2019-02-14
J E RUTTER AND SON,2019-02-14
A J BYRON,2019-02-14
A C MYCOCK,2019-02-14
K R & B A SANDERS & SON,2019-02-14
F W PIKE,2019-02-14
"A G, L & M G A BOWDEN",2019-02-15
BARTON & HARRISON,2019-02-15
M/S T AND R WATSON,2019-02-15
MESSRS WHITFIELD LTD,2019-02-15
T/A: Stelin Limited,2019-02-15
S N BAILEY & PARTNERS,2019-02-15
MR T BELL & PARTNERS,2019-02-15
S J POTTS,2019-02-15
Mr B R Mrs M & Mr R J Isaac,2019-02-15
J A Crump,2019-02-15
T/A: The Calf at Foot Dairy,2019-02-18
C E LAKE,2019-02-18
MESSRS F & E M BUXTON & PARTNERS,2019-02-18
KNOWLE FARM PARTNERSHIP,2019-02-18
M/s A C & D C Walters & Sons,2019-02-18
T/A: A J Kershaw & R J Inman,2019-02-18
Gibbins Agriculture,2019-02-18
J R BUCKNELL,2019-02-18
D K & M J & N PARRIS,2019-02-18
J BROWN & SONS,2019-02-19
REX PATERSON (FARMS) LTD,2019-02-19
SPARSHOLT COLLEGE,2019-02-19
CASTLESTEADS FARM,2019-02-19
Mr P D & Mrs J L Biss,2019-02-19
F J HOSKINS & SONS,2019-02-19
K H Salmon & Son,2019-02-19
GILCOMBE FARM,2019-02-19
J WHITAKER & SON,2019-02-19
G M & D J PYE,2019-02-19
G B & C A Davies,2019-02-19
Jenkins Ty Hen Limited,2019-02-19
Jones Bros.,2019-02-19
J P FLEMING & SON,2019-02-19
Susan Root,2019-02-19
J M & L J R Reynolds,2019-02-19
G M M & D W Morgan,2019-02-19
T/A: Lordsland Partnership,2019-02-19
T/A: Messrs T H & J Robinson,2019-02-19
T/A: Crouch Farm (Sussex) Limited,2019-02-20
E D & R E Roberts,2019-02-20
D P WILLIAMS,2019-02-20
E A & H F ROGERS,2019-02-20
"F M, J E, S D & M J Smith",2019-02-20
E S Willis Farms,2019-02-20
G S & C J Tomlinson,2019-02-20
G S & C J Tomlinson,2019-02-20
R M & Mrs B K Rawlings,2019-02-20
K R & J E Lorenz & Sons,2019-02-20
Mr D G & Mrs A H Allen,2019-02-20
Glyn Breeze & Partners,2019-02-20
J A & H E Lutner,2019-02-20
Mrs K Reeves,2019-02-20
MR Mark Stevens,2019-02-20
A HELFER,2019-02-20
D Dalton & Son Ltd,2019-02-20
Jennifer M Daw & Barry A Daw,2019-02-20
P C COLEMAN & PARTNERS,2019-02-20
D WALKER,2019-02-20
A R PAYNE & SONS,2019-02-20
C G & W L RICH & SON,2019-02-21
R J & S M Garrett,2019-02-21
R W & E E SUDELL & SON,2019-02-21
M/S R J REW & SONS,2019-02-21
M/S G A & G W STONE,2019-02-21
W GARNETT & SON,2019-02-21
P S & S H HAMMETT,2019-02-21
K H RILEY & SONS,2019-02-21
C H SHERWIN,2019-02-21
F S DANN & SON LTD,2019-02-21
John Morris & Sons,2019-02-21
Mrs R Thomas & Sons,2019-02-21
Mr H L & Mrs E M EVANS,2019-02-21
GERRING PARTNERS,2019-02-21
G I & E M Thomas,2019-02-21
TOWN HEAD FARM PRODUCTS LTD,2019-02-22
Mr B R Mrs M & Mr R J Isaac,2019-02-22
PLOT FARM PARTNERS,2019-02-22
MESSRS A F & B A WELFORD & SON,2019-02-22
REVELEY FARMS,2019-02-22
A C TIMBURY,2019-02-22
R R BARRETT & SON,2019-02-22
G J CARTER,2019-02-22
BARTON & HARRISON,2019-02-22
R J & R J CLAY & CO,2019-02-22
F W PIKE,2019-02-25
A J DERRYMAN & SON,2019-02-25
C G & G R SPILLER,2019-02-25
"R J, B C & N W J Monies",2019-02-25
Mr P D & Mrs J L Biss,2019-02-25
G J WELLS & SON,2019-02-25
M/S J B ABEL & SON,2019-02-26
SJ & LH Brown,2019-02-26
M J GRILLS & SON,2019-02-26
A P & D J HOUSE,2019-02-26
C F S FOX & SON,2019-02-26
M T BRAUNTON,2019-02-26
P & J PENGILLY & SONS,2019-02-26
MR A W & MRS J KING,2019-02-26
L D Heywood Ltd,2019-02-26
REG AS: Helen M Browning,2019-02-27
J H & M E WATKIN,2019-02-27
BELLIS BROTHERS,2019-02-27
T/A: M J & R M Tremayne,2019-02-27
T/A: Homer Farming Ltd,2019-02-27
T/A: J R and S M Howie,2019-02-27
T/A: J R and S M Howie,2019-02-27
T/A: Ross & Elaine Pattinson,2019-02-27
D HARGREAVES & SON LTD,2019-02-27
"J R, P M & D W Treleaven",2019-02-27
M/S E & J W WILSON,2019-02-27
B W & A ROBINSON & SON,2019-02-27
BENASH WARREN LIMITED,2019-02-27
B & M EVANS,2019-02-27
JOYLAN FARMS,2019-02-27
Robert Fare,2019-02-27
M/S M & M MAXWELL,2019-02-27
R E Fewings & Son,2019-02-27
D A Coombes,2019-02-27
G C & R E DUROSE,2019-02-28
D LLOYD THOMAS & CO,2019-02-28
G H & J Cork,2019-02-28
H M V Weekes,2019-02-28
D J FOSTER,2019-02-28
T H & C L JOHNSON,2019-02-28
C G & G R SPILLER,2019-02-28
C G & W L RICH & SON,2019-02-28
M/S R J REW & SONS,2019-02-28
R C & M I DAVIES,2019-02-28
E & G VAUGHAN,2019-02-28
T/A: D. Thorner,2019-03-01
T/A: A R & D L Walters,2019-03-01
T/A: E E & R A Huddleston,2019-03-01
R A AYRE & SON,2019-03-01
A R PAYNE & SONS,2019-03-01
A B & J PARKINSON & SONS,2019-03-01
Cornthwaite Moors Limited,2019-03-01
P C & S G THELWELL,2019-03-01
MESSRS WHITFIELD LTD,2019-03-01
M/S T AND R WATSON,2019-03-01
MESSRS A CARLYLE,2019-03-01
G B & C A Davies,2019-03-01
TOWN HEAD FARM PRODUCTS LTD,2019-03-01
M/S J & D ROBERTSHAW & SON,2019-03-01
M/S P F HULSE,2019-03-01
C A DAY & SONS,2019-03-01
W H G & J M Cornock,2019-03-01
W & A CARDWELL,2019-03-01
J F GREAVES & SON FARMS LTD,2019-03-01
K & A DUNCAN,2019-03-04
B H & Mrs E M B James,2019-03-04
M A & G V MATKIN,2019-03-04
R G & I R TAPP,2019-03-04
MR P J ANDREWS,2019-03-04
T/A: D Reeves & Partners,2019-03-04
T/A: R J & D J Clement,2019-03-04
T/A: L Hunter,2019-03-04
J A Crump,2019-03-04
T/A: C & H Ford Farm Ltd,2019-03-05
M/S J A BURNARD,2019-03-05
R L & M J Allin & Son,2019-03-05
A P & D J HOUSE,2019-03-05
M/S W F & R H PETHICK,2019-03-05
P G & Mrs E Thomas & Son,2019-03-05
MR W G M & MRS G S OWEN & CO,2019-03-05
W T E & G A MORGANS,2019-03-05
MR A & MRS E E SAUNDERS,2019-03-05
O S RUSSELL & CO,2019-03-05
"G, Mrs M M & T J Davies",2019-03-05
LORD NEWTON,2019-03-05
COSTON HALL FARMS LTD,2019-03-06
S J POTTS,2019-03-06
MISS J M DAY,2019-03-06
D E LYNES & PTNRS T/A STREET FARM DAIRY,2019-03-06
T CASTLE & SON,2019-03-06
T/A: Meggy Moo?s,2019-03-06
SLIMBRIDGE HOLSTEINS,2019-03-06
BLACKBURN & HAYNES,2019-03-06
T/A: Longwood Farm,2019-03-06
R P & G R WILLIAMS,2019-03-06
Joseph D Evans,2019-03-06
ROBERT JONES & SONS,2019-03-06
T/A: Richard Stubbs & Wendy Stubbs,2019-03-06
Free to Choose Ltd,2019-03-07
T/A: D G & J R Browne,2019-03-07
J E Scutt & Son,2019-03-07
V & C SMITH,2019-03-07
J Duerdin & Co.,2019-03-07
S D BAILEY,2019-03-07
ME & AW WRIGHT,2019-03-07
A R J CYSTER & SONS,2019-03-07
E P Roberts & Sons,2019-03-07
A & R Giles Farming Ltd,2019-03-07
J P FLEMING & SON,2019-03-08
H HURST & SON,2019-03-08
J WHITAKER & SON,2019-03-08
D WALKER,2019-03-08
R W & E E SUDELL & SON,2019-03-08
J M & J K CLIFFE & SON,2019-03-08
J S & K M WILSON,2019-03-08
W GARNETT & SON,2019-03-08
MESSRS HUGHES,2019-03-08
MESSERS G WILKINSON,2019-03-08
M/S C D & W A BLAND & SON,2019-03-08
CASTLESTEADS FARM,2019-03-08
MESSRS J R LYALL,2019-03-08
M T & J E HASSALL & SONS,2019-03-08
T/A: Messrs T H & J Robinson,2019-03-08
T/A: Peter Hill & Son,2019-03-11
P & L Farming Limited,2019-03-11
R A AYRE & SON,2019-03-11
R G & I R TAPP,2019-03-11
D J FOSTER,2019-03-11
R & P WATERFALL LIMITED,2019-03-11
J E LEESE,2019-03-11
C A DAY & SONS,2019-03-11
GILCOMBE FARM,2019-03-11
T M WATSON & SON,2019-03-11
R EVANS & SON,2019-03-11
W BURDASS & SONS,2019-03-11
T/A: P G T HOOK & SON,2019-03-12
MR A W & MRS J KING,2019-03-12
JOHN S PILE (FARMS) LTD,2019-03-12
G DAVIES,2019-03-13
A & P M SPENCER,2019-03-13
D A H BAKER & PARTNERS,2019-03-13
T/A: P L & K J Boam,2019-03-13
T H & C L JOHNSON,2019-03-13
D & C GIBSON,2019-03-13
C G & G R SPILLER,2019-03-13
A J DERRYMAN & SON,2019-03-13
W H BRASS,2019-03-13
Mr N H Burden,2019-03-13
R J R Parsons,2019-03-13
FOREMORE LIMITED,2019-03-13
T/A: MGJ & JA Hares,2019-03-13
R N Cope,2019-03-14
T/A: J & M & E A Taylor,2019-03-14
A & R Giles Farming Ltd,2019-03-14
C H & E D A & R H W Howells,2019-03-14
T/A: C A M & J S Jones,2019-03-14
John Morris & Sons,2019-03-14
"E A, P S ,G A & S M Johnson",2019-03-14
C H SHERWIN,2019-03-14
R A SMITH & CO,2019-03-14
R & K F DUMELOW,2019-03-14
I J & E C Dawkins,2019-03-14
P & J PENGILLY & SONS,2019-03-14
R J & S M WADE & SON,2019-03-14
MR Mark Stevens,2019-03-14
R J FLETCHER & SON,2019-03-14
G I & E M Thomas,2019-03-14
R B BETTERIDGE,2019-03-14
G E & S W OAKES,2019-03-14
F W HUGHES & SONS,2019-03-15
T/A: D & J A Stewart,2019-03-15
T/A: The Mount Goat's Cheese,2019-03-15
A B & J PARKINSON & SONS,2019-03-15
Cornthwaite Moors Limited,2019-03-15
T/A: Park Hall Farm,2019-03-15
G D & M RODGERS & SONS,2019-03-15
SAYERS FARMS,2019-03-15
MR P J ANDREWS,2019-03-15
P D & S K BLAKE,2019-03-15
T I WELLINGTON,2019-03-15
T & J Pritt,2019-03-15
William Sharpe,2019-03-15
F H EVERETT AND SON,2019-03-15
W & A CARDWELL,2019-03-15
R H TRIVETT & SON,2019-03-15
MISS J M DAY,2019-03-15
MESSRS J D JONES & SON,2019-03-18
MR P H CLAY,2019-03-18
J E LEESE,2019-03-18
DAVID FRYARS & SON,2019-03-18
R G Stanley & Son,2019-03-18
Wilderley Hall Farms Ltd,2019-03-18
NALDRETT & PARTNERS,2019-03-18
R & E B DRAKE,2019-03-18
S A Stockdale,2019-03-18
"H P E, E B & J J Beynon",2019-03-18
Mr T H L & Mrs S C Wilson,2019-03-18
K A & C M Llewellyn,2019-03-18
J R Thomas & Son,2019-03-18
W J WANNOP,2019-03-18
MESSRS R I SPEDDING,2019-03-18
M/S H L BANBURY & SON,2019-03-18
MR G M BLAIR,2019-03-18
A SUTTON & SON,2019-03-18
A B & J PARKINSON & SONS,2019-03-18
M R & K M Pring,2019-03-18
T/A: Misson Organic Dairying Ltd,2019-03-18
P & L Farming Limited,2019-03-18
T/A: CJ & VJ Tucker,2019-03-18
T/A: CJ & VJ Tucker,2019-03-18
D & P THOMPSON,2019-03-18
C R BARNETT,2019-03-18
C R & J A BOOTH,2019-03-19
T/A: Private Limited Company: Company No. 08679028,2019-03-19
P C COLEMAN & PARTNERS,2019-03-19
"F C, M E & M F  RUNDLE",2019-03-19
R R BURROWS & SON,2019-03-19
A C TIMBURY,2019-03-19
P & M HAYLOCKS FARMS,2019-03-19
R J & K R WILKINSON,2019-03-19
M A & M R Williams,2019-03-19
J G Waterhouse,2019-03-19
SPLENDIDSUCCESS LTD,2019-03-19
T/A: J & M & E A Taylor,2019-03-19
B J & M TOMLINSON & SON,2019-03-20
C J & M H PARRY,2019-03-20
P T Bale & Sons,2019-03-20
P W KEEN & SON,2019-03-20
Brodyr Williams,2019-03-20
MESSRS HAYLLAR,2019-03-20
MESSRS DENT,2019-03-20
P H THOMPSON & PARTNERS,2019-03-20
J K & D J ASTBURY,2019-03-20
P E LAWTON & SON,2019-03-20
R E ARCHER (FARMS) LTD,2019-03-20
T J & N J & R J PATCH,2019-03-20
R & K F DUMELOW,2019-03-20
D J METCALF & CO,2019-03-20
T/A: S E Alderman,2019-03-20
Cloverlait Limited,2019-03-20
R & A Holder,2019-03-20
