Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - High Value Campaigns,Trade Group - Service Delivery,PA CONSULTING GROUP LTD,114762,"9,534.59",,SG8 6DP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - High Value Campaigns,Trade Group - Creative Economy Tech & Construction,PA CONSULTING GROUP LTD,114762,"19,713.60",,SG8 6DP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - High Value Campaigns,Trade Group - UKTI Education,PA CONSULTING GROUP LTD,114762,"34,320.22",,SG8 6DP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - High Value Campaigns,Trade Group - Creative Economy Tech & Construction,PA CONSULTING GROUP LTD,114762,"58,129.18",,SG8 6DP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - High Value Campaigns,Trade Group - Creative Economy Tech & Construction,PA CONSULTING GROUP LTD,114762,"60,053.92",,SG8 6DP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - High Value Campaigns,Trade Group - Creative Economy Tech & Construction,PA CONSULTING GROUP LTD,114762,"66,916.50",,SG8 6DP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - High Value Campaigns,Trade Group - Consumer and Retail,PA CONSULTING GROUP LTD,114762,"119,255.38",,SG8 6DP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Hire of Agency Staff - Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",MANPOWER S R L,114763,"75,438.86",,20122,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Non-Specific Programme activity,Defence and Security Organisation - Business Development,VODAFONE LTD,114776,4.8,,RG14 1LA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Non-Specific Programme activity,Defence and Security Organisation - Business Development,VODAFONE LTD,114779,4.8,,RG14 1LA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/10/2015,Mobile Phones - Non-Specific Programme activity,Trade Group - Service Delivery,VODAFONE LTD,114784,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Non-Specific Programme activity,Defence and Security Organisation - Business Development,VODAFONE LTD,114786,4.8,,RG14 1LA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Telecoms - Non-Specific Programme activity,Investment Development - Global Operations,VODAFONE LTD,114804,4.81,,RG14 1LA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Telecoms - Non-Specific Programme activity,Investment Development - Global Operations,VODAFONE LTD,114805,4.8,,RG14 1LA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,29/10/2015,Business Management Advice - Cyber Security,Defence and Security Organisation - Cyber Security Team,INFORMATION TECHNOLOGY TELECOMMUNICATIONS AND ELECTRONICS ASSOCIATION T/A TECHUK,114806,"7,989.48",,EC4A 4AD,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Hire of Agency Staff - Overseas Business Network Development,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CAPITA BUSINESS SERVICES LTD,114812,"1,709.23",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Telecoms - Non-Specific Programme activity,Investment Development - Global Operations,VODAFONE LTD,114840,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114901,13.47,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114904,7.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114906,8.88,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114907,0.32,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114907,3.26,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114908,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114910,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114912,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Telecoms - Non-Specific Programme activity,Investment Development - Global Operations,VODAFONE LTD,114914,5.7,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114916,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114917,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114921,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114922,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114924,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114926,14.31,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114927,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114929,7.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114930,8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114930,18.18,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114931,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114932,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114933,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114934,7.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114935,7.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114937,7.84,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114938,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114939,7.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114940,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114941,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114942,26.76,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,114943,5.28,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/10/2015,Hire of Agency Staff - Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",MANPOWER GROUP SOLUTIONS SRL,115054,"12,418.18",,20122,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - First Time Exporter Credits,Trade Group - Service Delivery,BIOQ8 LTD,115072,248.77,,NE23 3GX,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - First Time Exporter Credits,Trade Group - Service Delivery,MOJO SKIN & HAIRCARE LTD,115073,500,,SL9 9DG,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - First Time Exporter Credits,Trade Group - Service Delivery,THE AUSTRALIAN BOTANICS COMPANY,115077,"1,000.00",,BD4 8NW,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Hire of Agency Staff - Non-Specific Programme activity,Chief Operating Officer - IT and Finance,CAPITA BUSINESS SERVICES LTD,115082,"3,514.14",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Stationery - Non-Specific Programme activity,Trade Group - Operations Directorate,BANNER BUSINESS SERVICES LTD,115089,83.66,,S9 1XU,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Coaching - Non-Specific Programme activity,"Trade Group - Managing Director, Trade Group",CAPITA BUSINESS SERVICES LTD,115210,"17,528.00",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Training Costs - Non-Specific Programme activity (Admin),Chief Operating Officer - Strategy & Human Resources,CAPITA BUSINESS SERVICES LTD,115211,"5,226.00",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/10/2015,Other Professional Services - E-exporting,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,115212,"-34,628.26",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Corporate Event Management and Marketing - Sector Events - UK,Trade Group - Partnerships & Business,LONDON DESIGN FESTIVAL LTD,115226,"9,000.00",,W1D 3JJ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Translation Services - Trade Development Support,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",FCO SERVICES,115227,140,,MK19 7BH,WGA ONLY,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Translation Services - Non-Specific Programme activity,Chief Operating Officer - Communications,FCO SERVICES,115246,"20,111.83",,MK19 7BH,WGA ONLY,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,09/10/2015,Other Professional Services - E-exporting,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,115259,"43,057.87",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,09/10/2015,Other Professional Services - E-exporting,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,115260,"75,959.15",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Hire of Agency Staff - Non-Specific Programme activity,Trade Group - Partnerships & Business,CAPITA BUSINESS SERVICES LTD,115261,"1,616.66",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Hire of Agency Staff - Overseas Business Network Development,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CAPITA BUSINESS SERVICES LTD,115262,"1,922.89",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Hire of Agency Staff - Non-Specific Programme activity,Trade Group - Partnerships & Business,CAPITA BUSINESS SERVICES LTD,115263,"1,847.62",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/10/2015,Other Professional Services - E-exporting,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,115264,"-75,337.40",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Air Travel - Sector Events - UK,Defence and Security Organisation - Business Development,HEATHROW AIRPORT LTD,115309,"6,500.00",,TW6 2GW,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Other Goods/Services - Market Visit Scheme,Trade Group - Service Delivery,WEST MIDLANDS INTERNATIONAL TRADE LLP,115324,"3,720.00",,B15 3DH,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Current Grants To Private Sector - NPISH - Mid-Sized Business Events,Trade Group - Creative Economy Tech & Construction,UNIVERSITY OF SHEFFIELD,115325,"19,750.00",,S10 2UH,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Receipt of Fees and Charges - OMIS Income,Trade Group - Service Delivery,Exelis Defence Ltd,115326,"2,100.00",,RG22 4BA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Corporate Event Management and Marketing - Non-Specific Programme activity,Trade Group - Service Delivery,THE KNOWSLEY CHAMBER OF INDUSTRY AND COMMERCE,115332,84,,L33 7TX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Professional Subscriptions - Non-Specific Programme activity,Investment Development - Global Operations,BLOOMBERG FINANCE LP,115333,"1,359.67",,EC2A 1PQ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,08/10/2015,Professional Subscriptions - Non-Specific Programme activity,Investment Development - Global Operations,BLOOMBERG FINANCE LP,115333,"8,158.03",,EC2A 1PQ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Corporate Event Management and Marketing - International Festival of Business,Trade Group - Service Delivery,NEWSCO INSIDER LTD,115334,"12,000.00",,M1 3HY,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Interpreters - Non-Specific Programme activity,Trade Group - Healthcare UK,THEBIGWORD INTERPRETING SERVICES LTD,115335,595.7,,LS12 6AB,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Marketing - Design Services - GREAT Events UK,Chief Operating Officer - Communications,ENGINE PARTNERS UK LLP (THE ENGINE GROUP LTD),115336,"12,646.90",,W1W 7RT,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Rail Travel Overseas - Other Programme Costs,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",115340,11.41,,SW1H 0ET,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Entertaining Overseas - Other Programme Costs,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",115340,32.63,,SW1H 0ET,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Taxi Services Overseas - Other Programme Costs,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",115340,44.2,,SW1H 0ET,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Taxi Services UK - Other Programme Costs,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",115340,49,,SW1H 0ET,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Subsistence Overseas - Other Programme Costs,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",115340,62.63,,SW1H 0ET,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Subsistence Overseas - Other Programme Costs,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",115340,102.66,,SW1H 0ET,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Hotel & Accommodation Overseas - Other Programme Costs,Trade Group - Creative Economy Tech & Construction,"Personal Expense, Name Witheld",115340,444.55,,SW1H 0ET,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - First Time Exporter Credits,Trade Group - Service Delivery,ESSENTIAL ESSENCE,115341,931.99,,DY7 5EG,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Business Continuity Planning Service - Trade Marketing Events,Trade Group - Service Delivery,SOFTCAT LTD,115359,"1,003.00",,SL7 1LW,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Sponsorship Support - E-exporting,Trade Group - Consumer and Retail,WE ARE PENTAGON LTD,115360,"15,000.00",,TW10 9QX,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Other Professional Services - Attracting Global Entrepreneurs,"Investment Development - Managing Director & Operations, Investment Development",PA CONSULTING GROUP LTD,115361,"23,992.49",,SG8 6DP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Publications - UKTI Programme Admin,Chief Operating Officer - IT and Finance,JONES YARRELL LEADENHALL,115369,49.92,,E3 3JG,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,ICT Outsourcing & Maintenance/Support - Digital Marketing,Chief Operating Officer - Communications,EXPERIAN LTD,115371,"1,500.00",,NG80 1ZZ,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,THE BRITISH SECURITY INDUSTRY ASSOCIATION LTD,115372,"30,000.00",,WR3 7NS,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Current Grants To Private Sector - NPISH - Trade Access Programme Group Support Scheme,Trade Group - Partnerships & Business,THE BRITISH SECURITY INDUSTRY ASSOCIATION LTD,115373,"2,880.00",,WR3 7NS,VENDOR,,,Programme
