DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-04,EXP - PURCHASE OF GOODS/SERVICES- OTHER - PROGRAMME EXP - LOCAL AUTHORITY GRANTS,REGULATORY DELIVERY,TRADING STANDARDS INSTITUTE (GRANTS),1011715016,32776.5,Feed Off. Conts 2020 / 21 NTS/TSI fees. Feed Official Controls funding 2020 / 21: Programme Management Costs (TSI/CTSI) (FS616020),SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-02,Redacted under s43 FOI Act,OPERATIONAL DELIVERY,Redacted under s43 FOI Act,1011714983,31852.0,Redacted under s43 FOI Act,Redacted under s43 FOI Act,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,RISK ASSESSMENT - RESEARCH AND DEVELOPMENT,ANIMAL & PLANT HEALTH AGENCY,2012700945,30352.45,"FS102109-EU Harmonised Survey of AMR in Retail Meats (APHA, Year 5) ",KT15 3NB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-12,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT SERVICE DELIVERY,LITTLE FISH UK LTD,1011715093,30264.0,IT25 Helpdesk Servicedesk (Sep 20 - Mar 21),NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,OPERATIONAL DELIVERY,ARCO UK LTD,1011715087,29126.86,PPE Bulk purchase order funds 11770002606  20/21,HU1 2SJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,LGC LTD,1011715153,26439.72,FS301017: Validation of Multispectral imaging (MSI) technology for food and feed analysis,TW11 0LY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-12,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,FINANCE,SHARED SERVICES CONNECTED LTD,1011715101,24585.95,SSCL Core charge management services 2020-21,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-08,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - MOBILE PHONES,IT SERVICE DELIVERY,EE LTD,1011715042,23984.63,EE Mobile Contract Redacted under s43 FOI,S98 1PS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-16,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance,COGNIZANT WORLDWIDE LTD,1011715121,23630.0,FSA715 FSA Surveillance Programme ? Data Science Core Team,W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011715064,22800.0,IT24 WP18 Tactical Rationalisation and Optimisation,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,RISK ASSESSMENT - RESEARCH AND DEVELOPMENT,EPIMORPHICS LTD,1011715083,22610.5,FSA581 WP30 - Regulated Products Register,BS20 6PT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,PEOPLE & ORGANISATIONAL CHANGE,LEARNING POOL LTD,1011715065,22300.0,Learning Management System (FS430300),BT48 7EL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,C E F A S,2012700948,22294.0,Shellfish Classification Management,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-12,EXP - PURCHASE OF GOODS/SERVICES - IT MANAGEMENT AND CHANGE - IT DEVELOPMENT,FINANCE,SHARED SERVICES CONNECTED LTD,1011715101,21985.62,RFC44094  - MYHUB Implementation costs,HP2 7AH,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-02,EXP - MISCELLANEOUS EXPENDITURE,COMMS,IPSOS MORI,1011714985,21800.0,Ipsos Mori - MPs survey,E1W 1YW,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER,SCIENTIFIC METHODS AND LABORATORY POLICY,FERA SCIENCE LIMITED,1011715000,21545.0,FS 616030 - National Reference Laboratory for Contaminants,YO41 1LZ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-01,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,OPERATIONAL DELIVERY,ELIS UK LTD,1011714958,20897.26,Berendsen - Lot 2 - Laundry Services,RG24 8NE,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-12,EXP - PURCHASE OF GOODS/SERV - SUPPORT - IT SUPPORT SERVICES,IT SERVICE DELIVERY,LITTLE FISH UK LTD,1011715093,20843.5,IT19 Build Manage & Maintain (EUC) (Sep 20 - Mar 21),NG1 1LS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-24,Redacted under s43 FOI Act,OPERATIONAL DELIVERY,Redacted under s43 FOI Act,1011715204,7633.6,Redacted under s43 FOI Act,Redacted under s43 FOI Act,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011714990,7237.0,UK VAT - UK VAT,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,RISK ASSESSMENT - RESEARCH AND DEVELOPMENT,ANIMAL & PLANT HEALTH AGENCY,2012700945,6070.49,UK VAT - UK VAT,KT15 3NB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-18,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,LGC LTD,1011715153,5287.95,FS301017 - Validation of Multispectral imaging (MSI) technology for food and feed analysis. Start date: 01/November/2017End date: 31/August/2018,TW11 0LY,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-08,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - MOBILE PHONES,IT SERVICE DELIVERY,EE LTD,1011715042,4794.53,UK VAT - UK VAT,S98 1PS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011715064,4560.0,UK VAT - UK VAT,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-10,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,PEOPLE & ORGANISATIONAL CHANGE,LEARNING POOL LTD,1011715065,4460.0,UK VAT - UK VAT,BT48 7EL,ADMIN
