MonthReceived,Ref,IKMTeamMemberLead,Directorate,EnquiryType
Jan-17,34.0,Security Manager,External Requester ,Information Governance
Jan-17,35.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jan-17,36.0,Deputy IT Security Officer,External Requester ,Security
Jan-17,37.0,Information Architect,External Requester ,Records Management - Other
Jan-17,38.0,Information Architect,External Requester ,Information Governance
Jan-17,39.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jan-17,40.0,Information Architect,External Requester ,Records Management - Other
Jan-17,41.0,Security Manager,External Requester ,Security
Jan-17,42.0,Security Manager,Wales and Regulatory Delivery,Security
Jan-17,43.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jan-17,44.0,Information Governance Manager,Regulatory and Legal Strategy,Records Management - Other
Jan-17,45.0,Security Manager,Openness Data and Digital,Security
Jan-17,46.0,Information Architect,Policy and Science,Records Management - Other
Jan-17,47.0,Security Manager,External Requester ,Records Management - Wisdom
Jan-17,48.0,Security Manager,Regulatory and Legal Strategy,Security
Jan-17,49.0,Information Architect,Finance and Performance,Records Management - Other
Jan-17,50.0,Information Governance Manager,Finance and Performance,Records Management - Other
Jan-17,51.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Jan-17,52.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Jan-17,53.0,Information Architect,Openness Data and Digital,Information Governance
Jan-17,54.0,Information Architect,Policy and Science,Records Management - Wisdom
Jan-17,55.0,Information Architect,Operations,Records Management - Wisdom
Jan-17,56.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jan-17,57.0,Security Manager,External Requester ,Security
Jan-17,58.0,Information Architect,Operations,Records Management - Wisdom
Jan-17,59.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Jan-17,60.0,Security Manager,External Requester ,Records Management - Wisdom
Jan-17,61.0,Information Architect,Operations,Records Management - Wisdom
Jan-17,62.0,Information Architect,Finance and Performance,Records Management - Wisdom
Jan-17,63.0,Security Manager,Openness Data and Digital,Security
Jan-17,64.0,Information Governance Manager,External Requester ,Information Governance
Jan-17,65.0,Information Architect,Regulatory and Legal Strategy,Records Management - Other
Jan-17,66.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Jan-17,67.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Jan-17,68.0,Security Manager,External Requester ,Security
Jan-17,69.0,Information Architect,Policy and Science,Records Management - Wisdom
Feb-17,70.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Feb-17,71.0,Information Architect,Operations,Records Management - Wisdom
Feb-17,72.0,Information Architect,Finance and Performance,Records Management - Wisdom
Feb-17,73.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Feb-17,74.0,Information Architect,Finance and Performance,Records Management - Wisdom
Feb-17,75.0,Information Architect,Regulatory and Legal Strategy,Information Governance
Feb-17,76.0,Deputy IT Security Officer,NI and Organisational Development,Security
Feb-17,77.0,Security Manager,Policy and Science,Records Management - Wisdom
Feb-17,78.0,Security Manager,External Requester ,Records Management - Other
Jan-17,79.0,Security Manager,Policy and Science,Records Management - Other
Feb-17,80.0,Information Architect,External Requester ,Records Management - Other
Feb-17,81.0,Information & security Team Leader,Policy and Science,Information Governance
Feb-17,82.0,Information Architect,Policy and Science,Records Management - Wisdom
Feb-17,83.0,Security Manager,Wales and Regulatory Delivery,Security
Feb-17,84.0,Security Manager,Regulatory and Legal Strategy,Security
Feb-17,85.0,Information Architect,External Requester ,Information Governance
Feb-17,86.0,Information & security Team Leader,Private Office,Records Management - Wisdom
Feb-17,87.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Feb-17,88.0,Information Architect,Finance and Performance,Records Management - Wisdom
Feb-17,89.0,Deputy IT Security Officer,External Requester ,Security
Jan-17,90.0,Information & security Team Leader,Openness Data and Digital,Information Governance
Jan-17,91.0,Information & security Team Leader,Operations,Records Management - Other
Feb-17,92.0,Information & security Team Leader,Operations,Records Management - Other
Feb-17,93.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Feb-17,94.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Feb-17,95.0,Security Manager,External Requester ,Security
Feb-17,96.0,Information Governance Manager,Wales and Regulatory Delivery,Information Governance
Feb-17,97.0,Information & security Team Leader,Finance and Performance,Records Management - Other
Feb-17,98.0,Information & security Team Leader,Operations,Records Management - Other
Feb-17,99.0,Information Architect,Policy and Science,Records Management - Other
Feb-17,100.0,Security Manager,External Requester ,Security
Feb-17,101.0,Security Manager,External Requester ,Security
Feb-17,102.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Feb-17,103.0,Security Manager,Wales and Regulatory Delivery,Security
Feb-17,104.0,Deputy IT Security Officer,External Requester ,Security
Feb-17,105.0,Deputy IT Security Officer,Openness Data and Digital,Security
Feb-17,106.0,Deputy IT Security Officer,Openness Data and Digital,Security
Jan-17,107.0,Information Architect,Policy and Science,Records Management - Wisdom
Feb-17,108.0,Security Manager,External Requester ,Security
Feb-17,109.0,Security Manager,Policy and Science,Security
Feb-17,110.0,Security Manager,External Requester ,Security
Feb-17,111.0,Information & security Team Leader,Policy and Science,Information Governance
Feb-17,112.0,Security Manager,External Requester ,Security
Feb-17,113.0,Information Architect,External Requester ,Records Management - Other
Feb-17,114.0,Information Governance Manager,Wales and Regulatory Delivery,Information Governance
Feb-17,115.0,Information & security Team Leader,Operations,Records Management - Other
Feb-17,116.0,Security Manager,Policy and Science,Records Management - Wisdom
Jan-17,117.0,Security Manager,External Requester ,Security
Feb-17,118.0,Information Architect,Policy and Science,Information Governance
Feb-17,119.0,Information Governance Manager,Finance and Performance,Records Management - Other
Feb-17,120.0,Information & security Team Leader,Regulatory and Legal Strategy,Information Governance
Feb-17,121.0,Information & security Team Leader,Finance and Performance,Records Management - Other
Feb-17,122.0,Information Architect,External Requester ,Information Governance
Feb-17,123.0,Information & security Team Leader,Openness Data and Digital,Information Governance
Feb-17,124.0,Information & security Team Leader,Operations,Records Management - Other
Feb-17,125.0,Information Architect,Policy and Science,Records Management - Wisdom
Feb-17,126.0,Information Governance Manager,Openness Data and Digital,Information Governance
Feb-17,127.0,Information Architect,Finance and Performance,Records Management - Wisdom
Feb-17,128.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Feb-17,129.0,Security Manager,Openness Data and Digital,Security
Feb-17,130.0,Information Governance Manager,Finance and Performance,Records Management - Other
Feb-17,131.0,Information & security Team Leader,External Requester ,Information Governance
Feb-17,132.0,Information Architect,Operations,Records Management - Wisdom
Feb-17,133.0,Security Manager,Policy and Science,Security
Feb-17,134.0,Information Governance Manager,Openness Data and Digital,Information Governance
Feb-17,135.0,Deputy IT Security Officer,Policy and Science,Security
Feb-17,136.0,Information & security Team Leader,External Requester ,Information Governance
Feb-17,137.0,Information & security Team Leader,Wales and Regulatory Delivery,Information Governance
Feb-17,138.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Feb-17,139.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Feb-17,140.0,Information Architect,External Requester ,Records Management - Other
Feb-17,141.0,Information Architect,Finance and Performance,Records Management - Wisdom
Feb-17,142.0,Security Manager,Policy and Science,Records Management - Other
Feb-17,143.0,Information Governance Manager,Regulatory and Legal Strategy,Records Management - Other
Feb-17,144.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Feb-17,145.0,Information Architect,Finance and Performance,Records Management - Wisdom
Feb-17,146.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Feb-17,147.0,Information & security Team Leader,Policy and Science,Records Management - Wisdom
Feb-17,148.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Jan-17,149.0,Security Manager,Finance and Performance,Security
Feb-17,150.0,Security Manager,Finance and Performance,Records Management - Other
Feb-17,151.0,Information & security Team Leader,Openness Data and Digital,Records Management - Other
Feb-17,152.0,Information Governance Manager,Finance and Performance,Records Management - Other
Feb-17,153.0,Information Governance Manager,Finance and Performance,Records Management - Other
Feb-17,154.0,Security Manager,External Requester ,Records Management - Other
Feb-17,155.0,Security Manager,External Requester ,Information Governance
Feb-17,156.0,Information Governance Manager,Wales and Regulatory Delivery,Information Governance
Feb-17,157.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Feb-17,158.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Feb-17,159.0,Information Architect,Operations,Records Management - Wisdom
Mar-17,160.0,Deputy IT Security Officer,External Requester ,Security
Feb-17,161.0,Information & security Team Leader,Openness Data and Digital,Information Governance
Mar-17,162.0,Deputy IT Security Officer,External Requester ,Information Governance
Mar-17,163.0,Information Architect,Finance and Performance,Records Management - Other
Mar-17,164.0,Information Governance Manager,Wales and Regulatory Delivery,Information Governance
Mar-17,165.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Mar-17,166.0,Information Architect,Operations,Records Management - Wisdom
Mar-17,167.0,Security Manager,Openness Data and Digital,Security
Mar-17,168.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Mar-17,169.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Mar-17,170.0,Information Architect,Policy and Science,Records Management - Wisdom
Mar-17,171.0,Information & security Team Leader,External Requester ,Records Management - Other
Mar-17,172.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Mar-17,173.0,Information Governance Manager,Regulatory and Legal Strategy,Information Governance
Mar-17,174.0,Information Governance Manager,NI and Organisational Development,Information Governance
Mar-17,175.0,Information Governance Manager,Finance and Performance,Records Management - Other
Mar-17,176.0,Information Governance Manager,External Requester ,Information Governance
Mar-17,176.0,Information Governance Manager,Regulatory and Legal Strategy,Records Management - Other
Mar-17,177.0,Information Architect,Policy and Science,Information Governance
Mar-17,178.0,Information Architect,Policy and Science,Records Management - Wisdom
Mar-17,179.0,Information Architect,External Requester ,Records Management - Wisdom
Mar-17,180.0,Information Architect,External Requester ,Records Management - Other
Mar-17,181.0,Security Manager,External Requester ,Security
Mar-17,182.0,Information Architect,Policy and Science,Information Governance
Mar-17,183.0,Information & security Team Leader,NI and Organisational Development,Records Management - Wisdom
Mar-17,184.0,Security Manager,Openness Data and Digital,Security
Feb-17,185.0,Information Architect,External Requester ,Records Management - Wisdom
Mar-17,186.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,187.0,Information Architect,External Requester ,Information Governance
Mar-17,188.0,Security Manager,External Requester ,Information Governance
Mar-17,189.0,Information Architect,Operations,Information Governance
Mar-17,190.0,Information Architect,Openness Data and Digital,Information Governance
Mar-17,191.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Mar-17,192.0,Information Architect,Operations,Records Management - Wisdom
Mar-17,193.0,Information Architect,Operations,Records Management - Wisdom
Mar-17,194.0,Information Governance Manager,Finance and Performance,Information Governance
Mar-17,195.0,Security Manager,External Requester ,Security
Mar-17,196.0,Security Manager,Finance and Performance,Information Governance
Mar-17,197.0,Security Manager,External Requester ,Information Governance
Mar-17,198.0,Information Architect,External Requester ,Records Management - Other
Mar-17,199.0,Information Governance Manager,Finance and Performance,Information Governance
Mar-17,200.0,Security Manager,External Requester ,Security
Mar-17,201.0,Security Manager,Openness Data and Digital,Security
Mar-17,202.0,Information Architect,Finance and Performance,Records Management - Wisdom
Mar-17,203.0,Information Architect,Operations,Records Management - Wisdom
Mar-17,204.0,Information Architect,Operations,Records Management - Wisdom
Mar-17,205.0,Information Architect,Finance and Performance,Records Management - Wisdom
Mar-17,206.0,Information Architect,External Requester ,Records Management - Wisdom
Mar-17,207.0,Security Manager,Regulatory and Legal Strategy,Records Management - Other
Mar-17,208.0,Information Architect,Regulatory and Legal Strategy,Records Management - Other
Mar-17,209.0,Security Manager,Openness Data and Digital,Security
Mar-17,210.0,Security Manager,External Requester ,Security
Mar-17,211.0,Security Manager,Openness Data and Digital,Security
Mar-17,212.0,Security Manager,Openness Data and Digital,Security
Mar-17,213.0,Information & security Team Leader,Operations,Information Governance
Mar-17,214.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Mar-17,215.0,Head of Information Management ,Openness Data and Digital,Information Governance
Mar-17,216.0,Security Manager,External Requester ,Security
Mar-17,217.0,Security Manager,Finance and Performance,Security
Mar-17,218.0,Head of Information Management ,External Requester ,Security
Mar-17,219.0,Information Architect,NI and Organisational Development,Records Management - Other
Mar-17,220.0,Information & security Team Leader,Operations,Information Governance
Mar-17,221.0,Information Architect,Policy and Science,Records Management - Other
Mar-17,222.0,Security Manager,Finance and Performance,Security
Mar-17,223.0,Security Manager,External Requester ,Security
Mar-17,224.0,Information & security Team Leader,Policy and Science,Records Management - Other
Mar-17,225.0,Information Architect,Policy and Science,Records Management - Wisdom
Mar-17,226.0,Information Architect,Finance and Performance,Records Management - Wisdom
Mar-17,227.0,Information & security Team Leader,Policy and Science,Information Governance
Mar-17,228.0,Security Manager,Operations,Security
Apr-17,229.0,Information Architect,Private Office,Records Management - Wisdom
Apr-17,230.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Apr-17,231.0,Information Governance Manager,Wales and Regulatory Delivery,Records Management - Other
Mar-17,232.0,Information & security Team Leader,Openness Data and Digital,Information Governance
Mar-17,233.0,Security Manager,Policy and Science,Security
Mar-17,234.0,Information Architect,Policy and Science,Records Management - Wisdom
Mar-17,235.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Mar-17,236.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Apr-17,237.0,Security Manager,External Requester ,Security
Apr-17,238.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Records Management - Wisdom
Apr-17,239.0,Information Architect,Operations,Records Management - Wisdom
Mar-17,240.0,Information & security Team Leader,Operations,Information Governance
Apr-17,241.0,Information & security Team Leader,Wales and Regulatory Delivery,Information Governance
Apr-17,242.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Apr-17,243.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Apr-17,244.0,Information Architect,NI and Organisational Development,Records Management - Wisdom
Apr-17,245.0,Information & security Team Leader,Operations,Information Governance
Apr-17,246.0,Security Manager,External Requester ,Security
Apr-17,247.0,Information & security Team Leader,Wales and Regulatory Delivery,Information Governance
Mar-17,248.0,Deputy IT Security Officer,Policy and Science,Security
Mar-17,249.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,250.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,251.0,Deputy IT Security Officer,Operations,Security
Mar-17,252.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,253.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,254.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,255.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Mar-17,256.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,257.0,Deputy IT Security Officer,Operations,Security
Mar-17,258.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,259.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Mar-17,260.0,Deputy IT Security Officer,Policy and Science,Security
Mar-17,261.0,Information Governance Manager,Openness Data and Digital,Security
Mar-17,262.0,Information Governance Manager,Openness Data and Digital,Information Governance
Mar-17,263.0,Information Governance Manager,Finance and Performance,Information Governance
Apr-17,264.0,Information Architect,Operations,Records Management - Wisdom
Apr-17,265.0,Security Manager,NI and Organisational Development,Security
Apr-17,266.0,Security Manager,Operations,Security
Apr-17,267.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Mar-17,268.0,Deputy IT Security Officer,Finance and Performance,Security
Mar-17,269.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,270.0,Deputy IT Security Officer,Operations,Security
Mar-17,271.0,Deputy IT Security Officer,Finance and Performance,Security
Apr-17,272.0,Information Architect,Policy and Science,Records Management - Wisdom
Apr-17,273.0,Information Architect,Policy and Science,Records Management - Other
Apr-17,274.0,Information Architect,Openness Data and Digital,Records Management - Wisdom
Apr-17,275.0,Security Manager,Openness Data and Digital,Security
Apr-17,276.0,Security Manager,Wales and Regulatory Delivery,Security
Apr-17,277.0,Information Architect,Policy and Science,Records Management - Wisdom
Apr-17,278.0,Information Governance Manager,External Requester ,Information Governance
Apr-17,279.0,Security Manager,External Requester ,Security
Mar-17,280.0,Information & security Team Leader,Policy and Science,Security
Apr-17,281.0,Information & security Team Leader,Openness Data and Digital,Records Management - Wisdom
Apr-17,282.0,Information & security Team Leader,External Requester ,Records Management - Wisdom
Mar-17,283.0,Deputy IT Security Officer,NI and Organisational Development,Security
Mar-17,284.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,285.0,Deputy IT Security Officer,Openness Data and Digital,Security
Apr-17,286.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Apr-17,287.0,Information Architect,Operations,Records Management - Wisdom
Apr-17,288.0,Information Architect,Operations,Records Management - Wisdom
Apr-17,289.0,Information Governance Manager,Regulatory and Legal Strategy,Records Management - Other
Mar-17,290.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,291.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,292.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,293.0,Deputy IT Security Officer,Operations,Security
Mar-17,294.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Mar-17,295.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,296.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Mar-17,297.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Mar-17,298.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,299.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,300.0,Deputy IT Security Officer,Finance and Performance,Records Management - Other
Mar-17,301.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Mar-17,302.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,303.0,Deputy IT Security Officer,Wales and Regulatory Delivery,Security
Mar-17,304.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,305.0,Deputy IT Security Officer,Wales and Regulatory Delivery,Security
Mar-17,306.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,307.0,Deputy IT Security Officer,Openness Data and Digital,Security
Mar-17,308.0,Deputy IT Security Officer,Operations,Security
Mar-17,309.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,310.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,311.0,Deputy IT Security Officer,NI and Organisational Development,Security
Mar-17,312.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,313.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,314.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,315.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,316.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,317.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,318.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,319.0,Deputy IT Security Officer,External Requester ,Security
Mar-17,320.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Mar-17,321.0,Deputy IT Security Officer,External Requester ,Security
Apr-17,322.0,Deputy IT Security Officer,External Requester ,Security
Apr-17,325.0,Deputy IT Security Officer,External Requester ,Security
Apr-17,326.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
Apr-17,327.0,Security Manager,External Requester ,Security
Apr-17,328.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
Apr-17,329.0,Deputy IT Security Officer,External Requester ,Security
Apr-17,330.0,Information Architect,Policy and Science,Information Governance
Apr-17,331.0,Information Governance Manager,Regulatory and Legal Strategy,Records Management - Other
Apr-17,332.0,Security Manager,External Requester ,Security
Apr-17,333.0,Security Manager,Regulatory and Legal Strategy,Security
Apr-17,334.0,Information Architect,Wales and Regulatory Delivery,Information Governance
Apr-17,335.0,Security Manager,Finance and Performance,Records Management - Other
Apr-17,336.0,Security Manager,External Requester ,Records Management - Other
Apr-17,337.0,Deputy IT Security Officer,External Requester ,Security
Apr-17,338.0,Deputy IT Security Officer,External Requester ,Security
Apr-17,339.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Records Management - Other
Apr-17,340.0,Deputy IT Security Officer,External Requester ,Security
Apr-17,341.0,Deputy IT Security Officer,External Requester ,Security
Apr-17,342.0,Deputy IT Security Officer,Operations,Security
Apr-17,343.0,Information & security Team Leader,Policy and Science,Information Governance
Apr-17,344.0,Information Architect,Finance and Performance,Records Management - Wisdom
Apr-17,345.0,Information Architect,Finance and Performance,Records Management - Wisdom
Apr-17,347.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Records Management - Other
Apr-17,348.0,Information & security Team Leader,Policy and Science,Information Governance
Apr-17,349.0,Information Governance Manager,Operations,Information Governance
Apr-17,350.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
Apr-17,351.0,Information Architect,Finance and Performance,Records Management - Other
Apr-17,352.0,Information Architect,Finance and Performance,Records Management - Wisdom
Apr-17,353.0,Information Architect,Policy and Science,Records Management - Wisdom
Apr-17,354.0,Security Manager,External Requester ,Security
Apr-17,355.0,Deputy IT Security Officer,Operations,Security
Apr-17,356.0,Deputy IT Security Officer,Wales and Regulatory Delivery,Security
Apr-17,358.0,Information & security Team Leader,NI and Organisational Development,Records Management - Other
Apr-17,359.0,Security Manager,External Requester ,Information Governance
Apr-17,360.0,Security Manager,External Requester ,Information Governance
Apr-17,361.0,Information & security Team Leader,Wales and Regulatory Delivery,Information Governance
Apr-17,362.0,Information Governance Manager,Operations,Information Governance
Apr-17,363.0,Security Manager,External Requester ,Security
May-17,364.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
May-17,365.0,Head of Information Management ,Openness Data and Digital,Records Management - Other
May-17,366.0,Information & security Team Leader,Finance and Performance,Records Management - Other
May-17,367.0,Security Manager,Wales and Regulatory Delivery,Security
May-17,368.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Information Governance
May-17,369.0,Deputy IT Security Officer,Openness Data and Digital,Information Governance
May-17,370.0,Information Architect,Finance and Performance,Records Management - Wisdom
May-17,371.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
May-17,372.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
May-17,373.0,Information Architect,External Requester ,Records Management - Wisdom
May-17,374.0,Security Manager,Finance and Performance,Security
May-17,375.0,Deputy IT Security Officer,Openness Data and Digital,Security
May-17,376.0,Deputy IT Security Officer,Openness Data and Digital,Security
May-17,377.0,Information Architect,Policy and Science,Records Management - Wisdom
May-17,378.0,Information & security Team Leader,NI and Organisational Development,Records Management - Wisdom
May-17,379.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
May-17,380.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
May-17,381.0,Information Architect,Regulatory and Legal Strategy,Records Management - Wisdom
May-17,382.0,Information Architect,Operations,Records Management - Wisdom
May-17,383.0,Information Architect,Wales and Regulatory Delivery,Records Management - Wisdom
May-17,384.0,Information Governance Manager,External Requester ,Information Governance
May-17,385.0,Deputy IT Security Officer,Policy and Science,Security
May-17,386.0,Information Architect,Policy and Science,Records Management - Other
May-17,387.0,Information Architect,Policy and Science,Records Management - Wisdom
May-17,388.0,Security Manager,External Requester ,Security
May-17,389.0,Information & security Team Leader,Openness Data and Digital,Information Governance
May-17,390.0,Security Manager,Openness Data and Digital,Security
May-17,391.0,Information Architect,Finance and Performance,Records Management - Other
May-17,392.0,Information Architect,Operations,Security
May-17,393.0,Information Architect,Finance and Performance,Records Management - Wisdom
May-17,394.0,Information & security Team Leader,Finance and Performance,Records Management - Other
May-17,395.0,Information & security Team Leader,Wales and Regulatory Delivery,Information Governance
May-17,396.0,Information Governance Manager,Finance and Performance,Records Management - Other
May-17,397.0,Information Governance Manager,Finance and Performance,Records Management - Other
May-17,398.0,Security Manager,Operations,Security
May-17,399.0,Security Manager,Private Office,Security
May-17,400.0,Information Governance Manager,Openness Data and Digital,Information Governance
May-17,401.0,Information Governance Manager,Operations,Information Governance
May-17,402.0,Information Architect,Finance and Performance,Records Management - Wisdom
May-17,403.0,Information & security Team Leader,Policy and Science,Records Management - Other
May-17,404.0,Information Architect,External Requester ,Records Management - Wisdom
May-17,405.0,Security Manager,Openness Data and Digital,Security
May-17,406.0,Information Architect,Finance and Performance,Records Management - Wisdom
May-17,407.0,Information Architect,Finance and Performance,Records Management - Wisdom
May-17,408.0,Deputy IT Security Officer,Operations,Security
May-17,409.0,Deputy IT Security Officer,Operations,Security
May-17,410.0,Deputy IT Security Officer,Regulatory and Legal Strategy,Security
May-17,411.0,Deputy IT Security Officer,External Requester ,Security
May-17,412.0,Information Architect,Policy and Science,Records Management - Wisdom
May-17,413.0,Information Architect,Policy and Science,Records Management - Wisdom
May-17,414.0,Information Architect,Operations,Records Management - Wisdom
May-17,415.0,Security Manager,External Requester ,Security
May-17,416.0,Information Architect,Finance and Performance,Records Management - Wisdom
May-17,417.0,Information Architect,Policy and Science,Records Management - Wisdom
May-17,418.0,Information Governance Manager,Policy and Science,Information Governance
May-17,419.0,Security Manager,External Requester ,Security
May-17,420.0,Security Manager,Operations,Security
May-17,421.0,Security Manager,Finance and Performance,Security
May-17,422.0,Information & security Team Leader,Finance and Performance,Records Management - Other
May-17,423.0,Deputy IT Security Officer,Operations,Security
May-17,424.0,Deputy IT Security Officer,External Requester ,Information Governance
May-17,425.0,Deputy IT Security Officer,Operations,Security
May-17,426.0,Deputy IT Security Officer,Operations,Security
May-17,427.0,Deputy IT Security Officer,Openness Data and Digital,Security
