Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Calves,Offal,Liver Abscesses,2020-11,England,8.0,3501.0,24.0,0.229
Calves,Offal,Liver Abscesses,2020-12,England,9.0,3293.0,23.0,0.273
Calves,Offal,Lungworm,2020-10,England,2.0,6459.0,22.0,0.031
Calves,Offal,Other,2020-10,England,185.0,6459.0,22.0,2.864
Calves,Offal,Other,2020-11,England,107.0,3501.0,24.0,3.056
Calves,Offal,Other,2020-12,England,137.0,3293.0,23.0,4.16
Calves,Offal,Pleurisy,2020-10,England,29.0,6459.0,22.0,0.449
Calves,Offal,Pleurisy,2020-11,England,15.0,3501.0,24.0,0.428
Calves,Offal,Pleurisy,2020-12,England,14.0,3293.0,23.0,0.425
Calves,Offal,Pneumonia,2020-10,England,264.0,6459.0,22.0,4.087
Calves,Offal,Pneumonia,2020-11,England,260.0,3501.0,24.0,7.426
Calves,Offal,Pneumonia,2020-12,England,312.0,3293.0,23.0,9.475
Calves,Offal,Pneumonia,2020-10,Wales,4.0,1349.0,2.0,0.297
Calves,Offal,Pneumonia,2020-11,Wales,11.0,1081.0,2.0,1.018
Calves,Offal,Pneumonia,2020-12,Wales,9.0,763.0,2.0,1.18
Calves,Offal,Traumatic Pericarditis,2020-10,England,1.0,6459.0,22.0,0.015
Calves,Total Rejections,Generalised Oedema/Emaciation,2020-10,England,6.0,6459.0,22.0,0.093
Calves,Total Rejections,Generalised Oedema/Emaciation,2020-11,England,2.0,3501.0,24.0,0.057
Calves,Total Rejections,Generalised Oedema/Emaciation,2020-12,England,1.0,3293.0,23.0,0.03
Calves,Total Rejections,Generalised Oedema/Emaciation,2020-10,Wales,1.0,1349.0,2.0,0.074
Calves,Total Rejections,Generalised Oedema/Emaciation,2020-11,Wales,2.0,1081.0,2.0,0.185
Calves,Total Rejections,Generalised TB (Suspect),2020-10,England,1.0,6459.0,22.0,0.015
Calves,Total Rejections,Jaundice,2020-10,England,2.0,6459.0,22.0,0.031
Calves,Total Rejections,Jaundice,2020-11,England,1.0,3501.0,24.0,0.029
Calves,Total Rejections,Navel ill/joint ill for young animals,2020-10,England,10.0,6459.0,22.0,0.155
Calves,Total Rejections,Navel ill/joint ill for young animals,2020-11,England,10.0,3501.0,24.0,0.286
Calves,Total Rejections,Navel ill/joint ill for young animals,2020-12,England,7.0,3293.0,23.0,0.213
Calves,Total Rejections,Navel ill/joint ill for young animals,2020-10,Wales,3.0,1349.0,2.0,0.222
Calves,Total Rejections,Navel ill/joint ill for young animals,2020-11,Wales,6.0,1081.0,2.0,0.555
Calves,Total Rejections,Navel ill/joint ill for young animals,2020-12,Wales,3.0,763.0,2.0,0.393
Calves,Total Rejections,Other,2020-11,England,5.0,3501.0,24.0,0.143
Calves,Total Rejections,Other,2020-10,Wales,2.0,1349.0,2.0,0.148
Calves,Total Rejections,Other,2020-12,Wales,2.0,763.0,2.0,0.262
Calves,Total Rejections,Pyaemia/ Multiple abscesses,2020-10,England,7.0,6459.0,22.0,0.108
Calves,Total Rejections,Pyaemia/ Multiple abscesses,2020-11,England,5.0,3501.0,24.0,0.143
Calves,Total Rejections,Pyaemia/ Multiple abscesses,2020-12,England,3.0,3293.0,23.0,0.091
Calves,Total Rejections,Pyaemia/ Multiple abscesses,2020-12,Wales,2.0,763.0,2.0,0.262
Calves,Total Rejections,Septicaemia / Fever,2020-10,England,12.0,6459.0,22.0,0.186
Calves,Total Rejections,Septicaemia / Fever,2020-11,England,7.0,3501.0,24.0,0.2
Calves,Total Rejections,Septicaemia / Fever,2020-12,England,8.0,3293.0,23.0,0.243
Calves,Total Rejections,Septicaemia / Fever,2020-10,Wales,11.0,1349.0,2.0,0.815
Calves,Total Rejections,Septicaemia / Fever,2020-11,Wales,11.0,1081.0,2.0,1.018
Calves,Total Rejections,Septicaemia / Fever,2020-12,Wales,19.0,763.0,2.0,2.49
Cattle,AnteMortem,Abnormal Respiratory Signs,2020-10,England,296.0,139261.0,125.0,0.213
Cattle,AnteMortem,Abnormal Respiratory Signs,2020-10,England,4.0,139261.0,125.0,0.003
Cattle,AnteMortem,Abnormal Respiratory Signs,2020-11,England,262.0,140191.0,125.0,0.187
Cattle,AnteMortem,Abnormal Respiratory Signs,2020-12,England,272.0,123531.0,121.0,0.22
Cattle,AnteMortem,Abnormal Respiratory Signs,2020-10,Wales,1.0,13998.0,14.0,0.007
Cattle,AnteMortem,Abnormal Respiratory Signs,2020-12,Wales,2.0,12840.0,13.0,0.016
Cattle,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2020-10,England,27.0,139261.0,125.0,0.019
Cattle,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2020-11,England,36.0,140191.0,125.0,0.026
Cattle,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2020-12,England,33.0,123531.0,121.0,0.027
Cattle,AnteMortem,Dead in Lairage (DIL),2020-10,England,4.0,139261.0,125.0,0.003
Cattle,AnteMortem,Dead in Lairage (DIL),2020-10,England,10.0,139261.0,125.0,0.007
Cattle,AnteMortem,Dead in Lairage (DIL),2020-11,England,2.0,140191.0,125.0,0.001
Cattle,AnteMortem,Dead in Lairage (DIL),2020-11,England,3.0,140191.0,125.0,0.002
Cattle,AnteMortem,Dead in Lairage (DIL),2020-12,England,2.0,123531.0,121.0,0.002
Cattle,AnteMortem,Dead in Lairage (DIL),2020-12,England,2.0,123531.0,121.0,0.002
Cattle,AnteMortem,Dead in Lairage (DIL),2020-12,Wales,1.0,12840.0,13.0,0.008
Cattle,AnteMortem,Dead in Lairage (DIL),2020-12,Wales,1.0,12840.0,13.0,0.008
Cattle,AnteMortem,Dead on Arrival (DOA),2020-10,England,2.0,139261.0,125.0,0.001
Cattle,AnteMortem,Dead on Arrival (DOA),2020-10,England,1.0,139261.0,125.0,0.001
Cattle,AnteMortem,Dead on Arrival (DOA),2020-11,England,1.0,140191.0,125.0,0.001
Cattle,AnteMortem,Dead on Arrival (DOA),2020-11,England,2.0,140191.0,125.0,0.001
Cattle,AnteMortem,Dead on Arrival (DOA),2020-12,England,3.0,123531.0,121.0,0.002
Cattle,AnteMortem,Dead on Arrival (DOA),2020-11,Wales,1.0,15215.0,14.0,0.007
Cattle,AnteMortem,Dead on Arrival (DOA),2020-11,Wales,1.0,15215.0,14.0,0.007
Cattle,AnteMortem,Dermatitis,2020-10,England,39.0,139261.0,125.0,0.028
Cattle,AnteMortem,Dermatitis,2020-11,England,47.0,140191.0,125.0,0.034
Cattle,AnteMortem,Dermatitis,2020-12,England,69.0,123531.0,121.0,0.056
Cattle,AnteMortem,Dermatitis,2020-10,Wales,1.0,13998.0,14.0,0.007
Cattle,AnteMortem,Dermatitis,2020-11,Wales,1.0,15215.0,14.0,0.007
Cattle,AnteMortem,Diarrhoea,2020-10,England,101.0,139261.0,125.0,0.073
Cattle,AnteMortem,Diarrhoea,2020-11,England,83.0,140191.0,125.0,0.059
Cattle,AnteMortem,Diarrhoea,2020-12,England,80.0,123531.0,121.0,0.065
Cattle,AnteMortem,Diarrhoea,2020-10,Wales,1.0,13998.0,14.0,0.007
Cattle,AnteMortem,Ectoparasites – Localised,2020-10,England,2.0,139261.0,125.0,0.001
Cattle,AnteMortem,Ectoparasites – Localised,2020-11,England,6.0,140191.0,125.0,0.004
Cattle,AnteMortem,Emergency Slaughter on Farm ,2020-10,England,568.0,139261.0,125.0,0.408
Cattle,AnteMortem,Emergency Slaughter on Farm ,2020-11,England,509.0,140191.0,125.0,0.363
Cattle,AnteMortem,Emergency Slaughter on Farm ,2020-11,England,2.0,140191.0,125.0,0.001
Cattle,AnteMortem,Emergency Slaughter on Farm ,2020-12,England,551.0,123531.0,121.0,0.446
Cattle,AnteMortem,Emergency Slaughter on Farm ,2020-10,Wales,14.0,13998.0,14.0,0.1
Cattle,AnteMortem,Eye Condition,2020-10,England,88.0,139261.0,125.0,0.063
Cattle,AnteMortem,Eye Condition,2020-11,England,77.0,140191.0,125.0,0.055
Cattle,AnteMortem,Eye Condition,2020-12,England,52.0,123531.0,121.0,0.042
Cattle,AnteMortem,Eye Condition,2020-10,Wales,3.0,13998.0,14.0,0.021
Cattle,AnteMortem,Eye Condition,2020-11,Wales,5.0,15215.0,14.0,0.033
Cattle,AnteMortem,Eye Condition,2020-12,Wales,2.0,12840.0,13.0,0.016
Cattle,AnteMortem,Lameness – Foot Lesion(s),2020-10,England,387.0,139261.0,125.0,0.278
Cattle,AnteMortem,Lameness – Foot Lesion(s),2020-11,England,206.0,140191.0,125.0,0.147
Cattle,AnteMortem,Lameness – Foot Lesion(s),2020-12,England,209.0,123531.0,121.0,0.169
Cattle,AnteMortem,Lameness – Foot Lesion(s),2020-10,Wales,19.0,13998.0,14.0,0.136
Cattle,AnteMortem,Lameness – Foot Lesion(s),2020-11,Wales,2.0,15215.0,14.0,0.013
Cattle,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-10,England,142.0,139261.0,125.0,0.102
Cattle,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-10,England,2.0,139261.0,125.0,0.001
Cattle,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-11,England,91.0,140191.0,125.0,0.065
Cattle,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-12,England,77.0,123531.0,121.0,0.062
Cattle,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-10,Wales,11.0,13998.0,14.0,0.079
Cattle,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-11,Wales,1.0,15215.0,14.0,0.007
Cattle,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-12,Wales,1.0,12840.0,13.0,0.008
Cattle,AnteMortem,Lameness – Not Defined,2020-10,England,328.0,139261.0,125.0,0.236
Cattle,AnteMortem,Lameness – Not Defined,2020-11,England,219.0,140191.0,125.0,0.156
Cattle,AnteMortem,Lameness – Not Defined,2020-12,England,238.0,123531.0,121.0,0.193
Cattle,AnteMortem,Lameness – Not Defined,2020-10,Wales,31.0,13998.0,14.0,0.221
Cattle,AnteMortem,Lameness – Not Defined,2020-11,Wales,25.0,15215.0,14.0,0.164
Cattle,AnteMortem,Lameness – Not Defined,2020-12,Wales,36.0,12840.0,13.0,0.28
Cattle,AnteMortem,Localised Swelling/Lumps,2020-10,England,140.0,139261.0,125.0,0.101
Cattle,AnteMortem,Localised Swelling/Lumps,2020-11,England,130.0,140191.0,125.0,0.093
Cattle,AnteMortem,Localised Swelling/Lumps,2020-12,England,125.0,123531.0,121.0,0.101
Cattle,AnteMortem,Localised Swelling/Lumps,2020-10,Wales,3.0,13998.0,14.0,0.021
Cattle,AnteMortem,Localised Swelling/Lumps,2020-12,Wales,1.0,12840.0,13.0,0.008
Cattle,AnteMortem,Mastitis,2020-10,England,137.0,139261.0,125.0,0.098
Cattle,AnteMortem,Mastitis,2020-11,England,93.0,140191.0,125.0,0.066
Cattle,AnteMortem,Mastitis,2020-11,England,1.0,140191.0,125.0,0.001
Cattle,AnteMortem,Mastitis,2020-12,England,98.0,123531.0,121.0,0.079
Cattle,AnteMortem,Mastitis,2020-11,Wales,1.0,15215.0,14.0,0.007
Cattle,AnteMortem,Mastitis,2020-12,Wales,1.0,12840.0,13.0,0.008
Cattle,AnteMortem,Moribund/ Recumbent,2020-10,England,4.0,139261.0,125.0,0.003
Cattle,AnteMortem,Moribund/ Recumbent,2020-11,England,1.0,140191.0,125.0,0.001
Cattle,AnteMortem,Moribund/ Recumbent,2020-12,England,1.0,123531.0,121.0,0.001
Cattle,AnteMortem,Moribund/ Recumbent,2020-12,England,1.0,123531.0,121.0,0.001
Cattle,AnteMortem,Mouth lesions,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,AnteMortem,Mouth lesions,2020-11,England,1.0,140191.0,125.0,0.001
Cattle,AnteMortem,Neurological/Nervous Signs,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,AnteMortem,Neurological/Nervous Signs,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,AnteMortem,Neurological/Nervous Signs,2020-11,England,1.0,140191.0,125.0,0.001
Cattle,AnteMortem,Neurological/Nervous Signs,2020-12,England,1.0,123531.0,121.0,0.001
Cattle,AnteMortem,Other,2020-10,England,49.0,139261.0,125.0,0.035
Cattle,AnteMortem,Other,2020-10,England,2.0,139261.0,125.0,0.001
Cattle,AnteMortem,Other,2020-11,England,26.0,140191.0,125.0,0.019
Cattle,AnteMortem,Other,2020-12,England,2.0,123531.0,121.0,0.002
Cattle,AnteMortem,Other,2020-12,England,33.0,123531.0,121.0,0.027
Cattle,AnteMortem,Other,2020-10,Wales,2.0,13998.0,14.0,0.014
Cattle,AnteMortem,Papilloma,2020-10,England,52.0,139261.0,125.0,0.037
Cattle,AnteMortem,Papilloma,2020-11,England,57.0,140191.0,125.0,0.041
Cattle,AnteMortem,Papilloma,2020-12,England,49.0,123531.0,121.0,0.04
Cattle,AnteMortem,Papilloma,2020-11,Wales,1.0,15215.0,14.0,0.007
Cattle,AnteMortem,Peri-parturition,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,AnteMortem,Peri-parturition,2020-11,England,2.0,140191.0,125.0,0.001
Cattle,AnteMortem,Prolapsed Uterus,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,AnteMortem,Prolapsed Uterus,2020-12,England,3.0,123531.0,121.0,0.002
Cattle,AnteMortem,Ringworm,2020-10,England,48.0,139261.0,125.0,0.034
Cattle,AnteMortem,Ringworm,2020-11,England,44.0,140191.0,125.0,0.031
Cattle,AnteMortem,Ringworm,2020-12,England,26.0,123531.0,121.0,0.021
Cattle,AnteMortem,Ringworm,2020-11,Wales,2.0,15215.0,14.0,0.013
Cattle,AnteMortem,Slaughtered in Lairage,2020-10,England,6.0,139261.0,125.0,0.004
Cattle,AnteMortem,Slaughtered in Lairage,2020-10,England,37.0,139261.0,125.0,0.027
Cattle,AnteMortem,Slaughtered in Lairage,2020-11,England,19.0,140191.0,125.0,0.014
Cattle,AnteMortem,Slaughtered in Lairage,2020-11,England,5.0,140191.0,125.0,0.004
Cattle,AnteMortem,Slaughtered in Lairage,2020-12,England,40.0,123531.0,121.0,0.032
Cattle,AnteMortem,Slaughtered in Lairage,2020-12,England,12.0,123531.0,121.0,0.01
Cattle,AnteMortem,Slaughtered in Lairage,2020-10,Wales,5.0,13998.0,14.0,0.036
Cattle,AnteMortem,Slaughtered in Lairage,2020-10,Wales,3.0,13998.0,14.0,0.021
Cattle,AnteMortem,Slaughtered in Lairage,2020-12,Wales,3.0,12840.0,13.0,0.023
Cattle,AnteMortem,Slaughtered in Lairage,2020-12,Wales,5.0,12840.0,13.0,0.039
Cattle,AnteMortem,Suspect Emaciation/Poor Condition,2020-10,England,164.0,139261.0,125.0,0.118
Cattle,AnteMortem,Suspect Emaciation/Poor Condition,2020-10,England,4.0,139261.0,125.0,0.003
Cattle,AnteMortem,Suspect Emaciation/Poor Condition,2020-11,England,123.0,140191.0,125.0,0.088
Cattle,AnteMortem,Suspect Emaciation/Poor Condition,2020-11,England,1.0,140191.0,125.0,0.001
Cattle,AnteMortem,Suspect Emaciation/Poor Condition,2020-12,England,111.0,123531.0,121.0,0.09
Cattle,AnteMortem,Suspect Fever,2020-10,England,1.0,139261.0,125.0,0.001
Cattle,AnteMortem,Suspect Fever,2020-10,England,2.0,139261.0,125.0,0.001
Cattle,AnteMortem,Suspect Fever,2020-11,England,3.0,140191.0,125.0,0.002
Cattle,AnteMortem,Suspect Fever,2020-12,England,1.0,123531.0,121.0,0.001
Cattle,AnteMortem,Suspect Notifiable Diseases,2020-11,England,1.0,140191.0,125.0,0.001
Cattle,AnteMortem,Suspect Notifiable Diseases,2020-12,England,2.0,123531.0,121.0,0.002
Cattle,AnteMortem,Trauma – Fracture/ Dislocations,2020-10,England,3.0,139261.0,125.0,0.002
Cattle,AnteMortem,Trauma – Fracture/ Dislocations,2020-11,England,5.0,140191.0,125.0,0.004
Cattle,AnteMortem,Trauma – Fracture/ Dislocations,2020-11,England,1.0,140191.0,125.0,0.001
Cattle,AnteMortem,Trauma – Fracture/ Dislocations,2020-12,England,5.0,123531.0,121.0,0.004
Cattle,AnteMortem,Trauma – Fracture/ Dislocations,2020-12,England,1.0,123531.0,121.0,0.001
Cattle,AnteMortem,Trauma – Soft Tissue,2020-10,England,18.0,139261.0,125.0,0.013
Cattle,AnteMortem,Trauma – Soft Tissue,2020-11,England,20.0,140191.0,125.0,0.014
Cattle,AnteMortem,Trauma – Soft Tissue,2020-12,England,16.0,123531.0,121.0,0.013
Cattle,AnteMortem,Trauma – Soft Tissue,2020-12,Wales,2.0,12840.0,13.0,0.016
Cattle,Carcases,Abscesses – Forequarters,2020-10,England,296.0,139261.0,125.0,0.213
Cattle,Carcases,Abscesses – Forequarters,2020-11,England,366.0,140191.0,125.0,0.261
Cattle,Carcases,Abscesses – Forequarters,2020-12,England,435.0,123531.0,121.0,0.352
Cattle,Carcases,Abscesses – Forequarters,2020-11,Wales,3.0,15215.0,14.0,0.02
Cattle,Carcases,Abscesses – Forequarters,2020-12,Wales,1.0,12840.0,13.0,0.008
Cattle,Carcases,Abscesses – Hindquarters,2020-10,England,424.0,139261.0,125.0,0.304
Cattle,Carcases,Abscesses – Hindquarters,2020-11,England,532.0,140191.0,125.0,0.379
Cattle,Carcases,Abscesses – Hindquarters,2020-12,England,373.0,123531.0,121.0,0.302
Cattle,Carcases,Abscesses – Hindquarters,2020-10,Wales,3.0,13998.0,14.0,0.021
Cattle,Carcases,Abscesses – Hindquarters,2020-11,Wales,3.0,15215.0,14.0,0.02
Cattle,Carcases,Abscesses – Hindquarters,2020-12,Wales,1.0,12840.0,13.0,0.008
Cattle,Carcases,Abscesses – Neck,2020-10,England,53.0,139261.0,125.0,0.038
Cattle,Carcases,Abscesses – Neck,2020-11,England,85.0,140191.0,125.0,0.061
Cattle,Carcases,Abscesses – Neck,2020-12,England,57.0,123531.0,121.0,0.046
Cattle,Carcases,Abscesses – Neck,2020-10,Wales,1.0,13998.0,14.0,0.007
Cattle,Carcases,Abscesses – Neck,2020-11,Wales,1.0,15215.0,14.0,0.007
Cattle,Carcases,Bruising,2020-10,England,1811.0,139261.0,125.0,1.3
Cattle,Carcases,Bruising,2020-11,England,2366.0,140191.0,125.0,1.688
Cattle,Carcases,Bruising,2020-12,England,1975.0,123531.0,121.0,1.599
Cattle,Carcases,Bruising,2020-10,Wales,4.0,13998.0,14.0,0.029
Cattle,Carcases,Bruising,2020-11,Wales,2.0,15215.0,14.0,0.013
Cattle,Carcases,Bruising,2020-12,Wales,6.0,12840.0,13.0,0.047
Cattle,Carcases,Contamination,2020-10,England,4156.0,139261.0,125.0,2.984
Cattle,Carcases,Contamination,2020-11,England,5072.0,140191.0,125.0,3.618
Cattle,Carcases,Contamination,2020-12,England,4536.0,123531.0,121.0,3.672
Cattle,Carcases,Contamination,2020-10,Wales,587.0,13998.0,14.0,4.193
Cattle,Carcases,Contamination,2020-11,Wales,781.0,15215.0,14.0,5.133
Cattle,Carcases,Contamination,2020-12,Wales,297.0,12840.0,13.0,2.313
Cattle,Carcases,Cysticercus bovis,2020-10,England,7.0,139261.0,125.0,0.005
Cattle,Carcases,Cysticercus bovis,2020-11,England,8.0,140191.0,125.0,0.006
Cattle,Carcases,Cysticercus bovis,2020-12,England,5.0,123531.0,121.0,0.004
Cattle,Carcases,Exotic Notifiable Disease (suspect) *,2020-11,England,1.0,140191.0,125.0,0.001
Cattle,Carcases,Generalised Tuberculosis (suspect) *,2020-10,England,3.0,139261.0,125.0,0.002
Cattle,Carcases,Generalised Tuberculosis (suspect) *,2020-12,England,13.0,123531.0,121.0,0.011
Cattle,Carcases,Generalised Tuberculosis (suspect) *,2020-11,Wales,1.0,15215.0,14.0,0.007
Cattle,Carcases,Hydatid Cyst,2020-10,England,2.0,139261.0,125.0,0.001
Cattle,Carcases,Hydatid Cyst,2020-11,England,10.0,140191.0,125.0,0.007
Cattle,Carcases,Hydatid Cyst,2020-12,England,4.0,123531.0,121.0,0.003
Cattle,Carcases,Joint Lesions (Incl. Arthritis),2020-10,England,487.0,139261.0,125.0,0.35
Cattle,Carcases,Joint Lesions (Incl. Arthritis),2020-11,England,551.0,140191.0,125.0,0.393
