Subject,Start Date,End Date,Unnamed: 3
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2011-05-22,2011-05-22,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2011-06-22,2011-06-22,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2011-07-22,2011-07-22,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2011-08-22,2011-08-22,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2011-09-22,2011-09-22,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2011-10-22,2011-10-22,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2011-11-22,2011-11-22,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2011-12-22,2011-12-22,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2012-01-22,2012-01-22,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2012-02-22,2012-02-22,
PAYE and Class 1 National Insurance Contributions (NICs): Deadline for electronic payments to be cleared in HMRC bank account for any outstanding PAYE and Class 1 NICs for the year ending 5 April 2011 ,2012-03-22,2012-03-22,
PAYE and NICs payment deadline: First Quarter: Cheque payment for any outstanding PAYE and Class 1 NICs must reach HMRC Accounts Office by the 19th of each quarter,2011-07-19,2011-07-19,
PAYE and NICs payment deadline: Second Quarter: Cheque payment for any outstanding PAYE and Class 1 NICs must reach HMRC Accounts Office by the 19th of each quarter,2011-10-19,2011-10-19,
PAYE and NICs payment deadline: Third Quarter: Cheque payment for any outstanding PAYE and Class 1 NICs must reach HMRC Accounts Office by the 19th of each quarter,2012-01-19,2012-01-19,
PAYE and NICs payment deadline: Fourth Quarter: Cheque payment for any outstanding PAYE and Class 1 NICs must reach HMRC Accounts Office by the 19th of each quarter,2012-04-19,2012-04-19,
PAYE and NICs payment deadline: First Quarter: Cleared electronic payment must reach HMRCs bank account no later than the 22nd of each quarter. Where the 22nd falls on a weekend or a bank holiday ensure payment arrives no later than the last bank working day before the 22nd,2011-07-22,2011-07-22,
PAYE and NICs payment deadline: Second Quarter: Cleared electronic payment must reach HMRCs bank account no later than the 22nd of each quarter. Where the 22nd falls on a weekend or a bank holiday ensure payment arrives no later than the last bank working day before the 22nd,2011-10-22,2011-10-22,
PAYE and NICs payment deadline: Third Quarter: Cleared electronic payment must reach HMRCs bank account no later than the 22nd of each quarter. Where the 22nd falls on a weekend or a bank holiday ensure payment arrives no later than the last bank working day before the 22nd,2012-01-22,2012-01-22,
PAYE and NICs payment deadline: Fourth Quarter: Cleared electronic payment must reach HMRCs bank account no later than the 22nd of each quarter. Where the 22nd falls on a weekend or a bank holiday ensure payment arrives no later than the last bank working day before the 22nd,2012-04-22,2012-04-22,
