Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
UK Trade and Investment Programme,UK Trade and Investment Programme,23/02/2016,Mobile Line Rental - UKTI Programme Admin,Chief Operating Officer - Chief Operating Officer,VODAFONE LTD,127458.0,-3.20 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,23/02/2016,Mobile Line Rental - Non-Specific Programme activity (Admin),Chief Operating Officer - Chief Operating Officer,VODAFONE LTD,127458.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,23/02/2016,Mobile Line Rental - UKTI Programme Admin,Chief Operating Officer - Chief Operating Officer,VODAFONE LTD,127458.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/02/2016,Mobile Phones - Non-Specific Programme activity,Trade Group - Events Group,VODAFONE LTD,127650.0,16.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,17/02/2016,External Training - Non-Specific Programme activity,Trade Group - Healthcare UK,CAPITA BUSINESS SERVICES LTD,129104.0,136.70 ,?,DL1 9HN,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/02/2016,Current Grants To Private Sector - NPISH - Music Export Growth Scheme,Trade Group - Creative Economy Tech & Construction,BPI (BRITISH RECORDED MUSIC INDUSTRY) LTD,129198.0,10,022.70 ,?,SE1 7JA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,04/02/2016,Other Goods/Services - Marketing Event,Trade Group - English Regions,ACIVICO LTD,129370.0,1,221.75 ,?,B1 1BB,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/02/2016,Outsourced Technical Support - UKTI Programme Admin,Chief Operating Officer - IT and Finance,CORE TECHNOLOGY SYSTEMS (UK) LTD,129760.0,4,560.00 ,?,E1 8DE,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,YOUR LOGO HERE LTD,129858.0,500.00 ,?,CB8 8EQ,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,16/02/2016,Other Professional Services - Non-Specific Programme activity,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,THE ECONOMIST INTELLIGENCE UNIT LTD,129961.0,20,000.00 ,?,E14 4QW,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Corporate Event Management and Marketing - Sector Events - UK,Trade Group - Events Group,GRANT THORNTON UK LLP,129993.0,-7,738.53 ,?,NN4 7YE,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,17/02/2016,Marketing and Media - GREAT Events Overseas,Chief Operating Officer - Marketing,MULLEN LOWE LONDON LTD,130397.0,500.00 ,?,SW3 2XB,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,24/02/2016,Printing - Publications,Investment Development - Entrepreneurship, Campaigns and Rapid Innovation,MULLEN LOWE LONDON LTD,130404.0,2,160.00 ,?,EC1N 2AE,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,External Training - Sirius - Events,Investment Development - Managing Director & Operations, Investment Development,UK BUSINESS ANGELS ASSOCIATION,130509.0,578.00 ,?,WC2A 1QS,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,15/02/2016,Corporate Event Management and Marketing - Sirius - Events,Investment Development - Managing Director & Operations, Investment Development,FOREIGN AND COMMONWEALTH OFFICE (FCO),130535.0,10,355.47 ,?,MK10 1PX,WGA ONLY,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,CHASE PLASTICS LTD,130662.0,68.53 ,?,IP27 0NE,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,MADE BY TALENTED LTD,130761.0,1,000.00 ,?,S3 9PT,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,ARMAK LTD,130762.0,426.15 ,?,HU3 2DJ,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,CREME D OR LTD,130763.0,69.50 ,?,HU17 9RY,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Maintenance - Sector Events - Abroad,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,STAGE ONE CREATIVE SERVICES LTD,130805.0,85,292.28 ,?,YO26 7QF,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Uncapitalised construction costs - Sector Events - Abroad,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,STAGE ONE CREATIVE SERVICES LTD,130807.0,-12,908.03 ,?,YO26 7QF,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Uncapitalised construction costs - Sector Events - Abroad,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,STAGE ONE CREATIVE SERVICES LTD,130807.0,-10,920.24 ,?,YO26 7QF,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Uncapitalised construction costs - Sector Events - Abroad,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,STAGE ONE CREATIVE SERVICES LTD,130807.0,16,380.36 ,?,YO26 7QF,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Uncapitalised construction costs - Sector Events - Abroad,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,STAGE ONE CREATIVE SERVICES LTD,130807.0,19,362.05 ,?,YO26 7QF,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Uncapitalised construction costs - Sector Events - Abroad,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,STAGE ONE CREATIVE SERVICES LTD,130807.0,188,809.40 ,?,YO26 7QF,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,W NEAL SERVICES LTD,130825.0,1,000.00 ,?,SS4 1ND,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,HOLLY AND BEAU LTD,130827.0,1,000.00 ,?,NR1 1RB,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,PETER EAST ASSOCIATES LTD,130830.0,503.09 ,?,WD6 3FG,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,GLOBAL PLANT GENETICS LTD,130835.0,212.31 ,?,PE31 8AY,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,GLOBAL PLANT GENETICS LTD,130838.0,79.91 ,?,PE31 8AY,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,GLOBAL PLANT GENETICS LTD,130841.0,297.26 ,?,PE31 8AY,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,JT CONSULTANCY (NKT) LTD,130842.0,700.00 ,?,CB8 8AW,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Hire of Agency Staff - Trade Access Programme Group Support Scheme,Trade Group - Events Group,BROOK STREET (UK) LTD,130850.0,-397.41 ,?,AL1 4JB,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Hire of Agency Staff - Non-Specific Programme activity,Trade Group - Events Group,BROOK STREET (UK) LTD,130850.0,596.11 ,?,AL1 4JB,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Hire of Agency Staff - Trade Access Programme Group Support Scheme,Trade Group - Events Group,BROOK STREET (UK) LTD,130850.0,596.11 ,?,AL1 4JB,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,PETER COOTE ARCHITEC LTD,130994.0,622.35 ,?,NE2 1AN,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Other Travel - Default,Trade Group - Creative Economy Tech & Construction,Personal Expense, Name Witheld,131076.0,24.80 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,ELLIOTT + LILY,131079.0,1,000.00 ,?,NN14 4JB,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Other Professional Services - First Time Exporter Credits,Trade Group - English Regions,SOULANDJAZZ.COM,131085.0,614.00 ,?,ST13 6AG,GRANT,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Other ICT Costs - UKTI Programme Admin,Chief Operating Officer - IT and Finance,THE DEXTROUS WEB LTD T/A DXW,131126.0,-400.00 ,?,N1 7NG,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Other ICT Costs - UKTI Programme Admin,Chief Operating Officer - IT and Finance,THE DEXTROUS WEB LTD T/A DXW,131126.0,500.00 ,?,N1 7NG,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Other ICT Costs - UKTI Programme Admin,Chief Operating Officer - IT and Finance,THE DEXTROUS WEB LTD T/A DXW,131126.0,600.00 ,?,N1 7NG,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Mobile Phones - Non-Specific Programme activity,Trade Group - English Regions,VODAFONE LTD,131143.0,20.19 ,?,RG14 1LA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,16/02/2016,Mobile Line Rental - Non-Specific Programme activity,Trade Group - English Regions,VODAFONE LTD,131154.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131155.0,4.80 ,?,RG14 1LA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131157.0,4.80 ,?,RG14 1LA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131158.0,2.06 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/02/2016,Telecoms - Non-Specific Programme activity,Defence and Security Organisation - Business Development,VODAFONE LTD,131159.0,4.80 ,?,RG14 1LA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Professional Subscriptions - Non-Specific Programme activity,Trade Group - English Regions,INSTITUTE OF DIRECTORS,131172.0,-324.00 ,?,SW1Y 5ED,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Professional Subscriptions - Non-Specific Programme activity,Trade Group - English Regions,INSTITUTE OF DIRECTORS,131172.0,405.00 ,?,SW1Y 5ED,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Professional Subscriptions - Non-Specific Programme activity,Trade Group - English Regions,INSTITUTE OF DIRECTORS,131172.0,486.00 ,?,SW1Y 5ED,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Mobile Phones - Non-Specific Programme activity,Trade Group - English Regions,VODAFONE LTD,131173.0,0.06 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Mobile Phones - Non-Specific Programme activity,Trade Group - English Regions,VODAFONE LTD,131173.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Mobile Phones - Non-Specific Programme activity,Trade Group - English Regions,VODAFONE LTD,131174.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Mobile Phones - Non-Specific Programme activity,Trade Group - English Regions,VODAFONE LTD,131176.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,11/02/2016,Mobile Line Rental - UKTI Programme Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,131177.0,10.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,11/02/2016,Mobile Line Rental - UKTI Programme Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,131179.0,16.80 ,?,RG14 1LA,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131193.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131194.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131195.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131196.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131197.0,5.04 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131198.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131199.0,7.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131200.0,21.01 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/02/2016,Mobile Phones - Non-Specific Programme activity,Trade Group - Events Group,VODAFONE LTD,131201.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131202.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131203.0,7.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131204.0,7.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131205.0,0.40 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131205.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131206.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,16/02/2016,Other Facilities Costs - Other Programme Costs,Trade Group - English Regions,VODAFONE LTD,131207.0,-1.75 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,16/02/2016,Other Facilities Costs - Other Programme Costs,Trade Group - English Regions,VODAFONE LTD,131207.0,2.63 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,16/02/2016,Telecoms - Non-Specific Programme activity,Trade Group - English Regions,VODAFONE LTD,131207.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131208.0,5.34 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/02/2016,Mobile Phones - Non-Specific Programme activity,Trade Group - Events Group,VODAFONE LTD,131210.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131213.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131215.0,5.04 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131216.0,7.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131218.0,5.04 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131218.0,55.07 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131220.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131223.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131224.0,7.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131225.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131226.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131227.0,11.15 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131227.0,13.93 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131228.0,33.14 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131230.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,05/02/2016,Mobile Phones - Non-Specific Programme activity,Trade Group - Events Group,VODAFONE LTD,131231.0,4.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,03/02/2016,Mobile Line Rental - Non-Specific Programme activity,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,VODAFONE LTD,131232.0,10.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Telecoms - Other Programme Costs,Defence and Security Organisation - Business Development,VODAFONE LTD,131236.0,7.80 ,?,RG14 5FF,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Other Travel - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,131261.0,14.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Taxi Services UK - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,131261.0,21.90 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Subsistence UK - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,131261.0,25.00 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Mileage Allowance UK - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,131261.0,46.17 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Other Travel - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,131261.0,50.80 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Subsistence UK - Default,Trade Group - Operations Directorate,Personal Expense, Name Witheld,131261.0,70.55 ,?,?,EMPLOYEE,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,11/02/2016,Other Goods/Services - Market Visit Scheme,Trade Group - English Regions,WEST MIDLANDS INTERNATIONAL TRADE LLP,131300.0,1,607.54 ,?,B15 3DH,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,11/02/2016,Other Goods/Services - Export Insight Visits,Trade Group - English Regions,WEST MIDLANDS INTERNATIONAL TRADE LLP,131300.0,4,787.46 ,?,B15 3DH,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Translation Services - Non-Specific Programme activity,Chief Operating Officer - Marketing,FCO SERVICES,131327.0,8,098.46 ,?,MK19 7BH,WGA ONLY,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,15/02/2016,Other Goods/Services - International Challenge Fund,Trade Group - English Regions,ENTERPRISE GROWTH SOLUTIONS LTD,131329.0,4,500.00 ,?,AL10 9NE,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Hire of Agency Staff - Overseas Business Network Development,Managing Director, Policy and Network Development - Managing Director, Policy and Network Development,CAPITA BUSINESS SERVICES LTD,131333.0,3,418.46 ,?,DL1 9HN,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Other Goods/Services - Marketing Event,Trade Group - English Regions,ENTERPRISE GROWTH SOLUTIONS LTD,131355.0,1,050.72 ,?,AL7 3AX,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/02/2016,Other Professional Services - Non-Specific Programme activity,Investment Development - Global Operations,CAPITA BUSINESS SERVICES LTD,131363.0,1,868.22 ,?,DL1 9HN,VENDOR,?,?,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/02/2016,Hire of Agency Staff - Non-Specific Programme activity,Trade Group - Creative Economy Tech & Construction,CAPITA BUSINESS SERVICES LTD,131367.0,20,869.37 ,?,DL1 9HN,VENDOR,?,?,Programme
