aacode,cavitywallinsulation,doorframe:wood_doortype:solid,doorframe:wood_doortype:glazed,doorframe:metal_doortype:solid,doorframe:metal_doortype:glazed,doorframe:upvc_doortype:solid,doorframe:upvc_doortype:glazed,doubleglazedwindowframe,elevationtype,externalwallinsulation,externalwallconstructiontype,internalinsulation,percentagedoubleglazed,singleglazedwindowframe,tenthsattached,tenthsopening,tenthspartywall,angleFromNorth
BEIS06,False,0,0,0,0,0,0,uPVC,LEFT,False,,False,100,,10,0,10,-1.5707963267949
BEIS66,False,0,0,0,0,0,0,uPVC,LEFT,False,,False,100,,10,0,10,-1.5707963267949
BEIS36,False,0,0,0,0,0,0,uPVC,LEFT,False,,False,100,,10,0,10,-1.5707963267949
BEIS06,True,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,100,,0,1,0,1.5707963267949
BEIS66,True,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,100,,0,1,0,1.5707963267949
BEIS36,True,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,100,,0,1,0,1.5707963267949
BEIS07,False,0,0,0,0,0,0,uPVC,BACK,False,Cavity,False,100,,0,2,0,4.71238898038469
BEIS67,False,0,0,0,0,0,0,uPVC,BACK,False,Cavity,False,100,,0,2,0,4.71238898038469
BEIS37,False,0,0,0,0,0,0,uPVC,BACK,False,Cavity,False,100,,0,2,0,4.71238898038469
BEIS07,False,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,100,,0,2,0,1.5707963267949
BEIS67,False,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,100,,0,2,0,1.5707963267949
BEIS37,False,1,0,0,0,0,0,uPVC,FRONT,False,Cavity,False,100,,0,2,0,1.5707963267949
BEIS07,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,100,,7,0,5,0.0
BEIS67,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,100,,7,0,5,0.0
BEIS37,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,100,,7,0,5,0.0
BEIS07,False,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,100,,7,0,5,3.14159265358979
BEIS67,False,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,100,,7,0,5,3.14159265358979
BEIS37,False,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,100,,7,0,5,3.14159265358979
BEIS08,True,0,0,0,0,3,0,uPVC,BACK,False,Cavity,False,75,Wood,0,2,0,6.28318530717959
BEIS68,True,0,0,0,0,3,0,uPVC,BACK,False,Cavity,False,75,Wood,0,2,0,6.28318530717959
BEIS38,True,0,0,0,0,3,0,uPVC,BACK,False,Cavity,False,75,Wood,0,2,0,6.28318530717959
BEIS08,True,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,75,Wood,0,2,0,3.14159265358979
BEIS68,True,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,75,Wood,0,2,0,3.14159265358979
BEIS38,True,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,75,Wood,0,2,0,3.14159265358979
BEIS08,True,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,75,Wood,7,0,5,1.5707963267949
BEIS68,True,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,75,Wood,7,0,5,1.5707963267949
BEIS38,True,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,75,Wood,7,0,5,1.5707963267949
BEIS08,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,75,Wood,10,0,10,4.71238898038469
BEIS68,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,75,Wood,10,0,10,4.71238898038469
BEIS38,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,75,Wood,10,0,10,4.71238898038469
BEIS09,False,0,0,0,0,0,0,uPVC,BACK,False,GraniteOrWhinstone,False,75,Wood,0,2,0,7.85398163397448
BEIS69,False,0,0,0,0,0,0,uPVC,BACK,False,GraniteOrWhinstone,False,75,Wood,0,2,0,7.85398163397448
BEIS39,False,0,0,0,0,0,0,uPVC,BACK,False,GraniteOrWhinstone,False,75,Wood,0,2,0,7.85398163397448
BEIS09,False,1,0,0,0,0,0,uPVC,FRONT,False,GraniteOrWhinstone,False,75,Wood,0,2,0,4.71238898038469
BEIS69,False,1,0,0,0,0,0,uPVC,FRONT,False,GraniteOrWhinstone,False,75,Wood,0,2,0,4.71238898038469
BEIS39,False,1,0,0,0,0,0,uPVC,FRONT,False,GraniteOrWhinstone,False,75,Wood,0,2,0,4.71238898038469
BEIS09,False,0,0,0,0,0,0,uPVC,LEFT,False,,False,75,Wood,10,0,10,3.14159265358979
BEIS69,False,0,0,0,0,0,0,uPVC,LEFT,False,,False,75,Wood,10,0,10,3.14159265358979
BEIS39,False,0,0,0,0,0,0,uPVC,LEFT,False,,False,75,Wood,10,0,10,3.14159265358979
BEIS09,False,0,0,0,0,0,0,uPVC,RIGHT,True,GraniteOrWhinstone,False,75,Wood,4,0,5,6.28318530717959
BEIS69,False,0,0,0,0,0,0,uPVC,RIGHT,False,GraniteOrWhinstone,False,75,Wood,4,0,5,6.28318530717959
BEIS39,False,0,0,0,0,0,0,uPVC,RIGHT,False,GraniteOrWhinstone,False,75,Wood,4,0,5,6.28318530717959
BEIS10,False,0,0,0,0,1,0,uPVC,BACK,False,Cavity,False,75,uPVC,0,3,0,3.92699081698724
BEIS70,False,0,0,0,0,1,0,uPVC,BACK,False,Cavity,False,75,uPVC,0,3,0,3.92699081698724
BEIS40,False,0,0,0,0,1,0,uPVC,BACK,False,Cavity,False,75,uPVC,0,3,0,3.92699081698724
BEIS10,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,75,uPVC,0,3,0,0.78539816339744
BEIS70,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,75,uPVC,0,3,0,0.78539816339744
BEIS40,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,75,uPVC,0,3,0,0.78539816339744
BEIS10,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,75,uPVC,0,1,0,-0.78539816339744
BEIS70,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,75,uPVC,0,1,0,-0.78539816339744
BEIS40,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,75,uPVC,0,1,0,-0.78539816339744
BEIS10,False,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,75,uPVC,0,2,0,2.35619449019234
BEIS70,False,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,75,uPVC,0,2,0,2.35619449019234
BEIS40,False,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,75,uPVC,0,2,0,2.35619449019234
BEIS11,False,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,75,Wood,0,2,0,6.28318530717959
BEIS71,False,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,75,Wood,0,2,0,6.28318530717959
BEIS41,False,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,75,Wood,0,2,0,6.28318530717959
BEIS11,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,75,Wood,0,2,0,3.14159265358979
BEIS71,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,75,Wood,0,2,0,3.14159265358979
BEIS41,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,75,Wood,0,2,0,3.14159265358979
BEIS11,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,75,Wood,0,2,0,1.5707963267949
BEIS71,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,75,Wood,0,2,0,1.5707963267949
BEIS41,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,75,Wood,0,2,0,1.5707963267949
BEIS11,False,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,75,Wood,0,1,0,4.71238898038469
BEIS71,False,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,75,Wood,0,1,0,4.71238898038469
BEIS41,False,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,75,Wood,0,1,0,4.71238898038469
BEIS12,False,0,0,0,0,1,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,5.49778714378214
BEIS72,False,0,0,0,0,1,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,5.49778714378214
BEIS42,False,0,0,0,0,1,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,5.49778714378214
BEIS12,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,2,0,2.35619449019234
BEIS72,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,2,0,2.35619449019234
BEIS42,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,2,0,2.35619449019234
BEIS12,False,0,0,0,0,0,0,uPVC,LEFT,False,,False,0,uPVC,10,0,10,0.78539816339744
BEIS72,False,0,0,0,0,0,0,uPVC,LEFT,False,,False,0,uPVC,10,0,10,0.78539816339744
BEIS42,False,0,0,0,0,0,0,uPVC,LEFT,False,,False,0,uPVC,10,0,10,0.78539816339744
BEIS12,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,0,uPVC,10,0,10,3.92699081698724
BEIS72,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,0,uPVC,10,0,10,3.92699081698724
BEIS42,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,0,uPVC,10,0,10,3.92699081698724
BEIS13,False,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,4.71238898038469
BEIS73,False,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,4.71238898038469
BEIS43,False,0,0,0,0,2,0,uPVC,BACK,False,Cavity,False,0,uPVC,0,2,0,4.71238898038469
BEIS13,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,2,0,1.5707963267949
BEIS73,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,2,0,1.5707963267949
BEIS43,False,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,0,uPVC,0,2,0,1.5707963267949
BEIS13,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,0,uPVC,0,1,0,0.0
BEIS73,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,0,uPVC,0,1,0,0.0
BEIS43,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,0,uPVC,0,1,0,0.0
BEIS13,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,0,uPVC,10,0,10,3.14159265358979
BEIS73,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,0,uPVC,10,0,10,3.14159265358979
BEIS43,False,0,0,0,0,0,0,uPVC,RIGHT,False,,False,0,uPVC,10,0,10,3.14159265358979
BEIS14,False,0,0,0,0,0,0,uPVC,BACK,False,,False,100,,10,0,10,3.14159265358979
BEIS74,False,0,0,0,0,0,0,uPVC,BACK,False,,False,100,,10,0,10,3.14159265358979
BEIS44,False,0,0,0,0,0,0,uPVC,BACK,False,,False,100,,10,0,10,3.14159265358979
BEIS14,True,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,100,,0,2,0,0.0
BEIS74,True,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,100,,0,2,0,0.0
BEIS44,True,0,0,0,0,1,0,uPVC,FRONT,False,Cavity,False,100,,0,2,0,0.0
BEIS14,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,100,,0,2,0,-1.5707963267949
BEIS74,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,100,,0,2,0,-1.5707963267949
BEIS44,False,0,0,0,0,0,0,uPVC,LEFT,False,Cavity,False,100,,0,2,0,-1.5707963267949
BEIS14,True,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,100,,0,1,0,1.5707963267949
BEIS74,True,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,100,,0,1,0,1.5707963267949
BEIS44,True,0,0,0,0,0,0,uPVC,RIGHT,False,Cavity,False,100,,0,1,0,1.5707963267949
BEIS15,True,0,0,0,0,1,0,Wood,BACK,False,Cavity,False,100,,0,2,0,7.85398163397448
BEIS75,True,0,0,0,0,1,0,Wood,BACK,False,Cavity,False,100,,0,2,0,7.85398163397448
BEIS45,True,0,0,0,0,1,0,Wood,BACK,False,Cavity,False,100,,0,2,0,7.85398163397448
BEIS15,True,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,100,,0,3,0,4.71238898038469
BEIS75,True,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,100,,0,3,0,4.71238898038469
BEIS45,True,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,100,,0,3,0,4.71238898038469
BEIS15,False,0,0,0,0,0,0,Wood,LEFT,False,,False,100,,10,0,10,3.14159265358979
BEIS75,False,0,0,0,0,0,0,Wood,LEFT,False,,False,100,,10,0,10,3.14159265358979
BEIS45,False,0,0,0,0,0,0,Wood,LEFT,False,,False,100,,10,0,10,3.14159265358979
BEIS15,True,0,0,0,0,0,0,Wood,RIGHT,False,Cavity,False,100,,0,0,0,6.28318530717959
BEIS75,True,0,0,0,0,0,0,Wood,RIGHT,False,Cavity,False,100,,0,0,0,6.28318530717959
BEIS45,True,0,0,0,0,0,0,Wood,RIGHT,False,Cavity,False,100,,0,0,0,6.28318530717959
BEIS16,False,0,0,0,0,1,0,Wood,BACK,True,SystemBuild,False,75,Wood,0,2,0,6.28318530717959
BEIS76,False,0,0,0,0,1,0,Wood,BACK,True,SystemBuild,False,75,Wood,0,2,0,6.28318530717959
BEIS46,False,0,0,0,0,1,0,Wood,BACK,False,SystemBuild,False,75,Wood,0,2,0,6.28318530717959
BEIS16,False,0,0,0,0,1,0,Wood,FRONT,True,SystemBuild,False,75,Wood,0,2,0,3.14159265358979
BEIS76,False,0,0,0,0,1,0,Wood,FRONT,False,SystemBuild,False,75,Wood,0,2,0,3.14159265358979
BEIS46,False,0,0,0,0,1,0,Wood,FRONT,False,SystemBuild,False,75,Wood,0,2,0,3.14159265358979
BEIS16,False,0,0,0,0,0,0,Wood,LEFT,False,,False,75,Wood,10,0,10,1.5707963267949
BEIS76,False,0,0,0,0,0,0,Wood,LEFT,False,,False,75,Wood,10,0,10,1.5707963267949
BEIS46,False,0,0,0,0,0,0,Wood,LEFT,False,,False,75,Wood,10,0,10,1.5707963267949
BEIS16,False,0,0,0,0,0,0,Wood,RIGHT,False,,False,75,Wood,10,0,10,4.71238898038469
BEIS76,False,0,0,0,0,0,0,Wood,RIGHT,False,,False,75,Wood,10,0,10,4.71238898038469
BEIS46,False,0,0,0,0,0,0,Wood,RIGHT,False,,False,75,Wood,10,0,10,4.71238898038469
BEIS17,True,0,0,0,0,1,0,Wood,BACK,False,Cavity,False,100,,0,2,0,8.63937979737193
BEIS77,True,0,0,0,0,1,0,Wood,BACK,False,Cavity,False,100,,0,2,0,8.63937979737193
BEIS47,True,0,0,0,0,1,0,Wood,BACK,False,Cavity,False,100,,0,2,0,8.63937979737193
BEIS17,True,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,100,,0,2,0,5.49778714378214
BEIS77,True,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,100,,0,2,0,5.49778714378214
BEIS47,True,0,0,0,0,1,0,Wood,FRONT,False,Cavity,False,100,,0,2,0,5.49778714378214
BEIS17,False,0,0,0,0,0,0,Wood,LEFT,False,,False,100,,10,0,10,3.92699081698724
BEIS77,False,0,0,0,0,0,0,Wood,LEFT,False,,False,100,,10,0,10,3.92699081698724
BEIS47,False,0,0,0,0,0,0,Wood,LEFT,False,,False,100,,10,0,10,3.92699081698724
BEIS17,False,0,0,0,0,0,0,Wood,RIGHT,False,,False,100,,10,0,10,7.06858347057703
BEIS77,False,0,0,0,0,0,0,Wood,RIGHT,False,,False,100,,10,0,10,7.06858347057703
BEIS47,False,0,0,0,0,0,0,Wood,RIGHT,False,,False,100,,10,0,10,7.06858347057703
BEIS18,False,0,0,0,0,1,0,uPVC,BACK,True,Sandstone,False,75,Wood,0,1,0,7.85398163397448
BEIS78,False,0,0,0,0,1,0,uPVC,BACK,True,Sandstone,False,75,Wood,0,1,0,7.85398163397448
BEIS48,False,0,0,0,0,1,0,uPVC,BACK,False,Sandstone,False,75,Wood,0,1,0,7.85398163397448
BEIS18,False,0,0,0,0,1,0,uPVC,FRONT,False,Sandstone,False,75,Wood,0,2,0,4.71238898038469
BEIS78,False,0,0,0,0,1,0,uPVC,FRONT,True,Sandstone,False,75,Wood,0,2,0,4.71238898038469
BEIS48,False,0,0,0,0,1,0,uPVC,FRONT,False,Sandstone,False,75,Wood,0,2,0,4.71238898038469
BEIS18,False,0,0,0,0,0,0,uPVC,LEFT,True,Sandstone,False,75,Wood,0,0,0,3.14159265358979
BEIS78,False,0,0,0,0,0,0,uPVC,LEFT,True,Sandstone,False,75,Wood,0,0,0,3.14159265358979
BEIS48,False,0,0,0,0,0,0,uPVC,LEFT,False,Sandstone,False,75,Wood,0,0,0,3.14159265358979
BEIS18,False,0,0,0,0,0,0,uPVC,RIGHT,False,Sandstone,False,75,Wood,0,0,0,6.28318530717959
BEIS78,False,0,0,0,0,0,0,uPVC,RIGHT,True,Sandstone,False,75,Wood,0,0,0,6.28318530717959
BEIS48,False,0,0,0,0,0,0,uPVC,RIGHT,True,Sandstone,False,75,Wood,0,0,0,6.28318530717959
BEIS19,False,0,0,0,0,1,0,uPVC,BACK,False,Sandstone,False,100,,0,2,0,7.85398163397448
BEIS79,False,0,0,0,0,1,0,uPVC,BACK,True,Sandstone,False,100,,0,2,0,7.85398163397448
BEIS49,False,0,0,0,0,1,0,uPVC,BACK,True,Sandstone,False,100,,0,2,0,7.85398163397448
BEIS19,False,1,0,0,0,0,0,uPVC,FRONT,False,Sandstone,False,100,,0,2,0,4.71238898038469
BEIS79,False,1,0,0,0,0,0,uPVC,FRONT,False,Sandstone,False,100,,0,2,0,4.71238898038469
BEIS49,False,1,0,0,0,0,0,uPVC,FRONT,False,Sandstone,False,100,,0,2,0,4.71238898038469
BEIS19,False,0,0,0,0,0,0,uPVC,LEFT,False,Sandstone,False,100,,0,1,0,3.14159265358979
BEIS79,False,0,0,0,0,0,0,uPVC,LEFT,False,Sandstone,False,100,,0,1,0,3.14159265358979
BEIS49,False,0,0,0,0,0,0,uPVC,LEFT,False,Sandstone,False,100,,0,1,0,3.14159265358979
BEIS19,False,0,0,0,0,0,0,uPVC,RIGHT,False,Sandstone,False,100,,0,2,0,6.28318530717959
BEIS79,False,0,0,0,0,0,0,uPVC,RIGHT,False,Sandstone,False,100,,0,2,0,6.28318530717959
BEIS49,False,0,0,0,0,0,0,uPVC,RIGHT,True,Sandstone,False,100,,0,2,0,6.28318530717959
BEIS20,False,0,0,0,0,0,0,uPVC,BACK,True,Sandstone,False,100,,0,1,0,4.71238898038469
BEIS80,False,0,0,0,0,0,0,uPVC,BACK,True,Sandstone,False,100,,0,1,0,4.71238898038469
BEIS50,False,0,0,0,0,0,0,uPVC,BACK,True,Sandstone,False,100,,0,1,0,4.71238898038469
BEIS20,False,1,0,0,0,1,0,uPVC,FRONT,True,Sandstone,False,100,,0,2,0,1.5707963267949
BEIS80,False,1,0,0,0,1,0,uPVC,FRONT,False,Sandstone,False,100,,0,2,0,1.5707963267949
BEIS50,False,1,0,0,0,1,0,uPVC,FRONT,True,Sandstone,False,100,,0,2,0,1.5707963267949
BEIS20,False,0,0,0,0,0,0,uPVC,LEFT,True,Sandstone,False,100,,0,1,0,0.0
BEIS80,False,0,0,0,0,0,0,uPVC,LEFT,False,Sandstone,False,100,,0,1,0,0.0
BEIS50,False,0,0,0,0,0,0,uPVC,LEFT,False,Sandstone,False,100,,0,1,0,0.0
