Candidate Site?,Site ID,Project ID,Site Name,Project Name,Region,Country,Location,Criterion 1: Stage of Development,Sub-stage of Development within stage 2,Commercial Activity?,Project on Developed Site?,In Operation?,Operation Date,Any Drilling?,Any deep well drilling?,Drilling - Comments,Past Attempts at Development,Key Market Participants,Criterion 2: Probability of Good Resource for Power Generation,Quality of Publicly Available Data,Resource Temperature,Enthalpy,Estimated Potential Capacity Minimum,Estimated Potential Capacity Range,Estimated Installed Capacity,Resource Chemical Composition,Criterion 3: Environmental and Social Constraints,Description of  Environmental/Social Constraint_ where applicable,Criterion 4: Likelihood of Commercial Viability,In Country where a Geothermal Facility has Operated?,Remoteness of Site,Competing Generation,Infrastructure Needed,Time Needed to Reach Exploration,Finance Needed to Reach Exploration,Time Needed to Reach Test Drilling,Finance Needed to Reach Test Drilling,Criterion 5: Maturity of Enabling Environment,Legal_ Regulatory_ and Institutional Framework,Concession Information,Notes,Main Information Sources,Web Sources
No,LAC008,LAC008-0,Poopo,,South America,Bolivia,,1,,,,No,,No,No,,,,Low,Low,75 -170,Medium,Unknown,Unknown,0.0,Some chemical indications of thermal character but high Ca + Mg and high SO4 (nearly 400 ppm). ,Low,,Medium,No,,"Natural gas, hydro",,,,,,Low,"The electricity sector in Bolivia was privatized in the early 1990s and was unbundled into generation, transmission and distribution. ",,"The site does not have obvious electrical geothermal potential unless there is an obvious nearby volcanic heat source and some geologic/hydrologic evidence for mixing a deep reservoir component and cooler near-surface groundwaters. On the other hand, direct use applications may be excellent depending on flow rate and chemical scaling/corrosion considerations (Goff, 1998)",2,
No,LAC009,LAC009-0,Sajama,,South America,Bolivia,"To the west of the Sajama Volcano, approximately 250 km from La Paz. ",1,,Yes,,No,,No,No,,,"ENDE, UNDP, CORDEOR, GEOBOL",Medium,Low,240 - 250 ,High,Unknown,Unknown,0.0,,Low,,Medium,No,Medium,"Natural gas, hydro",,,,,,Low,"The electricity sector in Bolivia was privatized in the early 1990s and was unbundled into generation, transmission and distribution. ",,"Proposed uses: rural electrification, to supply the National Interconnected System (NIS), and for other direct uses with a social character. Reservoir temperatures estimated at 240 - 250  ̊C at depth of 800 - 1200 m. The next stage should be the drilling of deep exploratory and production wells. The existence of a paved road, which is the international route running to Arica, Chile, will facilitate the development of the Sajama project. ",2,
No,LAC010,LAC010-1,Sol de Mañana,Laguna Colorada,South America,Bolivia,"In the Cordillera Occidental in the SW corner of the Potosí department near the boder with Chile; 340 km south of the city of Uyuni; 200 km south of Empexa; and east of the Tatio geothermal field located in Chile. At 67  ̊40'W, 22  ̊30'S; altitude ranges from 4300 to over 5000 masl. Site composed of three fields: Sol de Mañana, Apacheta-Agüita Brava, and Huayllajara. ",3,,Yes,No,No,,Yes,Yes,1985 - 1990: 4 deep wells were drilled and geothermal reservoir was quantified and evaluated. ,1990 - Italian gov't financing for CFE (Mex) to study resource,"ENEL, ENDE, UNDP, CORDEOR, GEOBOL, Government of Japan",High,Medium,250 - 260,High,100,100 - 180 (400?),0.0,,Low,,High,No,High,"Natural gas, hydro",172 km transmission line,,,,,Low,"The electricity sector in Bolivia was privatized in the early 1990s and was unbundled into generation, transmission and distribution. ",ENDE,"This site is worth investigating further to assess whether it could use a Fund - could be in stage 2b. Energy initiatives purchased the Laguna Colorada geothermal rights for $50,140. The potential of the Sol de Mañana field is estimated as follows. Minimum potential: 20-30 MW; probable potential: 150-180 MW; possible potential: 350-400 MW. To date, $16.5 million has been invested in the Laguna Colorada project. Source 2 pg. 135 says $8.5 million was obtained in financing from the Italian Government to install a pilot plan in Sol de Mañana. Production and reinjection wells were drilled, but financing was stopped in 1993 due to domestic corruption, which halted the project. Engineering Service of CFE of Mexico were contracted to define the geothermal resource and potential for technical and economic development in the same year. Their study confirmed potential and suggested how to proceed with development. Refer to DOE study for more details. Source 19 pg. 5 says tha ENDE was starting exploitation phase in 2010, after a hiatius following the exploration done by ENEL in 1990. Construction to begin in 2012; expected to be completed by 2015. A $30 million guarantee from the government of Japan will go toward the advancement of the project by state power company Ende. The 100MW plant (sometimes 120MW cited) is expected to be on line in 2015 along with a 172-km transmission line and two substations. ","2, 3, 19, 40","http://www.bnamericas.com/news/electricpower/Laguna_Colorada_geothermal_drilling_could_begin_in_Q4; http://thinkgeoenergy.com/archives/60;  http://www.industrialinfo.com/showAbstract.jsp?newsitemID=209590; http://www.geothermal-energy.org/142,welcome_to_our_page_with_data_for_bolivia.html"
No,LAC011,LAC011-0,Sorocachi,,South America,Bolivia,,1,,No,,No,,No,No,,,,Low,Low,90 - 140 ,Medium,Unknown,Unknown,0.0,"There are chemical indications of elevated reservoir temperature (a little As, Cs, Rb; good B and Li) but low SiO2. ",Low,,Medium,No,,"Natural gas, hydro",,,,,,Low,"The electricity sector in Bolivia was privatized in the early 1990s and was unbundled into generation, transmission and distribution. ",,"The site does not have obvious electrical geothermal potential unless there is an obvious nearby volcanic heat source and some geologic/hydrologic evidence for mixing a deep reservoir component and cooler near-surface groundwaters. On the other hand, direct use applications may be excellent depending on flow rate and chemical scaling/corrosion considerations (Goff, 1998)",2,
No,LAC012,LAC012-0,Urimiri,,South America,Bolivia,,1,,,,No,,No,No,,,,Low,Low,75 - 180,Unknown,Unknown,Unknown,0.0,Some chemical indications of thermal character but high Ca+Mg and low silica,Low,,Medium,No,,"Natural gas, hydro",,,,,,Low,"The electricity sector in Bolivia was privatized in the early 1990s and was unbundled into generation, transmission and distribution. ",,"The site does not have the obvious electrical geothermal potential unless there is an obvious nearby volcanic heat source and some geologic/hydrologic evidence for mixing of a deep reservoir component and cooler near-surface groundwaters. On the other hand, direct use applications may be excellent depending on flow rate and chemical scaling/corrosion considerations (Goff, 1998). ",2,
No,LAC014,LAC014-0,Vichas-Lupe,,South America,Bolivia,,1,,,,No,,No,No,,,"NRECA, Los Alamos National Laboratory",Low,Low,100-160,Unknown,Unknown,Unknown,0.0,"Water from this site has some species of thermal character but low silica, fairly high Ca+ Mg and high HCO (> 1000 ppm). ",Low,,Medium,No,,"Natural gas, hydro",,,,,,Low,"The electricity sector in Bolivia was privatized in the early 1990s and was unbundled into generation, transmission and distribution. ",,"The site does not have obvious electrical geothermal potential unless there is an obvious nearby volcanic heat source and some geologic/hydrologic evidence for mixing a deep reservoir component and cooler near-surface groundwaters. On the other hand, direct use applications may be excellent depending on flow rate and chemical scaling/corrosion considerations (Goff, 1998). ",2,
Yes,LAC022,LAC022-1,Calabozo,Calabozo I,South America,Chile,"Region VII, Curicó and Talca provinces. Located 240 km southeast of Santiago, in the central-southern zone of Chile, near the border with Argentina. ",2,2b,Yes,No,No,,Yes,No,Slim holes have been drilled.,,Empresa Nacional de Geotérmica (ENG),Medium,Medium,235 -300,High,Unknown,Unknown,0.0,,Low,,Medium,No,Medium,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Empresa Nacional de Geotérmica (ENG),"The geothermal area is located 240 km SE of Santiago, near the border with Argentina. It has large volumes of erupted silicic magmas and high flow rates of thermal springs (>240 l/s) . The geothermal system is related to 26x8 km Late Pleistocene composite ring-structure caldera and faulted resurgent dome, with many rhyodacitic to dacitic ash-flow sheets associated with the caldera collapse.  Hot springs and fumaroles are found along the caldera margin and the resurgent fault system. The basement of the Calabozos volcanic complex include Mesozoic marine clastic, gypsiferous and carbonate rocks, late Cretaceous and Tertiary volcanic and plutonic rocks, and Miocene pyrclastic sequences. Hot springs range from chloride and chloride-sulfate to bicorbanate tupes, suggesting a liquid-dominated goethermal system. MT-TDEM geophysical surveys, and water and gas geothermometry, have been recently conducted by ENAP.obtaining subsurface temperatures between 235  ̊ C and 300  ̊ C. Direct concession opened in June 2002. ","3, 16, 25",
Yes,LAC022,LAC022-2,Calabozo,Calabozo II,South America,Chile,"Region VII, Curicó province. Located 240 km southeast of Santiago, in the central-southern zone of Chile, near the border with Argentina. ",1,,Yes,No,No,,No,No,,,Empresa Nacional de Geotérmica (ENG),Medium,Medium,236 -300,High,Unknown,Unknown,0.0,"Hot springs range from chloride and cloride-sulfate to bicarbonate types, suggesting a liquid-dominated geothermal system. ",Low,,Medium,No,Medium,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Empresa Nacional de Geotérmica (ENG),"The geothermal area is located 240 km SE of Santiago, near the border with Argentina. It has large volumes of erupted silicic magmas and high flow rates of thermal springs (>240 l/s) . The geothermal system is related to 26x8 km Late Pleistocene composite ring-structure caldera and faulted resurgent dome, with many rhyodacitic to dacitic ash-flow sheets associated with the caldera collapse.  Hot springs and fumaroles are found along the caldera margin and the resurgent fault system. The basement of the Calabozos volcanic complex include Mesozoic marine clastic, gypsiferous and carbonate rocks, late Cretaceous and Tertiary volcanic and plutonic rocks, and Miocene pyrclastic sequences. Hot springs range from chloride and chloride-sulfate to bicorbanate tupes, suggesting a liquid-dominated goethermal system. MT-TDEM geophysical surveys, and water and gas geothermometry, have been recently conducted by ENAP.obtaining subsurface temperatures between 235  ̊ C and 300  ̊ C. Direct concession opened in February 2006","3, 16, 25",
Yes,LAC054,LAC054-4,Pampa de Lirima,Pampa de Lirima 4,South America,Chile,"Region I, Iquique province",2,2a,Yes,No,No,,No,No,,,Energía Andina S.A,Medium,Low,169 - 211,High,Unknown,Unknown,0.0,,Low,,Medium,No,Low,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Energía Andina,"Tender concession published June 5, 2009. En la zona, Energía Andina S. A. ha desarrollado un interesante plan de trabajo con las comunidades locales, con las que se mantiene una colaboración e información permanente de las actividades en desarrollo y de las perspectivas futuras del proyecto.","2,3, 25",http://www.energiandina.cl/category/proyectos/pampa-lirima/
No,LAC029,LAC029-0,Colorado,,South America,Chile,"Region II, Antofogasta province.",1,,Yes,,No,,No,No,,,,Unknown,Low,Unknown,Unknown,Unknown,Unknown,0.0,,Low,,Low,No,,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Enel Latin America (Chile) Limitada,"Tender concession published in 2010. ENEL Green Power purchased the concession in March 2012. Concession size is 16,800 hectares. ","25, 41",
Yes,LAC022,LAC022-3,Calabozo,Calabozo III,South America,Chile,"Region VII, Curicó province. Located 240 km southeast of Santiago, in the central-southern zone of Chile, near the border with Argentina. ",1,,Yes,No,No,,No,No,,,Empresa Nacional de Geotérmica (ENG),Medium,Medium,237 -300,High,Unknown,Unknown,0.0,"Hot springs range from chloride and cloride-sulfate to bicarbonate types, suggesting a liquid-dominated geothermal system. ",Low,,Medium,No,Medium,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Empresa Nacional de Geotérmica (ENG),"The geothermal area is located 240 km SE of Santiago, near the border with Argentina. It has large volumes of erupted silicic magmas and high flow rates of thermal springs (>240 l/s) . The geothermal system is related to 26x8 km Late Pleistocene composite ring-structure caldera and faulted resurgent dome, with many rhyodacitic to dacitic ash-flow sheets associated with the caldera collapse.  Hot springs and fumaroles are found along the caldera margin and the resurgent fault system. The basement of the Calabozos volcanic complex include Mesozoic marine clastic, gypsiferous and carbonate rocks, late Cretaceous and Tertiary volcanic and plutonic rocks, and Miocene pyrclastic sequences. Hot springs range from chloride and chloride-sulfate to bicorbanate tupes, suggesting a liquid-dominated goethermal system. MT-TDEM geophysical surveys, and water and gas geothermometry, have been recently conducted by ENAP.obtaining subsurface temperatures between 235  ̊ C and 300  ̊ C. Direct concession opened in February 2006.","3, 16, 25",
Yes,LAC022,LAC022-4,Calabozo,Calabozo IV,South America,Chile,"Region VII, Curicó province. Located 240 km southeast of Santiago, in the central-southern zone of Chile, near the border with Argentina. ",1,,Yes,No,No,,No,No,,,Empresa Nacional de Geotérmica (ENG),Medium,Medium,238 -300,High,Unknown,Unknown,0.0,"Hot springs range from chloride and cloride-sulfate to bicarbonate types, suggesting a liquid-dominated geothermal system. ",Low,,Medium,No,Medium,Hydro/Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Empresa Nacional de Geotérmica (ENG),"The geothermal area is located 240 km SE of Santiago, near the border with Argentina. It has large volumes of erupted silicic magmas and high flow rates of thermal springs (>240 l/s) . The geothermal system is related to 26x8 km Late Pleistocene composite ring-structure caldera and faulted resurgent dome, with many rhyodacitic to dacitic ash-flow sheets associated with the caldera collapse.  Hot springs and fumaroles are found along the caldera margin and the resurgent fault system. The basement of the Calabozos volcanic complex include Mesozoic marine clastic, gypsiferous and carbonate rocks, late Cretaceous and Tertiary volcanic and plutonic rocks, and Miocene pyrclastic sequences. Hot springs range from chloride and chloride-sulfate to bicorbanate tupes, suggesting a liquid-dominated goethermal system. MT-TDEM geophysical surveys, and water and gas geothermometry, have been recently conducted by ENAP.obtaining subsurface temperatures between 235  ̊ C and 300  ̊ C. Tender concession opened in 2010.","3, 16, 25",
Yes,LAC026,LAC026-1,Chillán Hot Springs ,Chillán Hot Springs ,South America,Chile,"Region X at 36  ̊57'S, 71  ̊33'W, Ñuble province.",2,2b,Yes,No,No,,Yes,Yes,"-Slim holes have been drilled
-One exploratory well drilled",,"Ente Nacional de Petrolio (ENAP), Compagnie Française Geotemique de France (CFG)",Medium,Medium,210,High,2,2,0.0, ,Low,,Medium,No,Medium,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",ENG,"Geothermometers show temperatures that would allow the installation of a small Rankine cycle plant generating 2 MW. Na-K-Ca geothermometer temperature (Truesdell, 1975). The cost of kW generated would compete with the average cost of kW generated by traditional methods in Chile (Gonzalez, 1995). Direct concession published February, 2007. The resource potential may actually be as large at 100 megawatts. ","2, 3, 16",http://www.bnamericas.com/news/energiaelectrica/Enel_y_Enap_firman_acuerdo_por_2_proyectos_de_energia_geotermica
Yes,LAC054,LAC054-1,Pampa de Lirima,Pampa de Lirima 1,South America,Chile,"Region I, Iquique province",2,2a,Yes,No,No,,No,No,,,Energía Andina S.A,Medium,Low,169 - 211,High,Unknown,Unknown,0.0,,Low,,Medium,No,Low,Coal,,,,,,High,"Competitive, mature electricity market. The electric sector has been unbundled into generation, transmission, distribution and commercialization since 1994. Clear concession framework.",Energía Andina,1,"2,3, 25",http://www.energiandina.cl/category/proyectos/pampa-lirima/
