Theme,Theme Label,Theme Type,Value Chain,Value Chain Label,Topic,Topic Label,Indicator,Indicator Label,Question,Question Label,Question Answer (1_4),Question Answer (Text),Question Type,Government Weights,Industry Weights,Civil Society Weights,Overall Country Weights
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.2,State of Mapping and Geological Exploration ,37,To what extent is the licensed ground being serviced by active exploration?,1.67,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.2,State of Mapping and Geological Exploration ,38,"Is there a country-wide geological map (usually at scale 1:1,000,000, 1:2 000 000, 1: 1 500 000)?",4.0,,Primary (desktop research),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.2,State of Mapping and Geological Exploration ,39,"What proportion of the country is covered at scale of 1:250,000 or similar (e.g. 1:200 000)?",4.0,,Primary (desktop research),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.2,State of Mapping and Geological Exploration ,40,"What proportion of the country is covered at scale of 1:100,000 by geological maps or similar (for example, 1:100,000, 1:62,500, 1:50,000)? ",2.5,,Primary (desktop research),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.2,State of Mapping and Geological Exploration ,41,Quality of geological database - Fraser Institute,4.0,,Secondary,4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.3,Mining Cadastre Effectiveness,42,To what extent are the mining cadastre rules being correctly implemented and information is accessible to the public?,1.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.3,Mining Cadastre Effectiveness,43,To what extent does the relevant legislation or guidelines provide for a map component to record license boundaries in the cadastre?,1.0,,Primary (desktop research),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.3,Mining Cadastre Effectiveness,44,To what extent is the topographic map for the cadastre compatible with GPS systems?,2.5,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.3,Mining Cadastre Effectiveness,45,"In practice, are there boundary disputes between license holders due to the ambiguity of boundaries?",2.5,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.3,Mining Cadastre Effectiveness,46,To what degree is the mining cadastre up-to-date?,,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.3,Mining Cadastre Effectiveness,47,To what extent is the mining cadastre used to support the management of licenses?,,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.3,Mining Cadastre Effectiveness,48,To what extent does the cadastre system ensure that license information (including boundaries) cannot be tampered with? ,,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.3,Mining Cadastre Effectiveness,49,To what extent is the computerized cadastre system operating without major technical problems? ,,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.3,Mining Cadastre Effectiveness,50,"If there is a decentralized cadastre system in place, to what extent is there a clearance requirement from central office? ",,,Primary (desktop research),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.3,Mining Cadastre Effectiveness,51,"In practice, if there is a decentralized cadastre system in place, to what extent is a clearance from the central office required before issuing a license?",,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.4,Allocating Licenses Effectively,52,To what extent are the procedures for the allocation of exploration rights laid out in the legal framework followed in practice? ,3.5,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.4,Allocating Licenses Effectively,53,To what extent are the procedures for the allocation of mining rights laid out in the legal framework followed in practice?,4.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.4,Allocating Licenses Effectively,54,To what extent are limits to discretionary power in the award of exploration licenses followed?,4.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.4,Allocating Licenses Effectively,55,To what extent are limits to discretionary powers in the award of mining licenses followed? ,4.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.4,Allocating Licenses Effectively,56,To what extent is there a preference for local companies or producers in the allocation process of exploration or mining licenses? ,3.4,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.4,Allocating Licenses Effectively,57,To what extent is it clear which government body (or bodies) negotiates and approves mining contracts? ,4.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.4,Allocating Licenses Effectively,58,To what extent do license cancellations or denied applications result in appeals? ,4.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.5,Transferability of Licenses,59,"In practice, if a company holds an exploration license and is in compliance with license conditions, to what extent does that translate into an automatic priority in obtaining a mining lease in that area? ",4.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.5,Transferability of Licenses,60,"In practice, are license holders able to transfer their licenses to eligible companies?",4.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.6,Managing Licenses Effectively,61,To what extent are the legislated timeframes for license application and allocation followed?,1.75,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.6,Managing Licenses Effectively,62,To what extent is the cadastre system mostly free of long-standing pending applications?,,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.6,Managing Licenses Effectively,63,"In the case of FCFS (First Come, First Served), to what extent are applications time-stamped as they are received? ",4.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.6,Managing Licenses Effectively,64,To what extent are the sanctions regarding licenses for non-performance by companies enforced?,2.5,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.6,Managing Licenses Effectively,65,To what extent are the timelines for deciding on exploration and/or mining rights applications compatible with the timelines of other required permits? ,1.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.6,Managing Licenses Effectively,66,To what extent is the timeframe for the approval of exploration work programs followed? ,,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.6,Managing Licenses Effectively,67,To what extent is the unit managing the monitoring of licenses staffed appropriately to perform its duties? ,1.15,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.6,Managing Licenses Effectively,68,To what extent is the unit managing the monitoring of licenses receiving an adequate operational budget to perform its duties? ,1.0,,Primary (Interview),4.0,9.0,1.0,16.0
C,C. Institutional Capacity and Effectiveness,Value Chain Theme,1,"1. Contracts, Licenses and Exploration",C1,"Cadastre, Geodata, License and Tenure Management",C1.6,Managing Licenses Effectively,69,"In practice, how long does the approval for exploration license applications take?",,,Primary (Interview),4.0,9.0,1.0,16.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,2,2. Operations ,A2,Clarity and Harmonization of Sector Rules,A2.1,"Clarity of Legislation, Rules and Timeframes",70,"To what extent do regulations cover all relevant mining procedures (exploration, license issuance, work programs, mines inspection, health and safety, explosives, emergency, mine closure, etc.)? ",2.5,,Primary (desktop research),4.0,1.0,1.0,9.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,2,2. Operations ,A2,Clarity and Harmonization of Sector Rules,A2.1,"Clarity of Legislation, Rules and Timeframes",71,To what extent is the timeframe for the approval of mine development plans set out in the regulations? ,1.0,,Primary (desktop research),4.0,1.0,1.0,9.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,2,2. Operations ,A2,Clarity and Harmonization of Sector Rules,A2.1,"Clarity of Legislation, Rules and Timeframes",72,To what extent is the timeframe for the approval of extensions of mining operations set out in the regulations? ,1.0,,Primary (desktop research),4.0,1.0,1.0,9.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,2,2. Operations ,A2,Clarity and Harmonization of Sector Rules,A2.2,Harmonization of Legislation and Government Coordination,73,To what extent is mining sector legislation consistent with other relevant legislation?,2.5,,Primary (Interview),4.0,1.0,1.0,9.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,2,2. Operations ,A2,Clarity and Harmonization of Sector Rules,A2.2,Harmonization of Legislation and Government Coordination,74,"To what extent are legislation or inter-ministry arrangements covering natural resource issues that may be affected by mineral rights (e.g., land use, water, forests and nature reserves) well defined to minimize overlaps or gaps? ",2.5,,Primary (desktop research),4.0,1.0,1.0,9.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,2,2. Operations ,A2,Clarity and Harmonization of Sector Rules,A2.2,Harmonization of Legislation and Government Coordination,75,How clearly does mining or other legislation assign roles and responsibilities between government ministries/agencies in the mining sector? ,4.0,,Primary (desktop research),4.0,1.0,1.0,9.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,2,2. Operations ,A2,Clarity and Harmonization of Sector Rules,A2.1,"Clarity of Legislation, Rules and Timeframes",76,To what extent is there a regulation in place that allows the formalization of artisanal and small-scale miners?,,,Primary (desktop research),4.0,1.0,1.0,9.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,2,2. Operations ,A2,Clarity and Harmonization of Sector Rules,A2.3,Provisions for Artisanal and Smallscale Mining,77,To what extent is artisanal and small-scale mining legally recognized in the mining law or regulations? ,2.5,,Primary (desktop research),4.0,1.0,1.0,9.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,2,2. Operations ,A2,Clarity and Harmonization of Sector Rules,A2.3,Provisions for Artisanal and Smallscale Mining,78,To what extent do the laws and regulations allow for artisanal and small-scale and industrial mining activities to coexist?,,,Primary (desktop research),4.0,1.0,1.0,9.0
A,"A. Policy, Legislation and Regulation ",Value Chain Theme,2,2. Operations ,A2,Clarity and Harmonization of Sector Rules,A2.3,Provisions for Artisanal and Smallscale Mining,79,To what extent are there detailed laws and regulations to settle disputes between ASM and other mining activities?,,,Primary (desktop research),4.0,1.0,1.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.1,"Access to Land, Compensation and Resettlement",80,"Does the holder of a mineral right have guaranteed access rights to (surface) land, or does this need to be negotiated with landowners (or users) separately?",4.0,,Primary (desktop research),2.0,1.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.1,"Access to Land, Compensation and Resettlement",81,Is there an established procedure following Equator Principles for the resettlement of communities displaced by mining activities?,1.0,,Primary (desktop research),2.0,1.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.1,"Access to Land, Compensation and Resettlement",82,To what extent does the government enforce the legal requirements to resettle communities affected by mining activities?,2.5,,Primary (Interview),2.0,1.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.1,"Access to Land, Compensation and Resettlement",83,Is there an established procedure for the payment of compensation to landowners (and/or users) when exploration and mining activities interfere with their activities? ,4.0,,Primary (desktop research),2.0,1.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.1,"Access to Land, Compensation and Resettlement",84,To what extent does the government enforce the legal requirements of mining companies to compensate people affected by mining activities?,2.8,,Primary (Interview),2.0,1.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.2,Access and Accountability of Mining Legislation and Processes,85,To what extent are the key laws and regulations governing mining operations available from a single and up-to-date online government source? ?,4.0,,Primary (desktop research),2.0,1.0,16.0,9.0
B,B. Accountability and Inclusiveness,Value Chain Theme,2,2. Operations ,B2,"Accountability of Processes,  Compensation, Resettlement and Artisanal and Smallscale Mining Voice",B2.2,Access and Accountability of Mining Legislation and Processes,86,To what extent does the legislative branch carry out an oversight role regarding the mining sector beyond the consideration and approval of legislation? ,3.63,,Primary (Interview),2.0,1.0,16.0,9.0
