Country ISO3,Country Name,Indicator,Subindicator Type,2010
AZE,Azerbaijan,Initial response deadline of no more than 15 days,1 Yes 0 No,1.0
AZE,Azerbaijan,Judicial appeals mechanism,1 Yes 0 No,1.0
AZE,Azerbaijan,Legal Framework unweighted average,1 Yes 0 No,1.0
AZE,Azerbaijan,Legislation governing access to information,1 Yes 0 No,1.0
AZE,Azerbaijan,Maximum total response time of no more than 40 days,1 Yes 0 No,1.0
AZE,Azerbaijan,Nominal fees mandated,1 Yes 0 No,1.0
AZE,Azerbaijan,Oral requests,1 Yes 0 No,1.0
AZE,Azerbaijan,Procedures for accessing information score,5 Highest 0 Lowest,5.0
AZE,Azerbaijan,Public Interest test ,1 Yes 0 No,1.0
AZE,Azerbaijan,Right to Appeal,1 Yes 0 No,1.0
AZE,Azerbaijan,Right to extend response time,1 Yes 0 No,1.0
AZE,Azerbaijan,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.666666667
AZE,Azerbaijan,Written guidelines for request of info,1 Yes 0 No,1.0
AZE,Azerbaijan,Written requests,1 Yes 0 No,1.0
BDI,Burundi,Administrative sanctions,1 Yes 0 No,0.0
BDI,Burundi,Annual budgets,1 Yes 0 No,0.0
BDI,Burundi,Annual chart of accounts,1 Yes 0 No,0.0
BDI,Burundi,Annual reports,1 Yes 0 No,0.0
BDI,Burundi,Appeals mechanism score,5 Highest 0 Lowest,0.0
BDI,Burundi,Appeals within public entities,1 Yes 0 No,0.0
BDI,Burundi,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
BDI,Burundi,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
BDI,Burundi,Constitutional requirement,1 Yes 0 No,0.0
BDI,Burundi,Coverage of information score,5 Highest 0 Lowest,0.0
BDI,Burundi,Criminal sanctions,1 Yes 0 No,0.0
BDI,Burundi,Deadlines for release of information score,5 Highest 0 Lowest,0.0
BDI,Burundi,Draft legal instruments,1 Yes 0 No,0.0
BDI,Burundi,Electronic requests,1 Yes 0 No,0.0
BDI,Burundi,Enacted legal instruments,1 Yes 0 No,0.0
BDI,Burundi,Enforcement mechanism score,5 Highest 0 Lowest,0.0
BDI,Burundi,Exemptions to coverage,1 Yes 0 No,0.0
BDI,Burundi,Exemptions to disclosure requirements score,5 Highest 0 Lowest,0.0
BDI,Burundi,Existence of legal right to access,1 Yes 0 No,0.0
BDI,Burundi,Fines,1 Yes 0 No,0.0
BDI,Burundi,FOIA contact points,1 Yes 0 No,0.0
BDI,Burundi,FOIA enforcement body,1 Yes 0 No,0.0
BDI,Burundi,Harm test,1 Yes 0 No,0.0
BDI,Burundi,Independent Nonjudicial appeals mechanism,1 Yes 0 No,0.0
BDI,Burundi,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
BDI,Burundi,Judicial appeals mechanism,1 Yes 0 No,0.0
BDI,Burundi,Legal Framework unweighted average,1 Yes 0 No,0.0
BDI,Burundi,Legislation governing access to information,1 Yes 0 No,0.0
BDI,Burundi,Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
BDI,Burundi,Nominal fees mandated,1 Yes 0 No,0.0
BDI,Burundi,Oral requests,1 Yes 0 No,0.0
BDI,Burundi,Procedures for accessing information score,5 Highest 0 Lowest,0.0
BDI,Burundi,Public Interest test ,1 Yes 0 No,0.0
BDI,Burundi,Right to Appeal,1 Yes 0 No,0.0
BDI,Burundi,Right to extend response time,1 Yes 0 No,0.0
BDI,Burundi,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
BDI,Burundi,Written guidelines for request of info,1 Yes 0 No,0.0
BDI,Burundi,Written requests,1 Yes 0 No,0.0
BEN,Benin,Administrative sanctions,1 Yes 0 No,0.0
BEN,Benin,Annual budgets,1 Yes 0 No,0.0
BEN,Benin,Annual chart of accounts,1 Yes 0 No,0.0
BEN,Benin,Annual reports,1 Yes 0 No,0.0
BEN,Benin,Appeals mechanism score,5 Highest 0 Lowest,0.0
BEN,Benin,Appeals within public entities,1 Yes 0 No,0.0
BEN,Benin,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
BEN,Benin,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
BEN,Benin,Constitutional requirement,1 Yes 0 No,1.0
BEN,Benin,Coverage of information score,5 Highest 0 Lowest,0.0
BEN,Benin,Criminal sanctions,1 Yes 0 No,0.0
BEN,Benin,Deadlines for release of information score,5 Highest 0 Lowest,0.0
BEN,Benin,Draft legal instruments,1 Yes 0 No,0.0
BEN,Benin,Electronic requests,1 Yes 0 No,0.0
BEN,Benin,Enacted legal instruments,1 Yes 0 No,0.0
BEN,Benin,Enforcement mechanism score,5 Highest 0 Lowest,2.5
BEN,Benin,Exemptions to coverage,1 Yes 0 No,1.0
BEN,Benin,Exemptions to disclosure requirements score,5 Highest 0 Lowest,1.666666667
BEN,Benin,Existence of legal right to access,1 Yes 0 No,1.0
BEN,Benin,Fines,1 Yes 0 No,0.0
BEN,Benin,FOIA contact points,1 Yes 0 No,0.0
BEN,Benin,FOIA enforcement body,1 Yes 0 No,1.0
BEN,Benin,Harm test,1 Yes 0 No,0.0
BEN,Benin,Independent Nonjudicial appeals mechanism,1 Yes 0 No,0.0
BEN,Benin,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
BEN,Benin,Judicial appeals mechanism,1 Yes 0 No,0.0
BEN,Benin,Legal Framework unweighted average,1 Yes 0 No,1.0
BEN,Benin,Legislation governing access to information,1 Yes 0 No,1.0
BEN,Benin,Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
BEN,Benin,Nominal fees mandated,1 Yes 0 No,0.0
BEN,Benin,Oral requests,1 Yes 0 No,0.0
BEN,Benin,Procedures for accessing information score,5 Highest 0 Lowest,0.0
BEN,Benin,Public Interest test ,1 Yes 0 No,0.0
BEN,Benin,Right to Appeal,1 Yes 0 No,1.0
BEN,Benin,Right to extend response time,1 Yes 0 No,0.0
BEN,Benin,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
BEN,Benin,Written guidelines for request of info,1 Yes 0 No,0.0
BEN,Benin,Written requests,1 Yes 0 No,0.0
BFA,Burkina Faso,Administrative sanctions,1 Yes 0 No,0.0
BFA,Burkina Faso,Annual budgets,1 Yes 0 No,0.0
BFA,Burkina Faso,Annual chart of accounts,1 Yes 0 No,0.0
BFA,Burkina Faso,Annual reports,1 Yes 0 No,0.0
BFA,Burkina Faso,Appeals mechanism score,5 Highest 0 Lowest,0.0
BFA,Burkina Faso,Appeals within public entities,1 Yes 0 No,0.0
BFA,Burkina Faso,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
BFA,Burkina Faso,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
BFA,Burkina Faso,Constitutional requirement,1 Yes 0 No,1.0
BFA,Burkina Faso,Coverage of information score,5 Highest 0 Lowest,0.0
BFA,Burkina Faso,Criminal sanctions,1 Yes 0 No,0.0
BFA,Burkina Faso,Deadlines for release of information score,5 Highest 0 Lowest,0.0
BFA,Burkina Faso,Draft legal instruments,1 Yes 0 No,0.0
BFA,Burkina Faso,Electronic requests,1 Yes 0 No,0.0
BFA,Burkina Faso,Enacted legal instruments,1 Yes 0 No,0.0
BFA,Burkina Faso,Enforcement mechanism score,5 Highest 0 Lowest,0.0
BFA,Burkina Faso,Exemptions to coverage,1 Yes 0 No,0.0
BFA,Burkina Faso,Exemptions to disclosure requirements score,5 Highest 0 Lowest,0.0
BFA,Burkina Faso,Existence of legal right to access,1 Yes 0 No,1.0
BFA,Burkina Faso,Fines,1 Yes 0 No,0.0
BFA,Burkina Faso,FOIA contact points,1 Yes 0 No,0.0
BFA,Burkina Faso,FOIA enforcement body,1 Yes 0 No,0.0
BFA,Burkina Faso,Harm test,1 Yes 0 No,0.0
BFA,Burkina Faso,Independent Nonjudicial appeals mechanism,1 Yes 0 No,0.0
BFA,Burkina Faso,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
BFA,Burkina Faso,Judicial appeals mechanism,1 Yes 0 No,0.0
BFA,Burkina Faso,Legal Framework unweighted average,1 Yes 0 No,0.5
BFA,Burkina Faso,Legislation governing access to information,1 Yes 0 No,0.0
BFA,Burkina Faso,Maximum total response time of no more than 40 days,1 Yes 0 No,0.0
BFA,Burkina Faso,Nominal fees mandated,1 Yes 0 No,0.0
BFA,Burkina Faso,Oral requests,1 Yes 0 No,0.0
BFA,Burkina Faso,Procedures for accessing information score,5 Highest 0 Lowest,0.0
BFA,Burkina Faso,Public Interest test ,1 Yes 0 No,0.0
BFA,Burkina Faso,Right to Appeal,1 Yes 0 No,0.0
BFA,Burkina Faso,Right to extend response time,1 Yes 0 No,0.0
BFA,Burkina Faso,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.0
BFA,Burkina Faso,Written guidelines for request of info,1 Yes 0 No,0.0
BFA,Burkina Faso,Written requests,1 Yes 0 No,0.0
BGD,Bangladesh,Administrative sanctions,1 Yes 0 No,1.0
BGD,Bangladesh,Annual budgets,1 Yes 0 No,1.0
BGD,Bangladesh,Annual chart of accounts,1 Yes 0 No,1.0
BGD,Bangladesh,Annual reports,1 Yes 0 No,1.0
BGD,Bangladesh,Appeals mechanism score,5 Highest 0 Lowest,3.333333333
BGD,Bangladesh,Appeals within public entities,1 Yes 0 No,1.0
BGD,Bangladesh,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,0.0
BGD,Bangladesh,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,0.0
BGD,Bangladesh,Constitutional requirement,1 Yes 0 No,0.0
BGD,Bangladesh,Coverage of information score,5 Highest 0 Lowest,5.0
BGD,Bangladesh,Criminal sanctions,1 Yes 0 No,0.0
BGD,Bangladesh,Deadlines for release of information score,5 Highest 0 Lowest,3.75
BGD,Bangladesh,Draft legal instruments,1 Yes 0 No,1.0
BGD,Bangladesh,Electronic requests,1 Yes 0 No,1.0
BGD,Bangladesh,Enacted legal instruments,1 Yes 0 No,1.0
BGD,Bangladesh,Enforcement mechanism score,5 Highest 0 Lowest,5.0
BGD,Bangladesh,Exemptions to coverage,1 Yes 0 No,1.0
BGD,Bangladesh,Exemptions to disclosure requirements score,5 Highest 0 Lowest,1.666666667
BGD,Bangladesh,Existence of legal right to access,1 Yes 0 No,1.0
BGD,Bangladesh,Fines,1 Yes 0 No,1.0
BGD,Bangladesh,FOIA contact points,1 Yes 0 No,1.0
BGD,Bangladesh,FOIA enforcement body,1 Yes 0 No,1.0
BGD,Bangladesh,Harm test,1 Yes 0 No,0.0
BGD,Bangladesh,Independent Nonjudicial appeals mechanism,1 Yes 0 No,1.0
BGD,Bangladesh,Initial response deadline of no more than 15 days,1 Yes 0 No,0.0
BGD,Bangladesh,Judicial appeals mechanism,1 Yes 0 No,0.0
BGD,Bangladesh,Legal Framework unweighted average,1 Yes 0 No,0.75
BGD,Bangladesh,Legislation governing access to information,1 Yes 0 No,1.0
BGD,Bangladesh,Maximum total response time of no more than 40 days,1 Yes 0 No,1.0
BGD,Bangladesh,Nominal fees mandated,1 Yes 0 No,1.0
BGD,Bangladesh,Oral requests,1 Yes 0 No,0.0
BGD,Bangladesh,Procedures for accessing information score,5 Highest 0 Lowest,3.75
BGD,Bangladesh,Public Interest test ,1 Yes 0 No,0.0
BGD,Bangladesh,Right to Appeal,1 Yes 0 No,1.0
BGD,Bangladesh,Right to extend response time,1 Yes 0 No,1.0
BGD,Bangladesh,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.666666667
BGD,Bangladesh,Written guidelines for request of info,1 Yes 0 No,1.0
BGD,Bangladesh,Written requests,1 Yes 0 No,1.0
BGR,Bulgaria,Administrative sanctions,1 Yes 0 No,1.0
BGR,Bulgaria,Annual budgets,1 Yes 0 No,1.0
BGR,Bulgaria,Annual chart of accounts,1 Yes 0 No,0.0
BGR,Bulgaria,Annual reports,1 Yes 0 No,1.0
BGR,Bulgaria,Appeals mechanism score,5 Highest 0 Lowest,1.666666667
BGR,Bulgaria,Appeals within public entities,1 Yes 0 No,0.0
BGR,Bulgaria,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,2.0
BGR,Bulgaria,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,2.0
BGR,Bulgaria,Constitutional requirement,1 Yes 0 No,1.0
BGR,Bulgaria,Coverage of information score,5 Highest 0 Lowest,4.0
BGR,Bulgaria,Criminal sanctions,1 Yes 0 No,0.0
BGR,Bulgaria,Deadlines for release of information score,5 Highest 0 Lowest,5.0
BGR,Bulgaria,Draft legal instruments,1 Yes 0 No,1.0
BGR,Bulgaria,Electronic requests,1 Yes 0 No,1.0
BGR,Bulgaria,Enacted legal instruments,1 Yes 0 No,1.0
BGR,Bulgaria,Enforcement mechanism score,5 Highest 0 Lowest,2.5
BGR,Bulgaria,Exemptions to coverage,1 Yes 0 No,1.0
BGR,Bulgaria,Exemptions to disclosure requirements score,5 Highest 0 Lowest,3.333333333
BGR,Bulgaria,Existence of legal right to access,1 Yes 0 No,1.0
BGR,Bulgaria,Fines,1 Yes 0 No,1.0
BGR,Bulgaria,FOIA contact points,1 Yes 0 No,1.0
BGR,Bulgaria,FOIA enforcement body,1 Yes 0 No,0.0
BGR,Bulgaria,Harm test,1 Yes 0 No,1.0
BGR,Bulgaria,Independent Nonjudicial appeals mechanism,1 Yes 0 No,0.0
BGR,Bulgaria,Initial response deadline of no more than 15 days,1 Yes 0 No,1.0
BGR,Bulgaria,Judicial appeals mechanism,1 Yes 0 No,1.0
BGR,Bulgaria,Legal Framework unweighted average,1 Yes 0 No,1.0
BGR,Bulgaria,Legislation governing access to information,1 Yes 0 No,1.0
BGR,Bulgaria,Maximum total response time of no more than 40 days,1 Yes 0 No,1.0
BGR,Bulgaria,Nominal fees mandated,1 Yes 0 No,1.0
BGR,Bulgaria,Oral requests,1 Yes 0 No,1.0
BGR,Bulgaria,Procedures for accessing information score,5 Highest 0 Lowest,5.0
BGR,Bulgaria,Public Interest test ,1 Yes 0 No,1.0
BGR,Bulgaria,Right to Appeal,1 Yes 0 No,1.0
BGR,Bulgaria,Right to extend response time,1 Yes 0 No,1.0
BGR,Bulgaria,Sanctions for failure to disclose unweighted average,1 Yes 0 No,0.666666667
BGR,Bulgaria,Written guidelines for request of info,1 Yes 0 No,1.0
BGR,Bulgaria,Written requests,1 Yes 0 No,1.0
BIH,Bosnia and Herzegovina,Administrative sanctions,1 Yes 0 No,1.0
BIH,Bosnia and Herzegovina,Annual budgets,1 Yes 0 No,1.0
BIH,Bosnia and Herzegovina,Annual chart of accounts,1 Yes 0 No,1.0
BIH,Bosnia and Herzegovina,Annual reports,1 Yes 0 No,1.0
BIH,Bosnia and Herzegovina,Appeals mechanism score,5 Highest 0 Lowest,5.0
BIH,Bosnia and Herzegovina,Appeals within public entities,1 Yes 0 No,1.0
BIH,Bosnia and Herzegovina,Clarity of Harm test,1 Fill Clarity 2 Lacks Clarity,2.0
BIH,Bosnia and Herzegovina,Clarity of Public Interest test,1 Fill Clarity 2 Lacks Clarity,2.0
BIH,Bosnia and Herzegovina,Constitutional requirement,1 Yes 0 No,0.0
BIH,Bosnia and Herzegovina,Coverage of information score,5 Highest 0 Lowest,4.0
BIH,Bosnia and Herzegovina,Criminal sanctions,1 Yes 0 No,0.0
BIH,Bosnia and Herzegovina,Deadlines for release of information score,5 Highest 0 Lowest,5.0
BIH,Bosnia and Herzegovina,Draft legal instruments,1 Yes 0 No,0.0
BIH,Bosnia and Herzegovina,Electronic requests,1 Yes 0 No,0.0
BIH,Bosnia and Herzegovina,Enacted legal instruments,1 Yes 0 No,1.0
BIH,Bosnia and Herzegovina,Enforcement mechanism score,5 Highest 0 Lowest,5.0
BIH,Bosnia and Herzegovina,Exemptions to coverage,1 Yes 0 No,1.0
