Property Name,Country,Commodity,Type of Work,Status,Extent of Processing,Best Reserve Available,Reserves Tonnes  (_000) Units,Reserve Grade,Reserve grade Unit,Current Production,Current Production Unit,(Expected) Yearly Production at full capacity ,(Expected) Production at full capacity unit,Life of Mine (years),Project Inception (Year),Project Completion (Year),Company Name,(Expected)  Investment (MM$),Probability to move to investment by 2020 ,Power Sourcing Arrangement or Relationship Between Mine and Grid.,Source of power,Energy Consumption (kwh/t product),Annual Energy Consumption (MWh),Energy needs (MW),Shareholding Code,Mine Location,Location notes,Region,Tariff Public Utility,Cost relativity,Grid Energy Source,Grid Reliability,Source,Notes,Reference,Projects Pre-2000,Projects 2001-2012,Projects 2020
Moanda/ Eramet Manganese,Gabon,Manganese,Plant,Producer,smelted,None,,,,,,20000,tons,100.0,2014.0,,Eramet,200.0,high,Grid supply,On-Grid,2516,50320,5.24,Sole Ownership by a private company,"(-1.5, 13.25)",,CA,16.2,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,"The future Metallurgical Complex of COMILOG is a 67%-held ERAMET subsidiary based in Moanda (Gabon). The project consists of a silicomanganese plant with 65,000 ton annual capacity and a 20,000 ton per year manganese metal plant.
The Complex will benefit from the Gabonese government's development of a new hydroelectric plant as part of the upgrading of the national electricity grid. Capital expenditure for the Moanda Metallurgical Complex will total €200 million, if all the required conditions are met.",http://en.gabonews.com/economy/items/moanda-metallurgical-complex-1187.html,No,No,Yes
Shangani,Zimbabwe,Nickel,Underground,Temporary Suspension,refined,Indicated Reserves,6030.0,0.47,%,,,960,tons,,2007.0,2009.0,Mwana Africa Plc (100%),,low,Grid supply,On-Grid,10700,10272,1.07,Sole Ownership by a private company,"(-19.6666667, 29.25)",,SA,9.8,equal tariff,Mainly Coal Fuelled Generation,50 to 100 days,Infomine,,"Infomine, http://www.mwanaafrica.com/operations-and-exploration/zimbabwe/bindura-nickel-corp-bnc",No,Yes,No
Two Rivers,South Africa,Ruthenium,Underground,Producer,refined,None,,,,1287559.0,grams,41000,ounce,20.0,2006.0,2026.0,"African Rainbow Minerals Limited( 55%), Impala Platinum Holdings (45%)",250.0,high,Grid supply,On-Grid,69489780,80770,8.41,Join-venture with only private interests,"(-24.9166667, 30.1)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,,No,Yes,Yes
Sega (Seguenega),Burkina Faso,Gold,Surface,Advanced Exploration,refined,Indicated Reserves,6595.0,1.65,grams,,,81000,ounce,2.0,2015.0,2017.0,Amara Mining Plc (100%),,closed by 2020,Self-supply,On-site Diesel,25000000,57408,5.98,Sole Ownership by a private company,"(13.3833333, -1.9666667)",,WA,26.0,above tariff,Mainly Oil Fuelled Generation,0 to 50 days,Infomine,Power cost: $1.31/t. Expansion of Kalsaka project,"Infomine, Company Website",No,No,No
Megamine,South Africa,Gold,Surface,Development,refined,Indicated Reserves,21550.0,4.36,grams,123179.0,ounce,123179,ounce,,2013.0,,Gold One 100%,562.0,high,Grid supply,On-Grid,25000000,87302,9.09,Sole Ownership by a private company,,,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,,No,No,Yes
Mwanza,Tanzania,Gold,Underground,Exploration,refined,Inferred Resources,3300.0,,,,,200000,ounce,,2016.0,,Tembo Gold,,high,Self-supply,On-site HFO,45000000,255145,26.58,Sole Ownership by a private company,,Next to Bulyanhulu mine,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,WB,Power assumed,,No,No,Yes
Moanda/ Eramet Manganese,Gabon,Manganese,Open-Pit,Producer,crushed,None,,,,3400000.0,tons,3400000,tons,100.0,2005.0,2105.0,Eramet,90.0,high,Grid supply,On-Grid,16,54400,5.67,Sole Ownership by a private company,"(-1.5, 13.25)",,CA,16.2,equal tariff,Mainly Hydro Powered Generation,0 to 50 days,Infomine,,"Infomine, Company Website",No,Yes,Yes
Akanani Project,South Africa,Platinum,Surface,Exploration,refined,Inferred Resources,176600.0,3.96,grams,,,250000,ounce,42.0,2014.0,2056.0,"Lonmin Plc. (74% Held Through Acquisition Of Afriore), Black Economic Empowerment (26%)",650.0,high,Grid supply,On-Grid,50089080,355000,36.98,Join-venture with only private interests,"(-24.0166667, 28.9166667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"500,000 oz for initial capacity for PGMs;  2004 Prospecting Permit; 10.9MN Platinum reserves (Measured, Indicated, Inferred)-44 years; grid-technical report","Infomine, Technical Report Nov 2006 (SEDAR),  http://www.miningmx.com/page/news/platinum_group_metals/821377-Lonmin-studies-potential-650000-oz-mine#.UPyah_L1GSo",No,No,Yes
Booysendal,South Africa,Platinum,Underground,Development,refined,Indicated Reserves,161370.0,4.33,grams,,,160000,ounce,50.0,2013.0,2061.0,Aquarius Platinum,1100.0,high,Grid supply + self-supply backup,"On-Site HFO, On-Grid",69489780,315200,32.83,Sole Ownership by a private company,"(-25.1, 30.1166667)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"Full production is of 3PGE+Au (2250000 t); full production is 50 years plus. Looking into alternative sources of energy. Investment was R7.1MN (used end of 2010 exchange rate). 5MW power available for construction; permanent power currently
being installed. 5MW self generation power in place. Hot commissioning is dependent on the availability of permanent Eskom power which has been delayed following an invasion of land over which the powerline is routed. Northam and Eskom are working together to resolve the difficulties associated with access to and construction of the powerline over an Eskom servitude east of the mine. ","Infomine, Mining Weekly, Company Website",No,No,Yes
Lauzoua Mine,Ivory Coast,Manganese,Open-Pit,Prefeasibility,smelted,None,,,,,,50000,tons,,2017.0,,"China National Geological And Mining (39'%), Societe Pour Le Development Minier De La Cote D'ivoire (51% )- 10% Private Interest",,low,Grid supply,On-Grid,2516,125800,13.1,Joint- venture with State Equity,"(5.2666667, -5.5166667)",,WA,11.9,equal tariff,Mainly Gas Powered Generation,0 to 50 days,Infomine,Processing plant was to be built for ferro manganese - so the project was divided into 2 lines : 1 for crushed manganese that has already started and 1 for ferromanganese that hasn’t started - the ferromanganese project is considered of low probability ,,No,No,Yes
Lauzoua Mine,Ivory Coast,Manganese,Open-Pit,Producer,crushed,None,,40.0,%,150000.0,tons,300000,tons,,2009.0,,"China National Geological And Mining (39'%), Societe Pour Le Development Minier De La Cote D'ivoire (51% )- 10% Private Interest",,high,Grid supply,On-Grid,16,4800,0.5,Joint- venture with State Equity,"(5.2666667, -5.5166667)",,WA,11.9,equal tariff,Mainly Gas Powered Generation,0 to 50 days,Infomine,,,No,Yes,Yes
Avontuur Manganese Project,South Africa,Manganese,Surface,Feasibility,crushed,Combined Resources,147800.0,38.2,%,,,1500000,tons,17.0,2015.0,2032.0,"Aquila Resources Ltd(74%), Bee (27%)",,high,Grid supply,On-Grid,16,24000,2.5,Join-venture with only private interests,,75 Km NW of KURUMAN,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website",No,No,Yes
Shamva And Howe Mine,Zimbabwe,Gold,Surface,Producer,refined,None,,,,150000.0,ounce,150000,ounce,,,2025.0,Metallon,50.0,high,Grid supply,On-Grid,25000000,106311,11.07,Sole Ownership by a private company,"(-17.3166667, 31.5666667)",,SA,9.8,equal tariff,Mainly Coal Fuelled Generation,50 to 100 days,Infomine,,,No,No,Yes
Nchwaning,South Africa,Manganese,Underground,Producer,crushed,Proved & Probable Resources,110340.0,43.91,%,2350000.0,tons,3500000,tons,53.0,1972.0,2025.0,"African Rainbow Minerals (50%), Assore Limited (50%)",,high,Grid supply,On-Grid,30,105000,10.94,Join-venture with only private interests,"(-27.1333333, 22.8333333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Mining Weekly",Yes,Yes,Yes
Dutwa,Tanzania,Nickel,Underground,Prefeasibility,intermediate,Indicated Reserves,46200.0,0.93,%,,,27000,tons,20.0,2016.0,2036.0,African Eagle Resources Plc (100%),,low,Grid supply + self-supply backup,"On-site HFO, On-Grid",6600,178200,18.56,Sole Ownership by a private company,"(-2.5, 33.85)",,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,A major powerline is 20km from the Project and cogeneration will be available from the acid plant. Heavy fuel oil is also a possible alternative.,http://www.africaneagle.co.uk/dutwa-infrastructure.asp,No,No,Yes
Bafokeng Rasimone,South Africa,Palladium,Underground,Producer,refined,Indicated Reserves,72400.0,12.13,grams,2143024.0,grams,65500,ounce,65.0,1997.0,2062.0,"Royal Bafokeng Holdings (67%), Anglo American Platinum (33%)",220.0,high,Grid supply --> Mines serve as anchor demand for IPP,"On-Grid, IPP",69489780,129035,13.44,Join-venture with only private interests,"(-25.4, 27.1)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The mining group aims to conclude a 25-year power purchase agreement with the eventual developer, with an option for Anglo American to extend the term. [starting 2015]. It needs to provide technical conditions for power generated in Witbank to be used in Rustenburg.  Site established at Boschkoppie (1997); off-take agreement was concluded with Rustenburg Refineries for the sale of the BRPM JV concentrate. Proportion based on 2009 production (250,000 oz PGMs)","Infomine, Mining Weekly",Yes,Yes,Yes
Two Rivers,South Africa,Platinum,Underground,Producer,refined,Indicated Reserves,42550.0,3.75,grams,4519000.0,grams,145000,ounce,20.0,2006.0,2026.0,"African Rainbow Minerals Limited( 55%), Impala Platinum Holdings (45%)",250.0,high,Grid supply,On-Grid,69489780,285650,29.76,Join-venture with only private interests,"(-24.9166667, 30.1)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,"Infomine, Company Website",No,Yes,Yes
Kwale,Kenya,Rutile,Placer,Development,intermediate,Proven Reserves,38230.0,0.9,%,,,79000,tons,13.0,2013.0,2026.0,Base Resources (100%),275.0,high,Grid supply,On-Grid,2000,158000,16.46,Sole Ownership by a private company,"(-4.3666667, 39.4666667)",,EA,17.0,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,,"Infomine, Mining Weekly, http://www.miningweekly.com/article/170m-secured-for-kenya-mineral-sands-project-base-2011-07-27,    
http://www.miningweekly.com/article/australia-based-company-acquires-required-funding-to-begin-construction-for-kenyan-operations-2012-01-27,     
http://www.proactiveinvestors.com.au/companies/news/11138/base-resources-moves-kwale-mineral-sands-project-towards-enhanced-dfs-11138.html",No,No,Yes
Barbrook Mine,South Africa,Gold,Open-Pit/Underground,Feasibility,refined,Inferred Resources,8781.0,5.76,grams,133338.0,grams,70000,ounce,0.0,2014.0,2014.0,Vantage Goldfields Ltd,,closed by 2020,Grid supply,On-Grid,45000000,89301,9.3,Sole Ownership by a private company,"(-25.7166667, 31.2833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,1985 conclusion of feasibility study; interim gaps in production,"Infomine, Company Website",No,No,No
South Africa Ferro Manganese Today,South Africa,Manganese,Surface,Producer,smelted,,,,,684000.0,tons,684000,tons,,2011.0,2015.0,Agregation Managanese Ore Production,,closed by 2020,Grid supply,On-Grid,2516,1720944,179.27,Join-venture with only private interests,,,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,USGS,This line sums up all MN projects' current capacity and take 8% of this sum assuming that 8% is smelted based on USGS as ferro-manganese,,No,Yes,No
Tshipi/Project Kalahari,South Africa,Manganese,Open-Pit,Producer,crushed,Indicated Reserves,39000.0,33.17,%,1000000.0,tons,2500000,tons,60.0,2012.0,2072.0,"Jupiter Mines Limited (49%), Ntsimbintle Mining (Proprietary) Ltd (51%)",,high,Grid supply,On-Grid,16,40000,4.17,Join-venture with only private interests,"(-27.3666667, 22.9833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,,No,Yes,Yes
Wessels,South Africa,Manganese,Underground,Producer,crushed,Combined Resources,137000.0,50.0,%,1000000.0,tons,1000000,tons,85.0,1973.0,2058.0,"Anglo American (29.6%), Bhp's Samancor (44.4%), Bee (27%)",,high,Grid supply,On-Grid,30,30000,3.13,Join-venture with only private interests,"(-27.1166667, 22.85)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,,Yes,Yes,Yes
Nachingwea / Ntaka Hill,Tanzania,Nickel,Underground,Prefeasibility,intermediate,Indicated Reserves,11125.0,1.13,%,,,15000,tons,15.0,2016.0,,Imx Resources Limited (100%),227.0,high,Grid supply + self-supply backup,"On-site HFO, On-Grid",6600,99000,10.31,Sole Ownership by a private company,"(-10.1, 38.55)",,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,"The Tanzanian government is very supportive of the Ntaka Hill project and is anxious to promote economic development in the southern parts of the country. Should the extension of the grid to Masasi not be completed in time, the current alternatives for Ntaka Hill would include connecting to the grid at the coast at Lindi, or the provision of power for the operation on-site.  All options are currently under consideration.",http://www.openbriefing.com/OB/IMX-Resources-Limited/2012/10/17/MD-on-Ntaka-Hill-PEA/813.aspx,No,No,Yes
Volspruit/Grass Valley,South Africa,Platinum,Surface,Exploration,refined,Indicated Reserves,16630.0,1.15,grams,,,200000,ounce,8.0,2014.0,2022.0,"Impala Platinum Holdings (25%), Sylvania Platinum Limited (75%)",,low,Grid supply,On-Grid,50089080,284000,29.58,Join-venture with only private interests,,"Limpopo, 15km south of the town of Mokopane (Potgietersrus)",SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The goal at full production is to feed 3 100 000 tpm capacity plant - Estimates for production and the probability is forced into ""low"" probability","Infomine, Company Website",No,No,Yes
Kanyika,Malawi,Niobium,Surface,Feasibility,refined,Indicated Resource,18000.0,3100.0,parts per million,,,3000,tons,20.0,2015.0,2035.0,Globe Metals And Mining,272.0,high,Self-supply,On-site Diesel,4000,12000,1.25,Sole Ownership by a private company,"(-12.7166667, 33.7)",,SA,5.0,above tariff,Mainly Hydro Powered Generation,50 to 100 days,WB,,,No,No,Yes
Impala Platinum Mine,South Africa,Palladium,Underground,Producer,refined,,,,,15878000.0,grams,600000,ounce,70.0,1969.0,2039.0,Impala Platinum Holdings,,high,Grid supply,On-Grid,69489780,1182000,123.13,Sole Ownership by a private company,"(-25.55, 27.1833333)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,Production  of palladium based on 2011 production ratio,"Infomine, Company Website",Yes,Yes,Yes
South Africa Silico_Manganese Future,South Africa,Silico-Manganese,Surface,Development,smelted,,,,,,,1150000,tons,,2018.0,,Agregation Managanese Ore Production,,high,Grid supply,On-Grid,4016,4618400,481.08,Join-venture with only private interests,,,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,WB,This line sums up all MN projects' expected capacity and take 10% of this sum assuming that 10% will be smelted as silico-manganese,,No,No,Yes
Moma,Mozambique,Ilmenite,Surface,Producer,intermediate,Inferred Resources,5900000.0,2.7,%,494400.0,tons,1200000,tons,120.0,2004.0,2132.0,Kenmare Resources Plc ,240.0,high,Mines invest in the grid,On-Grid,2000,1600000,166.67,Sole Ownership by a private company,"(-16.5, 39.6666667)",,SA,4.1,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,IM,"Kenmare has secured grid power (based on hydroelectricity) at USc2.4/kWh – cheap by international standards. (Kenmare Resources plc and the Mozambican State-owned utility, Electricidade de Mozambique have signed a Power Supply Agreement covering the provision of low cost electrical power to the Moma Titanium Minerals Project.This Agreement will enable low cost, hydro-electrically generated power to be available to the project from the commencement of production. The Agreement, covering a 20 year period, sets out the terms and conditions for the provision of this power and ensures that the project will pay a highly competitive tariff for the power supplied. Further terms of the Agreement are confidential.)","Infomine, Company Website",No,Yes,Yes
Mounana,Gabon,Manganese,Surface,Exploration,smelted,None,,,,,,100000,tons,,,,BHP (60%)- Angloamerican (40%),,low,Self-supply --> Grid supply,"On-site Diesel, On-Grid",2516,251600,26.21,,"(-1.4333333, 13.15)",,CA,16.2,above tariff,Mainly Hydro Powered Generation,0 to 50 days,WB,,WB,No,No,Yes
Nsuta,Ghana,Manganese,Open-Pit,Producer,crushed,None,,,,420000.0,tons,1500000,tons,111.0,1916.0,2027.0,"Consolidated Minerals (90%), Government Of Ghana (10%)",,high,Grid supply,On-Grid,16,24000,2.5,Joint- venture with State Equity,"(5.2666667, -1.95)",,WA,11.1,equal tariff,Mainly Hydro Powered Generation,50 to 100 days,Infomine,,"Infomine, http://www.ghamang.net,    
http://www.manganese.org/__data/assets/pdf_file/0008/97451/6.ConsMin_-_Company_Profile_and_Mn_Products.pdf",Yes,Yes,Yes
Gloria,South Africa,Manganese,Underground,Producer,crushed,Indicated Reserves,29400.0,29.9,%,700000.0,tons,1000000,tons,60.0,1978.0,2038.0,"African Rainbow Minerals Limited (50%), Assore Limited (50%)",,high,Grid supply,On-Grid,30,30000,3.13,Join-venture with only private interests,"(-27.1166667, 22.85)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,,,Yes,Yes,Yes
Ngwena,Tanzania,Nickel,Underground,Exploration,intermediate,Indicated Reserves,290000.0,,,,,20000,tons,15.0,2016.0,2035.0,Imx,,low,Self-supply --> Grid supply,"On-Site Diesel, On-Grid",6600,132000,13.75,Sole Ownership by a private company,,Ntaka Hill,EA,5.3,above tariff,Mainly Hydro Powered Generation,50 to 100 days,WB,"Once mining of the metal becomes operational, it would be transported abroad for smelting through Mtwara Port. Company will consider connecting power from neighbouring Masasi District when it starts mining.","WB, http://allafrica.com/stories/201210070110.html",No,No,Yes
Sheba's Ridge,South Africa,Nickel from N-C Sulphide,Open-Pit,Feasibility,smelted,Indicated Reserves,339860.0,0.19,%,,,23000,tons,16.0,2013.0,2029.0,"Anglo American Platinum Ltd (35%), Aquarius Platinum Ltd (39%), Industrial Development Corp Of South Africa (26%)",972.0,high,Grid supply,On-Grid,1100,25300,2.64,Join-venture with only private interests,"(-25.4333333, 29.5666667)",,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,2009; completion of feasibility report. Ridge continues to consult with Pace Global Energy Services to examine alternatives to reduce reliance on grid supply from Eskom due to the current and projected power supply constraints. Further studies and discussions with Eskom are necessary in order for the Company to be in a position to make a development decision.,"Infomine, Feasibility Report 2008, http://www.infomine.com/index/pr/PA645346.PDF",No,No,Yes
South Africa Ferro Manganese Future,South Africa,Manganese,Surface,Development,smelted,,,,,,,2300000,tons,,2018.0,,Agregation Managanese Ore Production,,high,Grid supply,On-Grid,2516,5786800,602.79,Join-venture with only private interests,,,SA,4.0,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,WB,This line sums up all MN projects' expected capacity and take 20% of this sum assuming that 20% will be smelted as ferro-manganese,,No,No,Yes
Phoenix Mine (Tati Nickel),Botswana,Nickel from N-C Sulphide,Open-Pit,Producer,intermediate,Proven Reserves,111800.0,0.22,%,9346.0,tons,120000,tons,20.0,1995.0,2015.0,"Norilsk Nickel (85%), Botswana Govt (15%)",,closed by 2020,Grid supply,On-Grid,300,36000,3.75,Joint- venture with State Equity,"(-21.2, 27.7666667)",,SA,6.7,equal tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The survey shows that by 2009/10, the power consumption at peak load from Tati Nickel would have doubled amid the power crisis that has engulfed the country. Currently at peak load, the mines use 39 mega watts (MW) of power and next year they will require 81 MW. Current ore depleted but new exploration projects will likely produce by 2020","Infomine, Company Website, Publications",Yes,Yes,No
Namakwa Sands,South Africa,Rutile,Open-Pit,Producer,smelted,Proven Reserves,263350.0,2.14,%,28000.0,tons,25000,tons,45.0,1994.0,2039.0,Exxaro Resources Limited,,high,Self-supply,Co-generation,4100,102500,10.68,Sole Ownership by a private company,"(-31.2833333, 17.9)",,SA,4.0,above tariff,Mainly Coal Fuelled Generation,0 to 50 days,Infomine,"The construction of the 14MW co-generation power plant at Namakwa Sands commenced in the second quarter of 2012 (CW). The power plant would generate electricity from waste gas at the Namakwa Sands operation and the project would be funded from the group’s balance sheet. Phase 2 construction taken  in 1997 at investment of R1.2BN (exchange rate December 31, 2007:  4.8630 ZAR/USD). ","Infomine, Mining Weekly, USGS, http://www.saimm.co.za/Conferences/HMC2009/009-016_Rosendaal.pdf",Yes,Yes,Yes
