sousDomaine,domaine,departement,nbOffres,nbElevesAyantInteragi,nbElevesInteresses,nbCandidatures,nbConfirmes
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,23,4,1,1,0,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,14,1,36,36,8,0
mecaniquemecanique-generalites,mecanique,50,15,35,35,1,0
construction-architecture-travaux-publicsplatrerie,construction-architecture-travaux-publics,26,11,18,11,1,0
informatique-internetinformatique-pour-la-recherche,informatique-internet,8,2,4,4,0,0
mecaniquemecanique-generalites,mecanique,8,2,2,2,0,0
gestion-des-entreprises-comptabiliteressources-humaines,gestion-des-entreprises-comptabilite,78,35,591,586,118,2
arts-culture-artisanatarts-du-spectacle,arts-culture-artisanat,28,3,16,9,1,0
gestion-des-entreprises-comptabiliteressources-humaines,gestion-des-entreprises-comptabilite,44,152,2324,1675,437,17
agriculture-animauxforet,agriculture-animaux,49,21,137,84,14,2
banque-assurances-immobilierbanque,banque-assurances-immobilier,13,24,179,175,53,7
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,13,187,1771,1573,303,31
agriculture-animauxdeveloppement-agricole,agriculture-animaux,76,1,1,1,0,0
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,56,6,4,2,0,0
electricite-electronique-robotiquetelecommunications,electricite-electronique-robotique,34,1,8,8,2,0
economie-droit-politiquedroit-public,economie-droit-politique,14,2,50,50,13,0
information-communication-audiovisuelcommunication,information-communication-audiovisuel,13,82,778,742,145,19
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,86,6,26,25,4,0
informatique-internetbases-de-donnees,informatique-internet,62,3,5,0,0,0
economie-droit-politiquedroit-applique,economie-droit-politique,14,2,50,50,13,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,8,13,11,10,2,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,34,2,23,23,4,0
informatique-internetsystemes-et-reseaux,informatique-internet,59,7,18,4,0,0
environnement-energies-propreteamenagement-du-territoire,environnement-energies-proprete,8,13,8,8,2,0
sante-social-sportparamedical,sante-social-sport,28,11,12,7,1,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,77,53,69,66,11,0
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,75,27,931,928,200,11
construction-architecture-travaux-publicstravaux-publics,construction-architecture-travaux-publics,14,22,79,76,14,1
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,8,8,3,3,0,0
gestion-des-entreprises-comptabiliteressources-humaines,gestion-des-entreprises-comptabilite,36,45,22,5,0,0
logistique-transporttransport,logistique-transport,26,6,16,11,3,0
informatique-internetbases-de-donnees,informatique-internet,34,2,23,23,4,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,76,12,17,17,1,0
matieres-premieres-fabrication-industriesmaintenance-qualite,matieres-premieres-fabrication-industries,8,8,6,4,0,0
information-communication-audiovisuelbibliotheque-documentation,information-communication-audiovisuel,14,4,14,14,2,0
information-communication-audiovisuelmultimedia,information-communication-audiovisuel,13,39,1132,1116,243,22
logistique-transportlogistique,logistique-transport,37,9,30,26,3,1
environnement-energies-propreteamenagement-du-territoire,environnement-energies-proprete,50,6,39,39,8,2
banque-assurances-immobilierassurances,banque-assurances-immobilier,21,14,75,64,19,0
agriculture-animauxagriculture-generalites,agriculture-animaux,18,27,6,3,0,0
sante-social-sportparamedical,sante-social-sport,45,27,1261,1250,184,6
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,50,17,65,65,10,5
logistique-transportlogistique,logistique-transport,29,5,8,8,1,0
information-communication-audiovisuelaudiovisuel,information-communication-audiovisuel,14,4,43,43,12,0
matieres-premieres-fabrication-industriesverre,matieres-premieres-fabrication-industries,50,6,13,13,1,0
sante-social-sportsante-generalites,sante-social-sport,41,54,24,14,0,0
agriculture-animauxcultures,agriculture-animaux,72,87,524,437,67,14
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,44,135,1329,779,101,2
economie-droit-politiquedroit-generalites,economie-droit-politique,14,2,50,50,13,0
agriculture-animauxelevage-aquaculture,agriculture-animaux,17,2,1,1,0,0
lettres-langues-enseignementenseignement,lettres-langues-enseignement,50,6,40,40,7,2
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,8,12,2,0,0,0
environnement-energies-propreteurbanisme,environnement-energies-proprete,30,3,40,38,6,0
environnement-energies-propreteprotection-des-espaces-naturels,environnement-energies-proprete,37,32,51,2,0,0
agriculture-animauxdeveloppement-agricole,agriculture-animaux,61,1,1,1,0,0
economie-droit-politiqueactivite-judiciaire,economie-droit-politique,45,37,1581,1572,321,38
hotellerie-restauration-tourismetourisme,hotellerie-restauration-tourisme,14,2,25,25,6,0
construction-architecture-travaux-publicstravaux-publics,construction-architecture-travaux-publics,28,18,26,12,1,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,38,15,107,67,13,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,26,5,24,22,2,0
electricite-electronique-robotiqueelectrotechnique,electricite-electronique-robotique,85,4,32,27,5,0
agriculture-animauxcultures,agriculture-animaux,30,1,2,2,0,0
sante-social-sportsante-generalites,sante-social-sport,26,1,7,6,0,0
scienceschimie,sciences,13,3,49,49,28,6
environnement-energies-propreteamenagement-du-territoire,environnement-energies-proprete,14,12,59,56,11,0
sante-social-sportparamedical,sante-social-sport,41,10,22,12,0,0
economie-droit-politiquedroit-applique,economie-droit-politique,13,35,935,920,252,50
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,65,6,1,1,0,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,38,3,33,33,8,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,49,7,58,53,11,0
environnement-energies-propreteurbanisme,environnement-energies-proprete,49,49,625,396,70,2
environnement-energies-propreteproprete,environnement-energies-proprete,14,4,23,23,5,1
informatique-internetsystemes-et-reseaux,informatique-internet,26,5,24,22,2,0
environnement-energies-propreteprotection-des-espaces-naturels,environnement-energies-proprete,14,4,23,23,5,1
economie-droit-politiquedroit-generalites,economie-droit-politique,44,8,274,181,48,0
agriculture-animauxpeche,agriculture-animaux,74,1,1,1,0,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,14,72,264,262,59,0
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,42,2,1,1,0,0
,informatique-internet,45,3,13,4,0,0
economie-droit-politiquedroit-generalites,economie-droit-politique,78,4,160,160,29,1
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,54,1,26,24,5,1
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,14,25,112,112,35,0
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,38,4,23,16,2,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,47,6,2,2,1,0
agriculture-animauxagriculture-generalites,agriculture-animaux,8,2,1,1,0,0
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,76,1,1,1,0,0
mecaniquemachinisme-agricole,mecanique,61,8,4,4,0,0
information-communication-audiovisuelmultimedia,information-communication-audiovisuel,26,2,8,8,2,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,26,6,20,13,3,0
sante-social-sportmedical,sante-social-sport,14,10,77,77,15,0
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,36,116,26,2,0,0
information-communication-audiovisuelaudiovisuel,information-communication-audiovisuel,17,2,7,7,0,0
sante-social-sporttravail-social,sante-social-sport,93,3,47,47,11,0
information-communication-audiovisueljournalisme-edition-publicite,information-communication-audiovisuel,26,1,8,7,1,0
information-communication-audiovisueljournalisme-edition-publicite,information-communication-audiovisuel,34,3,10,10,2,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,44,66,1534,1471,394,12
banque-assurances-immobilierbanque,banque-assurances-immobilier,34,3,22,19,4,0
armee-securitesecurite-prevention,armee-securite,14,2,1,1,0,0
arts-culture-artisanatartisanat-dart,arts-culture-artisanat,26,1,8,7,1,0
sante-social-sportsante-generalites,sante-social-sport,8,24,44,38,1,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,35,3,43,37,11,0
mecaniquemecanique-generalites,mecanique,14,10,33,29,7,2
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,85,30,443,339,43,0
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,34,32,129,111,7,3
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,34,12,35,31,4,0
agriculture-animauxdeveloppement-agricole,agriculture-animaux,44,39,201,150,24,0
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,14,22,79,76,14,1
agriculture-animauxforet,agriculture-animaux,14,4,9,9,1,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,38,12,124,83,24,2
construction-architecture-travaux-publicsmaconnerie-beton-arme,construction-architecture-travaux-publics,14,22,79,76,14,1
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,91,90,30,8,2,0
environnement-energies-propretedechets-pollutions-et-risques,environnement-energies-proprete,36,139,33,8,1,0
,gestion-des-entreprises-comptabilite,18,22,13,0,0,0
construction-architecture-travaux-publicsbureau-detudes-btp,construction-architecture-travaux-publics,14,22,79,76,14,1
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,72,63,450,372,83,9
banque-assurances-immobilierassurances,banque-assurances-immobilier,75,29,600,591,88,8
agriculture-animauxpeche,agriculture-animaux,30,1,2,2,0,0
economie-droit-politiquedroit-international,economie-droit-politique,14,2,50,50,13,0
sante-social-sportparamedical,sante-social-sport,30,1,10,9,2,0
construction-architecture-travaux-publicsgenie-civil,construction-architecture-travaux-publics,14,22,79,76,14,1
agriculture-animauxagriculture-generalites,agriculture-animaux,28,9,19,7,0,0
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,14,22,79,76,14,1
environnement-energies-propreteprotection-des-espaces-naturels,environnement-energies-proprete,54,8,18,7,0,0
informatique-internetinformatique-generalites,informatique-internet,14,1,36,36,8,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,67,15,84,67,16,0
arts-culture-artisanatactivites-culturelles,arts-culture-artisanat,14,10,64,64,15,1
economie-droit-politiquedroit-public,economie-droit-politique,26,1,4,4,1,0
environnement-energies-propreteurbanisme,environnement-energies-proprete,34,5,34,32,11,1
agriculture-animauxcultures,agriculture-animaux,66,1,1,1,1,0
informatique-internetinformatique-pour-la-recherche,informatique-internet,14,1,36,36,8,0
informatique-internetsystemes-et-reseaux,informatique-internet,14,1,36,36,8,0
economie-droit-politiquedroit-applique,economie-droit-politique,75,13,111,105,17,3
environnement-energies-propreteamenagement-du-territoire,environnement-energies-proprete,78,48,84,67,6,0
arts-culture-artisanatarts-plastiques,arts-culture-artisanat,30,1,21,19,4,0
logistique-transporttransport,logistique-transport,27,8,15,14,1,1
banque-assurances-immobilierbanque,banque-assurances-immobilier,47,1,1,1,1,0
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,62,1,2,2,0,0
agriculture-animauxpeche,agriculture-animaux,69,1,4,3,0,0
information-communication-audiovisueljournalisme-edition-publicite,information-communication-audiovisuel,14,4,14,14,2,0
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,44,183,4737,4437,1091,21
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,56,1,5,4,2,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,14,7,10,10,2,0
informatique-internetinformatique-pour-la-recherche,informatique-internet,54,1,26,24,5,1
arts-culture-artisanatarts-du-spectacle,arts-culture-artisanat,13,14,398,393,69,10
logistique-transportlogistique,logistique-transport,14,7,10,10,2,0
construction-architecture-travaux-publicsmaconnerie-beton-arme,construction-architecture-travaux-publics,41,86,121,51,21,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,16,8,5,5,2,0
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,85,23,217,174,43,4
armee-securitedefense-publique,armee-securite,34,1,16,15,5,0
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,38,3,23,16,2,0
informatique-internetinformatique-de-gestion,informatique-internet,50,2,1,1,0,0
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,94,1,6,6,2,1
gestion-des-entreprises-comptabiliteressources-humaines,gestion-des-entreprises-comptabilite,38,1,32,32,8,0
informatique-internetinformatique-generalites,informatique-internet,72,28,800,761,183,19
logistique-transportlogistique,logistique-transport,86,8,10,5,2,0
agriculture-animauxelevage-aquaculture,agriculture-animaux,83,1,1,1,0,0
informatique-internetbases-de-donnees,informatique-internet,16,3,2,2,0,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,43,1,2,2,1,0
informatique-internetsystemes-et-reseaux,informatique-internet,16,3,2,2,0,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,16,3,2,2,0,0
construction-architecture-travaux-publicsgenie-civil,construction-architecture-travaux-publics,8,12,2,0,0,0
matieres-premieres-fabrication-industriesmaintenance-qualite,matieres-premieres-fabrication-industries,13,12,129,121,28,2
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,16,3,2,2,0,0
mecaniquemecanique-generalites,mecanique,13,10,53,44,1,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,49,19,371,321,92,7
logistique-transportlogistique,logistique-transport,89,7,14,14,2,0
arts-culture-artisanatarts-plastiques,arts-culture-artisanat,53,17,51,32,11,1
arts-culture-artisanatarts-graphiques,arts-culture-artisanat,50,3,26,26,3,1
mecaniqueautomobile,mecanique,26,6,11,10,2,0
informatique-internetinformatique-generalites,informatique-internet,92,412,675,506,211,149
arts-culture-artisanatarts-du-spectacle,arts-culture-artisanat,14,2,27,27,8,0
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,18,11,3,3,2,0
information-communication-audiovisueljournalisme-edition-publicite,information-communication-audiovisuel,45,41,641,620,103,11
economie-droit-politiquedroit-social,economie-droit-politique,50,2,4,4,1,0
construction-architecture-travaux-publicsplatrerie,construction-architecture-travaux-publics,41,86,121,51,21,0
agriculture-animauxdeveloppement-agricole,agriculture-animaux,85,29,104,62,9,2
economie-droit-politiquedroit-generalites,economie-droit-politique,30,1,9,9,1,0
information-communication-audiovisuelcommunication,information-communication-audiovisuel,44,127,3711,3135,692,15
informatique-internetinformatique-pour-la-recherche,informatique-internet,16,3,2,2,0,0
logistique-transporttransport,logistique-transport,17,12,8,7,2,0
information-communication-audiovisuelmultimedia,information-communication-audiovisuel,17,2,7,7,0,0
informatique-internetinformatique-pour-la-recherche,informatique-internet,10,1,2,2,0,0
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,17,3,1,1,0,0
,environnement-energies-proprete,41,42,60,15,2,0
agriculture-animauxpeche,agriculture-animaux,78,4,6,5,1,0
mecaniqueautomobile,mecanique,14,11,34,29,7,2
agriculture-animauxcultures,agriculture-animaux,2,1,1,1,0,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,17,3,1,1,0,0
environnement-energies-propreteamenagement-du-territoire,environnement-energies-proprete,38,3,23,16,2,0
information-communication-audiovisuelmultimedia,information-communication-audiovisuel,34,3,28,26,5,0
sante-social-sportparamedical,sante-social-sport,85,28,150,60,10,0
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,1,1,2,2,0,0
mecaniqueautomobile,mecanique,18,35,5,1,0,0
agriculture-animauxdeveloppement-agricole,agriculture-animaux,49,32,129,90,15,0
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,76,3,4,4,1,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,37,11,47,39,6,1
environnement-energies-propreteprotection-des-espaces-naturels,environnement-energies-proprete,50,3,6,6,0,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,50,72,214,214,20,3
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,13,167,2880,2789,457,61
construction-architecture-travaux-publicsgenie-civil,construction-architecture-travaux-publics,37,32,5,1,0,0
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,31,3,6,5,0,0
mecaniquemachinisme-agricole,mecanique,17,2,1,1,0,0
agriculture-animauxdeveloppement-agricole,agriculture-animaux,77,7,11,10,5,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,18,2,5,5,0,0
informatique-internetinformatique-pour-la-recherche,informatique-internet,59,7,18,4,0,0
informatique-internetinformatique-generalites,informatique-internet,16,3,2,2,0,0
agriculture-animauxpeche,agriculture-animaux,62,1,2,2,0,0
information-communication-audiovisueljournalisme-edition-publicite,information-communication-audiovisuel,69,6,84,75,18,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,18,205,59,21,2,0
logistique-transporttransport,logistique-transport,28,4,9,9,0,0
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,18,156,28,10,3,0
mecaniqueautomobile,mecanique,44,6,31,21,7,1
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,2,1,1,1,0,0
environnement-energies-propreteproprete,environnement-energies-proprete,76,2,5,5,0,0
agriculture-animauxdeveloppement-agricole,agriculture-animaux,18,27,6,3,0,0
matieres-premieres-fabrication-industriesmaintenance-qualite,matieres-premieres-fabrication-industries,26,3,6,6,2,0
lettres-langues-enseignementenseignement,lettres-langues-enseignement,62,2,8,3,0,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,40,10,3,3,0,0
logistique-transportlogistique,logistique-transport,16,3,1,1,0,0
matieres-premieres-fabrication-industriesmaintenance-qualite,matieres-premieres-fabrication-industries,54,13,35,25,8,1
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,44,91,496,372,83,3
mecaniquemecanique-generalites,mecanique,49,67,488,323,55,4
arts-culture-artisanatarts-plastiques,arts-culture-artisanat,38,1,8,3,1,0
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,53,57,134,101,12,1
construction-architecture-travaux-publicsbureau-detudes-btp,construction-architecture-travaux-publics,38,4,23,16,2,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,16,8,4,4,2,0
agriculture-animauxforet,agriculture-animaux,18,19,2,0,0,0
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,58,6,8,8,0,0
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,72,41,449,382,86,7
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,18,4,7,4,1,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,45,59,2520,2468,563,62
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,45,141,1563,1519,214,24
construction-architecture-travaux-publicsplatrerie,construction-architecture-travaux-publics,69,2,12,9,4,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,29,5,8,8,1,0
informatique-internetinformatique-generalites,informatique-internet,85,12,85,74,16,2
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,26,13,28,20,5,0
environnement-energies-propreteurbanisme,environnement-energies-proprete,18,17,3,0,0,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,66,1,1,1,1,0
construction-architecture-travaux-publicsplatrerie,construction-architecture-travaux-publics,37,32,5,1,0,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,47,1,1,1,1,0
gestion-des-entreprises-comptabiliteressources-humaines,gestion-des-entreprises-comptabilite,35,1,14,12,2,1
mecaniquemecanique-generalites,mecanique,18,27,3,0,0,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,19,8,4,4,2,0
construction-architecture-travaux-publicsgenie-civil-construction-generalites,construction-architecture-travaux-publics,27,2,6,4,0,0
construction-architecture-travaux-publicsbureau-detudes-btp,construction-architecture-travaux-publics,49,131,743,515,66,4
mecaniqueautomobile,mecanique,8,8,7,6,0,0
sante-social-sportparamedical,sante-social-sport,14,7,54,54,12,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,23,4,1,1,0,0
sante-social-sportsante-generalites,sante-social-sport,14,14,120,120,26,0
construction-architecture-travaux-publicsgenie-civil,construction-architecture-travaux-publics,36,116,26,2,0,0
economie-droit-politiquedroit-public,economie-droit-politique,30,1,9,9,1,0
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,53,29,87,76,11,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,14,72,264,262,59,0
information-communication-audiovisuelcommunication,information-communication-audiovisuel,72,153,2117,1549,304,34
agriculture-animauxagriculture-generalites,agriculture-animaux,92,1,11,11,2,0
environnement-energies-propreteenergies,environnement-energies-proprete,13,45,326,303,51,7
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,26,5,24,22,2,0
lettres-langues-enseignementenseignement,lettres-langues-enseignement,72,29,733,674,139,14
information-communication-audiovisuelbibliotheque-documentation,information-communication-audiovisuel,26,1,8,7,1,0
informatique-internetbases-de-donnees,informatique-internet,42,2,23,23,3,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,24,13,3,3,2,1
logistique-transporttransport,logistique-transport,14,7,10,10,2,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,24,12,3,3,2,1
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,38,9,103,76,19,2
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,94,172,278,236,39,2
information-communication-audiovisuelbibliotheque-documentation,information-communication-audiovisuel,92,2,52,52,6,1
banque-assurances-immobilierassurances,banque-assurances-immobilier,25,10,2,2,0,0
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,26,11,18,11,1,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,43,3,2,2,1,0
,informatique-internet,92,428,189,8,0,0
mecaniqueautomobile,mecanique,45,55,421,418,67,2
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,16,3,1,1,0,0
construction-architecture-travaux-publicsgenie-civil,construction-architecture-travaux-publics,44,91,496,372,83,3
arts-culture-artisanatarts-graphiques,arts-culture-artisanat,38,1,8,3,1,0
electricite-electronique-robotiqueelectronique,electricite-electronique-robotique,34,1,8,8,2,0
lettres-langues-enseignementenseignement,lettres-langues-enseignement,26,1,5,4,0,0
information-communication-audiovisuelbibliotheque-documentation,information-communication-audiovisuel,53,5,108,59,12,0
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,63,2,3,3,0,0
construction-architecture-travaux-publicsagencement,construction-architecture-travaux-publics,41,86,121,51,21,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,46,5,1,1,0,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,29,5,8,8,1,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,14,72,264,262,59,0
arts-culture-artisanatarts-plastiques,arts-culture-artisanat,75,159,2308,2293,445,23
arts-culture-artisanatarts-appliques,arts-culture-artisanat,50,17,68,68,6,1
economie-droit-politiquedroit-generalites,economie-droit-politique,26,1,4,4,1,0
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,17,3,1,1,0,0
arts-culture-artisanatarts-du-spectacle,arts-culture-artisanat,26,2,6,6,2,0
mecaniquemecanique-generalites,mecanique,34,15,88,82,9,2
construction-architecture-travaux-publicsplatrerie,construction-architecture-travaux-publics,49,131,743,515,66,4
economie-droit-politiqueactivite-judiciaire,economie-droit-politique,30,1,9,9,1,0
information-communication-audiovisuelaudiovisuel,information-communication-audiovisuel,8,1,1,1,0,0
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,53,21,36,25,6,0
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,38,9,103,76,19,2
economie-droit-politiqueactivite-judiciaire,economie-droit-politique,14,2,50,50,13,0
arts-culture-artisanatarts-plastiques,arts-culture-artisanat,14,7,63,63,15,1
informatique-internetinformatique-de-gestion,informatique-internet,16,3,2,2,0,0
sante-social-sporttravail-social,sante-social-sport,28,22,51,34,7,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,6,1,1,1,0,0
informatique-internetbases-de-donnees,informatique-internet,75,539,2603,2441,543,25
informatique-internetinformatique-de-gestion,informatique-internet,78,193,833,692,129,0
agriculture-animauxagriculture-generalites,agriculture-animaux,2,1,1,1,0,0
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,14,12,59,56,11,0
informatique-internetinformatique-de-gestion,informatique-internet,26,5,24,22,2,0
environnement-energies-propreteamenagement-du-territoire,environnement-energies-proprete,28,2,11,7,0,0
mecaniquemecanique-generalites,mecanique,26,4,7,6,1,0
,arts-culture-artisanat,13,58,72,42,17,2
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,53,102,630,371,42,1
environnement-energies-propreteamenagement-paysager,environnement-energies-proprete,13,66,669,632,111,21
informatique-internetinformatique-pour-la-recherche,informatique-internet,26,5,24,22,2,0
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,76,3,4,4,1,0
agriculture-animauxdeveloppement-agricole,agriculture-animaux,17,2,1,1,0,0
hotellerie-restauration-tourismehotellerie,hotellerie-restauration-tourisme,42,1,1,1,0,0
agriculture-animauxelevage-aquaculture,agriculture-animaux,53,44,115,70,6,1
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,8,46,48,37,3,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,28,106,192,116,11,0
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,27,8,15,14,1,1
banque-assurances-immobilierbanque,banque-assurances-immobilier,42,1,4,3,1,0
agriculture-animauxdeveloppement-agricole,agriculture-animaux,42,2,1,1,0,0
informatique-internetbases-de-donnees,informatique-internet,78,193,833,692,129,0
agriculture-animauxelevage-aquaculture,agriculture-animaux,42,2,1,1,0,0
logistique-transporttransport,logistique-transport,55,1,2,2,0,0
informatique-internetdeveloppement-programmation-logiciel,informatique-internet,71,1,9,6,1,0
agriculture-animauxagriculture-generalites,agriculture-animaux,42,2,1,1,0,0
arts-culture-artisanatarts-graphiques,arts-culture-artisanat,92,40,72,64,10,0
construction-architecture-travaux-publicsmaconnerie-beton-arme,construction-architecture-travaux-publics,69,2,12,9,4,0
banque-assurances-immobilierassurances,banque-assurances-immobilier,43,1,2,2,1,0
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,43,3,2,2,1,0
logistique-transportlogistique,logistique-transport,43,2,2,2,1,0
logistique-transporttransport,logistique-transport,43,2,2,2,1,0
agriculture-animauxelevage-aquaculture,agriculture-animaux,85,29,104,62,9,2
informatique-internetbases-de-donnees,informatique-internet,44,66,1534,1471,394,12
informatique-internetinformatique-generalites,informatique-internet,44,66,1534,1471,394,12
informatique-internetsystemes-et-reseaux,informatique-internet,44,66,1534,1471,394,12
information-communication-audiovisuelbibliotheque-documentation,information-communication-audiovisuel,75,10,465,465,89,2
commerce-marketing-venteachat-approvisionnement,commerce-marketing-vente,44,429,5112,3424,679,36
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,44,429,5112,3424,679,36
hotellerie-restauration-tourismerestauration,hotellerie-restauration-tourisme,44,135,1329,779,101,2
information-communication-audiovisueljournalisme-edition-publicite,information-communication-audiovisuel,44,13,256,226,36,0
arts-culture-artisanatactivites-culturelles,arts-culture-artisanat,44,37,929,775,150,3
agriculture-animauxelevage-aquaculture,agriculture-animaux,77,7,11,10,5,0
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,44,38,518,275,62,3
agriculture-animauxdeveloppement-agricole,agriculture-animaux,38,1,2,2,0,0
information-communication-audiovisuelcommunication,information-communication-audiovisuel,45,99,1447,1413,291,31
