description,nombre-de-requetes,Id,certificat-valide,balises,titre,utilise-google-analytics,Démarche,taille,mots-clefs,URL,og:image,viewport
,78,5159373,True,495,Déclaration de changement de coordonnées :: Avant de commencer | Service-public.fr,True,1289,774897,,https://psl.service-public.fr/mademarche/JeChangeDeCoordonnees/demarche?execution=e1s1,,"width=device-width, initial-scale=1.0"
,39,5091520,True,144,INPI – Service de recherche dessins et modèles,False,872,285612,,https://bases-modeles.inpi.fr/index.php?id=45,,
,35,5105566,True,193,Postes à l'étranger,True,1746,468250,,https://pastel.diplomatie.gouv.fr/transparenceext/transparence_emplois_reseau_etranger.php,,
,86,5105521,True,14,/dali,True,1736,175030,,https://pastel.diplomatie.gouv.fr/dali/index2.html,,
,101,5105520,True,287,Connexion - Ariane - France-Diplomatie,True,1733,1172844,,https://pastel.diplomatie.gouv.fr/fildariane/dyn/public/login.html,,"width=device-width, initial-scale=1.0"
,22,5105519,True,167,Recrutement des personnels Résidents AEFE,True,1748,561707,,https://recrutement.aefe.fr/residents/,,
Portail d'authentification Cerbère - Ministère de la Transition Écologique et Solidaire<br />Ministère de la Cohésion des Territoires et des Relations avec les Collectivités Terrritoriales,26,5091542,True,165,Portail d'authentification - Connexion,True,500,243461,Portail d'authentification Cerbère - Ministère de la Transition Écologique et Solidaire<br />Ministère de la Cohésion des Territoires et des Relations avec les Collectivités Terrritoriales,https://authentification.din.developpement-durable.gouv.fr/authSAML/login/LoginDispatchAction.do?backURL=https%3A%2F%2Foedipp.din.developpement-durable.gouv.fr%2Foedipp%2FiAuthentification&v=4.4.0&appId=416,,"width=device-width, initial-scale=1"
,42,5104275,True,498,L'inscription - CNED,True,886,1293819,,http://www.cned.fr/professionnels-formation/familles-itinerantes/inscription,,"width=device-width, maximum-scale=1, minimum-scale=1, user-scalable=no, initial-scale=1"
,14,5091635,True,166,PORTAIL PSE-RCC - Portail Accueil - Accueil,True,19,512953,,https://www.portail-pse-rcc.emploi.gouv.fr/PortailPublic/jcms/j_5/fr/accueil,,"width=device-width, initial-scale=1.0"
,17,5092002,True,113,Achat de timbres fiscaux électroniques,True,841,73186,,https://timbres.impots.gouv.fr/,,"initial-scale=1.0, width=device-width"
,29,5091998,True,343,cadastre.gouv.fr,True,1868,151953,,https://www.cadastre.gouv.fr/,,
Seul site gouvernemental de paiement en ligne des amendes émises par les autorités françaises et comportant une référence de télépaiement.,30,5091995,True,549,Amendes.gouv.fr : site officiel unique de télépaiement,True,840,1668717,,https://www.amendes.gouv.fr/,,"width=device-width, initial-scale=1"
,42,5091991,True,704,Accueil | impots.gouv.fr,True,831,705657,,https://www.impots.gouv.fr/,,"width=device-width, initial-scale=1"
"Un service public gratuit pour les propriétaires et les acheteurs de véhicules d'occasion, basé sur les données officielles du ministère de l'Intérieur.",39,5091959,True,300,HistoVec - jouez la transparence en partageant l'historique du véhicule,True,1867,335414,,https://histovec.interieur.gouv.fr/histovec/home,,"width=device-width,initial-scale=1"
,66,5091956,True,296,Résultats du permis de conduire | Sécurité Routière,True,1803,1785603,,http://www.securite-routiere.gouv.fr/permis-de-conduire/resultats-du-permis-de-conduire#/step-connexion,,"width=device-width, height=device-height, initial-scale=1.0, target-densityDpi=device-dpi"
,44,5091939,True,209,Accueil,True,1264,949285,,https://habilitation-siv.interieur.gouv.fr/apd-map-ppl/apd/accueil,,"width=device-width, initial-scale=1.0"
,37,5092019,True,147,Demande de certificat de situation administrative,True,1291,213720,,https://siv.interieur.gouv.fr/map-usg-ui/do/accueil_certificat,,"width=device-width, initial-scale=1.0"
,40,5091808,True,1970,Site Immatriculation,False,1258,817855,,https://immatriculation.ants.gouv.fr/,,"width=device-width, initial-scale=1.0"
,5,5091787,True,170,Page de connexion,True,1268,48403,,https://www.televideoprotection.interieur.gouv.fr/gup/PhpVideo/TeleDeclaration/cnxAccueil.php,,
,23,5091774,True,197,Pré-plainte en ligne,True,1198,159718,,https://www.pre-plainte-en-ligne.gouv.fr/,,
,2,5091769,False,3,,True,1863,0,,https://invite.contacts-demarches.interieur.gouv.fr/,,
,54,5091932,True,1966,Mon Espace,False,1261,390205,,https://ants.gouv.fr/monespace/s-inscrire,,"width=device-width, initial-scale=1.0"
,35,5091753,True,1802,ANTS,False,1207,539620,,https://ants.gouv.fr/,,"width=device-width, initial-scale=1.0"
,52,5091752,True,1094,Site Permis de conduire,False,1861,894492,,https://permisdeconduire.ants.gouv.fr/,,"width=device-width, initial-scale=1.0"
,20,5091751,True,1002,,False,1860,314370,,https://permisdeconduire.ants.gouv.fr/Services-associes/Effectuer-une-pre-demande-de-permis-de-conduire,,"width=device-width, initial-scale=1.0"
Site officiel de l'Agence nationale de traitement automatisé des infractions,47,5091747,True,708,ANTAI - Dossier d'infraction,True,1822,14380,"ANTAI, Agence nationale de traitement automatisé des infractions, Traitement automatisé, CNT, Centre national de traitement, OMP, Officier du ministère public, CACIR, Centre de constatation des infractions routières, Message d’infraction, MIF, Contrôle automatisé, radar, procès-verbal électronique, PVe, Avis de contravention, ACO, établissement public, Ministère de l’Intérieur, Amende, Contravention, Infraction, Radar Automatique",https://www.antai.gouv.fr/dossier-infraction?lang=fr,,"width=device-width, initial-scale=1"
"Vous souhaitez vous rendre en France ou ses territoires outre mer ? Si vous avez besoin d'un visa, France-Visas vous guide à chaque étape de votre demande.",67,5091742,True,471,France-visas.gouv.fr | Le site officiel des demandes de visas pour la France,True,1196,422116,"Visa, France, Demande, Démarche, Séjour, Tourisme, Schengen, Entrer",https://france-visas.gouv.fr/,,"initial-scale=1.0, width=device-width"
,52,5091736,True,1046,Réaliser une pré-demande de passeport - Site Passeport,False,1732,587842,"demande, pré-demande",https://passeport.ants.gouv.fr/Services-associes/Realiser-une-pre-demande-de-passeport,,"width=device-width, initial-scale=1.0"
,32,5091735,True,1051,Réaliser une pré-demande de carte nationale d'identité (CNI) - Site Passeport,False,1776,587842,"demande, pré-demande",https://passeport.ants.gouv.fr/Services-associes/Realiser-une-pre-demande-de-carte-nationale-d-identite-CNI,,"width=device-width, initial-scale=1.0"
,73,5091734,True,632,ANTAI : Agence nationale de traitement automatisé des infractions - Identification Contestation,True,1821,503490,,https://www.usagers.antai.gouv.fr/demarches/saisienumero?lang=fr,,"width=device-width, initial-scale=1"
,21,5091701,True,88,Portail d'authentification,True,1302,146653,,https://ecoagri.agriculture.gouv.fr/logics-usager/,,
,41,5091695,True,121,Bienvenue sur le portail - Portail FranceAgriMer,False,1459,146111,,https://portailweb.franceagrimer.fr/portail/,,
"La MSA gère la santé, famille, retraite, accidents du travail des exploitants et salariés agricoles, et perçoit les cotisations sociales auprès des entreprises relevant de la MSA",38,5091687,True,1558,MSA - La sécurité sociale agricole,False,1472,523700,,https://www.msa.fr/lfy,,"initial-scale=1.0, width=device-width"
,55,5091685,True,89,Demande d'autorisation administrative de coupe de bois - Cerfa 12530*03 - Ministère de l'agriculture et de l'alimentation,True,1344,654273,,https://agriculture-portail.6tzen.fr/default/requests/Cerfa12530/,,"width=device-width, initial-scale=1.0"
,55,5091678,True,128,Déclaration de détention et d'emplacement de ruches - Cerfa 13995*04 - Ministère de l'agriculture et de l'alimentation,True,1326,654435,,https://agriculture-portail.6tzen.fr/default/requests/Cerfa13995/,,"width=device-width, initial-scale=1.0"
,49,5091677,True,91,"Déclaration concernant les établissements préparant, transformant, manipulant, exposant, mettant en vente, entreposant ou transportant des denrées animales ou d'origine animale (Activités non soumises à agrément sanitaire) - Cerfa 13984*05 - Ministère de l'agriculture et de l'alimentation",True,1299,654419,,https://agriculture-portail.6tzen.fr/default/requests/Cerfa13984/,,"width=device-width, initial-scale=1.0"
Le site officiel de l’administration française - Service Public,42,5091800,True,1163,Se connecter | service-public.fr,False,1204,620865,,https://www.service-public.fr/compte/se-connecter?targetUrl=/loginSuccessFromSp&typeCompte=association,,"width=device-width, initial-scale=1.0"
Le site officiel de l’administration française - Service Public,33,5091786,True,1134,Se connecter | service-public.fr,False,1865,239639,,https://www.service-public.fr/compte/se-connecter?targetUrl=/loginSuccessFromSp&typeCompte=particulier&authenticationType=france_connect,,"width=device-width, initial-scale=1.0"
Le site officiel de l’administration française - Service Public,42,5091761,True,1163,Se connecter | service-public.fr,False,1220,619510,,https://www.service-public.fr/compte/se-connecter?targetUrl=/loginSuccessFromSp&typeCompte=particulier,,"width=device-width, initial-scale=1.0"
"Permet d'accéder, avec identifiant et mot de passe, au service de demande de certificat d'utilisation de produits phytosanitaires, délivré par le directeur de l'alimentation, de l'agriculture et de la forêt (DRAAF ou DAAF). La DRAAF dispose d'un délai maximum d'instruction de 2 mois.",28,5091660,True,1490,Demande de certificat individuel professionnel produits phytopharmaceutiques (certiphyto ou CI-phyto) | service-public.fr,False,1643,227493,,https://www.service-public.fr/professionnels-entreprises/vosdroits/R31441,,"width=device-width, initial-scale=1.0"
,46,5091658,True,364,Bienvenue sur Chorus Pro,True,1307,940008,,https://chorus-pro.gouv.fr/cpp/utilisateur?execution=e1s1,,"width=device-width, initial-scale=1"
,11,5091638,True,306,Telepac - Téléservices des aides de la PAC,True,1848,213950,,https://www2.telepac.agriculture.gouv.fr/telepac/auth/accueil.action,,
,2,5091631,False,3,,True,1670,0,,https://activitepartielle.emploi.gouv.fr/apart/index.php/login,,
,15,5091628,True,200,Portail - Ministère du travail,True,1847,241044,,https://www.teleaccords.travail-emploi.gouv.fr/PortailTeleprocedures/,,
,26,5091627,True,141,Page d'authentification,True,6,205473,,https://www.teledoeth.travail.gouv.fr/teledoeth/,,
Le portail de l’Alternance est développé par le Ministère du Travail. Il vous offre une information complète sur le contrat d’apprentissage et le contrat de professionnalisation et vous permet d’accéder à des services : simulateur de calcul de rémunération ; recherche d’emploi; dépôt d’offres d’emploi ; recherche de formations en alternance.,208,5091629,True,1000,Portail de l'Alternance - Le portail de l'alternance,False,1676,3138787,,https://www.alternance.emploi.gouv.fr/portail_alternance/jcms/form_6175/couts-et-aides/quelles-aides-et-quelles-remunerations,,"width=device-width, initial-scale=1.0"
Le portail de l’Alternance est développé par le Ministère du Travail. Il vous offre une information complète sur le contrat d’apprentissage et le contrat de professionnalisation et vous permet d’accéder à des services : simulateur de calcul de rémunération ; recherche d’emploi; dépôt d’offres d’emploi ; recherche de formations en alternance.,208,5091626,True,1000,Portail de l'Alternance - Le portail de l'alternance,False,8,3138787,,https://www.alternance.emploi.gouv.fr/,,"width=device-width, initial-scale=1.0"
Le portail de l’Alternance est développé par le Ministère du Travail. Il vous offre une information complète sur le contrat d’apprentissage et le contrat de professionnalisation et vous permet d’accéder à des services : simulateur de calcul de rémunération ; recherche d’emploi; dépôt d’offres d’emploi ; recherche de formations en alternance.,156,5091623,True,999,Portail de l'Alternance - Le portail de l'alternance,False,1678,3138787,,https://www.alternance.emploi.gouv.fr/portail_alternance/jcms/pa_5014/navigation/employeur?jsp=plugins/GestionComptes/jsp/creation/creation-controller.jsp,,"width=device-width, initial-scale=1.0"
Direction de l'administration gï¿½nï¿½rale et de la modernisation des services,56,5091622,True,251,SIRC - Accueil,True,1671,547676,,https://www.telerc.travail.gouv.fr/,,
"asp,agence de services et de paiement,cnasea,aide à l'emploi,contrat aidé,aide a l'embauche,demande d'aide,emploi d'avenir,emploi d'avenir professeur,emploi aidé,eav,contrat unique d'insertion,cui,apprenti,jeunes apprentis,tpeja,portail employeur,mutualisateur,tiers déclarant,déclaration de suivi,suivi d'activité,déclaration de suivi d'activité,état de présence,epme,embauche pme,sylaé,sylae,signature premium,signature basic,signature électronique",42,5091621,True,185,SYLAé - Connexion - A010,True,1675,795318,,https://sylae.asp-public.fr/sylae/,,
,21,5091607,True,174,Sipsi,True,54,2988800,,https://www.sipsi.travail.gouv.fr/SipsiCasFo/login?service=https%3A%2F%2Fwww.sipsi.travail.gouv.fr%2FSipsiFO,,"width=device-width, initial-scale=1"
"Le site mon compte formation est un service public qui vous permet de consulter vos droits, rechercher une formation professionnelle et s’inscrire à une session.",29,5091602,True,330,"Accueil du site Mon Compte Formation, CPF | Mon compte formation",True,1674,11531796,,https://www.moncompteactivite.gouv.fr/cpa-public/,,"width=device-width, initial-scale=1"
,2,5091597,False,3,,True,1690,0,,https://candidat.pole-emploi.fr/inscription/preambule,,
"Créez une offre attractive en quelques clics. Publiez votre offre d'emploi c'est maintenant, simple, rapide et efficace !",41,5091601,True,786,Déposer une offre d'emploi - Pôle emploi,True,1679,1471289,,https://entreprise.pole-emploi.fr/depot-offre/descriptionoffre,,"width=device-width, initial-scale=1"
"De l'embauche à la fin du contrat, Pôle emploi vous accompagne dans vos démarches administratives : attestations, contrat de génération, déclarations sociales.",40,5091593,True,705,Mes démarches - Pôle emploi,True,1659,1147126,,https://entreprise.pole-emploi.fr/accueil/descriptiondemarches,,"width=device-width, initial-scale=1"
,5,5091577,True,87,Taïga : authentification,True,1876,216709,,https://preinsc.archi.fr/taiga/cnd/index.php,,
,65,5091585,True,241,Accès invalide - Démarches,True,1877,503656,,https://mesdemarches.culture.gouv.fr/loc_fr/mcc/requests/THEAT_LICEN_demande_01,,"width=device-width, initial-scale=1.0"
,76,5091574,True,704,Accueil - Démarches,True,1874,583152,,https://mesdemarches.culture.gouv.fr/,,"width=device-width, initial-scale=1.0"
"Le pass Culture, dispositif porté par le ministère de la Culture, a pour but de faciliter l'accès des jeunes à la culture. Actuellement en expérimentation, il est ouvert aux jeunes de 18 ans de certains départements et à tous les acteurs culturels.",61,5091572,True,360,pass Culture,False,1873,2232983,,https://pass.culture.fr/,,"width=device-width, initial-scale=1, shrink-to-fit=no"
"Déposer les comptes annuels des associations, associations professionnelles nationales de militaires, fondations, fondations partenariales et fonds de dotation.",17,5091569,True,298,Dépôt des comptes annuels | Associations | Journal-officiel.gouv.fr,True,1871,655655,,https://www.journal-officiel.gouv.fr/diffuser-les-comptes-annuels.html,,"width=device-width, initial-scale=1.0"
,5,5091567,True,47,Accueil - Saisir le Défenseur des droits,True,1870,19030,,https://formulaire.defenseurdesdroits.fr/code/afficher.php?ETAPE=accueil_2016,,
,49,5091571,True,1406,Plaintes en ligne | CNIL,True,1872,596044,,https://www.cnil.fr/fr/plaintes/,,"width=device-width, initial-scale=1.0"
,40,5091566,True,1473,Désigner un délégué à la protection des données (DPO) ou modifier une désignation | CNIL,True,1869,1095928,,https://www.cnil.fr/fr/designation-dpo,,"width=device-width, initial-scale=1.0"
Portail d'authentification Cerbère - Ministère de la Transition Écologique et Solidaire<br />Ministère de la Cohésion des Territoires et des Relations avec les Collectivités Terrritoriales,27,5091564,True,165,Portail d'authentification - Connexion,True,359,212236,Portail d'authentification Cerbère - Ministère de la Transition Écologique et Solidaire<br />Ministère de la Cohésion des Territoires et des Relations avec les Collectivités Terrritoriales,https://spls.application.logement.gouv.fr/,,"width=device-width, initial-scale=1"
,25,5091544,True,187,Monprojet.anah.gouv.fr,True,123,3506687,,https://monprojet.anah.gouv.fr/,,"width=device-width, initial-scale=1"
,2,5091541,False,3,,True,108,0,,https://popr.stitch.aviation-civile.gouv.fr/portail/,,
,29,5091538,True,184,Page d'accueil 		 - CITES,True,291,139211,,https://cites.application.developpement-durable.gouv.fr/,,
Le site officiel de l’administration française - Service Public,37,5105535,True,1163,Se connecter | service-public.fr,False,1745,592823,,https://psl.service-public.fr/mademarche/INSRegistreFR/demarche?action=RENOUV,,"width=device-width, initial-scale=1.0"
Le site officiel de l’administration française - Service Public,37,5105530,True,1163,Se connecter | service-public.fr,False,1744,592789,,https://psl.service-public.fr/mademarche/INSRegistreFR/demarche?action=RADIATION,,"width=device-width, initial-scale=1.0"
Le site officiel de l’administration française - Service Public,37,5105529,True,1163,Se connecter | service-public.fr,False,1743,593046,,https://psl.service-public.fr/mademarche/INSRegistreFR/demarche?action=INSCRIPTION,,"width=device-width, initial-scale=1.0"
Le site officiel de l’administration française - Service Public,37,5105528,True,1163,Se connecter | service-public.fr,False,1742,592889,,https://psl.service-public.fr/mademarche/INSRegistreFR/demarche?action=MODIFICATION,,"width=device-width, initial-scale=1.0"
Le site officiel de l’administration française - Service Public,37,5105526,True,1163,Se connecter | service-public.fr,False,1741,592997,,https://psl.service-public.fr/mademarche/INSRegistreFR/demarche?action=DOCUMENTS,,"width=device-width, initial-scale=1.0"
Le site officiel de l’administration française - Service Public,36,5103844,True,1163,Se connecter | service-public.fr,False,1879,592916,,https://psl.service-public.fr/mademarche/recensementCitoyen/demarche?execution=e3s1,,"width=device-width, initial-scale=1.0"
,56,5091560,True,323,Déclaration des Installations Classées pour la Protection de l'environnement :: Ma déclaration,True,1644,661866,,https://psl.service-public.fr/pro_mademarche/DICPE/demarche?execution=e1s1,,"width=device-width, initial-scale=1.0"
,66,5091534,True,628,Déclaration d'ouverture de chantier :: LE DÉCLARANT | Service-public.fr,True,397,1198976,,https://psl.service-public.fr/mademarche/DOC/demarche?execution=e2s1,,"width=device-width, initial-scale=1.0"
,58,5091530,True,108,AlphaTango,True,84,5197172,,https://alphatango.aviation-civile.gouv.fr/,,"width=device-width, initial-scale=1.0, minimum-scale=1.0, maximum-scale=1.0, user-scalable=no"
,22,5091526,True,171,Accueil - Demande de logement social en ligne - Ministère de la Cohésion des territoires,True,358,159638,,https://www.demande-logement-social.gouv.fr/,,
"Le certificat qualité de l’air (Crit'Air) est un autocollant sécurisé de couleur, à coller sur le véhicule, qui indique sa classe environnementale en fonction de ses émissions de polluants atmosphériques. Il permet aux véhicules les moins polluants de pouvoir circuler dans les agglomérations où ont été instaurées des restrictions de circulation pour lutter contre la pollution.",41,5091524,True,317,Service de délivrance des certificats qualité de l’air - Ministère de la Transition écologique et solidaire,False,1720,1222375,"CQA, Crit’air, Vignette écologique, Certificat qualité de l’air, Vignette qualité de l’air, Qualité de l’air, Vignette pollution, Vignette véhicule propre, Vignette Royal, Certificat, Vignette, Pastille, Ecovignette, Crit’air, Crit-air, Critair, Pollution, Antipollution, Qualité de l’air, Circulation restreinte, Écologique, Voiture, Véhicule utilitaire, Moto, Poids lourds, Officiel, Officielle, site officiel, France, Zone / Zones, Zones à basses émissions, Zones à faibles émissions, Paris, Grenoble, Lille, Lyon, Strasbourg, Toulouse, Rennes, Bordeaux, Normes, Interdiction, Particules fines, Restriction circulation",https://www.certificat-air.gouv.fr/,,"width=device-width, initial-scale=1.0, minimum-scale=1.0, maximum-scale=1.0, user-scalable=no"
,52,5133045,True,541,BASE BREVETS | Recherche simple,False,871,774497,,http://bases-brevets.inpi.fr/,,
,34,5091517,True,655,PLACE - Plate-forme des achats de l'Etat,True,756,477460,,https://www.marches-publics.gouv.fr/,,"width=device-width, initial-scale=1"
,32,5091516,True,148,INSEE - recensement de la population,True,848,435971,,https://www.le-recensement-et-moi.fr/rpetmoi/accueil,,
,46,5091483,True,364,Bienvenue sur Chorus Pro,True,753,940008,,https://www.chorus-pro.gouv.fr/,,"width=device-width, initial-scale=1"
,38,5091478,True,190,INPI – Service de recherche marques,False,870,278897,,https://bases-marques.inpi.fr/,,
,51,5091476,True,123,Impots.gouv.fr,True,824,132554,,https://www.telepaiement.dgfip.finances.gouv.fr/stl/satelit.web,,
,55,5091470,True,619,Futur employeur - www.cesu.urssaf.fr,True,1667,577200,,https://www.cesu.urssaf.fr/decla/index.html?page=page_adhesion_futur_employeur&LANG=FR,,"width=device-width, initial-scale=1"
,50,5091468,True,201,[ Dossier Médical Partagé : Identification et authentification ],True,1663,720534,,https://mondmp.dmp.gouv.fr/,,
,16,5059987,True,115,Scolarité services - Authentification,True,906,547891,,https://teleservices.ac-nantes.fr/,,"width=device-width, initial-scale=1.0"
Votre Espace Personnel de l'Assurance Retraite,48,5069002,True,657,Les services en ligne de l'Assurance retraite - Authentification,True,1843,1400288,,https://www.lassuranceretraite.fr/portail-services-ihm/index.html#/sec/ouvrirService/AGEDEPART,,"width=device-width, initial-scale=1"
Votre Espace Personnel de l'Assurance Retraite,47,5060300,True,657,Les services en ligne de l'Assurance retraite - Authentification,True,1844,1400288,,https://www.lassuranceretraite.fr/portail-services-ihm/index.html#/authentifier,,"width=device-width, initial-scale=1"
Votre Espace Personnel de l'Assurance Retraite,49,5059996,True,658,Les services en ligne de l'Assurance retraite - Authentification,True,1846,1401181,,https://www.lassuranceretraite.fr/portail-services-ihm/index.html#/sec/afficherIframe/CONSULT_MONTANT,,"width=device-width, initial-scale=1"
,82,5091487,True,1260,Accueil | Portail de la Direction Générale des Douanes et Droits Indirects,True,763,2837904,,https://pro.douane.gouv.fr/,,"width=device-width, initial-scale=1.0"
"La GEN est un réseau de formations au numérique accessibles à tous, qui favorisent l’inclusion et permettent de se former aux métiers qui recrutent.",74,5065290,True,870,La Grande Ecole du Numérique : formations aux métiers du digital,True,1635,10724449,,https://www.grandeecolenumerique.fr/,,"width=device-width, initial-scale=1, shrink-to-fit=no"
,16,5065283,True,117,Identifiez-vous — messervices.etudiant.gouv.fr,True,1634,104341,,https://www.messervices.etudiant.gouv.fr/MOB/?idEtudiantPVE=3110718,,"width=device-width, initial-scale=1.0"
,16,5065275,True,117,Identifiez-vous — messervices.etudiant.gouv.fr,True,1636,104341,,https://www.messervices.etudiant.gouv.fr/ARPE/?idEtudiantPVE=3110718,,"width=device-width, initial-scale=1.0"
,10,5065254,True,117,Identifiez-vous — messervices.etudiant.gouv.fr,True,1633,104385,,https://www.messervices.etudiant.gouv.fr/centrale_prod?idEtudiantPVE=3110718,,"width=device-width, initial-scale=1.0"
,13,5065244,True,215,"Accueil - CVEC, Contribution de vie étudiante et de campus",True,1632,218251,,https://cvec.etudiant.gouv.fr/,,"width=device-width, initial-scale=1.0"
Certification des diplômes.,23,5065105,True,134,Authentification - Certification des diplômes,True,921,2744480,,https://diplome.gouv.fr/,,"width=device-width,initial-scale=1"
,21,5065103,True,84,EduConnect - Connexion,True,1826,1089420,,https://educonnect.education.gouv.fr/,,"width=device-width, initial-scale=1.0"
,208,5065073,True,782,Parcoursup - Accueil,True,923,4762684,,https://www.parcoursup.fr/,images/Partage-reseaux/Image_remontee_Parcoursup_fr2.jpg,"width=device-width, initial-scale=1"
,2,5065036,False,3,,True,1792,0,,https://dossiersco.beta.gouv.fr/,,
Le site officiel de l'Assurance Maladie. Actualités – Droits et Démarches – Remboursements – Prestations et aides – Santé – Offres de prévention,187,5091993,True,2033,"ameli, le site de l’Assurance Maladie en ligne | ameli.fr | Assuré",True,1067,4222180,,https://www.ameli.fr/,,"width=device-width, initial-scale=1.0"
