$Code Evamed$,$Motif de demande$,$Code CIS$,$Code CIP$,$Dénomination spécialité$,$Date avis définitif$,$ASMR$,$Valeur ASMR$,$Libellé ASMR$
$CT-18077$,$Inscription (CT)$,$63003440$,$3400930187159|3400930187975$,"$PROPRANOLOL ARROW,comprimé pelliculé sécable$",$23/10/2019$,$ASMR$,$V$,"$La spécialité PROPRANOLOL ARROW 40 mg, comprimé pelliculé sécable est un générique qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au princeps AVLOCARDYL 40 mg, comprimé sécable.$"
$CT-18072$,$Inscription (CT)$,$65106581$,$3400930187722|3400930187739$,"$OMNIPAQUE 300 mg d'I/mL, solution injectable$",$06/11/2019$,$ASMR$,$V$,$Ces présentations sont des compléments de gamme qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$
$CT-18069$,$Inscription (CT)$,$69037684$,$3400955067870|3400955067887$,"$STRIASCAN 74 MBq/ml, solution injectable$",$23/10/2019$,$ASMR$,$V$,"$Cette spécialité STRIASCAN 74 MBq/mL, solution injectable n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au princeps DATSCAN 74 MBq/mL, solution injectable.$"
$CT-18056$,$Inscription (CT)$,$63474691$,$3400930186848$,"$POSACONAZOLE AHCL 40 mg/mL, suspension buvable$",$23/10/2019$,$ASMR$,$V$,"$Cette spécialité est un générique qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au princeps NOXAFIL 40 mg/ml, suspension buvable.$"
$CT-18037$,$Inscription (CT)$,$67218807$,$3400930174227$,"$PARACETAMOL KRKA 1000 mg, comprimé sécable$",$23/10/2019$,$ASMR$,$V$,$Ces spécialités n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$
$CT-18037$,$Inscription (CT)$,$67975696$,$3400930160305$,"$PARACETAMOL KRKA 500 mg, comprimé$",$23/10/2019$,$ASMR$,$V$,$Ces spécialités n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$
$CT-18016$,$Inscription (CT)$,$69985582$,$3400955066279$,"$DEXMEDETOMIDINE ALTAN 100 microgrammes/mL, solution à diluer pour perfusion$",$23/10/2019$,$ASMR$,$V$,"$La spécialité DEXMEDETOMIDINE ALTAN 100 microgrammes/mL, solution à diluer pour perfusion n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à la spécialité de référence DEXDOR 100 microgrammes/ml dans l’indication de sédation en Unité de Soins Intensifs chez l’adulte nécessitant un état de sédation pas plus profond que celui permettant une réponse à un stimulus verbal (correspondant à un score de 0 à -3 sur l’échelle de vigilance-agitation de Richmond (RASS)).$"
$CT-18004$,$Inscription (CT)$,$65104751$,$3400955067498$,"$CARMUSTINE OBVIUS 100 mg, poudre et solvant pour solution à diluer pour perfusion$",$06/11/2019$,$ASMR$,$V$,$La spécialité CARMUSTINE OBVIUS n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport aux spécialités à base de carmustine déjà inscrites.$
$CT-17999$,$Inscription (CT)$,$66110981$,$3400955066514|3400955067368|3400955067351|3400955066651|3400955066637|3400955066583$,"$PROPOFOL KABI 10 mg/ml, émulsion injectable$",$02/10/2019$,$ASMR$,$V$,$Cette spécialité n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au princeps DIPRIVAN.$
$CT-17998$,$Inscription (CT)$,$68836272$,$3400930182338$,"$YARGESA 100 mg, gélule$",$04/09/2019$,$ASMR$,$V$,"$La spécialité YARGESA n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à la spécialité princeps ZAVESCA, déjà inscrite.$"
$CT-17988$,$Inscription (CT)$,$61070305$,$3400930173886$,"$ORENCIA 50 mg, solution injectable en seringue préremplie$",$02/10/2019$,$ASMR$,$V$,"$Pour les présentations ORENCIA 250 mg IV et ORENCIA 125 mg SC :££Ces spécialités n’apportent pas d’ASMR dans la stratégie thérapeutique de l’AJIp dans le nouveau périmètre de l’AMM.££££Pour les présentations sous–cutanées 87,5 mg et 50 mg : ££Ces spécialités sont des compléments de gamme qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations d’ORENCIA déjà inscrites.$"
$CT-17988$,$Inscription (CT)$,$63044647$,$3400930173909$,"$ORENCIA 87,5 mg, solution injectable en seringue préremplie$",$02/10/2019$,$ASMR$,$V$,"$Pour les présentations ORENCIA 250 mg IV et ORENCIA 125 mg SC :££Ces spécialités n’apportent pas d’ASMR dans la stratégie thérapeutique de l’AJIp dans le nouveau périmètre de l’AMM.££££Pour les présentations sous–cutanées 87,5 mg et 50 mg : ££Ces spécialités sont des compléments de gamme qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations d’ORENCIA déjà inscrites.$"
$CT-17969$,$Inscription (CT)$,$63401330$,$3400930177891$,"$AIMOVIG 40 mg, solution injectable en stylo prérempli$",$18/09/2019$,$ASMR$,$V$,"$Cette spécialité est un complément de gamme qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à la présentation AIMOVIG 70 mg, solution injectable en stylo prérempli en cours d’inscription.$"
$CT-17958$,$Réévaluation SMR et ASMR$,$62894653$,$3400949131341$,"$VOTRIENT 200 mg, comprimé pelliculé$",$04/09/2019$,$ASMR$,$V$,"$Tenant compte : ££-	des données d’efficacité déjà évaluées démontrant un gain absolu de 3 mois en survie sans progression versus placebo (4,6 mois versus 1,6 mois) de faible pertinence clinique, ££-	du profil de tolérance marqué par une toxicité hépatique, digestive et cardiovasculaire (avec 59% des patients ayant eu au moins des événements indésirables de grades 3-4 avec VOTRIENT versus 25% dans le groupe placebo),££-	de l’absence de données comparatives démontrant un bénéfice sur la survie globale et/ou sur la qualité de vie, qui sont les objectifs primordiaux, en particulier à ce stade avancé du sarcome des tissus mous,££la Commission considère que VOTRIENT (pazopanib) n’apporte pas d’amélioration du service médical rendu (ASMR V) dans la prise en charge du sarcome des tissus mous au stade avancé, après échec d’une chimiothérapie au stade métastatique ou après progression dans les 12 mois suivant un traitement (neo) adjuvant. $"
$CT-17958$,$Réévaluation SMR et ASMR$,$63803884$,$3400949131570|3400949131631$,"$VOTRIENT 400 mg, comprimé pelliculé$",$04/09/2019$,$ASMR$,$V$,"$Tenant compte : ££-	des données d’efficacité déjà évaluées démontrant un gain absolu de 3 mois en survie sans progression versus placebo (4,6 mois versus 1,6 mois) de faible pertinence clinique, ££-	du profil de tolérance marqué par une toxicité hépatique, digestive et cardiovasculaire (avec 59% des patients ayant eu au moins des événements indésirables de grades 3-4 avec VOTRIENT versus 25% dans le groupe placebo),££-	de l’absence de données comparatives démontrant un bénéfice sur la survie globale et/ou sur la qualité de vie, qui sont les objectifs primordiaux, en particulier à ce stade avancé du sarcome des tissus mous,££la Commission considère que VOTRIENT (pazopanib) n’apporte pas d’amélioration du service médical rendu (ASMR V) dans la prise en charge du sarcome des tissus mous au stade avancé, après échec d’une chimiothérapie au stade métastatique ou après progression dans les 12 mois suivant un traitement (neo) adjuvant. $"
$CT-17956$,$Inscription (CT)$,$62149015$,$3400955060017$,"$OZALIN 2 mg/mL, solution buvable en récipient unidose$",$23/10/2019$,$ASMR$,$V$,"$Compte-tenu de :££-	des données issues d’une étude de pharmacocinétique, non comparative réalisée chez un faible nombre de patients (n=37)££-	l’absence de donnée d’efficacité et de tolérance versus une préparation extemporanée orale à base d’HYPNOVEL IV,££la Commission considère qu’OZALIN n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à la spécialité de référence HYPNOVEL dans les indications de l’AMM.$"
$CT-17955$,$Inscription (CT)$,$65643371$,$3400955067702$,"$OGIVRI 420 mg, poudre pour solution à diluer pour perfusion$",$04/09/2019$,$ASMR$,$V$,$Cette présentation est un complément de gamme qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à la présentation OGIVRI 150 mg déjà inscrite.$
$CT-17945$,$Inscription (CT)$,$61128000$,$3400955065180$,"$TRISENOX 2 mg/ml, solution à diluer pour perfusion$",$06/11/2019$,$ASMR$,$V$,"$La spécialité TRISENOX 2 mg/ml, solution à diluer pour perfusion, n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à la spécialité TRISENOX 1 mg/ml déjà inscrite.$"
$CT-17944$,$Inscription (CT)$,$63625385$,$3400955057963|3400955057994$,"$CYTARABINE ACCORD 20 mg/mL, solution injectable/pour perfusion$",$04/09/2019$,$ASMR$,$V$,$Ces spécialités n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux spécialités à base de cytarabine déjà inscrites.$
$CT-17936$,$Inscription (CT)$,$60789511$,$3400930154847$,"$TEGSEDI 284 mg, solution injectable en seringue préremplie$",$04/09/2019$,$ASMR$,$IV$,"$La Commission considère que la mise à disposition en ville ne modifie pas l’appréciation de  l’amélioration du service médical rendu par TEGSEDI attribuée par la Commission dans son avis du 17 avril 2019 à savoir :££« Prenant en compte : ££-	la démonstration dans une étude de phase III de la supériorité d’inotersen par rapport au placebo, chez des patients ayant une amylose héréditaire à transthyrétine, avec polyneuropathie de stade 1 ou de stade 2, ££-	la variation du score mNIS+7 (critère de jugement principal) portant sur l’invalidité de la neuropathie, avec une amélioration ou stabilité de ce score pour 31/106 (29,2 %) des patients dans le groupe inotersen contre 10/59 (16,9 %) dans le groupe placebo, ce qui est considéré comme cliniquement pertinent,££-	l’impact modeste démontré sur la qualité de vie des patients avec l’autoquestionnaire NORFOLK-QoL-DN utilisé comme co-critère de jugement principal,££-	le profil de tolérance à court terme marqué par un risque de thrombopénie potentiellement fatale (1 décès dans l’étude), dont le mécanisme d’action est insuffisamment expliqué, ainsi que par un risque de glomérulonéphrite,££-	le besoin médical très partiellement couvert dans la polyneuropathie de stade I, et le besoin médical non couvert dans la polyneuropathie de stade II,££la Commission considère que TEGSEDI (inotersen) apporte une amélioration du service médical rendu mineure (ASMR IV), dans la stratégie thérapeutique (à l’exclusion d’ONPATTRO) des patients adultes ayant une polyneuropathie de stade 1 ou de stade 2 dans l’amylose héréditaire à transthyrétine. »$"
$CT-17932$,$Inscription (CT)$,$67298721$,$3400930184592$,"$PAZENIR 5 mg/mL, poudre pour dispersion pour perfusion$",$02/10/2019$,$ASMR$,$V$,"$Cette spécialité est un générique qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à la spécialité princeps ABRAXANE, 5 mg/ml, poudre pour suspension injectable pour perfusion déjà inscrite.$"
$CT-17927$,$Inscription (CT)$,$61383937$,$3400930152867|3400930152874$,"$CACIT VITAMINE D3 500 mg/1000 U.I., comprimé à sucer ou à croquer$",$06/11/2019$,$ASMR$,$V$,$Cette spécialité est un complément de gamme qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport aux autres spécialités à base de calcium et de vitamine D3 déjà inscrites.$
$CT-17924$,$Inscription (CT)$,$67060271$,$3400930174883$,"$SKYRIZI 75 mg, solution injectable en seringue préremplie$",$06/11/2019$,$ASMR$,$V$,"$Compte tenu :££-	de la démonstration de la supériorité du risankizumab par rapport à l’adalimumab (HUMIRA) et l’ustekinumab (STELARA) avec des différences cliniquement pertinentes en termes de pourcentage de disparitions complètes ou presque complètes des lésions (sPGA = 0 ou 1) et de pourcentage de réponses PASI 90 après 16 semaines (co-critères de jugement principaux), du maintien de cette supériorité jusqu’à la semaine 52,££-	de la non-infériorité du risankizumab par rapport au secukinumab (COSENTYX) sur le pourcentage de réponses PASI 90 à la semaine 16, ££-	d’un profil de tolérance comparable à celui des autres anti-interleukines,££-	de l’absence de données d’efficacité et de tolérance à long terme (au-delà de 104 semaines),££SKYRIZI 75 mg, solution injectable en seringue préremplie, n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à COSENTYX chez les adultes ayant un psoriasis en plaques chronique sévère, défini par :££-	un échec (réponse insuffisante, contre-indication ou intolérance) à au moins deux traitements parmi les traitements systémiques non biologiques et la photothérapie££-	et une forme étendue et/ou un retentissement psychosocial.$"
$CT-17916$,$Inscription (CT)$,$63541065$,$3400955066019$,"$ARSENIC TRIOXYDE ARROW 1 mg/ml, solution à diluer pour perfusion$",$23/10/2019$,$ASMR$,$V$,"$La spécialité ARSENIC TRIOXYDE ARROW 1 mg/ml, solution à diluer pour perfusion n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au princeps TRISENOX 1 mg/ml, solution à diluer pour perfusion.$"
$CT-17914$,$Inscription (CT)$,$69144857$,$3400930175699$,"$SALFLUAIR EASYHALER 500 microgrammes/50 microgrammes/dose, poudre pour inhalation$",$18/09/2019$,$ASMR$,$V$,$SALFLUAIR EASYHALER 250 µg/50 µg/dose et SALFLUAIR EASYHALER 500 µg/50 µg/dose n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport à SERETIDE DISKUS 250/50 µg/dose et SERETIDE DISKUS 500/50 µg/dose dans la prise en charge de l’asthme et de la BPCO.$
$CT-17914$,$Inscription (CT)$,$61714383$,$3400930175682$,"$SALFLUAIR EASYHALER 250 microgrammes/50 microgrammes/dose, poudre pour inhalation$",$18/09/2019$,$ASMR$,$V$,$SALFLUAIR EASYHALER 250 µg/50 µg/dose et SALFLUAIR EASYHALER 500 µg/50 µg/dose n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport à SERETIDE DISKUS 250/50 µg/dose et SERETIDE DISKUS 500/50 µg/dose dans la prise en charge de l’asthme et de la BPCO.$
$CT-17911$,$Inscription (CT)$,$67259654$,$3400930181737|3400930181751|3400930181744$,"$GADOVISTMANUEL 1,0 mml/mL, solution i njectable en seringue préremplie$",$10/07/2019$,$ASMR$,$V$,$Ces présentations sont des compléments de gamme qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$
$CT-17899$,$Inscription (CT)$,$66166446$,$3400930176184$,"$PARACETAMOL ALMUS PHARMA 1000 mg, comprimé$",$10/07/2019$,$ASMR$,$V$,$Cette présentation n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$
$CT-17897$,$Inscription (CT)$,$68126219$,$3400930176177$,"$PARACETAMOL ALMUS PHARMA 500 mg, comprimé$",$10/07/2019$,$ASMR$,$V$,$Cette présentation n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$
$CT-17891$,$Inscription (CT)$,$65071397$,$3400930172698|3400930172728|3400930172711|3400930172704$,"$BONASOL 70 mg, solution buvable$",$10/07/2019$,$ASMR$,$V$,$La spécialité BONASOL n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à la spécialité de référence FOSAMAX 70 mg comprimé.$
$CT-17889$,$Extension d'indication$,$68001023$,$3400927722509|3400936272545$,"$LIDOCAINE AGUETTANT 10 mg/ml SANS CONSERVATEUR, solution injectable$",$20/11/2019$,$ASMR$,$V$,"$Compte tenu des données limitées issues de méta-analyses ayant suggéré une efficacité modérée de la lidocaïne IV par rapport au placebo sur l’incidence des douleurs liées à l’injection au propofol, la Commission considère que LIDOCAINE AGUETTANT 10 mg/ml SANS CONSERVATEUR, solution injectable n’apporte pas d’amélioration du service médical rendu (ASMR V) dans la stratégie thérapeutique de prévention des douleurs liées à l’injection de propofol par voie intra-veineuse chez l’adulte et l’enfant de plus de 1 an.££££Compte tenu des données limitées issues de méta-analyses ayant suggéré une efficacité modérée de la lidocaïne IV par rapport au placebo sur les scores de douleur post-opératoire précoces, l’incidence de l’iléus post-opératoire et les délais de survenue des premiers mouvements intestinaux/premier gaz, avec une hétérogénéité élevée rapportée entre les études limitant ces résultats, la Commission considère que LIDOCAINE AGUETTANT 10 mg/ml SANS CONSERVATEUR, solution injectable n’apporte pas d’amélioration du service médical rendu (ASMR V) dans la stratégie thérapeutique de prévention des douleurs post-opératoires notamment afin d’accélérer la reprise du transit intestinal après chirurgie abdominale chez l’adulte.$"
$CT-17884$,$Inscription (CT)$,$60457929$,$3400930163245$,"$FULPHILA 6 mg, solution injectable en seringue préremplie$",$04/09/2019$,$ASMR$,$V$,"$En tant que médicament biosimilaire, FULPHILA n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au médicament biologique de référence, NEULASTA 6 mg solution injectable.$"
$CT-17880$,$Inscription (CT)$,$64740636$,$3400930180031$,"$HYDROCHLOROTHIAZIDE ARROW 12,5 mg, comprimé$",$04/09/2019$,$ASMR$,$IV$,"$La spécialité HYDROCHLOROTHIAZIDE ARROW 12,5 mg n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à la spécialité de référence ESIDREX 25 mg.$"
$CT-17878$,$Extension d'indication$,$67898029$,$3400937327268|3400957778453|3400937328449|3400937327558|3400937327497$,"$KIOVIG 100 mg/ml, solution pour perfusion$",$04/09/2019$,$ASMR$,$V$,"$Compte-tenu :££-	des données disponibles, démontrant une équivalence d’efficacité de KIOVIG par rapport à GAMMAGARD sur l’échelle d’invalidité ODSS dans le cadre d’un traitement d’entretien de PIDC chez des patients stabilisés,££-	des données de la littérature disponibles sur l’efficacité des Ig I.V dans la PIDC et non spécifiques à KIOVIG,££la Commission considère que KIOVIG n’apporte pas d’amélioration du service médical rendu (ASMR V) dans la prise en charge des PIDC par rapport aux autres immunoglobulines administrées par voie intraveineuse.$"
$CT-17875$,$Inscription (CT)$,$63703784$,$3400930117705$,"$FENTICONAZOLE BAILLEUL 2 %, crème$",$10/07/2019$,$ASMR$,$V$,"$Cette spécialité est un générique qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au médicament princeps LOMEXIN 2%, crème.$"
$CT-17873$,$Inscription (CT)$,$69156724$,$3400930170786|3400930170809|3400930170793$,"$MEDNUTRIFLEX E, émulsion pour perfusion$",$10/07/2019$,$ASMR$,$V$,"$Les spécialités REANUTRIFLEX E (625 mL, 1 250 mL et 1 875 mL), REANUTRIFLEX (1 250 mL et 1 875 mL), PERINUTRIFLEX E (1 250 mL et 1 875 mL) et MEDNUTRIFLEX E (1 250 mL, 1 875 mL et 2 500 mL) n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux spécialités REANUTRIFLEX LIPIDE G 144/N 8/E (625 mL, 1 250 mL et 1 875 mL), REANUTRIFLEX LIPIDE G 144/N 8 (1 250 mL et 1 875 mL), PERINUTRIFLEX LIPIDE G 64/N 4,6/E (1 250 mL, 1 875 mL et 2 500 mL) et MEDNUTRIFLEX LIPIDE G 120/N 5,4/E (1 250 mL, 1 875 mL et 2 500 mL).££££La nouvelle présentation de REANUTRIFLEX en poches 625 mL est un complément de la gamme REANUTRIFLEX qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$"
$CT-17872$,$Inscription (CT)$,$63479788$,$3400930170816|3400930170830$,"$PERINUTRIFLEX E, émulsion pour perfusion$",$10/07/2019$,$ASMR$,$V$,"$Les spécialités REANUTRIFLEX E (625 mL, 1 250 mL et 1 875 mL), REANUTRIFLEX (1 250 mL et 1 875 mL), PERINUTRIFLEX E (1 250 mL et 1 875 mL) et MEDNUTRIFLEX E (1 250 mL, 1 875 mL et 2 500 mL) n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux spécialités REANUTRIFLEX LIPIDE G 144/N 8/E (625 mL, 1 250 mL et 1 875 mL), REANUTRIFLEX LIPIDE G 144/N 8 (1 250 mL et 1 875 mL), PERINUTRIFLEX LIPIDE G 64/N 4,6/E (1 250 mL, 1 875 mL et 2 500 mL) et MEDNUTRIFLEX LIPIDE G 120/N 5,4/E (1 250 mL, 1 875 mL et 2 500 mL).££££La nouvelle présentation de REANUTRIFLEX en poches 625 mL est un complément de la gamme REANUTRIFLEX qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$"
