siret,enseigne,addresse,code_postal,ville,site_web,site_web_vente_en_ligne,compte_facebook,email_contact_client,tel_contact_client,description_commerce,emporter,emporter_horaire_covid,emporter_lundi,lundi_horaire_debut_1,lundi_horaire_fin_1,lundi_horaire_debut_2,lundi_horaire_fin_2,emporter_mardi,mardi_horaire_debut_1,mardi_horaire_fin_1,mardi_horaire_debut_2,mardi_horaire_fin_2,emporter_mercredi,mercredi_horaire_debut_1,mercredi_horaire_fin_1,mercredi_horaire_debut_2,mercredi_horaire_fin_2,emporter_jeudi,jeudi_horaire_debut_1,jeudi_horaire_fin_1,jeudi_horaire_debut_2,jeudi_horaire_fin_2,emporter_vendredi,vendredi_horaire_debut_1,vendredi_horaire_fin_1,vendredi_horaire_debut_2,vendredi_horaire_fin_2,emporter_samedi,samedi_horaire_debut_1,samedi_horaire_fin_1,samedi_horaire_debut_2,samedi_horaire_fin_2,emporter_dimanche,dimanche_horaire_debut_1,dimanche_horaire_fin_1,dimanche_horaire_debut_2,dimanche_horaire_fin_2,livraison,conditions_de_livraison,lundi_plage_1,lundi_plage_2,mardi_plage_1,mardi_plage_2,mercredi_plage_1,mercredi_plage_2,jeudi_plage_1,jeudi_plage_2,vendredi_plage_1,vendredi_plage_2,samedi_plage_1,samedi_plage_2,dimanche_plage_1,dimanche_plage_2,activiteprincipaleetablissement,geolocetablissement,activite_specifique,activite
79041840400014,BOUCHERIE MORON,Halles Châtelet,45000,Orléans,https://www.boucherie-moron.com/,https://www.ollca.com/orleans/boutiques/boucherie-moron,https://www.facebook.com/Boucherie-Moron-232036193794180/,contact@boucherie-moron.com,02 38 62 75 59,"A la boucherie Moron, c'est la qualité d'abord ! Pas d'élevage intensifs, agriculture et raisonnée et bio. N'hésitez pas à vérifier nos horaires pas téléphone en fonction du contexte.",Oui,,Non,,,,,Oui,08:00,19:00,,,Oui,08:00,19:00,,,Oui,08:00,19:00,,,Oui,08:00,19:00,,,Oui,08:00,19:00,,,Oui,08:00,13:00,,,Oui,"Livraison gratuite à partir de 100 € d'achat
Livraison à partir de 50 € d'achat
Entre 50 et 100 € d'achat : 5 € de frais",,,08:00 > 19:00,,08:00 > 19:00,,08:00 > 19:00,,08:00 > 19:00,,08:00 > 19:00,,08:00 > 13:00,,47.22Z,"47.899449,1.905998",Boucherie,"Boucherie, charcuterie, produits traiteurs et fromages"
50754407000026,LES CAFES D'ERIC,Halles Châtelet,45000,Orléans,https://www.lescafes-eric.fr/,,https://www.facebook.com/LesCafesDEricOrleans/,lescafesderic45@gmail.com,02 38 54 87 36,"L'accueil, la convivialité et le service à votre égard avant tout !
Très bonne qualité de Cafés et Thés.",Oui,,Oui,14:00,19:00,,,Oui,09:00,19:00,,,Oui,09:00,19:00,,,Oui,09:00,19:00,,,Oui,09:00,19:00,,,Oui,09:00,19:00,,,Non,,,,,Oui,"Livraisons via UPS ou par moi-même dans un rayon d'1km
Gratuit sur un rayon de 1 km de la boutique. En dehors : payant en fonction de la commande (forfait UPS de 5 à 9€)",14:00 > 19:00,,09:00 > 19:00,,09:00 > 19:00,,09:00 > 19:00,,09:00 > 19:00,,09:00 > 19:00,,,,47.29Z,"47.899449,1.905998",Thés et cafés,"Epicerie fine et du monde, thés et cafés"
53462449900016,LINK,23 Rue Charles Sanglier,45000,Orléans,https://www.boutiquelink.fr/,https://www.boutiquelink.fr/,https://www.facebook.com/SylvieChanson,link.pensyl@gmail.com,02 38 43 81 94,"Vente de produits de luxe: Instruments d'écriture,maroquinerie,bijoux,accessoires de bureau, idée cadeaux divers pour les entreprises.
Marques présentées:
Montblanc, ST Dupont, Graf Von Faber-Castel, Caran d'Ache, Hugo Boss, Lamy, Cross, Sheaffer, Fisher, Waterman Parker, Troika,
Christofle, Guiot de Bourg,  Mignon , Filofax, Agenda Moderne, Laurige.Lexon,Ogon
Reproduction des musee nationaux (RMNGP), Authentics models, MOva",Oui,,Oui,14:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Non,,,,,Oui,Fonction de la demande du client.,14:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,,,47.78C,"47.901204,1.904512",Divers,"Vêtements et accessoires de mode (vente, retouches et confection)"
54206623808340,CAVE NICOLAS,Halles Châtelet,45000,Orléans,https://www.nicolas.com/,https://www.nicolas.com/,https://www.facebook.com/Cave-nicolas-orleans-1432671710332690/,magasinnicolasorleans@gmail.com,02 38 62 51 94,"Magasin spécialisé vins, alcool et spiritueux. 1000 références vous attendent. Horaires détaillés sur site internet et page Facebook",Oui,,Non,,,,,Oui,09:00,19:30,,,Oui,09:00,19:30,,,Oui,09:00,19:30,,,Oui,09:00,19:30,,,Oui,09:00,19:30,,,Oui,09:00,12:45,,,Oui,Livraison gratuite sur Orléans et Métropole d'Orléans,,,09:00 > 19:30,,09:00 > 19:30,,09:00 > 19:30,,09:00 > 19:30,,09:00 > 19:30,,09:00 > 12:45,,,,Caviste,Boissons et alcools (vente et consommation)
33044262500019,B GLACIER,8bis rue des Albanais,45000,Orléans,https://www.bglacier.fr,https://www.bglacier.fr,https://www.facebook.com/artisanbglacier,b.glacier@wanadoo.fr,02 38 53 58 34,"Salon de thé et petite restauration par artisan fabricant glacier installé depuis 1984   : glaces, sorbets, entremets glacés, marmites de fruits et bols de truffes, macarons ... produits d'exception pour les fêtes (bûches, igloos, chalets)",Oui,Salon de thé fermé durant le confinement,Non,,,,,Oui,11:30,19:00,,,Oui,11:30,19:00,,,Oui,11:30,19:00,,,Oui,11:30,19:00,,,Oui,11:30,19:00,,,Non,,,,,Non,,,,11:30 > 19:00,,11:30 > 19:00,,11:30 > 19:00,,11:30 > 19:00,,11:30 > 19:00,,,,10.52Z,"47.901044,1.904318",Glacier,"Chocolats, glaces et confiseries"
44961847900033,EMPREINTE HOTEL ET SPA ****,80 Quai du Châtelet,45000,Orléans,https://empreinte-hotel.secretbox.fr/produits,https://empreinte-hotel.secretbox.fr/produits,https://fr-fr.facebook.com/empreintehotel/,contact@empreintehotel.com,02 38 75 10 52,"A court d'idées de cadeaux originaux pour la fin d'année ?

Au cœur du quartier historique d’Orléans, en bord de Loire, Empreinte Hôtel vous propose sa collection de coffrets cadeaux pour faire plaisir à vos proches, clients, collaborateurs ou apporteurs d'affaires.

Qu'attendez-vous pour leur offrir une expérience unique ? 

Connectez-vous à www.empreintehotel.com ou contactez-nous à l'adresse contact@empreintehotel.com pour tout complément d'information.

L' équipe d'Empreinte Hôtel",Non,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,,,,,,,,,,,,55.10Z,"47.897972,1.905818",Hôtel,Hôtellerie
48243589800135,BIZZBEE,Place d'arc,45000,Orléans,https://www.bizzbee.com/,https://www.bizzbee.com/,,s2015m@bizzbee.fr,33 23 85 20 73,"Prêt à porter Hommes Femmes. 
Univers décalé et trendy.",Non,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Oui,Ship From Store,,,,,,,,,,,,,,,47.71Z,"47.906888,1.905178",Vêtements,"Vêtements et accessoires de mode (vente, retouches et confection)"
80301581700015,LE BOMBAY,147 Rue de Bourgogne,45000,Orléans,,,,navidditta@gmail.com,02 38 54 67 71,"Restaurant le Bombay 147 Rue de Bourgogne 45000 tel 0238546771
Depuis 1985 de père en fils livraison à domicile de 18h à 23h 

Horaires d’ouverture 
11:30 a 14:30 et 18:00 a 23:00
Sauf mardi fermer",Oui,,Oui,18:00,23:00,,,Non,,,,,Oui,18:00,23:00,,,Oui,18:00,23:00,,,Oui,18:00,23:00,,,Oui,18:00,23:00,,,Oui,18:00,23:00,,,Oui,"Livraison sur touts orleans et les alentours jusqu’à 18km 
Minimum de livraison 20€",18:00 > 23:00,,,,18:00 > 23:00,,18:00 > 23:00,,18:00 > 23:00,,18:00 > 23:00,,18:00 > 23:00,,56.10C,"47.900337,1.912173",Restauration rapide,Restauration traditionnelle et rapide
52889779600033,ESPRIT D'AUTREFOIS,5 Rue Parisie,45000,Orléans,,https://www.espritdautrefois.com/,https://www.facebook.com/esprit.dautrefois/inbox/?mailbox_id=385803414900939&selected_item_id=100000805073443,contact@espritdautrefois.com,02 38 43 79 00,"Une boutique d'ameublement et de décoration,   site en ligne pour les meubles et gros objets , nouvelle rubrique click and collect pour les petits objets et les parfums d'ambiances,  click and collect retrait en boutique, livraison possible dans rayon de 20 kms offert à partir de 100 €, expédition possible dans toute la France, possibilité de payer en 2,3,4 fois par cb, disponible 7jours /7 au 02 38 43 79 00.",Oui,,Oui,09:00,17:30,,,Oui,09:00,17:30,,,Oui,09:00,17:30,,,Oui,09:00,17:30,,,Oui,09:00,17:30,,,Oui,09:00,17:30,,,Non,,,,,Oui,"Nous offrons la livraison dans un rayon de 20 kms autour d'Orléans, à partir de 100kms, nous livrons et expédions via transporteur dans toute la France , disponible 7 jours/7",09:00 > 17:30,,09:00 > 17:30,,09:00 > 17:30,,09:00 > 17:30,,09:00 > 17:30,,09:00 > 17:30,,,,47.59B,"47.900449,1.909122",Equipement de la maison,"Ameublement, équipement de la maison (vente et réparation) et décoration"
84982699500011,mon atelier de design,80 Rue des Carmes,45000,Orléans,https://www.monatelierdedesign.com/,https://www.anaisgroisy.com/shop,https://www.facebook.com/MADMonAtelierdeDesign,anais.groisy@gmail.com,06 72 07 15 43,"Illustratrice créatrice d'objets liés aux carnets de voyage et à l'artisanat. Vente d'objets en bois, céramique, béton. Bureau de création à l'arrière du bureau pour répondre à vos demandes sur mesure.",Non,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Oui,"sur demande, dans un rayon de 10km autour de la boutique durant le confinement.",,,,,,,,,,,,,,,74.10Z,"47.91308,1.903803",Créateur d'art,"Créations d'art, photographie"
41292837600042,WILLY'S,5-7 Rue Perreira,45000,Orléans,https://willychausseur.company.site/,https://Willychausseur.company.site,https://www.facebook.com/willys.chausseur,willys2@wanadoo.fr,06 08 01 78 48,Chausseur moyen haut de gamme. Existe depuis 25 ans. Conseil sur mesure.,Oui,Je vous reçois sur RDV à prendre par téléphone au 06 08 01 78 48,Oui,14:30,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Oui,10:00,19:00,,,Non,,,,,Oui,"Livraison gratuite dans un rayon de 10 km autour d'Orléans. Choisir ""retirer en magasin"" sur le site d'achat en ligne pour que je puisse vous livrer.
Au delà de 10 km, me consulter.",14:30 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,10:00 > 19:00,,,,47.72A,"47.899005,1.904432",Chausseur,Chaussures (vente et réparation) et maroquinerie
81246599500023,LE SPA ORLEANS,3 Rue du Vieux Marché,45000,Orléans,http://www.lespaorleans.fr,https://app.flexybeauty.com/sarl-beaute-2.0/home,https://www.facebook.com/lespaorleans,lespaorleans@gmail.com,02 38 24 55 22,"En combinant SPA et institut de beauté, notre spa urbain vous permet de vous échapper de la ville et de vous ressourcer dans un cadre luxueux tout en bénéficiant de soins esthétiques et de massages détente avant ou après votre journée de travail.
Vous pourrez retrouver tous les soins incontournables du bien-être: Massages, gommages, enveloppements, soins visages, balnéo, épilation et photodépilation définitive dans nous trois cabines luxueusement équipées et privatives.",Non,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Non,,,,,Oui,Livraison sous 3/4 jours. Frais de livraison 5€ par commande.,,,,,,,,,,,,,,,96.02B,"47.898993,1.903727",Soins de beautés,"Coiffure, soins de beauté, parfumerie et cosmétique"
80773936200018,L'HENDRIX PUB,278 Rue de bourgogne,45000,Orléans,,https://uneboutique.fr/lhendrixpub/boutique/,,isabelle.v.duflot@gmail.com,06 16 52 63 36,Vente à emporter de bières artisanales,Oui,,Oui,17:00,20:00,,,Oui,17:00,20:00,,,Oui,17:00,20:00,,,Oui,17:00,20:00,,,Oui,17:00,20:00,,,Oui,17:00,20:00,,,Oui,17:00,20:00,,,Non,,17:00 > 20:00,,17:00 > 20:00,,17:00 > 20:00,,17:00 > 20:00,,17:00 > 20:00,,17:00 > 20:00,,17:00 > 20:00,,56.30Z,"47.899964,1.906812",Débit de boissons,Boissons et alcools (vente et consommation)
