critere,question,reponse,type_territoire,resultat
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16d. L’établissement utilise-t-il…-Un outil d’apprentissage en ligne (ou e-learning),OUI,RURAL,10
Les usages TIC au sein de votre établissement,Q23e. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les emplois du temps,Oui,RURAL,19
Les usages TIC au sein de votre établissement,Q23h. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Donner accès à des ressources pédagogiques en ligne,Oui,RURAL,37
Les usages TIC au sein de votre établissement,Q23j. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Réserver en ligne les salles ou le matériel,Oui,RURAL,3
Les usages TIC au sein de votre établissement,Q23j. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Réserver en ligne les salles ou le matériel,Non,RURAL,68
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Dotation Communauté de communes ou agglomération,URBAIN,1
L’équipement TIC de votre établissement - Connexion,Q13. Répartition des ordinateurs,Dans les salles de classe,URBAIN,62
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15d. L’établissement est-il équipé des outils suivants ?-Un réseau WiFi,NON,URBAIN,78
Les usages TIC au sein de votre établissement,"Q21b. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sont les usages ?-Logiciel éducatif",NON,URBAIN,39
Les usages TIC au sein de votre établissement,"Q21e. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Vidéo",OUI,URBAIN,108
Les usages TIC au sein de votre établissement,"Q21e. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Vidéo",NON,URBAIN,16
Les usages TIC au sein de votre établissement,Q23eO. Nom du logiciel,Total EDT,URBAIN,39
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total EDT,URBAIN,5
"Vous, l'établissement et ses caractéristiques",Q4B. Combien y a-t-il d'enseignants dans votre établissement ?,De 4 à moins de 9,PERIURBAIN,7
"Vous, l'établissement et ses caractéristiques",Q7. L’établissementa-t-il mis en place une organisation dédiée à l’usage des TICE ?,NSP,PERIURBAIN,0
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",La Direction,PERIURBAIN,1
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q10. De combien d'ordinateurs à usage pédagogique l'établissement est-il équipé ?,Ordinateurs portables,PERIURBAIN,3
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Dotation Rectorat,PERIURBAIN,1
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16d. L’établissement utilise-t-il…-Un outil d’apprentissage en ligne (ou e-learning),NSP,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q23a. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Communiquer par messagerie,Non,PERIURBAIN,2
Les usages TIC au sein de votre établissement,Q23e. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les emplois du temps,Non,PERIURBAIN,14
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total OMT,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q24b. L’établissement dispose-t-il...-D'une plateforme de cours en ligne,Non,PERIURBAIN,18
Les usages TIC au sein de votre établissement,"Q25b. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone mobile des parents",Oui,PERIURBAIN,18
Les usages TIC au sein de votre établissement,"Q25f. Pour communiquer avec les familles, l’établissement utilise-t-il… -L’envoi de SMS",Oui,PERIURBAIN,8
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",Un/des personnels administratifs ou techniques,RURAL,8
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16d. L’établissement utilise-t-il…-Un outil d’apprentissage en ligne (ou e-learning),NON,RURAL,60
Les usages TIC au sein de votre établissement,"Q21e. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Vidéo",OUI,RURAL,54
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,charlemagne,RURAL,0
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Nota Bene,RURAL,0
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total Microsoft Word Excel,RURAL,2
"Vous, l'établissement et ses caractéristiques",Q3. Quelle est votre fonction au sein de l'établissement ?,Autre : précisez,URBAIN,29
"Vous, l'établissement et ses caractéristiques",Q7. L’établissementa-t-il mis en place une organisation dédiée à l’usage des TICE ?,Oui,URBAIN,44
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Ressources propres,URBAIN,30
L’équipement TIC de votre établissement - Connexion,Q14.1. L'établissement a-t-il une connexion internet ?,L' établissement a une connexion internet,URBAIN,126
Les usages TIC au sein de votre établissement,Q23eO. Nom du logiciel,Total Autres,URBAIN,4
"Vous, l'établissement et ses caractéristiques",Q3. Quelle est votre fonction au sein de l'établissement ?,"Responsable technique, informatique…",PERIURBAIN,0
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15d. L’établissement est-il équipé des outils suivants ?-Un réseau WiFi,OUI,PERIURBAIN,11
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q17. L’établissement est-il abonné à des ressources pédagogiques numériques ?,Non,PERIURBAIN,14
Les usages TIC au sein de votre établissement,"Q21c. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Travail collaboratif",NON,PERIURBAIN,10
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,Total outlook et webmail,PERIURBAIN,1
Les usages TIC au sein de votre établissement,Q23d. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les salles,Oui,PERIURBAIN,3
Les usages TIC au sein de votre établissement,Q23e. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les emplois du temps,Oui,PERIURBAIN,4
Les usages TIC au sein de votre établissement,Q23eO. Nom du logiciel,Total UDT,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q23h. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Donner accès à des ressources pédagogiques en ligne,Non,PERIURBAIN,6
"Vous, l'établissement et ses caractéristiques",Q1. Type Etablissement,Collèges,RURAL,23
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15b. L’établissement est-il équipé des outils suivants ?-Des vidéoprojecteurs,OUI,RURAL,45
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15c. L’établissement est-il équipé des outils suivants ?-Une salle multimédia en réseau,NON,RURAL,27
Les usages TIC au sein de votre établissement,"Q21c. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Travail collaboratif",NSP,RURAL,15
Les usages TIC au sein de votre établissement,Q23e. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les emplois du temps,Non,RURAL,51
Les usages TIC au sein de votre établissement,Q23eO. Nom du logiciel,Total UDT,RURAL,3
Les usages TIC au sein de votre établissement,Q23f. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les bulletins,Non,RURAL,36
Les usages TIC au sein de votre établissement,"Q25e. Pour communiquer avec les familles, l’établissement utilise-t-il… -Une plateforme à accès réservé avec un espace individualisé",Non,RURAL,62
Les usages TIC au sein de votre établissement,"Q25f. Pour communiquer avec les familles, l’établissement utilise-t-il… -L’envoi de SMS",Oui,RURAL,33
"Vous, l'établissement et ses caractéristiques",Q5b. Et cela représentecombien de personnes en équivalent temps plein ?,Moyenne,URBAIN,3
"Vous, l'établissement et ses caractéristiques",Q7. L’établissementa-t-il mis en place une organisation dédiée à l’usage des TICE ?,NSP,URBAIN,12
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q12. L’établissementest-il équipé d’un réseau informatique ?,Non,URBAIN,24
L’équipement TIC de votre établissement - Connexion,Q14.2. La connexion internet dont vous disposez est-elle une connexion :,Très haut débit par satellite,URBAIN,3
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16c. L’établissement utilise-t-il…-Une plate-forme de gestion de vie scolaire,NON,URBAIN,53
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16e. L’établissement utilise-t-il…-Une plateforme de soutien scolaire,OUI,URBAIN,32
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q17. L’établissement est-il abonné à des ressources pédagogiques numériques ?,NSP,URBAIN,19
Les usages TIC au sein de votre établissement,"Q25d. Pour communiquer avec les familles, l’établissement utilise-t-il… -L’e-mail",Non,URBAIN,39
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q17. L’établissement est-il abonné à des ressources pédagogiques numériques ?,Oui,PERIURBAIN,4
Les usages TIC au sein de votre établissement,Q23f. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les bulletins,Oui,PERIURBAIN,5
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16e. L’établissement utilise-t-il…-Une plateforme de soutien scolaire,OUI,RURAL,10
Les usages TIC au sein de votre établissement,"Q25d. Pour communiquer avec les familles, l’établissement utilise-t-il… -L’e-mail",Oui,RURAL,28
Les usages TIC au sein de votre établissement,"Q27a. Diriez-vous, que les TIC apportent des avantages à la pédagogieau sein de l’établissement ?","Oui, lesquels?",RURAL,62
"Vous, l'établissement et ses caractéristiques",Q1. Type Etablissement,Collèges,URBAIN,39
"Vous, l'établissement et ses caractéristiques","Concernantles effectifs de l’établissement, combien y a-t-il…-D'autres personnels - Nombres entiers",Moyenne,URBAIN,19
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,Personnel administratif,URBAIN,21
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)",Nombre moyen de réponses cochées,URBAIN,1
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16c. L’établissement utilise-t-il…-Une plate-forme de gestion de vie scolaire,NSP,URBAIN,9
Les usages TIC au sein de votre établissement,"Q20. Quel est le nombre d'enseignants qui utilisent les TIC directement en cours, avec leurs élèves ?",Moyenne,URBAIN,22
Les usages TIC au sein de votre établissement,"Q21c. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Travail collaboratif",OUI,URBAIN,39
Les usages TIC au sein de votre établissement,Q23f. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les bulletins,Non,URBAIN,42
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,livreval,URBAIN,0
Les usages TIC au sein de votre établissement,"Q25a. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone fixe au domicile ou au travail des parents",Non,URBAIN,1
Les usages TIC au sein de votre établissement,"Q26b. Diriez-vous, que les TIC apportent des contraintes au fonctionnement de l’établissement ?",Oui,URBAIN,80
"Vous, l'établissement et ses caractéristiques",Q1. Type Etablissement,Lycées,PERIURBAIN,0
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,"Assistant d’éducation (AED), contrats aidés",PERIURBAIN,4
"Vous, l'établissement et ses caractéristiques",Q6. Les équipements audiovisuels de l’établissement sont-ils gérés par une personne dédiée ?,NSP,PERIURBAIN,1
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q11.1. Une acquisition d'ordinateurs est-elle prévue pour votre établissement ?,Acquisition d'ordinateurs prévue,PERIURBAIN,11
Les usages TIC au sein de votre établissement,"Q21a. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Tableau interactif",NSP,PERIURBAIN,1
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,Total Mozilla Thunderbird,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q23f. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les bulletins,Non,PERIURBAIN,12
Les usages TIC au sein de votre établissement,"Q25a. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone fixe au domicile ou au travail des parents",Non,PERIURBAIN,1
Les usages TIC au sein de votre établissement,Q28. Les enseignants participent-ils à des formationsspécifiques aux TICE (formation académique) ?,Non,PERIURBAIN,11
"Vous, l'établissement et ses caractéristiques",Q3. Quelle est votre fonction au sein de l'établissement ?,"Responsable technique, informatique…",RURAL,0
"Vous, l'établissement et ses caractéristiques",Q4B. Combien y a-t-il d'enseignants dans votre établissement ?,9 et plus,RURAL,25
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,"Assistant d’éducation (AED), contrats aidés",RURAL,19
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q12. L’établissementest-il équipé d’un réseau informatique ?,Oui,RURAL,47
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15b. L’établissement est-il équipé des outils suivants ?-Des vidéoprojecteurs,NON,RURAL,25
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16c. L’établissement utilise-t-il…-Une plate-forme de gestion de vie scolaire,OUI,RURAL,19
Les usages TIC au sein de votre établissement,Q23f. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les bulletins,Oui,RURAL,35
Les usages TIC au sein de votre établissement,"Q27a. Diriez-vous, que les TIC apportent des avantages à la pédagogieau sein de l’établissement ?",Non,RURAL,9
Les usages TIC au sein de votre établissement,"Q21a. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Tableau interactif",NSP,URBAIN,9
Les usages TIC au sein de votre établissement,Q23f. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Gérer les bulletins,Oui,URBAIN,86
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,Moyenne,PERIURBAIN,171
"Vous, l'établissement et ses caractéristiques",Q4B. Combien y a-t-il d'enseignants dans votre établissement ?,Moyenne,PERIURBAIN,10
L’équipement TIC de votre établissement - Connexion,Q14.1. L'établissement a-t-il une connexion internet ?,L' établissement n’a pas de connexion à internet,PERIURBAIN,1
Les usages TIC au sein de votre établissement,"Q21d. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Iconographie, photo, illustrations",NON,PERIURBAIN,4
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,"Total beneylu, Beneyluschool",PERIURBAIN,1
Les usages TIC au sein de votre établissement,"Q25d. Pour communiquer avec les familles, l’établissement utilise-t-il… -L’e-mail",Non,PERIURBAIN,11
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,Nombre moyen de réponses cochées,RURAL,1
L’équipement TIC de votre établissement - Connexion,Q14.1. L'établissement a-t-il une connexion internet ?,L' établissement n’a pas de connexion à internet,RURAL,0
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16a. L’établissement utilise-t-il…-Un espace numérique de travail,NON,RURAL,46
Les usages TIC au sein de votre établissement,"Q21a. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Tableau interactif",NON,RURAL,32
Les usages TIC au sein de votre établissement,Q23h. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Donner accès à des ressources pédagogiques en ligne,Non,RURAL,33
"Vous, l'établissement et ses caractéristiques",Q5.1. Les équipements informatiques de l’établissement sont-ils gérés par une ou plusieurs personnes ?,Plusieurs personnes,URBAIN,63
L’équipement TIC de votre établissement - Connexion,Q14.2. La connexion internet dont vous disposez est-elle une connexion :,Haut débit par la ligne téléphonique (type ADSL de bonne qualité),URBAIN,104
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15a. L’établissement est-il équipé des outils suivants ?-Des tableaux numériques interactifs,OUI,URBAIN,83
Les usages TIC au sein de votre établissement,"Q21b. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sont les usages ?-Logiciel éducatif",OUI,URBAIN,82
Les usages TIC au sein de votre établissement,Q24b. L’établissement dispose-t-il...-D'une plateforme de cours en ligne,Oui,URBAIN,11
Les usages TIC au sein de votre établissement,"Q25f. Pour communiquer avec les familles, l’établissement utilise-t-il… -L’envoi de SMS",Non,URBAIN,61
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,Adjoint technique territorial,PERIURBAIN,2
"Vous, l'établissement et ses caractéristiques",Q7. L’établissementa-t-il mis en place une organisation dédiée à l’usage des TICE ?,Non,PERIURBAIN,16
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q12. L’établissementest-il équipé d’un réseau informatique ?,Non,PERIURBAIN,4
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16e. L’établissement utilise-t-il…-Une plateforme de soutien scolaire,NON,PERIURBAIN,18
Les usages TIC au sein de votre établissement,Q23eO. Nom du logiciel,Total Autres,PERIURBAIN,1
Les usages TIC au sein de votre établissement,Q23k. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Proposer des quizz ou des évaluations en ligne,Oui,PERIURBAIN,4
Les usages TIC au sein de votre établissement,Q23k. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Proposer des quizz ou des évaluations en ligne,Non,PERIURBAIN,14
Les usages TIC au sein de votre établissement,"Q27b. Diriez-vous, que les TIC apportent des contraintes à la pédagogieau sein de l’établissement ?",Non,PERIURBAIN,16
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,200 et plus,RURAL,11
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,Enseignant,RURAL,53
"Vous, l'établissement et ses caractéristiques",Q7. L’établissementa-t-il mis en place une organisation dédiée à l’usage des TICE ?,Oui,RURAL,10
Les usages TIC au sein de votre établissement,"Q20. Quel est le nombre d'enseignants qui utilisent les TIC directement en cours, avec leurs élèves ?",Moyenne,RURAL,5
Les usages TIC au sein de votre établissement,"Q21e. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Vidéo",NON,RURAL,11
Les usages TIC au sein de votre établissement,"Q26a. Diriez-vous, que les TIC apportent des avantages au fonctionnement de l’établissement ?",Non,RURAL,12
Les usages TIC au sein de votre établissement,"Q29b. Diriez-vous, que les enseignants considèrent queleurs élèves …?-sont sensibilisés aux enjeux du numérique",Suffisamment,RURAL,8
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,Adjoint technique territorial,URBAIN,7
L’équipement TIC de votre établissement - Connexion,Q13. Répartition des ordinateurs,Dans une/des salles dédiées,URBAIN,47
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16a. L’établissement utilise-t-il…-Un espace numérique de travail,OUI,URBAIN,68
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16c. L’établissement utilise-t-il…-Une plate-forme de gestion de vie scolaire,OUI,URBAIN,66
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16d. L’établissement utilise-t-il…-Un outil d’apprentissage en ligne (ou e-learning),NSP,URBAIN,3
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q17. L’établissement est-il abonné à des ressources pédagogiques numériques ?,Non,URBAIN,76
Les usages TIC au sein de votre établissement,Q23b. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Communiquer avec les élèves,Oui,URBAIN,63
Les usages TIC au sein de votre établissement,"Q25e. Pour communiquer avec les familles, l’établissement utilise-t-il… -Une plateforme à accès réservé avec un espace individualisé",Oui,URBAIN,32
Les usages TIC au sein de votre établissement,"Q26a. Diriez-vous, que les TIC apportent des avantages au fonctionnement de l’établissement ?",Oui,URBAIN,110
Les usages TIC au sein de votre établissement,"Q27a. Diriez-vous, que les TIC apportent des avantages à la pédagogieau sein de l’établissement ?","Oui, lesquels?",URBAIN,111
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,De 50 à moins de 100,PERIURBAIN,5
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,Personnel administratif,PERIURBAIN,2
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,Nombre moyen de réponses cochées,PERIURBAIN,1
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16d. L’établissement utilise-t-il…-Un outil d’apprentissage en ligne (ou e-learning),OUI,PERIURBAIN,3
Les usages TIC au sein de votre établissement,Q23eO. Nom du logiciel,Total EDT,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q24b. L’établissement dispose-t-il...-D'une plateforme de cours en ligne,Oui,PERIURBAIN,0
Les usages TIC au sein de votre établissement,Q28. Les enseignants participent-ils à des formationsspécifiques aux TICE (formation académique) ?,Oui,PERIURBAIN,6
Les usages TIC au sein de votre établissement,"Q29b. Diriez-vous, que les enseignants considèrent queleurs élèves …?-sont sensibilisés aux enjeux du numérique",Un peu,PERIURBAIN,8
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,Adjoint technique territorial,RURAL,6
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q9. De combien d'ordinateurs à usage administratif l’établissement est-il équipé ?,Ordinateurs fixes,RURAL,5
