Indiquez votre genre :,Quel est votre pays de résidence ?,Quelle est votre année de naissance ?,Vous suivez ce MOOC en qualité de :,Vous êtes lycéen : [La discipline ou le secteur professionnel présenté dans ce MOOC correspond à un de vos projets d’études ],Vous êtes lycéen : [Vous connaissez mal la discipline ou le secteur professionnel présenté dans ce MOOC et vous voulez en savoir plus],Vous êtes lycéen : [Le MOOC présente une voie d’accès aux études supérieures (IUT_ classes prépa_ apprentissage) que vous envisagez de prendre_ et vous voulez en savoir plus],Vous êtes lycéen : [Le MOOC présente une voie d’accès aux études supérieures (IUT_ classes prépa_ apprentissage) à laquelle vous n’aviez pas pensé_ et vous voulez en savoir plus],Vous êtes lycéen : [Vous voulez mieux comprendre le fonctionnement des études à l’université],Vous êtes lycéen : [Le MOOC vous a été recommandé par votre lycée],Vous êtes lycéen : [Le MOOC vous a été recommandé par votre famille],Vous êtes lycéen : [Le MOOC fait partie des activités d’aide à l’orientation mises en place dans votre lycée],Vers quel bac vous dirigez-vous ?,Vous êtes en :,Dans quel domaine suivez-vous des études ?,Vous suivez ce MOOC pour : [Pour vous réorienter l'an prochain],Pourquoi suivez-vous ce MOOC ?,Dans quelle classe est-il ?,Vous suivez ce MOOC en même temps que votre enfant :,Vous êtes :,Dans quel type d'établissement travaillez-vous ? [Lycée d’enseignement général et technologique],Dans quel type d'établissement travaillez-vous ? [Lycée professionnel],Dans quel type d'établissement travaillez-vous ? [Lycée en zone d’éducation prioritaire],Dans quel type d'établissement travaillez-vous ? [Lycée français à l’étranger],Vous suivez ce MOOC :,Avez-vous recommandé à vos élèves de le suivre ?,Comptez-vous réutiliser des informations de ce MOOC dans votre lycée ?,Envisagez-vous d’intégrer le MOOC dans les actions d’accompagnement à l’orientation mises en place dans votre lycée ?,Connaissez-vous la démarche d’atelier autour des MOOC d’orientation que FUN propose aux équipes éducatives des lycées ?  https://www.mooc-orientation.fr/ ,Pourquoi suivez-vous ce MOOC ?.1
Féminin, France,1965,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,2002,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1965,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1965,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, Maroc,1983,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Féminin, France,1996,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, France,1978,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1993,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2000,Etudiant / élève post bac,,,,,,,,,,DUT,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Masculin, France,2002,Etudiant / élève post bac,,,,,,,,,,Classe prépa,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,1993,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences humaines et sociales,Non,,,,,,,,,,,,,,
Féminin, France,1988,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1995,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2003,Lycéen,Oui,Oui,Oui,Non,Non,Non,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Masculin, Maroc,1994,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, Maroc,1994,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, Canada,1982,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, Maroc,2001,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,1961,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, France,2003,Lycéen,Oui,Oui,Non,Non,Non,Non,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1977,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Masculin, France,2003,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1992,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, Maroc,2005,Lycéen,Non,Oui,Oui,Non,Non,Non,Oui,Non,Je ne sais pas encore,,,,,,,,,,,,,,,,,
Féminin, France,2003,Lycéen,Oui,Non,Non,Oui,Non,Oui,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1991,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1988,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1991,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, République démocratique du Congo,1996,Etudiant / élève post bac,,,,,,,,,,BTS,Sciences humaines et sociales,Oui,,,,,,,,,,,,,,
Féminin, France,1987,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1990,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1995,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1993,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2002,Lycéen,Oui,Non,Non,Non,Non,Non,Non,Non,bac professionnel,,,,,,,,,,,,,,,,,
Féminin, Burkina Faso,1991,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1992,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, Maroc,1997,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2000,Etudiant / élève post bac,,,,,,,,,,Autre,Santé,Oui,,,,,,,,,,,,,,
Féminin, Tunisie,1999,Etudiant / élève post bac,,,,,,,,,,L1,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Masculin, Bangladesh,1990,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, Nouvelle-Calédonie,2003,Lycéen,Oui,Non,Oui,Non,Non,Non,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1959,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,1976,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,2004,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1963,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1969,Personnel de l’enseignement secondaire,,,,,,,,,,,,,,,,Professeur,Oui,Non,Non,Non,Dans le cadre d'une démarche personnelle pour le découvrir,Non,Oui,Oui,Non,
Féminin, France,1985,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1982,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, France,1975,Parent d'élève,,,,,,,,,,,,,Votre enfant est dans le secondaire et vous souhaitez comprendre les orientations qui s’offrent à elle/lui,Autre,Oui,,,,,,,,,,,
Féminin, France,2004,Lycéen,Oui,Oui,Non,Non,Non,Non,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,2003,Lycéen,Non,Oui,Non,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1971,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1981,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, France,1996,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2004,Lycéen,Oui,Non,Non,Oui,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, Canada,1991,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, Canada,1991,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, France,2005,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Masculin, Tunisie,1991,Etudiant / élève post bac,,,,,,,,,,BTS,"Sciences, technologie, ingénierie et mathématiques",Non,,,,,,,,,,,,,,
Féminin, Madagascar,2004,Lycéen,Non,Oui,Oui,Non,Oui,Oui,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,2002,Etudiant / élève post bac,,,,,,,,,,Autre,Santé,Oui,,,,,,,,,,,,,,
Féminin, France,2003,Lycéen,Oui,Non,Non,Oui,Non,Non,Oui,Non,bac technologique,,,,,,,,,,,,,,,,,
Féminin, France,1995,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2004,Lycéen,Oui,Non,Oui,Non,Non,Non,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1998,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1983,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, Bénin,1994,Etudiant / élève post bac,,,,,,,,,,L3,Sciences humaines et sociales,Oui,,,,,,,,,,,,,,
Féminin, France,1990,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2001,Lycéen,Oui,Oui,Non,Non,Non,Non,Oui,Non,bac professionnel,,,,,,,,,,,,,,,,,
Masculin, Tunisie,1991,Etudiant / élève post bac,,,,,,,,,,BTS,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Masculin, France,2002,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Oui,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1987,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2003,Lycéen,Oui,Non,Non,Non,Non,Oui,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1998,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, Algérie,1991,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,1989,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, France,1978,Personnel de l’enseignement secondaire,,,,,,,,,,,,,,,,Professeur principal,Oui,Non,Non,Non,Dans le cadre d'une démarche personnelle pour le découvrir,Oui,Oui,,,
Masculin, France,1975,Personnel de l’enseignement secondaire,,,,,,,,,,,,,,,,Professeur,Oui,Non,Non,Non,Dans le cadre d'une démarche personnelle pour le découvrir,Non,Non,Non,Non,
Masculin, France,1978,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1991,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1994,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1971,Parent d'élève,,,,,,,,,,,,,Votre enfant est déjà inscrit dans les études supérieures,,Non,,,,,,,,,,,
Masculin, Algérie,1959,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1972,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, France,1984,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, France,2003,Lycéen,Non,Oui,Non,Oui,Non,Oui,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,2006,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,1977,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1986,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1973,Personnel de l’enseignement secondaire,,,,,,,,,,,,,,,,Professeur principal,Oui,Non,Non,Non,Dans le cadre d'une démarche personnelle pour le découvrir,Oui,Oui,,,
Féminin, France,2004,Lycéen,Non,Oui,Non,Non,Non,Non,Non,Non,Je ne sais pas encore,,,,,,,,,,,,,,,,,
Féminin, Polynésie française,1977,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1965,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Masculin, France,1993,Etudiant / élève post bac,,,,,,,,,,L3,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,1992,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1969,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1991,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1996,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1990,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1951,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1992,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1996,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, France,1942,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Masculin, France,2003,Lycéen,Oui,Non,Oui,Non,Non,Non,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1996,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1963,Personnel de l’enseignement secondaire,,,,,,,,,,,,,,,,Inspecteur,,,,,Dans le cadre d'une démarche personnelle pour le découvrir,Oui,Oui,Oui,Non,
Féminin, France,1990,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1996,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,1985,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Masculin, France,1993,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1992,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1973,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1962,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Masculin, Nouvelle-Calédonie,1973,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1977,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, Malte,2006,Etudiant / élève post bac,,,,,,,,,,Classe prépa,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Masculin, France,2002,Lycéen,Oui,Non,Non,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,2003,Lycéen,Oui,Non,Oui,Non,Non,Non,Oui,Non,bac technologique,,,,,,,,,,,,,,,,,
Masculin, La Réunion,1974,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1959,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1999,Etudiant / élève post bac,,,,,,,,,,BTS,Arts et industries culturelles,Oui,,,,,,,,,,,,,,
Masculin, Maroc,1995,Etudiant / élève post bac,,,,,,,,,,L3,"Sciences, technologie, ingénierie et mathématiques",Oui,,,,,,,,,,,,,,
Masculin, Maroc,1994,Etudiant / élève post bac,,,,,,,,,,DUT,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Masculin, France,1991,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1990,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1978,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1975,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,1989,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1998,Etudiant / élève post bac,,,,,,,,,,L3,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Féminin, France,1997,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,2004,Lycéen,Oui,Oui,Non,Non,Non,Non,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,2001,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Féminin, France,1978,Personnel de l’enseignement secondaire,,,,,,,,,,,,,,,,Professeur principal,Oui,Non,Non,Non,Dans le cadre d'une démarche personnelle pour le découvrir,Non,Oui,,,
Masculin, France,2001,Lycéen,Oui,Non,Oui,Non,Non,Non,Oui,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1989,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2000,Etudiant / élève post bac,,,,,,,,,,L2,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,1995,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1970,Parent d'élève,,,,,,,,,,,,,Votre enfant est dans le secondaire et vous souhaitez comprendre les orientations qui s’offrent à elle/lui,Première,Oui,,,,,,,,,,,
Féminin, France,1978,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1974,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,2004,Lycéen,Oui,Non,Non,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1977,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1977,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,1988,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences humaines et sociales,Non,,,,,,,,,,,,,,
Féminin, France,2001,Etudiant / élève post bac,,,,,,,,,,L1,Santé,Oui,,,,,,,,,,,,,,
Féminin, France,2000,Etudiant / élève post bac,,,,,,,,,,DUT,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,2001,Etudiant / élève post bac,,,,,,,,,,Autre,"Lettres, langues et communication",Oui,,,,,,,,,,,,,,
Masculin, France,2001,Etudiant / élève post bac,,,,,,,,,,L1,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, Belgique,2002,Lycéen,Oui,Non,Non,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1969,Personnel de l’enseignement secondaire,,,,,,,,,,,,,,,,Autre,,,,,Dans le cadre d’un dispositif d’orientation mis en place par votre lycée,,,,,
Féminin, France,2000,Etudiant / élève post bac,,,,,,,,,,Classe prépa,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,1988,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Autre
Féminin, France,1996,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,1973,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,2003,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, Italie,2000,Etudiant / élève post bac,,,,,,,,,,L2,Sciences du vivant et géosciences,Oui,,,,,,,,,,,,,,
Féminin, France,2004,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,2007,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Masculin, Côte d'Ivoire,1994,Etudiant / élève post bac,,,,,,,,,,BTS,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Masculin, Côte d'Ivoire,1977,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, Algérie,2000,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,2003,Lycéen,Oui,Oui,Oui,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,2001,Etudiant / élève post bac,,,,,,,,,,Classe prépa,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,2001,Etudiant / élève post bac,,,,,,,,,,Classe prépa,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, Émirats arabes unis,2003,Lycéen,Oui,Oui,Non,Non,Non,Oui,Non,Non,bac général,,,,,,,,,,,,,,,,,
