finess,rs_finess,finess_geo,rs_finess_geo,region,participation,Depot,nb_rep_score_all_rea_ajust,score_all_rea_ajust,classement,evolution,nb_rep_score_accueil_rea_ajust,score_accueil_rea_ajust,nb_rep_score_PECinf_rea_ajust,score_PECinf_rea_ajust,nb_rep_score_PECmed_rea_ajust,score_PECmed_rea_ajust,nb_rep_score_chambre_rea_ajust,score_chambre_rea_ajust,nb_rep_score_repas_rea_ajust,score_repas_rea_ajust,nb_rep_score_sortie_rea_ajust,score_sortie_rea_ajust
020000261,CENTRE HOSPITALIER DE SOISSONS,020000519,CH SOISSONS,Hauts de France,1- Obligatoire,2- Non,.,,NR,4-Non calculable,,.,,.,,.,,.,,.,,.
020000287,CENTRE HOSPITALIER DE CHAUNY,020000535,CH CHAUNY,Hauts de France,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
020004404,CENTRE HOSPITALIER DE CHÂTEAU-THIERRY,020001061,CH CHÂTEAU-THIERRY,Hauts de France,1- Obligatoire,1- Oui,54,67.94,D,2-Stable,54.0,66.86,54.0,77.1,54.0,73.23,54.0,66.08,54.0,62.68,54.0,56.15
020004495,CENTRE HOSPITALIER D'HIRSON,020001087,CH HIRSON,Hauts de France,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
020010047,POLYCLINIQUE SAINT CLAUDE,020010047,HOPITAL PRIVE SAINT CLAUDE,Hauts de France,1- Obligatoire,1- Oui,104,74.91,B,2-Stable,104.0,74.43,104.0,80.65,104.0,82.84,104.0,73.6,104.0,61.86,104.0,66.55
030780092,CENTRE HOSPITALIER MOULINS YZEURE,030000061,CENTRE HOSPITALIER DE MOULINS,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,137,73.22,C,2-Stable,137.0,74.44,137.0,82.37,137.0,79.67,137.0,71.17,137.0,57.29,137.0,61.25
030780100,CENTRE HOSPITALIER DE MONTLUCON,030000079,CENTRE HOSPITALIER DE MONTLUCON,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,119,68.6,D,2-Stable,119.0,64.86,119.0,78.65,119.0,77.89,119.0,66.86,119.0,51.07,119.0,59.6
030780118,CENTRE HOSPITALIER DE VICHY,030000087,CH JACQUES LACARIN VICHY,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,81,72.0,C,4-Non calculable,81.0,71.7,81.0,82.29,81.0,79.99,81.0,63.62,81.0,59,81.0,64.2
030780548,POLYCLINIQUE LA PERGOLA,030780548,POLYCLINIQUE LA PERGOLA,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
030781116,HOPITAL PRIVE ST FRANCOIS - POLYCLINIQUE ST ANTOINE,030781116,HOPITAL PRIVE SAINT-FRANCOIS,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,56,73.74,C,4-Non calculable,56.0,77.47,56.0,80.05,56.0,80.35,56.0,73.01,56.0,51.58,56.0,63.89
030785430,POLYCLINIQUE SAINT-ODILON,030785430,POLYCLINIQUE SAINT-ODILON,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,131,78.4,A,4-Non calculable,131.0,81.15,131.0,85.1,131.0,82.56,131.0,77.14,131.0,61.73,131.0,70.58
040780215,CENTRE HOSPITALIER DE MANOSQUE,040000093,CENTRE HOSPITALIER DE MANOSQUE,PACA,1- Obligatoire,1- Oui,43,72.16,C,1-Diminution,43.0,72.51,43.0,79.76,43.0,77.94,43.0,77.08,43.0,61.77,43.0,56.75
050002948,CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD,040000135,CHI DES ALPES DU SUD SITE DE SISTERON,PACA,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
040788879,CENTRE HOSPITALIER DE DIGNE LES BAINS,040000911,CENTRE HOSPITALIER DE DIGNE LES BAINS,PACA,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
040780470,CLINIQUE DE TOUTES AURES,040780470,CLINIQUE TOUTES AURES,PACA,2- Facultatif,1- Oui,36,78.96,A,4-Non calculable,36.0,78.51,36.0,86.71,36.0,84.42,36.0,78.07,36.0,62.65,36.0,70.54
050000090,POLYCLINIQUE DES ALPES DU SUD GAP,050000090,POLYCLINIQUE DES ALPES DU SUD GAP,PACA,1- Obligatoire,1- Oui,62,77.83,A,4-Non calculable,62.0,76.24,62.0,82.83,62.0,85.59,62.0,82.04,62.0,57.63,62.0,69.52
050000116,CENTRE HOSPITALIER DES ESCARTONS DE BRIANCON,050000231,CH DES ESCARTONS DE BRIANCON,PACA,1- Obligatoire,1- Oui,62,69.17,D,4-Non calculable,62.0,64.18,62.0,77.14,62.0,74.1,62.0,76.77,62.0,57.47,62.0,57.87
050000124,CENTRE HOSPITALIER D'EMBRUN,050000256,CENTRE HOSPITALIER D'EMBRUN,PACA,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
050002948,CENTRE HOSPITALIER INTERCOMMUNAL DES ALPES DU SUD,050000348,CHI DES ALPES DU SUD SITE DE GAP,PACA,1- Obligatoire,1- Oui,262,72.01,C,2-Stable,262.0,70.21,262.0,80.24,262.0,78.18,262.0,73.07,262.0,57.6,262.0,61.89
060780897,CENTRE HOSPITALIER DE GRASSE,060000478,CENTRE HOSPITALIER DE GRASSE,PACA,1- Obligatoire,1- Oui,173,71.85,C,2-Stable,173.0,70.79,173.0,81,173.0,79.43,173.0,70.6,173.0,53.95,173.0,61.8
060780905,CENTRE HOSPITALIER SAINT ELOI DE SOSPEL,060000486,CH SAINT ELOI DE SOSPEL,PACA,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
060780954,CENTRE HOSPITALIER D'ANTIBES JUAN LES PINS,060000510,CH D'ANTIBES JUAN LES PINS,PACA,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
060000528,CENTRE DE LUTTE CONTRE LE CANCER ANTOINE LACASSAGNE,060000528,CENTRE ANTOINE LACASSAGNE,PACA,1- Obligatoire,1- Oui,140,76.33,B,2-Stable,140.0,76.55,140.0,84.12,140.0,84.72,140.0,73.89,140.0,55.89,140.0,66.52
060006889,HOPITAUX DE LA VESUBIE A ROQUEBILLIERE,060000536,HOPITAL SAINT ANTOINE,PACA,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
060780988,CENTRE HOSPITALIER PIERRE NOUVEAU CANNES,060000544,CH DE CANNES SIMONE VEIL,PACA,1- Obligatoire,1- Oui,201,71.36,C,4-Non calculable,201.0,70.81,201.0,78,201.0,77.01,201.0,76.92,201.0,52.19,201.0,61.05
060791761,CENTRE HOSPITALIER LA PALMOSA DE MENTON,060002102,CH LA PALMOSA DE MENTON,PACA,1- Obligatoire,1- Oui,48,73.1,C,2-Stable,48.0,72.45,48.0,81.48,48.0,79.71,48.0,74.01,48.0,49.29,48.0,64.15
060021417,HOPITAL PRIVE CANNES OXFORD,060021417,HOPITAL PRIVE CANNES OXFORD,PACA,1- Obligatoire,1- Oui,185,74.05,B,2-Stable,185.0,72.98,185.0,81.43,185.0,82.18,185.0,78.01,185.0,46.58,185.0,64.1
060780442,CLINIQUE SAINT FRANCOIS,060780442,CLINIQUE SAINT FRANCOIS,PACA,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
060780491,INSTITUT ARNAULT TZANCK SAINT LAURENT DU VAR,060780491,INSTITUT ARNAULT TZANCK,PACA,1- Obligatoire,1- Oui,474,73.3,C,1-Diminution,474.0,77.24,474.0,79.19,474.0,78.62,474.0,74.88,474.0,60.33,474.0,59.16
060780517,POLYCLINIQUE SAINT JEAN,060780517,POLYCLINIQUE SAINT JEAN,PACA,1- Obligatoire,1- Oui,347,74.29,B,2-Stable,347.0,72.79,347.0,81.18,347.0,80.8,347.0,76.86,347.0,60.74,347.0,63.47
060780590,CLINIQUE DU PALAIS,060780590,CLINIQUE DU PALAIS,PACA,1- Obligatoire,1- Oui,81,73.54,C,1-Diminution,81.0,73.42,81.0,79.58,81.0,82.59,81.0,76.85,81.0,50.33,81.0,63.37
060780665,CLINIQUE DU MERIDIEN,060780665,CLINIQUE DU MERIDIEN,PACA,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
060780715,CLINIQUE SAINT GEORGE,060780715,CLINIQUE SAINT GEORGE,PACA,1- Obligatoire,1- Oui,386,75.16,B,3-Amélioration,386.0,77.04,386.0,80.37,386.0,82.47,386.0,74.97,386.0,60.16,386.0,64.85
060780723,CLINIQUE DU PARC IMPERIAL,060780723,CLINIQUE DU PARC IMPERIAL,PACA,1- Obligatoire,1- Oui,47,69.78,D,4-Non calculable,47.0,70.1,47.0,78.14,47.0,79.19,47.0,66.12,47.0,43.53,47.0,62.56
060780756,POLYCLINIQUE SANTA MARIA,060780756,POLYCLINIQUE SANTA MARIA,PACA,1- Obligatoire,1- Oui,242,71.64,C,3-Amélioration,242.0,71.5,242.0,77.99,242.0,81.22,242.0,69.18,242.0,58.74,242.0,60.05
060780947,HOPITAL LENVAL,060780947,HOP PEDIATRIQUES DE NICE CHU LENVAL,PACA,1- Obligatoire,1- Oui,142,67.48,D,2-Stable,142.0,62.46,142.0,75.85,142.0,73.63,142.0,68.63,142.0,53.31,142.0,59.88
060781200,CLINIQUE SAINT ANTOINE,060781200,CLINIQUE SAINT ANTOINE,PACA,1- Obligatoire,1- Oui,65,75.28,B,3-Amélioration,65.0,74.91,65.0,82.03,65.0,83.61,65.0,74.76,65.0,70.24,65.0,60.31
060785011,CENTRE HOSPITALIER UNIVERSITAIRE DE NICE,060785003,CHU DE NICE HOPITAL PASTEUR,PACA,1- Obligatoire,1- Oui,727,73.08,C,2-Stable,727.0,71.5,727.0,80.19,727.0,78.93,727.0,77.39,727.0,61.18,727.0,61.31
060785219,CLINIQUE PLEIN CIEL,060785219,CLINIQUE PLEIN CIEL,PACA,1- Obligatoire,1- Oui,79,72.01,C,2-Stable,79.0,71.95,79.0,80.06,79.0,79.35,79.0,76.7,79.0,55.53,79.0,57.57
060785011,CENTRE HOSPITALIER UNIVERSITAIRE DE NICE,060788957,CHU DE NICE HOPITAL DE CIMIEZ,PACA,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
060785011,CENTRE HOSPITALIER UNIVERSITAIRE DE NICE,060789195,CHU DE NICE HOPITAL DE L'ARCHET,PACA,1- Obligatoire,1- Oui,906,70.77,C,3-Amélioration,906.0,69.66,906.0,78.52,906.0,76.99,906.0,68.77,906.0,58.83,906.0,62.07
060794013,CENTRE DE CARDIOLOGIE MEDICO CHIRURGICALE TZANCK,060794013,CTRE CARDIO MEDICO CHIRURGICAL TZANCK,PACA,1- Obligatoire,1- Oui,276,73.12,C,2-Stable,276.0,78.12,276.0,80.04,276.0,78.26,276.0,74.87,276.0,63.87,276.0,55.63
060800166,CLINIQUE DE L'ESPERANCE,060800166,HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS,PACA,1- Obligatoire,1- Oui,303,74.05,B,2-Stable,303.0,73.69,303.0,80.58,303.0,80.56,303.0,77.46,303.0,52.02,303.0,65.06
070002878,CH DES VALS D'ARDÈCHE,070000013,CH DES VALS D'ARDÈCHE,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
070780358,CH D'ARDÈCHE NORD,070000179,CH D'ARDÈCHE NORD,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,51,74.43,B,4-Non calculable,51.0,74.7,51.0,82.55,51.0,80.6,51.0,69.06,51.0,58.26,51.0,66.94
070780374,CH DE TOURNON,070000195,CENTRE HOSPITALIER DE TOURNON,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
070005566,CH D'ARDECHE MERIDIONALE,070000484,CENTRE HOSPITALIER BOIS VERT,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
070005566,CH D'ARDECHE MERIDIONALE,070000609,CENTRE HOSPITALIER D'AUBENAS,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,135,73.18,C,2-Stable,135.0,74.33,135.0,81.8,135.0,78.94,135.0,71.71,135.0,60.79,135.0,60.77
070780168,CLINIQUE DU VIVARAIS SAINT DOMINIQUE,070780168,CLINIQUE DU VIVARAIS SAINT DOMINIQUE,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,48,77.1,B,4-Non calculable,48.0,74.91,48.0,84.46,48.0,84.68,48.0,73.59,48.0,60.5,48.0,73.04
070780408,CLINIQUE DES CEVENNES,070780408,CLINIQUE DES CÉVENNES,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
070780424,CLINIQUE PASTEUR,070780424,CLINIQUE PASTEUR,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,481,73.49,C,2-Stable,481.0,71.33,481.0,81.24,481.0,80.67,481.0,74.37,481.0,65.53,481.0,61.59
080000037,CENTRE HOSPITALIER DE SEDAN,080000110,CENTRE HOSPITALIER DE SEDAN,Grand Est,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
080001969,GROUPE HOSPITALIER SUD ARDENNES,080000219,CENTRE HOSPITALIER DE RETHEL,Grand Est,1- Obligatoire,2- Non,.,,NR,4-Non calculable,,.,,.,,.,,.,,.,,.
080000615,CENTRE HOSPITALIER DE CHARLEVILLE MEZIERES,080000425,HOPITAL MANCHESTER - CH CHARLEVILLE,Grand Est,1- Obligatoire,2- Non,.,,NR,4-Non calculable,,.,,.,,.,,.,,.,,.
080010473,GCS TERRITORIAL ARDENNE NORD SITE CH CHARLEVILLE-MEZIERES,080010473,GCS TERRIT ARDEN NORD SITE CH CHARLEVI,Grand Est,1- Obligatoire,2- Non,.,,NR,4-Non calculable,,.,,.,,.,,.,,.,,.
090781774,CENTRE HOSPITALIER INTERCOMMUNAL DU VAL D'ARIEGE,090000175,CHIVA SITE FOIX,Occitanie,1- Obligatoire,1- Oui,304,73.3,C,4-Non calculable,304.0,75.37,304.0,81.39,304.0,78.83,304.0,72.1,304.0,60.54,304.0,60.42
090781816,CENTRE HOSPITALIER ARIEGE COUSERANS,090000183,CH ARIEGE COUSERANS SITE ST LIZIER,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
100000082,CLINIQUE DU PAYS DE SEINE,100000082,CLINIQUE DU PAYS DE SEINE,Grand Est,1- Obligatoire,1- Oui,54,72.81,C,2-Stable,54.0,74.33,54.0,79.87,54.0,78.92,54.0,73.42,54.0,55.18,54.0,62.87
100000017,CENTRE HOSPITALIER DE TROYES,100000090,CENTRE HOSPITALIER DE TROYES,Grand Est,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
100000124,POLYCLINIQUE  MONTIER LA CELLE,100000124,POLYCLINIQUE  MONTIER LA CELLE,Grand Est,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
100006279,GROUPEMENT HOSPITALIER AUBE MARNE,100000199,CENTRE HOSPITALIER DE ROMILLY/SEINE,Grand Est,1- Obligatoire,2- Non,.,,NR,4-Non calculable,,.,,.,,.,,.,,.,,.
100002351,CLINIQUE DE CHAMPAGNE,100002351,CLINIQUE DE CHAMPAGNE,Grand Est,1- Obligatoire,1- Oui,37,71.04,C,2-Stable,37.0,72.45,37.0,80.75,37.0,77.68,37.0,62.87,37.0,68.54,37.0,57.19
110780061,CENTRE HOSPITALIER DE CARCASSONNE,110000023,CH CARCASSONNE,Occitanie,1- Obligatoire,1- Oui,182,69.67,D,2-Stable,182.0,69.24,182.0,77.67,182.0,75.88,182.0,71.63,182.0,49.93,182.0,60.08
110780137,CENTRE HOSPITALIER DE NARBONNE,110000056,CH NARBONNE HOTEL DIEU,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
110780228,POLYCLINIQUE LE LANGUEDOC,110780228,POLYCL LE LANGUEDOC,Occitanie,1- Obligatoire,1- Oui,290,70.31,D,1-Diminution,290.0,67.57,290.0,78.36,290.0,79.23,290.0,66.52,290.0,55.31,290.0,62.93
110780483,POLYCLINIQUE MONTREAL,110780483,POLYCL MONTREAL,Occitanie,1- Obligatoire,1- Oui,58,76.19,B,2-Stable,58.0,76.07,58.0,82.37,58.0,82.74,58.0,77.3,58.0,58.71,58.0,67.63
120780044,CENTRE HOSPITALIER DE RODEZ  HOPITAL JACQUES PUEL,120000039,CH DE RODEZ HOPITAL JACQUES PUEL,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
120780069,CENTRE HOSPITALIER LA CHARTREUSE VILLEFRANCHE DE ROUERGUE,120000054,CH VILLEFRANCHE SITE CHARTREUSE,Occitanie,1- Obligatoire,2- Non,.,,NR,4-Non calculable,,.,,.,,.,,.,,.,,.
120780085,CENTRE HOSPITALIER PIERRE DELPECH DECAZEVILLE,120000070,CH PIERRE DELPECH DECAZEVILLE,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
120004528,CENTRE HOSPITALIER DE MILLAU,120004569,CH MILLAU,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
120004619,CENTRE HOSPITALIER DE SAINT AFFRIQUE,120004668,CH EMILE BOREL ST AFFRIQUE,Occitanie,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
130041916,CHI AIX PERTUIS,130000409,CHI SITE D'AIX EN PROVENCE,PACA,1- Obligatoire,1- Oui,205,67.55,D,2-Stable,205.0,64.74,205.0,77.34,205.0,74.99,205.0,67.46,205.0,53.67,205.0,56.46
130781446,CENTRE HOSPITALIER EDMOND GARCIN D'AUBAGNE,130000565,CH EDMOND GARCIN D'AUBAGNE,PACA,1- Obligatoire,1- Oui,117,68.27,D,1-Diminution,117.0,64.35,117.0,77.76,117.0,78.26,117.0,61.13,117.0,52.06,117.0,63.76
130782634,CENTRE HOSPITALIER DE SALON DE PROVENCE,130001225,CH SALON DE PROVENCE,PACA,1- Obligatoire,2- Non,.,,NR,4-Non calculable,,.,,.,,.,,.,,.,,.
130001647,INSTITUT PAOLI CALMETTES,130001647,INSTITUT PAOLI CALMETTES,PACA,1- Obligatoire,1- Oui,975,76.26,B,2-Stable,975.0,75.77,975.0,83.85,975.0,83.01,975.0,70.29,975.0,71.19,975.0,67.05
130785512,CENTRE HOSPITALIER DE LA CIOTAT,130002215,CENTRE HOSPITALIER DE LA CIOTAT,PACA,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
130789274,CENTRE HOSPITALIER JOSEPH IMBERT ARLES,130002827,CH JOSEPH IMBERT D'ARLES,PACA,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
130789316,CENTRE HOSPITALIER DE MARTIGUES,130002835,CH DE MARTIGUES HOPITAL DES RAYETTES,PACA,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
130008253,CLINIQUE DE VITROLLES,130008253,CLINIQUE DE VITROLLES,PACA,1- Obligatoire,1- Oui,277,73.92,C,1-Diminution,277.0,77.03,277.0,81.18,277.0,79.59,277.0,75.14,277.0,64.78,277.0,58.01
130037922,CLINIQUE DE LA RESIDENCE DU PARC,130037922,CLINIQUE DE LA RESIDENCE DU PARC,PACA,1- Obligatoire,1- Oui,148,77.15,B,1-Diminution,148.0,77.61,148.0,83.42,148.0,86.94,148.0,72.42,148.0,49.82,148.0,73.48
130041767,EUROMED CARDIO,130041767,EUROMED CARDIO,PACA,1- Obligatoire,1- Oui,55,77.49,A,4-Non calculable,55.0,75.84,55.0,83.28,55.0,85.29,55.0,81.31,55.0,71.67,55.0,64.27
130042096,CENTRE DE CARDIOLOGIE INTERVENTIONNELLE AXIUM RAMBOT GCS,130042096,GCS CENTRE CARDIO AXIUM RAMBOT,PACA,1- Obligatoire,1- Oui,68,72.84,C,3-Amélioration,68.0,77.13,68.0,81.27,68.0,79.08,68.0,69.66,68.0,62.04,68.0,58.88
130043664,HOPITAL EUROPEEN,130043664,HOPITAL EUROPEEN,PACA,1- Obligatoire,1- Oui,549,77.19,B,1-Diminution,549.0,76.74,549.0,81.37,549.0,82.31,549.0,79.76,549.0,72.37,549.0,66.24
130044753,CLINIQUE MONTICELLI VELODROME,130044753,CLINIQUE MONTICELLI VELODROME,PACA,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
130786049,ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE,130780521,APHM HOPITAL NORD,PACA,1- Obligatoire,1- Oui,657,67.9,D,2-Stable,657.0,67.1,657.0,78.14,657.0,77.81,657.0,61.64,657.0,43.6,657.0,60.29
130781289,POLYCLINIQUE DU PARC RAMBOT PROVENCALE,130781289,POLYCLINIQUE DU PARC RAMBOT PROVENCALE,PACA,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
130781370,CLINIQUE JEANNE D'ARC,130781370,CLINIQUE JEANNE D'ARC,PACA,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
130781479,HOPITAL PRIVE LA CASAMANCE,130781479,HOPITAL PRIVE LA CASAMANCE,PACA,1- Obligatoire,1- Oui,256,71.82,C,2-Stable,256.0,72.06,256.0,79.15,256.0,79.88,256.0,70.02,256.0,53.27,256.0,62.43
130781867,CLINIQUE DE LA CIOTAT,130781867,CLINIQUE DE LA CIOTAT,PACA,2- Facultatif,1- Oui,54,78.92,A,4-Non calculable,54.0,76.92,54.0,85.26,54.0,85.46,54.0,83.13,54.0,55.31,54.0,71.61
130782071,CLINIQUE DE L'ETANG DE L'OLIVIER,130782071,CLINIQUE DE L'ETANG DE L'OLIVIER,PACA,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
130782147,CLINIQUE GENERALE DE MARIGNANE,130782147,CLINIQUE GENERALE DE MARIGNANE,PACA,1- Obligatoire,1- Oui,102,71.73,C,2-Stable,102.0,73.83,102.0,77.97,102.0,78.66,102.0,69.53,102.0,62.21,102.0,59.12
130782162,CLINIQUE CHIRURGICALE DE MARTIGUES,130782162,CLINIQUE CHIRURGICALE DE MARTIGUES,PACA,1- Obligatoire,1- Oui,42,75.92,B,3-Amélioration,42.0,76.77,42.0,81.64,42.0,78.52,42.0,73.88,42.0,68.29,42.0,68.11
130782675,CLINIQUE VIGNOLI,130782675,CLINIQUE VIGNOLI,PACA,2- Facultatif,1- Oui,45,75.05,B,4-Non calculable,45.0,77.23,45.0,81.39,45.0,79.19,45.0,70.45,45.0,66.95,45.0,67.56
130786049,ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE,130783236,APHM HOPITAL DE LA CONCEPTION,PACA,1- Obligatoire,1- Oui,590,69.41,D,2-Stable,590.0,66.76,590.0,80,590.0,80.24,590.0,60.05,590.0,44.91,590.0,65.04
130786049,ASSISTANCE PUBLIQUE DES HOPITAUX DE MARSEILLE,130783293,APHM HOPITAL LA TIMONE ADULTES,PACA,1- Obligatoire,1- Oui,688,66.56,D,2-Stable,688.0,64.84,688.0,77.53,688.0,78.25,688.0,56.87,688.0,41.77,688.0,61.09
130783327,CLINIQUE BOUCHARD,130783327,CLINIQUE BOUCHARD,PACA,1- Obligatoire,1- Oui,309,71.16,C,3-Amélioration,309.0,69.48,309.0,79.99,309.0,79.28,309.0,71.35,309.0,68.45,309.0,54.66
130783665,CLINIQUE DE BONNEVEINE,130783665,CLINIQUE DE BONNEVEINE,PACA,1- Obligatoire,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
130783723,CLINIQUE JUGE,130783723,CLINIQUE JUGE,PACA,1- Obligatoire,1- Oui,189,76.13,B,2-Stable,189.0,73.82,189.0,83,189.0,84.97,189.0,75.96,189.0,64.58,189.0,65.11
130784051,HOPITAL PRIVE CLAIRVAL,130784051,HOPITAL PRIVE CLAIRVAL,PACA,1- Obligatoire,1- Oui,792,72.02,C,2-Stable,792.0,69.08,792.0,81.43,792.0,81.85,792.0,69.31,792.0,55.68,792.0,61.56
