nomAttribuant,idAttribuant,dateConvention,referenceDecision,nomBeneficiaire,idBeneficiaire,objet,montant,nature,conditionsVersement,datesPeriode Versement,pourcentageSubvention,type
Département de la Somme,22800001400016,2020/01/22,2.3,COMMUNAUTE DE COMMUNES SOMME SUD OUEST,20007118100016,SALON DES SENIORS,"24 800,00",aide en numéraire,"Une avance unique peut, sur demande du bénéficiaire, lui être versée jusqu’à hauteur de 50 % du montant prévisionnel de la subvention; des acomptes peuvent, sur demande du bénéficiaire, lui être versés, sur production des documents suivants : pièces justificatives du service réalisé au jour de la demande de l’acompte et états récapitulatifs des dépenses réalisées au jour de la demande de l’acompte, aucun acompte ne peut être inférieur à 500 €, le solde sur production de l’ensemble des pièces justificatives, le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/01/22_2022/01/20,1,fonctionnement
Département de la Somme,22800001400016,2020/01/22,2.3,FEDERATION DES CENTRES SOCIAUX ET SOCIOCULTURELS DES PAYS PICARDS,37957014600041,#CENTRES SOCIAUX 2.0/6.0/8.0,"30 000,00",aide en numéraire,"Une avance unique peut, sur demande du bénéficiaire, lui être versée jusqu’à hauteur de 50 % du montant prévisionnel de la subvention; des acomptes peuvent, sur demande du bénéficiaire, lui être versés, sur production des documents suivants : pièces justificatives du service réalisé au jour de la demande de l’acompte et états récapitulatifs des dépenses réalisées au jour de la demande de l’acompte, aucun acompte ne peut être inférieur à 500 €, le solde sur production de l’ensemble des pièces justificatives, le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/01/22_2022/01/20,1,fonctionnement
Département de la Somme,22800001400016,2020/01/22,2.3,MUTUALITE FRANCAISE HAUTS DE FRANCE,44381121100020,SENIORS EN MOUVEMENT,"23 993,00",aide en numéraire,"Une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu'à hauteur de 50% du montant prévisionnel de la subvention. Des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 €; le solde sur production de l'ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/01/22_2022/01/20,1,fonctionnement
Département de la Somme,22800001400016,2020/01/22,2.3,VOISINS SOLIDAIRES,50183701700018,RETRAITES SOLIDAIRES A AMIENS,"40 000,00",aide en numéraire,"Une avance unique peut, sur demande du bénéficiaire, lui être versée jusqu’à hauteur de 50 % du montant prévisionnel de la subvention; des acomptes peuvent, sur demande du bénéficiaire, lui être versés, sur production des documents suivants : pièces justificatives du service réalisé au jour de la demande de l’acompte et états récapitulatifs des dépenses réalisées au jour de la demande de l’acompte, aucun acompte ne peut être inférieur à 500 €, le solde sur production de l’ensemble des pièces justificatives, le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/01/22_2022/01/20,1,fonctionnement
Département de la Somme,22800001400016,2020/02/03,2.3,GCSMS CENTRE DE PICARDIE,13000472400014,PROGRAMME COLLECTIF DE REENTRAINEMENT A L'EFFORT ADAPTE A LA PERSONNE AGEE DEPENDANTE,"40 240,20",aide en numéraire,"une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l’ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/03_2022/02/01,1,fonctionnement
Département de la Somme,22800001400016,2020/02/03,2.3,PEP 80,77571070000300,ATELIERS INITIATION TABLETTE NUMERIQUE,"33 220,00",aide en numéraire,"une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l’ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/03_2022/02/01,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,ADOPTE 1 COACH,81491552600010,PEC : COACHING POUR L'EMPLOI ET LA FORMATION,"40 320,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées, si une avance a été versée, le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,AFPA,40206184000011,THEME 2 : DYNAMIQUE PROFESSIONNELLE MIEUX CONNAITRE LES METIERS ET L'ENTREPRISE - SE PREPARER POUR L'EMPLOI,"148 260,00",aide en numéraire,"une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l’ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,AMIENS AVENIR JEUNES,32776460100024,AGIRE - ACCOMPAGNEMENT GLOBAL VERS L'INSERTION ET LA REPRISE D'EMPLOI OU L'ENTREE EN FORMATION,"62 895,00",aide en numéraire,"une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,AMIENS AVENIR JEUNES,32776460100024,PEC OU DE LA FORMATION A L'EMPLOI,"27 917,00",aide en numéraire,"une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Si une avance a été versée, le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,ASS SOMME MULTI ACTIVITES,42914528700034,ACCOMPAGNEMENT DES CONTRATS PEC ET DES SORTANTS DE FORMATIONS QUALIFIANTES,"31 000,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,ASS SOMME MULTI ACTIVITES,42914528700034,EN AVANT LES SAVOIRS,"45 000,00",aide en numéraire,"une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Si une avance a été versée, le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,ASSO POUR LA PROMOTION DES HANDICAPES ET LA GESTION DE SES STRUCTURES,33843948200013,PERFORMANCES : POUR UN EMPLOI REUSSI ET UNE FORMATION ADAPTEE AUX NOUVELLES CONTRAINTES ECONOMIQUES ET SOCIALES,"53 100,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,ASSOCIATION APREMIS,38488500000032,Accompagnement social des bénéficiaires du RSA,"32 000,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,ASSOCIATION PROMOTION FORMATION EMPLOI,32942741300037,ACCOMPAGNEMENT DES SALARIES EN CONTRAT PEC OU DES BENEFICIAIRES SORTANTS DE FORMATION QUALIFIANTE,"76 320,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,ASSOCIATION PROMOTION FORMATION EMPLOI,32942741300037,DECOUVRIR LES METIERS ET SE PREPARER A L'EMPLOI,"44 480,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,ASSOCIATION PROMOTION FORMATION EMPLOI,32942741300037,"MES SAVOIRS FONDAMENTAUX AU SERVICE DE MON INSERTION SOCIOPROFESSIONNELLE. JE TRAVAILLE MON ESTIME, MON APPARENCE, MES ACQUIS EN FORMATION ET PROFESSIONNEL.","58 108,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,ASSOCIATION PROMOTION FORMATION EMPLOI,32942741300037,VERS MA ROUTE EST UNE ACTION PERMETTANT LA LEVEE DES FREINS LIES A LA MOBILITE. DE L'AIDE ADMINISTRATIVE A LA COMPREHENSION DU CODE DE LA ROUTE EN PASSANT PAR LA RECHERCHE DE FINANCEMENT.,"142 318,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,ASSOCIATION SAINT-JEAN,31407814800041,ACCOMPAGNER LES BENEFICAIRES DU RSA A SE RENDRE MOBILE GRACE A L'UTILISATION DE LA PLATE FORME MOBILITE,"68 633,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,BGE PICARDIE,39877218600068,ACCOMPAGNEMENT DES INDEPENDANTS BENEFICIAIRES DU RSA,"142 500,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,CFPPA DE PERONNE,19801328600044,JARDINS D'INSERTION CULTIVEZ VOTRE AVENIR,"36 898,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE,13002374000439,EVA  : ENSEMBLE VERS L ARTISANAT,"49 549,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,HUMANDO INSERTION,40101593800079,ACCOMPAGNER LES BENEFICIAIRES DU RSA DANS L'EMPLOI PAR LA MISE EN PLACE DE PARCOURS D'INSERTION PERFORMANTS.,"29 400,00",aide en numéraire,"une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l’ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,INITIATIVE SOMME FRANCE ACTIVE PICARDIE,41499173700035,ACCOMPAGNEMENT DES ALLOCATAIRES DU RSA TRAVAILLEURS INDÉPENDANTS,"105 800,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,INTER-RÉSEAUX DE L'INSERTION PAR L'ACTIVITÉ ÉCONOMIQUE EN HAUTS-DE-FRANCE,83234059000013,PLATEFORME DE PROFESSIONNALISATION DES SALARIES DE L'IAE ET DES SALARIES EN CONTRATS AIDES,"125 000,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,MFR VIMEU YZENGREMER,30304171900012,ACCOMPAGNEMENT AU DEVELOPPEMENT PERSONNEL,"42 465,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,SOMME EMPLOI SERVICE,34487010000122,PROFESSIONNALISATION DES BÉNÉFICIAIRES DU RSA,"50 500,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,SYNAPSE 3I,80328733300022,DIGIT'ACT : AGIR POUR LE NUMÉRIQUE,"48 900,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,SYNAPSE 3I,80328733300022,SOMM'UP : LA MAISON DES SAVOIRS,"81 686,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/04,22,WIMOOV,42213614300084,PLATEFORME ECO MOBILITE INCLUSIVE,"60 000,00",aide en numéraire,"Une avance unique peut, sur demande du porteur de projet, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention, des acomptes peuvent, sur demande du porteur de projet, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Le versement du premier acompte ne peut se faire que sur présentation des justificatifs de dépense de l’avance et des sommes visées par l’acompte. Aucun acompte ne peut être inférieur à 500 €. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/04_2022/02/02,1,fonctionnement
Département de la Somme,22800001400016,2020/02/12,24,ARASSOC MAIS RET LA NEUVILLE,77571067600013,la réalisation dune solution innovante permettant de bien vieillir à domicile,"55 000,00",aide en numéraire,"une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l’ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/02/12_2022/02/10,1,fonctionnement
Département de la Somme,22800001400016,2020/02/17,53,UNSS DIRECTION DEPARTEMENTALE SOMME,37979848100014,aide au fonctionnement sur l'année scolaire 2019 / 2020.,"114 000,00",aide en numéraire,"Le règlement de la subvention interviendra selon l’échéancier suivant : une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 50% du montant total de la subvention soit une somme de 57 000 € et le solde sur production de l’ensemble des pièces justificatives.",2020/02/17_2022/02/15,1,fonctionnement
Département de la Somme,22800001400016,2020/02/19,23,CC TERRITOIRE NORD PICARDIE,20007095100013,FSE,"28 500,00",aide en numéraire,"Une avance unique peut, sur demande du bénéficiaire, lui être versé jusqu'à hauteur de 50 % du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l'ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10 % du montant de la subvention",2020/02/19_2022/02/17,1,fonctionnement
