critere,question,reponse,2a,2b
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.a. La Collectivité est-elle équipée ou utilise-t-elle :-Un outil de gestion des délibérations,OUI,17,31
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.e. La Collectivité est-elle équipée ou utilise-t-elle :-Un Intranet (système d'information interne sur une interface web à l'usage des agents et élus),NON mais c'est en projet,9,6
Equipement TIC de votre Collectivité - Systèmes d’information,Q43.b. Votre Collectivité utilise-t-elle des téléprocédures pour communiquer avec… ? -Le Département,OUI,10,7
Equipement TIC de votre Collectivité - Systèmes d’information,Q43.d. Votre Collectivité utilise-t-elle des téléprocédures pour communiquer avec… ? -La direction des finances publiques,NON,9,29
Equipement TIC de votre Collectivité - Systèmes d’information,"Q44. La Collectivité a-t-elle l'intention de développer des nouveaux services numériques, soit pourses besoins propres en interne, soit pour ses relations avec les administrés ?","Oui, pour des besoins internes",10,13
Perception de l'importance des TIC et attentes en la matière,"Q52.a. Etes-vous d'accord avec les affirmations suivantes:-Ces technologies ont un impact positif dans la circulation de l’information, l’organisation du travail et la réduction des délais",Plutôt d'accord,14,36
Caractéristiques de la Collectivité,Q6. Votre Collectivité est-elle préoccupée par des zones d'ombre dans la couverture deses territoires ? plusieurs réponses possibles,"OUI, pour l'ADSL",27,46
Caractéristiques de la Collectivité,Q6. Votre Collectivité est-elle préoccupée par des zones d'ombre dans la couverture deses territoires ? plusieurs réponses possibles,"OUI, pour la Télévision Numérique Terrestre (TNT)",14,28
Equipement TIC de votre Collectivité - Téléphonie mobile,Q9. Combien la Collectivité a-t-elle souscrit de lignes de téléphonie mobile ?,3,1,6
Equipement TIC de votre Collectivité - Téléphonie mobile,Q10. La Collectivité a-t-elle souscrit à des forfaits ou options permettant l'accès à Internet sur téléphone mobile ?,NON,43,63
Equipement TIC de votre Collectivité - Connexion Internet,Q24. Tous les ordinateurs ont-ils accès à Internet ?,OUI,35,54
Equipement TIC de votre Collectivité - Connexion Internet,Q27. Avez-vous financé le déploiement de hot spots (par Wi-Fi) publics sur le territoire de votre collectivité ?,NON,49,92
Equipement TIC de votre Collectivité - e-mail,Q28. Quel type d’adresse mail utilisez-vous ?,"Adresse mail à votre nom avec le nom de domaine de votre fournisseur d’accès, donc sans référence à la collectivité",12,17
Equipement TIC de votre Collectivité - Site web,Q33. Votre site a-t-il été développé…,Par un prestataire extérieur basé en Corse,21,28
Equipement TIC de votre Collectivité - Site web,Q34. Combien environ avez-vous investi dans la création de ce site ?,De 3 000 à moins de 5 000€,0,7
Equipement TIC de votre Collectivité - Site web,Q35.b. Votre site comporte-t-il les éléments suivants :-L'accès au journal de la collectivité en ligne ou en téléchargement,OUI,8,17
Equipement TIC de votre Collectivité - Site web,"Q36.b. Si oui, lesquels ? plusieurs réponses possibles",LinkedIn,0,2
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.a. La Collectivité est-elle équipée ou utilise-t-elle :-Un outil de gestion des délibérations,NON,27,50
Equipement TIC de votre Collectivité - Systèmes d’information,"Q40.d. La Collectivité est-elle équipée ou utilise-t-elle :-Un SIG (Système d'Information Géographique), outil permettant de gérer de nombreuses politiques publiques en s'appuyant sur des cartographies",NON mais c'est en projet,12,10
Equipement TIC de votre Collectivité - Systèmes d’information,"Q40.f. La Collectivité est-elle équipée ou utilise-t-elle :-Un Extranet (système d'information sur une interface web ouvert à des partenaires, fournisseurs…)",NON,42,88
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.k. La Collectivité est-elle équipée ou utilise-t-elle :-Une plateforme de gestion des marchés publics,NON,33,62
Equipement TIC de votre Collectivité - Systèmes d’information,Q46. La Collectivité procède-t-elle à des formations de ses agents et/ou élus aux TIC et à l’Internet?,OUI,6,11
Caractéristiques de la Collectivité,Q5. Votre Collectivité compte-t-elle un ou des agent(s) spécifiquement en charge del'informatique et/ou des télécoms ?,"OUI, un agent affecté à cette/ces fonction(s) à temps partiel",3,12
Equipement TIC de votre Collectivité - Connexion Internet,Q20. S'agit-il d'une connexion…,Bas débit,6,11
Equipement TIC de votre Collectivité - Site web,Q30. Si non : Avez-vous…,Un site en cours de développement,2,4
Equipement TIC de votre Collectivité - Site web,Q31. Depuis combien de temps votre site est-il en ligne ?,Plus de 5 ans,9,18
Equipement TIC de votre Collectivité - Site web,Q35.b. Votre site comporte-t-il les éléments suivants :-L'accès au journal de la collectivité en ligne ou en téléchargement,NON,16,31
Equipement TIC de votre Collectivité - Site web,"Q35.h. Votre site comporte-t-il les éléments suivants :-Des informations pratiques pour les habitants et entreprises de la Collectivité, ou souhaitant s'y installer",NON,7,27
Equipement TIC de votre Collectivité - Site web,"Q36.b. Si oui, lesquels ? plusieurs réponses possibles",Facebook,6,13
Equipement TIC de votre Collectivité - Site web,"Q37. Les mises à jour du site sont-elles faites en interne par un agent ou un élu dela Collectivité, ou par un prestataire extérieur ?",Ne sait pas,3,6
Equipement TIC de votre Collectivité - Systèmes d’information,Q39. La Collectivité dispose-t-elle d'un schéma directeur informatique ?,NON,49,97
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.b. La Collectivité est-elle équipée ou utilise-t-elle :-Un logiciel de gestion budgétaire de la Collectivité,NON mais c'est en projet,0,1
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.e. La Collectivité est-elle équipée ou utilise-t-elle :-Un Intranet (système d'information interne sur une interface web à l'usage des agents et élus),OUI,2,4
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.h. La Collectivité est-elle équipée ou utilise-t-elle :-Un outil de web-conférence ou de visio-conférence,NON mais c'est en projet,8,6
Equipement TIC de votre Collectivité - Systèmes d’information,"Q47.c. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation à l'utilisation d'Internet",OUI,3,7
Equipement TIC de votre Collectivité - Open data,Q49. Votre Collectivité s’est-elle lancée dans une démarche d’ouverture des données ?,"NON, mais en projet",9,10
Perception de l'importance des TIC et attentes en la matière,Q51. Diriez-vous que les technologies de l’information et de la communication et Internet sont :,Un élément secondaire,5,4
Perception de l'importance des TIC et attentes en la matière,Q51. Diriez-vous que les technologies de l’information et de la communication et Internet sont :,Un élément négligeable,1,1
Caractéristiques de la Collectivité,Q3. Votre Collectivité a-t-elle sur son territoire : plusieurs réponses possibles,Rien de cela,10,31
Caractéristiques de la Collectivité,Q6. Votre Collectivité est-elle préoccupée par des zones d'ombre dans la couverture deses territoires ? plusieurs réponses possibles,Ne sait pas,11,15
Equipement TIC de votre Collectivité - Ordinateurs,Q12. De combien d'ordinateurs votre Collectivité est-elle équipée ?,4,2,5
Equipement TIC de votre Collectivité - Equipement logiciel,"Q18. La Collectivité utilise-t-elle des logiciels libres du type : système d'exploitation Linux, suites bureautiquescomme OpenOffice ?",NON,30,50
Equipement TIC de votre Collectivité - Site web,Q32. Diriez-vous que vous modifiez ou mettez à jour votre site…,Jamais,1,4
Equipement TIC de votre Collectivité - Site web,Q35.f. Votre site comporte-t-il les éléments suivants :-Des informations sur les projets de la collectivité,OUI,19,34
Equipement TIC de votre Collectivité - Site web,"Q35.h. Votre site comporte-t-il les éléments suivants :-Des informations pratiques pour les habitants et entreprises de la Collectivité, ou souhaitant s'y installer",OUI,18,21
Equipement TIC de votre Collectivité - Site web,Q35.j. Votre site comporte-t-il les éléments suivants :-Un lien vers un système d’informations géographiques (SIG),NSP,0,2
Equipement TIC de votre Collectivité - Site web,Q35.l. Votre site comporte-t-il les éléments suivants :-Une présentation des activités et acteurs économiques de la collectivité,NON,6,24
Equipement TIC de votre Collectivité - Site web,"Q38. Quel est environ le budget annuel consacré au fonctionnementdu site Internet (hébergement, maintenance, mise à jour) ?",De 2 000 à moins de 3 000€,0,2
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.c. La Collectivité est-elle équipée ou utilise-t-elle :-Un logiciel dédié à la paie et à la gestion des RH,OUI,45,72
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.h. La Collectivité est-elle équipée ou utilise-t-elle :-Un outil de web-conférence ou de visio-conférence,OUI,1,1
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.k. La Collectivité est-elle équipée ou utilise-t-elle :-Une plateforme de gestion des marchés publics,OUI,11,26
Equipement TIC de votre Collectivité - Systèmes d’information,Q43.a. Votre Collectivité utilise-t-elle des téléprocédures pour communiquer avec… ? -La CTC,NON,41,90
Caractéristiques de la Collectivité,Q2. Quelle est votre fonction au sein de votre Collectivité ?,Autre :,4,7
Equipement TIC de votre Collectivité - Téléphonie mobile,Q9. Combien la Collectivité a-t-elle souscrit de lignes de téléphonie mobile ?,4,1,7
Equipement TIC de votre Collectivité - Site web,Q32. Diriez-vous que vous modifiez ou mettez à jour votre site…,Entre une et trois fois par mois,6,15
Equipement TIC de votre Collectivité - Site web,Q34. Combien environ avez-vous investi dans la création de ce site ?,De 5 000 à moins de 10 000€,2,4
Equipement TIC de votre Collectivité - Site web,Q34. Combien environ avez-vous investi dans la création de ce site ?,NSP,2,7
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.j. La Collectivité est-elle équipée ou utilise-t-elle :-Une plateforme d’open data,NON mais c'est en projet,4,6
Equipement TIC de votre Collectivité - Systèmes d’information,Q43.a. Votre Collectivité utilise-t-elle des téléprocédures pour communiquer avec… ? -La CTC,OUI,10,7
Equipement TIC de votre Collectivité - Systèmes d’information,"Q.47.e. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation à la présence de la Collectivité sur les réseaux sociaux",OUI,0,2
Equipement TIC de votre Collectivité - Open data,Q50.a. Votre Collectivité a-t-elle mis en place les services suivants ? -La création d’un site internet dédié à l’Open Data,OUI,1,0
Perception de l'importance des TIC et attentes en la matière,Q52.d. Etes-vous d'accord avec les affirmations suivantes:-La diffusion des technologies de l’information est entravée par le coût financier de leur déploiement,Plutôt d'accord,22,40
Equipement TIC de votre Collectivité - Ordinateurs,Q13. A quand remonte le dernier achat d'un ordinateurpar la Collectivité?,2 à 3 ans,11,12
Equipement TIC de votre Collectivité - e-mail,Q28. Quel type d’adresse mail utilisez-vous ?,"Adresse mail générique, mais avec référence à la collectivité par un nom de domaine propre",22,56
Equipement TIC de votre Collectivité - Site web,"Q35.a. Votre site comporte-t-il les éléments suivants :-Des informations sur la vie de la collectivité, les manifestations qui s'y tiennent, la vie associative…",NON,3,1
Equipement TIC de votre Collectivité - Site web,"Q35.c. Votre site comporte-t-il les éléments suivants :-Un annuaire des services, les contacts utiles",NON,4,8
Equipement TIC de votre Collectivité - Site web,"Q38. Quel est environ le budget annuel consacré au fonctionnementdu site Internet (hébergement, maintenance, mise à jour) ?",De 500 à moins de 1 000€,11,7
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.l. La Collectivité est-elle équipée ou utilise-t-elle :-Une application des métiers spécifique,NON mais c'est en projet,6,6
Equipement TIC de votre Collectivité - Systèmes d’information,Q43.b. Votre Collectivité utilise-t-elle des téléprocédures pour communiquer avec… ? -Le Département,NON,41,90
Caractéristiques de la Collectivité,Q1. Nombre d'agents,De 1 à moins de 3,15,49
Caractéristiques de la Collectivité,Q3. Votre Collectivité a-t-elle sur son territoire : plusieurs réponses possibles,Au moins une bibliothèque municipale,15,22
Equipement TIC de votre Collectivité - Ordinateurs,Q12. De combien d'ordinateurs votre Collectivité est-elle équipée ?,3,4,9
Equipement TIC de votre Collectivité - Ordinateurs,Q14. A l’horizon de 12 mois avez-vous des projetsd’équipements ? plusieurs réponses possibles,Ecoles,7,18
Equipement TIC de votre Collectivité - Serveurs et réseau,Q16. S'agit-il… plusieurs réponses possibles,D'un réseau filaire,17,18
Equipement TIC de votre Collectivité - Serveurs et réseau,Q17. La Collectivité dispose-t-elle d'un ou plusieurs serveurs ?,NON,37,69
Equipement TIC de votre Collectivité - Site web,"Q35.a. Votre site comporte-t-il les éléments suivants :-Des informations sur la vie de la collectivité, les manifestations qui s'y tiennent, la vie associative…",OUI,21,48
Equipement TIC de votre Collectivité - Systèmes d’information,"Q47.d. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation à l’animation / administration de site web",NON,4,5
Equipement TIC de votre Collectivité - Open data,"Q49.b. Si en projet, à quelle échéance pensez-vous en disposer ?",Dans 2 ans,1,3
Equipement TIC de votre Collectivité - Open data,Q50.c. Votre Collectivité a-t-elle mis en place les services suivants ? -Le téléchargement de données hébergées chez Open data Corsica,NON,1,1
Perception de l'importance des TIC et attentes en la matière,Q52.d. Etes-vous d'accord avec les affirmations suivantes:-La diffusion des technologies de l’information est entravée par le coût financier de leur déploiement,Plutôt pas d'accord,2,9
Perception de l'importance des TIC et attentes en la matière,Q52.e. Etes-vous d'accord avec les affirmations suivantes:-La diffusion des technologies de l’information est entravée par le manque de formation des personnels,Pas du tout d'accord,2,2
Perception de l'importance des TIC et attentes en la matière,"Q54. Attendez-vous un accompagnement de la part des différents échelons administratifs(département, CTC, Etat) en matière d'équipement et d'usage des TIC ?",OUI,22,61
Equipement TIC de votre Collectivité - Téléphonie mobile,Q8. La Collectivité a-t-elle équipé certains agents ou élus de téléphones mobiles professionnels ?,NON,29,50
Equipement TIC de votre Collectivité - Site web,Q34. Combien environ avez-vous investi dans la création de ce site ?,De 500 à moins de 1 000€,4,4
Equipement TIC de votre Collectivité - Site web,Q35.j. Votre site comporte-t-il les éléments suivants :-Un lien vers un système d’informations géographiques (SIG),NON,23,42
Equipement TIC de votre Collectivité - Systèmes d’information,Q39. La Collectivité dispose-t-elle d'un schéma directeur informatique ?,OUI,2,0
Equipement TIC de votre Collectivité - Systèmes d’information,"Q40.d. La Collectivité est-elle équipée ou utilise-t-elle :-Un SIG (Système d'Information Géographique), outil permettant de gérer de nombreuses politiques publiques en s'appuyant sur des cartographies",OUI,12,15
Equipement TIC de votre Collectivité - Systèmes d’information,"Q40.f. La Collectivité est-elle équipée ou utilise-t-elle :-Un Extranet (système d'information sur une interface web ouvert à des partenaires, fournisseurs…)",NON mais c'est en projet,9,5
Equipement TIC de votre Collectivité - Systèmes d’information,"Q40.g. La Collectivité est-elle équipée ou utilise-t-elle :-Une plate-forme de travail collaboratif (un espace de travail virtuel pour gérer des projets à plusieurs, avec mise en commun des documents et outils de travail, du planning…)",NON mais c'est en projet,9,5
Equipement TIC de votre Collectivité - Systèmes d’information,"Q47.b. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation à l'utilisation d'applicatifs métiers",NSP,0,1
Equipement TIC de votre Collectivité - Open data,Q48. Votre collectivité a-t-elle connaissance de l’initiative Open Data Corsica de la Collectivité territoriale de Corse ?,Non,44,91
Equipement TIC de votre Collectivité - Open data,Q50.a. Votre Collectivité a-t-elle mis en place les services suivants ? -La création d’un site internet dédié à l’Open Data,NON,0,1
Perception de l'importance des TIC et attentes en la matière,"Q52.a. Etes-vous d'accord avec les affirmations suivantes:-Ces technologies ont un impact positif dans la circulation de l’information, l’organisation du travail et la réduction des délais",Plutôt pas d'accord,4,0
Caractéristiques de la Collectivité,Q3. Votre Collectivité a-t-elle sur son territoire : plusieurs réponses possibles,Au moins un espace public numérique (type P@M),8,12
Equipement TIC de votre Collectivité - Ordinateurs,Q12. De combien d'ordinateurs votre Collectivité est-elle équipée ?,2,13,25
Equipement TIC de votre Collectivité - Ordinateurs,Q14. A l’horizon de 12 mois avez-vous des projetsd’équipements ? plusieurs réponses possibles,Bibliothèques,5,9
Equipement TIC de votre Collectivité - Ordinateurs,Q14. A l’horizon de 12 mois avez-vous des projetsd’équipements ? plusieurs réponses possibles,Hot spot,1,4
Equipement TIC de votre Collectivité - Connexion Internet,Q20. S'agit-il d'une connexion…,Fibre optique (dans les bâtiments – FTTH –),1,1
Equipement TIC de votre Collectivité - Connexion Internet,Q22. Si vous avez une connexion bas débit : Avez-vous l'intention de passer en haut débit dans l'année à venir ?,OUI,5,8
Equipement TIC de votre Collectivité - Connexion Internet,"Q23. Diriez-vous que par rapport à vos usages d'Internet, le débit dont vous disposez sur votre connexion est…",Pas du tout satisfaisant,10,18
Equipement TIC de votre Collectivité - Site web,"Q35.e. Votresite comporte-t-il les éléments suivants :-L'ordre du jour, les délibérations de la collectivité",OUI,14,19
Equipement TIC de votre Collectivité - Site web,Q35.n. Votre site comporte-t-il les éléments suivants :-La possibilité d'effectuer des démarches administratives en ligne,OUI,10,18
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.j. La Collectivité est-elle équipée ou utilise-t-elle :-Une plateforme d’open data,OUI,1,1
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.l. La Collectivité est-elle équipée ou utilise-t-elle :-Une application des métiers spécifique,OUI,2,2
Equipement TIC de votre Collectivité - Systèmes d’information,Q43.d. Votre Collectivité utilise-t-elle des téléprocédures pour communiquer avec… ? -La direction des finances publiques,OUI,42,68
Equipement TIC de votre Collectivité - Systèmes d’information,"Q47.b. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation à l'utilisation d'applicatifs métiers",OUI,2,2
Equipement TIC de votre Collectivité - Systèmes d’information,"Q.47.e. Si oui : Quel type de formation leuroffrez-vous, parmi les propositions suivantes ?-Formation à la présence de la Collectivité sur les réseaux sociaux",NON,6,8
Equipement TIC de votre Collectivité - Open data,Q48. Votre collectivité a-t-elle connaissance de l’initiative Open Data Corsica de la Collectivité territoriale de Corse ?,Oui,7,6
Equipement TIC de votre Collectivité - Ordinateurs,Q14. A l’horizon de 12 mois avez-vous des projetsd’équipements ? plusieurs réponses possibles,Ne sait pas,11,17
Equipement TIC de votre Collectivité - Ordinateurs,Q14. A l’horizon de 12 mois avez-vous des projetsd’équipements ? plusieurs réponses possibles,Aucun projet,18,35
Equipement TIC de votre Collectivité - Serveurs et réseau,Q15. Le ou les ordinateurs de la Collectivité sont-ils reliés en réseau ?,OUI,32,32
Equipement TIC de votre Collectivité - e-mail,Q28. Quel type d’adresse mail utilisez-vous ?,Adresse mail à votre nom avec référence à la collectivité par un nom de domaine propre,14,19
Equipement TIC de votre Collectivité - Site web,Q35.d. Votre site comporte-t-il les éléments suivants :-Un formulaire pour entrer en contact avec les élus ou les services de la collectivité,OUI,14,20
Equipement TIC de votre Collectivité - Site web,"Q35.e. Votresite comporte-t-il les éléments suivants :-L'ordre du jour, les délibérations de la collectivité",NON,11,29
Equipement TIC de votre Collectivité - Site web,Q35.g. Votre site comporte-t-il les éléments suivants :-Un espace de débat sur les projets de la collectivité,OUI,6,2
Equipement TIC de votre Collectivité - Site web,Q35.j. Votre site comporte-t-il les éléments suivants :-Un lien vers un système d’informations géographiques (SIG),OUI,1,7
Equipement TIC de votre Collectivité - Site web,Q35.o. Votre site comporte-t-il les éléments suivants :-La possibilité de s'inscrire à des activités ou manifestations,OUI,4,5
Equipement TIC de votre Collectivité - Site web,"Q37. Les mises à jour du site sont-elles faites en interne par un agent ou un élu dela Collectivité, ou par un prestataire extérieur ?",En interne,15,33
Equipement TIC de votre Collectivité - Site web,"Q38. Quel est environ le budget annuel consacré au fonctionnementdu site Internet (hébergement, maintenance, mise à jour) ?",Moins de 500€,10,28
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.i. La Collectivité est-elle équipée ou utilise-t-elle :-Un système numérique de gestion du cadastre,OUI,34,61
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.i. La Collectivité est-elle équipée ou utilise-t-elle :-Un système numérique de gestion du cadastre,NON,10,33
Equipement TIC de votre Collectivité - Systèmes d’information,"Q41. Si la Collectivité utilise une plate-forme de gestion dématérialisée des marchés publics, cette plateforme de gestion des marchés publics est-elle :",Ne sait pas,3,4
Perception de l'importance des TIC et attentes en la matière,Q52.c. Etes-vous d'accord avec les affirmations suivantes:-Ces technologies permettent d'améliorer fortement la qualité du service apporté au public,Pas du tout d'accord,0,2
Perception de l'importance des TIC et attentes en la matière,"Q54. Attendez-vous un accompagnement de la part des différents échelons administratifs(département, CTC, Etat) en matière d'équipement et d'usage des TIC ?",NON,29,36
Perception de l'importance des TIC et attentes en la matière,"Q56.a. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l'intention d'investir dansles technologies de l'information et de la communication dans le but…-D'améliorer le fonctionnement interne de la collectivité",OUI,29,73
Perception de l'importance des TIC et attentes en la matière,"Q56.a. Enfin,dans les 3 ans à venir, votre Collectivité a-t-elle l'intention d'investir dansles technologies de l'information et de la communication dans le but…-D'améliorer le fonctionnement interne de la collectivité",NSP,12,12
Equipement TIC de votre Collectivité - Téléphonie mobile,Q10. La Collectivité a-t-elle souscrit à des forfaits ou options permettant l'accès à Internet sur téléphone mobile ?,OUI,8,34
Equipement TIC de votre Collectivité - Ordinateurs,Q12. De combien d'ordinateurs votre Collectivité est-elle équipée ?,5+,17,21
Equipement TIC de votre Collectivité - Connexion Internet,Q19. Votre Collectivité dispose-t-elle d'une connexion à Internet ?,OUI,51,97
Equipement TIC de votre Collectivité - Systèmes d’information,"Q40.f. La Collectivité est-elle équipée ou utilise-t-elle :-Un Extranet (système d'information sur une interface web ouvert à des partenaires, fournisseurs…)",OUI,0,3
Equipement TIC de votre Collectivité - Systèmes d’information,Q43.c. Votre Collectivité utilise-t-elle des téléprocédures pour communiquer avec… ? -La Sous-préfecture ou Préfecture,NON,29,65
Equipement TIC de votre Collectivité - Systèmes d’information,Q46. La Collectivité procède-t-elle à des formations de ses agents et/ou élus aux TIC et à l’Internet?,NON,45,86
Perception de l'importance des TIC et attentes en la matière,Q51. Diriez-vous que les technologies de l’information et de la communication et Internet sont :,Un élément essentiel pour le développement de votre Collectivité,21,24
Caractéristiques de la Collectivité,Q3. Votre Collectivité a-t-elle sur son territoire : plusieurs réponses possibles,Au moins une école maternelle ou primaire,24,32
Equipement TIC de votre Collectivité - Site web,Q31. Depuis combien de temps votre site est-il en ligne ?,Moins d'un an,7,11
Equipement TIC de votre Collectivité - Site web,Q32. Diriez-vous que vous modifiez ou mettez à jour votre site…,Entre une et dix fois par an,8,16
Equipement TIC de votre Collectivité - Site web,Q34. Combien environ avez-vous investi dans la création de ce site ?,De 1 000 à moins de 2 000€,4,4
Equipement TIC de votre Collectivité - Site web,Q34. Combien environ avez-vous investi dans la création de ce site ?,De 2 000 à moins de 3 000€,8,6
Equipement TIC de votre Collectivité - Site web,Q35.p. Votre site comporte-t-il les éléments suivants :-La possibilité de payer des prestations en ligne,OUI,1,1
Equipement TIC de votre Collectivité - Systèmes d’information,Q40.k. La Collectivité est-elle équipée ou utilise-t-elle :-Une plateforme de gestion des marchés publics,NON mais c'est en projet,6,8
Equipement TIC de votre Collectivité - Systèmes d’information,Q42.a. Cette plateforme permet-elle de :-Télécharger les cahiers des charges des marchés publics que vous émettez,NON,0,2
Equipement TIC de votre Collectivité - Systèmes d’information,Q42.b. Cette plateforme permet-elle de :-Déposer par voie électronique leur réponse à vos appels d'offres,OUI,9,22
Equipement TIC de votre Collectivité - Systèmes d’information,"Q44. La Collectivité a-t-elle l'intention de développer des nouveaux services numériques, soit pourses besoins propres en interne, soit pour ses relations avec les administrés ?",Non,19,34
